version 3, schema units_tables
Unit_ID(string)	Screen_Name(string)	Category(string)	Class(string)	MP_Cost_Early(int)	MP_Cost_Late(int)	Turns_to_Build(int)	Cost(int)	Upkeep(int)	Campaign_Map_Action_Points(int)	Enabled__x0023__True_x0020_Disabled__x0023__False(boolean)	unknown4(string)	Unit_Icon_Path(string)	Unit_Info_Pic_Path(string)	Localisation_Key(string)	Region_IDRef(optstring)	Unit_Limit(int)	MP_Category(string)	Early_Availability(boolean)	Related_with_x0020_Early_x0020_availability(boolean)	Late_Availability(boolean)	unknown9(int)	Garrison_Availability(boolean)	MP_Unit_Limit(int)
"8_inch_mortar_indian"	"Large Mortars"	"artillery"	"artillery_fixed"	880	840	1	960	230	21	true	"artillery_heavy_mortar"	"ott_mortar_08_icon"	"East_Artillerymen_info_mo08"	"4_inch_mortar"	"global"	0	"mp_artillery"	false	false	true	0	false	0
"9_lber_land_cannon_(saker)"	"Sakers"	"artillery"	"artillery_fixed"	610	590	2	910	220	22	true	"artillery_sakers"	"euro_ancient_cannon_09_icon"	"9_lber_land_cannon_(saker)"	"9_lber_land_cannon_(saker)"	"global"	0	"mp_artillery"	true	false	false	0	false	0
"9_lber_land_cannon_(saker)_east"	"9-lber Artillery"	"artillery"	"artillery_fixed"	610	590	2	920	220	22	true	"artillery_sakers"	"ott_cannon_09_icon"	"East_Artillerymen_info_cn09"	"9_lber_land_cannon_(saker)"	"global"	0	"mp_artillery"	true	false	false	0	false	0
"9_lber_land_cannon_(saker)_indian"	"Guns"	"artillery"	"artillery_fixed"	610	590	2	920	220	22	true	"artillery_sakers"	"ott_cannon_09_icon"	"East_Artillerymen_info_cn09"	"9_lber_land_cannon_(saker)"	"global"	0	"mp_artillery"	true	false	false	0	false	0
"episodic_2_24_lber_land_cannon"	"24-lber Foot Artillery"	"artillery"	"artillery_foot"	720	600	2	610	240	22	true	"artillery_medium_cannon"	"euro_cannon_24_icon"	"24_lber_land_cannon"	"12_lber_land_cannon"	"episodic_2"	0	"mp_artillery"	false	false	false	0	false	0
"episodic_demi_cannon"	"Board of Ordnance 24-lber Battery"	"artillery"	"artillery_fixed"	1570	910	1	870	340	21	true	"artillery_demi_cannon"	"euro_ancient_cannon_24_icon"	"episodic_guncrew_info_sk24"	"12_lber_land_cannon"	"americas"	0	"mp_artillery"	false	false	false	0	false	0
"episodic_sakers"	"Board of Ordnance 9-lber Battery"	"artillery"	"artillery_fixed"	760	510	1	530	210	22	true	"artillery_sakers"	"euro_ancient_cannon_09_icon"	"episodic_guncrew_info_sk09"	"9_lber_land_cannon_(saker)"	"americas"	0	"mp_artillery"	false	false	false	0	false	0
"nan_cherokee_artillery"	"Artillery"	"artillery"	"artillery_fixed"	570	550	2	1640	410	22	true	"artillery_generic"	"euro_cannon_09_icon"	"Native_American_Archers_info_ar09"	"native_american_artillery"	"americas"	0	"mp_artillery"	false	true	true	0	false	0
"nan_huron_artillery"	"Artillery"	"artillery"	"artillery_fixed"	570	550	2	1640	410	22	true	"artillery_generic"	"euro_cannon_09_icon"	"Native_American_Archers_info_ar09"	"native_american_artillery"	"americas"	0	"mp_artillery"	false	true	true	0	false	0
"nan_iroquois_artillery"	"Artillery"	"artillery"	"artillery_fixed"	570	550	2	1640	410	22	true	"artillery_generic"	"euro_cannon_09_icon"	"Native_American_Archers_info_ar09"	"native_american_artillery"	"americas"	0	"mp_artillery"	false	true	true	0	false	0
"nan_plains_artillery"	"Artillery"	"artillery"	"artillery_fixed"	570	550	2	1640	410	22	true	"artillery_generic"	"euro_cannon_09_icon"	"Native_American_Archers_info_ar09"	"native_american_artillery"	"americas"	0	"mp_artillery"	false	true	true	0	false	0
"nan_pueblo_artillery"	"Artillery"	"artillery"	"artillery_fixed"	570	550	2	1640	410	22	true	"artillery_generic"	"euro_cannon_09_icon"	"Native_American_Archers_info_ar09"	"native_american_artillery"	"americas"	0	"mp_artillery"	false	true	true	0	false	0
"native_american_artillery"	"Native Artillery"	"artillery"	"artillery_fixed"	570	550	2	1640	410	22	true	"artillery_generic"	"euro_cannon_09_icon"	"Native_American_Archers_info_ar09"	"native_american_artillery"	"americas"	0	"mp_artillery"	true	true	false	0	false	0
"puckle_gun"	"Puckle Guns"	"artillery"	"artillery_foot"	580	510	1	1040	250	23	true	"artillery_puckle_gun"	"euro_puckle_gun"	"euro_artillery_info_puck"	"puckle_gun"	"global"	6	"mp_artillery"	false	false	true	0	false	0
"rockets_camel"	"Rocket Band"	"artillery"	"artillery_fixed"	530	800	1	1130	280	28	true	"artillery_rocket_camels"	"congreve_rocket_icon"	"East_Artillerymen_info_rock"	"rockets_camel"	"global"	6	"mp_artillery"	false	false	true	0	false	0
"rockets_fixed"	"Rocket Troop"	"artillery"	"artillery_fixed"	530	800	1	1130	280	23	true	"artillery_rockets"	"congreve_rocket_icon"	"Euro_Elite_Artillery_info_artr"	"rockets_camel"	"global"	6	"mp_artillery"	false	false	true	0	false	0
"sp_ed_organ_gun"	"Organ Gun"	"artillery"	"artillery_fixed"	1050	920	3	1270	310	20	true	"artillery_heavy_cannon"	"ott_organ_icon"	"East_Artillerymen_info_orgn"	"sp_ed_organ_gun"	"global"	0	"mp_artillery"	false	false	true	0	false	4
