version 2, schema character_traits_tables, guid 5e7bb5bd-8c71-4ec2-a7d1-f666058e4c7b
Trait_ID(string)	Unknown1(int)	Unknown2(boolean)	Unknown3(int)	Trait_Category(string)	Unknown4(boolean)
"S2_trait_general_protected"	1	false	1	"dummy"	false
"S2_trait_general_seasick"	1	false	1	"dummy"	false
"S2_trait_metsuke_corrupt"	1	false	1	"dummy"	false
"S2_trait_metsuke_cruel"	1	false	1	"dummy"	false
"S2_trait_metsuke_drunkard"	1	false	1	"dummy"	false
"S2_trait_metsuke_paranoia"	1	false	1	"dummy"	false
"S2_trait_missionary_corrupt"	1	false	1	"dummy"	false
"S2_trait_missionary_drunkard"	1	false	1	"dummy"	false
"S2_trait_missionary_jaded"	1	false	1	"dummy"	false
"S2_trait_monk_drunkard"	1	false	1	"dummy"	false
"S2_trait_monk_fighter"	1	false	1	"dummy"	false
"S2_trait_monk_unworldly"	1	false	1	"dummy"	false
"S2_trait_ninja_drunkard"	1	false	1	"dummy"	false
"S2_trait_ninja_enjoys_it"	1	false	1	"dummy"	false
"S2_trait_wife_ambition"	1	false	1	"dummy"	false
"S2_trait_wife_beauty"	1	false	1	"dummy"	false
"S2_trait_wife_cunning"	1	false	1	"dummy"	false
"S2_trait_wife_diplomatic"	1	false	1	"dummy"	false
"S2_trait_wife_fertile"	1	false	1	"dummy"	false
"S2_trait_wife_fiscal_prudence"	1	false	1	"dummy"	false
"S2_trait_wife_loyal"	1	false	1	"dummy"	false
"S2_trait_wife_moneylover"	1	false	1	"dummy"	false
"S2_trait_wife_shrewish"	1	false	1	"dummy"	false
