version 1, schema faction_uniform_colours_tables, guid 4611b3b8-a934-4aa9-9bd9-f6afec03a661
faction_id(string)	color_r1(int)	color_g1(int)	color_b1(int)	color_r2(int)	color_g2(int)	color_b2(int)	color_r3(int)	color_g3(int)	color_b3(int)
"bos_matsue"	114	194	197	114	194	197	255	255	255
"bos_matsumae"	102	102	102	102	102	102	239	221	66
"bos_matsumoto"	102	102	102	102	102	102	202	95	118
"bos_matsushiro"	92	186	200	92	186	200	255	255	255
"bos_matsuyama"	41	60	126	41	60	126	255	255	255
"bos_mito"	98	125	166	98	125	166	148	200	92
"bos_miyazu"	107	159	206	107	159	206	255	255	255
"bos_morioka"	48	150	199	48	150	199	255	255	255
"bos_nagaoka"	18	88	7	18	88	7	254	198	81
"bos_nagoya"	56	118	171	56	118	171	255	255	255
"bos_nobeoka"	39	119	74	39	119	74	255	255	255
"bos_numata"	210	94	91	210	94	91	255	255	255
"bos_obama"	136	97	45	136	97	45	255	209	49
"bos_odawara"	95	129	84	95	129	84	48	75	115
"bos_oka"	91	91	91	91	91	91	255	255	255
"bos_okayama"	60	111	179	60	111	179	255	255	255
"bos_okazaki"	45	45	45	45	45	45	255	255	255
"bos_ozu"	72	72	72	72	72	72	201	75	41
"bos_sado"	98	125	166	98	125	166	225	168	100
"bos_saga"	195	102	77	195	102	77	218	190	89
"bos_sasayama"	102	102	102	102	102	102	194	113	75
"bos_satsuma"	36	68	113	36	68	113	255	255	255
"bos_sayama"	66	82	99	66	82	99	255	255	255
"bos_sendai"	83	115	168	83	115	168	255	203	43
"bos_shogunate"	67	102	168	255	255	255	241	199	48
"bos_standard_rebels"	121	77	26	236	236	236	163	163	163
"bos_sunpu"	98	125	166	98	125	166	105	164	49
"bos_takatori"	102	102	102	102	102	102	82	185	62
"bos_takatsuki"	102	102	102	102	102	102	194	156	75
"bos_takayama"	175	44	83	175	44	83	255	255	255
"bos_tanegashima"	200	92	92	200	92	92	255	255	255
"bos_tatsuno"	195	70	46	195	70	46	255	255	255
"bos_tokushima"	55	108	205	55	108	205	255	255	255
"bos_tosa"	98	125	166	179	40	13	255	255	255
"bos_tottori"	98	125	166	98	125	166	244	142	22
"bos_toyama"	76	96	171	76	96	171	255	255	255
"bos_toyooka"	100	135	45	100	135	45	255	255	255
"bos_tsushima_fuchu"	193	72	98	193	72	98	255	255	255
"bos_tsuwano"	102	102	102	102	102	102	68	55	167
"bos_tsuyama"	91	91	91	91	91	91	255	255	255
"bos_ueno"	224	224	224	224	224	224	184	89	158
"bos_usa"	0	0	0	0	0	0	0	0	0
"bos_utsonomiya"	107	107	107	107	107	107	255	255	255
"bos_wakayama"	98	125	166	98	125	166	227	98	98
"bos_yodo"	75	154	176	75	154	176	255	255	255
"bos_yonago"	185	62	62	185	62	62	255	255	255
"bos_yonezawa"	95	129	84	95	129	84	49	47	141
"buddhist_rebels"	121	77	26	236	236	236	163	163	163
"chosokabe"	0	0	0	255	244	181	0	170	255
"christian_rebels"	121	77	26	236	236	236	163	163	163
"date"	0	0	42	48	64	153	255	153	10
"gem_aki"	164	203	203	183	201	230	199	171	115
"gem_awa"	180	175	220	150	55	52	124	119	120
"gem_awaji"	165	208	137	211	236	255	250	183	74
"gem_bingo"	212	191	138	221	164	66	151	196	255
"gem_bitchu"	79	79	79	221	164	66	121	66	40
"gem_buddhist_rebels"	121	77	26	236	236	236	163	163	163
"gem_bungo"	133	166	198	85	85	127	121	66	40
"gem_buzen"	184	182	128	214	176	144	150	55	52
"gem_echigo"	113	164	135	255	255	255	199	139	41
"gem_echizen"	207	111	111	255	255	255	118	93	72
"gem_etchu"	198	198	198	118	78	53	170	155	185
"gem_fujiwara_hiraizumi"	131	182	64	255	221	84	85	85	127
"gem_fujiwara_kubota"	53	85	18	134	154	90	255	170	0
"gem_fukushima"	68	95	127	150	55	52	125	157	89
"gem_harima"	207	111	139	69	72	38	57	57	57
"gem_hida"	209	150	118	85	89	120	193	152	81
"gem_higo"	159	210	121	85	89	120	193	152	81
"gem_hitachi"	198	212	218	156	76	70	193	157	124
"gem_hizen"	194	148	33	57	58	94	230	202	86
"gem_hoki"	111	166	158	255	209	156	48	53	70
"gem_hyuga"	121	136	144	143	157	116	114	92	70
"gem_iga"	164	215	217	150	75	53	230	188	137
"gem_inaba"	230	133	133	161	181	160	218	184	45
"gem_ise"	238	223	137	199	139	41	125	157	89
"gem_iwami"	167	152	221	199	155	126	175	207	255
"gem_iyo"	190	213	213	150	89	79	218	184	45
"gem_izumo"	241	226	140	198	212	218	150	89	79
"gem_kaga"	231	226	185	146	157	110	150	89	79
"gem_kai"	174	212	142	150	89	79	218	184	45
"gem_kawachi"	199	107	89	130	120	149	140	157	105
"gem_kazusa"	160	124	161	130	120	149	198	212	218
"gem_kii"	135	188	215	130	120	149	198	212	218
"gem_kozuke"	152	152	152	150	55	52	198	212	218
"gem_mikawa"	126	151	185	150	55	52	218	184	45
"gem_mimasaka"	165	223	159	198	212	218	150	89	79
"gem_minamoto_kamakura"	41	93	151	255	251	226	199	139	41
"gem_minamoto_kiso"	145	197	215	0	85	127	157	127	127
"gem_mino"	248	230	143	198	212	218	150	89	79
"gem_musashi"	24	24	24	199	176	128	107	131	163
"gem_nagato"	165	191	118	107	131	163	199	157	72
"gem_noto"	92	112	135	117	105	127	199	157	72
"gem_omi"	159	99	86	117	105	129	199	157	72
"gem_osumi"	175	168	197	107	131	163	150	62	62
"gem_owari"	212	187	143	125	157	89	150	62	62
"gem_pirates"	150	55	52	255	182	35	170	19	0
"gem_sado"	195	150	176	198	212	218	150	62	62
"gem_satsuma"	168	195	205	107	131	163	133	157	113
"gem_shimosa"	207	233	162	118	81	72	218	177	72
"gem_shimotsuke"	150	167	167	151	135	163	218	177	72
"gem_standard_rebels"	121	77	26	236	236	236	163	163	163
"gem_suo"	187	98	107	151	135	163	198	212	218
"gem_suruga"	108	153	102	81	84	51	198	212	218
"gem_taira_fukuhara"	161	0	0	255	170	0	57	57	57
"gem_taira_yashima"	230	0	0	125	157	89	150	55	52
"gem_tajima"	173	135	156	81	84	51	198	212	218
"gem_tamba"	201	140	149	199	161	108	107	131	163
"gem_tango"	165	209	164	199	161	108	107	131	163
"gem_tosa"	170	121	121	65	72	51	218	195	134
"gem_totomi"	123	186	173	65	72	51	218	195	134
"gem_tsukushi"	226	215	175	144	144	109	88	57	132
"gem_wakasa"	142	171	185	144	144	109	150	55	52
"gem_yamato"	155	189	102	107	131	163	150	55	52
"hatakeyama"	94	94	94	230	229	208	0	153	0
"hatano"	26	26	26	230	229	208	136	58	27
"hojo"	121	78	40	49	140	189	227	0	0
"honma"	0	0	0	245	190	49	255	255	255
"hosokawa"	0	0	0	60	110	163	0	123	255
"iga_ninja"	0	0	0	80	80	80	170	0	0
"ikko_ikki"	0	0	0	149	179	159	159	53	38
"imagawa"	0	0	0	83	86	113	255	200	2
"ishida"	0	0	0	243	237	148	243	237	148
"ito"	67	27	1	113	69	109	255	255	255
"jinbo"	0	0	0	45	80	99	255	255	255
"kikkawa"	0	0	0	220	238	223	41	97	202
"kiso"	53	53	53	65	118	41	255	255	255
"kitabatake"	108	108	108	220	238	223	41	97	202
"kobayakawa"	108	108	108	209	56	58	25	25	25
"kono"	93	93	93	255	252	225	0	0	0
"kuroda"	0	0	0	101	160	179	121	96	101
"matsuda"	0	0	0	111	151	186	255	255	255
"miyoshi"	36	36	36	140	181	147	0	0	0
"mogami"	226	26	0	255	246	206	245	24	0
"mori"	0	0	0	255	30	1	255	255	255
"movie"	95	129	84	95	129	84	179	40	13
"movie_2"	63	89	172	63	89	172	249	198	40
"movie_3"	154	154	154	154	154	154	75	117	166
"murakami"	0	0	0	255	246	206	245	66	11
"oda"	0	0	0	255	191	0	140	73	255
"ogigayatsu_uesugi"	97	43	16	255	246	206	0	0	0
"otomo"	0	0	0	38	83	118	255	255	255
"ouchi"	113	113	113	234	255	231	0	0	0
"portugal"	0	0	0	0	120	0	200	0	0
"sagara"	63	63	63	170	52	54	0	0	0
"saito"	99	57	8	255	246	206	180	0	0
"sakai"	0	0	0	255	246	206	240	80	0
"satake"	77	77	77	255	246	206	213	0	0
"satomi"	56	56	56	255	246	206	85	0	127
"shimazu"	121	87	40	92	170	50	35	117	0
"shoni"	0	0	0	255	246	206	117	161	208
"sogo"	91	91	91	255	246	206	190	79	5
"standard_rebels"	121	77	26	236	236	236	163	163	163
"takaoka"	0	0	0	240	255	212	29	58	127
"takeda"	195	0	0	120	0	0	25	25	25
"tokugawa"	149	63	37	194	206	226	255	163	3
"toyotomi"	0	0	0	255	202	41	255	183	0
"tsutsui"	99	99	99	238	255	237	0	0	0
"tut_bessho"	221	25	0	255	253	216	0	0	0
"tut_chosokabe"	0	0	0	255	244	181	0	170	255
"tut_hatakeyama"	94	94	94	230	229	208	0	153	0
"tut_kikkawa"	0	0	0	220	238	223	41	97	202
"tut_kono"	93	93	93	255	252	225	0	0	0
"tut_matsuda"	0	0	0	111	151	186	255	255	255
"tut_miyoshi"	36	36	36	140	181	147	0	0	0
"tut_sogo"	91	91	91	255	246	206	190	79	5
"tut_tsutsui"	99	99	99	238	255	237	0	0	0
"tut_urakami"	0	0	0	121	82	48	66	148	0
"uesugi"	145	140	135	65	39	82	170	0	0
"ukita"	0	0	0	255	255	255	77	120	172
"urakami"	0	0	0	121	82	48	66	148	0
"wako_pirates"	0	0	0	255	182	35	170	19	0
"yamana"	86	86	86	185	131	45	255	255	255
"yamanouchi_uesugi"	0	0	0	255	240	206	118	83	39
