key	category	shot_type	missile_type	missile_model	explosion_type	trail	spin_type	projectile_number	in_flight_transition	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	penetration	incendiary	blast_effect	can_bounce	high_air_resistance	collision_radius	base_reload_time	base_misfire_chance	weather_effect	sail_damage_modifier	below_waterline_damage_modifier	launch_audio	hit_audio	launch_particle_effect	projectile_trail_particle_effect	impact	gun_type	first_person_launch_particle_effect	calibration_distance	calibration_area	can_penetrate_fort_wall	gravity
boshin_sharpshooter_rifle	missile	bullet	bullet	projectile_musketball		alpha_bullet	none	1		low	150	0	88	200.0000	0.0000	0.0000	0.9000	ap			false	false	0.1000	18	0		0.1000	0.0000	small_arm	small	MusketFire		musket_ball	musket_breech		100.0000	1.0000	true	-1.0000
boshin_shrapnel_shell	missile	shrapnel	shrapnel	projectile_cannonbal	boshin_shrapnel_shell	alpha_grenade	grenade_spin	1	shrapnel	low	550	25	30	170.0000	0.0000	0.0000	1.0000	ap		impact_light	false	false	0.0100	25	0		0.1000	0.0000	cannon	large	Cannon_common_shot_lrg		large_ball	howitzer		300.0000	10.0000	false	30.0000
boshin_starfort_wall_cannon_ball	artillery	round_shot	cannon_ball	projectile_cannonbal		alpha	none	1		low	200	50	40	100.0000	0.0000	10.0000	0.9000	high		impact	true	false	0.1000	200	0		0.1000	0.0000	gun	large	LandGunFire		default_ball	cannon		300.0000	35.0000	false	-1.0000
boshin_tower_arrow	missile	arrow	arrow	projectile_arrow		arrow_trail	none	1		low	100	0	88	50.0000	5.0000	0.0000	0.3000				false	false	0.1000	40	0		0.1000	0.0000	bow	small			arrow	bow		100.0000	1.0000	false	-1.0000
boshin_tower_gatling_bullet	missile	bullet	bullet	projectile_musketball		alpha_bullet	none	1		low	125	0	88	200.0000	0.0000	10.0000	1.0000	ap			false	false	0.1000	5	0		0.1000	0.0000	small_arm	small	MusketFire		musket_ball	musket_breech		100.0000	1.0000	false	-1.0000
boshin_tower_matchlock_bullet	missile	bullet	bullet	projectile_musketball		alpha_bullet	none	1		low	150	0	88	200.0000	0.0000	0.0000	0.7000	ap			false	false	0.1000	60	0		0.1000	0.0000	small_arm	small	MusketFire		musket_ball	musket_breech		100.0000	1.0000	false	-1.0000
boshin_tower_rifle_bullet	missile	bullet	bullet	projectile_musketball		alpha_bullet	none	1		low	125	0	88	200.0000	0.0000	0.0000	0.9000	ap			false	false	0.1000	50	0		0.1000	0.0000	small_arm	small	MusketFire		musket_ball	musket_breech		100.0000	1.0000	false	-1.0000
boshin_tower_wall_gun_cannon_ball	artillery	round_shot	cannon_ball	projectile_cannonbal		alpha	none	1		low	550	50	40	100.0000	0.0000	0.0000	20.0000	high		impact	true	false	0.1000	200	0		0.1000	0.0000	gun	large	LandGunFire		default_ball	cannon		300.0000	35.0000	false	-1.0000
boshin_wooden_cannon_shot	artillery	round_shot	cannon_ball	projectile_cannonbal		alpha	none	1		fixed	500	50	30	200.0000	-5.0000	0.0000	20.0000	high		impact	true	false	0.1000	30	0		0.1000	0.0000	gun	large	LandGunFire		default_ball	cannon		300.0000	15.0000	true	-1.0000
carcass_fragment	missile	fragment	shrapnel	projectile_fragment01		alpha	none	1	shrapnel	low	50	0	90	4.0000	0.0000	99.0000	0.9900	low	high		false	true	0.1000	0	0	medium	2.0000	0.0000	boom	small		AirExplosion	default_ball	none		100.0000	1.0000	false	-1.0000
flare	missile	bullet	bullet	projectile_mangonel		additive_rocket_trail	none	1	shrapnel	low	2000	0	88	400.0000	0.0000	0.0000	0.0000	high			false	false	0.1000	15	0	medium	0.1000	0.0000	small_arm	small		catapult_trail	flare	none		100.0000	1.0000	false	-1.0000
fort_12_pounder_shot	fort_battery	round_shot	cannon_ball	projectile_cannonbal		alpha	none	1		low	300	0	88	250.0000	0.0000	0.0000	4.0000	high	low		true	false	0.1000	10	0	low	0.1500	0.0000	cannon	small	AirExplosion		large_ball	cannon		300.0000	35.0000	false	-1.0000
grenade	missile	grenade	grenade	projectile_grenade	grenade	none	grenade_spin	1	shrapnel	fixed	35	5	50	16.0000	-100.0000	0.0000	0.0000		high		true	false	0.0100	20	0	low	0.1000	0.0000	flight	small			musket_ball	grenade		100.0000	1.0000	false	-1.0000
grenade_fragment	missile	fragment	shrapnel	projectile_fragment01		alpha_shrapnel	grenade_spin	1		low	5	0	30	25.0000	0.0000	0.0000	0.1000				true	true	0.0080	0	0		0.1000	0.0000	boom	small			musket_ball	none		100.0000	1.0000	false	-1.0000
grenade_improved	missile	improved_grenade	grenade	projectile_grenade	grenade_improved	none	grenade_spin	1	shrapnel	fixed	35	5	50	16.0000	-100.0000	0.0000	0.0000		medium		true	false	0.0100	20	0	low	0.1000	0.0000	flight	small			musket_ball	grenade		100.0000	1.0000	false	-1.0000
musket_carbine	missile	bullet	bullet	projectile_musketball		alpha_bullet	none	1	shrapnel	low	80	0	88	150.0000	0.0000	0.0000	0.7500	ap			false	false	0.1000	15	0	medium	0.1000	0.0000	small_arm	small	MusketFire		musket_ball	musket_matchlock		100.0000	1.0000	false	-1.0000
musket_flintlock	missile	blinding_grenade	bullet	projectile_musketball		alpha_bullet	none	1		low	80	0	88	150.0000	0.0000	0.0000	0.7500	ap			false	false	0.1000	15	0	medium	0.1000	0.0000	airgun	small	MusketFire		musket_ball	musket_matchlock		100.0000	1.0000	false	-1.0000
naval_mine	naval	explosive_shell	grenade	naval_mine	naval_mine	alpha_grenade	grenade_spin	1		high	50	0	180	45.0000	0.0000	2.0000	200.0000		medium		false	false	0.1000	0	0		0.1000	0.0000	mortar	small			flare	grenade		100.0000	1.0000	false	-1.0000
naval_mine_explosion_fragment	missile	fragment	shrapnel	projectile_fragment01		none	none	1	shrapnel	low	300	0	1	30.0000	0.0000	0.0000	100.0000	high	high		false	false	0.1000	0	0	medium	4.0000	2.0000	boom	small			default_ball	none		100.0000	1.0000	false	-1.0000
pistol	missile	bullet	bullet	projectile_musketball		alpha_bullet	none	1		low	40	0	80	80.0000	0.0000	0.0000	0.9900	ap			false	false	0.1000	10	0	medium	0.1000	0.0000	small_arm	small	pistolFire		musket_ball	pistol		100.0000	1.0000	false	-1.0000
quicklime_fragment	missile	fragment	shrapnel	projectile_fragment01		alpha	none	1	shrapnel	low	50	0	90	4.0000	0.0000	0.0000	0.9900	low			false	true	0.1000	0	0	medium	1.0000	0.0000	boom	none		AirExplosion	default_ball	none		100.0000	1.0000	false	-1.0000
shell_fragment	missile	fragment	shrapnel	projectile_fragment01		alpha_shrapnel	none	1		low	20	0	90	30.0000	0.0000	0.0000	0.6500	effective_range_based			true	true	0.0700	0	0		0.1000	0.0000	boom	small		shrapnel_trail	musket_ball	none		100.0000	1.0000	false	-1.0000
ship_explosion_fragment	missile	fragment	shrapnel			none	none	1	shrapnel	low	150	0	1	20.0000	0.0000	0.0000	5000.0000	high	high		false	false	0.1000	0	0	medium	4.0000	2.0000	boom	small			default_ball	none		100.0000	1.0000	false	-1.0000
ship_explosion_fragment_visual	missile	fragment	shrapnel	projectile_fragment01		none	none	1	shrapnel	high	150	0	1	30.0000	0.0000	0.0000	0.0000				false	false	0.5000	0	0	medium	0.0000	0.0000	boom	small		ship_explosion_fragment_trail	default_ball	none		100.0000	1.0000	false	-1.0000
shogun_arrow	missile	arrow	arrow	projectile_arrow		arrow_trail	none	1		low	150	0	88	50.0000	5.0000	0.0000	0.3000				false	false	0.1000	10	0		0.1000	0.0000	bow	small			arrow	bow		100.0000	1.0000	false	-1.0000
shogun_arrow_daikyu	missile	arrow	arrow	projectile_arrow		arrow_trail	none	1		low	175	0	88	50.0000	5.0000	0.0000	0.4000				false	false	0.1000	10	0		0.1000	0.0000	bow	small			arrow	bow		100.0000	1.0000	false	-1.0000
shogun_arrow_genpei	missile	arrow	arrow	projectile_arrow		arrow_trail	none	1		low	150	0	88	50.0000	100.0000	0.0000	0.4500				false	false	0.1000	10	0		0.1000	0.0000	bow	small			arrow	bow		100.0000	1.0000	false	-1.0000
shogun_arrow_hero_genpei	missile	arrow	arrow	projectile_arrow		hero_arrow_trail	none	1		low	200	0	88	50.0000	100.0000	0.0000	0.4500				false	false	0.1000	10	0		0.1000	0.0000	bow	small			arrow	bow		100.0000	1.0000	false	-1.0000
