version 1, schema cdir_configs_tables, guid 49c1592a-7e89-4f7e-98e1-2ddf6433ebf3
unknown1(string)	unknown2(boolean)	unknown3(string)	unknown4(string)	unknown5(boolean)	unknown6(string)
"all"	true	"all"	"CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_LOSSES_BIG_LOSER"	true	"0.25"
"all"	true	"all"	"CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_LOSSES_BIG_WINNER"	true	"-0.25"
"all"	true	"all"	"CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_LOSSES_LOSER"	true	"0.25"
"all"	true	"all"	"CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_LOSSES_WINNER"	true	"-0.25"
"all"	true	"all"	"CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_RESULT_BIG_LOSER"	true	"-0.1"
"all"	true	"all"	"CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_RESULT_BIG_WINNER"	true	"0.1"
"all"	true	"all"	"CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_RESULT_LOSER"	true	"-0.1"
"all"	true	"all"	"CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_RESULT_WINNER"	true	"0.1"
"all"	true	"all"	"CDIR_CVN_BOOST_PLAYER_RIVALS_AMOUNT"	true	"500"
"all"	true	"all"	"CDIR_CVN_BOOST_PLAYER_RIVALS_MAX"	true	"5"
"all"	true	"all"	"CDIR_CVN_BOOST_PLAYER_RIVALS_MIN"	true	"5"
"all"	true	"all"	"CDIR_CVN_BOOST_PLAYER_RIVALS_PERCENTAGE"	true	"0.125"
"all"	true	"all"	"CDIR_CVN_EVENT_GENERATOR_BASE_CHANCE"	true	"0.3"
"all"	true	"all"	"CDIR_CVN_EVENT_GENERATOR_EXTRA_CHANCE_PER_ROUND"	true	"0.02"
"all"	true	"all"	"CDIR_CVN_EVENT_GENERATOR_INCIDENT_BASE_CHANCE"	true	"0.02"
"all"	true	"all"	"CDIR_CVN_EVENT_GENERATOR_INCIDENT_CHANCE_PER_ROUND"	true	"0.02"
"all"	true	"all"	"CDIR_CVN_EVENT_GENERATOR_MIN_ROUNDS_BETWEEN_EVENTS"	true	"3"
"all"	true	"all"	"CDIR_CVN_EVENT_GENERATOR_MISSION_BASE_CHANCE"	true	"0.4"
"all"	true	"all"	"CDIR_CVN_FILL_TRADE_THEATRES_BASE_CHANCE"	true	"0.05"
"all"	true	"all"	"CDIR_CVN_FILL_TRADE_THEATRES_EXTRA_CHANCE_PER_ROUND"	true	"0.05"
"all"	true	"all"	"CDIR_CVN_FILL_TRADE_THEATRES_FACTIONS_TO_CONSIDER"	true	"5"
"all"	true	"all"	"CDIR_CVN_FILL_TRADE_THEATRES_MAX_TRADE_UNITS"	true	"3"
"all"	true	"all"	"CDIR_CVN_FILL_TRADE_THEATRES_MILITARY_STRENGTH_PCT"	true	"1.2"
"all"	true	"all"	"CDIR_CVN_FILL_TRADE_THEATRES_MIN_TRADE_UNITS"	true	"1"
"all"	true	"all"	"CDIR_CVN_FILL_TRADE_THEATRES_RASTER_SIZE"	true	"2.5"
"all"	true	"all"	"CDIR_CVN_PLAYER_RIVAL_SCORE_DIPLOMATIC_RELATION_PCT"	true	"0.1"
"all"	true	"all"	"CDIR_CVN_PLAYER_RIVAL_SCORE_FAME_PCT"	true	"0.5"
"all"	true	"all"	"CDIR_CVN_PLAYER_RIVAL_SCORE_MINOR_FACTION_WEIGHT"	true	"0.33"
"all"	true	"all"	"CDIR_CVN_PLAYER_RIVAL_SCORE_PROXIMITY_PCT"	true	"0.2"
"all"	true	"all"	"CDIR_CVN_PLAYER_RIVAL_SCORE_VICTORY_REGIONS_PCT"	true	"0.2"
"all"	true	"all"	"CDIR_CVN_REPLENISH_UNITS_ARMY_MAX_PCT"	true	"0.95"
"all"	true	"all"	"CDIR_CVN_REPLENISH_UNITS_ARMY_MIN_PCT"	true	"0.85"
"all"	true	"all"	"CDIR_CVN_REPLENISH_UNITS_FACTION_ARMY_ALLOWED"	true	"1.0"
"all"	true	"all"	"CDIR_CVN_REPLENISH_UNITS_FACTION_NAVY_ALLOWED"	true	"1.0"
"all"	true	"all"	"CDIR_CVN_REPLENISH_UNITS_MOBILE_ARMY_ALLOWED"	true	"1.0"
"all"	true	"all"	"CDIR_CVN_REPLENISH_UNITS_MOBILE_NAVY_ALLOWED"	true	"1.0"
"all"	true	"all"	"CDIR_CVN_REPLENISH_UNITS_UNIT_ARMY_ALLOWED"	true	"1.0"
"all"	true	"all"	"CDIR_CVN_REPLENISH_UNITS_UNIT_NAVY_ALLOWED"	true	"1.0"
"all"	true	"all"	"CDIR_CVN_TELEPORT_GENERALS_TO_FRONT"	true	"1"
"all"	true	"all"	"CDIR_CVN_TRANSFER_REGION_OWNERSHIP_BASE_CHANCE"	true	"0.01"
"all"	true	"all"	"CDIR_CVN_TRANSFER_REGION_OWNERSHIP_EXTRA_CHANCE_PER_ROUND"	true	"0.01"
"all"	true	"all"	"CDIR_CVN_TRANSFER_REGION_OWNERSHIP_UBER_FACTION_MODIFIER"	true	"10.0"
"all"	true	"all"	"CDIR_CVN_UBER_FACTION"	true	"0"
"all"	true	"all"	"CDIR_CVN_UNIT_BALANCER_FACTION_ARMY_ALLOWED"	true	"1.0"
"all"	true	"all"	"CDIR_CVN_UNIT_BALANCER_FACTION_NAVY_ALLOWED"	true	"1.0"
"all"	true	"all"	"CDIR_CVN_UNIT_BALANCER_MOBILE_ARMY_ALLOWED"	true	"1.0"
"all"	true	"all"	"CDIR_CVN_UNIT_BALANCER_MOBILE_NAVY_ALLOWED"	true	"1.0"
"all"	true	"all"	"CDIR_CVN_UNIT_BALANCER_UNIT_ARMY_ALLOWED"	true	"1.0"
"all"	true	"all"	"CDIR_CVN_UNIT_BALANCER_UNIT_NAVY_ALLOWED"	true	"1.0"
"all"	true	"all"	"CDIR_CVN_UNIT_UPGRADER_FACTION_ARMY_ALLOWED"	true	"1.0"
"all"	true	"all"	"CDIR_CVN_UNIT_UPGRADER_FACTION_NAVY_ALLOWED"	true	"1.0"
"all"	true	"all"	"CDIR_CVN_UNIT_UPGRADER_MOBILE_ARMY_ALLOWED"	true	"1.0"
"all"	true	"all"	"CDIR_CVN_UNIT_UPGRADER_MOBILE_NAVY_ALLOWED"	true	"1.0"
"all"	true	"all"	"CDIR_CVN_UNIT_UPGRADER_UNIT_ARMY_ALLOWED"	true	"1.0"
"all"	true	"all"	"CDIR_CVN_UNIT_UPGRADER_UNIT_NAVY_ALLOWED"	true	"1.0"
"all"	true	"all"	"CDIR_CVN_UNIT_XP_UPGRADE_ARMY_BASE_CHANCE"	true	"0.01"
"all"	true	"all"	"CDIR_CVN_UNIT_XP_UPGRADE_ARMY_EXTRA_CHANCE_PER_ROUND"	true	"0.01"
"all"	true	"all"	"CDIR_CVN_UNIT_XP_UPGRADE_NAVY_BASE_CHANCE"	true	"0.01"
"all"	true	"all"	"CDIR_CVN_UNIT_XP_UPGRADE_NAVY_EXTRA_CHANCE_PER_ROUND"	true	"0.01"
"jap_boshin"	true	"all"	"CDIR_CVN_EVENT_GENERATOR_START_AFTER_ROUND"	true	"8"
"jap_gempei"	true	"all"	"CDIR_CVN_EVENT_GENERATOR_START_AFTER_ROUND"	true	"4"
"jap_shogun"	true	"all"	"CDIR_CVN_EVENT_GENERATOR_START_AFTER_ROUND"	true	"8"
"tut_shogun"	true	"all"	"CDIR_CVN_EVENT_GENERATOR_START_AFTER_ROUND"	true	"0"
