version 3, schema technologies_tables, guid a073393b-5a3a-4819-959a-298f96380309
Tech_ID(string)	Building_IDRef(string)	Tech_Tree_Position(int)	Research_Points(int)	Icon_x0020_Name(string)	Land_prestige(int)	Naval_prestige(int)	Economic_prestige(int)	Enlightenment_prestige(int)	Early_Availability(boolean)	Late_Availability(boolean)	Researched_Message_Picture(string)	unknown3(int)	index(int)
"boshin_civil_gold_standard"	"SHO_Sword_2_Nodachi"	2	1300	"boshin_civil_gold_standard"	0	0	0	0	false	false	"bos_modernisation.TGA"	0	866
"boshin_civil_kokutai"	"SHO_Sword_2_Nodachi"	2	1500	"boshin_civil_kokutai"	0	0	0	0	false	false	"bos_generic.TGA"	0	962
"boshin_civil_merchant_house_selection"	"SHO_Sword_2_Nodachi"	2	1100	"boshin_civil_merchant_house_selection"	0	0	0	0	false	false	"bos_modernisation.TGA"	0	903
"boshin_civil_merchant_houses"	"SHO_Sword_2_Nodachi"	2	600	"boshin_civil_merchant_houses"	0	0	0	0	false	false	"bos_modernisation.TGA"	0	826
"boshin_civil_private_academies"	"SHO_Sword_2_Nodachi"	2	900	"boshin_civil_private_academies"	0	0	0	0	false	false	"bos_generic.TGA"	0	912
"boshin_civil_restoration_of_the_domain"	"SHO_Sword_2_Nodachi"	2	1000	"boshin_civil_restoration_of_the_domain"	0	0	0	0	false	false	"bos_modernisation.TGA"	0	937
"boshin_civil_revised_land_tax"	"SHO_Sword_2_Nodachi"	2	1200	"boshin_civil_revised_land_tax"	0	0	0	0	false	false	"bos_agriculture.tga"	0	946
"boshin_civil_sakoku"	"SHO_Sword_2_Nodachi"	2	700	"boshin_civil_sakoku"	0	0	0	0	false	false	"bos_generic.TGA"	0	927
"boshin_civil_seclusion"	"SHO_Sword_2_Nodachi"	2	800	"boshin_civil_seclusion"	0	0	0	0	false	false	"bos_navy.tga"	0	881
"boshin_civil_surveillance"	"SHO_Sword_2_Nodachi"	2	500	"boshin_civil_surveillance"	0	0	0	0	false	false	"bos_generic.TGA"	0	841
"boshin_civil_tea_ceremony"	"SHO_Sword_2_Nodachi"	2	500	"boshin_civil_tea_ceremony"	0	0	0	0	false	false	"bos_generic.TGA"	0	850
"boshin_civil_western_agenda"	"SHO_Sword_2_Nodachi"	2	1200	"boshin_civil_western_agenda"	0	0	0	0	false	false	"bos_westerner.TGA"	0	888
"boshin_military_advanced_segment_shell"	"SHO_Sword_2_Nodachi"	2	1400	"boshin_military_advanced_segment_shell"	0	0	0	0	false	false	"bos_navy_battle.TGA"	0	1098
"boshin_military_arms_deals"	"SHO_Sword_2_Nodachi"	2	700	"boshin_military_arms_deals"	0	0	0	0	false	false	"bos_army.tga"	0	983
"boshin_military_carbine_cavalry"	"SHO_Sword_2_Nodachi"	2	1000	"boshin_military_carbine_cavalry"	0	0	0	0	false	false	"bos_army.tga"	0	1085
"boshin_military_common_shell"	"SHO_Sword_2_Nodachi"	2	700	"boshin_military_common_shell"	0	0	0	0	false	false	"bos_navy_battle.TGA"	0	1033
"boshin_military_copper_plating"	"SHO_Sword_2_Nodachi"	2	700	"boshin_military_copper_plating"	0	0	0	0	false	false	"bos_navy_victory.TGA"	0	1014
"boshin_military_gatling_gun"	"SHO_Sword_2_Nodachi"	2	1000	"boshin_military_gatling_gun"	0	0	0	0	false	false	"bos_army_damaged.tga"	0	1037
"boshin_military_imported_guns"	"SHO_Sword_2_Nodachi"	2	800	"boshin_military_imported_guns"	0	0	0	0	false	false	"bos_army.tga"	0	1052
"boshin_military_improved_defences"	"SHO_Sword_2_Nodachi"	2	800	"boshin_military_improved_defences"	0	0	0	0	false	false	"bos_coastal_bombardment.TGA"	0	1024
"boshin_military_iron_plating"	"SHO_Sword_2_Nodachi"	2	1000	"boshin_military_iron_plating"	0	0	0	0	false	false	"bos_navy_victory.TGA"	0	1045
"boshin_military_kneel_fire"	"SHO_Sword_2_Nodachi"	2	800	"boshin_military_kneel_fire"	0	0	0	0	false	false	"bos_army.tga"	0	1039
"boshin_military_late_line_infantry"	"SHO_Sword_2_Nodachi"	2	1800	"boshin_military_late_line_infantry"	0	0	0	0	false	false	"bos_army_battle.TGA"	0	1107
"boshin_military_modern_army"	"SHO_Sword_2_Nodachi"	2	1500	"boshin_military_modern_army"	0	0	0	0	false	false	"bos_army.tga"	0	1030
"boshin_military_modern_rifles"	"SHO_Sword_2_Nodachi"	2	900	"boshin_military_modern_rifles"	0	0	0	0	false	false	"bos_army.tga"	0	1020
"boshin_military_ramming"	"SHO_Sword_2_Nodachi"	2	700	"boshin_military_ramming"	0	0	0	0	false	false	"bos_navy_victory.TGA"	0	991
"boshin_military_rifled_cannons"	"SHO_Sword_2_Nodachi"	2	700	"boshin_military_rifled_cannons"	0	0	0	0	false	false	"bos_army.tga"	0	990
"boshin_military_sabre_cavalry"	"SHO_Sword_2_Nodachi"	2	700	"boshin_military_sabre_cavalry"	0	0	0	0	false	false	"bos_army_victory.tga"	0	1007
"boshin_military_school_of_shinobi"	"SHO_Sword_2_Nodachi"	2	600	"boshin_military_school_of_shinobi"	0	0	0	0	false	false	"bos_generic.TGA"	0	997
"boshin_military_segment_shell"	"SHO_Sword_2_Nodachi"	2	1000	"boshin_military_segment_shell"	0	0	0	0	false	false	"bos_navy_battle.TGA"	0	1060
"boshin_military_shih"	"SHO_Sword_2_Nodachi"	2	400	"boshin_military_shih"	0	0	0	0	false	false	"bos_army_battle.TGA"	0	970
"boshin_military_shipyard_research"	"SHO_Sword_2_Nodachi"	2	500	"boshin_military_shipyard_research"	0	0	0	0	false	false	"bos_navy_victory.TGA"	0	980
"boshin_military_suppression_fire"	"SHO_Sword_2_Nodachi"	2	1000	"boshin_military_suppression_fire"	0	0	0	0	false	false	"bos_army.tga"	0	1088
"boshin_military_torpedo_upgrade"	"SHO_Sword_2_Nodachi"	2	1200	"boshin_military_torpedo_upgrade"	0	0	0	0	false	false	"bos_navy_defeated.TGA"	0	1069
"gempei_civil_admin_direct_land_tax"	"SHO_Sword_2_Nodachi"	2	1000	"gempei_civil_direct_land_tax"	0	0	0	0	false	false	"Dilemma_Agents.tga"	0	101
"gempei_civil_admin_police_office"	"SHO_Sword_2_Nodachi"	2	2000	"gempei_civil_police_office"	0	0	0	0	false	false	"Dilemma_Agents.tga"	0	105
"gempei_civil_admin_provincial_officials"	"SHO_Sword_2_Nodachi"	2	700	"gempei_civil_provincial_officials"	0	0	0	0	false	false	"Dilemma_Agents.tga"	0	91
"gempei_civil_core_chinese_learning"	"SHO_Sword_2_Nodachi"	2	200	"gempei_chinese_learning"	0	0	0	0	false	false	"Dilemma_Clan.tga"	0	45
"gempei_civil_core_poetry_and_literature"	"SHO_Sword_2_Nodachi"	2	300	"gempei_civil_poetry_and_literature"	0	0	0	0	false	false	"Dilemma_Castle.tga"	0	48
"gempei_civil_core_rice_loans"	"SHO_Sword_2_Nodachi"	2	300	"gempei_civil_rice_loans"	0	0	0	0	false	false	"Dilemma_Culture.tga"	0	62
"gempei_civil_core_tang_military"	"SHO_Sword_2_Nodachi"	2	1500	"gempei_civil_t'ang_military"	0	0	0	0	false	false	"Dilemma_Clan.tga"	0	61
"gempei_civil_core_taoist_thinking"	"SHO_Sword_2_Nodachi"	2	800	"gempei_civil_taoist_thinking"	0	0	0	0	false	false	"Dilemma_Merchants.tga"	0	58
"gempei_civil_core_tax_quota"	"SHO_Sword_2_Nodachi"	2	800	"gempei_civil_tax_quota"	0	0	0	0	false	false	"Dilemma_Construction.tga"	0	64
"gempei_civil_core_todofuken"	"SHO_Sword_2_Nodachi"	2	1500	"gempei_civil_todofuken"	0	0	0	0	false	false	"Dilemma_Clan.tga"	0	67
"gempei_civil_core_way_of_chi"	"SHO_Sword_2_Nodachi"	2	2200	"gempei_civil_way_of_chi"	0	0	0	0	false	false	"Dilemma_Culture.tga"	0	76
"gempei_civil_development_clan_identity"	"SHO_Sword_2_Nodachi"	2	2000	"gempei_civil_clan_identity"	0	0	0	0	false	false	"Dilemma_Agents.tga"	0	136
"gempei_civil_development_court_of_pleasure"	"SHO_Sword_2_Nodachi"	2	700	"gempei_civil_court_of_pleasure"	0	0	0	0	false	false	"Dilemma_Clan.tga"	0	130
"gempei_civil_development_sumo_retainers"	"SHO_Sword_2_Nodachi"	2	1000	"gempei_civil_sumo_retainers"	0	0	0	0	false	false	"Dilemma_Culture.tga"	0	143
"gempei_civil_loyalty_keppan"	"SHO_Sword_2_Nodachi"	2	1200	"gempei_civil_keppan"	0	0	0	0	false	false	"Dilemma_Culture.tga"	0	88
"gempei_civil_loyalty_kishomon"	"SHO_Sword_2_Nodachi"	2	600	"gempei_civil_kishomon"	0	0	0	0	false	false	"Dilemma_Culture.tga"	0	79
"gempei_civil_province_animal_husbandry"	"SHO_Sword_2_Nodachi"	2	2000	"gempei_civil_animal_husbandry"	0	0	0	0	false	false	"Dilemma_Agriculture.tga"	0	121
"gempei_civil_province_iron_manufacturing"	"SHO_Sword_2_Nodachi"	2	700	"gempei_civil_iron_tool_production"	0	0	0	0	false	false	"Dilemma_Agents.tga"	0	110
"gempei_civil_province_plough_and_oxen"	"SHO_Sword_2_Nodachi"	2	1000	"gempei_civil_plough_and_oxen"	0	0	0	0	false	false	"Dilemma_Merchants.tga"	0	120
"gempei_civil_religion_calligraphy"	"SHO_Sword_2_Nodachi"	2	2000	"gempei_civil_calligraphy"	0	0	0	0	false	false	"Dilemma_Bowman.tga"	0	171
"gempei_civil_religion_ceremony_and_ritual"	"SHO_Sword_2_Nodachi"	2	1000	"gempei_civil_ceremony_and_ritual"	0	0	0	0	false	false	"Dilemma_Bowman.tga"	0	163
"gempei_civil_religion_confucianism"	"SHO_Sword_2_Nodachi"	2	700	"gempei_confucianism"	0	0	0	0	false	false	"Dilemma_Agents.tga"	0	153
"gempei_military_attack_mastery_of_attack"	"SHO_Sword_2_Nodachi"	2	2000	"gempei_military_attack_mastery_of_attack"	0	0	0	0	false	false	"Dilemma_Ashigaru.tga"	0	244
"gempei_military_attack_strategy_of_attack"	"SHO_Sword_2_Nodachi"	2	1000	"gempei_military_attack_strategy_of_attack"	0	0	0	0	false	false	"Dilemma_Ship.tga"	0	234
"gempei_military_bow_bow_expertise"	"SHO_Sword_2_Nodachi"	2	1000	"gempei_military_bow_bow_expertise"	0	0	0	0	false	false	"Dilemma_Military.tga"	0	218
"gempei_military_bow_kyujutsu_mastery"	"SHO_Sword_2_Nodachi"	2	2000	"gempei_military_bow_kyujutsu_mastery"	0	0	0	0	false	false	"Dilemma_Attacks_Player.tga"	0	223
"gempei_military_bow_way_of_the_bow"	"SHO_Sword_2_Nodachi"	2	500	"gempei_military_bow_way_of_the_bow"	0	0	0	0	false	false	"Dilemma_Military.tga"	0	225
"gempei_military_core_budo"	"SHO_Sword_2_Nodachi"	2	200	"gempei_military_core_budo"	0	0	0	0	false	false	"Dilemma_Bowman.tga"	0	172
"gempei_military_core_bushi"	"SHO_Sword_2_Nodachi"	2	300	"gempei_military_core_bushi"	0	0	0	0	false	false	"Dilemma_cavalry.tga"	0	196
"gempei_military_core_bushido"	"SHO_Sword_2_Nodachi"	2	2200	"gempei_military_core_bushido"	0	0	0	0	false	false	"Dilemma_Attacks_Enemy.tga"	0	208
"gempei_military_core_koryu"	"SHO_Sword_2_Nodachi"	2	300	"gempei_military_core_koryu"	0	0	0	0	false	false	"Dilemma_Military.tga"	0	176
"gempei_military_core_old_way_mastery"	"SHO_Sword_2_Nodachi"	2	1500	"gempei_military_core_old_way_mastery"	0	0	0	0	false	false	"Dilemma_Samurai.tga"	0	186
"gempei_military_core_samurai_code"	"SHO_Sword_2_Nodachi"	2	1500	"gempei_military_core_samurai_code"	0	0	0	0	false	false	"Dilemma_Attacks_Player.tga"	0	203
"gempei_military_core_samurai_way"	"SHO_Sword_2_Nodachi"	2	800	"gempei_military_core_samurai_way"	0	0	0	0	false	false	"Dilemma_Military.tga"	0	200
"gempei_military_core_the_old_way"	"SHO_Sword_2_Nodachi"	2	800	"gempei_military_core_the_old_way"	0	0	0	0	false	false	"Dilemma_Samurai.tga"	0	178
"gempei_military_defence_mastery_of_defence"	"SHO_Sword_2_Nodachi"	2	2000	"gempei_military_defence_mastery_of_defence"	0	0	0	0	false	false	"Dilemma_Ship.tga"	0	232
"gempei_military_defence_strategy_of_defence"	"SHO_Sword_2_Nodachi"	2	1000	"gempei_military_defence_strategy_of_defence"	0	0	0	0	false	false	"Dilemma_Ship.tga"	0	231
"gempei_military_general_forms_of_the_earth"	"SHO_Sword_2_Nodachi"	2	700	"gempei_military_general_forms_of_the_earth"	0	0	0	0	false	false	"Dilemma_Swordsman.tga"	0	254
"gempei_military_general_the_nine_transformations"	"SHO_Sword_2_Nodachi"	2	2000	"gempei_military_general_the_nine_transformations"	0	0	0	0	false	false	"Dilemma_Swordsman.tga"	0	264
"gempei_military_horse_form"	"SHO_Sword_2_Nodachi"	2	700	"gempei_military_horse_form"	0	0	0	0	false	false	"Dilemma_Ashigaru.tga"	0	247
"gempei_military_horse_horse_mastery"	"SHO_Sword_2_Nodachi"	2	2000	"gempei_military_horse_horse_mastery"	0	0	0	0	false	false	"Dilemma_Ashigaru.tga"	0	250
"shogun_civil_core_calligraphy"	"SHO_Sword_2_Nodachi"	2	1500	"shogun_civil_core_calligraphy"	0	0	0	0	false	false	"Dilemma_Clan.tga"	0	1
"shogun_civil_core_epic_architecture"	"SHO_Sword_2_Nodachi"	2	2200	"shogun_civil_core_epic_architecture"	0	0	0	0	false	false	"Dilemma_Castle.tga"	0	2
"shogun_civil_core_tax_reform"	"SHO_Sword_2_Nodachi"	2	800	"shogun_civil_core_tax_reform"	0	0	0	0	false	false	"Dilemma_Merchants.tga"	0	3
"shogun_civil_core_tea_ceremony"	"SHO_Sword_2_Nodachi"	2	800	"shogun_civil_core_tea_ceremony"	0	0	0	0	false	false	"Dilemma_Clan.tga"	0	4
"shogun_civil_core_todofuken"	"SHO_Sword_2_Nodachi"	2	300	"shogun_civil_core_todofuken"	0	0	0	0	false	false	"Dilemma_Culture.tga"	0	5
"shogun_civil_core_traditional_building"	"SHO_Sword_2_Nodachi"	2	1500	"shogun_civil_core_traditional_building"	0	0	0	0	false	false	"Dilemma_Construction.tga"	0	6
"shogun_civil_core_way_of_chi"	"SHO_Sword_2_Nodachi"	2	200	"shogun_civil_core_way_of_chi"	0	0	0	0	false	false	"Dilemma_Clan.tga"	0	7
"shogun_civil_core_zen"	"SHO_Sword_2_Nodachi"	2	300	"shogun_civil_core_zen"	0	0	0	0	false	false	"Dilemma_Culture.tga"	0	8
"shogun_civil_loyalty_noh"	"SHO_Sword_2_Nodachi"	2	700	"shogun_civil_loyalty_noh"	0	0	0	0	false	false	"Dilemma_Culture.tga"	0	9
"shogun_civil_loyalty_sumo_tournament"	"SHO_Sword_2_Nodachi"	2	1800	"shogun_civil_loyalty_sumo_tournament"	0	0	0	0	false	false	"Dilemma_Culture.tga"	0	10
"shogun_civil_metsuke_secret_police"	"SHO_Sword_2_Nodachi"	2	700	"shogun_civil_metsuke_secret_police"	0	0	0	0	false	false	"Dilemma_Agents.tga"	0	11
"shogun_civil_metsuke_sword_hunt"	"SHO_Sword_2_Nodachi"	2	2000	"shogun_civil_metsuke_sword_hunt"	0	0	0	0	false	false	"Dilemma_Agents.tga"	0	12
"shogun_civil_ninja_ninjutsu_mastery"	"SHO_Sword_2_Nodachi"	2	2000	"shogun_civil_ninja_ninjutsu_mastery"	0	0	0	0	false	false	"Dilemma_Agents.tga"	0	13
"shogun_civil_ninja_school_of_shinobi"	"SHO_Sword_2_Nodachi"	2	400	"shogun_civil_ninja_school_of_shinobi"	0	0	0	0	false	false	"Dilemma_Agents.tga"	0	14
"shogun_civil_province_chonindo"	"SHO_Sword_2_Nodachi"	2	1800	"shogun_civil_province_chonindo"	0	0	0	0	false	false	"Dilemma_Merchants.tga"	0	15
"shogun_civil_province_equal_fields"	"SHO_Sword_2_Nodachi"	2	700	"shogun_civil_province_equal_fields"	0	0	0	0	false	false	"Dilemma_Agriculture.tga"	0	16
"shogun_civil_province_kinza_mint"	"SHO_Sword_2_Nodachi"	2	2400	"shogun_civil_province_kinza_mint"	0	0	0	0	false	false	"Dilemma_Clan.tga"	0	17
"shogun_civil_religion_essence_of_the_spirit"	"SHO_Sword_2_Nodachi"	2	700	"shogun_civil_religion_essence_of_the_spirit"	0	0	0	0	false	false	"Dilemma_Agents.tga"	0	18
"shogun_civil_religion_neo_confucianism"	"SHO_Sword_2_Nodachi"	2	2400	"shogun_civil_religion_neo_confucianism"	0	0	0	0	false	false	"Dilemma_Culture.tga"	0	19
"shogun_civil_religion_otomo_essence_of_the_spirit"	"SHO_Sword_2_Nodachi"	2	700	"shogun_civil_religion_essence_of_the_spirit"	0	0	0	0	false	false	"Dilemma_Agents.tga"	0	1119
"shogun_civil_religion_religious_propagation"	"SHO_Sword_2_Nodachi"	2	2400	"shogun_civil_religion_religious_propagation"	0	0	0	0	false	false	"Dilemma_Culture.tga"	0	1114
"shogun_civil_religion_religious_self_sufficiency"	"SHO_Sword_2_Nodachi"	2	1800	"shogun_civil_religion_religious_self_sufficiency"	0	0	0	0	false	false	"Dilemma_Agents.tga"	0	1109
"shogun_civil_religion_scholarship"	"SHO_Sword_2_Nodachi"	2	1800	"shogun_civil_religion_scholarship"	0	0	0	0	false	false	"Dilemma_Agents.tga"	0	20
"shogun_custom_battle_tech"	"SHO_Archery_1_Archery_Dojo"	0	0	"shogun_civil_core_calligraphy"	0	0	0	0	true	true	"\"placeholder.tga\""	0	21
"shogun_military_bow_bow_expertise"	"SHO_Sword_2_Nodachi"	2	1000	"shogun_military_bow_bow_expertise"	0	0	0	0	false	false	"Dilemma_Bowman.tga"	0	22
"shogun_military_bow_kyujutsu_mastery"	"SHO_Sword_2_Nodachi"	2	2200	"shogun_military_bow_kyujutsu_mastery"	0	0	0	0	false	false	"Dilemma_Bowman.tga"	0	23
"shogun_military_bow_way_of_the_bow"	"SHO_Sword_2_Nodachi"	2	700	"shogun_military_bow_way_of_the_bow"	0	0	0	0	false	false	"Dilemma_Bowman.tga"	0	24
"shogun_military_core_bushido"	"SHO_Sword_2_Nodachi"	2	200	"shogun_military_core_bushido"	0	0	0	0	false	false	"Dilemma_Military.tga"	0	25
"shogun_military_core_form"	"SHO_Sword_2_Nodachi"	2	800	"shogun_military_core_form"	0	0	0	0	false	false	"Dilemma_Samurai.tga"	0	26
"shogun_military_core_heaven_and_earth"	"SHO_Sword_2_Nodachi"	2	800	"shogun_military_core_heaven_and_earth"	0	0	0	0	false	false	"Dilemma_Samurai.tga"	0	27
"shogun_military_core_horse_mastery"	"SHO_Sword_2_Nodachi"	2	1500	"shogun_military_core_horse_mastery"	0	0	0	0	false	false	"Dilemma_cavalry.tga"	0	28
"shogun_military_core_shih"	"SHO_Sword_2_Nodachi"	2	2200	"shogun_military_core_shih"	0	0	0	0	false	false	"Dilemma_Military.tga"	0	29
"shogun_military_core_strategy_of_attack"	"SHO_Sword_2_Nodachi"	2	300	"shogun_military_core_strategy_of_attack"	0	0	0	0	false	false	"Dilemma_Attacks_Player.tga"	0	30
"shogun_military_core_strategy_of_defence"	"SHO_Sword_2_Nodachi"	2	300	"shogun_military_core_strategy_of_defense"	0	0	0	0	false	false	"Dilemma_Attacks_Enemy.tga"	0	31
"shogun_military_core_the_five_elements"	"SHO_Sword_2_Nodachi"	2	1500	"shogun_military_core_the_five_elements"	0	0	0	0	false	false	"Dilemma_Military.tga"	0	32
"shogun_military_musket_attack_by_fire"	"SHO_Sword_2_Nodachi"	2	1000	"shogun_military_musket_attack_by_fire"	0	0	0	0	false	false	"Dilemma_Attacks_Player.tga"	0	33
"shogun_military_musket_teppo_mastery"	"SHO_Sword_2_Nodachi"	2	2200	"shogun_military_musket_teppo_mastery"	0	0	0	0	false	false	"Dilemma_Military.tga"	0	34
"shogun_military_naval_mastery_of_the_waves"	"SHO_Sword_2_Nodachi"	2	1300	"shogun_military_naval_mastery_of_the_waves"	0	0	0	0	false	false	"Dilemma_Ship.tga"	0	35
"shogun_military_naval_naval_expertise"	"SHO_Sword_2_Nodachi"	2	800	"shogun_military_naval_naval_expertise"	0	0	0	0	false	false	"Dilemma_Ship.tga"	0	36
"shogun_military_naval_way_of_the_sea"	"SHO_Sword_2_Nodachi"	2	400	"shogun_military_naval_way_of_the_sea"	0	0	0	0	false	false	"Dilemma_Ship.tga"	0	37
"shogun_military_spear_sojutsu_mastery"	"SHO_Sword_2_Nodachi"	2	2200	"shogun_military_spear_sojutsu_mastery"	0	0	0	0	false	false	"Dilemma_Ashigaru.tga"	0	38
"shogun_military_spear_spear_expertise"	"SHO_Sword_2_Nodachi"	2	1000	"shogun_military_spear_spear_expertise"	0	0	0	0	false	false	"Dilemma_Ashigaru.tga"	0	39
"shogun_military_spear_way_of_the_spear"	"SHO_Sword_2_Nodachi"	2	700	"shogun_military_spear_way_of_the_spear"	0	0	0	0	false	false	"Dilemma_Ashigaru.tga"	0	40
"shogun_military_sword_kenjutsu_mastery"	"SHO_Sword_2_Nodachi"	2	2200	"shogun_military_sword_kenjutsu_mastery"	0	0	0	0	false	false	"Dilemma_Swordsman.tga"	0	41
"shogun_military_sword_sword_expertise"	"SHO_Sword_2_Nodachi"	2	1000	"shogun_military_sword_sword_expertise"	0	0	0	0	false	false	"Dilemma_Swordsman.tga"	0	42
"shogun_military_sword_way_of_the_sword"	"SHO_Sword_2_Nodachi"	2	700	"shogun_military_sword_way_of_the_sword"	0	0	0	0	false	false	"Dilemma_Swordsman.tga"	0	43
