version 1, schema warscape_trees_tables
TreeID(string)	Season(string)	Model_x0020_Path(string)
"lc_am_se_usa-Caribbean_Pine_tree"	"season_summer"	"\\lc_am_se_usa\\lc_am_se_usa-caribbean_pine_TREE.spt"
"lc_am_se_usa-Caribbean_Pine_tree"	"season_winter"	"\\lc_am_se_usa\\lc_am_se_usa-caribbean_pine_TREE.spt"
"lc_am_se_usa-Carolina_Buckthorn_shrub"	"season_summer"	"\\lc_am_se_usa\\lc_am_se_usa-carolina_buckthorn_SHRUB.spt"
"lc_am_se_usa-Carolina_Buckthorn_shrub"	"season_winter"	"\\lc_am_se_usa\\lc_am_se_usa-carolina_buckthorn_SHRUB.spt"
"lc_am_se_usa-Cinnamon_Fern_shrub"	"season_summer"	"\\lc_am_se_usa\\lc_am_se_usa-cinnamon_fern_SHRUB.spt"
"lc_am_se_usa-Cinnamon_Fern_shrub"	"season_winter"	"\\lc_am_se_usa\\lc_am_se_usa-cinnamon_fern_SHRUB.spt"
"lc_am_se_usa-Low_Brush_shrub"	"season_summer"	"\\lc_am_se_usa\\lc_am_se_usa-lowbrush_SHRUB.spt"
"lc_am_se_usa-Low_Brush_shrub"	"season_winter"	"\\lc_am_se_usa\\lc_am_se_usa-lowbrush_SHRUB.spt"
"lc_am_se_usa-Swamp_Cypress_tree"	"season_summer"	"\\lc_am_se_usa\\lc_am_se_usa-swamp_cypress_TREE.spt"
"lc_am_se_usa-Swamp_Cypress_tree"	"season_winter"	"\\lc_am_se_usa\\lc_am_se_usa-swamp_cypress_TREE.spt"
"lc_am_se_usa-Tulip_tree"	"season_summer"	"\\lc_am_se_usa\\lc_am_se_usa-tulip_TREE.spt"
"lc_am_se_usa-Tulip_tree"	"season_winter"	"\\lc_am_se_usa\\lc_am_se_usa-tulip_TREE.spt"
"lc_am_tropical_humid-Balsa_tree"	"season_summer"	"\\lc_am_tropical_humid\\lc_am_tropical_humid-balsa_TREE.spt"
"lc_am_tropical_humid-Balsa_tree"	"season_winter"	"\\lc_am_tropical_humid\\lc_am_tropical_humid-balsa_TREE.spt"
"lc_am_tropical_humid-Bamboo_Cluster_tree"	"season_summer"	"\\lc_am_tropical_humid\\lc_am_tropical_humid-bamboo_cluster_TREE.spt"
"lc_am_tropical_humid-Bamboo_Cluster_tree"	"season_winter"	"\\lc_am_tropical_humid\\lc_am_tropical_humid-bamboo_cluster_TREE.spt"
"lc_am_tropical_humid-Banana_Tree_shrub"	"season_summer"	"\\lc_am_tropical_humid\\lc_am_tropical_humid-banana_tree_SHRUB.spt"
"lc_am_tropical_humid-Banana_Tree_shrub"	"season_winter"	"\\lc_am_tropical_humid\\lc_am_tropical_humid-banana_tree_SHRUB.spt"
"lc_am_tropical_humid-Caribbean_Pine_tree"	"season_summer"	"\\lc_am_tropical_humid\\lc_am_tropical_humid-caribbean_pine_TREE.spt"
"lc_am_tropical_humid-Caribbean_Pine_tree"	"season_winter"	"\\lc_am_tropical_humid\\lc_am_tropical_humid-caribbean_pine_TREE.spt"
"lc_am_tropical_humid-Cecropia_tree"	"season_summer"	"\\lc_am_tropical_humid\\lc_am_tropical_humid-cecropia_TREE.spt"
"lc_am_tropical_humid-Cecropia_tree"	"season_winter"	"\\lc_am_tropical_humid\\lc_am_tropical_humid-cecropia_TREE.spt"
"lc_am_tropical_humid-Cinnamon_Fern_shrub"	"season_summer"	"\\lc_am_tropical_humid\\lc_am_tropical_humid-cinnamon_fern_SHRUB.spt"
"lc_am_tropical_humid-Cinnamon_Fern_shrub"	"season_winter"	"\\lc_am_tropical_humid\\lc_am_tropical_humid-cinnamon_fern_SHRUB.spt"
"lc_am_tropical_humid-Jungle_Brush_shrub"	"season_summer"	"\\lc_am_tropical_humid\\lc_am_tropical_humid-jungle_brush_SHRUB.spt"
"lc_am_tropical_humid-Jungle_Brush_shrub"	"season_winter"	"\\lc_am_tropical_humid\\lc_am_tropical_humid-jungle_brush_SHRUB.spt"
"lc_am_tropical_humid-Kapok_tree"	"season_summer"	"\\lc_am_tropical_humid\\lc_am_tropical_humid-kapok_TREE.spt"
"lc_am_tropical_humid-Kapok_tree"	"season_winter"	"\\lc_am_tropical_humid\\lc_am_tropical_humid-kapok_TREE.spt"
"lc_am_tropical_humid-Queen_Palm_tree"	"season_summer"	"\\lc_am_tropical_humid\\lc_am_tropical_humid-queen_palm_TREE.spt"
"lc_am_tropical_humid-Queen_Palm_tree"	"season_winter"	"\\lc_am_tropical_humid\\lc_am_tropical_humid-queen_palm_TREE.spt"
"lc_am_us_central-Blue_Spruce_tree"	"season_summer"	"\\lc_am_us_central\\lc_am_us_central-BlueSpruce_TREE.spt"
"lc_am_us_central-Blue_Spruce_tree"	"season_winter"	"\\lc_am_us_central\\lc_am_us_central-BlueSpruce_TREE_WINTER.spt"
"lc_am_us_central-Burford_Holly_shrub"	"season_summer"	"\\lc_am_us_central\\lc_am_us_central-burford_holly_SHRUB.spt"
"lc_am_us_central-Burford_Holly_shrub"	"season_winter"	"\\lc_am_us_central\\lc_am_us_central-burford_holly_SHRUB_WINTER.spt"
"lc_am_us_central-Creeping_Juniper_shrub"	"season_summer"	"\\lc_am_us_central\\lc_am_us_central-creeping_juniper_SHRUB.spt"
"lc_am_us_central-Creeping_Juniper_shrub"	"season_winter"	"\\lc_am_us_central\\lc_am_us_central-creeping_juniper_SHRUB_WINTER.spt"
"lc_am_us_central-Narrow_Leaved_Ash_tree"	"season_summer"	"\\lc_am_us_central\\lc_am_us_central-narrow_leaved_ash_TREE.spt"
"lc_am_us_central-Narrow_Leaved_Ash_tree"	"season_winter"	"\\lc_am_us_central\\lc_am_us_central-narrow_leaved_ash_TREE_WINTER.spt"
"lc_am_us_central-Scarlet_Oak_tree"	"season_summer"	"\\lc_am_us_central\\lc_am_us_central-scarlet_oak_TREE.spt"
"lc_am_us_central-Scarlet_Oak_tree"	"season_winter"	"\\lc_am_us_central\\lc_am_us_central-scarlet_oak_TREE_WINTER.spt"
"lc_am_us_central-Silver_Maple_tree"	"season_summer"	"\\lc_am_us_central\\lc_am_us_central-silver_maple_TREE.spt"
"lc_am_us_central-Silver_Maple_tree"	"season_winter"	"\\lc_am_us_central\\lc_am_us_central-silver_maple_TREE_WINTER.spt"
"lc_am_us_central-Sorrel_tree"	"season_summer"	"\\lc_am_us_central\\lc_am_us_central-sorrel_tree_TREE.spt"
"lc_am_us_central-Sorrel_tree"	"season_winter"	"\\lc_am_us_central\\lc_am_us_central-sorrel_tree_TREE_WINTER.spt"
"lc_am_us_central-Thicket_shrub"	"season_summer"	"\\lc_am_us_central\\lc_am_us_central-thicket_SHRUB.spt"
"lc_am_us_central-Thicket_shrub"	"season_winter"	"\\lc_am_us_central\\lc_am_us_central-thicket_SHRUB_WINTER.spt"
"lc_am_us_east-American_Beech_tree"	"season_summer"	"\\lc_am_us_east\\lc_am_us_east-american_beech_TREE.spt"
"lc_am_us_east-American_Beech_tree"	"season_winter"	"\\lc_am_us_east\\lc_am_us_east-american_beech_TREE_WINTER.spt"
"lc_am_us_east-American_Holly_shrub"	"season_summer"	"\\lc_am_us_east\\lc_am_us_east-american_holly_SHRUB.spt"
"lc_am_us_east-American_Holly_shrub"	"season_winter"	"\\lc_am_us_east\\lc_am_us_east-american_holly_SHRUB_WINTER.spt"
"lc_am_us_east-Blue_Spruce_tree"	"season_summer"	"\\lc_am_us_east\\lc_am_us_east-BlueSpruce_TREE.spt"
"lc_am_us_east-Blue_Spruce_tree"	"season_winter"	"\\lc_am_us_east\\lc_am_us_east-BlueSpruce_TREE_WINTER.spt"
"lc_am_us_east-Cinnamon_Fern_shrub"	"season_summer"	"\\lc_am_us_east\\lc_am_us_east-cinnamon_fern_SHRUB.spt"
"lc_am_us_east-Creeping_Juniper_shrub"	"season_summer"	"\\lc_am_us_east\\lc_am_us_east-creeping_juniper_SHRUB.spt"
"lc_am_us_east-Creeping_Juniper_shrub"	"season_winter"	"\\lc_am_us_east\\lc_am_us_east-creeping_juniper_SHRUB_WINTER.spt"
"lc_am_us_east-Red_Oak_tree"	"season_summer"	"\\lc_am_us_east\\lc_am_us_east-RedOak_TREE.spt"
"lc_am_us_east-Red_Oak_tree"	"season_winter"	"\\lc_am_us_east\\lc_am_us_east-RedOak_TREE_WINTER.spt"
"lc_am_us_east-Silver_Maple_tree"	"season_summer"	"\\lc_am_us_east\\lc_am_us_east-SilverMaple_TREE.spt"
"lc_am_us_east-Silver_Maple_tree"	"season_winter"	"\\lc_am_us_east\\lc_am_us_east-SilverMaple_TREE_WINTER.spt"
"lc_am_us_east-White_Oak_tree"	"season_summer"	"\\lc_am_us_east\\lc_am_us_east-white_oak_TREE.spt"
"lc_am_us_east-White_Oak_tree"	"season_winter"	"\\lc_am_us_east\\lc_am_us_east-white_oak_TREE_WINTER.spt"
"lc_as_temp_humid-Agarwood_tree"	"season_summer"	"\\lc_as_temp_humid\\lc_as_temp_humid-Agarwood_TREE.spt"
"lc_as_temp_humid-Agarwood_tree"	"season_winter"	"\\lc_as_temp_humid\\lc_as_temp_humid-Agarwood_TREE.spt"
"lc_as_temp_humid-Banana_Tree_shrub"	"season_summer"	"\\lc_as_temp_humid\\lc_as_temp_humid-banana_tree_SHRUB.spt"
"lc_as_temp_humid-Banana_Tree_shrub"	"season_winter"	"\\lc_as_temp_humid\\lc_as_temp_humid-banana_tree_SHRUB.spt"
"lc_as_temp_humid-Creeping_Juniper_shrub"	"season_summer"	"\\lc_as_temp_humid\\lc_as_temp_humid-creeping_juniper_SHRUB.spt"
"lc_as_temp_humid-Creeping_Juniper_shrub"	"season_winter"	"\\lc_as_temp_humid\\lc_as_temp_humid-creeping_juniper_SHRUB.spt"
"lc_as_temp_humid-Dogwood_tree"	"season_summer"	"\\lc_as_temp_humid\\lc_as_temp_humid-kousa_dogwood_TREE.spt"
"lc_as_temp_humid-Dogwood_tree"	"season_winter"	"\\lc_as_temp_humid\\lc_as_temp_humid-kousa_dogwood_TREE.spt"
"lc_as_temp_humid-Japanese_Stewartia_tree"	"season_summer"	"\\lc_as_temp_humid\\lc_as_temp_humid-japanese_stewartia_TREE.spt"
"lc_as_temp_humid-Japanese_Stewartia_tree"	"season_winter"	"\\lc_as_temp_humid\\lc_as_temp_humid-japanese_stewartia_TREE.spt"
"lc_as_temp_humid-Leaved_Ash_tree"	"season_summer"	"\\lc_as_temp_humid\\lc_as_temp_humid-narrow_leaved_ash_SHRUB.spt"
"lc_as_temp_humid-Leaved_Ash_tree"	"season_winter"	"\\lc_as_temp_humid\\lc_as_temp_humid-narrow_leaved_ash_SHRUB.spt"
"lc_as_temp_humid-Queen_Palm_tree"	"season_summer"	"\\lc_as_temp_humid\\lc_as_temp_humid-queen_palm_TREE.spt"
"lc_as_temp_humid-Queen_Palm_tree"	"season_winter"	"\\lc_as_temp_humid\\lc_as_temp_humid-queen_palm_TREE.spt"
"lc_as_temp_humid-Queens_Crepe_Myrtle_tree"	"season_summer"	"\\lc_as_temp_humid\\lc_as_temp_humid-queens_crepe_myrtle_TREE.spt"
"lc_as_temp_humid-Queens_Crepe_Myrtle_tree"	"season_winter"	"\\lc_as_temp_humid\\lc_as_temp_humid-queens_crepe_myrtle_TREE.spt"
"lc_as_temp_humid-Thicket_shrub"	"season_summer"	"\\lc_as_temp_humid\\lc_as_temp_humid-thicket_SHRUB.spt"
"lc_as_temp_humid-Thicket_shrub"	"season_winter"	"\\lc_as_temp_humid\\lc_as_temp_humid-thicket_SHRUB.spt"
"lc_as_temp_s_arid-Bristle_Cone_tree"	"season_summer"	"\\lc_as_temp_s_arid\\lc_as_temp_s_arid-BristleCone_TREE.spt"
"lc_as_temp_s_arid-Bristle_Cone_tree"	"season_winter"	"\\lc_as_temp_s_arid\\lc_as_temp_s_arid-BristleCone_TREE.spt"
"lc_as_temp_s_arid-Carolina_Buckthorn_shrub"	"season_summer"	"\\lc_as_temp_s_arid\\lc_as_temp_s_arid-carolina_buckthorn_SHRUB.spt"
"lc_as_temp_s_arid-Carolina_Buckthorn_shrub"	"season_winter"	"\\lc_as_temp_s_arid\\lc_as_temp_s_arid-carolina_buckthorn_SHRUB.spt"
"lc_as_temp_s_arid-Ghost_Gum_tree"	"season_summer"	"\\lc_as_temp_s_arid\\lc_as_temp_s_arid-GhostGum_TREE.spt"
"lc_as_temp_s_arid-Ghost_Gum_tree"	"season_winter"	"\\lc_as_temp_s_arid\\lc_as_temp_s_arid-GhostGum_TREE.spt"
"lc_as_temp_s_arid-Gimlet_tree"	"season_summer"	"\\lc_as_temp_s_arid\\lc_as_temp_s_arid-Gimlet_TREE.spt"
"lc_as_temp_s_arid-Gimlet_tree"	"season_winter"	"\\lc_as_temp_s_arid\\lc_as_temp_s_arid-Gimlet_TREE.spt"
"lc_as_temp_s_arid-Low_Brush_shrub"	"season_summer"	"\\lc_as_temp_s_arid\\lc_as_temp_s_arid-lowbrush_SHRUB.spt"
"lc_as_temp_s_arid-Low_Brush_shrub"	"season_winter"	"\\lc_as_temp_s_arid\\lc_as_temp_s_arid-lowbrush_SHRUB.spt"
"lc_as_temp_s_arid-Queens_Crepe_Myrtle_tree"	"season_summer"	"\\lc_as_temp_s_arid\\lc_as_temp_s_arid-queens_crepe_myrtle_TREE.spt"
"lc_as_temp_s_arid-Queens_Crepe_Myrtle_tree"	"season_winter"	"\\lc_as_temp_s_arid\\lc_as_temp_s_arid-queens_crepe_myrtle_TREE.spt"
"lc_as_temp_s_arid-Thicket_shrub"	"season_summer"	"\\lc_as_temp_s_arid\\lc_as_temp_s_arid-thicket_SHRUB.spt"
"lc_as_temp_s_arid-Thicket_shrub"	"season_winter"	"\\lc_as_temp_s_arid\\lc_as_temp_s_arid-thicket_SHRUB.spt"
"lc_as_temp_s_arid-Weeping_Fig_tree"	"season_summer"	"\\lc_as_temp_s_arid\\lc_as_temp_s_arid-weeping_fig_TREE.spt"
"lc_as_temp_s_arid-Weeping_Fig_tree"	"season_winter"	"\\lc_as_temp_s_arid\\lc_as_temp_s_arid-weeping_fig_TREE.spt"
"lc_as_trop_humid-Agarwood_tree"	"season_summer"	"\\lc_as_trop_humid\\lc_as_trop_humid-agarwood_TREE.spt"
"lc_as_trop_humid-Agarwood_tree"	"season_winter"	"\\lc_as_trop_humid\\lc_as_trop_humid-agarwood_TREE.spt"
"lc_as_trop_humid-Agarwood2_tree"	"season_summer"	"\\lc_as_trop_humid\\lc_as_trop_humid-agarwood2_TREE.spt"
"lc_as_trop_humid-Agarwood2_tree"	"season_winter"	"\\lc_as_trop_humid\\lc_as_trop_humid-agarwood2_TREE.spt"
"lc_as_trop_humid-Coconut_Palm_tree"	"season_summer"	"\\lc_as_trop_humid\\lc_as_trop_humid-coconut_palm_TREE.spt"
"lc_as_trop_humid-Coconut_Palm_tree"	"season_winter"	"\\lc_as_trop_humid\\lc_as_trop_humid-coconut_palm_TREE.spt"
"lc_as_trop_humid-Curly_Palm_tree"	"season_summer"	"\\lc_as_trop_humid\\lc_as_trop_humid-curly_palm_TREE.spt"
"lc_as_trop_humid-Curly_Palm_tree"	"season_winter"	"\\lc_as_trop_humid\\lc_as_trop_humid-curly_palm_TREE.spt"
"lc_as_trop_humid-General_Fan_Palm_tree"	"season_summer"	"\\lc_as_trop_humid\\lc_as_trop_humid-general_fan_palm_TREE.spt"
"lc_as_trop_humid-General_Fan_Palm_tree"	"season_winter"	"\\lc_as_trop_humid\\lc_as_trop_humid-general_fan_palm_TREE.spt"
"lc_as_trop_humid-Jungle_Brush_shrub"	"season_summer"	"\\lc_as_trop_humid\\lc_as_trop_humid-jungle_brush_SHRUB.spt"
"lc_as_trop_humid-Jungle_Brush_shrub"	"season_winter"	"\\lc_as_trop_humid\\lc_as_trop_humid-jungle_brush_SHRUB.spt"
"lc_as_trop_humid-Low_brush_shrub"	"season_summer"	"\\lc_as_trop_humid\\lc_as_trop_humid-lowbrush_SHRUB.spt"
"lc_as_trop_humid-Low_brush_shrub"	"season_winter"	"\\lc_as_trop_humid\\lc_as_trop_humid-lowbrush_SHRUB.spt"
"lc_as_trop_humid-Thicket_shrub"	"season_summer"	"\\lc_as_trop_humid\\lc_as_trop_humid-thicket_SHRUB.spt"
"lc_as_trop_humid-Thicket_shrub"	"season_winter"	"\\lc_as_trop_humid\\lc_as_trop_humid-thicket_SHRUB.spt"
"lc_as_trop_s_arid-Agarwood_tree"	"season_summer"	"\\lc_as_trop_s_arid\\lc_as_trop_s_arid-agarwood_TREE.spt"
"lc_as_trop_s_arid-Agarwood_tree"	"season_winter"	"\\lc_as_trop_s_arid\\lc_as_trop_s_arid-agarwood_TREE.spt"
"lc_as_trop_s_arid-Agarwoord2_tree"	"season_summer"	"\\lc_as_trop_s_arid\\lc_as_trop_s_arid-agarwood2_TREE.spt"
"lc_as_trop_s_arid-Agarwoord2_tree"	"season_winter"	"\\lc_as_trop_s_arid\\lc_as_trop_s_arid-agarwood2_TREE.spt"
"lc_as_trop_s_arid-Carolina_Buckthorn_shrub"	"season_summer"	"\\lc_as_trop_s_arid\\lc_as_trop_s_arid-carolina_buckthorn_SHRUB.spt"
"lc_as_trop_s_arid-Carolina_Buckthorn_shrub"	"season_winter"	"\\lc_as_trop_s_arid\\lc_as_trop_s_arid-carolina_buckthorn_SHRUB.spt"
"lc_as_trop_s_arid-Large_Bush_tree"	"season_summer"	"\\lc_as_trop_s_arid\\lc_as_trop_s_arid-large_bush_TREE.spt"
"lc_as_trop_s_arid-Large_Bush_tree"	"season_winter"	"\\lc_as_trop_s_arid\\lc_as_trop_s_arid-large_bush_TREE.spt"
"lc_as_trop_s_arid-Low_Brush_tree"	"season_summer"	"\\lc_as_trop_s_arid\\lc_as_trop_s_arid-lowbrush_SHRUB.spt"
"lc_as_trop_s_arid-Low_Brush_tree"	"season_winter"	"\\lc_as_trop_s_arid\\lc_as_trop_s_arid-lowbrush_SHRUB.spt"
"lc_as_trop_s_arid-Portia_tree"	"season_summer"	"\\lc_as_trop_s_arid\\lc_as_trop_s_arid-portia_tree_TREE.spt"
"lc_as_trop_s_arid-Portia_tree"	"season_winter"	"\\lc_as_trop_s_arid\\lc_as_trop_s_arid-portia_tree_TREE.spt"
"lc_as_trop_s_arid-Thicket_shrub"	"season_summer"	"\\lc_as_trop_s_arid\\lc_as_trop_s_arid-thicket_SHRUB.spt"
"lc_as_trop_s_arid-Thicket_shrub"	"season_winter"	"\\lc_as_trop_s_arid\\lc_as_trop_s_arid-thicket_SHRUB.spt"
"lc_as_trop_s_arid-Thingham_tree"	"season_summer"	"\\lc_as_trop_s_arid\\lc_as_trop_s_arid-thingham_TREE.spt"
