version 2, schema regions_tables
Region_ID(string)	Continent_IDRef(string)	R(int)	G(int)	B(int)	unknown6(string)
"eur_aquitaine"	"cont_europe"	77	120	148	"Aquitaine"
"eur_austria"	"cont_europe"	255	246	133	"Austria"
"eur_baden_wurttemberg"	"cont_europe"	171	137	157	"Baden-Württemberg"
"eur_balearic_isles"	"cont_europe"	194	142	91	"Balearic Isles"
"eur_balkans"	"cont_europe"	76	255	228	"Balkans"
"eur_bavaria"	"cont_europe"	138	127	149	"Bavaria"
"eur_belarus"	"cont_europe"	111	97	49	"Belarus"
"eur_belgorod_guberniya"	"cont_europe"	184	130	45	"Belgorod Gub."
"eur_bohemia"	"cont_europe"	139	126	84	"Bohemia"
"eur_brandenburg"	"cont_europe"	124	255	186	"Brandenburg"
"eur_bretagne"	"cont_europe"	109	120	146	"Bretagne"
"eur_catalonia"	"cont_europe"	230	200	133	"Catalonia"
"eur_cleves_mark"	"cont_europe"	114	114	114	"Cleves-Mark"
"eur_corsica"	"cont_europe"	57	140	86	"Corsica"
"eur_courland"	"cont_europe"	87	124	95	"Courland"
"eur_croatia"	"cont_europe"	164	146	83	"Croatia"
"eur_denmark"	"cont_europe"	137	81	83	"Denmark"
"eur_east_prussia"	"cont_europe"	125	71	0	"East Prussia"
"eur_england"	"cont_europe"	165	87	91	"England"
"eur_estonia_livonia"	"cont_europe"	248	113	211	"Estonia & Livonia"
"eur_finland"	"cont_europe"	87	133	130	"Finland"
"eur_flanders_wallonia"	"cont_europe"	160	196	255	"Flanders & Wallonia"
"eur_france"	"cont_europe"	77	109	139	"France"
"eur_frisia"	"cont_europe"	172	168	77	"Frisia"
"eur_galicia"	"cont_europe"	199	187	38	"Galicia"
"eur_gibraltar"	"cont_europe"	152	132	87	"Gibraltar"
"eur_greater_poland"	"cont_europe"	225	225	225	"Greater Poland"
"eur_greece"	"cont_europe"	141	91	91	"Greece"
"eur_hannover"	"cont_europe"	0	154	255	"Hannover"
"eur_hessen_nassau"	"cont_europe"	152	100	139	"Hessen-Kassel"
"eur_holland"	"cont_europe"	170	132	88	"Holland"
"eur_hungary"	"cont_europe"	226	220	141	"Hungary"
"eur_ingria"	"cont_europe"	149	130	99	"Ingria"
"eur_ireland"	"cont_europe"	151	101	103	"Ireland"
"eur_kiev_guberniya"	"cont_europe"	115	101	111	"Kiev Guberniya"
"eur_lithuania"	"cont_europe"	196	97	169	"Lithuania"
"eur_little_tatary"	"cont_europe"	113	66	100	"Little Tatary"
"eur_mecklenburg"	"cont_europe"	169	224	159	"Mecklenburg"
"eur_moldova_bessarabia"	"cont_europe"	64	141	129	"Moldova & Bessarabia"
"eur_moravia"	"cont_europe"	164	147	105	"Moravia"
"eur_moscow_guberniya"	"cont_europe"	74	71	59	"Moscow Guberniya"
"eur_naples"	"cont_europe"	77	111	108	"Naples"
"eur_navarra"	"cont_europe"	158	143	104	"Navarra"
"eur_normandie"	"cont_europe"	0	83	221	"Normandie"
"eur_northern_italy"	"cont_europe"	130	152	101	"Northern Italy"
"eur_norway"	"cont_europe"	122	78	31	"Norway"
"eur_novgorod"	"cont_europe"	95	140	106	"Novgorod Guberniya"
"eur_papal_state"	"cont_europe"	115	94	132	"Papal State"
"eur_pays_d_oc"	"cont_europe"	0	255	90	"Pays d'Oc"
"eur_picardie_champagne"	"cont_europe"	77	97	119	"Picardie-Champagne"
"eur_piemont_liguria"	"cont_europe"	91	137	57	"Piemont-Liguria"
"eur_pommerania"	"cont_europe"	124	124	124	"Pommerania"
"eur_portugal"	"cont_europe"	117	84	79	"Portugal"
"eur_provence"	"cont_europe"	140	174	255	"Provence"
"eur_rumelia"	"cont_middle_east"	132	103	94	"Rumelia"
"eur_sardinia"	"cont_europe"	107	154	98	"Sardinia"
"eur_saxony_thuringia"	"cont_europe"	111	127	92	"Saxony & Thuringia"
"eur_scotland"	"cont_europe"	123	77	77	"Scotland"
"eur_sicily"	"cont_europe"	185	197	0	"Sicily"
"eur_silesia"	"cont_europe"	142	142	142	"Silesia"
"eur_smolensk_guberniya"	"cont_europe"	77	113	89	"Smolensk Guberniya"
"eur_spain"	"cont_europe"	156	151	87	"Spain"
"eur_sweden"	"cont_europe"	77	120	118	"Sweden"
"eur_switzerland"	"cont_europe"	168	118	124	"Switzerland"
"eur_transylvania"	"cont_europe"	189	147	47	"Transylvania"
"eur_tyrol"	"cont_europe"	124	140	158	"Tyrol"
"eur_venetia"	"cont_europe"	192	152	57	"Venetia"
"eur_volhynia_podolia"	"cont_europe"	82	107	101	"Volhynia & Podolia"
"eur_wales"	"cont_europe"	255	212	212	"Wales"
"eur_wallachia"	"cont_europe"	223	199	114	"Wallachia"
"eur_west_prussia"	"cont_europe"	26	142	116	"West Prussia"
"ita_alpes_maritimes"	"cont_europe"	75	75	163	"Alpes Maritimes"
"ita_ancona"	"cont_europe"	154	163	163	"Marche"
"ita_brescia"	"cont_europe"	163	110	110	"Brescia"
"ita_carinthia"	"cont_europe"	139	27	58	"Carinthia"
"ita_cuneo"	"cont_europe"	165	241	165	"Cuneo"
"ita_emilio_romagna"	"cont_europe"	163	154	163	"Emilia-Romagna"
"ita_friuli"	"cont_europe"	148	75	75	"Friuli"
"ita_liguria"	"cont_europe"	255	216	60	"Liguria"
"ita_lissandria"	"cont_europe"	75	163	131	"Lissandria"
"ita_lodi"	"cont_europe"	163	163	75	"Lodi"
"ita_lucca"	"cont_europe"	75	163	153	"Lucca"
"ita_mantova"	"cont_europe"	163	163	144	"Mantova"
"ita_massa_carrara"	"cont_europe"	147	109	75	"Massa-Carrara"
"ita_milano"	"cont_europe"	60	255	97	"Milano"
"ita_modena"	"cont_europe"	139	113	151	"Modena"
"ita_nuara"	"cont_europe"	141	163	75	"Novara"
"ita_padova"	"cont_europe"	243	85	85	"Padova"
"ita_parma"	"cont_europe"	252	243	158	"Parma"
"ita_torino"	"cont_europe"	75	148	75	"Torino"
"ita_trento"	"cont_europe"	255	138	0	"Trento"
"ita_tuscany"	"cont_europe"	163	127	95	"Toscana"
"ita_tyrol"	"cont_europe"	163	155	75	"Tyrol"
"ita_valle_d_aosta"	"cont_europe"	75	163	75	"Valle d'Aosta"
"ita_veneto"	"cont_europe"	163	75	75	"Veneto"
"ita_verona"	"cont_europe"	255	146	146	"Verona"
"spa_alentejo"	"cont_europe"	145	139	136	"Alentejo"
"spa_algarves"	"cont_europe"	164	162	158	"Algarve"
"spa_asturias"	"cont_europe"	88	191	144	"Asturias"
"spa_badajoz"	"cont_europe"	143	47	47	"Badajoz"
"spa_balearic_islands"	"cont_europe"	174	168	44	"Islas Baleares"
"spa_basses_pyrenees"	"cont_europe"	155	164	122	"Basses-Pyrénées"
"spa_burgos"	"cont_europe"	22	101	65	"Burgos"
"spa_caceres"	"cont_europe"	67	112	49	"Cáceres"
"spa_cantabria"	"cont_europe"	215	228	255	"Cantabria"
"spa_castilla_la_nueva"	"cont_europe"	167	115	140	"Castilla la Nueva"
"spa_castilla_la_vieja"	"cont_europe"	92	197	149	"Castilla la Vieja"
"spa_cataluna"	"cont_europe"	96	192	182	"Cataluña"
"spa_centro"	"cont_europe"	164	48	43	"Beira"
"spa_cordoba"	"cont_europe"	124	82	0	"Córdoba"
"spa_cuenca"	"cont_europe"	54	82	133	"Cuenca"
"spa_galicia"	"cont_europe"	221	222	114	"Galicia"
"spa_gibraltar"	"cont_europe"	101	35	35	"Gibraltar"
"spa_granada"	"cont_europe"	182	103	10	"Granada"
"spa_la_mancha"	"cont_europe"	255	178	78	"la Mancha"
"spa_leon"	"cont_europe"	55	81	133	"Léon"
"spa_lisboa"	"cont_europe"	94	90	81	"Estremadura"
"spa_midi_pyrenees"	"cont_europe"	5	79	133	"Midi-Pyrénées"
"spa_murcia"	"cont_europe"	169	164	42	"Murcia"
"spa_navarre"	"cont_europe"	255	215	215	"Navarra"
"spa_norte"	"cont_europe"	185	255	223	"Norte"
"spa_pyrenees_orientales"	"cont_europe"	109	146	142	"Pyrénées-Orientales"
"spa_salamanca"	"cont_europe"	136	49	234	"Salamanca"
"spa_sevilla"	"cont_europe"	32	240	10	"Sevilla"
"spa_teruel"	"cont_europe"	230	231	154	"Teruel"
"spa_valencia"	"cont_europe"	145	139	62	"Valencia"
"spa_vascongadas"	"cont_europe"	16	66	159	"País Vasco"
"spa_zaragoza"	"cont_europe"	192	148	96	"Zaragoza"
