version 1, schema sound_events_tables, guid 4cc5c053-1a0b-4b6f-b169-615baa0f09d0
unknown1(boolean)	unknown2(string)
true	"Campaign_AG_Shinsengumi_Movement_Embark"
true	"Campaign_AG_Shinsengumi_Movement_Embark_Train"
true	"Campaign_AG_Shinsengumi_Movement_Ordered"
true	"Campaign_AG_Shinsengumi_Movement_Ordered_Illegal_Move"
true	"Campaign_AG_Shinsengumi_Movement_end_ActionPs_available"
true	"Campaign_AG_Shinsengumi_Selected"
true	"Campaign_AG_Shinsengumi_Subdue_Dissidents"
true	"Campaign_AG_Shishi_Assassinate"
true	"Campaign_AG_Shishi_Death"
true	"Campaign_AG_Shishi_Incite_Revolt"
true	"Campaign_AG_Shishi_Instill_Fervour"
true	"Campaign_AG_Shishi_Level_Up"
true	"Campaign_AG_Shishi_Movement_Completed"
true	"Campaign_AG_Shishi_Movement_Disembark"
true	"Campaign_AG_Shishi_Movement_Disembark_Train"
true	"Campaign_AG_Shishi_Movement_Embark"
true	"Campaign_AG_Shishi_Movement_Embark_Train"
true	"Campaign_AG_Shishi_Movement_Ordered"
true	"Campaign_AG_Shishi_Movement_Ordered_Illegal_Move"
true	"Campaign_AG_Shishi_Movement_end_ActionPs_available"
true	"Campaign_AG_Shishi_Rally_Populace"
true	"Campaign_AG_Shishi_Selected"
true	"Campaign_AG_Shishi_Suborn_Troops"
true	"Campaign_AG_Shogunate_Admiral_Attack_Admiral"
true	"Campaign_AG_Shogunate_Admiral_Death"
true	"Campaign_AG_Shogunate_Admiral_Movement_Completed"
true	"Campaign_AG_Shogunate_Admiral_Movement_Ordered"
true	"Campaign_AG_Shogunate_Admiral_Movement_Ordered_Illegal_Move"
true	"Campaign_AG_Shogunate_Admiral_Movement_end_ActionPs_available"
true	"Campaign_AG_Shogunate_Admiral_Naval_Bombardment_Ordered"
true	"Campaign_AG_Shogunate_Admiral_Retreat"
true	"Campaign_AG_Shogunate_Admiral_Selected"
true	"Campaign_AG_Shogunate_Army_Attack_Army"
true	"Campaign_AG_Shogunate_Army_Besiege_Settlement"
true	"Campaign_AG_Shogunate_Army_Death"
true	"Campaign_AG_Shogunate_Army_Lay_Ambush"
true	"Campaign_AG_Shogunate_Army_Movement_Completed"
true	"Campaign_AG_Shogunate_Army_Movement_Disembark"
true	"Campaign_AG_Shogunate_Army_Movement_Disembark_Train"
true	"Campaign_AG_Shogunate_Army_Movement_Embark"
true	"Campaign_AG_Shogunate_Army_Movement_Embark_Train"
true	"Campaign_AG_Shogunate_Army_Movement_Ordered"
true	"Campaign_AG_Shogunate_Army_Movement_Ordered_Illegal_Move"
true	"Campaign_AG_Shogunate_Army_Movement_end_ActionPs_available"
true	"Campaign_AG_Shogunate_Army_Raid_Slot"
true	"Campaign_AG_Shogunate_Army_Retreat"
true	"Campaign_AG_Shogunate_Army_Selected"
true	"Campaign_AG_Shogunate_General_Attack_Army"
true	"Campaign_AG_Shogunate_General_Besiege_Settlement"
true	"Campaign_AG_Shogunate_General_Death"
true	"Campaign_AG_Shogunate_General_Lay_Ambush"
true	"Campaign_AG_Shogunate_General_Movement_Completed"
true	"Campaign_AG_Shogunate_General_Movement_Disembark"
true	"Campaign_AG_Shogunate_General_Movement_Disembark_Train"
true	"Campaign_AG_Shogunate_General_Movement_Embark"
true	"Campaign_AG_Shogunate_General_Movement_Embark_Train"
true	"Campaign_AG_Shogunate_General_Movement_Ordered"
true	"Campaign_AG_Shogunate_General_Movement_Ordered_Illegal_Move"
true	"Campaign_AG_Shogunate_General_Movement_end_ActionPs_available"
true	"Campaign_AG_Shogunate_General_Raid_Slot"
true	"Campaign_AG_Shogunate_General_Retreat"
true	"Campaign_AG_Shogunate_General_Selected"
true	"Campaign_AG_Shogunate_Navy_Attack_Navy"
true	"Campaign_AG_Shogunate_Navy_Death"
true	"Campaign_AG_Shogunate_Navy_Movement_Completed"
true	"Campaign_AG_Shogunate_Navy_Movement_Ordered"
true	"Campaign_AG_Shogunate_Navy_Movement_Ordered_Illegal_Move"
true	"Campaign_AG_Shogunate_Navy_Movement_end_ActionPs_available"
true	"Campaign_AG_Shogunate_Navy_Naval_Bombardment_Ordered"
true	"Campaign_AG_Shogunate_Navy_Retreat"
true	"Campaign_AG_Shogunate_Navy_Selected"
true	"Cavalry_Archer_Special_Orders_Cantabrian_Circle"
true	"Cavalry_Battle_Cry"
true	"Cavalry_Charging"
true	"Cavalry_Melee_Double_Click_Attack"
true	"Cavalry_Melee_Single_Click_Melee_Attack"
true	"Cavalry_Move_Back"
true	"Cavalry_Move_Forward"
true	"Cavalry_Move_Left"
true	"Cavalry_Move_Right"
true	"Cavalry_Order_Double_Click_Fast_Move_To"
true	"Cavalry_Order_Single_Click_Move_To"
true	"Cavalry_Special_Ability_Whistling_Arrows"
true	"Cavalry_Under_Archer_Fire"
true	"Cavalry_Unit_Completed_Orders"
true	"Cavalry_Unit_Engage_at_will"
true	"Cavalry_Unit_Generic_response"
true	"Cavalry_Unit_Guard_Off"
true	"Cavalry_Unit_Guard_On"
true	"Cavalry_Unit_Halt"
true	"Cavalry_Unit_Hold_Position_off"
true	"Cavalry_Unit_Hold_Position_on"
true	"Cavalry_Unit_Loose_Formation"
true	"Cavalry_Unit_Melee_Button_off"
true	"Cavalry_Unit_Melee_Button_on"
true	"Cavalry_Unit_Order_Rally"
true	"Cavalry_Unit_Order_Retreat"
true	"Cavalry_Unit_Selection_Short"
true	"Cavalry_Unit_Selection_generic"
true	"Cavalry_Unit_Skirmish_Off"
true	"Cavalry_Unit_Skirmish_On"
true	"Cavalry_Unit_Tight_Formation"
true	"Cavalry_charged"
true	"Cavalry_dismount"
true	"Cavalry_enemy_approaching"
true	"Cavalry_flanked"
true	"Cavalry_idle"
true	"Cavalry_in_melee"
true	"Cavalry_mount"
true	"Cavalry_routing"
true	"Cavalry_unit_special_action_order_wedge_formation"
true	"Cavalry_wavering"
true	"Cavalry_withdraw"
true	"Changing_ship_direction_Captain"
true	"Group_Orders_Calvary_Column"
true	"Group_Orders_Calvary_Generic"
true	"Group_Orders_Calvary_Rally"
true	"Group_Orders_Calvary_Retreat"
true	"Group_Orders_Cavalry_Attacking_Stronger_Target"
true	"Group_Orders_Cavalry_Attacking_Weaker_Target"
true	"Group_Orders_Cavalry_Created"
true	"Group_Orders_Cavalry_Disbanded"
true	"Group_Orders_Cavalry_DoubleClick_Attack"
true	"Group_Orders_Cavalry_Engage_at_will"
true	"Group_Orders_Cavalry_Fire_At_Will_OFF"
true	"Group_Orders_Cavalry_Fire_At_Will_ON"
true	"Group_Orders_Cavalry_First_Three_Lines"
true	"Group_Orders_Cavalry_Formation_Cranes_Wing"
true	"Group_Orders_Cavalry_Formation_Fish_Scales"
true	"Group_Orders_Cavalry_Formation_Ganko"
true	"Group_Orders_Cavalry_Formation_Half_Moon"
true	"Group_Orders_Cavalry_Formation_Hoshi"
true	"Group_Orders_Cavalry_Formation_Saku"
true	"Group_Orders_Cavalry_Formation_Yoke"
true	"Group_Orders_Cavalry_Loose_Formation"
true	"Group_Orders_Cavalry_Loose_Formation_off"
true	"Group_Orders_Cavalry_Missile_Attack"
true	"Group_Orders_Cavalry_Order_Fast_Move"
true	"Group_Orders_Cavalry_Order_Move_To"
true	"Group_Orders_Cavalry_Screen"
true	"Group_Orders_Cavalry_Select_Cavalry"
true	"Group_Orders_Cavalry_SingleClick_Attack"
true	"Group_Orders_Cavalry_Skirmish_Centre"
true	"Group_Orders_Cavalry_Skirmish_Left"
true	"Group_Orders_Cavalry_Skirmish_Right"
true	"Group_Orders_Cavalry_Skirmish_off"
true	"Group_Orders_Heroes_Army_Formation_3Line_Defence"
true	"Group_Orders_Heroes_Army_Formation_Cavalry_Centre"
true	"Group_Orders_Heroes_Army_Formation_Cavalry_Left"
true	"Group_Orders_Heroes_Army_Formation_Cavalry_Right"
true	"Group_Orders_Heroes_Army_Formation_Cavalry_Skirmish"
true	"Group_Orders_Heroes_Army_Formation_Column"
true	"Group_Orders_Heroes_Army_Formation_Double_Line_Mixed"
true	"Group_Orders_Heroes_Army_Formation_Double_Line_Screened"
true	"Group_Orders_Heroes_Army_Formation_Double_Pincer"
true	"Group_Orders_Heroes_Army_Formation_Double_line"
true	"Group_Orders_Heroes_Army_Formation_Echelon_Left"
true	"Group_Orders_Heroes_Army_Formation_Echelon_Right"
true	"Group_Orders_Heroes_Army_Formation_Half_Square"
true	"Group_Orders_Heroes_Army_Formation_Infantry_Charge"
true	"Group_Orders_Heroes_Army_Formation_Infantry_Skirmish"
true	"Group_Orders_Heroes_Army_Formation_Line"
true	"Group_Orders_Heroes_Army_Formation_LineOBattle"
true	"Group_Orders_Heroes_Army_Formation_Oblique"
true	"Group_Orders_Heroes_Army_Formation_Oblique_Left"
true	"Group_Orders_Heroes_Army_Formation_Oblique_Right"
true	"Group_Orders_Heroes_Army_Formation_Square"
true	"Group_Orders_Heroes_Army_Formation_Strong_Centre"
true	"Group_Orders_Heroes_Army_Formation_Triple_Line"
true	"Group_Orders_Heroes_Army_Formation_Triple_Line_Artillery"
true	"Group_Orders_Heroes_Army_Formation_Triple_Line_Grand_Battery_Left"
true	"Group_Orders_Heroes_Army_Formation_Triple_Line_Grand_Battery_Right"
true	"Group_Orders_Heroes_Army_Formation_Unit_Reply"
true	"Group_Orders_Heroes_Army_Formation_Weak_centre"
true	"Group_Orders_Heroes_Army_Formation_cavalry"
true	"Group_Orders_Heroes_Attacking_Stronger_Target"
true	"Group_Orders_Heroes_Attacking_Weaker_Target"
true	"Group_Orders_Heroes_Cavalry_First_Three_Lines"
true	"Group_Orders_Heroes_Cavalry_Screen"
true	"Group_Orders_Heroes_Column"
true	"Group_Orders_Heroes_Created"
true	"Group_Orders_Heroes_Disbanded"
true	"Group_Orders_Heroes_DoubleClick_Attack"
true	"Group_Orders_Heroes_Double_Line"
true	"Group_Orders_Heroes_Engage_at_will"
true	"Group_Orders_Heroes_Fast_Move"
true	"Group_Orders_Heroes_Fire_At_Will_OFF"
true	"Group_Orders_Heroes_Fire_At_Will_ON"
true	"Group_Orders_Heroes_Foot_First_Three_Lines"
true	"Group_Orders_Heroes_Generic"
true	"Group_Orders_Heroes_Guard_Off"
true	"Group_Orders_Heroes_Guard_On"
true	"Group_Orders_Heroes_Missile_Attack"
true	"Group_Orders_Heroes_Move_To"
true	"Group_Orders_Heroes_Rally"
true	"Group_Orders_Heroes_Retreat"
true	"Group_Orders_Heroes_Select_Artillery"
true	"Group_Orders_Heroes_Select_Cavalry"
true	"Group_Orders_Heroes_Select_Infantry"
true	"Group_Orders_Heroes_SingleClick_Attack"
true	"Group_Orders_Heroes_Single_Line"
true	"Group_Orders_Heroes_Skirmish"
true	"Group_Orders_Heroes_Skirmish_off"
true	"Group_Orders_Heroes_Sorted_Double_Line"
true	"Group_Orders_Heroes_Sorted_Line"
true	"Group_Orders_Infantry_Army_Formation_3Line_Defence"
true	"Group_Orders_Infantry_Army_Formation_Column"
true	"Group_Orders_Infantry_Army_Formation_Double_Line_Mixed"
true	"Group_Orders_Infantry_Army_Formation_Double_Line_Screened"
true	"Group_Orders_Infantry_Army_Formation_Double_Pincer"
true	"Group_Orders_Infantry_Army_Formation_Double_line"
true	"Group_Orders_Infantry_Army_Formation_Half_Square"
true	"Group_Orders_Infantry_Army_Formation_Infantry_Charge"
true	"Group_Orders_Infantry_Army_Formation_Infantry_Skirmish"
true	"Group_Orders_Infantry_Army_Formation_Line"
true	"Group_Orders_Infantry_Army_Formation_LineOBattle"
true	"Group_Orders_Infantry_Army_Formation_Square"
true	"Group_Orders_Infantry_Army_Formation_Strong_Centre"
true	"Group_Orders_Infantry_Army_Formation_Triple_Line"
true	"Group_Orders_Infantry_Army_Formation_Triple_Line_Artillery"
true	"Group_Orders_Infantry_Army_Formation_Triple_Line_Grand_Battery_Left"
true	"Group_Orders_Infantry_Army_Formation_Triple_Line_Grand_Battery_Right"
true	"Group_Orders_Infantry_Army_Formation_Unit_Reply"
true	"Group_Orders_Infantry_Army_Formation_Weak_centre"
true	"Group_Orders_Infantry_Attacking_Stronger_Target"
true	"Group_Orders_Infantry_Attacking_Weaker_Target"
true	"Group_Orders_Infantry_Column"
true	"Group_Orders_Infantry_Created"
true	"Group_Orders_Infantry_Disbanded"
true	"Group_Orders_Infantry_DoubleClick_Attack"
true	"Group_Orders_Infantry_Double_Line"
true	"Group_Orders_Infantry_Engage_at_will"
true	"Group_Orders_Infantry_Fast_Move"
true	"Group_Orders_Infantry_Fire_At_Will_OFF"
true	"Group_Orders_Infantry_Fire_At_Will_ON"
true	"Group_Orders_Infantry_Foot_First_Three_Lines"
true	"Group_Orders_Infantry_Formation_Cranes_Wing"
true	"Group_Orders_Infantry_Formation_Fish_Scales"
true	"Group_Orders_Infantry_Formation_Ganko"
true	"Group_Orders_Infantry_Formation_Half_Moon"
true	"Group_Orders_Infantry_Formation_Hoshi"
true	"Group_Orders_Infantry_Formation_Saku"
true	"Group_Orders_Infantry_Formation_Yoke"
true	"Group_Orders_Infantry_Generic"
true	"Group_Orders_Infantry_Guard_Off"
true	"Group_Orders_Infantry_Guard_On"
true	"Group_Orders_Infantry_Missile_Attack"
true	"Group_Orders_Infantry_Move_To"
true	"Group_Orders_Infantry_Order_Rally"
true	"Group_Orders_Infantry_Order_Retreat"
true	"Group_Orders_Infantry_Select_Artillery"
true	"Group_Orders_Infantry_Select_Infantry"
true	"Group_Orders_Infantry_SingleClick_Attack"
true	"Group_Orders_Infantry_Single_Line"
true	"Group_Orders_Infantry_Skirmish"
true	"Group_Orders_Infantry_Skirmish_off"
true	"Group_Orders_Infantry_Sorted_Double_Line"
true	"Group_Orders_Infantry_Sorted_Line"
true	"Group_Orders_Monk_Army_Formation_3Line_Defence"
true	"Group_Orders_Monk_Army_Formation_Column"
true	"Group_Orders_Monk_Army_Formation_Double_Line_Mixed"
true	"Group_Orders_Monk_Army_Formation_Double_Line_Screened"
true	"Group_Orders_Monk_Army_Formation_Double_Pincer"
true	"Group_Orders_Monk_Army_Formation_Double_line"
true	"Group_Orders_Monk_Army_Formation_Half_Square"
true	"Group_Orders_Monk_Army_Formation_Infantry_Charge"
true	"Group_Orders_Monk_Army_Formation_Infantry_Skirmish"
true	"Group_Orders_Monk_Army_Formation_Line"
true	"Group_Orders_Monk_Army_Formation_LineOBattle"
true	"Group_Orders_Monk_Army_Formation_Square"
true	"Group_Orders_Monk_Army_Formation_Strong_Centre"
true	"Group_Orders_Monk_Army_Formation_Triple_Line"
true	"Group_Orders_Monk_Army_Formation_Triple_Line_Artillery"
true	"Group_Orders_Monk_Army_Formation_Triple_Line_Grand_Battery_Left"
true	"Group_Orders_Monk_Army_Formation_Triple_Line_Grand_Battery_Right"
true	"Group_Orders_Monk_Army_Formation_Unit_Reply"
true	"Group_Orders_Monk_Army_Formation_Weak_centre"
true	"Group_Orders_Monk_Attacking_Stronger_Target"
true	"Group_Orders_Monk_Attacking_Weaker_Target"
true	"Group_Orders_Monk_Column"
true	"Group_Orders_Monk_Created"
true	"Group_Orders_Monk_Disbanded"
true	"Group_Orders_Monk_DoubleClick_Attack"
true	"Group_Orders_Monk_Double_Line"
true	"Group_Orders_Monk_Engage_at_will"
true	"Group_Orders_Monk_Fast_Move"
true	"Group_Orders_Monk_Fire_At_Will_OFF"
true	"Group_Orders_Monk_Fire_At_Will_ON"
true	"Group_Orders_Monk_Foot_First_Three_Lines"
true	"Group_Orders_Monk_Formation_Cranes_Wing"
true	"Group_Orders_Monk_Formation_Fish_Scales"
true	"Group_Orders_Monk_Formation_Ganko"
true	"Group_Orders_Monk_Formation_Half_Moon"
true	"Group_Orders_Monk_Formation_Hoshi"
