version 3, schema cdir_unit_balances_tables, guid 00430f85-dd38-49cd-b466-d577db7cc2ea
unknown1(string)	unknown2(int)	unknown3(int)	unknown4(string)	unknown5(float)	unknown6(float)	unknown7(float)
"boshin_melee_line_trad_cav_only"	5	20	"traditional_melee"	0.5	0.2	0
"boshin_melee_missile_art_only"	1	20	"artillery"	0.2	0.1	0
"boshin_melee_missile_art_only"	1	20	"traditional_melee"	0.5	0.1	0
"boshin_melee_missile_art_only"	1	20	"traditional_missile"	0.3	0.1	0
"boshin_melee_missile_only"	1	20	"traditional_melee"	0.6	0.1	0
"boshin_melee_missile_only"	1	20	"traditional_missile"	0.4	0.1	0
"boshin_melee_mod_cav_art_only"	1	20	"artillery"	0.2	0.1	0
"boshin_melee_mod_cav_art_only"	1	20	"modern_cav"	0.3	0.1	0
"boshin_melee_mod_cav_art_only"	1	20	"traditional_melee"	0.5	0.1	0
"boshin_melee_mod_cav_only"	1	20	"modern_cav"	0.3	0.1	0
"boshin_melee_mod_cav_only"	1	20	"traditional_melee"	0.7	0.1	0
"boshin_melee_only"	5	20	"traditional_melee"	1	0.2	0
"boshin_melee_trad_cav_art_only"	1	20	"artillery"	0.2	0.1	0
"boshin_melee_trad_cav_art_only"	1	20	"traditional_cav"	0.3	0.1	0
"boshin_melee_trad_cav_art_only"	1	20	"traditional_melee"	0.5	0.1	0
"boshin_melee_trad_cav_only"	1	20	"traditional_cav"	0.3	0.1	0
"boshin_melee_trad_cav_only"	1	20	"traditional_melee"	0.7	0.1	0
"boshin_middle"	5	20	"artillery"	0.1	0	0
"boshin_middle"	5	20	"modern_cav"	0.1	0.1	0
"boshin_middle"	5	20	"modern_elite_light"	0.1	0.1	0
"boshin_middle"	5	20	"modern_line"	0.3	0.2	0
"boshin_middle"	5	20	"traditional_cav"	0.1	0.1	0
"boshin_middle"	5	20	"traditional_melee"	0.2	0.2	0
"boshin_middle"	5	20	"traditional_missile"	0.1	0.1	0
"boshin_middle_mp"	1	40	"artillery"	0.1	0	0
"boshin_middle_mp"	1	40	"modern_cav"	0.1	0.1	0
"boshin_middle_mp"	1	40	"modern_elite_light"	0.1	0.1	0
"boshin_middle_mp"	1	40	"modern_line"	0.3	0.2	0
"boshin_middle_mp"	1	40	"traditional_cav"	0.1	0.1	0
"boshin_middle_mp"	1	40	"traditional_melee"	0.2	0.2	0
"boshin_middle_mp"	1	40	"traditional_missile"	0.1	0.1	0
"cannon_ship_only"	1	10	"light_ship_late"	1	0.2	0
"cannon_ship_only_mp"	1	10	"light_ship_late"	1	0.2	0
"cavalry_heavy"	5	20	"cavalry"	0.4	0.1	0
"cavalry_heavy"	5	20	"infantry_melee"	0.45	0.1	0
"cavalry_heavy"	5	20	"infantry_ranged"	0.15	0.1	0
"cavalry_heavy_late"	5	20	"cavalry"	0.4	0.1	0
"cavalry_heavy_late"	5	20	"infantry_melee"	0.45	0.1	0
"cavalry_heavy_late"	5	20	"infantry_ranged_late"	0.15	0.1	0
"cavalry_heavy_late_mp"	1	40	"cavalry"	0.4	0.1	0
"cavalry_heavy_late_mp"	1	40	"infantry_melee"	0.45	0.1	0
"cavalry_heavy_late_mp"	1	40	"infantry_ranged_late"	0.15	0.1	0
"cavalry_heavy_mp"	1	40	"cavalry"	0.4	0.1	0
"cavalry_heavy_mp"	1	40	"infantry_melee"	0.45	0.1	0
"cavalry_heavy_mp"	1	40	"infantry_ranged"	0.15	0.1	0
"default"	1	6	"infantry_melee"	0.5	0.5	0
"default_naval"	1	5	"heavy_ship"	0.5	0.5	0
"default_naval"	1	5	"light_ship"	0.5	0.5	0
"default_naval"	1	5	"medium_ship"	0.5	0.5	0
"heavy_ship_heavy"	1	10	"heavy_ship"	0.4	0.1	0
"heavy_ship_heavy"	1	10	"light_ship"	0.2	0.1	0
"heavy_ship_heavy"	1	10	"medium_ship"	0.4	0.1	0
"heavy_ship_heavy_mp"	1	10	"heavy_ship"	0.4	0.1	0
"heavy_ship_heavy_mp"	1	10	"light_ship"	0.2	0.1	0
"heavy_ship_heavy_mp"	1	10	"medium_ship"	0.4	0.1	0
"light_and_medium_only"	1	10	"light_ship"	0.5	0.5	0
"light_and_medium_only"	1	10	"medium_ship"	0.5	0.5	0
"light_ship_heavy"	1	10	"heavy_ship"	0.2	0.1	0
"light_ship_heavy"	1	10	"light_ship"	0.6	0.1	0
"light_ship_heavy"	1	10	"medium_ship"	0.2	0.1	0
"light_ship_heavy_mp"	1	10	"heavy_ship"	0.2	0.1	0
"light_ship_heavy_mp"	1	10	"light_ship"	0.6	0.1	0
"light_ship_heavy_mp"	1	10	"medium_ship"	0.2	0.1	0
"light_ship_only"	1	10	"light_ship"	1	1	0
"medium_ship_heavy"	1	10	"heavy_ship"	0.2	0.1	0
"medium_ship_heavy"	1	10	"light_ship"	0.2	0.1	0
"medium_ship_heavy"	1	10	"medium_ship"	0.6	0.1	0
"medium_ship_heavy_mp"	1	10	"heavy_ship"	0.2	0.1	0
"medium_ship_heavy_mp"	1	10	"light_ship"	0.2	0.1	0
"medium_ship_heavy_mp"	1	10	"medium_ship"	0.6	0.1	0
"melee_and_cavalry_only"	1	20	"cavalry"	0.3	0.3	0
"melee_and_cavalry_only"	1	20	"infantry_melee"	0.7	0.3	0
"melee_and_missile_only"	1	20	"infantry_melee"	0.7	0.3	0
"melee_and_missile_only"	1	20	"infantry_ranged"	0.3	0.1	0
"melee_heavy"	5	20	"cavalry"	0.15	0.1	0
"melee_heavy"	5	20	"infantry_melee"	0.7	0.1	0
"melee_heavy"	5	20	"infantry_ranged"	0.15	0.1	0
"melee_heavy_late"	5	20	"cavalry"	0.15	0.1	0
"melee_heavy_late"	5	20	"infantry_melee"	0.65	0.1	0
"melee_heavy_late"	5	20	"infantry_ranged_late"	0.2	0.1	0
"melee_heavy_late_mp"	1	20	"cavalry"	0.15	0.1	0
"melee_heavy_late_mp"	1	40	"infantry_melee"	0.65	0.1	0
"melee_heavy_late_mp"	1	40	"infantry_ranged_late"	0.2	0.1	0
"melee_heavy_mp"	1	40	"cavalry"	0.15	0.1	0
"melee_heavy_mp"	1	40	"infantry_melee"	0.7	0.1	0
"melee_heavy_mp"	1	40	"infantry_ranged"	0.15	0.1	0
"melee_infantry_only"	5	20	"infantry_melee"	1	1	0
"ranged_heavy"	5	20	"cavalry"	0.15	0.1	0
"ranged_heavy"	5	20	"infantry_melee"	0.5	0.1	0
"ranged_heavy"	5	20	"infantry_ranged"	0.35	0.1	0
"ranged_heavy_late"	5	20	"cavalry"	0.15	0.1	0
"ranged_heavy_late"	5	20	"infantry_melee"	0.4	0.1	0
"ranged_heavy_late"	5	20	"infantry_ranged_late"	0.45	0.1	0
"ranged_heavy_late_mp"	1	40	"cavalry"	0.15	0.1	0
"ranged_heavy_late_mp"	1	40	"infantry_melee"	0.4	0.1	0
"ranged_heavy_late_mp"	1	40	"infantry_ranged_late"	0.45	0.1	0
"ranged_heavy_mp"	1	40	"cavalry"	0.15	0.1	0
"ranged_heavy_mp"	1	40	"infantry_melee"	0.5	0.1	0
"ranged_heavy_mp"	1	40	"infantry_ranged"	0.35	0.1	0
"ship_standard"	1	10	"heavy_ship"	0.2	0.1	0
"ship_standard"	1	10	"light_ship"	0.5	0.1	0
"ship_standard"	1	10	"medium_ship"	0.3	0.1	0
"ship_standard_late"	1	10	"heavy_ship"	0.3	0.1	0
"ship_standard_late"	1	10	"light_ship_late"	0.5	0.1	0
"ship_standard_late"	1	10	"medium_ship"	0.2	0.1	0
"ship_standard_late_mp"	1	10	"heavy_ship"	0.3	0.1	0
"ship_standard_late_mp"	1	10	"light_ship_late"	0.5	0.1	0
"ship_standard_late_mp"	1	10	"medium_ship"	0.2	0.1	0
"ship_standard_mp"	1	10	"heavy_ship"	0.2	0.1	0
"ship_standard_mp"	1	10	"light_ship"	0.5	0.1	0
"ship_standard_mp"	1	10	"medium_ship"	0.3	0.1	0
"standard"	5	20	"cavalry"	0.2	0.1	0
"standard"	5	20	"infantry_melee"	0.6	0.1	0
"standard"	5	20	"infantry_ranged"	0.2	0.1	0
"standard_late"	5	20	"cavalry"	0.2	0.1	0
"standard_late"	5	20	"infantry_melee"	0.5	0.1	0
"standard_late"	5	20	"infantry_ranged_late"	0.3	0.1	0
"standard_late_mp"	1	40	"cavalry"	0.2	0.1	0
"standard_late_mp"	1	40	"infantry_melee"	0.5	0.1	0
"standard_late_mp"	1	40	"infantry_ranged_late"	0.3	0.1	0
"standard_mp"	1	40	"cavalry"	0.2	0.1	0
"standard_mp"	1	40	"infantry_melee"	0.6	0.1	0
"standard_mp"	1	40	"infantry_ranged"	0.2	0.1	0
