version 1, schema units_to_exclusive_faction_permissions_tables, guid 0e480341-aa56-42f5-bfce-ab90953be094
Unit_IDRef(string)	Faction_IDRef(string)	Availability(boolean)
"Inf_Heavy_Naginata_Samurai"	"iga_ninja"	false
"Inf_Heavy_Naginata_Warrior_Monk_Hero_Uesugi"	"uesugi"	true
"Inf_Heavy_Naginata_Warrior_Monk_Hero"	"otomo"	false
"Inf_Heavy_Naginata_Warrior_Monk_Hero"	"uesugi"	false
"Inf_Heavy_Naginata_Warrior_Monks_Uesugi"	"uesugi"	true
"Inf_Heavy_Naginata_Warrior_Monks"	"otomo"	false
"Inf_Heavy_Naginata_Warrior_Monks"	"uesugi"	false
"Inf_Heavy_Warrior_Nuns"	"otomo"	false
"Inf_Missile_Bow_Ashigaru_Chosokabe"	"chosokabe"	true
"Inf_Missile_Bow_Ashigaru_Chosokabe"	"tut_chosokabe"	true
"Inf_Missile_Bow_Ashigaru_Hattori"	"iga_ninja"	true
"Inf_Missile_Bow_Ashigaru_Oda"	"oda"	true
"Inf_Missile_Bow_Ashigaru_Tutorial_No_Cap"	"tut_miyoshi"	true
"Inf_Missile_Bow_Ashigaru_Tutorial"	"tut_miyoshi"	true
"Inf_Missile_Bow_Ashigaru_Tutorial"	"tut_sogo"	true
"Inf_Missile_Bow_Ashigaru"	"chosokabe"	false
"Inf_Missile_Bow_Ashigaru"	"iga_ninja"	false
"Inf_Missile_Bow_Ashigaru"	"oda"	false
"Inf_Missile_Bow_Ashigaru"	"tut_chosokabe"	false
"Inf_Missile_Bow_Ashigaru"	"tut_miyoshi"	false
"Inf_Missile_Bow_Ashigaru"	"tut_sogo"	false
"Inf_Missile_Bow_Hero_Chosokabe"	"chosokabe"	true
"Inf_Missile_Bow_Hero_Chosokabe"	"tut_chosokabe"	true
"Inf_Missile_Bow_Hero"	"chosokabe"	false
"Inf_Missile_Bow_Hero"	"tut_chosokabe"	false
"Inf_Missile_Bow_Samurai_Chosokabe"	"chosokabe"	true
"Inf_Missile_Bow_Samurai_Chosokabe"	"tut_chosokabe"	true
"Inf_Missile_Bow_Samurai_Hattori"	"iga_ninja"	true
"Inf_Missile_Bow_Samurai"	"chosokabe"	false
"Inf_Missile_Bow_Samurai"	"iga_ninja"	false
"Inf_Missile_Bow_Samurai"	"tut_chosokabe"	false
"Inf_Missile_Bow_Warrior_Monks_Chosokabe"	"chosokabe"	true
"Inf_Missile_Bow_Warrior_Monks_Chosokabe"	"tut_chosokabe"	true
"Inf_Missile_Bow_Warrior_Monks_Uesugi"	"uesugi"	true
"Inf_Missile_Bow_Warrior_Monks"	"chosokabe"	false
"Inf_Missile_Bow_Warrior_Monks"	"otomo"	false
"Inf_Missile_Bow_Warrior_Monks"	"tut_chosokabe"	false
"Inf_Missile_Bow_Warrior_Monks"	"uesugi"	false
"Inf_Missile_Matchlock_Ashigaru_Hattori"	"iga_ninja"	true
"Inf_Missile_Matchlock_Ashigaru_Oda"	"oda"	true
"Inf_Missile_Matchlock_Ashigaru_Otomo"	"otomo"	true
"Inf_Missile_Matchlock_Ashigaru"	"iga_ninja"	false
"Inf_Missile_Matchlock_Ashigaru"	"oda"	false
"Inf_Missile_Matchlock_Ashigaru"	"otomo"	false
"Inf_Missile_Matchlock_Samurai_Hattori"	"iga_ninja"	true
"Inf_Missile_Matchlock_Samurai_Otomo"	"otomo"	true
"Inf_Missile_Matchlock_Samurai"	"iga_ninja"	false
"Inf_Missile_Matchlock_Samurai"	"otomo"	false
"Inf_Missile_Matchlock_Warrior_Monks"	"otomo"	false
"Inf_Missile_Portuguese_Tercos"	"otomo"	true
"Inf_Spear_Yari_Ashigaru_Hattori"	"iga_ninja"	true
"Inf_Spear_Yari_Ashigaru_Oda"	"oda"	true
"Inf_Spear_Yari_Ashigaru_Tutorial_No_Cap"	"tut_miyoshi"	true
"Inf_Spear_Yari_Ashigaru_Tutorial"	"tut_miyoshi"	true
"Inf_Spear_Yari_Ashigaru_Tutorial"	"tut_sogo"	true
"Inf_Spear_Yari_Ashigaru"	"iga_ninja"	false
"Inf_Spear_Yari_Ashigaru"	"oda"	false
"Inf_Spear_Yari_Ashigaru"	"tut_miyoshi"	false
"Inf_Spear_Yari_Ashigaru"	"tut_sogo"	false
"Inf_Spear_Yari_Samurai_Hattori"	"iga_ninja"	true
"Inf_Spear_Yari_Samurai"	"iga_ninja"	false
"Inf_Special_Fire_Bomb_Throwers_Hojo"	"hojo"	true
"Inf_Special_Fire_Bomb_Throwers"	"hojo"	false
"Inf_Special_Kisho_Ninjas_Hattori"	"iga_ninja"	true
"Inf_Special_Kisho_Ninjas_Tokugawa"	"tokugawa"	true
"Inf_Special_Kisho_Ninjas"	"iga_ninja"	false
"Inf_Special_Kisho_Ninjas"	"tokugawa"	false
"Inf_Sword_Katana_Hero_Shimazu"	"shimazu"	true
"Inf_Sword_Katana_Hero"	"shimazu"	false
"Inf_Sword_Katana_Samurai_Hattori"	"iga_ninja"	true
"Inf_Sword_Katana_Samurai_Shimazu"	"shimazu"	true
"Inf_Sword_Katana_Samurai"	"iga_ninja"	false
"Inf_Sword_Katana_Samurai"	"shimazu"	false
"Inf_Sword_Nodachi_Samurai_Date"	"date"	true
"Inf_Sword_Nodachi_Samurai_Hattori"	"iga_ninja"	true
"Inf_Sword_Nodachi_Samurai"	"date"	false
"Inf_Sword_Nodachi_Samurai"	"iga_ninja"	false
"Light_Ship_Bow_Kobaya_Mori"	"mori"	true
"Light_Ship_Bow_Kobaya"	"mori"	false
"Light_Ship_Fire_Bomb_Kobaya_Mori"	"mori"	true
"Light_Ship_Fire_Bomb_Kobaya"	"mori"	false
"Light_Ship_Matchlock_Kobaya_Mori"	"mori"	true
"Light_Ship_Matchlock_Kobaya_Otomo"	"otomo"	true
"Light_Ship_Matchlock_Kobaya"	"mori"	false
"Light_Ship_Matchlock_Kobaya"	"otomo"	false
"Light_Ship_Siege_Tower_Bune_Mori"	"mori"	true
"Light_Ship_Siege_Tower_Bune"	"mori"	false
"Medium_Ship_Medium_Bune_Mori"	"mori"	true
"Medium_Ship_Medium_Bune"	"mori"	false
"Medium_Ship_Sengoku_Bune_Mori"	"mori"	true
"Medium_Ship_Sengoku_Bune"	"mori"	false
"UP1_Art_Hand_Mortar_Hojo"	"hojo"	true
"UP1_Cav_Missile_Mounted_Gunners_Tokugawa"	"tokugawa"	true
"UP1_Cav_Spear_Fire_Cavalry_Takeda"	"takeda"	true
"UP1_Inf_Heavy_Marathon_Monks_Ikko_Ikki"	"ikko_ikki"	true
"UP1_Inf_Heavy_Marathon_Monks_Uesugi"	"uesugi"	true
"UP1_Inf_Missile_Bandits_Hattori"	"iga_ninja"	true
"UP1_Inf_Missile_Daikyu_Samurai_Chosokabe"	"chosokabe"	true
"UP1_Inf_Missile_Heavy_Gunner_Shimazu"	"shimazu"	true
"UP1_Inf_Spear_Long_Yari_Ashigaru_Oda"	"oda"	true
"UP1_Inf_Spear_Yari_Bulletproof_Samurai_Date"	"date"	true
"UP1_Inf_Sword_Wako_Raiders_Mori"	"mori"	true
