version 1, schema small_vegetation_climates_jct_tables
Climate_ID(string)	Vegetation_props_ID(string)
"lc_as_temp_s_arid"	"rock_1_dry_piece01_destruct01"
"lc_as_temp_s_arid"	"rock_2_dry_piece01_destruct01"
"lc_as_temp_s_arid"	"rock_3_dry_piece01_destruct01"
"lc_as_temp_s_arid"	"rock_4_dry_piece01_destruct01"
"lc_as_temp_s_arid"	"large_log_dry_piece01_destruct01"
"lc_as_temp_s_arid"	"medium_log_dry_piece01_destruct01"
"lc_as_temp_s_arid"	"small_log_dry_piece01_destruct01"
"lc_as_temp_s_arid"	"tree_stump_dry_piece01_destruct01"
"lc_as_temp_s_arid"	"tree_stump_and_log_dry_piece01_destruct01"
"lc_as_trop_humid"	"large_log_piece01_destruct01"
"lc_as_trop_humid"	"medium_log_piece01_destruct01"
"lc_as_trop_humid"	"small_log_piece01_destruct01"
"lc_as_trop_humid"	"tree_stump_and_log_piece01_destruct01"
"lc_as_trop_humid"	"tree_stump_piece01_destruct01"
"lc_as_trop_humid"	"rock_1_wet_piece01_destruct01"
"lc_as_trop_humid"	"rock_2_wet_piece01_destruct01"
"lc_as_trop_humid"	"rock_3_wet_piece01_destruct01"
"lc_as_trop_humid"	"rock_4_wet_piece01_destruct01"
"lc_as_trop_s_arid"	"rock_1_dry_piece01_destruct01"
"lc_as_trop_s_arid"	"rock_2_dry_piece01_destruct01"
"lc_as_trop_s_arid"	"rock_3_dry_piece01_destruct01"
"lc_as_trop_s_arid"	"rock_4_dry_piece01_destruct01"
"lc_as_trop_s_arid"	"large_log_dry_piece01_destruct01"
"lc_am_great_plains"	"small_rock_4_piece01_destruct01"
"lc_am_s_arid"	"small_rock_4_piece01_destruct01"
"lc_as_trop_s_arid"	"medium_log_dry_piece01_destruct01"
