version 3, schema naval_uniforms_tables, guid b8cb2318-6eda-4da2-bccd-ede4c5381562
unknown1(optstring)	unknown2(string)	unknown3(boolean)	unknown4(boolean)	unknown5(optstring)	unknown6(boolean)	unknown7(string)	unknown8(string)	unknown9(optstring)
nil	"Boshin_Naval_Inf_Ironclad_USS_Roanoke"	false	false	"STAND"	false	"Default_Boshin_Ironclad_USS_Roanoke_MP"	"Boshin_Ironclad_USS_Roanoke_MP"	nil
nil	"Boshin_Naval_Inf_Gun_Boat_Chiyodagata_torpedo"	false	false	"STAND"	false	"Default_Boshin_Torpedo_Boat_Chiyodagata"	"Boshin_Torpedo_Boat_Chiyodagata"	nil
nil	"Boshin_Naval_Inf_Gun_Boat_Chiyodagata_torpedo"	false	false	"STAND"	false	"Default_Boshin_Torpedo_Boat_Chiyodagata_MP"	"Boshin_Torpedo_Boat_Chiyodagata_MP"	nil
nil	"Naval_Inf_Cannon_Bune"	false	false	"STAND"	false	"Default_Cannon_Bune"	"Cannon_Ship_Cannon_Bune"	"naval_japanese"
nil	"Naval_Inf_Cannon_Bune"	false	false	"STAND"	false	"Default_Cannon_Bune_MP"	"Cannon_Ship_Cannon_Bune_MP"	"naval_japanese"
nil	"Naval_Inf_Cannon_Bune"	false	false	"STAND"	false	"Default_Cannon_Bune_Mori"	"Cannon_Ship_Cannon_Bune_Mori"	"naval_japanese"
nil	"Naval_Inf_Caravel"	false	false	"STAND"	false	"Default_Caravel"	"Galleon_Caravel"	"naval_japanese"
nil	"Naval_Inf_Caravel"	false	false	"STAND"	false	"Default_Caravel_Mori"	"Galleon_Caravel_Mori"	"naval_japanese"
nil	"Naval_Inf_The_Black_Ship"	false	false	"STAND"	false	"Default_The_Black_Ship"	"Galleon_The_Black_Ship"	"naval_japanese"
nil	"Naval_Inf_Heavy_Bune"	false	false	"STAND"	false	"Default_Gen_Heavy_Bune_MP"	"Gen_Heavy_Bune_MP"	"naval_japanese"
nil	"Genpei_Naval_Inf_Heavy_Ship_Attendant"	false	false	"STAND"	false	"Default_Genpei_Heavy_Ship_Attendant"	"Genpei_Heavy_Ship_Heavy_Ship_Attendants"	"naval_japanese"
nil	"Genpei_Naval_Inf_Heavy_Ship_Attendant"	false	false	"STAND"	false	"Default_Genpei_Heavy_Ship_Attendant"	"Genpei_Heavy_Ship_Heavy_Ship_Attendants_MP"	"naval_japanese"
nil	"Genpei_Naval_Inf_Heavy_Ship_Samurai"	false	false	"STAND"	false	"Default_Genpei_Heavy_Ship_Samurai"	"Genpei_Heavy_Ship_Heavy_Ship_Samurai"	"naval_japanese"
nil	"Genpei_Naval_Inf_Heavy_Ship_Samurai"	false	false	"STAND"	false	"Default_Genpei_Heavy_Ship_Samurai"	"Genpei_Heavy_Ship_Heavy_Ship_Samurai_MP"	"naval_japanese"
nil	"Genpei_Naval_Inf_Light_Ship_Attendant"	false	false	"STAND"	false	"Default_Genpei_Light_Ship_Attendant"	"Genpei_Light_Ship_Light_Ship_Attendants"	"naval_japanese"
nil	"Genpei_Naval_Inf_Light_Ship_Attendant"	false	false	"STAND"	false	"Default_Genpei_Light_Ship_Attendant"	"Genpei_Light_Ship_Light_Ship_Attendants_MP"	"naval_japanese"
nil	"Genpei_Naval_Inf_Light_Ship_Pirate"	false	false	"STAND"	false	"Default_Genpei_Light_Ship_Pirate"	"Genpei_Light_Ship_Light_Ship_Pirate"	"naval_japanese"
nil	"Genpei_Naval_Inf_Light_Ship_Samurai"	false	false	"STAND"	false	"Default_Genpei_Light_Ship_Samurai"	"Genpei_Light_Ship_Light_Ship_Samurai"	"naval_japanese"
nil	"Genpei_Naval_Inf_Light_Ship_Samurai"	false	false	"STAND"	false	"Default_Genpei_Light_Ship_Samurai"	"Genpei_Light_Ship_Light_Ship_Samurai_MP"	"naval_japanese"
nil	"Genpei_Naval_Inf_Medium_Ship_Fire_Bomb"	false	false	"STAND"	false	"Default_Genpei_Medium_Ship_Fire_Bomb"	"Genpei_Medium_Ship_Fire_Bomb_Medium_Ship"	"naval_japanese"
nil	"Genpei_Naval_Inf_Medium_Ship_Fire_Bomb"	false	false	"STAND"	false	"Default_Genpei_Medium_Ship_Fire_Bomb"	"Genpei_Medium_Ship_Fire_Bomb_Medium_Ship_MP"	"naval_japanese"
nil	"Genpei_Naval_Inf_Medium_Ship_Attendant"	false	false	"STAND"	false	"Default_Genpei_Medium_Ship_Attendant"	"Genpei_Medium_Ship_Medium_Ship_Attendants"	"naval_japanese"
nil	"Genpei_Naval_Inf_Medium_Ship_Attendant"	false	false	"STAND"	false	"Default_Genpei_Medium_Ship_Attendant"	"Genpei_Medium_Ship_Medium_Ship_Attendants_MP"	"naval_japanese"
nil	"Genpei_Naval_Inf_Medium_Ship_Pirate"	false	false	"STAND"	false	"Default_Genpei_Medium_Ship_Pirate"	"Genpei_Medium_Ship_Medium_Ship_Pirate"	"naval_japanese"
nil	"Genpei_Naval_Inf_Medium_Ship_Samurai"	false	false	"STAND"	false	"Default_Genpei_Medium_Ship_Samurai"	"Genpei_Medium_Ship_Medium_Ship_Samurai"	"naval_japanese"
nil	"Genpei_Naval_Inf_Medium_Ship_Samurai"	false	false	"STAND"	false	"Default_Genpei_Medium_Ship_Samurai"	"Genpei_Medium_Ship_Medium_Ship_Samurai_MP"	"naval_japanese"
nil	"Genpei_Naval_Inf_Trade_Ship"	false	false	"STAND"	false	"Default_Genpei_Trade_Ship"	"Genpei_Trade_Ship_Trade_Ship"	"naval_japanese"
nil	"Naval_Inf_Heavy_Bune"	false	false	"STAND"	false	"Default_Heavy_Bune"	"Heavy_Ship_Heavy_Bune"	"naval_japanese"
nil	"Naval_Inf_Heavy_Bune"	false	false	"STAND"	false	"Default_Heavy_Bune_MP"	"Heavy_Ship_Heavy_Bune_MP"	"naval_japanese"
nil	"Naval_Inf_Heavy_Bune"	false	false	"STAND"	false	"Default_Heavy_Bune_Mori"	"Heavy_Ship_Heavy_Bune_Mori"	"naval_japanese"
nil	"Naval_Inf_Nihon_Maru"	false	false	"STAND"	false	"Default_Nihon_Maru"	"Heavy_Ship_Nihon_Maru"	"naval_japanese"
nil	"Naval_Inf_Nihon_Maru"	false	false	"STAND"	false	"Default_Nihon_Maru_MP"	"Heavy_Ship_Nihon_Maru_MP"	"naval_japanese"
nil	"Naval_Inf_Nihon_Maru"	false	false	"STAND"	false	"Default_Nihon_Maru_Mori"	"Heavy_Ship_Nihon_Maru_Mori"	"naval_japanese"
nil	"Naval_Inf_O_Ataka_Bune"	false	false	"STAND"	false	"Default_O_Ataka_Bune"	"Heavy_Ship_O_Ataka_Bune"	"naval_japanese"
nil	"Naval_Inf_O_Ataka_Bune"	false	false	"STAND"	false	"Default_O_Ataka_Bune_Kizugawa"	"Heavy_Ship_O_Ataka_Bune_Kizugawa"	"naval_japanese"
nil	"Naval_Inf_O_Ataka_Bune"	false	false	"STAND"	false	"Default_O_Ataka_Bune_MP"	"Heavy_Ship_O_Ataka_Bune_MP"	"naval_japanese"
nil	"Naval_Inf_O_Ataka_Bune"	false	false	"STAND"	false	"Default_O_Ataka_Bune_Mori"	"Heavy_Ship_O_Ataka_Bune_Mori"	"naval_japanese"
nil	"Naval_Inf_Bow_Kobaya"	false	false	"STAND"	false	"Default_Bow_Kobaya"	"Light_Ship_Bow_Kobaya"	"naval_japanese"
nil	"Naval_Inf_Bow_Kobaya"	false	false	"STAND"	false	"Default_Bow_Kobaya_MP"	"Light_Ship_Bow_Kobaya_MP"	"naval_japanese"
nil	"Naval_Inf_Bow_Kobaya"	false	false	"STAND"	false	"Default_Bow_Kobaya_Mori"	"Light_Ship_Bow_Kobaya_Mori"	"naval_japanese"
nil	"Naval_Inf_Fire_Bomb_Kobaya"	false	false	"STAND"	false	"Default_Fire_Bomb_Kobaya"	"Light_Ship_Fire_Bomb_Kobaya"	"naval_japanese"
nil	"Naval_Inf_Fire_Bomb_Kobaya"	false	false	"STAND"	false	"Default_Fire_Bomb_Kobaya_MP"	"Light_Ship_Fire_Bomb_Kobaya_MP"	"naval_japanese"
nil	"Naval_Inf_Fire_Bomb_Kobaya"	false	false	"STAND"	false	"Default_Fire_Bomb_Kobaya_Mori"	"Light_Ship_Fire_Bomb_Kobaya_Mori"	"naval_japanese"
nil	"Naval_Inf_Matchlock_Kobaya"	false	false	"STAND"	false	"Default_Matchlock_Kobaya"	"Light_Ship_Matchlock_Kobaya"	"naval_japanese"
nil	"Naval_Inf_Matchlock_Kobaya"	false	false	"STAND"	false	"Default_Matchlock_Kobaya_MP"	"Light_Ship_Matchlock_Kobaya_MP"	"naval_japanese"
nil	"Naval_Inf_Matchlock_Kobaya"	false	false	"STAND"	false	"Default_Matchlock_Kobaya_Mori"	"Light_Ship_Matchlock_Kobaya_Mori"	"naval_japanese"
nil	"Naval_Inf_Matchlock_Kobaya"	false	false	"STAND"	false	"Default_Matchlock_Kobaya_Otomo"	"Light_Ship_Matchlock_Kobaya_Otomo"	"naval_japanese"
nil	"Naval_Inf_Siege_Tower_Ship"	false	false	"STAND"	false	"Default_Siege_Tower_Ship"	"Light_Ship_Siege_Tower_Bune"	"naval_japanese"
nil	"Naval_Inf_Siege_Tower_Ship"	false	false	"STAND"	false	"Default_Siege_Tower_Ship_MP"	"Light_Ship_Siege_Tower_Bune_MP"	"naval_japanese"
nil	"Naval_Inf_Siege_Tower_Ship"	false	false	"STAND"	false	"Default_Siege_Tower_Ship_Mori"	"Light_Ship_Siege_Tower_Bune_Mori"	"naval_japanese"
nil	"Naval_Inf_Medium_Bune"	false	false	"STAND"	false	"Default_Medium_Bune"	"Medium_Ship_Medium_Bune"	"naval_japanese"
nil	"Naval_Inf_Medium_Bune"	false	false	"STAND"	false	"Default_Medium_Bune_MP"	"Medium_Ship_Medium_Bune_MP"	"naval_japanese"
nil	"Naval_Inf_Medium_Bune"	false	false	"STAND"	false	"Default_Medium_Bune_Mori"	"Medium_Ship_Medium_Bune_Mori"	"naval_japanese"
nil	"Naval_Inf_Sengoku_Bune"	false	false	"STAND"	false	"Default_Sengoku_Bune"	"Medium_Ship_Sengoku_Bune"	"naval_japanese"
nil	"Naval_Inf_Sengoku_Bune"	false	false	"STAND"	false	"Default_Sengoku_Bune_MP"	"Medium_Ship_Sengoku_Bune_MP"	"naval_japanese"
nil	"Naval_Inf_Sengoku_Bune"	false	false	"STAND"	false	"Default_Sengoku_Bune_Mori"	"Medium_Ship_Sengoku_Bune_Mori"	"naval_japanese"
nil	"Naval_Inf_Wako_Medium_Bune"	false	false	"STAND"	false	"Default_Wako_Medium_Bune"	"Medium_Ship_Wako_Medium_Bune"	"naval_japanese_wako"
nil	"Naval_Inf_Red_Seal_Ship"	false	false	"STAND"	false	"Default_Red_Seal_Ship"	"Trade_Ship_Red_Seal_Ship"	"naval_japanese"
nil	"Naval_Inf_Trade_Ship"	false	false	"STAND"	false	"Default_Trade_Ship"	"Trade_Ship_Trade_Ship"	"naval_japanese"
nil	"Naval_Inf_Wako_Trade_Ship"	false	false	"STAND"	false	"Default_Wako_Trade_Ship"	"Trade_Ship_Wako_Trade_Ship"	"naval_japanese_wako"
"portugal"	"European_Inf_The_Black_Ship"	false	false	"STAND"	false	"Portuguese_The_Black_Ship"	"Galleon_The_Black_Ship"	"naval_european"
