version 3, schema units_tables
Unit_ID(string)	Screen_Name(string)	Category(string)	Class(string)	MP_Cost_Early(int)	MP_Cost_Late(int)	Turns_to_Build(int)	Cost(int)	Upkeep(int)	Campaign_Map_Action_Points(int)	Enabled__x0023__True_x0020_Disabled__x0023__False(boolean)	unknown4(string)	Unit_Icon_Path(string)	Unit_Info_Pic_Path(string)	Localisation_Key(string)	Region_IDRef(optstring)	Unit_Limit(int)	MP_Category(string)	Early_Availability(boolean)	Related_with_x0020_Early_x0020_availability(boolean)	Late_Availability(boolean)	unknown9(int)	Garrison_Availability(boolean)	MP_Unit_Limit(int)
"east_camel_gunners"	"Shaturnal Camel Gunners"	"cavalry"	"cavalry_missile"	550	480	1	730	210	28	true	"camels"	"East_Desert_Nomads_icon_cav2"	"east_desert_nomad_camelry"	"east_camel_gunners"	"camels"	0	"mp_cavalry"	true	true	true	0	false	0
"east_camel_gunners_zamburaks"	"Zamburak Camel Gunners"	"cavalry"	"cavalry_camels"	780	670	2	840	250	28	true	"camels"	"East_Camel_Gunners_Zamburak_icon"	"East_Camel_Gunners_Zamburak_info"	"east_zamburak_camel_gunners"	"camels"	0	"mp_cavalry"	false	true	true	0	false	4
"east_desert_nomad_camelry"	"Camel Nomads"	"cavalry"	"cavalry_camels"	660	580	1	860	250	28	true	"camels"	"East_Desert_Nomads_icon_cavs"	"East_Desert_Nomads_info_cavs"	"east_desert_nomad_camelry"	"camels"	0	"mp_cavalry"	true	true	true	0	false	0
"east_ethnic_hillmen_musketeers_afghan"	"Afghan Hillmen"	"infantry"	"infantry_skirmishers"	580	510	1	770	190	25	true	"infantry_musketeers"	"East_Ethnic_Hillmen_Musketeers_icon_infm"	"east_ethnic_hillmen_afghan"	"east_ethnic_hillmen_musketeers"	"afghans"	0	"mp_infantry"	true	true	true	0	false	0
"east_ethnic_hillmen_musketeers_afghan_garrison"	"Afghan Hillmen"	"infantry"	"infantry_skirmishers"	580	510	1	770	190	25	true	"infantry_musketeers"	"East_Ethnic_Hillmen_Musketeers_icon_infm"	"east_ethnic_hillmen_afghan"	"east_ethnic_hillmen_musketeers"	"global"	0	"mp_infantry"	false	false	false	0	true	0
"east_ethnic_hillmen_musketeers_caucasian"	"Caucasian Hillmen"	"infantry"	"infantry_skirmishers"	580	510	1	770	190	25	true	"infantry_generic"	"East_Ethnic_Hillmen_Musketeers_icon_infm"	"east_ethnic_hillmen_musketeers"	"east_ethnic_hillmen_musketeers_caucasian"	"global"	0	"mp_infantry"	true	true	true	0	false	0
"east_ethnic_hillmen_musketeers_caucasian_garrison"	"Caucasian Hillmen"	"infantry"	"infantry_skirmishers"	580	510	1	770	190	25	true	"infantry_generic"	"East_Ethnic_Hillmen_Musketeers_icon_infm"	"east_ethnic_hillmen_musketeers"	"east_ethnic_hillmen_musketeers_caucasian"	"global"	0	"mp_infantry"	false	false	false	0	true	0
"east_ethnic_hillmen_musketeers_jezail"	"Pashtun Jezail Gunners"	"infantry"	"infantry_skirmishers"	780	680	1	990	240	25	true	"infantry_musketeers"	"east_afghan_icon_infm"	"east_afghan_info_infm"	"east_ethnic_hillmen_musketeers"	"afghans"	0	"mp_infantry"	false	true	true	0	false	0
"east_ethnic_hillmen_musketeers_kurdish"	"Kurdish Hillmen"	"infantry"	"infantry_skirmishers"	590	520	1	780	190	25	true	"infantry_generic"	"East_Ethnic_Hillmen_Musketeers_icon_infm"	"east_ethnic_hillmen_musketeers"	"east_ethnic_hillmen_musketeers"	"kurds"	0	"mp_infantry"	true	true	true	0	false	0
"east_ethnic_musketeers_bargir_nerfed"	"Bargir Infantry"	"infantry"	"infantry_line"	830	730	1	1050	260	24	true	"infantry_musketeers"	"East_Ethnic_Musketmen_Bargir_icon_infm"	"East_Ethnic_Musketmen_Bargir_info_infm"	"east_ethnic_musketeers_bargir"	"global"	0	"mp_infantry"	false	false	true	0	false	0
"east_ethnic_musketmen_fellahin_musketeers"	"Fellahin Musketeers"	"infantry"	"infantry_militia"	490	430	1	660	160	24	true	"infantry_musketmen"	"East_Ethnic_Musketmen_Fellahin_icon_infm"	"east_fellahin_musketeers"	"east_ethnic_musketmen"	"middle_east"	0	"mp_infantry"	true	true	true	0	false	0
"east_ethnic_musketmen_hindu_musketeers"	"Banduqchis"	"infantry"	"infantry_line"	590	520	1	770	190	24	true	"infantry_musketmen"	"east_indian_Infantry_icon_infm"	"east_indian_Infantry_info_infm"	"east_ethnic_musketmen"	"hindu"	0	"mp_infantry"	true	true	true	0	false	0
"east_ethnic_musketmen_isarelys"	"Sekban Musketeers"	"infantry"	"infantry_line"	620	550	1	820	200	24	true	"infantry_musketmen"	"East_Ethnic_Musketmen_icon_infm"	"east_ethnic_musketmen"	"east_ethnic_musketmen"	"middle_east"	0	"mp_infantry"	true	true	true	0	false	0
"east_ethnic_musketmen_islamic_musketeers"	"Chela Musketeers"	"infantry"	"infantry_line"	590	520	1	770	190	24	true	"infantry_musketmen"	"East_Ethnic_Swordsmen_icon_infm"	"East_Ethnic_Swordsmen_info_infm"	"east_ethnic_musketmen"	"islam"	0	"mp_infantry"	true	true	true	0	false	0
"east_ethnic_musketmen_jazayerchi"	"Jazāyerchis"	"infantry"	"infantry_elite"	630	640	2	930	230	24	true	"infantry_generic"	"ottoman_cemaat_grenadiers"	"janissaries_cemaat_musketeers"	"east_ethnic_musketmen_jazayerchi"	"global"	0	"mp_infantry"	false	true	true	0	false	4
"east_ethnic_musketmen_tofangchi"	"Tofangchis"	"infantry"	"infantry_line"	620	550	1	820	200	24	true	"infantry_musketmen"	"East_Ethnic_Musketmen_icon_infm"	"east_ethnic_musketmen"	"east_ethnic_musketmen"	"middle_east"	0	"mp_infantry"	true	true	true	0	false	0
"east_ethnic_musketmen_tufekci"	"Tüfekçis"	"infantry"	"infantry_line"	600	530	1	800	200	24	true	"infantry_musketmen"	"East_Ethnic_Musketmen_icon_infm"	"east_ethnic_musketmen"	"east_ethnic_musketmen"	"global"	0	"mp_infantry"	true	true	true	0	false	0
"east_ethnic_musketmen_tufekci_garrison"	"Tüfekçis"	"infantry"	"infantry_line"	600	530	1	800	200	24	true	"infantry_musketmen"	"East_Ethnic_Musketmen_icon_infm"	"east_ethnic_musketmen"	"east_ethnic_musketmen"	"global"	0	"mp_infantry"	false	false	false	0	true	0
"east_ethnic_swordsmen_caucasian"	"Caucasian Swordsmen"	"infantry"	"infantry_melee"	700	610	1	900	220	24	true	"infantry_swordsmen"	"East_Ethnic_Swordsmen_icon_infs"	"East_Ethnic_Swordsmen_info_infs"	"east_ethnic_swordsmen"	"middle_east"	0	"mp_infantry"	true	true	true	0	false	0
"east_ethnic_swordsmen_caucasian_garrison"	"Caucasian Swordsmen"	"infantry"	"infantry_melee"	700	610	1	900	220	24	true	"infantry_swordsmen"	"East_Ethnic_Swordsmen_icon_infs"	"East_Ethnic_Swordsmen_info_infs"	"east_ethnic_swordsmen"	"global"	0	"mp_infantry"	false	false	false	0	true	0
"east_ethnic_swordsmen_fellahin"	"Fellahin Swordsmen"	"infantry"	"infantry_melee"	610	540	1	800	200	24	true	"infantry_swordsmen"	"East_Ethnic_Musketmen_Fellahin_icon_infs"	"East_Ethnic_Musketmen_Fellahin_info_infs"	"east_ethnic_swordsmen"	"middle_east"	0	"mp_infantry"	true	true	true	0	false	0
"east_ethnic_swordsmen_hindu_warriors"	"Mavala Warriors"	"infantry"	"infantry_melee"	610	540	1	810	200	24	true	"infantry_warrior_east"	"east_indian_Infantry_icon_infs"	"east_indian_Infantry_info_infs"	"east_ethnic_swordsmen"	"hindu"	0	"mp_infantry"	true	true	true	0	false	0
"east_ethnic_swordsmen_islamic_swordsmen"	"Shamsherbaz"	"infantry"	"infantry_melee"	700	610	1	900	220	24	true	"infantry_swordsmen"	"East_Ethnic_Swordsmen_icon_infs"	"East_Ethnic_Swordsmen_info_infs"	"east_ethnic_swordsmen"	"islam"	0	"mp_infantry"	true	true	true	0	false	0
"east_ethnic_swordsmen_islamic_garrison"	"Shamsherbaz"	"infantry"	"infantry_melee"	700	610	1	900	220	24	true	"infantry_swordsmen"	"East_Ethnic_Swordsmen_icon_infs"	"East_Ethnic_Swordsmen_info_infs"	"east_ethnic_swordsmen"	"global"	0	"mp_infantry"	false	false	false	0	true	0
"east_ethnic_swordsmen_khevsur"	"Khevsur Warriors"	"infantry"	"infantry_melee"	710	620	1	910	230	24	true	"infantry_swordsmen"	"East_Ethnic_Musketmen_icon_infs"	"East_Ethnic_Musketmen_info_infs"	"east_ethnic_swordsmen"	"middle_east"	0	"mp_infantry"	true	true	true	0	false	0
"east_ethnic_swordsmen_kurdish"	"Kurdish Swordsmen"	"infantry"	"infantry_melee"	630	560	1	820	210	24	true	"infantry_swordsmen"	"East_Ethnic_Musketmen_Fellahin_icon_infs"	"East_Ethnic_Musketmen_Fellahin_info_infs"	"east_ethnic_swordsmen"	"middle_east"	0	"mp_infantry"	true	true	true	0	false	0
"east_ethnic_warriors_barbary_pirates"	"Barbary Pirates"	"infantry"	"infantry_melee"	430	380	1	590	140	24	true	"infantry_warrior_east"	"Barbary_Pirates_icon_inf1"	"east_ethnic_warriors_barbary_pirates"	"east_ethnic_swordsmen"	"north_africa"	0	"mp_infantry"	true	true	true	0	false	0
"east_ethnic_warriors_barbary_pirates_with_grenades"	"Barbary Pirates"	"infantry"	"infantry_melee"	430	380	1	590	140	24	true	"infantry_warrior_east"	"Barbary_Pirates_icon_inf1"	"east_ethnic_warriors_barbary_pirates"	"east_ethnic_swordsmen"	"north_africa"	0	"mp_infantry"	true	true	true	0	false	0
"east_ethnic_warriors_barbary_pirates_with_grenades_garrison"	"Barbary Pirates"	"infantry"	"infantry_melee"	430	380	1	590	140	24	true	"infantry_warrior_east"	"Barbary_Pirates_icon_inf1"	"east_ethnic_warriors_barbary_pirates"	"east_ethnic_swordsmen"	"global"	0	"mp_infantry"	false	false	false	0	true	0
"east_guard_cavalry_qurchi"	"Qurchis"	"cavalry"	"cavalry_heavy"	1090	970	2	1320	390	28	true	"cavalry_guards_ahadis"	"east_guard_cavalry_ahadis_icon_cavl"	"east_guard_cavalry_ahadis_info_cavl"	"east_guard_cavalry_qurchi"	"global"	6	"mp_cavalry"	false	false	true	0	false	0
"east_guard_cavalry_silahdar"	"Silahdars"	"cavalry"	"cavalry_heavy"	1090	970	2	1320	390	28	true	"cavalry_guards_ahadis"	"east_guard_cavalry_ahadis_icon_cavl"	"east_guard_cavalry_ahadis_info_cavl"	"east_guard_cavalry_silahdar"	"global"	6	"mp_cavalry"	false	false	true	0	false	0
"east_heavy_cavalry_mirza"	"Mirza Cavalry"	"cavalry"	"cavalry_heavy"	950	840	1	1180	350	28	true	"cavalry_sipahi"	"east_sipahi_icon_cavl"	"east_sipahi_info_cavl"	"east_heavy_cavalry_mirza"	"steppes"	0	"mp_cavalry"	false	true	true	0	false	0
"east_heavy_cavalry_savar"	"Savārs"	"cavalry"	"cavalry_heavy"	950	840	1	1180	350	28	true	"cavalry_sipahi"	"east_sipahi_icon_cavl"	"east_sipahi_info_cavl"	"east_heavy_cavalry_savar"	"global"	0	"mp_cavalry"	false	true	true	0	false	0
"east_heavy_cavalry_sowar"	"Sowars"	"cavalry"	"cavalry_heavy"	950	840	1	1180	350	28	true	"cavalry_sipahi"	"east_sipahi_icon_cavl"	"east_sipahi_info_cavl"	"east_heavy_cavalry_sowar"	"global"	0	"mp_cavalry"	false	true	true	0	false	0
"east_irregular_cavalry_circassian"	"Circassian Horsemen"	"cavalry"	"cavalry_light"	730	650	1	940	270	28	true	"cavalry_cossacks"	"cossack_cavalry_icon_cav1"	"cossack_cavalry"	"east_irregular_cavalry_circassian"	"global"	0	"mp_cavalry"	true	true	true	0	false	0
"east_lancers_berber"	"Berber Lancers"	"cavalry"	"cavalry_lancers"	740	660	1	960	280	28	true	"cavalry_generic"	"East_lancers_icon_cavl"	"East_lancers_info_cavl"	"euro_lancers"	"desert"	0	"mp_cavalry"	true	true	true	0	false	0
"east_lancers_deli"	"Deli Lancers"	"cavalry"	"cavalry_lancers"	810	720	1	1040	310	28	true	"cavalry_generic"	"ottoman_deli_scout_icon_cavl"	"ottoman_deli_scout_info_cavl"	"euro_lancers"	"global"	0	"mp_cavalry"	true	true	true	0	false	0
"east_lancers_oglans"	"Oğlans"	"cavalry"	"cavalry_lancers"	810	720	1	1040	310	28	true	"cavalry_generic"	"East_Ethnic_Musketmen_Bargir_icon_cavl"	"East_Ethnic_Musketmen_Bargir_info_cavl"	"euro_lancers"	"global"	0	"mp_cavalry"	true	true	true	0	false	0
"east_light_cavalry_berber"	"Berber Cavalry"	"cavalry"	"cavalry_light"	880	780	1	1110	330	28	true	"cavalry_mamelukes"	"east_ethnic_swordsmen_icon_cav2"	"east_generals_bodyguard"	"desert_warriors"	"desert"	0	"mp_cavalry"	true	true	true	0	false	0
"east_light_cavalry_jigits"	"Jigits"	"cavalry"	"cavalry_light"	860	760	1	1090	270	28	true	"cavalry_generic"	"East_Qizilbashi_Light_Cavalry_icon_cavs"	"East_Qizilbashi_Light_Cavalry_info_cavs"	"east_light_cavalry_jigits"	"global"	0	"mp_cavalry"	true	true	true	0	false	4
"east_light_cavalry_nogai"	"Nogai Light Cavalry"	"cavalry"	"cavalry_light"	970	850	1	1200	300	28	true	"cavalry_generic"	"East_Ethnic_Musketmen_icon_cavs"	"East_Ethnic_Musketmen_info_cavs"	"east_light_cavalry_nogai"	"steppes"	0	"mp_cavalry"	true	true	true	0	false	4
"east_missile_cavalry_gholam"	"Gholam Horsemen"	"cavalry"	"cavalry_missile"	680	590	1	880	260	28	true	"cavalry_zamindari"	"east_zamindari_icon_cavb"	"east_zamindari_info_cavb"	"east_missile_cavalry_gholam"	"global"	0	"mp_cavalry"	true	true	false	0	false	0
"east_missile_cavalry_mirza"	"Mirza Horse Archers"	"cavalry"	"cavalry_missile"	1120	990	1	1350	330	28	true	"cavalry_tatar"	"east_zamindari_icon_cavb"	"east_zamindari_info_cavb"	"east_missile_cavalry_mirza"	"steppes"	0	"mp_cavalry"	true	true	true	0	false	0
"east_pikemen_gholam"	"Gholam Pikemen"	"infantry"	"infantry_melee"	390	340	1	550	130	24	true	"infantry_pikemen"	"east_zamindari_icon_infp"	"east_zamindari_info_infp"	"east_missile_cavalry_gholam"	"global"	0	"mp_infantry"	true	true	false	0	false	0
"east_pikemen_sadrosho"	"Sadrosho Pikemen"	"infantry"	"infantry_melee"	410	360	1	570	140	24	true	"infantry_pikemen"	"east_zamindari_icon_infp"	"east_zamindari_info_infp"	"east_pikemen_sadrosho"	"global"	0	"mp_infantry"	true	true	false	0	false	0
"east_sikh_infantry_musketeers_nerfed"	"Sikh Musketeers"	"infantry"	"infantry_line"	880	780	1	1100	270	24	true	"infantry_generic"	"East_Sikh_Infantry_musketeers_icon_infm"	"east_sikh_infantry_musketeers_musket"	"sikh_musketeers"	"sikh"	0	"mp_infantry"	true	false	true	0	false	0
"east_sipahi_cavalry_colonial"	"Sowars"	"cavalry"	"cavalry_standard"	890	790	1	1120	330	28	true	"cavalry_sipahi"	"Euro_Native_Company_Cavalry"	"east_sipahi_cavalry"	"east_sipahi_cavalry_colonial"	"india"	0	"mp_cavalry"	true	true	true	0	false	0
"euro_company_cavalry"	"Company Cavalry"	"cavalry"	"cavalry_standard"	700	620	1	910	270	28	true	"cavalry_generic"	"Euro_Company_Cavalry_icon_cavs"	"euro_company_cavalry"	"euro_company_cavalry"	"india"	0	"mp_cavalry"	true	true	true	0	false	0
"euro_company_cavalry_e_india_co"	"East India Company Cavalry"	"cavalry"	"cavalry_standard"	700	620	1	910	270	28	true	"cavalry_generic"	"Euro_Company_Cavalry_icon_cavs"	"euro_company_cavalry"	"euro_company_cavalry"	"india"	0	"mp_cavalry"	true	true	true	0	false	0
"euro_company_cavalry_french_eic"	"French East India Co. Cavalry"	"cavalry"	"cavalry_standard"	700	620	1	910	270	28	true	"cavalry_generic"	"Euro_Company_Cavalry_icon_cavs"	"euro_company_cavalry"	"euro_company_cavalry"	"india"	0	"mp_cavalry"	true	true	true	0	false	0
"euro_company_cavalry_voc"	"V.O.C. Cavalry"	"cavalry"	"cavalry_standard"	700	620	1	910	270	28	true	"cavalry_generic"	"Euro_Company_Cavalry_icon_cavs"	"euro_company_cavalry"	"euro_company_cavalry"	"india"	0	"mp_cavalry"	true	true	true	0	false	0
"euro_company_infantry"	"Company Infantry"	"infantry"	"infantry_line"	810	740	1	1050	260	24	true	"infantry_company"	"Euro_Company_Infantry"	"euro_company_infantry"	"euro_company_infantry"	"india"	0	"mp_infantry"	true	true	true	0	false	0
"euro_company_infantry_e_india_co"	"East India Company Infantry"	"infantry"	"infantry_line"	810	740	1	1050	260	24	true	"infantry_company"	"Euro_Company_Infantry"	"euro_company_infantry"	"euro_company_infantry"	"india"	0	"mp_infantry"	true	true	true	0	false	0
"euro_company_infantry_french_eic"	"French East India Co. Infantry"	"infantry"	"infantry_line"	810	740	1	1050	260	24	true	"infantry_company"	"Euro_Company_Infantry"	"euro_company_infantry"	"euro_company_infantry"	"india"	0	"mp_infantry"	true	true	true	0	false	0
"euro_company_infantry_voc_infantry"	"V.O.C. Infantry"	"infantry"	"infantry_line"	810	740	1	1050	260	24	true	"infantry_company"	"Euro_Company_Infantry"	"euro_company_infantry"	"euro_company_infantry"	"india"	0	"mp_infantry"	true	true	true	0	false	0
"euro_lancers_east_india_company_lancers"	"East India Company Lancers"	"cavalry"	"cavalry_lancers"	780	690	1	1000	300	28	true	"cavalry_generic"	"Euro_Company_Lancers_icon_cavs"	"euro_lancers_east_india_company_lancers"	"euro_lancers"	"india"	0	"mp_cavalry"	true	true	true	0	false	0
"euro_line_infantry_russia_suvorov"	"Line Infantry"	"infantry"	"infantry_line"	810	740	1	1060	260	24	true	"infantry_generic"	"euro_line_infantry"	"euro_line_infantry"	"euro_line_infantry"	"europe"	0	"mp_infantry"	true	true	true	0	false	0
"euro_line_infantry_russia_trained"	"Line Infantry"	"infantry"	"infantry_line"	790	720	1	1040	260	24	true	"infantry_generic"	"euro_line_infantry"	"euro_line_infantry"	"euro_line_infantry"	"europe"	0	"mp_infantry"	true	true	true	0	false	0
"euro_sepoys"	"Sepoys"	"infantry"	"infantry_line"	750	660	1	960	240	24	true	"infantry_generic"	"Euro_Sepoys"	"euro_sepoy"	"euro_sepoys"	"india"	0	"mp_infantry"	true	true	true	0	false	0
"galleon_nerfed"	"Galleon"	"naval_line_of_battle"	"naval_galleon"	1230	1010	3	1710	300	73	true	"naval_captain"	"galleon"	"galleon"	"galleon"	"global"	0	"mp_naval_line_of_battle"	true	false	true	0	false	0
"glekhebi"	"Glekhebi"	"infantry"	"infantry_mob"	300	260	1	420	100	24	true	"infantry_generic"	"East_Ethnic_Peasants_Fodder_icon_inf1"	"east_ethnic_peasants_fodder"	"landless_rabble"	"global"	0	"mp_infantry"	true	true	true	0	false	0
"gorodskiye_streltsy_musket"	"Gorodskiye Streltsy"	"infantry"	"infantry_militia"	590	520	1	770	190	24	true	"infantry_generic"	"streltsy_foot_icon_infa"	"streltsy_foot_info_infa"	"gorodskiye_streltsy"	"europe"	0	"mp_infantry"	true	false	false	0	false	0
"grab"	"Grab"	"naval_frigate"	"naval_xebec"	680	560	2	890	220	83	true	"naval_captain"	"xebec"	"xebec"	"barbary_xebec"	"india"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"janissaries_anatolian"	"Anatolian Janissaries"	"infantry"	"infantry_elite"	1130	1020	2	1390	340	24	true	"infantry_generic"	"ottoman_cemaat_janissaries"	"janissaries_cemaat_musketeers"	"janissaries_beylik"	"anatolia"	4	"mp_infantry"	true	true	true	0	false	2
"janissaries_anatolian_kupa"	"Anatolian Janissaries"	"infantry"	"infantry_elite"	1230	1200	1	1570	390	24	true	"infantry_generic"	"ottoman_cemaat_janissaries"	"janissaries_cemaat_musketeers"	"janissaries_beylik"	"anatolia"	6	"mp_infantry"	true	true	true	0	false	4
"janissaries_beylik_grenadiers"	"Beylik Janissary Grenadiers"	"infantry"	"infantry_grenadiers"	630	640	2	930	230	24	true	"infantry_grenadiers"	"ottoman_sekban_grenadiers"	"janissaries_beylik_grenadiers"	"janissaries_beylik"	"global"	0	"mp_infantry"	false	true	true	0	false	0
"janissaries_beylik_musketeers"	"Beylik Janissary Musketeers"	"infantry"	"infantry_elite"	930	820	1	1150	280	24	true	"infantry_generic"	"ottoman_sekban_janissaries"	"janissaries_beylik_musketeers"	"janissaries_beylik"	"global"	0	"mp_infantry"	false	true	true	0	false	0
"landless_rabble"	"Landless Rabble"	"infantry"	"infantry_mob"	210	180	1	300	70	24	true	"infantry_generic"	"East_Ethnic_Peasants_Fodder_icon_inf1"	"landless_rabble"	"landless_rabble"	"global"	0	"mp_infantry"	true	true	true	0	false	0
"landless_rabble_bhumiya"	"Bhumiya Levy"	"infantry"	"infantry_mob"	210	180	1	300	70	24	true	"infantry_generic"	"East_armed_peasantry_bhumiya_icon_fork"	"East_armed_peasantry_bhumiya_info_infp"	"landless_rabble"	"global"	0	"mp_infantry"	true	true	true	0	false	0
"light_gallivat"	"Light Gallivat"	"naval_galley"	"naval_light_galley"	360	300	1	380	90	73	true	"naval_captain"	"galley_lanteen"	"galley_lanteen"	"light_galley/galliot/fusta"	"india"	0	"mp_naval_line_of_battle"	true	false	false	0	false	0
"mameluks"	"Mamluks"	"cavalry"	"cavalry_light"	880	780	1	1110	330	28	true	"cavalry_mamelukes"	"Mameluks"	"Mameluks_info_cavs"	"mameluks"	"middle_east"	0	"mp_cavalry"	true	true	true	0	false	0
"mameluks_buffed"	"Mamluks"	"cavalry"	"cavalry_light"	880	780	1	1110	330	28	true	"cavalry_mamelukes"	"Mameluks"	"Mameluks_info_cavs"	"mameluks"	"middle_east"	0	"mp_cavalry"	true	true	true	0	false	0
"medium_gallivat"	"Gallivat"	"naval_galley"	"naval_medium_galley"	400	330	1	430	100	73	true	"naval_captain"	"galley"	"galley"	"medium_galley"	"india"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
"musellims"	"Musellims"	"infantry"	"infantry_mob"	300	260	1	420	100	24	true	"infantry_generic"	"East_Ethnic_Peasants_Fodder_icon_inf1"	"east_ethnic_peasants_fodder"	"landless_rabble"	"global"	0	"mp_infantry"	true	true	true	0	false	0
"pal"	"Pal"	"naval_frigate"	"naval_sixth_rate"	740	610	2	920	230	83	true	"naval_captain"	"6th_rate"	"1d_24"	"6th_rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0
