version 1, schema unit_experience_threshold_modifiers_tables, guid b01dd462-1433-4e46-8ba5-721d9336d508
unknown1(string)	unknown2(float)
"Boshin_Inf_Spear_Kyoto_Police"	0.8
"Boshin_Inf_Spear_Levy"	0.75
"Boshin_Inf_Spear_Levy_Garrison"	0.75
"Boshin_Inf_Spear_Yari_Kachi"	0.8
"Boshin_Inf_Special_Kisho_Ninjas"	1
"Boshin_Inf_Sword_Katana_Kachi"	1
"Boshin_Inf_Sword_Shogitai"	1
"Cav_Missile_Bow_Cavalry"	0.9
"Cav_Missile_Bow_Cavalry_Takeda"	0.9
"Cav_Spear_Great_Guard"	1.3
"Cav_Spear_Great_Guard_Takeda"	1.3
"Cav_Spear_Light_Cavalry"	0.9
"Cav_Spear_Light_Cavalry_Takeda"	0.9
"Cav_Spear_Naginata_Warrior_Monk_Cavalry"	1.25
"Cav_Spear_Yari_Cavalry"	1.2
"Cav_Spear_Yari_Cavalry_Dojo"	1.2
"Cav_Spear_Yari_Cavalry_Takeda"	1.2
"Cav_Sword_Katana_Cavalry"	1.1
"Cav_Sword_Katana_Cavalry_Takeda"	1.1
"Inf_Missile_Bow_Ashigaru"	0.85
"Inf_Missile_Bow_Ashigaru_Chosokabe"	0.85
"Inf_Missile_Bow_Ashigaru_Citizenry"	0.85
"Inf_Missile_Bow_Ashigaru_Hattori"	0.85
"Inf_Missile_Bow_Ashigaru_Ikko_Ikki"	0.85
"Inf_Missile_Bow_Ashigaru_Oda"	0.85
"Inf_Missile_Bow_Hero"	1.35
"Inf_Missile_Bow_Hero_Chosokabe"	1.35
"Inf_Missile_Bow_Samurai"	1.15
"Inf_Missile_Bow_Samurai_Chosokabe"	1.15
"Inf_Missile_Bow_Samurai_Dojo"	1.15
"Inf_Missile_Bow_Samurai_Hattori"	1.15
"Inf_Missile_Bow_Warrior_Monks"	1.25
"Inf_Missile_Bow_Warrior_Monks_Chosokabe"	1.25
"Inf_Missile_Bow_Warrior_Monks_Ikko_Ikki"	1.25
"Inf_Missile_Bow_Warrior_Monks_Uesugi"	1.25
"Inf_Missile_Imported_Matchlock_Ashigaru"	0.95
"Inf_Missile_Matchlock_Ashigaru"	0.95
"Inf_Missile_Matchlock_Ashigaru_Hattori"	0.95
"Inf_Missile_Matchlock_Ashigaru_Ikko_Ikki"	0.95
"Inf_Missile_Matchlock_Ashigaru_Oda"	0.95
"Inf_Missile_Matchlock_Samurai"	1.2
"Inf_Missile_Matchlock_Samurai_Hattori"	1.2
"Inf_Missile_Matchlock_Warrior_Monks"	1.3
"Inf_Missile_Matchlock_Warrior_Monks_Uesugi"	1.3
"Inf_Spear_Yari_Ashigaru"	0.75
"Inf_Spear_Yari_Ashigaru_Citizenry"	0.75
"Inf_Spear_Yari_Ashigaru_Hattori"	0.75
"Inf_Spear_Yari_Ashigaru_Ikko_Ikki"	0.75
"Inf_Spear_Yari_Ashigaru_Oda"	0.75
"Inf_Special_Kisho_Ninjas"	1.2
"Inf_Special_Kisho_Ninjas_Hattori"	1.1
"Inf_Special_Kisho_Ninjas_Tokugawa"	1.1
"Inf_Sword_Katana_Hero"	1.35
"Inf_Sword_Katana_Hero_Shimazu"	1.35
