version 1, schema battlefield_buildings_tables
Battlefield_Building_ID(string)	Type(string)	Building_2(string)	Material(string)	Hit_points(int)	Fort_type(optstring)	Terrain(optstring)
"ottoman_hut06"	"house"	"ottoman_hut06"	"stone"	300	nil	nil
"ottoman_large_fort_armoury01"	"armoury"	"ottoman_large_fort_armoury01"	"stone"	600	nil	nil
"ottoman_large_fort_armoury02"	"armoury"	"ottoman_large_fort_armoury02"	"stone"	600	nil	nil
"ottoman_large_fort_barracks"	"barracks"	"ottoman_large_fort_barracks"	"stone"	800	nil	nil
"ottoman_large_fort_command_hq"	"command_HQ"	"ottoman_large_fort_command_hq"	"stone"	800	nil	nil
"ottoman_ruins"	"ruins"	"ottoman_ruins"	"stone"	500	nil	nil
"ottoman_ruins01"	"ruins"	"ottoman_ruins01"	"stone"	500	nil	nil
"ottoman_rural01"	"rural"	"ottoman_rural01"	"stone"	150	nil	nil
"ottoman_rural02"	"rural"	"ottoman_rural02"	"stone"	200	nil	nil
"ottoman_rural03"	"rural"	"ottoman_rural03"	"stone"	150	nil	nil
"ottoman_stone_bridge"	"bridge"	"ottoman_stone_bridge"	"stone"	500	nil	nil
"ottoman_townhall"	"townhall"	"ottoman_townhall"	"stone"	600	nil	nil
"ottoman_warehouse04"	"warehouse"	"ottoman_warehouse04"	"brick"	600	nil	nil
"prop_field_applebarrels"	"incidental"	"prop_field_applebarrels"	"wood"	1	nil	"terrain_rotation"
"prop_field_cart"	"incidental"	"prop_field_cart"	"wood"	1	nil	"terrain_rotation"
"prop_field_fallen_oak_log01"	"incidental"	"prop_field_fallen_oak_log01"	"wood"	50	nil	nil
"prop_field_fallen_oak_log02"	"incidental"	"prop_field_fallen_oak_log02"	"wood"	50	nil	nil
"prop_field_fallen_oak_log03"	"incidental"	"prop_field_fallen_oak_log03"	"wood"	50	nil	nil
"prop_field_fallen_pine_tree01"	"incidental"	"prop_field_fallen_pine_tree01"	"wood"	1	nil	nil
"prop_field_fallen_pine_tree02"	"incidental"	"prop_field_fallen_pine_tree02"	"wood"	50	nil	nil
"prop_field_fallen_pine_tree03"	"incidental"	"prop_field_fallen_pine_tree03"	"wood"	50	nil	nil
"prop_field_fire_pit"	"incidental"	"prop_field_fire_pit"	"wood"	1	nil	"terrain_rotation"
"prop_field_haybale"	"incidental"	"prop_field_haybale"	"wood"	1	nil	"terrain_rotation"
"prop_field_haybale_bundle01"	"incidental"	"prop_field_haybale_bundle01"	"wood"	1	nil	"terrain_rotation"
"prop_field_haybale_bundle02"	"incidental"	"prop_field_haybale_bundle02"	"wood"	1	nil	"terrain_rotation"
"prop_field_haybale_bundle03"	"incidental"	"prop_field_haybale_bundle03"	"wood"	1	nil	"terrain_rotation"
"prop_field_haysheaf"	"incidental"	"prop_field_haysheaf"	"wood"	1	nil	"terrain_rotation"
"prop_field_haysheaf_alpahtest"	"incidental"	"prop_field_haysheaf_alpahtest"	"wood"	1	nil	nil
"prop_field_log_pile01"	"incidental"	"prop_field_log_pile01"	"wood"	1	nil	nil
"prop_field_log_pile02"	"incidental"	"prop_field_log_pile02"	"wood"	1	nil	nil
"prop_field_log_pile03"	"incidental"	"prop_field_log_pile03"	"wood"	1	nil	nil
"prop_field_stepladder"	"incidental"	"prop_field_stepladder"	"wood"	1	nil	"terrain_rotation"
"prop_field_tent_large"	"incidental"	"prop_field_tent_large"	"wood"	1	nil	nil
"prop_field_tent_med"	"incidental"	"prop_field_tent_med"	"wood"	1	nil	nil
"prop_field_tent_small"	"incidental"	"prop_field_tent_small"	"wood"	1	nil	nil
"prop_field_treestump"	"incidental"	"prop_field_treestump"	"wood"	1	nil	"terrain_rotation"
"prop_field_treestump_large"	"incidental"	"prop_field_treestump_large"	"wood"	1	nil	nil
"prop_field_treestump_small"	"incidental"	"prop_field_treestump_small"	"wood"	1	nil	nil
"prop_field_trough"	"incidental"	"prop_field_trough"	"wood"	1	nil	"terrain_rotation"
"prop_field_wagon_covered"	"incidental"	"prop_field_wagon_covered"	"wood"	1	nil	nil
"prop_field_wagon_uncovered"	"incidental"	"prop_field_wagon_uncovered"	"wood"	1	nil	nil
"prop_field_wheat_bundle"	"incidental"	"prop_field_wheat_bundle"	"wood"	1	nil	nil
"prop_field_wheelbarrow"	"incidental"	"prop_field_wheelbarrow"	"wood"	1	nil	"terrain_rotation"
"prop_town_fire_pit"	"incidental"	"prop_town_fire_pit"	"wood"	1	nil	"terrain_rotation"
"prop_town_flagpole"	"incidental"	"prop_town_flagpole"	"stone"	1	nil	"terrain_threshold_upright"
"prop_town_food_baskets"	"incidental"	"prop_town_food_baskets"	"wood"	1	nil	"terrain_rotation"
"prop_town_gravestone01"	"incidental"	"prop_town_gravestone01"	"stone"	1	nil	"terrain_rotation"
"prop_town_gravestone02"	"incidental"	"prop_town_gravestone02"	"stone"	1	nil	"terrain_rotation"
"prop_town_gravestone03"	"incidental"	"prop_town_gravestone03"	"stone"	1	nil	"terrain_rotation"
"prop_town_market_stall01"	"incidental"	"prop_town_market_stall01"	"wood"	1	nil	"terrain_rotation"
"prop_town_market_stall02"	"incidental"	"prop_town_market_stall02"	"wood"	1	nil	"terrain_rotation"
"prop_town_market_stall03"	"ruins"	"prop_town_market_stall03"	"stone"	100	nil	nil
"prop_town_market_stall04"	"ruins"	"prop_town_market_stall04"	"stone"	100	nil	nil
"prop_town_market_stall05"	"ruins"	"prop_town_market_stall05"	"stone"	100	nil	nil
"prop_town_native_totempole01"	"incidental"	"prop_town_native_totempole01"	"wood"	1	nil	nil
"prop_town_ott_stall04"	"incidental"	"prop_town_ott_stall04"	"stone"	100	nil	nil
"prop_town_ott_stall05"	"incidental"	"prop_town_ott_stall05"	"stone"	100	nil	nil
"prop_town_ott_stall06"	"incidental"	"prop_town_ott_stall06"	"stone"	150	nil	nil
"prop_town_ottoman_food_baskets"	"incidental"	"prop_town_ottoman_food_baskets"	"wood"	1	nil	"terrain_rotation"
"prop_town_ottoman_pagoda"	"incidental"	"prop_town_ottoman_pagoda"	"stone"	1	nil	"terrain_threshold_upright"
"prop_town_ottoman_stall01"	"incidental"	"prop_town_ottoman_stall01"	"wood"	1	nil	"terrain_rotation"
"prop_town_ottoman_stall02"	"incidental"	"prop_town_ottoman_stall02"	"wood"	1	nil	"terrain_rotation"
"prop_town_ottoman_stall03"	"incidental"	"prop_town_ottoman_stall03"	"wood"	1	nil	"terrain_rotation"
"prop_town_ottoman_stone_bench"	"incidental"	"prop_town_ottoman_stone_bench"	"stone"	1	nil	"terrain_threshold_upright"
"prop_town_pile_of_stones"	"incidental"	"prop_town_pile_of_stones"	"stone"	1	nil	"terrain_rotation"
"prop_town_plant_pot01"	"incidental"	"prop_town_plant_pot01"	"stone"	1	nil	"terrain_rotation"
"prop_town_plant_pot02"	"incidental"	"prop_town_plant_pot02"	"stone"	1	nil	"terrain_rotation"
"prop_town_plant_pot03"	"incidental"	"prop_town_plant_pot03"	"wood"	1	nil	"terrain_rotation"
"prop_town_pulley"	"incidental"	"prop_town_pulley"	"wood"	1	nil	"terrain_rotation"
"prop_town_scaffolding"	"incidental"	"prop_town_scaffolding"	"wood"	1	nil	"terrain_threshold_upright"
"prop_town_signpost"	"incidental"	"prop_town_signpost"	"wood"	1	nil	"terrain_rotation"
"prop_town_stack_of_barrels"	"incidental"	"prop_town_stack_of_barrels"	"wood"	1	nil	"terrain_rotation"
"prop_town_stack_of_trunks"	"incidental"	"prop_town_stack_of_trunks"	"wood"	1	nil	"terrain_rotation"
"prop_town_stone_bench"	"incidental"	"prop_town_stone_bench"	"wood"	15	nil	"terrain_threshold_upright"
"prop_town_stone_pillar"	"incidental"	"prop_town_stone_pillar"	"wood"	50	nil	"terrain_threshold_upright"
"prop_town_street_lamp"	"incidental"	"prop_town_street_lamp"	"stone"	1	nil	"terrain_threshold_upright"
"prop_town_urn01"	"incidental"	"prop_town_urn01"	"stone"	1	nil	"terrain_rotation"
"prop_town_urn02"	"incidental"	"prop_town_urn02"	"stone"	1	nil	"terrain_rotation"
"prop_town_urn03"	"incidental"	"prop_town_urn03"	"stone"	1	nil	"terrain_rotation"
"prop_town_wicker_baskets"	"incidental"	"prop_town_wicker_baskets"	"wood"	1	nil	"terrain_rotation"
"prop_town_wooden_bench"	"incidental"	"prop_town_wooden_bench"	"wood"	1	nil	"terrain_rotation"
"prop_town_wooden_boards"	"incidental"	"prop_town_wooden_boards"	"wood"	1	nil	"terrain_rotation"
"prop_town_wooden_pole"	"incidental"	"prop_town_wooden_pole"	"wood"	1	nil	"terrain_rotation"
"prop_town_wooden_shack"	"incidental"	"prop_town_wooden_shack"	"wood"	1	nil	"terrain_rotation"
"prop_town_woodenstructure"	"incidental"	"prop_town_woodenstructure"	"wood"	1	nil	nil
"ruinedchurch"	"ruins"	"ruinedchurch"	"stone"	500	nil	"terrain_threshold_upright"
"ruins"	"ruins"	"ruins"	"stone"	500	nil	"terrain_threshold_upright"
"small_rock_1"	"boulder"	"small_rock_1"	"stone"	15	nil	nil
"small_rock_2"	"boulder"	"small_rock_2"	"stone"	15	nil	nil
"small_rock_3"	"boulder"	"small_rock_3"	"stone"	15	nil	nil
"small_rock_4"	"boulder"	"small_rock_4"	"stone"	15	nil	nil
"south_euro_church"	"church"	"south_euro_church"	"brick"	500	nil	nil
"south_euro_farmhouse"	"house"	"south_euro_farmhouse"	"brick"	500	nil	nil
"south_euro_house01"	"house"	"south_euro_house01"	"brick"	300	nil	nil
"south_euro_house01b"	"house"	"south_euro_house01b"	"brick"	300	nil	nil
"south_euro_house02"	"house"	"south_euro_house02"	"brick"	300	nil	nil
"south_euro_house02b"	"house"	"south_euro_house02b"	"brick"	300	nil	nil
"south_euro_house03"	"house"	"south_euro_house03"	"brick"	300	nil	nil
"south_euro_house03b"	"house"	"south_euro_house03b"	"brick"	300	nil	nil
"south_euro_house04"	"house"	"south_euro_house04"	"brick"	300	nil	nil
"south_euro_house04b"	"house"	"south_euro_house04b"	"brick"	300	nil	nil
"south_euro_house05"	"house"	"south_euro_house05"	"brick"	300	nil	nil
"south_euro_house05b"	"house"	"south_euro_house05b"	"brick"	300	nil	nil
"south_euro_house06"	"house"	"south_euro_house06"	"brick"	300	nil	nil
"south_euro_house06b"	"house"	"south_euro_house06b"	"brick"	300	nil	nil
"south_euro_house07"	"house"	"south_euro_house07"	"brick"	300	nil	nil
"south_euro_house08"	"house"	"south_euro_house08"	"brick"	300	nil	nil
"south_euro_house08b"	"house"	"south_euro_house08b"	"brick"	300	nil	nil
