version 2, schema unit_info_card_abilities_strings_tables, guid 444f60b8-84f4-4e68-9319-61020a5b9a99
Ability_String(string)	unknown2(optstring)	unknown3(optstring)
"skirmish"	"Can skirmish"	"A skirmishing unit will retreat from enemies threatening their position."
"snipe"	"Remains hidden whilst firing"	"These units are highly skilled and deadly missile infantry, allowing them to fire whilst remaining hidden."
"socket_bayonet"	"Socket Bayonet"	"Provide melee bonuses, particularly against charging units."
"square_formation"	"Can adopt square formation"	"Can adopt a square formation to repel cavalry attacks at the cost of unit mobility."
"stalk"	"Remains hidden anywhere whilst walking"	"These men can slowly stalk a target anywhere without giving away their position, though running or firing will draw attention."
"stand_firm"	"Hold Firm"	"This temporarily increases defence ability and stops morale from dropping, making the unit, and up to two nearby units, unbreakable for a short time. "
"top_gallants"	"Top Gallants"	"Increased ship speed."
"unlimber"	"Unlimber/limber artillery"	"Unlimbering artillery allows you to set up an artillery position.||Limbering artillery allows you to move your artillery if you need to adjust the range, or make a tactical retreat."
"warcry"	"Warcry"	"Warcry heavily demoralises nearby enemies, slowing them down and affecting their defence ability for a short time. "
"we_stand_and_fight"	"Stand and Fight"	"The general dismounts and forms up with his bodyguard around him. All friendly units within a large area have their melee attack, firing rate and morale greatly increased, but the general himself is left immobile and vulnerable until the ability is deactivated."
"wedge_formation"	"Wedge Formation"	"Trained to charge in a wedge formation in order to better penetrate enemy formations."
"whistling_arrows_ability"	"Can fire whistling arrows"	"As well as having normal arrow damage, whistling arrows have an unsettling effect on enemies they hit or fly over, reducing their combat ability for a short period. "
"wooden_stakes"	"Can place stakes"	"Sharpened stakes can be used to deter enemy cavalry charges."
