version 1, schema building_faction_variants_tables
Building_IDRef(string)	Faction(string)	Campaign_Map_Model(optstring)	Localised_Description(optstring)	Icon__Info_Picture(optstring)
"prest_spain_palacio_real_de_madrid"	"spain"	"Prestige_palaciomadrid"	"prest_spain_palacio_real_de_madrid"	"Prestige_palaciomadrid"
"prest_sweden_konglig_museum"	"sweden"	"Prestige_konglig"	"prest_sweden_konglig_museum"	"Prestige_konglig"
"prest_sweden_slott"	"sweden"	"prestige_stockholmslott"	"prest_sweden_slott"	"prestige_stockholmslott"
"prest_unitedprovinces_kweekschool"	"netherlands"	"prestige_konikjlijke"	"prest_unitedprovinces_kweekschool"	"Prestige_koninklijke"
"prest_unitedprovinces_teylers_museum"	"netherlands"	"Prestige_teylersmuseum"	"prest_unitedprovinces_teylers_museum"	"Prestige_teylersmuseum"
"prest_usa_independence_hall"	"united_states"	"prestige_independancehall"	"prest_usa_independence_hall"	"Prestige_independancehall"
"prest_usa_smithsonian"	"united_states"	"prestige_smithsonian"	"prest_usa_smithsonian"	"Prestige_smithsonian"
"rel_catholic_0"	"austria"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_catholic_0"	"bavaria"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_catholic_0"	"colombia"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_protestant_0"	"courland"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_catholic_0"	"france"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_catholic_0"	"genoa"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_catholic_0"	"hungary"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_catholic_0"	"ireland"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_catholic_0"	"knights_stjohn"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_catholic_0"	"louisiana"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_catholic_0"	"mexico"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_catholic_0"	"naples_sicily"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_catholic_0"	"new_spain"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_catholic_0"	"papal_states"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_catholic_0"	"piedmont_savoy"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_catholic_0"	"poland_lithuania"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_catholic_0"	"portugal"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_catholic_0"	"quebec"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_catholic_0"	"saxony"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_catholic_0"	"spain"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_catholic_0"	"swiss_confederation"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_catholic_0"	"tuscany"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_catholic_0"	"venice"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_catholic_0"	"westphalia"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_catholic_0"	"wurttemberg"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_catholic_1"	"austria"	"EU_town_education_lvl2_religious"	"jesuit_college"	"EU_town_education_lvl2_religious"
"rel_catholic_1"	"bavaria"	"EU_town_education_lvl2_religious"	"jesuit_college"	"EU_town_education_lvl2_religious"
"rel_catholic_1"	"colombia"	"EU_town_education_lvl2_religious"	"jesuit_college"	"EU_town_education_lvl2_religious"
"rel_protestant_1"	"courland"	"EU_town_education_lvl2_religious"	"chapter_school"	"EU_town_education_lvl2_religious"
"rel_catholic_1"	"france"	"EU_town_education_lvl2_religious"	"jesuit_college"	"EU_town_education_lvl2_religious"
"rel_catholic_1"	"genoa"	"EU_town_education_lvl2_religious"	"jesuit_college"	"EU_town_education_lvl2_religious"
"rel_catholic_1"	"hungary"	"EU_town_education_lvl2_religious"	"jesuit_college"	"EU_town_education_lvl2_religious"
"rel_catholic_1"	"ireland"	"EU_town_education_lvl2_religious"	"jesuit_college"	"EU_town_education_lvl2_religious"
"rel_catholic_1"	"knights_stjohn"	"EU_town_education_lvl2_religious"	"jesuit_college"	"EU_town_education_lvl2_religious"
"rel_catholic_1"	"mexico"	"EU_town_education_lvl2_religious"	"jesuit_college"	"EU_town_education_lvl2_religious"
"rel_catholic_1"	"louisiana"	"EU_town_education_lvl2_religious"	"jesuit_college"	"EU_town_education_lvl2_religious"
"rel_catholic_1"	"naples_sicily"	"EU_town_education_lvl2_religious"	"jesuit_college"	"EU_town_education_lvl2_religious"
"rel_catholic_1"	"new_spain"	"EU_town_education_lvl2_religious"	"jesuit_college"	"EU_town_education_lvl2_religious"
"rel_catholic_1"	"papal_states"	"EU_town_education_lvl2_religious"	"jesuit_college"	"EU_town_education_lvl2_religious"
"rel_catholic_1"	"piedmont_savoy"	"EU_town_education_lvl2_religious"	"jesuit_college"	"EU_town_education_lvl2_religious"
"rel_catholic_1"	"poland_lithuania"	"EU_town_education_lvl2_religious"	"jesuit_college"	"EU_town_education_lvl2_religious"
"rel_catholic_1"	"portugal"	"EU_town_education_lvl2_religious"	"jesuit_college"	"EU_town_education_lvl2_religious"
"rel_catholic_1"	"quebec"	"EU_town_education_lvl2_religious"	"jesuit_college"	"EU_town_education_lvl2_religious"
"rel_catholic_1"	"saxony"	"EU_town_education_lvl2_religious"	"jesuit_college"	"EU_town_education_lvl2_religious"
"rel_catholic_1"	"spain"	"EU_town_education_lvl2_religious"	"jesuit_college"	"EU_town_education_lvl2_religious"
"rel_catholic_1"	"swiss_confederation"	"EU_town_education_lvl2_religious"	"jesuit_college"	"EU_town_education_lvl2_religious"
"rel_catholic_1"	"tuscany"	"EU_town_education_lvl2_religious"	"jesuit_college"	"EU_town_education_lvl2_religious"
"rel_catholic_1"	"venice"	"EU_town_education_lvl2_religious"	"jesuit_college"	"EU_town_education_lvl2_religious"
"rel_catholic_1"	"westphalia"	"EU_town_education_lvl2_religious"	"jesuit_college"	"EU_town_education_lvl2_religious"
"rel_catholic_1"	"wurttemberg"	"EU_town_education_lvl2_religious"	"jesuit_college"	"EU_town_education_lvl2_religious"
"rel_catholic_2"	"austria"	"EU_town_education_lvl3_religious"	"seminary_catholic"	"EU_town_education_lvl3_religious"
"rel_catholic_2"	"bavaria"	"EU_town_education_lvl3_religious"	"seminary_catholic"	"EU_town_education_lvl3_religious"
"rel_catholic_2"	"colombia"	"EU_town_education_lvl3_religious"	"seminary_catholic"	"EU_town_education_lvl3_religious"
"rel_protestant_2"	"courland"	"EU_town_education_lvl3_religious"	"college_of_divinity"	"EU_town_education_lvl3_religious"
"rel_catholic_2"	"france"	"EU_town_education_lvl3_religious"	"seminary_catholic"	"EU_town_education_lvl3_religious"
"rel_catholic_2"	"genoa"	"EU_town_education_lvl3_religious"	"seminary_catholic"	"EU_town_education_lvl3_religious"
"rel_catholic_2"	"hungary"	"EU_town_education_lvl3_religious"	"seminary_catholic"	"EU_town_education_lvl3_religious"
"rel_catholic_2"	"ireland"	"EU_town_education_lvl3_religious"	"seminary_catholic"	"EU_town_education_lvl3_religious"
"rel_catholic_2"	"italian_rebels"	"EU_town_education_lvl3_religious"	"seminary_catholic"	"EU_town_education_lvl3_religious"
"rel_catholic_2"	"knights_stjohn"	"EU_town_education_lvl3_religious"	"seminary_catholic"	"EU_town_education_lvl3_religious"
"rel_catholic_2"	"mexico"	"EU_town_education_lvl3_religious"	"seminary_catholic"	"EU_town_education_lvl3_religious"
"rel_catholic_2"	"louisiana"	"EU_town_education_lvl3_religious"	"seminary_catholic"	"EU_town_education_lvl3_religious"
"rel_catholic_2"	"naples_sicily"	"EU_town_education_lvl3_religious"	"seminary_catholic"	"EU_town_education_lvl3_religious"
"rel_catholic_2"	"new_spain"	"EU_town_education_lvl3_religious"	"seminary_catholic"	"EU_town_education_lvl3_religious"
"rel_catholic_2"	"papal_states"	"EU_town_education_lvl3_religious"	"seminary_catholic"	"EU_town_education_lvl3_religious"
"rel_catholic_2"	"piedmont_savoy"	"EU_town_education_lvl3_religious"	"seminary_catholic"	"EU_town_education_lvl3_religious"
"rel_catholic_2"	"poland_lithuania"	"EU_town_education_lvl3_religious"	"seminary_catholic"	"EU_town_education_lvl3_religious"
"rel_catholic_2"	"portugal"	"EU_town_education_lvl3_religious"	"seminary_catholic"	"EU_town_education_lvl3_religious"
"rel_catholic_2"	"portugese_rebels"	"EU_town_education_lvl3_religious"	"seminary_catholic"	"EU_town_education_lvl3_religious"
"rel_catholic_2"	"quebec"	"EU_town_education_lvl3_religious"	"seminary_catholic"	"EU_town_education_lvl3_religious"
"rel_catholic_2"	"saxony"	"EU_town_education_lvl3_religious"	"seminary_catholic"	"EU_town_education_lvl3_religious"
"rel_catholic_2"	"spain"	"EU_town_education_lvl3_religious"	"seminary_catholic"	"EU_town_education_lvl3_religious"
"rel_catholic_2"	"swiss_confederation"	"EU_town_education_lvl3_religious"	"seminary_catholic"	"EU_town_education_lvl3_religious"
"rel_catholic_2"	"tuscany"	"EU_town_education_lvl3_religious"	"seminary_catholic"	"EU_town_education_lvl3_religious"
"rel_catholic_2"	"venice"	"EU_town_education_lvl3_religious"	"seminary_catholic"	"EU_town_education_lvl3_religious"
"rel_catholic_2"	"westphalia"	"EU_town_education_lvl3_religious"	"seminary_catholic"	"EU_town_education_lvl3_religious"
"rel_catholic_2"	"wurttemberg"	"EU_town_education_lvl3_religious"	"seminary_catholic"	"EU_town_education_lvl3_religious"
"rel_hindu_0"	"maratha"	"IND_town_education_lvl1_religious"	"ashram"	"IND_town_education_lvl1_religious"
"rel_hindu_1"	"maratha"	"IND_town_education_lvl2_religious"	"ashram"	"IND_town_education_lvl2_religious"
"rel_hindu_2"	"maratha"	"IND_town_education_lvl3_religious"	"ashram"	"IND_town_education_lvl3_religious"
"rel_islam_0"	"afghanistan"	"OTT_town_education_lvl1_religious"	"madrassa"	"OTT_town_education_lvl1_religious"
"rel_islam_0"	"barbary_states"	"OTT_town_education_lvl1_religious"	"madrassa"	"OTT_town_education_lvl1_religious"
"rel_islam_0"	"chechenya_dagestan"	"OTT_town_education_lvl1_religious"	"madrassa"	"OTT_town_education_lvl1_religious"
"rel_islam_0"	"crimean_khanate"	"OTT_town_education_lvl1_religious"	"madrassa"	"OTT_town_education_lvl1_religious"
"rel_islam_0"	"khanate_khiva"	"OTT_town_education_lvl1_religious"	"madrassa"	"OTT_town_education_lvl1_religious"
"rel_islam_0"	"mamelukes"	"OTT_town_education_lvl1_religious"	"madrassa"	"OTT_town_education_lvl1_religious"
"rel_islam_0"	"morocco"	"OTT_town_education_lvl1_religious"	"madrassa"	"OTT_town_education_lvl1_religious"
"rel_islam_0"	"mughal"	"OTT_town_education_lvl1_religious"	"madrassa"	"OTT_town_education_lvl1_religious"
"rel_islam_0"	"mysore"	"OTT_town_education_lvl1_religious"	"madrassa"	"OTT_town_education_lvl1_religious"
"rel_islam_0"	"ottomans"	"OTT_town_education_lvl1_religious"	"madrassa"	"OTT_town_education_lvl1_religious"
"rel_islam_0"	"safavids"	"OTT_town_education_lvl1_religious"	"madrassa"	"OTT_town_education_lvl1_religious"
"rel_islam_1"	"afghanistan"	"OTT_town_education_lvl2_religious"	"madrassa"	"OTT_town_education_lvl2_religious"
"rel_islam_1"	"barbary_states"	"OTT_town_education_lvl2_religious"	"madrassa"	"OTT_town_education_lvl2_religious"
"rel_islam_1"	"chechenya_dagestan"	"OTT_town_education_lvl2_religious"	"madrassa"	"OTT_town_education_lvl2_religious"
"rel_islam_1"	"crimean_khanate"	"OTT_town_education_lvl2_religious"	"madrassa"	"OTT_town_education_lvl2_religious"
"rel_islam_1"	"khanate_khiva"	"OTT_town_education_lvl2_religious"	"madrassa"	"OTT_town_education_lvl2_religious"
"rel_islam_1"	"mamelukes"	"OTT_town_education_lvl2_religious"	"madrassa"	"OTT_town_education_lvl2_religious"
"rel_islam_1"	"morocco"	"OTT_town_education_lvl2_religious"	"madrassa"	"OTT_town_education_lvl2_religious"
"rel_islam_1"	"mughal"	"OTT_town_education_lvl2_religious"	"madrassa"	"OTT_town_education_lvl2_religious"
"rel_islam_1"	"mysore"	"OTT_town_education_lvl2_religious"	"madrassa"	"OTT_town_education_lvl2_religious"
"rel_islam_1"	"ottomans"	"OTT_town_education_lvl2_religious"	"madrassa"	"OTT_town_education_lvl2_religious"
"rel_islam_1"	"safavids"	"OTT_town_education_lvl2_religious"	"madrassa"	"OTT_town_education_lvl2_religious"
"rel_islam_2"	"afghanistan"	"OTT_town_education_lvl3_religious"	"madrassa"	"OTT_town_education_lvl3_religious"
"rel_islam_2"	"barbary_states"	"OTT_town_education_lvl3_religious"	"madrassa"	"OTT_town_education_lvl3_religious"
"rel_islam_2"	"chechenya_dagestan"	"OTT_town_education_lvl3_religious"	"madrassa"	"OTT_town_education_lvl3_religious"
"rel_islam_2"	"crimean_khanate"	"OTT_town_education_lvl3_religious"	"madrassa"	"OTT_town_education_lvl3_religious"
"rel_islam_2"	"khanate_khiva"	"OTT_town_education_lvl3_religious"	"madrassa"	"OTT_town_education_lvl3_religious"
"rel_islam_2"	"mamelukes"	"OTT_town_education_lvl3_religious"	"madrassa"	"OTT_town_education_lvl3_religious"
"rel_islam_2"	"morocco"	"OTT_town_education_lvl3_religious"	"madrassa"	"OTT_town_education_lvl3_religious"
"rel_islam_2"	"mughal"	"OTT_town_education_lvl3_religious"	"madrassa"	"OTT_town_education_lvl3_religious"
"rel_islam_2"	"mysore"	"OTT_town_education_lvl3_religious"	"madrassa"	"OTT_town_education_lvl3_religious"
"rel_islam_2"	"ottomans"	"OTT_town_education_lvl3_religious"	"yusekokul"	"OTT_town_education_lvl3_religious"
"rel_islam_2"	"safavids"	"OTT_town_education_lvl3_religious"	"madrassa"	"OTT_town_education_lvl3_religious"
"rel_orthodox_0"	"georgia"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_orthodox_0"	"greece"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_orthodox_0"	"russia"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_orthodox_1"	"georgia"	"EU_town_education_lvl2_religious"	"monastery_school"	"EU_town_education_lvl2_religious"
"rel_orthodox_1"	"greece"	"EU_town_education_lvl2_religious"	"monastery_school"	"EU_town_education_lvl2_religious"
"rel_orthodox_1"	"russia"	"EU_town_education_lvl2_religious"	"monastery_school"	"EU_town_education_lvl2_religious"
"rel_orthodox_2"	"georgia"	"EU_town_education_lvl3_religious"	"seminary_orthodox"	"EU_town_education_lvl3_religious"
"rel_orthodox_2"	"greece"	"EU_town_education_lvl3_religious"	"seminary_orthodox"	"EU_town_education_lvl3_religious"
"rel_orthodox_2"	"russia"	"EU_town_education_lvl3_religious"	"seminary_orthodox"	"EU_town_education_lvl3_religious"
"rel_protestant_0"	"britain"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_protestant_0"	"denmark"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_protestant_0"	"hannover"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_protestant_0"	"hessen"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_protestant_0"	"holstein_gottorp"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_protestant_0"	"mecklenburg"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_protestant_0"	"netherlands"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_protestant_0"	"norway"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_protestant_0"	"prussia"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_protestant_0"	"scotland"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_protestant_0"	"sweden"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_protestant_0"	"thirteen_colonies"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_protestant_0"	"united_states"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_protestant_0"	"virginia"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_protestant_0"	"virginia_colonists"	"EU_town_education_lvl1_religious"	"church_school"	"EU_town_education_lvl1_religious"
"rel_protestant_1"	"britain"	"EU_town_education_lvl2_religious"	"chapter_school"	"EU_town_education_lvl2_religious"
"rel_protestant_1"	"denmark"	"EU_town_education_lvl2_religious"	"chapter_school"	"EU_town_education_lvl2_religious"
"rel_protestant_1"	"hannover"	"EU_town_education_lvl2_religious"	"chapter_school"	"EU_town_education_lvl2_religious"
"rel_protestant_1"	"hessen"	"EU_town_education_lvl2_religious"	"chapter_school"	"EU_town_education_lvl2_religious"
"rel_protestant_1"	"holstein_gottorp"	"EU_town_education_lvl2_religious"	"chapter_school"	"EU_town_education_lvl2_religious"
"rel_protestant_1"	"mecklenburg"	"EU_town_education_lvl2_religious"	"chapter_school"	"EU_town_education_lvl2_religious"
"rel_protestant_1"	"netherlands"	"EU_town_education_lvl2_religious"	"chapter_school"	"EU_town_education_lvl2_religious"
"rel_protestant_1"	"norway"	"EU_town_education_lvl2_religious"	"chapter_school"	"EU_town_education_lvl2_religious"
"rel_protestant_1"	"pirates"	"EU_town_education_lvl2_religious"	"chapter_school"	"EU_town_education_lvl2_religious"
"rel_protestant_1"	"prussia"	"EU_town_education_lvl2_religious"	"chapter_school"	"EU_town_education_lvl2_religious"
"rel_protestant_1"	"scotland"	"EU_town_education_lvl2_religious"	"chapter_school"	"EU_town_education_lvl2_religious"
"rel_protestant_1"	"sweden"	"EU_town_education_lvl2_religious"	"chapter_school"	"EU_town_education_lvl2_religious"
"rel_protestant_1"	"thirteen_colonies"	"EU_town_education_lvl2_religious"	"chapter_school"	"EU_town_education_lvl2_religious"
"rel_protestant_1"	"united_states"	"EU_town_education_lvl2_religious"	"chapter_school"	"EU_town_education_lvl2_religious"
"rel_protestant_1"	"virginia"	"EU_town_education_lvl2_religious"	"chapter_school"	"EU_town_education_lvl2_religious"
"rel_protestant_1"	"virginia_colonists"	"EU_town_education_lvl2_religious"	"chapter_school"	"EU_town_education_lvl2_religious"
"rel_protestant_2"	"britain"	"EU_town_education_lvl3_religious"	"college_of_divinity"	"EU_town_education_lvl3_religious"
"rel_protestant_2"	"denmark"	"EU_town_education_lvl3_religious"	"college_of_divinity"	"EU_town_education_lvl3_religious"
"rel_protestant_2"	"hannover"	"EU_town_education_lvl3_religious"	"college_of_divinity"	"EU_town_education_lvl3_religious"
"rel_protestant_2"	"hessen"	"EU_town_education_lvl3_religious"	"college_of_divinity"	"EU_town_education_lvl3_religious"
"rel_protestant_2"	"holstein_gottorp"	"EU_town_education_lvl3_religious"	"college_of_divinity"	"EU_town_education_lvl3_religious"
"rel_protestant_2"	"mecklenburg"	"EU_town_education_lvl3_religious"	"college_of_divinity"	"EU_town_education_lvl3_religious"
"rel_protestant_2"	"netherlands"	"EU_town_education_lvl3_religious"	"college_of_divinity"	"EU_town_education_lvl3_religious"
"rel_protestant_2"	"norway"	"EU_town_education_lvl3_religious"	"college_of_divinity"	"EU_town_education_lvl3_religious"
"rel_protestant_2"	"pirates"	"EU_town_education_lvl3_religious"	"college_of_divinity"	"EU_town_education_lvl3_religious"
"rel_protestant_2"	"prussia"	"EU_town_education_lvl3_religious"	"college_of_divinity"	"EU_town_education_lvl3_religious"
"rel_protestant_2"	"scotland"	"EU_town_education_lvl3_religious"	"college_of_divinity"	"EU_town_education_lvl3_religious"
"rel_protestant_2"	"sweden"	"EU_town_education_lvl3_religious"	"college_of_divinity"	"EU_town_education_lvl3_religious"
"rel_protestant_2"	"thirteen_colonies"	"EU_town_education_lvl3_religious"	"college_of_divinity"	"EU_town_education_lvl3_religious"
"rel_protestant_2"	"united_states"	"EU_town_education_lvl3_religious"	"college_of_divinity"	"EU_town_education_lvl3_religious"
"rel_protestant_2"	"virginia"	"EU_town_education_lvl3_religious"	"college_of_divinity"	"EU_town_education_lvl3_religious"
"rel_protestant_2"	"virginia_colonists"	"EU_town_education_lvl3_religious"	"college_of_divinity"	"EU_town_education_lvl3_religious"
