version 2, schema cai_base_building_context_values_tables, guid 5e2fcc8e-6e48-48e6-8041-9072db2d85e1
unknown1(string)	unknown2(float)	unknown3(float)	unknown4(float)	unknown5(float)	unknown6(float)	unknown7(float)	unknown8(float)	unknown9(float)
"GEM_Region_Specialty_Holy_Site_3_Fortified_Monaste"	5	1	5	70	1	3	10	100
"GEM_Region_Specialty_Holy_Site_3_Great_Soja_Shrine"	5	1	5	70	1	3	10	100
"GEM_Region_Specialty_Intellectual_1_State_Academy"	100	1	100	100	1	3	10	100
"GEM_Region_Specialty_Iron_Mining_1_Iron_Sands"	100	1	100	100	1	3	10	100
"GEM_Region_Specialty_Iron_Mining_2_Small_Iron_Mine"	80	1	5	80	1	3	10	100
"GEM_Region_Specialty_Iron_Mining_3_Iron_Mine"	80	1	5	80	1	3	10	100
"GEM_Region_Specialty_Naval_1_Trade_Hamlet"	100	1	100	100	1	3	10	100
"GEM_Region_Specialty_Naval_2_Pirate_Cove"	60	1	5	60	1	3	10	100
"GEM_Region_Specialty_Naval_3_Pirate_Den"	60	1	5	60	1	3	10	100
"GEM_Region_Specialty_Ninja_1_Isolated_Hamlet"	100	1	100	100	1	3	10	100
"GEM_Region_Specialty_Ninja_2_Senmin_Village"	20	1	5	70	1	3	10	100
"GEM_Region_Specialty_Ninja_3_Smuggling_Network"	20	1	5	70	1	3	10	100
"GEM_Region_Specialty_Silk_1_Silk_Workshop"	100	1	100	100	1	3	10	100
"GEM_Region_Specialty_Silk_2_Silk_Spinner"	90	1	5	5	1	3	10	100
"GEM_Region_Specialty_Silk_3_Master_Silk_Spinner"	90	1	5	5	1	3	10	100
"GEM_Region_Specialty_Smithing_1_Blacksmith"	100	1	100	100	1	3	10	100
"GEM_Region_Specialty_Smithing_2_Armourer"	5	1	5	80	1	3	10	100
"GEM_Region_Specialty_Smithing_2_Weaponsmith"	5	1	5	80	1	3	10	100
"GEM_Region_Specialty_Smithing_3_Master_Armourer"	5	1	5	80	1	3	10	100
"GEM_Region_Specialty_Smithing_3_Master_Weaponsmith"	5	1	5	80	1	3	10	100
"GEM_Region_Specialty_Timber_1_Lumber_Camp"	100	1	100	100	1	3	10	100
"GEM_Region_Specialty_Timber_2_Lumberyard"	80	1	5	25	1	3	10	100
"GEM_Region_Specialty_Timber_3_Sawmills"	80	1	5	25	1	3	10	100
"SHO_Archery_1_Archery_Dojo"	5	5	5	120	5	3	10	100
"SHO_Archery_2_Foot_Archery"	5	5	5	95	5	3	10	100
"SHO_Archery_3_Bow_Master_Dojo"	5	5	5	90	5	3	10	100
"SHO_Archery_4_Legendary_Dojo"	5	5	5	95	5	3	10	100
"SHO_Buddhist_1_Temple"	25	5	110	30	5	3	10	100
"SHO_Buddhist_2_Monastery"	5	5	80	50	5	3	10	100
"SHO_Buddhist_3_Temple_Complex"	5	5	70	5	5	3	10	100
"SHO_Buddhist_4_Legendary_Temple"	75	5	80	5	5	3	10	100
"SHO_Buff_1_Encampment"	5	5	5	115	5	3	10	100
"SHO_Buff_2_Armoury"	5	5	5	85	5	3	10	100
"SHO_Buff_2_Barracks"	5	5	5	85	5	3	10	100
"SHO_Buff_2_Hunting_Lodge"	5	5	5	85	5	3	10	100
"SHO_Buff_2_Jiujutsu_Dojo"	5	5	5	85	5	3	10	100
"SHO_Buff_2_Proving_Grounds"	5	5	5	85	5	3	10	100
"SHO_Castle_1_Fort"	30	5	30	60	5	5	10	100
"SHO_Castle_2_Stronghold"	30	5	30	60	5	5	10	100
"SHO_Castle_3_Fortress"	30	5	30	60	5	5	10	100
"SHO_Castle_4_Castle"	30	5	30	60	5	5	10	100
"SHO_Castle_5_Citadel"	30	5	30	60	5	5	10	100
"SHO_Cavalry_1_Stables"	5	5	5	88	5	3	10	100
"SHO_Cavalry_2_Warhorse_Stables"	5	5	5	65	5	3	10	100
"SHO_Cavalry_3_Bajutsu_Master"	5	5	5	75	5	3	10	100
"SHO_Cavalry_4_Legendary_Bajutsu_Dojo"	5	5	5	80	5	3	10	100
"SHO_Christian_1_Chapel"	40	5	110	5	5	3	10	100
"SHO_Christian_2_Hospital"	40	5	40	60	5	3	10	100
"SHO_Christian_2_Mission"	40	5	80	5	5	3	10	100
"SHO_Christian_3_Church"	40	5	70	5	5	3	10	100
"SHO_Christian_3_Jesuit_Seminar"	40	5	40	60	5	3	10	100
"SHO_Christian_4_Cathedral"	75	5	80	5	5	3	10	100
"SHO_Christian_4_Jesuit_College"	40	5	40	60	5	3	10	100
"SHO_Crafts_1_Market"	123	5	66	56	5	5	10	100
"SHO_Crafts_2_Rice_Exchange"	100	5	50	45	5	5	10	100
"SHO_Crafts_3_Merchant_Guild"	100	5	50	45	5	5	10	100
"SHO_Crafts_4_Kanabukama"	100	5	60	45	5	5	10	100
"SHO_Farming_1_Rice_Paddies"	100	5	100	100	5	10	10	100
"SHO_Farming_2_Irrigation"	90	5	10	10	5	10	10	100
"SHO_Farming_3_Terraces"	90	5	10	10	5	10	10	100
"SHO_Farming_4_Consolidation"	90	5	10	10	5	10	10	100
"SHO_Ikko_Temple_1_Jodo_Shinshu_Temple"	15	5	110	50	5	3	10	100
"SHO_Ikko_Temple_2_Jodo_Shinshu_Monastery"	5	5	80	50	5	3	10	100
"SHO_Ikko_Temple_3_Jodo_Shinshu_Fortified_Monastery"	5	5	70	50	5	3	10	100
"SHO_Ikko_Temple_4_Jodo_Shinshu_Honganji"	5	5	80	50	5	3	10	100
"SHO_Infrastructure_0_Trails"	100	5	100	100	5	10	10	100
"SHO_Infrastructure_1_Roads"	60	5	5	75	5	10	10	100
"SHO_Infrastructure_2_Post_Stations"	60	5	5	75	5	10	10	100
"SHO_Infrastructure_3_Imperial_Roads"	60	5	5	75	5	10	10	100
"SHO_Port_0_Coastal_Village"	100	5	100	100	5	3	10	100
"SHO_Port_1_Harbour"	75	5	5	65	5	3	10	100
"SHO_Port_2_Trading_Port"	80	5	5	65	5	3	10	100
"SHO_Port_3_Military_Port"	60	5	5	75	5	3	10	100
"SHO_Port_3_Nanban_Trade_Port"	80	5	5	75	5	3	10	100
"SHO_Port_4_Drydock"	60	5	5	80	5	3	10	100
"SHO_Port_4_Nanban_Quarter"	90	5	5	70	5	3	10	100
"SHO_Portuguese_Land_Sold"	0	0	0	0	0	0	0	0
"SHO_Region_Specialty_Craftwork_1_Artisans"	100	5	100	100	5	5	10	100
"SHO_Region_Specialty_Craftwork_2_Fletchers"	5	5	5	80	5	5	10	100
"SHO_Region_Specialty_Craftwork_2_Paper_Mills"	90	5	5	5	5	5	10	100
"SHO_Region_Specialty_Craftwork_3_Laquerware"	90	5	5	5	5	5	10	100
"SHO_Region_Specialty_Craftwork_3_Master_Bowmaker"	5	5	5	80	5	5	10	100
"SHO_Region_Specialty_Gold_Mining_1_Surface_Mining"	100	5	100	100	5	5	10	100
"SHO_Region_Specialty_Gold_Mining_2_Open_Pit"	90	5	5	5	5	5	10	100
"SHO_Region_Specialty_Gold_Mining_3_Mining_Complex"	90	5	5	5	5	5	10	100
"SHO_Region_Specialty_Holy_Site_1_Holy_Site"	100	5	100	100	5	5	10	100
"SHO_Region_Specialty_Holy_Site_2_Mountain_Hermitag"	5	5	5	60	5	5	10	100
"SHO_Region_Specialty_Holy_Site_2_Pilgrim_Hostel"	5	5	5	5	5	5	10	100
"SHO_Region_Specialty_Holy_Site_3_Fortified_Monaste"	5	5	5	60	5	5	10	100
"SHO_Region_Specialty_Holy_Site_3_Great_Soja_Shrine"	5	5	5	5	5	5	10	100
"SHO_Region_Specialty_Horses_1_Pastures"	100	5	100	100	5	5	10	100
"SHO_Region_Specialty_Horses_2_Breeders"	80	5	5	80	5	5	10	100
"SHO_Region_Specialty_Horses_3_Warhorse_Breeders"	80	5	5	80	5	5	10	100
"SHO_Region_Specialty_Intellectual_Centre_1_School"	100	5	100	100	5	5	10	100
"SHO_Region_Specialty_Intellectual_Centre_2_Library"	60	5	50	50	5	5	10	100
"SHO_Region_Specialty_Intellectual_Centre_2_Magistr"	5	5	50	5	5	5	10	100
"SHO_Region_Specialty_Intellectual_Centre_3_Academy"	60	5	50	50	5	5	10	100
"SHO_Region_Specialty_Intellectual_Centre_3_Law_Cou"	60	5	50	5	5	5	10	100
"SHO_Region_Specialty_Iron_Mining_1_Iron_Mine"	100	5	100	100	5	5	10	100
"SHO_Region_Specialty_Iron_Mining_2_Deep_Mine"	80	5	5	80	5	5	10	100
"SHO_Region_Specialty_Iron_Mining_3_Mining_Complex"	80	5	5	80	5	5	10	100
"SHO_Region_Specialty_Naval_1_Merchant_Colony"	100	5	100	100	5	0	10	100
"SHO_Region_Specialty_Naval_2_Pirate_Lair"	5	5	5	80	5	5	10	100
"SHO_Region_Specialty_Naval_2_Warehouses"	80	5	5	5	5	5	10	100
"SHO_Region_Specialty_Naval_3_Pirate_Fortress"	5	5	5	80	5	5	10	100
"SHO_Region_Specialty_Naval_3_Red_Seal_Company"	80	5	5	15	5	5	10	100
"SHO_Region_Specialty_Ninja_1_Hideout"	100	5	100	100	5	5	10	100
"SHO_Region_Specialty_Ninja_2_Burakumin"	60	5	5	5	5	5	10	100
"SHO_Region_Specialty_Ninja_2_Ninjutsu_School"	5	5	5	70	5	5	10	100
"SHO_Region_Specialty_Ninja_3_Clan_Fortress"	5	5	5	70	5	5	10	100
"SHO_Region_Specialty_Ninja_3_Smuggling_Network"	60	5	5	5	5	5	10	100
"SHO_Region_Specialty_Smithing_1_Blacksmith"	100	5	100	100	5	5	10	100
"SHO_Region_Specialty_Smithing_2_Armourer"	5	5	5	80	5	5	10	100
"SHO_Region_Specialty_Smithing_2_Weaponsmith"	5	5	5	80	5	5	10	100
"SHO_Region_Specialty_Smithing_3_Master_Armourer"	5	5	5	80	5	5	10	100
"SHO_Region_Specialty_Smithing_3_Master_Weaponsmith"	5	5	5	80	5	5	10	100
"SHO_Region_Specialty_Stone_1_Stonemason"	100	5	100	100	5	5	10	100
"SHO_Region_Specialty_Stone_2_Quarry"	80	5	5	5	5	5	10	100
"SHO_Region_Specialty_Stone_3_Stoneworls"	80	5	5	5	5	5	10	100
"SHO_Region_Specialty_Timber_1_Lumbercamp"	100	5	100	100	5	5	10	100
"SHO_Region_Specialty_Timber_2_Lumberyards"	80	5	5	5	5	5	10	100
"SHO_Region_Specialty_Timber_3_Sawmills"	80	5	5	5	5	5	10	100
"SHO_Siege_1_Workshop"	5	5	5	110	5	1	10	100
"SHO_Siege_2_Powder_Maker"	5	5	5	100	5	1	10	100
"SHO_Siege_3_Gunsmith"	5	5	5	100	5	1	10	100
"SHO_Siege_4_Arsenal"	5	5	5	100	5	1	10	100
"SHO_Stealth_1_Sake_Den"	25	5	55	15	5	1	10	100
"SHO_Stealth_2_Gambling_Hall"	30	5	65	25	5	2	80	100
"SHO_Stealth_3_Criminal_Syndicate"	60	5	75	50	5	2	80	100
"SHO_Stealth_4_Mizu_Shobai"	100	5	100	100	5	2	80	100
"SHO_Sword_1_Sword_School"	5	5	5	121	5	3	10	100
"SHO_Sword_2_Nodachi"	5	5	5	85	5	3	10	100
"SHO_Sword_3_Master_Dojo"	5	5	5	60	5	3	10	100
"SHO_Sword_4_Legendary_Dojo"	5	5	5	80	5	3	10	100
"SHO_Yari_1_Drill_Yard"	5	5	5	112	5	3	10	100
"SHO_Yari_2_Naginata_Dojo"	5	5	5	70	5	3	10	100
"SHO_Yari_3_Master_Dojo"	5	5	5	60	5	3	10	100
"SHO_Yari_4_Legendary_School"	5	5	5	80	5	3	10	100
"bos_artillery_1_artillery_range"	5	1	5	113	1	2	10	80
"bos_artillery_2_artillery_school"	5	1	5	113	1	2	10	80
"bos_artillery_3_artillery_academy"	5	1	5	113	1	2	10	80
"bos_artillery_4_arsenal"	5	1	5	120	1	1	10	80
"bos_buff_1_training_camp"	5	1	5	120	1	1	20	80
"bos_buff_2_drill_school"	5	1	5	120	1	1	20	80
"bos_buff_2_firing_range"	5	1	5	120	1	1	20	80
"bos_buff_2_headquarters"	5	1	5	120	1	1	20	80
"bos_buff_2_jujutsu_hall"	5	1	5	120	1	1	20	80
"bos_buff_2_military_hospital"	5	1	5	120	1	1	20	80
"bos_castle_2_stronghold"	5	1	60	120	1	2	5	80
"bos_castle_3_fortress"	5	1	70	120	1	2	5	80
"bos_castle_4_castle"	5	1	75	120	1	2	5	80
"bos_castle_5_citadel"	5	1	80	120	1	2	5	80
"bos_castle_6_star_fort"	5	1	85	120	1	2	5	80
"bos_criminal_1_inn"	85	1	85	10	1	2	10	80
"bos_criminal_2_gambling_den"	20	1	80	10	1	2	10	80
"bos_criminal_2_market"	80	1	20	10	1	2	10	80
"bos_criminal_3_financial_district"	80	1	20	10	1	2	10	80
"bos_criminal_3_richi_mahjong_parlour"	20	1	80	10	1	2	10	80
"bos_criminal_4_junin_ryogae"	80	1	20	10	1	2	10	80
"bos_criminal_4_yakuza_hideout"	20	1	80	10	1	2	10	80
"bos_defenses_3_matchlock_towers"	5	1	5	100	1	2	20	80
"bos_defenses_4_gatling_gun_towers"	5	1	5	100	1	2	20	80
"bos_defenses_5_wall_guns_and_gatling_gun_towers"	5	1	5	100	1	2	20	80
"bos_farming_1_outfields"	100	1	100	100	1	10	0	80
"bos_farming_2_tenant_fields"	100	1	5	5	1	10	0	80
"bos_farming_3_private-held_fields"	100	1	5	5	1	10	0	80
"bos_farming_4_zaibatsu_fields"	100	1	5	5	1	10	0	80
"bos_foundation_1_town"	100	1	100	100	1	10	0	80
"bos_foundation_2_large_town"	80	1	50	80	1	10	0	80
"bos_foundation_3_city"	80	1	50	80	1	10	0	80
"bos_foundation_4_municipalty"	80	1	50	80	1	10	0	80
"bos_foundation_5_prefecture"	80	1	50	80	1	10	0	80
"bos_industry_1_cottage_industry"	125	1	5	5	1	2	20	80
"bos_industry_2_cotton_mill"	125	1	5	5	1	2	20	80
"bos_industry_2_craft_workshop"	125	1	5	5	1	2	20	80
"bos_industry_2_silk_weavers_shop"	125	1	5	5	1	2	20	80
"bos_industry_3_manufactory"	125	1	5	5	1	2	20	80
"bos_industry_4_cotton_processing_plant"	125	1	5	5	1	2	20	80
"bos_industry_4_silk_manufactory"	125	1	5	5	1	2	20	80
"bos_infrastucture_1_imperial_roads"	100	1	100	100	1	10	0	80
"bos_modern_1_muster_field"	5	1	5	132	1	1	5	80
"bos_modern_2_barracks"	5	1	5	132	1	1	5	80
"bos_modern_3_infantry_barracks"	5	1	5	132	1	1	5	80
"bos_modern_4_military_academy"	5	1	5	132	1	1	5	80
"bos_port_1_harbour"	100	1	100	120	1	10	0	80
"bos_port_2_port"	80	1	5	80	1	10	0	80
"bos_port_3_military_port"	50	1	5	105	1	2	10	80
"bos_port_3_trading_port"	80	1	5	30	1	2	10	80
"bos_port_4_american_trading_district"	70	1	5	50	1	2	10	80
"bos_port_4_british_trading_district"	70	1	5	50	1	2	10	80
"bos_port_4_drydock"	50	1	5	120	1	2	10	80
"bos_port_4_french_trading_district"	70	1	5	50	1	2	10	80
"bos_port_5_western_port"	100	1	100	100	1	10	0	80
"bos_propaganda_1_constabulary"	60	1	60	60	1	2	10	80
"bos_propaganda_2_police_office"	60	1	60	60	1	2	10	80
"bos_propaganda_3_secret_society"	60	1	60	60	1	2	10	80
"bos_propaganda_3_shikoyoku_office"	60	1	60	60	1	2	10	80
"bos_propaganda_3_special_police"	60	1	60	60	1	2	10	80
"bos_propaganda_4_mainichi_shimbun"	60	1	60	60	1	2	10	80
"bos_propaganda_4_military_society"	60	1	60	60	1	2	10	80
"bos_propaganda_4_shinsengumi_headquarters"	60	1	60	60	1	2	10	80
"bos_region_spec_clay_1_claypits"	100	1	100	100	1	2	5	80
"bos_region_spec_clay_2_clay_kiln"	100	1	5	20	1	2	5	80
"bos_region_spec_clay_3_brickworks"	100	1	5	20	1	2	5	80
"bos_region_spec_clay_3_pottery_kiln"	100	1	5	20	1	2	5	80
"bos_region_spec_coal_mining_1_open-pit_coal_face"	100	1	100	100	1	2	5	80
"bos_region_spec_coal_mining_2_coal_preparation_pla"	70	1	5	70	1	2	5	80
"bos_region_spec_coal_mining_3_deep-seam_coal_mine"	70	1	5	70	1	2	5	80
"bos_region_spec_copper_mining_1_open-pit_copper_mi"	100	1	100	100	1	2	5	80
"bos_region_spec_copper_mining_2_smelting_mill"	70	1	5	70	1	2	5	80
"bos_region_spec_copper_mining_3_anode_furnace"	70	1	5	70	1	2	5	80
"bos_region_spec_copper_mining_3_copper_refinery"	70	1	5	70	1	2	5	80
"bos_region_spec_gold_mining_1_placer_deposits"	100	1	100	100	1	2	5	80
"bos_region_spec_gold_mining_2_goldfields"	120	1	5	20	1	2	5	80
"bos_region_spec_gold_mining_3_coin_mint"	120	1	5	20	1	2	5	80
"bos_region_spec_gold_mining_3_ore_processing_plant"	120	1	5	20	1	2	5	80
"bos_region_spec_holy_site_1_buddhist_shrine"	100	1	100	100	1	2	5	80
"bos_region_spec_holy_site_2_buddhist_temple"	60	1	5	80	1	2	5	80
"bos_region_spec_holy_site_3_buddhist_temple_comple"	60	1	5	80	1	2	5	80
"bos_region_spec_iron_mining_1_iron_mine"	100	1	100	100	1	2	5	80
"bos_region_spec_iron_mining_2_deep_iron_mine"	70	1	5	70	1	2	5	80
"bos_region_spec_iron_mining_3_iron_smelter"	70	1	5	70	1	2	5	80
"bos_region_spec_iron_mining_3_steel_mill"	70	1	5	70	1	2	5	80
"bos_region_spec_railroad_1_telegraph_office"	150	1	150	150	1	40	0	80
"bos_region_spec_railroad_2_train_station"	150	1	150	150	1	40	0	80
"bos_region_spec_railroad_3_nippon_railway_company"	150	1	150	150	1	40	0	80
"bos_region_spec_silk_1_silk_farm"	100	1	100	100	1	2	5	80
"bos_region_spec_silk_2_raw_silk_threadmaker"	100	1	5	20	1	2	5	80
"bos_region_spec_silk_3_sericultist"	100	1	5	20	1	2	5	80
"bos_region_spec_silver_mining_1_lead_ore_mine"	100	1	100	100	1	2	5	80
"bos_region_spec_silver_mining_2_silver_smelters"	100	1	5	20	1	2	5	80
"bos_region_spec_silver_mining_3_silver_smelting_pl"	100	1	5	20	1	2	5	80
"bos_region_spec_silver_mining_3_silver_vault"	100	1	5	20	1	2	5	80
"bos_region_spec_smithing_1_blacksmith"	100	1	100	100	1	2	5	80
"bos_region_spec_smithing_2_ironsmith"	70	1	5	90	1	2	5	80
"bos_region_spec_smithing_3_armour_makers"	70	1	5	90	1	2	5	80
"bos_region_spec_smithing_3_riflemakers"	70	1	5	90	1	2	5	80
"bos_region_spec_smugglers_1_smugglers_cove"	100	1	100	100	1	2	5	80
"bos_region_spec_smugglers_2_criminal_den"	80	1	5	60	1	2	5	80
"bos_region_spec_smugglers_3_yakuza_headquarters"	80	1	5	60	1	2	5	80
"bos_region_specialtea_1_tea_plantation"	100	1	100	100	1	2	5	80
"bos_region_specialtea_2_tea_baler_facility"	100	1	5	20	1	2	5	80
"bos_region_specialtea_3_sayama_corporation_depot"	100	1	5	20	1	2	5	80
"bos_traditional_1_traditional_dojo"	5	1	5	106	1	1	5	80
"bos_traditional_2_samurai_dojo"	5	1	5	106	1	1	5	80
"bos_traditional_3_samurai_master_dojo"	5	1	5	106	1	1	5	80
"bos_traditional_4_legendary_samurai_master_dojo"	5	1	5	106	1	1	5	80
