version 4, schema agent_culture_details_tables, guid 969819cf-4946-443d-9f2a-c735933a72c4
Agent_IDRef(string)	Culture(string)	Model_x0020_Path(string)	Bodyguard_Unit(optstring)	unknown5(int)	unknown6(optstring)	unknown7(int)	unknown8(optstring)	unknown9(optstring)
"captain"	"tribal"	"default_captain"	nil	26	nil	0	nil	nil
"catholic_missionary"	"european"	"default_captain"	nil	27	nil	0	nil	nil
"colonel"	"egy_european"	"default_captain"	nil	28	nil	0	nil	nil
"colonel"	"egy_middle_east"	"default_captain"	nil	29	nil	0	nil	nil
"General"	"egy_european"	"default_general"	"Gen_Taisho"	3	nil	0	nil	nil
"colonel"	"european"	"default_captain"	nil	30	nil	0	nil	nil
"colonel"	"indian"	"default_captain"	nil	31	nil	0	nil	nil
"colonel"	"japanese"	"default_captain"	nil	32	nil	0	"shogun_taisho"	nil
"colonel"	"middle_east"	"default_captain"	nil	33	nil	0	nil	nil
"colonel"	"tribal"	"default_captain"	nil	34	nil	0	nil	nil
"geisha"	"japanese"	"geisha"	nil	35	"Summer"	0	"shogun_geisha"	"agent_geisha"
"gentleman"	"egy_european"	"default_captain"	nil	36	nil	0	nil	nil
"gentleman"	"european"	"default_captain"	nil	37	nil	0	nil	nil
"indian_missionary"	"indian"	"default_captain"	nil	38	nil	0	nil	nil
"metsuke"	"japanese"	"metsuke"	nil	39	nil	0	"shogun_katana"	"agent_metsuke"
"General"	"egy_middle_east"	"default_general"	"Gen_Taisho"	4	nil	0	nil	nil
"middle_east_missionary"	"indian"	"default_captain"	nil	40	nil	0	nil	nil
"middle_east_missionary"	"middle_east"	"default_captain"	nil	41	nil	0	nil	nil
"minister"	"egy_european"	"default_captain"	nil	42	nil	0	nil	nil
"minister"	"egy_middle_east"	"default_captain"	nil	43	nil	0	nil	nil
"minister"	"european"	"default_captain"	nil	44	nil	0	nil	nil
"minister"	"indian"	"default_captain"	nil	45	nil	0	nil	nil
"minister"	"middle_east"	"default_captain"	nil	46	nil	0	nil	nil
"minister"	"tribal"	"default_captain"	nil	47	nil	0	nil	nil
"missionary"	"japanese"	"missionary"	nil	48	nil	0	"shogun_priest"	"agent_missionary"
"monk"	"japanese"	"monk"	nil	49	nil	0	"shogun_monk"	"agent_monk"
"General"	"european"	"default_general"	"Gen_Taisho"	5	"0.55"	0	nil	nil
"ninja"	"japanese"	"ninja"	nil	50	nil	0	"shogun_ninja"	"agent_ninja"
"orthodox_missionary"	"european"	"default_captain"	nil	51	nil	0	nil	nil
"pirate"	"european"	"default_captain"	nil	52	nil	0	nil	nil
"pirate"	"indian"	"default_captain"	nil	53	nil	0	nil	nil
"pirate"	"middle_east"	"default_captain"	nil	54	nil	0	nil	nil
"pirate"	"tribal"	"default_captain"	nil	55	nil	0	nil	nil
"rake"	"egy_european"	"default_captain"	nil	56	nil	0	nil	nil
"rake"	"european"	"default_captain"	nil	57	nil	0	nil	nil
"rake"	"tribal"	"default_captain"	nil	58	nil	0	nil	nil
"captain"	"japanese"	"default_ship"	nil	59	nil	0	nil	nil
"General"	"japanese"	"default_general"	"Gen_Taisho"	6	nil	4	"shogun_taisho"	nil
"General"	"middle_east"	"default_general"	"Gen_Taisho"	7	nil	0	nil	nil
"Protestant_Missionary"	"european"	"default_general"	nil	8	nil	0	nil	nil
"admiral"	"egy_european"	"default_ship"	nil	9	nil	0	nil	nil
