version 1, schema warscape_equipment_themes_tables
Warscape_Equipment_Theme_ID(string)	Primary_Weapon(optstring)	Secondary_Weapon(optstring)	Shield(optstring)	Equipment(optstring)	Instrument(optstring)
"x_east_pitchfork"	"pitchfork"	nil	nil	"east_infantry_equipment"	nil
"x_east_rifle_sword"	"east_rifle"	"east_sword"	nil	"east_infantry_equipment"	nil
"x_east_sword"	"east_sword"	nil	nil	"east_infantry_equipment"	nil
"x_east_sword_pistol"	"east_cavalry_sabre"	"pistol"	nil	"east_infantry_equipment"	nil
"x_east_sword_shield"	"east_sword2"	nil	"east_shield"	"east_infantry_equipment"	nil
"x_euro_cavalry_bow_sabre"	"bow_horse"	"euro_cavalry_sabre"	nil	"archer_equipment"	nil
"x_euro_cavalry_lance"	"lance"	nil	nil	"euro_cavalry_equipment"	nil
"x_euro_cavalry_musket_sabre"	"euro_carbine"	"euro_cavalry_sabre"	nil	"euro_cavalry_equipment"	nil
"x_euro_cavalry_sabre"	"euro_cavalry_sabre"	nil	nil	"euro_cavalry_equipment"	nil
"x_euro_cavalry_sword"	"euro_straightsabre"	nil	nil	"euro_cavalry_equipment"	nil
"x_euro_claymore_shield"	"euro_claymore"	nil	"euro_shield"	nil	nil
"x_euro_grenadelauncher"	"euro_grenadelauncher"	nil	nil	"euro_infantry_equipment"	nil
"x_euro_musket"	"euro_musket"	nil	nil	"euro_infantry_equipment"	nil
"x_euro_musket_axe"	"euro_musket"	"euro_hand_axe"	nil	"euro_infantry_equipment"	nil
"x_euro_musket_double_sword"	"musket_double"	"euro_hanger"	nil	"euro_infantry_equipment"	nil
"x_euro_musket_knife"	"euro_musket"	"euro_knife"	nil	"euro_infantry_equipment"	nil
"x_euro_musket_sword"	"euro_musket"	"euro_hanger"	nil	"euro_infantry_equipment"	nil
"x_euro_naval_gunner"	"club"	nil	nil	nil	nil
"x_euro_pike"	"pike"	"euro_hanger"	nil	"euro_infantry_equipment"	nil
"x_euro_pitchfork"	"pitchfork"	nil	nil	nil	nil
"x_euro_rifle_air"	"rifle_air"	nil	nil	"euro_infantry_equipment"	nil
"x_euro_rifle_knife"	"euro_rifle"	"euro_knife"	nil	"euro_infantry_equipment"	nil
"x_euro_rifle_screw"	"euro_rifle"	nil	nil	"euro_infantry_equipment"	nil
"x_euro_rifle_sword"	"euro_rifle"	"euro_hanger"	nil	"euro_infantry_equipment"	nil
"x_euro_streltsy"	"bardiche"	nil	nil	"euro_infantry_equipment"	nil
"x_euro_sword"	"euro_hanger"	nil	nil	"euro_infantry_equipment"	nil
"x_euro_sword_pistol"	"euro_hanger"	"pistol"	nil	"euro_infantry_equipment"	nil
"x_india_cavalry_bow_sabre"	"bow_horse"	"east_cavalry_sabre"	nil	"archer_equipment"	nil
"x_india_cavalry_lance"	"lance"	nil	nil	"east_infantry_equipment"	nil
"x_india_cavalry_musket_lance"	"east_musket"	"lance"	nil	nil	nil
"x_india_cavalry_musket_sabre"	"east_musket"	"east_cavalry_sabre"	nil	"east_infantry_equipment"	nil
"x_india_cavalry_pistol_lance"	"pistol"	"lance"	nil	nil	nil
"x_india_cavalry_pistol_sabre"	"pistol"	"east_cavalry_sabre"	nil	nil	nil
"x_india_cavalry_sabre"	nil	"east_cavalry_sabre"	nil	"east_infantry_equipment"	nil
"x_india_elephant_lance"	nil	"lance"	nil	nil	nil
"x_india_musket"	"east_musket"	nil	nil	"east_infantry_equipment"	nil
"x_india_musket_sword"	"east_musket"	"east_sword"	nil	"east_infantry_equipment"	nil
"x_india_pitchfork"	"pitchfork"	nil	nil	nil	nil
"x_india_sword"	"east_sword"	nil	nil	"east_infantry_equipment"	nil
"x_india_sword_pistol"	"east_sword"	"pistol"	nil	"east_infantry_equipment"	nil
"x_natam_axe"	"euro_tomahawk"	nil	nil	nil	nil
"x_natam_bow_axe"	"bow_default"	"euro_tomahawk"	nil	"archer_equipment"	nil
"x_natam_cavalry_axe"	"euro_tomahawk"	nil	nil	nil	nil
"x_natam_cavalry_bow_axe"	"bow_horse"	"euro_tomahawk"	nil	nil	nil
"x_natam_cavalry_lance"	"lance"	nil	nil	nil	nil
"x_natam_cavalry_musket_axe"	"euro_carbine"	"euro_tomahawk"	nil	nil	nil
"x_natam_musket"	"euro_musket"	nil	nil	nil	nil
"x_natam_musket_axe"	"euro_musket"	"euro_tomahawk"	nil	nil	nil
"x_natam_pitchfork"	"pitchfork"	nil	nil	nil	nil
"x_natam_standard_bearer"	"euro_tomahawk"	nil	nil	nil	"euro_flagpole"
"x_natam_throwingaxe_axe"	"euro_tomahawk"	nil	nil	nil	nil
"x_pr_custom_pistol_only"	"pistol"	nil	nil	nil	nil
"x_pr_custom_spear_only"	"euro_spear"	nil	nil	nil	nil
"x_sword_pistol_only"	"east_sword"	"pistol"	nil	nil	nil
"x_east_cavalry_axe"	"east_handaxe"	nil	nil	"east_infantry_equipment"	nil
"x_east_cavalry_sabre_shield"	"east_cavalry_sabre"	nil	"east_shield"	"east_infantry_equipment"	nil
"x_east_blunderbuss"	"east_grenadelauncher"	"east_cavalry_sabre"	nil	nil	nil
