version 1, schema diplomacy_negotiation_faction_override_strings_tables
Diplomatic_string_ID(string)	culture(string)	Government_system(string)	faction(string)	government_system_of_faction(string)
"acknowledge_accept"	"indian"	"gov_absolute_monarchy"	"mughal"	"mughal_monarchy_acknowledge_accept"
"acknowledge_accept"	"indian"	"gov_constitutional_monarchy"	"mughal"	"mughal_monarchy_acknowledge_accept"
"acknowledge_accept"	"indian"	"gov_republic"	"mughal"	"mughal_republic_acknowledge_accept"
"acknowledge_cancel_alliance"	"european"	"gov_absolute_monarchy"	"austria"	"austria_monarchy_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"european"	"gov_absolute_monarchy"	"sweden"	"sweden_monarchy_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"european"	"gov_constitutional_monarchy"	"austria"	"austria_monarchy_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"european"	"gov_constitutional_monarchy"	"sweden"	"sweden_monarchy_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"european"	"gov_republic"	"austria"	"austria_republic_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"european"	"gov_republic"	"spain"	"spain_republic_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"european"	"gov_republic"	"sweden"	"sweden_republic_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"indian"	"gov_absolute_monarchy"	"mughal"	"mughal_monarchy_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"indian"	"gov_constitutional_monarchy"	"mughal"	"mughal_monarchy_acknowledge_cancel_alliance"
"acknowledge_cancel_alliance"	"indian"	"gov_republic"	"mughal"	"mughal_republic_acknowledge_cancel_alliance"
"acknowledge_cancel_military_access"	"european"	"gov_absolute_monarchy"	"russia"	"russia_monarchy_acknowledge_cancel_military_access"
"acknowledge_cancel_military_access"	"european"	"gov_constitutional_monarchy"	"russia"	"russia_monarchy_acknowledge_cancel_military_access"
"acknowledge_cancel_military_access"	"european"	"gov_republic"	"prussia"	"prussia_republic_acknowledge_cancel_military_access"
"acknowledge_counter_accept"	"european"	"gov_absolute_monarchy"	"france"	"france_monarchy_acknowledge_counter_accept"
"acknowledge_counter_accept"	"european"	"gov_absolute_monarchy"	"sweden"	"sweden_monarchy_acknowledge_counter_accept"
"acknowledge_counter_accept"	"european"	"gov_constitutional_monarchy"	"france"	"france_monarchy_acknowledge_counter_accept"
"acknowledge_counter_accept"	"european"	"gov_constitutional_monarchy"	"sweden"	"sweden_monarchy_acknowledge_counter_accept"
"acknowledge_counter_accept"	"european"	"gov_republic"	"france"	"france_republic_acknowledge_counter_accept"
"acknowledge_counter_accept"	"european"	"gov_republic"	"sweden"	"sweden_republic_acknowledge_counter_accept"
"acknowledge_counter_reject"	"european"	"gov_absolute_monarchy"	"sweden"	"sweden_monarchy_acknowledge_counter_reject"
"acknowledge_counter_reject"	"european"	"gov_constitutional_monarchy"	"sweden"	"sweden_monarchy_acknowledge_counter_reject"
"acknowledge_counter_reject"	"european"	"gov_republic"	"sweden"	"sweden_republic_acknowledge_counter_reject"
"acknowledge_war"	"european"	"gov_absolute_monarchy"	"austria"	"austria_monarchy_acknowledge_war"
"acknowledge_war"	"european"	"gov_absolute_monarchy"	"britain"	"britain_monarchy_acknowledge_war"
"acknowledge_war"	"european"	"gov_absolute_monarchy"	"france"	"france_monarchy_acknowledge_war"
"acknowledge_war"	"european"	"gov_absolute_monarchy"	"spain"	"spain_monarchy_acknowledge_war"
"acknowledge_war"	"european"	"gov_absolute_monarchy"	"sweden"	"sweden_monarchy_acknowledge_war"
"acknowledge_war"	"european"	"gov_absolute_monarchy"	"united_states"	"united_states_monarchy_acknowledge_war"
"acknowledge_war"	"european"	"gov_constitutional_monarchy"	"austria"	"austria_monarchy_acknowledge_war"
"acknowledge_war"	"european"	"gov_constitutional_monarchy"	"britain"	"britain_monarchy_acknowledge_war"
"acknowledge_war"	"european"	"gov_constitutional_monarchy"	"france"	"france_monarchy_acknowledge_war"
"acknowledge_war"	"european"	"gov_constitutional_monarchy"	"spain"	"spain_monarchy_acknowledge_war"
"acknowledge_war"	"european"	"gov_constitutional_monarchy"	"sweden"	"sweden_monarchy_acknowledge_war"
"acknowledge_war"	"european"	"gov_constitutional_monarchy"	"united_states"	"united_states_monarchy_acknowledge_war"
"acknowledge_war"	"european"	"gov_republic"	"austria"	"austria_republic_acknowledge_war"
"acknowledge_war"	"european"	"gov_republic"	"britain"	"britain_republic_acknowledge_war"
"acknowledge_war"	"european"	"gov_republic"	"france"	"france_republic_acknowledge_war"
"acknowledge_war"	"european"	"gov_republic"	"prussia"	"prussia_republic_acknowledge_war"
"acknowledge_war"	"european"	"gov_republic"	"spain"	"spain_republic_acknowledge_war"
"acknowledge_war"	"european"	"gov_republic"	"sweden"	"sweden_republic_acknowledge_war"
"acknowledge_war"	"european"	"gov_republic"	"united_states"	"united_states_republic_acknowledge_war"
"acknowledge_war"	"indian"	"gov_absolute_monarchy"	"mughal"	"mughal_monarchy_acknowledge_war"
"acknowledge_war"	"indian"	"gov_constitutional_monarchy"	"mughal"	"mughal_monarchy_acknowledge_war"
"acknowledge_war"	"indian"	"gov_republic"	"mughal"	"mughal_republic_acknowledge_war"
"approach_friendly"	"european"	"gov_absolute_monarchy"	"united_states"	"united_states_monarchy_approach_friendly"
"approach_friendly"	"european"	"gov_constitutional_monarchy"	"united_states"	"united_states_monarchy_approach_friendly"
"approach_hostile"	"european"	"gov_absolute_monarchy"	"austria"	"austria_monarchy_approach_hostile"
"approach_hostile"	"european"	"gov_absolute_monarchy"	"britain"	"britain_monarchy_approach_hostile"
"approach_hostile"	"european"	"gov_absolute_monarchy"	"united_states"	"united_states_monarchy_approach_hostile"
"approach_hostile"	"european"	"gov_constitutional_monarchy"	"austria"	"austria_monarchy_approach_hostile"
"approach_hostile"	"european"	"gov_constitutional_monarchy"	"britain"	"britain_monarchy_approach_hostile"
"approach_hostile"	"european"	"gov_constitutional_monarchy"	"united_states"	"united_states_monarchy_approach_hostile"
"approach_hostile"	"european"	"gov_republic"	"united_states"	"united_states_republic_approach_hostile"
"approach_hostile"	"middle_east"	"gov_absolute_monarchy"	"ottomans"	"ottomans_monarchy_approach_hostile"
"approach_hostile"	"middle_east"	"gov_constitutional_monarchy"	"ottomans"	"ottomans_monarchy_approach_hostile"
"approach_hostile"	"middle_east"	"gov_republic"	"ottomans"	"ottomans_republic_approach_hostile"
"approach_unfriendly"	"european"	"gov_republic"	"britain"	"britain_republic_approach_unfriendly"
"approach_very_friendly"	"european"	"gov_absolute_monarchy"	"spain"	"spain_monarchy_approach_very_friendly"
"approach_very_friendly"	"european"	"gov_constitutional_monarchy"	"spain"	"spain_monarchy_approach_very_friendly"
"approach_very_friendly"	"european"	"gov_republic"	"spain"	"spain_republic_approach_very_friendly"
"cancel_alliance"	"european"	"gov_absolute_monarchy"	"spain"	"spain_monarchy_cancel_alliance"
"cancel_alliance"	"european"	"gov_absolute_monarchy"	"sweden"	"sweden_monarchy_cancel_alliance"
"cancel_alliance"	"european"	"gov_constitutional_monarchy"	"spain"	"spain_monarchy_cancel_alliance"
"cancel_alliance"	"european"	"gov_constitutional_monarchy"	"sweden"	"sweden_monarchy_cancel_alliance"
"cancel_alliance"	"european"	"gov_republic"	"sweden"	"sweden_republic_cancel_alliance"
"cancel_military_access"	"european"	"gov_absolute_monarchy"	"britain"	"britain_monarchy_cancel_military_access"
"cancel_military_access"	"european"	"gov_constitutional_monarchy"	"britain"	"britain_monarchy_cancel_military_access"
"cancel_military_access"	"european"	"gov_republic"	"britain"	"britain_republic_cancel_military_access"
"cancel_military_access"	"european"	"gov_republic"	"russia"	"russia_republic_cancel_military_access"
"demand_military_access"	"european"	"gov_absolute_monarchy"	"prussia"	"prussia_monarchy_demand_military_access"
"demand_military_access"	"european"	"gov_absolute_monarchy"	"russia"	"russia_monarchy_demand_military_access"
"demand_military_access"	"european"	"gov_absolute_monarchy"	"united_states"	"united_states_monarchy_demand_military_access"
"demand_military_access"	"european"	"gov_constitutional_monarchy"	"prussia"	"prussia_monarchy_demand_military_access"
"demand_military_access"	"european"	"gov_constitutional_monarchy"	"russia"	"russia_monarchy_demand_military_access"
"demand_military_access"	"european"	"gov_constitutional_monarchy"	"united_states"	"united_states_monarchy_demand_military_access"
"demand_military_access"	"european"	"gov_republic"	"prussia"	"prussia_republic_demand_military_access"
"demand_military_access"	"european"	"gov_republic"	"russia"	"russia_republic_demand_military_access"
"demand_military_access"	"european"	"gov_republic"	"united_states"	"united_states_republic_demand_military_access"
"demand_regions"	"european"	"gov_absolute_monarchy"	"austria"	"austria_monarchy_demand_regions"
"demand_regions"	"european"	"gov_constitutional_monarchy"	"austria"	"austria_monarchy_demand_regions"
"demand_regions"	"european"	"gov_republic"	"austria"	"austria_republic_demand_regions"
"demand_regular_payment"	"european"	"gov_absolute_monarchy"	"france"	"france_monarchy_demand_regular_payment"
"demand_regular_payment"	"european"	"gov_constitutional_monarchy"	"france"	"france_monarchy_demand_regular_payment"
"demand_regular_payment"	"european"	"gov_republic"	"france"	"france_republic_demand_regular_payment"
"demand_regular_payment"	"middle_east"	"gov_republic"	"ottomans"	"ottomans_republic_demand_regular_payment"
"demand_single_payment"	"middle_east"	"gov_republic"	"ottomans"	"ottomans_republic_demand_single_payment"
"generic_offer_demand"	"middle_east"	"gov_republic"	"ottomans"	"ottomans_republic_generic_offer_demand"
"generic_reject_1"	"european"	"gov_absolute_monarchy"	"france"	"france_monarchy_generic_reject_1"
"generic_reject_1"	"european"	"gov_absolute_monarchy"	"prussia"	"prussia_monarchy_generic_reject_1"
"generic_reject_1"	"european"	"gov_absolute_monarchy"	"spain"	"spain_monarchy_generic_reject_1"
"generic_reject_1"	"european"	"gov_absolute_monarchy"	"sweden"	"sweden_monarchy_generic_reject_1"
"generic_reject_1"	"european"	"gov_constitutional_monarchy"	"france"	"france_monarchy_generic_reject_1"
"generic_reject_1"	"european"	"gov_constitutional_monarchy"	"prussia"	"prussia_monarchy_generic_reject_1"
"generic_reject_1"	"european"	"gov_constitutional_monarchy"	"spain"	"spain_monarchy_generic_reject_1"
"generic_reject_1"	"european"	"gov_constitutional_monarchy"	"sweden"	"sweden_monarchy_generic_reject_1"
"generic_reject_1"	"european"	"gov_republic"	"france"	"france_republic_generic_reject_1"
"generic_reject_1"	"european"	"gov_republic"	"spain"	"spain_republic_generic_reject_1"
"generic_reject_1"	"european"	"gov_republic"	"sweden"	"sweden_republic_generic_reject_1"
"generic_reject_1"	"european"	"gov_republic"	"united_states"	"united_states_republic_generic_reject_1"
"generic_reject_1"	"middle_east"	"gov_absolute_monarchy"	"ottomans"	"ottomans_monarchy_generic_reject_1"
"generic_reject_1"	"middle_east"	"gov_constitutional_monarchy"	"ottomans"	"ottomans_monarchy_generic_reject_1"
"generic_reject_2"	"european"	"gov_absolute_monarchy"	"prussia"	"prussia_monarchy_generic_reject_2"
"generic_reject_2"	"european"	"gov_constitutional_monarchy"	"prussia"	"prussia_monarchy_generic_reject_2"
"generic_reject_angry_1"	"european"	"gov_absolute_monarchy"	"austria"	"austria_monarchy_generic_reject_angry_1"
"generic_reject_angry_1"	"european"	"gov_absolute_monarchy"	"britain"	"britain_monarchy_generic_reject_angry_1"
"generic_reject_angry_1"	"european"	"gov_absolute_monarchy"	"russia"	"russia_monarchy_generic_reject_angry_1"
"generic_reject_angry_1"	"european"	"gov_constitutional_monarchy"	"austria"	"austria_monarchy_generic_reject_angry_1"
"generic_reject_angry_1"	"european"	"gov_constitutional_monarchy"	"britain"	"britain_monarchy_generic_reject_angry_1"
"generic_reject_angry_1"	"european"	"gov_constitutional_monarchy"	"russia"	"russia_monarchy_generic_reject_angry_1"
"generic_reject_angry_1"	"european"	"gov_republic"	"austria"	"austria_republic_generic_reject_angry_1"
"generic_reject_angry_1"	"european"	"gov_republic"	"britain"	"britain_republic_generic_reject_angry_1"
"generic_reject_angry_1"	"european"	"gov_republic"	"france"	"france_republic_generic_reject_angry_1"
"generic_reject_angry_1"	"european"	"gov_republic"	"prussia"	"prussia_republic_generic_reject_angry_1"
"generic_reject_angry_1"	"european"	"gov_republic"	"russia"	"russia_republic_generic_reject_angry_1"
"generic_reject_angry_1"	"indian"	"gov_absolute_monarchy"	"mughal"	"mughal_monarchy_generic_reject_angry_1"
"generic_reject_angry_1"	"indian"	"gov_constitutional_monarchy"	"mughal"	"mughal_monarchy_generic_reject_angry_1"
"generic_reject_angry_1"	"indian"	"gov_republic"	"mughal"	"mughal_republic_generic_reject_angry_1"
"generic_reject_angry_1"	"middle_east"	"gov_absolute_monarchy"	"ottomans"	"ottomans_monarchy_generic_reject_angry_1"
"generic_reject_angry_1"	"middle_east"	"gov_constitutional_monarchy"	"ottomans"	"ottomans_monarchy_generic_reject_angry_1"
"generic_reject_angry_2"	"european"	"gov_absolute_monarchy"	"france"	"france_monarchy_generic_reject_angry_2"
"generic_reject_angry_2"	"european"	"gov_constitutional_monarchy"	"france"	"france_monarchy_generic_reject_angry_2"
"generic_reject_angry_2"	"european"	"gov_republic"	"prussia"	"prussia_republic_generic_reject_angry_2"
"generic_reject_angry_2"	"middle_east"	"gov_absolute_monarchy"	"ottomans"	"ottomans_monarchy_generic_reject_angry_2"
"generic_reject_angry_2"	"middle_east"	"gov_constitutional_monarchy"	"ottomans"	"ottomans_monarchy_generic_reject_angry_2"
"offer_demand_alliance"	"european"	"gov_absolute_monarchy"	"prussia"	"prussia_monarchy_offer_demand_alliance"
"offer_demand_alliance"	"european"	"gov_absolute_monarchy"	"sweden"	"sweden_monarchy_offer_demand_alliance"
"offer_demand_alliance"	"european"	"gov_constitutional_monarchy"	"prussia"	"prussia_monarchy_offer_demand_alliance"
"offer_demand_alliance"	"european"	"gov_constitutional_monarchy"	"sweden"	"sweden_monarchy_offer_demand_alliance"
"offer_demand_alliance"	"european"	"gov_republic"	"prussia"	"prussia_republic_offer_demand_alliance"
"offer_demand_alliance"	"european"	"gov_republic"	"sweden"	"sweden_republic_offer_demand_alliance"
"offer_demand_peace"	"european"	"gov_absolute_monarchy"	"spain"	"spain_monarchy_offer_demand_peace"
"offer_demand_peace"	"european"	"gov_constitutional_monarchy"	"spain"	"spain_monarchy_offer_demand_peace"
"offer_demand_peace"	"european"	"gov_republic"	"spain"	"spain_republic_offer_demand_peace"
"offer_demand_peace"	"indian"	"gov_absolute_monarchy"	"mughal"	"mughal_monarchy_offer_demand_peace"
"offer_demand_peace"	"indian"	"gov_constitutional_monarchy"	"mughal"	"mughal_monarchy_offer_demand_peace"
"offer_demand_peace"	"indian"	"gov_republic"	"mughal"	"mughal_republic_offer_demand_peace"
"offer_demand_trade"	"middle_east"	"gov_republic"	"ottomans"	"ottomans_republic_offer_demand_trade"
"offer_regular_payment"	"middle_east"	"gov_republic"	"ottomans"	"ottomans_republic_offer_regular_payment"
"offer_single_payment"	"middle_east"	"gov_republic"	"ottomans"	"ottomans_republic_offer_single_payment"
"receive_friendly"	"middle_east"	"gov_republic"	"ottomans"	"ottomans_republic_receive_friendly"
"receive_hostile"	"european"	"gov_absolute_monarchy"	"britain"	"britain_monarchy_receive_hostile"
"receive_hostile"	"european"	"gov_absolute_monarchy"	"united_states"	"united_states_monarchy_receive_hostile"
"receive_hostile"	"european"	"gov_constitutional_monarchy"	"britain"	"britain_monarchy_receive_hostile"
"receive_hostile"	"european"	"gov_constitutional_monarchy"	"united_states"	"united_states_monarchy_receive_hostile"
"receive_hostile"	"european"	"gov_republic"	"austria"	"austria_republic_receive_hostile"
"receive_hostile"	"european"	"gov_republic"	"britain"	"britain_republic_receive_hostile"
"receive_hostile"	"european"	"gov_republic"	"prussia"	"prussia_republic_receive_hostile"
"receive_hostile"	"european"	"gov_republic"	"united_states"	"united_states_republic_receive_hostile"
"receive_hostile"	"indian"	"gov_absolute_monarchy"	"mughal"	"mughal_monarchy_receive_hostile"
"receive_hostile"	"indian"	"gov_constitutional_monarchy"	"mughal"	"mughal_monarchy_receive_hostile"
"receive_hostile"	"indian"	"gov_republic"	"mughal"	"mughal_republic_receive_hostile"
"receive_hostile"	"middle_east"	"gov_absolute_monarchy"	"ottomans"	"ottomans_monarchy_receive_hostile"
"receive_hostile"	"middle_east"	"gov_constitutional_monarchy"	"ottomans"	"ottomans_monarchy_receive_hostile"
"receive_hostile"	"middle_east"	"gov_republic"	"ottomans"	"ottomans_republic_receive_hostile"
"receive_neutral"	"middle_east"	"gov_republic"	"ottomans"	"ottomans_republic_receive_neutral"
"receive_unfriendly"	"european"	"gov_absolute_monarchy"	"prussia"	"prussia_monarchy_receive_unfriendly"
"receive_unfriendly"	"european"	"gov_absolute_monarchy"	"spain"	"spain_monarchy_receive_unfriendly"
"receive_unfriendly"	"european"	"gov_constitutional_monarchy"	"prussia"	"prussia_monarchy_receive_unfriendly"
"receive_unfriendly"	"european"	"gov_constitutional_monarchy"	"spain"	"spain_monarchy_receive_unfriendly"
"receive_unfriendly"	"european"	"gov_republic"	"spain"	"spain_republic_receive_unfriendly"
"receive_unfriendly"	"middle_east"	"gov_republic"	"ottomans"	"ottomans_republic_receive_unfriendly"
"receive_very_friendly"	"european"	"gov_absolute_monarchy"	"france"	"france_monarchy_receive_very_friendly"
"receive_very_friendly"	"european"	"gov_absolute_monarchy"	"russia"	"russia_monarchy_receive_very_friendly"
"receive_very_friendly"	"european"	"gov_constitutional_monarchy"	"france"	"france_monarchy_receive_very_friendly"
"receive_very_friendly"	"european"	"gov_constitutional_monarchy"	"russia"	"russia_monarchy_receive_very_friendly"
"receive_very_friendly"	"european"	"gov_republic"	"france"	"france_republic_receive_very_friendly"
"receive_very_friendly"	"european"	"gov_republic"	"russia"	"russia_republic_receive_very_friendly"
"receive_very_friendly"	"indian"	"gov_absolute_monarchy"	"mughal"	"mughal_monarchy_receive_very_friendly"
"receive_very_friendly"	"indian"	"gov_constitutional_monarchy"	"mughal"	"mughal_monarchy_receive_very_friendly"
"receive_very_friendly"	"indian"	"gov_republic"	"mughal"	"mughal_republic_receive_very_friendly"
"receive_very_friendly"	"middle_east"	"gov_republic"	"ottomans"	"ottomans_republic_receive_very_friendly"
"reject_angry_demand_military_access"	"european"	"gov_republic"	"prussia"	"prussia_republic_reject_angry_demand_military_access"
"reject_angry_demand_military_access"	"indian"	"gov_absolute_monarchy"	"mughal"	"mughal_monarchy_reject_angry_demand_military_access"
"reject_angry_demand_military_access"	"indian"	"gov_constitutional_monarchy"	"mughal"	"mughal_monarchy_reject_angry_demand_military_access"
"reject_angry_demand_military_access"	"indian"	"gov_republic"	"mughal"	"mughal_republic_reject_angry_demand_military_access"
"reject_angry_demand_protectorate"	"european"	"gov_absolute_monarchy"	"united_states"	"united_states_monarchy_reject_angry_demand_protectorate"
"reject_angry_demand_protectorate"	"european"	"gov_constitutional_monarchy"	"united_states"	"united_states_monarchy_reject_angry_demand_protectorate"
"reject_angry_demand_protectorate"	"european"	"gov_republic"	"united_states"	"united_states_republic_reject_angry_demand_protectorate"
"reject_angry_demand_regions"	"european"	"gov_absolute_monarchy"	"britain"	"britain_monarchy_reject_angry_demand_regions"
"reject_angry_demand_regions"	"european"	"gov_absolute_monarchy"	"russia"	"russia_monarchy_reject_angry_demand_regions"
"reject_angry_demand_regions"	"european"	"gov_absolute_monarchy"	"united_states"	"united_states_monarchy_reject_angry_demand_regions"
"reject_angry_demand_regions"	"european"	"gov_constitutional_monarchy"	"britain"	"britain_monarchy_reject_angry_demand_regions"
"reject_angry_demand_regions"	"european"	"gov_constitutional_monarchy"	"russia"	"russia_monarchy_reject_angry_demand_regions"
"reject_angry_demand_regions"	"european"	"gov_constitutional_monarchy"	"united_states"	"united_states_monarchy_reject_angry_demand_regions"
"reject_angry_demand_regions"	"european"	"gov_republic"	"britain"	"britain_republic_reject_angry_demand_regions"
"reject_angry_demand_regions"	"european"	"gov_republic"	"russia"	"russia_republic_reject_angry_demand_regions"
"reject_angry_demand_regions"	"european"	"gov_republic"	"united_states"	"united_states_republic_reject_angry_demand_regions"
"reject_angry_demand_regions"	"middle_east"	"gov_absolute_monarchy"	"ottomans"	"ottomans_monarchy_reject_angry_demand_regions"
"reject_angry_demand_regions"	"middle_east"	"gov_constitutional_monarchy"	"ottomans"	"ottomans_monarchy_reject_angry_demand_regions"
"reject_angry_demand_single_payment"	"european"	"gov_absolute_monarchy"	"russia"	"russia_monarchy_reject_angry_demand_single_payment"
"reject_angry_demand_single_payment"	"european"	"gov_constitutional_monarchy"	"russia"	"russia_monarchy_reject_angry_demand_single_payment"
"reject_angry_demand_single_payment"	"european"	"gov_republic"	"russia"	"russia_republic_reject_angry_demand_single_payment"
"reject_angry_demand_technology"	"european"	"gov_absolute_monarchy"	"france"	"france_monarchy_reject_angry_demand_technology"
"reject_angry_demand_technology"	"european"	"gov_constitutional_monarchy"	"france"	"france_monarchy_reject_angry_demand_technology"
"reject_angry_demand_technology"	"european"	"gov_republic"	"france"	"france_republic_reject_angry_demand_technology"
"reject_angry_offer_demand_peace"	"european"	"gov_republic"	"britain"	"britain_republic_reject_angry_offer_demand_peace"
"reject_angry_offer_demand_peace"	"european"	"gov_republic"	"prussia"	"prussia_republic_reject_angry_offer_demand_peace"
"reject_angry_offer_demand_peace"	"indian"	"gov_absolute_monarchy"	"mughal"	"mughal_monarchy_reject_angry_offer_demand_peace"
"reject_angry_offer_demand_peace"	"indian"	"gov_constitutional_monarchy"	"mughal"	"mughal_monarchy_reject_angry_offer_demand_peace"
"reject_angry_offer_demand_peace"	"indian"	"gov_republic"	"mughal"	"mughal_republic_reject_angry_offer_demand_peace"
"reject_angry_offer_demand_peace"	"middle_east"	"gov_absolute_monarchy"	"ottomans"	"ottomans_monarchy_reject_angry_offer_demand_peace"
"reject_angry_offer_demand_peace"	"middle_east"	"gov_constitutional_monarchy"	"ottomans"	"ottomans_monarchy_reject_angry_offer_demand_peace"
"reject_angry_offer_demand_trade"	"european"	"gov_absolute_monarchy"	"spain"	"spain_monarchy_reject_angry_offer_demand_trade"
"reject_angry_offer_demand_trade"	"european"	"gov_constitutional_monarchy"	"spain"	"spain_monarchy_reject_angry_offer_demand_trade"
"reject_angry_offer_demand_trade"	"european"	"gov_republic"	"spain"	"spain_republic_reject_angry_offer_demand_trade"
"reject_angry_offer_demand_trade"	"middle_east"	"gov_absolute_monarchy"	"ottomans"	"ottomans_monarchy_reject_angry_offer_demand_trade"
"reject_angry_offer_demand_trade"	"middle_east"	"gov_constitutional_monarchy"	"ottomans"	"ottomans_monarchy_reject_angry_offer_demand_trade"
"reject_angry_offer_regular_payment"	"european"	"gov_absolute_monarchy"	"france"	"france_monarchy_reject_angry_offer_regular_payment"
"reject_angry_offer_regular_payment"	"european"	"gov_constitutional_monarchy"	"france"	"france_monarchy_reject_angry_offer_regular_payment"
"reject_angry_offer_regular_payment"	"european"	"gov_republic"	"france"	"france_republic_reject_angry_offer_regular_payment"
"reject_angry_offer_single_payment"	"european"	"gov_absolute_monarchy"	"britain"	"britain_monarchy_reject_angry_offer_single_payment"
"reject_angry_offer_single_payment"	"european"	"gov_constitutional_monarchy"	"britain"	"britain_monarchy_reject_angry_offer_single_payment"
"reject_angry_offer_single_payment"	"european"	"gov_republic"	"britain"	"britain_republic_reject_angry_offer_single_payment"
"reject_demand_military_access"	"european"	"gov_absolute_monarchy"	"austria"	"austria_monarchy_reject_demand_military_access"
"reject_demand_military_access"	"european"	"gov_absolute_monarchy"	"france"	"france_monarchy_reject_demand_military_access"
"reject_demand_military_access"	"european"	"gov_absolute_monarchy"	"sweden"	"sweden_monarchy_reject_demand_military_access"
"reject_demand_military_access"	"european"	"gov_absolute_monarchy"	"united_states"	"united_states_monarchy_reject_demand_military_access"
"reject_demand_military_access"	"european"	"gov_constitutional_monarchy"	"austria"	"austria_monarchy_reject_demand_military_access"
"reject_demand_military_access"	"european"	"gov_constitutional_monarchy"	"france"	"france_monarchy_reject_demand_military_access"
"reject_demand_military_access"	"european"	"gov_constitutional_monarchy"	"sweden"	"sweden_monarchy_reject_demand_military_access"
"reject_demand_military_access"	"european"	"gov_constitutional_monarchy"	"united_states"	"united_states_monarchy_reject_demand_military_access"
"reject_demand_military_access"	"european"	"gov_republic"	"austria"	"austria_republic_reject_demand_military_access"
"reject_demand_military_access"	"european"	"gov_republic"	"france"	"france_republic_reject_demand_military_access"
"reject_demand_military_access"	"european"	"gov_republic"	"prussia"	"prussia_republic_reject_demand_military_access"
"reject_demand_military_access"	"european"	"gov_republic"	"sweden"	"sweden_republic_reject_demand_military_access"
"reject_demand_military_access"	"european"	"gov_republic"	"united_states"	"united_states_republic_reject_demand_military_access"
"reject_demand_military_access"	"middle_east"	"gov_absolute_monarchy"	"ottomans"	"ottomans_monarchy_reject_demand_military_access"
"reject_demand_military_access"	"middle_east"	"gov_constitutional_monarchy"	"ottomans"	"ottomans_monarchy_reject_demand_military_access"
"reject_demand_protectorate"	"european"	"gov_absolute_monarchy"	"sweden"	"sweden_monarchy_reject_demand_protectorate"
"reject_demand_protectorate"	"european"	"gov_constitutional_monarchy"	"sweden"	"sweden_monarchy_reject_demand_protectorate"
"reject_demand_protectorate"	"european"	"gov_republic"	"sweden"	"sweden_republic_reject_demand_protectorate"
"reject_demand_regions"	"european"	"gov_absolute_monarchy"	"russia"	"russia_monarchy_reject_demand_regions"
"reject_demand_regions"	"european"	"gov_constitutional_monarchy"	"russia"	"russia_monarchy_reject_demand_regions"
"reject_demand_regions"	"european"	"gov_republic"	"russia"	"russia_republic_reject_demand_regions"
"reject_demand_regular_payment"	"european"	"gov_absolute_monarchy"	"prussia"	"prussia_monarchy_reject_demand_regular_payment"
