version 1, schema trees_tables
Tree_ID(string)	unknown1(blob:7)
"lc_as_temp_s_arid-Bristle_Cone_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_as_temp_s_arid-Carolina_Buckthorn_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_as_temp_s_arid-Ghost_Gum_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_as_temp_s_arid-Gimlet_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_as_temp_s_arid-Low_Brush_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_as_temp_s_arid-Queens_Crepe_Myrtle_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_as_temp_s_arid-Thicket_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_as_temp_s_arid-Weeping_Fig_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_as_trop_humid-Agarwood_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_as_trop_humid-Agarwood2_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_as_trop_humid-Coconut_Palm_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_as_trop_humid-Curly_Palm_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_as_trop_humid-General_Fan_Palm_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_as_trop_humid-Jungle_Brush_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_as_trop_humid-Low_brush_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_as_trop_humid-Thicket_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_as_trop_s_arid-Agarwood_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_as_trop_s_arid-Agarwoord2_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_as_trop_s_arid-Carolina_Buckthorn_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_as_trop_s_arid-Large_Bush_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_as_trop_s_arid-Low_Brush_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_as_trop_s_arid-Portia_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_as_trop_s_arid-Thicket_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_as_trop_s_arid-Thingham_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_boreal-Austrian_Pine_tree"	"\x00\x01\x00\x00\x00\x00\x00"
"lc_boreal-Blue_Spruce_tree"	"\x00\x01\x00\x00\x00\x00\x00"
"lc_boreal-Chrsitmas_Scotch_Pine_tree"	"\x00\x01\x00\x00\x00\x00\x00"
"lc_boreal-Creeping_Juniper_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_boreal-Low_Brush_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_boreal-Norway_Spruce_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_boreal-Thicket_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_boreal-Western_Red_Cedar_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_desert-Coconut_Palm_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_desert-Curly_Palm_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_desert-Date_Palm_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_desert-Dead_tree_1_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_desert-Dead_tree_2_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_desert-General_Fan_Palm_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_desert-Low_Brush_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_desert-Restharrow_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_desert-Thicket_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_eu_central_humid-Common_Juniper_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_eu_central_humid-Creeping_Juniper_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_eu_central_humid-Elm_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_eu_central_humid-Fern_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_eu_central_humid-Horse_Chestnut_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_eu_central_humid-Low_brush_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_eu_central_humid-Narrow_Leaved_Ash_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_eu_central_humid-Western_Red_Cedar_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_eu_north_humid-American_Boxwood_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_eu_north_humid-Azalea_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_eu_north_humid-Blue_Spruce_tree"	"\x00\x01\x00\x00\x00\x00\x00"
"lc_eu_north_humid-Common_Alder_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_eu_north_humid-Common_Alder2_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_eu_north_humid-Elm_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_eu_north_humid-English_Oak_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_eu_north_humid-Fern_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_eu_north_humid-Horse_Chestnut_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_eu_north_s_arid-Blue_Spruce_tree"	"\x00\x01\x00\x00\x00\x00\x00"
"lc_eu_north_s_arid-Burford_Holly_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_eu_north_s_arid-English_Oak_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_eu_north_s_arid-Hazel_Humid_shrub"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_eu_north_s_arid-Lombardy_Poplar_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_eu_north_s_arid-Norway_Maple_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_eu_north_s_arid-Restharrow_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_eu_north_s_arid-Silver_Birch_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_eu_south_humid-American_Boxwood_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_eu_south_humid-Azalea_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_eu_south_humid-Blue_Spruce_tree"	"\x00\x01\x00\x00\x00\x00\x00"
"lc_eu_south_humid-Elm_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_eu_south_humid-European_Aspen_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_eu_south_humid-Horse_Chestnut_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_eu_south_humid-Lombardy_Poplar_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_eu_south_humid-Thicket_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_eu_south_s_arid-Burford_Holly_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_eu_south_s_arid-Common_Olive_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_eu_south_s_arid-Hazel_Humid_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_eu_south_s_arid-Horse_Chestnut_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_eu_south_s_arid-Lombardy_Poplar_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_eu_south_s_arid-Low_Brush_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_eu_south_s_arid-Narrow_Leaved_Ash_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_eu_south_s_arid-Stone_Pine_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_mediterranean-Common_Olive_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_mediterranean-Ficus_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_mediterranean-Italian_Cypress_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_mediterranean-Narrow_leaved_Ash_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_mediterranean-Restharrow_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_mediterranean-Thicket_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_sand_desert-Cocunut_Palm_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_sand_desert-Curly_Palm_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_sand_desert-Date_Palm_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_sand_desert-Dead_Tree_1_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_sand_desert-Dead_Tree_2_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_sand_desert-General_Fan_Palm_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_sand_desert-Low_Brush_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_sand_desert-Restharrow_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_sand_desert-Thicket_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_steppe-American_Boxwood_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_steppe-Common_Juniper_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_steppe-Creeping_Juniper_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_steppe-Low_Brush_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_steppe-Norway_Spruce_tree"	"\x00\x01\x00\x00\x00\x00\x00"
"lc_steppe-Thicket_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_tundra-Alaska_Cedar_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_tundra-Austrian_pine_tree"	"\x00\x01\x00\x00\x00\x00\x00"
"lc_tundra-Blue_Spruce_tree"	"\x00\x01\x00\x00\x00\x00\x00"
"lc_tundra-Christmas_Scotch_Pine_tree"	"\x00\x01\x00\x00\x00\x00\x00"
"lc_tundra-Creeping_Juniper_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_tundra-Low_Brush_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_tundra-Norway_Spruce_tree"	"\x00\x01\x00\x00\x00\x00\x00"
"lc_tundra-Thicket_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
