version 1, schema effect_bundles_tables, guid c6311e0b-01ba-447d-8e9f-b1a2f59fd966
unknown1(string)	unknown2(string)	unknown3(string)	unknown4(string)
"p_bos_winter"	"When will spring arrive?\\nIn the grip of cold white death,\\nThe earth is smothered."	"Winter"	"bos_effect_season_winter.tga"
"p_call_to_arms"	"Inspired by your recent military endeavours, scores of devoted clansmen have rushed to join the ranks to take arms against the clan's enemies."	"Call to Arms"	"effect_army_positive.tga"
"p_compassion_buddha_global"	"Buddhism abounds as true believers have spread the Buddha's teachings across your domain."	"Compassion of Buddha"	"effect_buddhism_positive.tga"
"p_compassion_buddha_local"	"Buddhism abounds as true believers have spread the Buddha's teachings throughout this province."	"Compassion of Buddha"	"effect_buddhism_positive.tga"
"p_dis_disease"	"Sickness has spread amongst the people in this province, disrupting local production and development."	"Disease"	"effect_disaster_negative.tga"
"p_dis_drought"	"A lack of rainfall across this province has seriously affected farming, resulting in a shortage of food and other agricultural produce."	"Drought"	"effect_disaster_negative.tga"
"p_dis_earthquake"	"A tumultuous earthquake has struck this province! Construction efforts and production have been frustrated as the populace cope with the devastation."	"Earthquake"	"effect_disaster_negative.tga"
"p_dis_fire"	"Raging fires have spread destruction throughout this province's castle town, affecting local production and ruining the livelihoods of many of the people."	"Fire"	"effect_disaster_negative.tga"
"p_dis_flood"	"Flooding has occurred in this province, affecting agriculture and production across the area."	"Flooding"	"effect_disaster_negative.tga"
"p_dis_severe_winter"	"This province is suffering the effects of a long, severe winter. The heavy snowfall and harsh cold has affected local farming and production."	"Severe Winter"	"effect_disaster_negative.tga"
"p_dis_stormy_seas"	"Turbulent waters and raging storms have wrought havoc for this naval force, resulting in the damage of ships and loss of life."	"Stormy Seas"	"effect_disaster_negative.tga"
"p_dis_tsunami"	"This coastal province has been hit by a tsunami, affecting local port activity and impeding production."	"Tsunami"	"effect_disaster_negative.tga"
"p_dis_typhoon"	"A devastating typhoon has swept across this province, leaving a trail of destruction which has affected local construction efforts and production."	"Typhoon"	"effect_disaster_negative.tga"
"p_dis_volcano"	"This volcano has erupted, smothering nearby provinces with volcanic ash."	"Volcano"	"effect_disaster_negative.tga"
"p_disaffected_populace_global"	"Neglect for the wants and needs of the people across your domain has caused resentment to your rule."	"Disaffected Populace"	"effect_public_order_negative.tga"
"p_disaffected_populace_local"	"Neglect for the wants and needs of the people of this province has caused resentment to your rule."	"Disaffected Populace"	"effect_public_order_negative.tga"
"p_disaster"	"These provinces are suffering the after-effects of the recent natural disaster."	"Natural Disaster"	"effect_disaster_negative.tga"
"p_dreaded_force"	"Word of your martial superiority has spread, crushing the morale of all those who would face your clan in battle."	"Dreaded Force"	"effect_military_positive.tga"
"p_foreign_prosperity"	"Your efforts in favour of trade with foreign powers have led to an increase in imports."	"Foreign Prosperity"	"effect_trade_positive.tga"
"p_gem_administrative_insight"	"By virtue of your recent focus on infrastructure and culture, your clan has made significant progress in civil matters."	"Civil Insight"	"effect_technology_positive.tga"
"p_gem_ardent_support"	"Ever true to your family and cause, people across your realm are impervious to all outside influences."	"Ardent Support"	"effect_generic_event_positive.tga"
"p_gem_await_response"	"Patience is a virtue."	"Await Response"	"effect_buddhism.tga"
"p_gem_brigandry_global"	"An increase in criminal acts has impaired production across your domain. Unrest is stirring amongst the populace."	"Brigandry"	"effect_daimyo.tga"
"p_gem_brigandry_local"	"An increase in criminal acts has impaired production in this province. Unrest is stirring amongst the populace."	"Brigandry"	"effect_daimyo.tga"
"p_gem_fujiwara_influence_other"	"Despite our best efforts, knowledge of the Fujiwara's past continues to foster support for them."	"Fujiwara Influence"	"effect_daimyo.tga"
"p_gem_fujiwara_influence_self"	"Word of the family's past achievements has spread; support for the Fujiwara cause is stronger than ever."	"Fujiwara Influence"	"effect_daimyo.tga"
"p_gem_martial_wisdom"	"By virtue of your recent focus on martial matters, your clan has made significant progress in the field of military advancement."	"Martial Wisdom"	"effect_technology_positive.tga"
"p_gem_master_dancer"	"Imbued with confidence and charm, your shirabyoshi are capable of lifting even the sternest of souls."	"Entrancing Allure"	"gempei_effect_dancer_positive.tga"
"p_gem_master_inspector"	"Quick of tongue and cunning to the last, your junsatsushi are championing your cause with irrepressible conviction."	"Influential Exponent"	"effect_metsuke_positive.tga"
"p_gem_master_monk"	"Inspired by their pursuit of enlightenment, your sou are fulfilling their duties with unbounded zeal."	"Noble Truth"	"effect_monk_positive.tga"
"p_gem_master_spy"	"Their skills honed to perfection, your monomi are excelling in acts of subterfuge."	"Clandestine Practices"	"effect_ninja_positive.tga"
"p_gem_minamoto_influence_other"	"Despite our best efforts, knowledge of the Minamoto's past continues to foster support for them."	"Minamoto Influence"	"effect_daimyo.tga"
"p_gem_minamoto_influence_self"	"Word of the family's past achievements has spread; support for the Minamoto cause is stronger than ever."	"Minamoto Influence"	"effect_daimyo.tga"
"p_gem_propaganda"	"Your family’s influence is spreading like wildfire as word of your exploits reaches every corner of the realm."	"Propaganda"	"effect_generic_event_positive.tga"
"p_gem_taira_antoku_enthroned"	"A Taira now sits upon the Chrysanthemum Throne. Your family profits from its newfound position of power, and much of Japan resents that."	"Emperor Antoku"	"effect_daimyo.tga"
"p_gem_taira_influence_other"	"Despite our best efforts, knowledge of the Taira's past continues to foster support for them."	"Taira Influence"	"effect_daimyo.tga"
"p_gem_taira_influence_self"	"Word of the family's past achievements has spread; support for the Taira cause is stronger than ever."	"Taira Influence"	"effect_daimyo.tga"
"p_gem_tax_supplement"	"Your recent initiatives have increased the tax revenue gathered in this province."	"Tax Supplement"	"effect_daimyo.tga"
"p_gem_unwanted_influence_fujiwara"	"Harbouring those with Minamoto and Taira sympathies has allowed their influence to spread throughout your domain."	"Unwanted Influence"	"effect_daimyo.tga"
"p_gem_unwanted_influence_minamoto"	"Harbouring those with Taira and Fujiwara sympathies has allowed their influence to spread throughout your domain."	"Unwanted Influence"	"effect_daimyo.tga"
"p_gem_unwanted_influence_taira"	"Harbouring those with Minamoto and Fujiwara sympathies has allowed their influence to spread throughout your domain."	"Unwanted Influence"	"effect_daimyo.tga"
"p_grateful_populace_global"	"Your dedication to the wants and needs of the people throughout your domain has engendered feelings of joy and gratitude."	"Grateful Populace"	"effect_public_order_positive.tga"
"p_grateful_populace_local"	"Your dedication to the wants and needs of the people of this province has engendered feelings of joy and gratitude."	"Grateful Populace"	"effect_public_order_positive.tga"
"p_inspired_endeavours_global"	"Your commitment to the clan's wellbeing has filled the people with fervent pride, inspiring them to make a greater effort in their daily lives."	"Inspired Endeavours"	"effect_wealth_positive.tga"
"p_inspired_endeavours_local"	"Your commitment to this province's wellbeing has filled the people with fervent pride, inspiring them to make a greater effort in their daily lives."	"Inspired Endeavours"	"effect_wealth_positive.tga"
"p_iron_fist"	"Your reputation for stringent action in response to offence has instilled fear in the people throughout your domain, cowing them into obedience."	"Iron Fist"	"effect_public_order_positive.tga"
"p_lackluster_efforts_global"	"Unmotivated and undisciplined, people across your domain have lost their commitment to the natural order of work and duty."	"Lackluster Efforts"	"effect_public_order_negative.tga"
"p_lackluster_efforts_local"	"Unmotivated and undisciplined, people in this province have lost their commitment to the natural order of work and duty."	"Lackluster Efforts"	"effect_public_order_negative.tga"
"p_lucrative_shipping"	"Your dominance of the shipping lanes has led to an increase of the sea trade conducted through your ports."	"Lucrative Shipping"	"effect_trade_positive.tga"
"p_martial_wisdom"	"By virtue of your recent focus on martial matters, your clan has made significant progress in the field of military advancement."	"Martial Wisdom"	"effect_technology_positive.tga"
"p_master_archers"	"Your devotion to kyujutsu has markedly improved the abilities of your newly-recruited bowmen."	"Keen Marksmen"	"effect_archer_positive.tga"
"p_master_ashigaru"	"Improved ashigaru training methods have improved the combat potential of your ashigaru recruits."	"Superior Ashigaru"	"effect_ashigaru_units_positive.tga"
"p_master_builders"	"Acquisition and use of the best available materials has greatly increased the efficiency of the construction process."	"Master Builders"	"effect_construction_positive.tga"
"p_master_cavalry"	"Your devotion to bajutsu has enabled the training of exceptionally able cavalry recruits."	"Expert Horsemanship"	"effect_cavalry_positive.tga"
"p_master_gunners"	"Improved training with firearms has made your newly-recruited gunmen more proficient in battle."	"Crack Gunmen"	"effect_firearm_positive.tga"
"p_master_horsebreeders"	"Countless hours spent breaking in the finest stock have greatly increased the efficiency of your horse breeders."	"Master Horse Breeders"	"effect_cavalry_positive.tga"
"p_master_ikko_monks"	"Resolute in their Jodo Shinshu convictions, your Ikko monks are fulfilling their spiritual calling with unbounded zeal."	"The True Pure Land"	"effect_ikko_monk_positive.tga"
"p_master_metsuke"	"Driven by their innate sense of justice, your metsuke are carrying out their duties with all the cunning that they can muster."	"Unscrupulous Aegis"	"effect_metsuke_positive.tga"
"p_master_missionaries"	"Empowered by their faith in the almighty, your missionaries are fulfilling their divine mission with unbridled zeal."	"Divine Right"	"effect_missionary_positive.tga"
"p_master_monks"	"Inspired by their pursuit of enlightenment, your monks are fulfilling their duties with unbounded zeal."	"Noble Truth"	"effect_monk_positive.tga"
"p_master_ninja"	"Their skills honed to perfection, your ninja are excelling in acts of subterfuge."	"Clandestine Practices"	"effect_ninja_positive.tga"
"p_master_samurai"	"Improved samurai training methods have given your recruits an edge in combat."	"Exceptional Samurai"	"effect_samurai_units_positive.tga"
"p_master_shipwrights"	"Acquistion and use of the best timber available has greatly increased the efficiency of your shipwrights."	"Master Shipwrights"	"effect_navy_positive.tga"
"p_master_siegecraft"	"A focus upon siegecraft techniques has improved the proficiency of your newly-recruited siege-crews."	"Siegecraft Experts"	"effect_firearm_positive.tga"
"p_master_smithies"	"Countless hours spent at the forge crafting arms and armour from the finest metals have greatly increased the efficiency of your blacksmiths."	"Master Smithies"	"effect_armour_buff_positive.tga"
"p_master_spearmen"	"Your devotion to sojutsu has improved the skill and resolve of your newly-recruited spearmen."	"Inexorable Spearmen"	"effect_weapon_buff_positive.tga"
"p_master_swordsmen"	"Your devotion to kenjutsu has sharpened the skills of your newly-recruited swordsmen."	"Celebrated Swordsmanship"	"effect_weapon_buff_positive.tga"
"p_meagre_harvest"	"A poor crop has severely affected food production throughout your domain."	"Meagre Harvest"	"effect_food_negative.tga"
"p_meagre_harvest_local"	"A poor crop has severely affected food production in this province."	"Meagre Harvest"	"effect_food_negative.tga"
"p_merchant_discontent"	"Trade revenue is in decline as merchants, incensed by your recent dismissal of trade requests, are seeking their livelihoods elsewhere."	"Merchant Class Discontent"	"effect_trade_negative.tga"
"p_nanban_ambassador"	"In return for your favourable attitude towards the nanban, they have dispatched an emissary to help facilitate trade between you."	"Nanban Ambassador"	"effect_diplomacy_positive.tga"
"p_nanban_ire"	"Angered by recent affronts made against them, the nanban have demanded larger payments for their trade goods."	"Nanban Ire"	"effect_diplomacy_negative.tga"
"p_old_ways"	"Your people have been inspired by the knowledge that their daimyo still favours the customs upon which your clan was established. "	"The Old Ways"	"effect_public_order_positive.tga"
"p_peer_contempt"	"Dubious of your recent decisions, your fellow daimyo are harbouring considerable disrespect towards you."	"Peer Contempt"	"effect_diplomacy_negative.tga"
"p_plenty"	"A healthy crop has ensured that there is ample sustenance for your clan."	"Plenty"	"effect_food_positive.tga"
"p_prosperity_global"	"Owing to your regard for its economic wellbeing, your realm is currently experiencing a surge in economic growth."	"Prosperity"	"effect_wealth_positive.tga"
"p_prosperity_local"	"Owing to your regard for its economic wellbeing, this province is currently experiencing a surge in economic growth."	"Prosperity"	"effect_wealth_positive.tga"
"p_provincial_turmoil_global"	"Low morale and a lack of support for your rule have caused widespread dereliction of work and duty amongst the people of your clan."	"Provincial Turmoil"	"effect_wealth_negative.tga"
"p_provincial_turmoil_local"	"Low morale and a lack of support for your rule have caused widespread dereliction of work and duty amongst the people of this province."	"Provincial Turmoil"	"effect_wealth_negative.tga"
"p_rampant_piracy"	"In the wake of your disregard for recent wako threats, pirates are now sweeping across your seas."	"Rampant Piracy"	"effect_trade_negative.tga"
"p_religious_zeal"	"Resolute in their religious convictions, the will of your people has not wavered in the face of spiritual adversity."	"Religious Zeal"	"effect_religion_positive.tga"
"p_research"	"A dedicated approach to mastery of the arts has resulted in significant progress for your clan in both military and civic disciplines."	"Significant Advances"	"effect_technology_positive.tga"
"p_ronin_marauders"	"Their exploits unchecked, ronin have run amok in this province leaving terror and devastation in their wake."	"Ronin Marauders"	"effect_public_order_negative.tga"
"p_rule_the_waves"	"Inspired by your clan's mastery of the sea, your fleets row fearlessly into battle."	"Rule the Waves"	"effect_navy_positive.tga"
"p_shogunal_deputy"	"Satisfied with your recent show of support for his cause, the Shogun has dispatched an official to your capital to aid in matters of state."	"Shogunal Deputy"	"effect_diplomacy_positive.tga"
"p_staunch_defence"	"Owing to an increased focus on clan defence, your troops are better able to withstand melee attacks."	"Staunch Defence"	"effect_armour_buff_positive.tga"
