version 1, schema trait_triggers_tables
Trait_IDRef(string)	Event_IDRef(string)	Condition(string)
"C_Admiral_Press_Hero_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"admiral\") and CharacterWonBattle() and [BattleResult(\"heroic_victory\") or CampaignPercentageOfThemRouted() >= 50 or CampaignPercentageOfThemKilled() >= 50 or CampaignPercentageOfThemCaptured() >= 30] and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Admiral_Promoted_Leader_Benefits_01"	"CharacterPromoted"	"IsFactionLeader() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionAdmiralCount() <= 15"
"C_Admiral_Promoted_Leader_Penalty_01"	"CharacterPromoted"	"IsFactionLeader() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionAdmiralCount() > 15"
"C_Admiral_Promoted_Trigger_02"	"CharacterPromoted"	"CharacterType(\"admiral\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionAdmiralCount() <= 15"
"C_Admiral_Promoted_Trigger_02a_Merit"	"CharacterPromoted"	"CharacterType(\"admiral\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionAdmiralCount() <= 15 and FactionLeadersTrait(\"C_Leader_Merit\")"
"C_Admiral_Promoted_Trigger_02A_spam"	"CharacterPromoted"	"CharacterType(\"admiral\") and not CharacterCultureType(\"tribal\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionAdmiralCount() > 15"
"C_Admiral_Promoted_Trigger_02B_spam_Favs"	"CharacterPromoted"	"CharacterType(\"admiral\") and not CharacterCultureType(\"tribal\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionAdmiralCount() > 15 and FactionLeadersTrait(\"C_Leader_Favourites\") >= 1"
"C_Admiral_Rated_Ships_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"admiral\") and CharacterWonBattle() and CampaignPercentageOfUnitCategory(\"naval_line_of_battle\") >= 50 and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Admiral_Spanish_National_Pride_Trigger_01"	"CharacterCreated"	"CharacterType(\"admiral\") and CharacterFactionName(\"spain\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")and CharacterFactionAdmiralCount() <= 15"
"C_Admiral_Spanish_National_Pride_Trigger_02"	"CharacterPromoted"	"CharacterType(\"admiral\") and CharacterFactionName(\"spain\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionAdmiralCount() <= 15"
"C_Admiral_Swashbuckling_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"admiral\") and CommanderFoughtInMelee() and not CharacterRouted() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Agent_Secret_Police_Trigger_01"	"CharacterTurnEnd"	"CharacterType(\"rake\") and CharacterTurnsAtHome() > 1 and NoActionThisTurn() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Agent_Spy_Network_Trigger_01"	"CharacterTurnEnd"	"CharacterType(\"rake\") and CharacterTurnsInEnemyLands() > 2 and NoActionThisTurn() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Agent_Spy_Network_Trigger_02_removal"	"CharacterTurnEnd"	"CharacterType(\"rake\") and CharacterTurnsInEnemyLands() > 2 and not NoActionThisTurn() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and RandomPercentCampaign(50)"
"C_Feck_Vice_Trigger"	"CharacterTurnEnd"	"NoActionThisTurn() and InSettlement() and not CharacterType(\"catholic_missionary\") and not CharacterType(\"indian_missionary\") and not CharacterType(\"middle_east_missionary\") and not CharacterType(\"shaman\") and not CharacterType(\"orthodox_missionary\") and not CharacterType(\"Protestant_Missionary\") and not CharacterType(\"minister\") and not CharacterType(\"colonel\") and not CharacterType(\"captain\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Feck_Vice_Trigger_Minister"	"CharacterTurnEnd"	"NoActionThisTurn() and InSettlement() and CharacterType(\"minister\") and CharacterTrait(\"C_Personal_Piety\") <= 1 and CharacterHoldsPost() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_General_Ambush_Bad_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"General\") and CampaignBattleType(\"land_ambush\") and CharacterWasAttacker() and not CharacterWonBattle() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_General_Ambush_Good_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"General\") and CampaignBattleType(\"land_ambush\") and CharacterWasAttacker() and CharacterWonBattle() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_General_Americas_Bad_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"General\") and CharacterInTheatre(1) and not CharacterWonBattle() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_General_Americas_Good_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"General\") and CharacterInTheatre(1) and CharacterWonBattle() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_General_Attacker_Bad_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"General\") and CharacterWasAttacker() and not CharacterWonBattle() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_General_Attacker_Good_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"General\") and CharacterWasAttacker() and CharacterWonBattle() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_General_Austrian_Hates_Ottomans_Trigger_01"	"CharacterCreated"	"CharacterType(\"General\") and CharacterFactionName(\"austria\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() <= 15"
"C_General_Austrian_Hates_Ottomans_Trigger_02"	"CharacterPromoted"	"CharacterType(\"General\") and CharacterFactionName(\"austria\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() <= 15"
"C_General_Bad_Field_Commander_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"General\") and CampaignBattleType(\"normal\") and not CharacterWonBattle() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_General_Bloody_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"General\") and CharacterWonBattle() and CampaignPercentageOfOwnKilled() > 40 and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_General_Brave_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"General\") and CommanderFoughtInBattle() and not CharacterRouted() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_General_Coward_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"General\") and CharacterRouted() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_General_Created_Trigger_01"	"CharacterCreated"	"CharacterType(\"General\") and not CharacterCultureType(\"tribal\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() <= 15"
"C_General_Created_Trigger_01A_spam"	"CharacterCreated"	"CharacterType(\"General\") and not CharacterCultureType(\"tribal\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() > 15"
"C_General_Created_Trigger_01B_spam_Favs"	"CharacterCreated"	"CharacterType(\"General\") and not CharacterCultureType(\"tribal\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() > 15 and FactionLeadersTrait(\"C_Leader_Favourites\") >= 1"
"C_General_Created_Trigger_02_Warlords"	"CharacterCreated"	"CharacterType(\"General\") and CharacterCultureType(\"tribal\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() <= 15"
"C_General_Created_Trigger_02A_Warlords_spam"	"CharacterCreated"	"CharacterType(\"General\") and CharacterCultureType(\"tribal\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() > 15"
"C_General_Defender_Bad_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"General\") and not CharacterWasAttacker() and not CharacterWonBattle() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_General_Defender_Good_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"General\") and not CharacterWasAttacker() and CharacterWonBattle() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_General_Drunkard_Trigger_01"	"CharacterTurnEnd"	"CharacterType(\"General\") and NoActionThisTurn() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and not CharacterCultureType(\"middle_east\") and not CharacterFactionName(\"mughal\")"
"C_General_French_Elan_Trigger_01"	"CharacterCreated"	"CharacterType(\"General\") and CharacterFactionName(\"france\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() <= 15"
"C_General_French_Elan_Trigger_02"	"CharacterPromoted"	"CharacterType(\"General\") and CharacterFactionName(\"france\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() <= 15"
"C_General_Good_Field_Commander_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"General\") and CampaignBattleType(\"normal\") and CharacterWonBattle() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_General_India_Bad_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"General\") and CharacterInTheatre(3) and not CharacterWonBattle() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_General_India_Good_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"General\") and CharacterInTheatre(3) and CharacterWonBattle() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_General_Lampooned_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"General\") and not CharacterWonBattle() and [BattleResult(\"crushing_defeat\") or CampaignPercentageOfOwnRouted() >= 50 or CampaignPercentageOfOwnKilled() >= 50 or CampaignPercentageOfOwnCaptured() >= 30] and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_General_Mad_Trigger_01"	"CharacterTurnEnd"	"CharacterType(\"General\") and CharacterTurnsInEnemyLands() > 15 and BattlesFought(5) and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_General_Mughal_Anti_European_Trigger_01"	"CharacterCreated"	"CharacterType(\"General\") and CharacterFactionName(\"mughal\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() <= 15"
"C_General_Mughal_Anti_European_Trigger_02"	"CharacterPromoted"	"CharacterType(\"General\") and CharacterFactionName(\"mughal\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() <= 15"
"C_General_of_Artillery_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"General\") and CharacterWonBattle() and CampaignPercentageOfUnitCategory(\"artillery\") >= 40 and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_General_of_Cavalry_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"General\") and CharacterWonBattle() and CampaignPercentageOfUnitCategory(\"cavalry\") >= 40 and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_General_of_Infantry_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"General\") and CharacterWonBattle() and CampaignPercentageOfUnitCategory(\"infantry\") >= 40 and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_General_Polish_Stubborn_Trigger_01"	"CharacterCreated"	"CharacterType(\"General\") and CharacterFactionName(\"poland_lithuania\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() <= 15"
"C_General_Polish_Stubborn_Trigger_02"	"CharacterPromoted"	"CharacterType(\"General\") and CharacterFactionName(\"poland_lithuania\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() <= 15"
"C_General_Press_Hero_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"General\") and CharacterWonBattle() and [BattleResult(\"heroic_victory\") or CampaignPercentageOfThemRouted() >= 50 or CampaignPercentageOfThemKilled() >= 50 or CampaignPercentageOfThemCaptured() >= 30] and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_General_Promoted_Leader_Benefits_01"	"CharacterPromoted"	"IsFactionLeader() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() <= 15"
"C_General_Promoted_Leader_Penalty_02"	"CharacterPromoted"	"IsFactionLeader() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() > 15"
"C_General_Promoted_Trigger_03"	"CharacterPromoted"	"CharacterType(\"General\") and not CharacterCultureType(\"tribal\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() <= 15"
"C_General_Promoted_Trigger_03a_Merit"	"CharacterPromoted"	"CharacterType(\"General\") and not CharacterCultureType(\"tribal\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() <= 15 and FactionLeadersTrait(\"C_Leader_Merit\") >= 1"
"C_General_Promoted_Trigger_03A_spam"	"CharacterPromoted"	"CharacterType(\"General\") and not CharacterCultureType(\"tribal\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() > 15"
"C_General_Promoted_Trigger_03B_spam_Favs"	"CharacterPromoted"	"CharacterType(\"General\") and not CharacterCultureType(\"tribal\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() > 15 and FactionLeadersTrait(\"C_Leader_Favourites\") >= 1"
"C_General_Promoted_Trigger_04_Warlord"	"CharacterPromoted"	"CharacterType(\"General\") and CharacterCultureType(\"tribal\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() <= 15"
"C_General_Promoted_Trigger_04A_Warlord_spam"	"CharacterPromoted"	"CharacterType(\"General\") and CharacterCultureType(\"tribal\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() > 15"
"C_General_Prussian_Blue_Trigger_01"	"CharacterCreated"	"CharacterType(\"General\") and CharacterFactionName(\"prussia\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() <= 15"
"C_General_Prussian_Blue_Trigger_02"	"CharacterPromoted"	"CharacterType(\"General\") and CharacterFactionName(\"prussia\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() <= 15"
"C_General_Russian_Vodka_Trigger_01"	"CharacterCreated"	"CharacterType(\"General\") and CharacterFactionName(\"russia\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() <= 15"
"C_General_Russian_Vodka_Trigger_02"	"CharacterPromoted"	"CharacterType(\"General\") and CharacterFactionName(\"russia\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() <= 15"
"C_General_Scout_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"General\") and CharacterWonBattle() and CharacterMPPercentageRemaining() <= 5 and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_General_Siege_Attack_Bad_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"General\") and [CampaignBattleType(\"fort_standard\") or CampaignBattleType(\"fort_relief\") or CampaignBattleType(\"fort_sally\") or CampaignBattleType(\"settlement_standard\") or CampaignBattleType(\"settlement_relief\") or CampaignBattleType(\"settlement_sally\")] and CharacterWasAttacker() and not CharacterWonBattle() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_General_Siege_Attack_Good_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"General\") and [CampaignBattleType(\"fort_standard\") or CampaignBattleType(\"fort_relief\") or CampaignBattleType(\"fort_sally\") or CampaignBattleType(\"settlement_standard\") or CampaignBattleType(\"settlement_relief\") or CampaignBattleType(\"settlement_sally\")] and CharacterWasAttacker() and CharacterWonBattle() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_General_Siege_Defend_Bad_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"General\") and [CampaignBattleType(\"fort_standard\") or CampaignBattleType(\"fort_relief\") or CampaignBattleType(\"fort_sally\") or CampaignBattleType(\"settlement_standard\") or CampaignBattleType(\"settlement_relief\") or CampaignBattleType(\"settlement_sally\")] and not CharacterWasAttacker() and not CharacterWonBattle() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_General_Siege_Defend_Good_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"General\") and [CampaignBattleType(\"fort_standard\") or CampaignBattleType(\"fort_relief\") or CampaignBattleType(\"fort_sally\") or CampaignBattleType(\"settlement_standard\") or CampaignBattleType(\"settlement_relief\") or CampaignBattleType(\"settlement_sally\")] and not CharacterWasAttacker() and CharacterWonBattle() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_General_Swedish_Aggression_Trigger_01"	"CharacterCreated"	"CharacterType(\"General\") and CharacterFactionName(\"sweden\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() <= 15"
"C_General_Swedish_Aggression_Trigger_02"	"CharacterPromoted"	"CharacterType(\"General\") and CharacterFactionName(\"sweden\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() <= 15"
"C_General_Turkish_Master_Gunner_Trigger_01"	"CharacterCreated"	"CharacterType(\"General\") and CharacterFactionName(\"ottomans\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() <= 15"
"C_General_Turkish_Master_Gunner_Trigger_02"	"CharacterPromoted"	"CharacterType(\"General\") and CharacterFactionName(\"ottomans\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() <= 15"
"C_General_US_Backwoodsman_Trigger_01"	"CharacterCreated"	"CharacterType(\"General\") and CharacterFactionName(\"united_states\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() <= 15"
"C_General_US_Backwoodsman_Trigger_02"	"CharacterPromoted"	"CharacterType(\"General\") and CharacterFactionName(\"united_states\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterFactionGeneralCount() <= 15"
"C_General_Warlord_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"General\") and CharacterCultureType(\"tribal\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Gent_Academic_Honours_Trigger_01"	"ResearchCompleted"	"[CharacterType(\"gentleman\") or CharacterType(\"Eastern_Scholar\")] and CharacterAttribute(\"research\") >= 3 and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Gent_Created_Trigger_01"	"CharacterCreated"	"[CharacterType(\"gentleman\") or CharacterType(\"Eastern_Scholar\")] and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Gent_Created_Trigger_02_Agriculture"	"CharacterCreated"	"[CharacterType(\"gentleman\") or CharacterType(\"Eastern_Scholar\")] and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and FactionLeadersTrait(\"C_Leader_Huntin_Shootin_Fishin\") >= 1"
"C_Gent_Created_Trigger_03_economics"	"CharacterCreated"	"[CharacterType(\"gentleman\") or CharacterType(\"Eastern_Scholar\")] and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and FactionLeadersTrait(\"C_Leader_Clever_Stick\") >= 1"
"C_Gent_Created_Trigger_04_industry"	"CharacterCreated"	"[CharacterType(\"gentleman\") or CharacterType(\"Eastern_Scholar\")] and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and FactionLeadersTrait(\"C_Leader_Huntin_Shootin_Fishin\") < 1"
"C_Gent_Created_Trigger_05_military"	"CharacterCreated"	"[CharacterType(\"gentleman\") or CharacterType(\"Eastern_Scholar\")] and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and FactionLeadersTrait(\"C_Leader_Army_Buff\") >= 1"
"C_Gent_Created_Trigger_06_navy"	"CharacterCreated"	"[CharacterType(\"gentleman\") or CharacterType(\"Eastern_Scholar\")] and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and FactionLeadersTrait(\"C_Leader_Navy_Buff\") >= 1"
"C_Gent_Created_Trigger_07_philosophy"	"CharacterCreated"	"[CharacterType(\"gentleman\") or CharacterType(\"Eastern_Scholar\")] and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and FactionLeadersTrait(\"C_Leader_Intellectual_Pretensions\") >= 1"
"C_Gent_Duelling_Pistol_Trigger_01"	"DuelFought"	"CharacterDuelWeapon(\"duelling_pistols\") and CharacterWonDuel() and [CharacterType(\"gentleman\") or CharacterType(\"rake\")] and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Gent_Duelling_Sword_Trigger_01"	"DuelFought"	"CharacterDuelWeapon(\"duelling_sword\") and CharacterWonDuel() and [CharacterType(\"gentleman\") or CharacterType(\"rake\")] and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Gent_Research_Agriculture_Trigger_01"	"ResearchCompleted"	"[CharacterType(\"gentleman\") or CharacterType(\"Eastern_Scholar\")] and [ResearchType(\"industry_agriculture_advanced_irrigation\") or ResearchType(\"industry_agriculture_common_land_enclosures\") or ResearchType(\"industry_agriculture_four_field_crop_rotation\") or ResearchType(\"industry_agriculture_improved_animal_husbandry\") or ResearchType(\"industry_agriculture_seed_planting_drill\") or ResearchType(\"industry_agriculture_selective_breeding\") or ResearchType(\"industry_agriculture_steam-pumped_land_drainage\") or ResearchType(\"industry_agriculture_threshing_machine\")] and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
