version 2, schema cdir_events_incident_payloads_tables, guid 452fa591-5b8f-4abc-8363-18f962dae6cc
unknown1(int)	unknown2(float)	unknown3(string)	unknown4(string)	unknown5(string)
1204	0	"i_gem_research_specific_military"	"p_gem_martial_wisdom"	"DURATION[6]"
122	0	"c_disloyalty_SECOND_peer_contempt"	"p_peer_contempt"	"DURATION[8]"
1220	0	"i_gem_show_of_support"	"SPAWN_UNIT"	"UNIT[Genpei_Inf_Heavy_Naginata_Attendants]"
1227	0	"i_gem_show_of_support"	"TARGET"	"CAPITAL"
1233	0	"c_gem_enryakuji_SECOND_rival_monks"	"TARGET"	"EVENT"
1237	0	"c_gem_enryakuji_FIRST_monks"	"TARGET"	"EVENT"
1245	0	"c_gem_kofukuji_FIRST_monks"	"TARGET"	"EVENT"
1254	0	"c_gem_miidera_FIRST_monks"	"TARGET"	"EVENT"
1256	0	"c_gem_miidera_SECOND_rival_monks"	"TARGET"	"EVENT"
1261	0	"c_gem_todaiji_FIRST_monks"	"TARGET"	"EVENT"
1264	0	"c_gem_enryakuji_SECOND_rebellion"	"TARGET"	"EVENT"
1268	0	"c_gem_kofukuji_SECOND_rebellion"	"TARGET"	"EVENT"
1270	0	"c_gem_miidera_SECOND_rebellion"	"TARGET"	"EVENT"
1277	0	"c_gem_todaiji_SECOND_rebellion"	"TARGET"	"EVENT"
1286	0	"i_gem_antoku_enthroned_taira"	"p_gem_taira_antoku_enthroned"	"DURATION[0]"
1292	0	"c_gem_eiga_monogatari_FIRST_fujiwara_influence"	"p_gem_fujiwara_influence_other"	"DURATION[6];GLOBAL"
130	0	"c_francis_xavier_FIRST_nanban_ire"	"p_nanban_ire"	"DURATION[8]"
1301	0	"c_gem_eiga_monogatari_FIRST_spawn_shirabyoshi"	"SPAWN_AGENT"	"AGENT[gempei_dancer]"
1305	0	"c_gem_eiga_monogatari_FIRST_spawn_shirabyoshi"	"TARGET"	"CAPITAL"
1310	0	"c_gem_eiga_monogatari_fujiwara_FIRST_fujiwara_influence"	"p_gem_fujiwara_influence_self"	"DURATION[8];GLOBAL"
1319	0	"c_gem_eiga_monogatari_fujiwara_FIRST_spawn_shirabyoshi"	"SPAWN_AGENT"	"AGENT[gempei_dancer]"
1328	0	"c_gem_eiga_monogatari_fujiwara_FIRST_spawn_shirabyoshi"	"TARGET"	"CAPITAL"
133	0	"c_francis_xavier_SECOND_anti_nanban_riots"	"p_anti_nanban_riots_global"	"DURATION[4]"
1335	0	"c_gem_family_dues_FIRST_spawn_dancer"	"SPAWN_AGENT"	"AGENT[gempei_dancer]"
1344	0	"c_gem_family_dues_FIRST_spawn_dancer"	"TARGET"	"CAPITAL"
1353	0	"c_gem_heiji_monogatari_minamoto_FIRST_minamoto_influence"	"p_gem_minamoto_influence_self"	"DURATION[8];GLOBAL"
1359	0	"c_gem_heiji_monogatari_minamoto_FIRST_taira_influence"	"p_gem_taira_influence_other"	"DURATION[6];GLOBAL"
1367	0	"c_gem_heiji_monogatari_taira_FIRST_minamoto_influence"	"p_gem_minamoto_influence_other"	"DURATION[6];GLOBAL"
1377	0	"c_gem_heiji_monogatari_taira_FIRST_taira_influence"	"p_gem_taira_influence_self"	"DURATION[8];GLOBAL"
1382	0	"c_gem_justice_FIRST_peer_contempt"	"p_peer_contempt"	"DURATION[4];GLOBAL"
1387	0	"c_gem_migrant_workers_FIRST_agrarian_toil"	"p_agrarian_toil_global"	"DURATION[6];GLOBAL"
1392	0	"c_gem_migrant_workers_FIRST_lackluster_efforts"	"p_lackluster_efforts_global"	"DURATION[4];GLOBAL"
14	0	"c_ambitious_traders_SECOND_prosperity"	"p_prosperity_global"	"DURATION[4]"
1400	0	"c_gem_migrant_workers_FIRST_peer_contempt"	"p_peer_contempt"	"DURATION[4];GLOBAL"
1403	0	"c_gem_migrant_workers_FIRST_unwanted_fujiwara"	"p_gem_unwanted_influence_fujiwara"	"DURATION[4];GLOBAL"
1405	0	"c_gem_migrant_workers_FIRST_unwanted_minamoto"	"p_gem_unwanted_influence_minamoto"	"DURATION[4];GLOBAL"
141	0	"c_francis_xavier_SECOND_nanban_ambassador"	"p_nanban_ambassador"	"DURATION[8]"
1415	0	"c_gem_migrant_workers_FIRST_unwanted_taira"	"p_gem_unwanted_influence_taira"	"DURATION[4];GLOBAL"
1419	0	"c_gem_migrant_workers_SECOND_brigandry"	"p_gem_brigandry_local"	"DURATION[8]"
1421	0	"c_gem_migrant_workers_SECOND_brigandry"	"TARGET"	"EVENT"
1422	0	"c_gem_migrant_workers_SECOND_inspired_endeavours"	"p_inspired_endeavours_global"	"DURATION[4]"
143	0	"c_gaijin_trouble_FIRST_anti_nanban_riots"	"p_anti_nanban_riots_local"	"DURATION[4]"
1431	0	"c_gem_warrior_tax_FIRST_peer_contempt"	"p_peer_contempt"	"DURATION[4];GLOBAL"
1435	0	"c_gem_warrior_tax_FIRST_peer_contempt"	"SPAWN_UNIT"	"UNIT[Genpei_Inf_Sword_Sword_Attendants]"
1443	0	"c_gem_warrior_tax_FIRST_peer_contempt"	"TARGET"	"EVENT"
1449	0	"c_gem_warrior_tax_SECOND_peer_contempt"	"p_peer_contempt"	"DURATION[4];GLOBAL"
1459	0	"c_gem_warrior_tax_SECOND_rebellion"	"REBELLION"	"remove_me"
146	0	"c_gaijin_trouble_FIRST_nanban_ambassador"	"p_nanban_ambassador"	"DURATION[8]"
1469	0	"c_gem_warrior_tax_SECOND_rebellion"	"TARGET"	"EVENT"
1475	0	"c_gem_young_thief_FIRST_brigandry_global"	"p_gem_brigandry_global"	"DURATION[4];GLOBAL"
1483	0	"c_gem_young_thief_FIRST_spawn_spy"	"SPAWN_AGENT"	"AGENT[gempei_spy]"
1485	0	"c_gem_young_thief_FIRST_spawn_spy"	"TARGET"	"CAPITAL"
1489	0	"c_gem_young_thief_SECOND_iron_fist"	"p_iron_fist"	"DURATION[8];GLOBAL"
1490	0	"i_bos_season_autumn"	"p_bos_autumn"	"DURATION[6];GLOBAL"
150	0	"c_gaijin_trouble_SECOND_inspired_endeavours"	"p_inspired_endeavours_local"	"DURATION[4]"
1500	0	"i_bos_season_spring"	"p_bos_spring"	"DURATION[6];GLOBAL"
1510	0	"i_bos_season_summer"	"p_bos_summer"	"DURATION[6];GLOBAL"
1517	0	"i_bos_season_winter"	"p_bos_winter"	"DURATION[6];GLOBAL"
1539	0	"i_bos_season_spring_first"	"p_bos_spring"	"DURATION[5];GLOBAL"
1550	0	"c_bos_emperor_foreign_medic_FIRST_foreign_boost"	"p_bos_foreign_boost"	"DURATION[12];GLOBAL"
1559	0	"c_bos_emperor_foreign_medic_FIRST_sonno_joi"	"p_bos_disaffected_populace_global"	"DURATION[6];GLOBAL"
1562	0	"c_bos_gaijin_trouble_FIRST_foreign_setback"	"p_bos_foreign_setback"	"DURATION[12];GLOBAL"
1565	0	"c_bos_gaijin_trouble_SECOND_anti_western_riots"	"p_anti_nanban_riots_local"	"DURATION[6]"
1571	0	"c_bos_gaijin_trouble_SECOND_anti_western_riots"	"TARGET"	"EVENT"
1581	0	"c_bos_gaijin_trouble_SECOND_foreign_boost"	"p_bos_foreign_boost"	"DURATION[12];GLOBAL"
1584	0	"c_bos_icarus_affair_FIRST_anti_western_riots"	"p_anti_nanban_riots_local"	"DURATION[6]"
159	0	"c_heralding_spring_FIRST_grateful_populace"	"p_grateful_populace_global"	"DURATION[4]"
1592	0	"c_bos_icarus_affair_FIRST_anti_western_riots"	"TARGET"	"EVENT"
1599	0	"c_bos_icarus_affair_FIRST_disaffected_populace"	"p_bos_disaffected_populace_global"	"DURATION[6];GLOBAL"
1609	0	"c_bos_icarus_affair_FIRST_foreign_boost"	"p_bos_foreign_boost"	"DURATION[12];GLOBAL"
1613	0	"c_bos_icarus_affair_FIRST_grant_royal_marines"	"SPAWN_UNIT"	"UNIT[Boshin_Inf_Elite_Royal_Marines]"
1614	0	"c_bos_icarus_affair_FIRST_grant_royal_marines"	"TARGET"	"CAPITAL"
1623	0	"c_bos_icarus_affair_SECOND_foreign_setback"	"p_bos_foreign_setback"	"DURATION[12];GLOBAL"
1624	0	"c_bos_icarus_affair_SECOND_inspired_endeavours"	"p_bos_inspired_endeavours_global"	"DURATION[12];GLOBAL"
1633	0	"c_bos_koyosha_modern_FIRST_inspired_endeavours"	"p_bos_inspired_endeavours_global"	"DURATION[12];GLOBAL"
1638	0	"c_bos_koyosha_modern_FIRST_peer_respect"	"p_bos_peer_respect"	"DURATION[12];GLOBAL"
1640	0	"c_bos_koyosha_modern_FIRST_rebellion"	"REBELLION"	"remove_me"
1643	0	"c_bos_koyosha_modern_FIRST_rebellion"	"TARGET"	"EVENT"
1651	0	"c_bos_koyosha_modern_FIRST_samurai_discontent"	"p_bos_samurai_discontent"	"DURATION[6];GLOBAL"
1654	0	"c_bos_koyosha_modern_SECOND_criminal_contacts"	"p_bos_criminal_contacts_global"	"DURATION[12];GLOBAL"
166	0	"c_heralding_spring_SECOND_disaffected_populace"	"p_disaffected_populace_global"	"DURATION[4]"
1664	0	"c_bos_koyosha_modern_SECOND_peer_respect"	"p_bos_peer_respect"	"DURATION[6];GLOBAL"
1673	0	"c_bos_koyosha_modern_SECOND_samurai_satisfaction"	"p_bos_samurai_satisfaction"	"DURATION[6];GLOBAL"
1679	0	"c_bos_koyosha_western_FIRST_foreign_boost"	"p_bos_foreign_boost"	"DURATION[12];GLOBAL"
1683	0	"c_bos_koyosha_western_FIRST_peer_respect"	"p_bos_peer_respect"	"DURATION[12];GLOBAL"
1693	0	"c_bos_koyosha_western_FIRST_rebellion"	"REBELLION"	"remove_me"
1695	0	"c_bos_koyosha_western_FIRST_rebellion"	"TARGET"	"EVENT"
1699	0	"c_bos_koyosha_western_FIRST_samurai_discontent"	"p_bos_samurai_discontent"	"DURATION[6];GLOBAL"
1705	0	"c_bos_koyosha_western_SECOND_criminal_contacts"	"p_bos_criminal_contacts_global"	"DURATION[12];GLOBAL"
1713	0	"c_bos_koyosha_western_SECOND_peer_respect"	"p_bos_peer_respect"	"DURATION[6];GLOBAL"
1722	0	"c_bos_koyosha_western_SECOND_samurai_satisfaction"	"p_bos_samurai_satisfaction"	"DURATION[6];GLOBAL"
1727	0	"c_bos_nanban_slavers_FIRST_foreign_boost"	"p_bos_foreign_boost"	"DURATION[12];GLOBAL"
173	0	"c_intoxication_FIRST_provincial_discord"	"p_provincial_turmoil_local"	"DURATION[4]"
1736	0	"c_bos_nanban_slavers_FIRST_peer_contempt"	"p_bos_peer_contempt"	"DURATION[12];GLOBAL"
1742	0	"c_bos_nanban_slavers_SECOND_chinese_gratitude"	"TREASURY"	"AMOUNT[2000]"
1750	0	"c_bos_nanban_slavers_SECOND_foreign_setback"	"p_bos_foreign_setback"	"DURATION[12];GLOBAL"
1754	0	"c_bos_nanban_slavers_SECOND_inspired_endeavours"	"p_bos_inspired_endeavours_global"	"DURATION[12];GLOBAL"
1759	0	"c_bos_nanban_slavers_SECOND_peer_respect"	"p_bos_peer_respect"	"DURATION[12];GLOBAL"
1764	0	"c_bos_rangaku_FIRST_breakthrough_civil_eng"	"p_bos_breakthrough_civil_eng"	"DURATION[12];GLOBAL"
1773	0	"c_bos_rangaku_FIRST_breakthrough_industrial_sci"	"p_bos_breakthrough_industrial_sci"	"DURATION[12];GLOBAL"
1779	0	"c_bos_rangaku_FIRST_breakthrough_medical_sci"	"p_bos_breakthrough_medical_sci"	"DURATION[12];GLOBAL"
1788	0	"c_bos_rangaku_FIRST_breakthrough_military_eng"	"p_bos_breakthrough_military_eng"	"DURATION[12];GLOBAL"
1794	0	"c_bos_rangaku_FIRST_foreign_boost"	"p_bos_foreign_boost"	"DURATION[12];GLOBAL"
18	0	"c_ambitious_traders_SECOND_thriving_markets"	"p_thriving_markets"	"DURATION[4]"
180	0	"c_intoxication_SECOND_lackluster_efforts"	"p_lackluster_efforts_local"	"DURATION[4]"
1803	0	"c_bos_rangaku_FIRST_peer_contempt"	"p_bos_peer_contempt"	"DURATION[12];GLOBAL"
1811	0	"c_bos_rangaku_FIRST_samurai_discontent"	"p_bos_samurai_discontent"	"DURATION[6];GLOBAL"
1812	0	"c_bos_rangaku_SECOND_foreign_setback"	"p_bos_foreign_setback"	"DURATION[12];GLOBAL"
1819	0	"c_bos_rangaku_SECOND_peer_respect"	"p_bos_peer_respect"	"DURATION[12];GLOBAL"
1826	0	"c_bos_rangaku_SECOND_samurai_satisfaction"	"p_bos_samurai_satisfaction"	"DURATION[6];GLOBAL"
1830	0	"c_bos_ronin_SECOND_ronin_marauders"	"p_bos_ronin_marauders_local"	"DURATION[6]"
1835	0	"c_bos_ronin_SECOND_ronin_marauders"	"TARGET"	"EVENT"
1842	0	"c_bos_sakai_incident_FIRST_anti_western_riots"	"p_anti_nanban_riots_local"	"DURATION[6]"
1846	0	"c_bos_sakai_incident_FIRST_anti_western_riots"	"TARGET"	"EVENT"
1847	0	"c_bos_sakai_incident_FIRST_disaffected_populace"	"p_bos_disaffected_populace_global"	"DURATION[6];GLOBAL"
1848	0	"c_bos_sakai_incident_FIRST_foreign_boost"	"p_bos_foreign_boost"	"DURATION[12];GLOBAL"
1850	0	"c_bos_sakai_incident_FIRST_french_reconcilliation"	"TREASURY"	"AMOUNT[1000]"
1855	0	"c_bos_sakai_incident_FIRST_grant_french_marines"	"SPAWN_UNIT"	"UNIT[Boshin_Inf_Elite_Infanterie_de_marine]"
1858	0	"c_bos_sakai_incident_FIRST_grant_french_marines"	"TARGET"	"CAPITAL"
1863	0	"c_bos_sakai_incident_SECOND_foreign_setback"	"p_bos_foreign_setback"	"DURATION[12];GLOBAL"
1866	0	"c_bos_sakai_incident_SECOND_inspired_endeavours"	"p_bos_inspired_endeavours_global"	"DURATION[12];GLOBAL"
1867	0	"c_bos_sensosai_FIRST_inspired_endeavours"	"p_bos_inspired_endeavours_global"	"DURATION[12];GLOBAL"
1868	0	"c_bos_shogun_province_security_FIRST_grant_shinsengumi"	"SPAWN_UNIT"	"UNIT[Boshin_Inf_Line_Shinsengumi]"
1869	0	"c_bos_shogun_province_security_FIRST_grant_shinsengumi"	"TARGET"	"EVENT"
1871	0	"c_bos_shogun_province_security_FIRST_grateful_populace"	"p_bos_grateful_populace_local"	"DURATION[12]"
1877	0	"c_bos_shogun_province_security_FIRST_grateful_populace"	"TARGET"	"EVENT"
188	0	"c_jizamurai_FIRST_vigilance"	"p_vigilance_global"	"DURATION[4]"
1883	0	"c_bos_shogun_province_security_FIRST_iron_fist"	"p_bos_iron_fist_local"	"DURATION[12]"
1885	0	"c_bos_shogun_province_security_FIRST_iron_fist"	"TARGET"	"EVENT"
189	0	"c_jizamurai_SECOND_war_fervour"	"p_war_fervour"	"DURATION[4]"
1890	0	"c_bos_shogun_province_security_SECOND_imperial_propaganda"	"p_bos_imperial_propaganda_local"	"DURATION[6]"
1897	0	"c_bos_shogun_province_security_SECOND_imperial_propaganda"	"TARGET"	"EVENT"
19	0	"c_auxiliary_supplies_FIRST_call_to_arms"	"p_call_to_arms"	"DURATION[4]"
1907	0	"c_bos_shogun_province_security_SECOND_rebellion"	"REBELLION"	"remove_me"
1915	0	"c_bos_shogun_province_security_SECOND_rebellion"	"TARGET"	"EVENT"
1921	0	"c_bos_shogun_shinsengumi_FIRST_grant_shinsengumi"	"SPAWN_UNIT"	"UNIT[Boshin_Inf_Line_Shinsengumi]"
1922	0	"c_bos_shogun_shinsengumi_FIRST_grant_shinsengumi"	"TARGET"	"CAPITAL"
1929	0	"c_bos_student_exchange_FIRST_foreign_boost"	"p_bos_foreign_boost"	"DURATION[12];GLOBAL"
1934	0	"c_bos_student_exchange_FIRST_grant_french_marines"	"SPAWN_UNIT"	"UNIT[Boshin_Inf_Elite_Infanterie_de_marine]"
1936	0	"c_bos_student_exchange_FIRST_grant_french_marines"	"TARGET"	"CAPITAL"
194	0	"c_land_dispute_FIRST_rebellion"	"REBELLION"	"remove_me"
1946	0	"c_bos_student_exchange_FIRST_grant_royal_marines"	"SPAWN_UNIT"	"UNIT[Boshin_Inf_Elite_Royal_Marines]"
1952	0	"c_bos_student_exchange_FIRST_grant_royal_marines"	"TARGET"	"CAPITAL"
1959	0	"c_bos_student_exchange_FIRST_grant_us_marines"	"SPAWN_UNIT"	"UNIT[Boshin_Inf_Elite_United_States_Marines]"
1963	0	"c_bos_student_exchange_FIRST_grant_us_marines"	"TARGET"	"CAPITAL"
1967	0	"c_bos_sword_abolishment_FIRST_brigandry"	"p_bos_brigandry_global"	"DURATION[6];GLOBAL"
197	0	"c_land_dispute_SECOND_rebellion"	"REBELLION"	"remove_me"
1974	0	"c_bos_sword_abolishment_FIRST_call_to_arms"	"p_bos_call_to_arms"	"DURATION[6];GLOBAL"
1979	0	"c_bos_sword_abolishment_FIRST_foreign_boost"	"p_bos_foreign_boost"	"DURATION[12];GLOBAL"
1980	0	"c_bos_sword_abolishment_FIRST_grateful_populace"	"p_bos_grateful_populace_global"	"DURATION[6];GLOBAL"
1986	0	"c_bos_sword_abolishment_FIRST_samurai_discontent"	"p_bos_samurai_discontent"	"DURATION[6];GLOBAL"
1988	0	"c_bos_sword_abolishment_SECOND_disaffected_populace"	"p_bos_disaffected_populace_global"	"DURATION[6];GLOBAL"
1991	0	"c_bos_sword_abolishment_SECOND_foreign_setback"	"p_bos_foreign_setback"	"DURATION[12];GLOBAL"
1999	0	"c_bos_sword_abolishment_SECOND_samurai_satisfaction"	"p_bos_samurai_satisfaction"	"DURATION[6];GLOBAL"
2000	0	"c_bos_western_exploitation_FIRST_foreign_boost"	"p_bos_foreign_boost"	"DURATION[12];GLOBAL"
2008	0	"c_bos_western_exploitation_FIRST_foreign_setback"	"p_bos_foreign_setback"	"DURATION[12];GLOBAL"
2017	0	"c_bos_westerners_attacked_FIRST_anti_western_riots"	"p_anti_nanban_riots_local"	"DURATION[6]"
202	0	"c_martial_priorities_FIRST_call_to_arms"	"p_call_to_arms"	"DURATION[8]"
2022	0	"c_bos_westerners_attacked_FIRST_anti_western_riots"	"TARGET"	"EVENT"
2029	0	"c_bos_westerners_attacked_FIRST_disaffected_populace"	"p_bos_disaffected_populace_global"	"DURATION[6];GLOBAL"
2030	0	"c_bos_westerners_attacked_FIRST_foreign_boost"	"p_bos_foreign_boost"	"DURATION[12];GLOBAL"
2034	0	"c_bos_westerners_attacked_SECOND_foreign_setback"	"p_bos_foreign_setback"	"DURATION[12];GLOBAL"
2041	0	"c_bos_westerners_attacked_SECOND_grateful_populace"	"p_bos_grateful_populace_global"	"DURATION[6];GLOBAL"
2049	0	"i_bos_eejanaika"	"p_bos_inspired_endeavours_global"	"DURATION[6];GLOBAL;ALL_FACTIONS"
2059	0	"i_bos_earthquake"	"p_bos_earthquake"	"DURATION[6]"
2062	0	"i_bos_earthquake"	"TARGET"	"EVENT"
2063	0	"i_bos_safeguard"	"p_bos_inspired_endeavours_local"	"DURATION[6]"
2067	0	"i_bos_safeguard"	"TARGET"	"EVENT"
2069	0	"i_bos_equipment_cache"	"p_bos_ample_supplies"	"DURATION[6];GLOBAL"
2071	0	"i_bos_great_fire"	"p_bos_fire"	"DURATION[6]"
2077	0	"i_bos_great_fire"	"TARGET"	"EVENT"
2079	0	"bos_intro_5_carry_on_imperial"	"TREASURY"	"AMOUNT[2000]"
2087	0	"bos_intro_5_carry_on_shogun"	"TREASURY"	"AMOUNT[2000]"
209	0	"c_martial_priorities_SECOND_vigilance"	"p_vigilance_global"	"DURATION[4]"
2091	0	"bos_intro_4b_incident_civil"	"p_bos_inspired_endeavours_global"	"DURATION[6];GLOBAL"
2093	0	"bos_intro_4a_incident_military"	"p_bos_call_to_arms"	"DURATION[6];GLOBAL"
2099	0	"i_otomo_religious_dissention"	"p_provincial_turmoil_local"	"DURATION[4]"
2108	0	"i_otomo_man_of_war"	"SPAWN_UNIT"	"UNIT[Galleon_Caravel]"
2111	0	"i_otomo_man_of_war"	"TARGET"	"CAPITAL"
2118	0	"c_otomo_baptism_FIRST_money"	"TREASURY"	"AMOUNT[2000]"
2119	0	"c_otomo_baptism_FIRST_nanban_ambassador"	"p_nanban_ambassador"	"DURATION[6]"
212	0	"c_merchant_accession_FIRST_disaffected_populace"	"p_disaffected_populace_global"	"DURATION[4]"
2121	0	"c_otomo_baptism_FIRST_anti_nanban_riots"	"p_anti_nanban_riots_global"	"DURATION[4]"
2127	0	"c_otomo_baptism_SECOND_nanban_ire"	"p_nanban_ire"	"DURATION[8]"
213	0	"c_merchant_accession_SECOND_merchant_discontent"	"p_merchant_discontent"	"DURATION[4]"
2137	0	"c_otomo_baptism_SECOND_grateful_populace"	"p_grateful_populace_global"	"DURATION[8]"
2139	0	"c_otomo_embassy_FIRST_nanban_ambassador"	"p_nanban_ambassador"	"DURATION[8]"
2145	0	"c_otomo_embassy_FIRST_nanban_ire"	"p_nanban_ire"	"DURATION[6]"
2148	0	"c_otomo_embassy_FIRST_word_of_god"	"p_word_of_god_global"	"DURATION[6]"
2152	0	"i_otomo_religious_dissention"	"TARGET"	"EVENT"
218	0	"i_research_balanced"	"p_research"	"DURATION[8]"
227	0	"i_research_specific_military"	"p_martial_wisdom"	"DURATION[6]"
231	0	"i_research_ratio_military"	"p_martial_wisdom"	"DURATION[6]"
234	0	"i_research_specific_civil"	"p_administrative_insight"	"DURATION[6]"
242	0	"i_research_ratio_civil"	"p_administrative_insight"	"DURATION[6]"
248	0	"i_dedicated_seafarer_able_sailors"	"p_able_sailors"	"DURATION[8]"
256	0	"i_dedicated_seafarer_master_shipwrights"	"p_master_shipwrights"	"DURATION[8]"
257	0	"i_dedicated_builder"	"p_master_builders"	"DURATION[8]"
266	0	"i_dedicated_trader"	"p_prosperity_global"	"DURATION[4]"
274	0	"i_foreign_trade_network"	"p_foreign_prosperity"	"DURATION[8]"
278	0	"i_clan_might"	"p_call_to_arms"	"DURATION[8]"
286	0	"i_agricultural_practices"	"p_plenty"	"DURATION[8]"
29	0	"c_auxiliary_supplies_SECOND_master_smithies"	"p_master_smithies"	"DURATION[4]"
292	0	"i_ashigaru_master"	"p_master_ashigaru"	"DURATION[8]"
296	0	"i_samurai_master"	"p_master_samurai"	"DURATION[8]"
298	0	"i_teeming_sea"	"p_abundant_catch_local"	"DURATION[4]"
30	0	"c_auxiliary_supplies_SECOND_merchant_discontent"	"p_merchant_discontent"	"DURATION[4]"
307	0	"i_equipment_cache"	"p_ample_supplies"	"DURATION[4]"
31	0	"c_better_agent_metsuke_FIRST_shogunal_deputy"	"p_shogunal_deputy"	"DURATION[8]"
314	0	"i_inspiration_farmers_daimyo"	"p_agrarian_toil_local"	"DURATION[4]"
317	0	"i_inspiration_builders_daimyo"	"p_taskmaster_local"	"DURATION[4]"
322	0	"i_inspiration_builders_development"	"p_taskmaster_local"	"DURATION[4]"
37	0	"c_better_agent_missionary_FIRST_nanban_ambassador"	"p_nanban_ambassador"	"DURATION[8]"
376	0	"i_monopoly_wood_shipwrights"	"p_master_shipwrights"	"DURATION[8]"
378	0	"i_monopoly_horse_cavalry"	"p_master_cavalry"	"DURATION[8]"
38	0	"c_conflict_beliefs_buddhist_FIRST_old_ways"	"p_old_ways"	"DURATION[4]"
386	0	"i_monopoly_horse_horsebreeders"	"p_master_horsebreeders"	"DURATION[8]"
389	0	"i_monopoly_iron_smiths"	"p_master_smithies"	"DURATION[8]"
399	0	"i_monopoly_iron_supplies"	"p_ample_supplies"	"DURATION[8]"
4	0	"c_ambitious_traders_FIRST_lucrative_shipping"	"p_lucrative_shipping"	"DURATION[4]"
403	0	"i_monopoly_stone_builders"	"p_master_builders"	"DURATION[8]"
406	0	"i_monopoly_blacksmiths_supplies"	"p_ample_supplies"	"DURATION[8]"
409	0	"i_monopoly_blacksmiths_smiths"	"p_master_smithies"	"DURATION[8]"
412	0	"i_safeguard"	"p_inspired_endeavours_local"	"DURATION[4]"
419	0	"c_meritorious_action_SECOND_loyalty"	"LOYALTY"	"AMOUNT[1]"
