version 5, schema battles_tables, guid f1cc110e-afc9-4192-b1bd-23a3623aacea
Map_Name(string)	Map_Type(string)	Is_Naval(boolean)	specification(string)	Thumbnail(optstring)	Unknown1(boolean)	team_size_1(int)	team_size_2(int)	release(boolean)	multiplayer(boolean)	Unknown6(boolean)	unknown12(optstring)	unknown13(int)	unknown14(float)	unknown15(boolean)	unknown16(boolean)
"Castle_FS_Hilly_Plane_Level_04"	"siege"	false	"BattleTerrain/presets/Castle_FS_Hilly_Plane_Level_04/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	false	true	nil	0	0.6	false	false
"Castle_FS_Mountain_Level_01"	"siege"	false	"BattleTerrain/presets/Castle_FS_Mountain_Level_01/"	nil	false	2	2	true	false	true	nil	0	0.8	false	false
"Castle_FS_Mountain_Level_02"	"siege"	false	"BattleTerrain/presets/Castle_FS_Mountain_Level_02/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	false	true	nil	0	0.6	false	false
"Castle_FS_Mountain_Level_03"	"siege"	false	"BattleTerrain/presets/Castle_FS_Mountain_Level_03/"	nil	false	2	2	true	true	true	nil	0	0.6	false	true
"Castle_FS_Mountain_Level_04"	"siege"	false	"BattleTerrain/presets/Castle_FS_Mountain_Level_04/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	false	true	nil	0	0.6	false	false
"Castle_FS_Plane_Level_01"	"siege"	false	"BattleTerrain/presets/Castle_FS_Plane_Level_01/"	nil	false	2	2	true	false	true	nil	0	0.8	false	false
"Castle_FS_Plane_Level_02"	"siege"	false	"BattleTerrain/presets/Castle_FS_Plane_Level_02/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	false	true	nil	0	0.6	false	false
"Castle_FS_Plane_Level_03"	"siege"	false	"BattleTerrain/presets/Castle_FS_Plane_Level_03/"	nil	false	2	2	true	true	true	nil	0	0.6	false	true
"Castle_FS_Plane_Level_04"	"siege"	false	"BattleTerrain/presets/Castle_FS_Plane_Level_04/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	false	false	nil	0	0.6	false	false
"Castle_Hilly_Coast_Level_01"	"siege"	false	"BattleTerrain/presets/Castle_Hilly_Coastal_Level_01/"	"BattleTerrain/presets/screenshot_small.tga"	false	2	2	false	true	true	nil	0	0.6	false	false
"Castle_Hilly_Coast_Level_02"	"siege"	false	"BattleTerrain/presets/Castle_Hilly_Coastal_Level_02/"	"BattleTerrain/presets/screenshot_small.tga"	false	2	2	false	true	true	nil	0	0.6	false	false
"Castle_Hilly_Coast_Level_03"	"siege"	false	"BattleTerrain/presets/Castle_Hilly_Coastal_Level_03/"	"BattleTerrain/presets/screenshot_small.tga"	false	2	2	false	true	true	nil	0	0.6	false	false
"Castle_Hilly_Coast_Level_04"	"siege"	false	"BattleTerrain/presets/Castle_Hilly_Coastal_Level_04/"	"BattleTerrain/presets/screenshot_small.tga"	false	2	2	false	true	true	nil	0	0.6	false	false
"Castle_Hilly_Coast_Level_05"	"siege"	false	"BattleTerrain/presets/Castle_Hilly_Coastal_Level_05/"	"BattleTerrain/presets/screenshot_small.tga"	false	3	3	false	true	true	nil	0	0.6	false	false
"Castle_Hilly_Coast_Level_06"	"siege"	false	"BattleTerrain/presets/Castle_Hilly_Coastal_Level_06/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	true	true	nil	0	0.6	false	false
"Castle_Hilly_Plane_Level_01"	"siege"	false	"BattleTerrain/presets/Castle_Hilly_Plane_Level_01/"	"BattleTerrain/presets/screenshot_small.tga"	false	4	4	false	true	true	nil	0	0.6	false	false
"Castle_Hilly_Plane_Level_02"	"siege"	false	"BattleTerrain/presets/Castle_Hilly_Plane_Level_02/"	nil	false	2	2	true	true	true	nil	0	0.6	false	true
"Castle_Hilly_Plane_Level_03"	"siege"	false	"BattleTerrain/presets/Castle_Hilly_Plane_Level_03/"	"BattleTerrain/presets/screenshot_small.tga"	false	4	4	false	true	true	nil	0	0.6	false	false
"Castle_Hilly_Plane_Level_04"	"siege"	false	"BattleTerrain/presets/Castle_Hilly_Plane_Level_04/"	"BattleTerrain/presets/screenshot_small.tga"	false	4	4	false	true	true	nil	0	0.6	false	false
"Castle_Hilly_Plane_Level_05"	"siege"	false	"BattleTerrain/presets/Castle_Hilly_Plane_Level_05/"	nil	false	3	3	true	true	true	nil	0	0.6	false	true
"Castle_Hilly_Plane_Level_06"	"siege"	false	"BattleTerrain/presets/Castle_Hilly_Plane_Level_06/"	"BattleTerrain/presets/Castle_Hilly_Plane_Level_06/screenshot_small.tga"	false	3	3	true	true	true	nil	0	0.5	false	true
"Castle_Kyoto"	"siege"	false	"BattleTerrain/presets/Castle_Kyoto/"	nil	false	4	4	true	true	true	nil	0	0.6	false	true
"Castle_Kyoto_Level_06"	"siege"	false	"BattleTerrain/presets/Castle_Kyoto_Level_06/"	nil	false	4	4	true	false	true	nil	0	0.6	false	true
"Castle_MP_Buatsui"	"siege"	false	"BattleTerrain/presets/Castle_MP_Buatsui/"	nil	false	4	4	true	true	true	nil	0	0.6	false	true
"Castle_Mountain_Level_01"	"siege"	false	"BattleTerrain/presets/Castle_Mountain_Level_01/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	true	true	nil	0	0.6	false	false
"Castle_Mountain_Level_02"	"siege"	false	"BattleTerrain/presets/Castle_Mountain_Level_02/"	nil	false	2	2	true	true	true	nil	0	0.6	false	true
"Castle_Mountain_Level_03"	"siege"	false	"BattleTerrain/presets/Castle_Mountain_Level_03/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	true	true	nil	0	0.6	false	false
"Castle_Mountain_Level_04"	"siege"	false	"BattleTerrain/presets/Castle_Mountain_Level_04/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	true	true	nil	0	0.6	false	false
"Castle_Mountain_Level_05"	"siege"	false	"BattleTerrain/presets/Castle_Mountain_Level_05/"	nil	false	3	3	true	true	true	nil	0	0.6	false	true
"Castle_Mountain_Level_06"	"siege"	false	"BattleTerrain/presets/Castle_Mountain_Level_06/"	"BattleTerrain/presets/Castle_Mountain_Level_06/screenshot_small.tga"	false	3	3	true	true	true	nil	0	0.5	false	true
"Castle_Mountain_Version_02_Level_01"	"siege"	false	"BattleTerrain/presets/Castle_Mountain_Version_02_Level_01/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	true	true	nil	0	0.6	false	false
"Castle_Mountain_Version_02_Level_02"	"siege"	false	"BattleTerrain/presets/Castle_Mountain_Version_02_Level_02/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	true	true	nil	0	0.6	false	false
"Castle_Mountain_Version_02_Level_03"	"siege"	false	"BattleTerrain/presets/Castle_Mountain_Version_02_Level_03/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	true	true	nil	0	0.6	false	false
"Castle_Mountain_Version_02_Level_04"	"siege"	false	"BattleTerrain/presets/Castle_Mountain_Version_02_Level_04/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	true	true	nil	0	0.6	false	false
"Castle_Mountain_Version_02_Level_05"	"siege"	false	"BattleTerrain/presets/Castle_Mountain_Version_02_Level_05/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	true	true	nil	0	0.6	false	false
"Castle_Mountain_Version_02_Level_06"	"siege"	false	"BattleTerrain/presets/Castle_Mountain_Version_02_Level_06/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	true	true	nil	0	0.6	false	false
"Castle_Mountain_Version_03_Level_01"	"siege"	false	"BattleTerrain/presets/Castle_Mountain_Version_03_Level_01/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	true	true	nil	0	0.6	false	false
"Castle_Mountain_Version_03_Level_02"	"siege"	false	"BattleTerrain/presets/Castle_Mountain_Version_03_Level_02/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	true	true	nil	0	0.6	false	false
"Castle_Mountain_Version_03_Level_03"	"siege"	false	"BattleTerrain/presets/Castle_Mountain_Version_03_Level_03/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	true	true	nil	0	0.6	false	false
"Castle_Mountain_Version_03_Level_04"	"siege"	false	"BattleTerrain/presets/Castle_Mountain_Version_03_Level_04/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	true	true	nil	0	0.6	false	false
"Castle_Mountain_Version_03_Level_05"	"siege"	false	"BattleTerrain/presets/Castle_Mountain_Version_03_Level_05/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	true	true	nil	0	0.6	false	false
"Castle_Mountain_Version_03_Level_06"	"siege"	false	"BattleTerrain/presets/Castle_Mountain_Version_03_Level_06/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	true	true	nil	0	0.6	false	false
"Castle_Plane_Level_01"	"siege"	false	"BattleTerrain/presets/Castle_Plane_Level_01/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	true	true	nil	0	0.6	false	false
"Castle_Plane_Level_02"	"siege"	false	"BattleTerrain/presets/Castle_Plane_Level_02/"	nil	false	2	2	true	true	true	nil	0	0.6	false	true
"Castle_Plane_Level_03"	"siege"	false	"BattleTerrain/presets/Castle_Plane_Level_03/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	true	true	nil	0	0.6	false	false
"Castle_Plane_Level_04"	"siege"	false	"BattleTerrain/presets/Castle_Plane_Level_04/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	true	true	nil	0	0.6	false	false
"Castle_Plane_Level_05"	"siege"	false	"BattleTerrain/presets/Castle_Plane_Level_05/"	nil	false	3	3	true	true	true	nil	0	0.6	false	true
"Castle_Plane_Level_06"	"siege"	false	"BattleTerrain/presets/Castle_Plane_Level_06/"	"BattleTerrain/presets/Castle_Plane_Level_06/screenshot_small.tga"	false	3	3	true	true	true	nil	0	0.5	false	true
"Compound_Test"	"classic"	false	"BattleTerrain/presets/Compound_Test/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	true	true	nil	0	1	false	false
"Hakodate"	"napoleon_historic"	false	"Shogun_Historical_Battles/Hakodate/HA_Battle.xml"	"BattleTerrain/Presets/HB_Hakodate/screenshot_small.tga"	false	1	1	false	false	false	nil	1869	1	false	false
"Kawagoe"	"napoleon_historic"	false	"Shogun_Historical_Battles/Kawagoe/Kawagoe.xml"	"BattleTerrain/presets/Kawagoe/screenshot_small.tga"	false	4	2	true	false	false	nil	1545	1	false	false
"Kawanakajima"	"napoleon_historic"	false	"Shogun_Historical_Battles/Kawanakajima/Kawanakajima_Battle.xml"	"BattleTerrain/Presets/hb_kawanakajima/screenshot_small.tga"	false	1	1	true	false	true	nil	1561	1	false	false
"Key_Buildings"	"classic"	false	"BattleTerrain/presets/Key_Buildings/"	"BattleTerrain/presets/Key_Buildings/screenshot_small.tga"	false	1	1	false	true	true	nil	0	1	true	false
"Kizugawaguchi"	"napoleon_historic"	true	"Shogun_Historical_Battles/Kizugawaguchi/Kizugawaguchi.xml"	"BattleTerrain/presets/Kizugawaguchi/screenshot_small.tga"	false	1	1	true	false	true	nil	1578	1	false	false
"Miyako_Bay"	"napoleon_historic"	true	"Shogun_Historical_Battles/Miyako_Bay/MB_Battle.xml"	"BattleTerrain/Presets/HB_Miyako_Bay/screenshot_small.tga"	false	1	1	false	false	false	nil	1869	1	false	false
"Nagashima"	"napoleon_historic"	false	"Shogun_Historical_Battles/Nagashima/Nagashima_Battle.xml"	"BattleTerrain/Presets/hb_nagashima/screenshot_small.tga"	false	1	1	true	false	true	nil	1574	1	false	false
"Nagashino"	"napoleon_historic"	false	"Shogun_Historical_Battles/Nagashino/Nagashino_Battle.xml"	"BattleTerrain/Presets/hb_nagashino/screenshot_small.tga"	false	1	1	true	false	true	nil	1575	1	false	false
"Naval_AI_Test_01"	"naval"	true	"BattleTerrain/presets/naval_ai_test_01/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	false	true	nil	0	1	false	false
"Naval_AI_Test_02"	"naval"	true	"BattleTerrain/presets/naval_ai_test_02/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	false	true	nil	0	1	false	false
"Naval_Test_01"	"naval"	true	"BattleTerrain/presets/Naval_Test_01/"	nil	false	1	1	false	true	true	nil	0	1	false	false
"Naval_Test_02"	"naval"	true	"BattleTerrain/presets/Naval_Test_02/"	nil	false	1	1	false	true	true	nil	0	1	false	false
"Naval_Test_03"	"naval"	true	"BattleTerrain/presets/Naval_Test_03/"	nil	false	1	1	false	true	true	nil	0	1	false	false
"Okehazama"	"napoleon_historic"	false	"Shogun_Historical_Battles/Okehazama/Okehazama_Battle.xml"	"BattleTerrain/Presets/hb_okehazama/screenshot_small.tga"	false	1	1	true	false	true	nil	1560	1	false	false
"Operation_santa"	"classic"	false	"BattleTerrain/presets/Operation_santa/"	"BattleTerrain/Presets/Operation_Santa/screenshot_small.tga"	false	4	4	true	true	false	nil	0	0	true	false
"Operation_santa_no_kbs"	"classic"	false	"BattleTerrain/presets/Operation_santa_no_kbs/"	"BattleTerrain/Presets/Operation_Santa_no_kbs/screenshot_small.tga"	false	4	4	true	true	true	nil	0	0	false	false
"Osaka"	"napoleon_historic"	false	"Shogun_Historical_Battles/Osaka/OS_Battle.xml"	"BattleTerrain/presets/HB_Osaka/screenshot_small.tga"	false	1	1	true	false	true	nil	1868	1	false	false
"SHO_E3_Battle"	"classic"	false	"Shogun_Historical_Battles/E3/E3_Battle.xml"	"BattleTerrain/Presets/E3_Battle/screenshot_small.tga"	false	1	1	false	false	true	nil	1565	1	false	false
"SHO_E3_Naval"	"classic"	true	"Shogun_Historical_Battles/E3_Naval/E3_Naval.xml"	nil	false	1	1	false	false	true	nil	1600	1	false	false
"Sekigahara"	"napoleon_historic"	false	"Shogun_Historical_Battles/Sekigahara/Sekigahara_Battle.xml"	"BattleTerrain/Presets/hb_sekigahara/screenshot_small.tga"	false	1	1	true	false	true	nil	1600	1	false	false
"TUTORIAL_Battle_Ashigaru"	"Tutorial"	false	"TutorialBattles/TUT_Battle_Ashigaru.xml"	nil	false	1	1	true	false	false	nil	0	1	false	false
"TUTORIAL_Battle_Samurai"	"Tutorial"	false	"TutorialBattles/TUT_Battle_Samurai.xml"	nil	false	1	1	true	false	false	nil	0	1	false	false
"TUTORIAL_Battle_Shogun"	"Tutorial"	false	"TutorialBattles/TUT_Battle_Shogun.xml"	nil	false	1	1	true	false	false	nil	0	1	false	false
"TUTORIAL_Naval_Ashigaru"	"Tutorial"	true	"TutorialBattles/TUT_Naval_Ashigaru.xml"	nil	false	1	1	true	false	false	nil	0	1	false	false
"TUTORIAL_Naval_Shogun"	"Tutorial"	true	"TutorialBattles/TUT_Naval_Shogun.xml"	nil	false	1	1	true	false	false	nil	0	1	false	false
"Toba_Fushimi"	"napoleon_historic"	false	"Shogun_Historical_Battles/Toba-Fushimi/TF_Battle.xml"	"BattleTerrain/Presets/HB_Toba_Fushimi/screenshot_small.tga"	false	1	1	false	false	false	nil	1868	1	false	false
"Tower_Test"	"classic"	false	"BattleTerrain/presets/Tower_Test/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	true	true	nil	0	1	false	false
"Ueno"	"napoleon_historic"	false	"Shogun_Historical_Battles/Ueno/UE_Battle.xml"	"BattleTerrain/Presets/HB_Ueno/screenshot_small.tga"	false	1	1	false	false	false	nil	1868	1	false	false
"range_test_map"	"classic"	false	"BattleTerrain/presets/range_test_map/"	nil	false	4	4	false	true	true	nil	0	1	false	false
"scs_enemystate_a03"	"classic"	false	"BattleTerrain/presets/scs_enemystate_a03/"	nil	false	1	1	false	true	true	nil	0	1	false	false
"sho_mp_aki"	"classic"	false	"BattleTerrain/presets/sho_mp_aki/"	"BattleTerrain/presets/sho_mp_aki/screenshot_small.tga"	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_aki_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_aki_no_kbs/"	"BattleTerrain/presets/sho_mp_aki_no_kbs/screenshot_small.tga"	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_alpine_ridge"	"classic"	false	"BattleTerrain/presets/sho_mp_alpine_ridge/"	"BattleTerrain/presets/sho_mp_alpine_ridge/screenshot_small.tga"	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_alpine_ridge_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_alpine_ridge_no_kbs/"	"BattleTerrain/presets/sho_mp_alpine_ridge_no_kbs/screenshot_small.tga"	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_bay_of_many_faces"	"classic"	false	"BattleTerrain/presets/sho_mp_bay_of_many_faces/"	nil	false	3	3	true	true	false	nil	0	1	true	true
"sho_mp_boshin_gifu"	"classic"	false	"BattleTerrain/presets/sho_mp_boshin_gifu/"	"BattleTerrain/presets/sho_mp_boshin_gifu/screenshot_small.tga"	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_boshin_gifu_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_boshin_gifu_no_kbs/"	"BattleTerrain/presets/sho_mp_boshin_gifu_no_kbs/screenshot_small.tga"	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_boshin_happo_ridge"	"classic"	false	"BattleTerrain/presets/sho_mp_boshin_happo_ridge/"	"BattleTerrain/presets/sho_mp_boshin_happo_ridge/screenshot_small.tga"	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_boshin_happo_ridge_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_boshin_happo_ridge_no_kbs/"	"BattleTerrain/presets/sho_mp_boshin_happo_ridge_no_kbs/screenshot_small.tga"	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_boshin_ishiyama_ruins"	"classic"	false	"BattleTerrain/presets/sho_mp_boshin_ishiyama_ruins/"	"BattleTerrain/presets/sho_mp_boshin_ishiyama_ruins/screenshot_small.tga"	false	2	2	true	true	false	nil	0	1	true	true
"sho_mp_boshin_ishiyama_ruins_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_boshin_ishiyama_ruins_no_kbs/"	"BattleTerrain/presets/sho_mp_boshin_ishiyama_ruins_no_kbs/screenshot_small.tga"	false	2	2	true	true	true	nil	0	1	false	false
"sho_mp_boshin_iwaki_foothills"	"classic"	false	"BattleTerrain/presets/sho_mp_boshin_iwaki_foothills/"	"BattleTerrain/presets/sho_mp_boshin_iwaki_foothills/screenshot_small.tga"	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_boshin_iwaki_foothills_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_boshin_iwaki_foothills_no_kbs/"	"BattleTerrain/presets/sho_mp_boshin_iwaki_foothills_no_kbs/screenshot_small.tga"	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_boshin_jigokudani_valley"	"classic"	false	"BattleTerrain/presets/sho_mp_boshin_jigokudani_valley/"	"BattleTerrain/presets/sho_mp_boshin_jigokudani_valley/screenshot_small.tga"	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_boshin_jigokudani_valley_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_boshin_jigokudani_valley_no_kbs/"	"BattleTerrain/presets/sho_mp_boshin_jigokudani_valley_no_kbs/screenshot_small.tga"	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_boshin_kawabe_river"	"classic"	false	"BattleTerrain/presets/sho_mp_boshin_kawabe_river/"	"BattleTerrain/presets/sho_mp_boshin_kawabe_river/screenshot_small.tga"	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_boshin_kawabe_river_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_boshin_kawabe_river_no_kbs/"	"BattleTerrain/presets/sho_mp_boshin_kawabe_river_no_kbs/screenshot_small.tga"	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_boshin_kurobe_gorge"	"classic"	false	"BattleTerrain/presets/sho_mp_boshin_kurobe_gorge/"	"BattleTerrain/presets/sho_mp_boshin_kurobe_gorge/screenshot_small.tga"	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_boshin_kurobe_gorge_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_boshin_kurobe_gorge_no_kbs/"	"BattleTerrain/presets/sho_mp_boshin_kurobe_gorge_no_kbs/screenshot_small.tga"	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_boshin_naval_hokuriki_coast"	"naval"	true	"BattleTerrain/presets/sho_mp_boshin_naval_hokuriki_coast/"	"BattleTerrain/presets/sho_mp_boshin_naval_hokuriki_coast/screenshot_small.tga"	false	2	2	true	true	false	nil	0	1	true	true
"sho_mp_boshin_naval_hokuriki_coast_no_kbs"	"naval"	true	"BattleTerrain/presets/sho_mp_boshin_naval_hokuriki_coast_no_kbs/"	"BattleTerrain/presets/sho_mp_boshin_naval_hokuriki_coast_no_kbs/screenshot_small.tga"	false	2	2	true	true	true	nil	0	1	false	false
"sho_mp_boshin_naval_sea_of_japan"	"naval"	true	"BattleTerrain/presets/sho_mp_boshin_naval_sea_of_japan/"	"BattleTerrain/presets/sho_mp_boshin_naval_sea_of_japan/screenshot_small.tga"	false	4	4	true	true	true	nil	0	0	false	true
"sho_mp_boshin_naval_seto_inland_sea"	"naval"	true	"BattleTerrain/presets/sho_mp_boshin_naval_seto_inland_sea/"	"BattleTerrain/presets/sho_mp_boshin_naval_seto_inland_sea/screenshot_small.tga"	false	2	2	true	true	false	nil	0	1	true	true
"sho_mp_boshin_naval_seto_inland_sea_no_kbs"	"naval"	true	"BattleTerrain/presets/sho_mp_boshin_naval_seto_inland_sea_no_kbs/"	"BattleTerrain/presets/sho_mp_boshin_naval_seto_inland_sea_no_kbs/screenshot_small.tga"	false	2	2	true	true	true	nil	0	1	false	false
"sho_mp_boshin_naval_tohoku_sea"	"naval"	true	"BattleTerrain/presets/sho_mp_boshin_naval_tohoku_sea/"	"BattleTerrain/presets/sho_mp_boshin_naval_tohoku_sea/screenshot_small.tga"	false	2	2	true	true	false	nil	0	1	true	true
"sho_mp_boshin_naval_tohoku_sea_no_kbs"	"naval"	true	"BattleTerrain/presets/sho_mp_boshin_naval_tohoku_sea_no_kbs/"	"BattleTerrain/presets/sho_mp_boshin_naval_tohoku_sea_no_kbs/screenshot_small.tga"	false	2	2	true	true	true	nil	0	1	false	false
"sho_mp_boshin_naval_tokai_coast"	"naval"	true	"BattleTerrain/presets/sho_mp_boshin_naval_tokai_coast/"	"BattleTerrain/presets/sho_mp_boshin_naval_tokai_coast/screenshot_small.tga"	false	2	2	true	true	false	nil	0	1	true	true
"sho_mp_boshin_naval_tokai_coast_no_kbs"	"naval"	true	"BattleTerrain/presets/sho_mp_boshin_naval_tokai_coast_no_kbs/"	"BattleTerrain/presets/sho_mp_boshin_naval_tokai_coast_no_kbs/screenshot_small.tga"	false	2	2	true	true	true	nil	0	1	false	false
"sho_mp_boshin_naval_tsugaru_straits"	"naval"	true	"BattleTerrain/presets/sho_mp_boshin_naval_tsugaru_straits/"	"BattleTerrain/presets/sho_mp_boshin_naval_tsugaru_straits/screenshot_small.tga"	false	2	2	true	true	false	nil	0	1	true	true
"sho_mp_boshin_naval_tsugaru_straits_no_kbs"	"naval"	true	"BattleTerrain/presets/sho_mp_boshin_naval_tsugaru_straits_no_kbs/"	"BattleTerrain/presets/sho_mp_boshin_naval_tsugaru_straits_no_kbs/screenshot_small.tga"	false	2	2	true	true	true	nil	0	1	false	false
