version 1, schema unit_regiment_names_tables
Regiment_Name(string)	Unit_x0020_Class(string)	unknown2(string)	unknown3(int)
"names_english"	"artillery_horse"	"euro_artillery_units_006"	6
"names_english"	"artillery_horse"	"euro_artillery_units_007"	7
"names_english"	"artillery_horse"	"euro_artillery_units_008"	8
"names_english"	"artillery_horse"	"euro_artillery_units_009"	9
"names_english"	"artillery_horse"	"euro_artillery_units_010"	10
"names_english"	"artillery_horse"	"euro_artillery_units_011"	11
"names_english"	"artillery_horse"	"euro_artillery_units_012"	12
"names_english"	"artillery_horse"	"euro_artillery_units_013"	13
"names_english"	"artillery_horse"	"euro_artillery_units_014"	14
"names_english"	"artillery_horse"	"euro_artillery_units_015"	15
"names_english"	"artillery_horse"	"euro_artillery_units_016"	16
"names_english"	"artillery_horse"	"euro_artillery_units_017"	17
"names_english"	"artillery_horse"	"euro_artillery_units_018"	18
"names_english"	"artillery_horse"	"euro_artillery_units_019"	19
"names_english"	"artillery_horse"	"euro_artillery_units_020"	20
"names_english"	"artillery_horse"	"euro_artillery_units_021"	21
"names_english"	"artillery_horse"	"euro_artillery_units_022"	22
"names_english"	"artillery_horse"	"euro_artillery_units_023"	23
"names_english"	"artillery_horse"	"euro_artillery_units_024"	24
"names_english"	"artillery_horse"	"euro_artillery_units_025"	25
"names_english"	"artillery_horse"	"euro_artillery_units_026"	26
"names_english"	"artillery_horse"	"euro_artillery_units_027"	27
"names_english"	"artillery_horse"	"euro_artillery_units_028"	28
"names_english"	"artillery_horse"	"euro_artillery_units_029"	29
"names_english"	"artillery_horse"	"euro_artillery_units_030"	30
"names_english"	"artillery_horse"	"euro_artillery_units_031"	31
"names_english"	"artillery_horse"	"euro_artillery_units_032"	32
"names_english"	"artillery_horse"	"euro_artillery_units_033"	33
"names_english"	"artillery_horse"	"euro_artillery_units_034"	34
"names_english"	"artillery_horse"	"euro_artillery_units_035"	35
"names_english"	"artillery_horse"	"euro_artillery_units_036"	36
"names_english"	"artillery_horse"	"euro_artillery_units_037"	37
"names_english"	"artillery_horse"	"euro_artillery_units_038"	38
"names_english"	"artillery_horse"	"euro_artillery_units_039"	39
"names_english"	"artillery_horse"	"euro_artillery_units_040"	40
"names_english"	"artillery_horse"	"euro_artillery_units_041"	41
"names_english"	"artillery_horse"	"euro_artillery_units_042"	42
"names_english"	"artillery_horse"	"euro_artillery_units_043"	43
"names_english"	"artillery_horse"	"euro_artillery_units_044"	44
"names_english"	"artillery_horse"	"euro_artillery_units_045"	45
"names_english"	"artillery_horse"	"euro_artillery_units_046"	46
"names_english"	"artillery_horse"	"euro_artillery_units_047"	47
"names_english"	"artillery_horse"	"euro_artillery_units_048"	48
"names_english"	"artillery_horse"	"euro_artillery_units_049"	49
"names_english"	"artillery_horse"	"euro_artillery_units_050"	50
"names_english"	"artillery_horse"	"euro_artillery_units_051"	-1
"names_english"	"cavalry_heavy"	"euro_cavalry_units_102"	1
"names_english"	"cavalry_heavy"	"euro_cavalry_units_103"	2
"names_english"	"cavalry_heavy"	"euro_cavalry_units_104"	3
"names_english"	"cavalry_heavy"	"euro_cavalry_units_105"	4
"names_english"	"cavalry_heavy"	"euro_cavalry_units_106"	5
"names_english"	"cavalry_heavy"	"euro_cavalry_units_107"	6
"names_english"	"cavalry_heavy"	"euro_cavalry_units_108"	7
"names_english"	"cavalry_heavy"	"euro_cavalry_units_109"	8
"names_english"	"cavalry_heavy"	"euro_cavalry_units_110"	9
"names_english"	"cavalry_heavy"	"euro_cavalry_units_111"	10
"names_english"	"cavalry_heavy"	"euro_cavalry_units_112"	11
"names_english"	"cavalry_heavy"	"euro_cavalry_units_113"	12
"names_english"	"cavalry_heavy"	"euro_cavalry_units_114"	13
"names_english"	"cavalry_heavy"	"euro_cavalry_units_115"	14
"names_english"	"cavalry_heavy"	"euro_cavalry_units_116"	15
"names_english"	"cavalry_heavy"	"euro_cavalry_units_117"	16
"names_english"	"cavalry_heavy"	"euro_cavalry_units_118"	17
"names_english"	"cavalry_heavy"	"euro_cavalry_units_119"	18
"names_english"	"cavalry_heavy"	"euro_cavalry_units_120"	19
"names_english"	"cavalry_heavy"	"euro_cavalry_units_121"	20
"names_english"	"cavalry_heavy"	"euro_cavalry_units_122"	21
"names_english"	"cavalry_heavy"	"euro_cavalry_units_123"	22
"names_english"	"cavalry_heavy"	"euro_cavalry_units_124"	23
"names_english"	"cavalry_heavy"	"euro_cavalry_units_125"	24
"names_english"	"cavalry_heavy"	"euro_cavalry_units_126"	25
"names_english"	"cavalry_heavy"	"euro_cavalry_units_127"	26
"names_english"	"cavalry_heavy"	"euro_cavalry_units_128"	27
"names_english"	"cavalry_heavy"	"euro_cavalry_units_129"	28
"names_english"	"cavalry_heavy"	"euro_cavalry_units_130"	29
"names_english"	"cavalry_heavy"	"euro_cavalry_units_131"	30
"names_english"	"cavalry_heavy"	"euro_cavalry_units_132"	31
"names_english"	"cavalry_heavy"	"euro_cavalry_units_133"	32
"names_english"	"cavalry_heavy"	"euro_cavalry_units_134"	33
"names_english"	"cavalry_heavy"	"euro_cavalry_units_135"	34
"names_english"	"cavalry_heavy"	"euro_cavalry_units_136"	35
"names_english"	"cavalry_heavy"	"euro_cavalry_units_137"	36
"names_english"	"cavalry_heavy"	"euro_cavalry_units_138"	37
"names_english"	"cavalry_heavy"	"euro_cavalry_units_139"	38
"names_english"	"cavalry_heavy"	"euro_cavalry_units_140"	39
"names_english"	"cavalry_heavy"	"euro_cavalry_units_141"	40
"names_english"	"cavalry_heavy"	"euro_cavalry_units_142"	41
"names_english"	"cavalry_heavy"	"euro_cavalry_units_143"	42
"names_english"	"cavalry_heavy"	"euro_cavalry_units_144"	43
"names_english"	"cavalry_heavy"	"euro_cavalry_units_145"	44
"names_english"	"cavalry_heavy"	"euro_cavalry_units_146"	45
"names_english"	"cavalry_heavy"	"euro_cavalry_units_147"	46
"names_english"	"cavalry_heavy"	"euro_cavalry_units_148"	47
"names_english"	"cavalry_heavy"	"euro_cavalry_units_149"	48
"names_english"	"cavalry_heavy"	"euro_cavalry_units_150"	49
"names_english"	"cavalry_heavy"	"euro_cavalry_units_151"	50
"names_english"	"cavalry_heavy"	"euro_cavalry_units_152"	-1
"names_english"	"cavalry_lancers"	"euro_lancers_units_001"	1
"names_english"	"cavalry_lancers"	"euro_lancers_units_002"	2
"names_english"	"cavalry_lancers"	"euro_lancers_units_003"	3
"names_english"	"cavalry_lancers"	"euro_lancers_units_004"	4
"names_english"	"cavalry_lancers"	"euro_lancers_units_005"	5
"names_english"	"cavalry_lancers"	"euro_lancers_units_006"	6
"names_english"	"cavalry_lancers"	"euro_lancers_units_007"	7
"names_english"	"cavalry_lancers"	"euro_lancers_units_008"	8
"names_english"	"cavalry_lancers"	"euro_lancers_units_009"	9
"names_english"	"cavalry_lancers"	"euro_lancers_units_010"	10
"names_english"	"cavalry_lancers"	"euro_lancers_units_011"	11
"names_english"	"cavalry_lancers"	"euro_lancers_units_012"	12
"names_english"	"cavalry_lancers"	"euro_lancers_units_013"	13
"names_english"	"cavalry_lancers"	"euro_lancers_units_014"	14
"names_english"	"cavalry_lancers"	"euro_lancers_units_015"	15
"names_english"	"cavalry_lancers"	"euro_lancers_units_016"	16
"names_english"	"cavalry_lancers"	"euro_lancers_units_017"	17
"names_english"	"cavalry_lancers"	"euro_lancers_units_018"	18
"names_english"	"cavalry_lancers"	"euro_lancers_units_019"	19
"names_english"	"cavalry_lancers"	"euro_lancers_units_020"	20
"names_english"	"cavalry_lancers"	"euro_lancers_units_021"	21
"names_english"	"cavalry_lancers"	"euro_lancers_units_022"	22
"names_english"	"cavalry_lancers"	"euro_lancers_units_023"	23
"names_english"	"cavalry_lancers"	"euro_lancers_units_024"	24
"names_english"	"cavalry_lancers"	"euro_lancers_units_025"	25
"names_english"	"cavalry_lancers"	"euro_lancers_units_026"	26
"names_english"	"cavalry_lancers"	"euro_lancers_units_027"	27
"names_english"	"cavalry_lancers"	"euro_lancers_units_028"	28
"names_english"	"cavalry_lancers"	"euro_lancers_units_029"	29
"names_english"	"cavalry_lancers"	"euro_lancers_units_030"	30
"names_english"	"cavalry_lancers"	"euro_lancers_units_031"	31
"names_english"	"cavalry_lancers"	"euro_lancers_units_032"	32
"names_english"	"cavalry_lancers"	"euro_lancers_units_033"	33
"names_english"	"cavalry_lancers"	"euro_lancers_units_034"	34
"names_english"	"cavalry_lancers"	"euro_lancers_units_035"	35
"names_english"	"cavalry_lancers"	"euro_lancers_units_036"	36
"names_english"	"cavalry_lancers"	"euro_lancers_units_037"	37
"names_english"	"cavalry_lancers"	"euro_lancers_units_038"	38
"names_english"	"cavalry_lancers"	"euro_lancers_units_039"	39
"names_english"	"cavalry_lancers"	"euro_lancers_units_040"	40
"names_english"	"cavalry_lancers"	"euro_lancers_units_041"	41
"names_english"	"cavalry_lancers"	"euro_lancers_units_042"	42
"names_english"	"cavalry_lancers"	"euro_lancers_units_043"	43
"names_english"	"cavalry_lancers"	"euro_lancers_units_044"	44
"names_english"	"cavalry_lancers"	"euro_lancers_units_045"	45
"names_english"	"cavalry_lancers"	"euro_lancers_units_046"	46
"names_english"	"cavalry_lancers"	"euro_lancers_units_047"	47
"names_english"	"cavalry_lancers"	"euro_lancers_units_048"	48
"names_english"	"cavalry_lancers"	"euro_lancers_units_049"	49
"names_english"	"cavalry_lancers"	"euro_lancers_units_050"	50
"names_english"	"cavalry_lancers"	"euro_lancers_units_051"	-1
"names_english"	"cavalry_light"	"euro_light_horse_001"	1
"names_english"	"cavalry_light"	"euro_light_horse_002"	2
"names_english"	"cavalry_light"	"euro_light_horse_003"	3
"names_english"	"cavalry_light"	"euro_light_horse_004"	4
"names_english"	"cavalry_light"	"euro_light_horse_005"	5
"names_english"	"cavalry_light"	"euro_light_horse_006"	6
"names_english"	"cavalry_light"	"euro_light_horse_007"	7
"names_english"	"cavalry_light"	"euro_light_horse_008"	8
"names_english"	"cavalry_light"	"euro_light_horse_009"	9
"names_english"	"cavalry_light"	"euro_light_horse_010"	10
"names_english"	"cavalry_light"	"euro_light_horse_011"	11
"names_english"	"cavalry_light"	"euro_light_horse_012"	12
"names_english"	"cavalry_light"	"euro_light_horse_013"	13
"names_english"	"cavalry_light"	"euro_light_horse_014"	14
"names_english"	"cavalry_light"	"euro_light_horse_015"	15
"names_english"	"cavalry_light"	"euro_light_horse_016"	16
"names_english"	"cavalry_light"	"euro_light_horse_017"	17
"names_english"	"cavalry_light"	"euro_light_horse_018"	18
"names_english"	"cavalry_light"	"euro_light_horse_019"	19
"names_english"	"cavalry_light"	"euro_light_horse_020"	20
"names_english"	"cavalry_light"	"euro_light_horse_021"	21
"names_english"	"cavalry_light"	"euro_light_horse_022"	22
"names_english"	"cavalry_light"	"euro_light_horse_023"	23
"names_english"	"cavalry_light"	"euro_light_horse_024"	24
"names_english"	"cavalry_light"	"euro_light_horse_025"	25
"names_english"	"cavalry_light"	"euro_light_horse_026"	26
"names_english"	"cavalry_light"	"euro_light_horse_027"	27
"names_english"	"cavalry_light"	"euro_light_horse_028"	28
"names_english"	"cavalry_light"	"euro_light_horse_029"	29
"names_english"	"cavalry_light"	"euro_light_horse_030"	30
"names_english"	"cavalry_light"	"euro_light_horse_031"	31
"names_english"	"cavalry_light"	"euro_light_horse_032"	32
"names_english"	"cavalry_light"	"euro_light_horse_033"	33
"names_english"	"cavalry_light"	"euro_light_horse_034"	34
"names_english"	"cavalry_light"	"euro_light_horse_035"	35
"names_english"	"cavalry_light"	"euro_light_horse_036"	36
"names_english"	"cavalry_light"	"euro_light_horse_037"	37
"names_english"	"cavalry_light"	"euro_light_horse_038"	38
"names_english"	"cavalry_light"	"euro_light_horse_039"	39
"names_english"	"cavalry_light"	"euro_light_horse_040"	40
"names_english"	"cavalry_light"	"euro_light_horse_041"	41
"names_english"	"cavalry_light"	"euro_light_horse_042"	42
"names_english"	"cavalry_light"	"euro_light_horse_043"	43
"names_english"	"cavalry_light"	"euro_light_horse_044"	44
"names_english"	"cavalry_light"	"euro_light_horse_045"	45
"names_english"	"cavalry_light"	"euro_light_horse_046"	46
"names_english"	"cavalry_light"	"euro_light_horse_047"	47
"names_english"	"cavalry_light"	"euro_light_horse_048"	48
"names_english"	"cavalry_light"	"euro_light_horse_049"	49
"names_english"	"cavalry_light"	"euro_light_horse_050"	50
"names_english"	"cavalry_light"	"euro_light_horse_051"	-1
"names_english"	"cavalry_standard"	"euro_cavalry_units_001"	1
"names_english"	"cavalry_standard"	"euro_cavalry_units_002"	2
"names_english"	"cavalry_standard"	"euro_cavalry_units_003"	3
"names_english"	"cavalry_standard"	"euro_cavalry_units_004"	4
"names_english"	"cavalry_standard"	"euro_cavalry_units_005"	5
"names_english"	"cavalry_standard"	"euro_cavalry_units_006"	6
"names_english"	"cavalry_standard"	"euro_cavalry_units_007"	7
"names_english"	"cavalry_standard"	"euro_cavalry_units_008"	8
"names_english"	"cavalry_standard"	"euro_cavalry_units_009"	9
"names_english"	"cavalry_standard"	"euro_cavalry_units_010"	10
"names_english"	"cavalry_standard"	"euro_cavalry_units_011"	11
"names_english"	"cavalry_standard"	"euro_cavalry_units_012"	12
"names_english"	"cavalry_standard"	"euro_cavalry_units_013"	13
"names_english"	"cavalry_standard"	"euro_cavalry_units_014"	14
"names_english"	"cavalry_standard"	"euro_cavalry_units_015"	15
"names_english"	"cavalry_standard"	"euro_cavalry_units_016"	16
"names_english"	"cavalry_standard"	"euro_cavalry_units_017"	17
"names_english"	"cavalry_standard"	"euro_cavalry_units_018"	18
"names_english"	"cavalry_standard"	"euro_cavalry_units_019"	19
"names_english"	"cavalry_standard"	"euro_cavalry_units_020"	20
"names_english"	"cavalry_standard"	"euro_cavalry_units_021"	21
"names_english"	"cavalry_standard"	"euro_cavalry_units_022"	22
"names_english"	"cavalry_standard"	"euro_cavalry_units_023"	23
"names_english"	"cavalry_standard"	"euro_cavalry_units_024"	24
"names_english"	"cavalry_standard"	"euro_cavalry_units_025"	25
"names_english"	"cavalry_standard"	"euro_cavalry_units_026"	26
"names_english"	"cavalry_standard"	"euro_cavalry_units_027"	27
"names_english"	"cavalry_standard"	"euro_cavalry_units_028"	28
"names_english"	"cavalry_standard"	"euro_cavalry_units_029"	29
"names_english"	"cavalry_standard"	"euro_cavalry_units_030"	30
"names_english"	"cavalry_standard"	"euro_cavalry_units_031"	31
"names_english"	"cavalry_standard"	"euro_cavalry_units_032"	32
"names_english"	"cavalry_standard"	"euro_cavalry_units_033"	33
"names_english"	"cavalry_standard"	"euro_cavalry_units_034"	34
"names_english"	"cavalry_standard"	"euro_cavalry_units_035"	35
"names_english"	"cavalry_standard"	"euro_cavalry_units_036"	36
"names_english"	"cavalry_standard"	"euro_cavalry_units_037"	37
"names_english"	"cavalry_standard"	"euro_cavalry_units_038"	38
"names_english"	"cavalry_standard"	"euro_cavalry_units_039"	39
"names_english"	"cavalry_standard"	"euro_cavalry_units_040"	40
"names_english"	"cavalry_standard"	"euro_cavalry_units_041"	41
"names_english"	"cavalry_standard"	"euro_cavalry_units_042"	42
"names_english"	"cavalry_standard"	"euro_cavalry_units_043"	43
"names_english"	"cavalry_standard"	"euro_cavalry_units_044"	44
"names_english"	"cavalry_standard"	"euro_cavalry_units_045"	45
"names_english"	"cavalry_standard"	"euro_cavalry_units_046"	46
"names_english"	"cavalry_standard"	"euro_cavalry_units_047"	47
"names_english"	"cavalry_standard"	"euro_cavalry_units_048"	48
"names_english"	"cavalry_standard"	"euro_cavalry_units_049"	49
"names_english"	"cavalry_standard"	"euro_cavalry_units_050"	50
"names_english"	"cavalry_standard"	"euro_cavalry_units_051"	51
"names_english"	"cavalry_standard"	"euro_cavalry_units_052"	52
"names_english"	"cavalry_standard"	"euro_cavalry_units_053"	53
"names_english"	"cavalry_standard"	"euro_cavalry_units_054"	54
"names_english"	"cavalry_standard"	"euro_cavalry_units_055"	55
"names_english"	"cavalry_standard"	"euro_cavalry_units_056"	56
"names_english"	"cavalry_standard"	"euro_cavalry_units_057"	57
"names_english"	"cavalry_standard"	"euro_cavalry_units_058"	58
"names_english"	"cavalry_standard"	"euro_cavalry_units_059"	59
"names_english"	"cavalry_standard"	"euro_cavalry_units_060"	60
"names_english"	"cavalry_standard"	"euro_cavalry_units_061"	61
"names_english"	"cavalry_standard"	"euro_cavalry_units_062"	62
"names_english"	"cavalry_standard"	"euro_cavalry_units_063"	63
"names_english"	"cavalry_standard"	"euro_cavalry_units_064"	64
"names_english"	"cavalry_standard"	"euro_cavalry_units_065"	65
"names_english"	"cavalry_standard"	"euro_cavalry_units_066"	66
"names_english"	"cavalry_standard"	"euro_cavalry_units_067"	67
"names_english"	"cavalry_standard"	"euro_cavalry_units_068"	68
"names_english"	"cavalry_standard"	"euro_cavalry_units_069"	69
"names_english"	"cavalry_standard"	"euro_cavalry_units_070"	70
"names_english"	"cavalry_standard"	"euro_cavalry_units_071"	71
"names_english"	"cavalry_standard"	"euro_cavalry_units_072"	72
"names_english"	"cavalry_standard"	"euro_cavalry_units_073"	73
"names_english"	"cavalry_standard"	"euro_cavalry_units_074"	74
"names_english"	"cavalry_standard"	"euro_cavalry_units_075"	75
"names_english"	"cavalry_standard"	"euro_cavalry_units_076"	76
"names_english"	"cavalry_standard"	"euro_cavalry_units_077"	77
"names_english"	"cavalry_standard"	"euro_cavalry_units_078"	78
"names_english"	"cavalry_standard"	"euro_cavalry_units_079"	79
"names_english"	"cavalry_standard"	"euro_cavalry_units_080"	80
"names_english"	"cavalry_standard"	"euro_cavalry_units_081"	81
"names_english"	"cavalry_standard"	"euro_cavalry_units_082"	82
"names_english"	"cavalry_standard"	"euro_cavalry_units_083"	83
"names_english"	"cavalry_standard"	"euro_cavalry_units_084"	84
"names_english"	"cavalry_standard"	"euro_cavalry_units_085"	85
"names_english"	"cavalry_standard"	"euro_cavalry_units_086"	86
"names_english"	"cavalry_standard"	"euro_cavalry_units_087"	87
"names_english"	"cavalry_standard"	"euro_cavalry_units_088"	88
"names_english"	"cavalry_standard"	"euro_cavalry_units_089"	89
"names_english"	"cavalry_standard"	"euro_cavalry_units_090"	90
"names_english"	"cavalry_standard"	"euro_cavalry_units_091"	91
"names_english"	"cavalry_standard"	"euro_cavalry_units_092"	92
"names_english"	"cavalry_standard"	"euro_cavalry_units_093"	93
"names_english"	"cavalry_standard"	"euro_cavalry_units_094"	94
"names_english"	"cavalry_standard"	"euro_cavalry_units_095"	95
"names_english"	"cavalry_standard"	"euro_cavalry_units_096"	96
"names_english"	"cavalry_standard"	"euro_cavalry_units_097"	97
"names_english"	"cavalry_standard"	"euro_cavalry_units_098"	98
"names_english"	"cavalry_standard"	"euro_cavalry_units_099"	99
"names_english"	"cavalry_standard"	"euro_cavalry_units_100"	100
"names_english"	"cavalry_standard"	"euro_cavalry_units_101"	-1
"names_english"	"dragoons"	"euro_dragoon_units_001"	1
"names_english"	"dragoons"	"euro_dragoon_units_002"	2
"names_english"	"dragoons"	"euro_dragoon_units_003"	3
"names_english"	"dragoons"	"euro_dragoon_units_004"	4
"names_english"	"dragoons"	"euro_dragoon_units_005"	5
"names_english"	"dragoons"	"euro_dragoon_units_006"	6
"names_english"	"dragoons"	"euro_dragoon_units_007"	7
"names_english"	"dragoons"	"euro_dragoon_units_008"	8
"names_english"	"dragoons"	"euro_dragoon_units_009"	9
"names_english"	"dragoons"	"euro_dragoon_units_010"	10
"names_english"	"dragoons"	"euro_dragoon_units_011"	11
"names_english"	"dragoons"	"euro_dragoon_units_012"	12
"names_english"	"dragoons"	"euro_dragoon_units_013"	13
"names_english"	"dragoons"	"euro_dragoon_units_014"	14
"names_english"	"dragoons"	"euro_dragoon_units_015"	15
"names_english"	"dragoons"	"euro_dragoon_units_016"	16
"names_english"	"dragoons"	"euro_dragoon_units_017"	17
"names_english"	"dragoons"	"euro_dragoon_units_018"	18
"names_english"	"dragoons"	"euro_dragoon_units_019"	19
"names_english"	"dragoons"	"euro_dragoon_units_020"	20
"names_english"	"dragoons"	"euro_dragoon_units_021"	21
"names_english"	"dragoons"	"euro_dragoon_units_022"	22
"names_english"	"dragoons"	"euro_dragoon_units_023"	23
"names_english"	"dragoons"	"euro_dragoon_units_024"	24
"names_english"	"dragoons"	"euro_dragoon_units_025"	25
"names_english"	"dragoons"	"euro_dragoon_units_026"	26
"names_english"	"dragoons"	"euro_dragoon_units_027"	27
"names_english"	"dragoons"	"euro_dragoon_units_028"	28
"names_english"	"dragoons"	"euro_dragoon_units_029"	29
"names_english"	"dragoons"	"euro_dragoon_units_030"	30
"names_english"	"dragoons"	"euro_dragoon_units_031"	31
"names_english"	"dragoons"	"euro_dragoon_units_032"	32
"names_english"	"dragoons"	"euro_dragoon_units_033"	33
"names_english"	"dragoons"	"euro_dragoon_units_034"	34
"names_english"	"dragoons"	"euro_dragoon_units_035"	35
"names_english"	"dragoons"	"euro_dragoon_units_036"	36
"names_english"	"dragoons"	"euro_dragoon_units_037"	37
"names_english"	"dragoons"	"euro_dragoon_units_038"	38
"names_english"	"dragoons"	"euro_dragoon_units_039"	39
"names_english"	"dragoons"	"euro_dragoon_units_040"	40
"names_english"	"dragoons"	"euro_dragoon_units_041"	41
"names_english"	"dragoons"	"euro_dragoon_units_042"	42
"names_english"	"dragoons"	"euro_dragoon_units_043"	43
"names_english"	"dragoons"	"euro_dragoon_units_044"	44
"names_english"	"dragoons"	"euro_dragoon_units_045"	45
"names_english"	"dragoons"	"euro_dragoon_units_046"	46
"names_english"	"dragoons"	"euro_dragoon_units_047"	47
"names_english"	"dragoons"	"euro_dragoon_units_048"	48
"names_english"	"dragoons"	"euro_dragoon_units_049"	49
"names_english"	"dragoons"	"euro_dragoon_units_050"	50
"names_english"	"dragoons"	"euro_dragoon_units_051"	-1
"names_english"	"infantry_elite"	"euro_infantry_units_162"	1
"names_english"	"infantry_elite"	"euro_infantry_units_163"	2
"names_english"	"infantry_elite"	"euro_infantry_units_164"	3
"names_english"	"infantry_elite"	"euro_infantry_units_165"	4
"names_english"	"infantry_elite"	"euro_infantry_units_166"	5
"names_english"	"infantry_elite"	"euro_infantry_units_167"	6
"names_english"	"infantry_elite"	"euro_infantry_units_168"	7
"names_english"	"infantry_elite"	"euro_infantry_units_169"	8
"names_english"	"infantry_elite"	"euro_infantry_units_170"	9
"names_english"	"infantry_elite"	"euro_infantry_units_171"	10
"names_english"	"infantry_elite"	"euro_infantry_units_172"	11
"names_english"	"infantry_elite"	"euro_infantry_units_173"	12
"names_english"	"infantry_elite"	"euro_infantry_units_174"	13
"names_english"	"infantry_elite"	"euro_infantry_units_175"	14
"names_english"	"infantry_elite"	"euro_infantry_units_176"	15
"names_english"	"infantry_elite"	"euro_infantry_units_177"	16
"names_english"	"infantry_elite"	"euro_infantry_units_178"	17
"names_english"	"infantry_elite"	"euro_infantry_units_179"	18
"names_english"	"infantry_elite"	"euro_infantry_units_180"	19
"names_english"	"infantry_elite"	"euro_infantry_units_181"	20
"names_english"	"infantry_elite"	"euro_infantry_units_182"	21
"names_english"	"infantry_elite"	"euro_infantry_units_183"	22
"names_english"	"infantry_elite"	"euro_infantry_units_184"	23
"names_english"	"infantry_elite"	"euro_infantry_units_185"	24
"names_english"	"infantry_elite"	"euro_infantry_units_186"	25
"names_english"	"infantry_elite"	"euro_infantry_units_187"	26
"names_english"	"infantry_elite"	"euro_infantry_units_188"	27
"names_english"	"infantry_elite"	"euro_infantry_units_189"	28
"names_english"	"infantry_elite"	"euro_infantry_units_190"	29
"names_english"	"infantry_elite"	"euro_infantry_units_191"	30
"names_english"	"infantry_elite"	"euro_infantry_units_192"	31
"names_english"	"infantry_elite"	"euro_infantry_units_193"	32
"names_english"	"infantry_elite"	"euro_infantry_units_194"	33
"names_english"	"infantry_elite"	"euro_infantry_units_195"	34
"names_english"	"infantry_elite"	"euro_infantry_units_196"	35
"names_english"	"infantry_elite"	"euro_infantry_units_197"	36
"names_english"	"infantry_elite"	"euro_infantry_units_198"	37
"names_english"	"infantry_elite"	"euro_infantry_units_199"	38
"names_english"	"infantry_elite"	"euro_infantry_units_200"	39
"names_english"	"infantry_elite"	"euro_infantry_units_201"	40
"names_english"	"infantry_elite"	"euro_infantry_units_202"	41
"names_english"	"infantry_elite"	"euro_infantry_units_203"	42
