version 1, schema events_view_group_junct_tables
Historic_event_ID(string)	Corrospondents_to_faction_ID(string)
"downing_street"	"faction_britain"
"dublin_gazette_published"	"region_ireland"
"earl_tyburn_jig"	"faction_britain"
"electrical_condenser"	"all_factions"
"encyclopaedia_britannica"	"faction_britain"
"encyclopedie_published"	"faction_france"
"enormous_bell"	"faction_russia"
"euro_porcelain"	"all_european_factions"
"filth_and_naughtiness"	"faction_britain"
"first_lord_of_lunch"	"faction_britain"
"first_piano"	"faction_austria"
"first_piano"	"faction_france"
"first_piano"	"faction_spain"
"first_pow_camp"	"faction_britain"
"first_public_zoological_gardens"	"faction_france"
"first_public_zoological_gardens"	"faction_us"
"first_restaurant_paris"	"faction_france"
"flushing_toiletoscope"	"all_european_factions"
"flute_player_mechanical_duck"	"faction_france"
"freemasons_america"	"factions_in_america"
"freemasons_america"	"region_massachusetts"
"freemasons_founded"	"faction_britain"
"fruit_kills_scurvy"	"all_factions"
"gas_lighting"	"all_european_factions_us"
"gentleman_highwayman"	"faction_britain"
"global_circulation"	"faction_britain"
"guillotine_invented"	"faction_france"
"guillotine_invented"	"faction_us"
"guiness_brewery_founded"	"region_ireland"
"gullivers_travels"	"faction_britain"
"halleys_comet_again"	"all_factions"
"handel_dies"	"faction_austria"
"handel_dies"	"faction_britain"
"handel_dies"	"faction_france"
"handel_dies"	"faction_netherlands"
"handel_dies"	"faction_prussia"
"harris_list_ladies"	"faction_britain"
"haydn_the_creation"	"faction_austria"
"haydn_the_creation"	"faction_britain"
"haydn_the_creation"	"faction_france"
"haydn_the_creation"	"faction_netherlands"
"haydn_the_creation"	"faction_prussia"
"hellfire_club_english"	"faction_britain"
"hellfire_club_irish"	"faction_britain"
"hellfire_club_irish"	"faction_us"
"hellfire_club_irish"	"region_ireland"
"herculaneum_excavation"	"all_factions"
"herschel_discovers_infrared_radiation"	"all_european_factions_us"
"herschel_discovers_uranus"	"all_factions"
"hydraulic_press"	"all_european_factions_us"
"hydrogen_discovered"	"all_european_factions"
"irish_code_duello"	"faction_britain"
"irish_code_duello"	"faction_france"
"irish_code_duello"	"region_ireland"
"isle_of_man"	"faction_britain"
"isle_of_man"	"region_ireland"
"jack_sheppard_hanged"	"faction_britain"
"jamesons_distillery"	"region_ireland"
"jonathan_wild_swings"	"faction_britain"
"kidd_hanged"	"all_european_factions"
"kidd_hanged"	"factions_in_caribbean"
"kinetic_gas_theory"	"all_european_factions"
"last_jig_at_the_tyburn_tree"	"faction_britain"
"lavoisier_discovers_oxygen"	"all_factions"
"lightning_rod_lesson"	"all_european_factions"
"lightning_rod_lesson"	"region_brescia"
"lions_extinct_libya"	"faction_ottomans"
"lions_extinct_libya"	"faction_spain"
"lions_extinct_libya"	"region_libya"
"london_monster"	"faction_britain"
"longman_founded"	"faction_britain"
"loves_of_mars_and_venus"	"faction_britain"
"lucky_lucky_fellow"	"faction_us"
"lucky_lucky_fellow"	"factions_in_america"
"lunar_society"	"faction_britain"
"marriage_act"	"faction_britain"
"masked_man_dies"	"faction_austria"
"masked_man_dies"	"faction_france"
"masked_man_dies"	"faction_netherlands"
"masked_man_dies"	"faction_spain"
"maudsleys_precision_lathe"	"all_european_factions_us"
"mercury_thermometer"	"all_european_factions"
"messiers_objects"	"all_european_factions"
"meteorite_wold_newton"	"faction_britain"
"meteorite_wold_newton"	"faction_us"
"michell_blackholes"	"faction_britain"
"michell_blackholes"	"faction_us"
"mohocks_abound"	"faction_britain"
"montgolfier_balloon"	"faction_france"
"montgolfier_balloon"	"faction_us"
"moscow_news"	"faction_russia"
"mozart_dies"	"faction_austria"
"mozart_dies"	"faction_france"
"mozart_dies"	"faction_netherlands"
"mozart_dies"	"faction_prussia"
"mozart_dies"	"faction_us"
"mozart_eine_kleine_nachtmusik"	"faction_austria"
"mozart_eine_kleine_nachtmusik"	"faction_france"
"mozart_eine_kleine_nachtmusik"	"faction_netherlands"
"mozart_eine_kleine_nachtmusik"	"faction_prussia"
"mungo_park_segu"	"all_european_factions_us"
"murder_most_horrid"	"faction_britain"
"new_atomic_theory"	"all_european_factions"
"new_britain_discovered"	"faction_britain"
"orrery_invented"	"all_factions"
"ottoman_press"	"faction_ottomans"
"ottoman_press"	"factions_india"
"pants_on_fire"	"faction_britain"
"petticoat_duel"	"faction_britain"
"petticoat_duel"	"faction_us"
"piratey_bishop"	"faction_britain"
"piratey_bishop"	"factions_in_caribbean"
"potato_mandate"	"faction_austria"
"potato_mandate"	"faction_netherlands"
"potato_mandate"	"faction_poland"
"potato_mandate"	"faction_prussia"
"potato_mandate"	"faction_russia"
"potato_mandate"	"faction_sweden"
"preserved_in_vitriol"	"faction_poland"
"preserved_in_vitriol"	"faction_prussia"
"preserved_in_vitriol"	"faction_russia"
"preserved_in_vitriol"	"faction_sweden"
"princeton_founded"	"factions_in_america"
"princeton_founded"	"region_massachusetts"
"prussian_census"	"faction_austria"
"prussian_census"	"faction_netherlands"
"prussian_census"	"faction_poland"
"prussian_census"	"faction_prussia"
"prussian_census"	"faction_russia"
"prussian_census"	"faction_sweden"
"radical_suggestion"	"all_european_factions"
"rakes_progress"	"faction_britain"
"reflexions_critiques"	"faction_austria"
"reflexions_critiques"	"faction_france"
"reflexions_critiques"	"faction_spain"
"robbie_burns"	"faction_britain"
"robbie_burns"	"faction_us"
"robinson_crusoe_published"	"faction_britain"
"rosetta_stone"	"faction_britain"
"rosetta_stone"	"faction_france"
"rosetta_stone"	"faction_ottomans"
"rosetta_stone"	"region_egypt"
"rule_britannia"	"faction_britain"
"russia_julian"	"faction_poland"
"russia_julian"	"faction_prussia"
"russia_julian"	"faction_russia"
"russia_julian"	"faction_sweden"
"saint_patrick_of_noo_yawk"	"factions_in_america"
"saint_patrick_of_noo_yawk"	"region_ireland"
"saint_patrick_of_noo_yawk"	"region_new_york"
"sausage_dictionary"	"faction_britain"
"selkirk_rescued"	"all_european_factions"
"senefelder_lithography"	"faction_austria"
"senefelder_lithography"	"faction_us"
"shakespeare_festival"	"faction_britain"
"smallpox_euro_inoculation"	"all_european_factions"
"smallpox_jenner_vaccination"	"all_european_factions_us"
"smarty_pants_bifocal_glasses"	"faction_france"
"smarty_pants_bifocal_glasses"	"factions_in_america"
"smarty_pants_cheats_electric_death"	"all_european_factions"
"society_of_jesus"	"faction_austria"
"society_of_jesus"	"faction_france"
"society_of_jesus"	"faction_poland"
"society_of_jesus"	"faction_spain"
"south_sea_bubble"	"faction_britain"
"species_planetarum"	"all_european_factions"
"systema_naturae"	"all_european_factions"
"terribly_good_egg"	"factions_in_america"
"terribly_good_egg"	"region_georgia_us"
"the_female_warrior"	"faction_britain"
"the_necklace_affair"	"faction_austria"
"the_necklace_affair"	"faction_france"
"the_necklace_affair"	"faction_spain"
"the_necklace_affair"	"faction_us"
"the_observer_published"	"faction_britain"
"theatre_royal"	"faction_britain"
"theatrical_censorship"	"faction_britain"
"titania_and_oberon"	"all_european_factions_us"
"to_the_people_of_the_netherlands"	"faction_netherlands"
"top_hat_nuisance"	"faction_britain"
"top_hat_nuisance"	"faction_us"
"transit_of_venus"	"all_factions"
"trippy_dreams"	"faction_britain"
"vampire_attack_serbia"	"faction_austria"
"venus_mercury_occultation"	"all_factions"
"very_unpopular_book"	"faction_france"
"vivaldi_dies"	"faction_austria"
"vivaldi_dies"	"faction_france"
"vivaldi_dies"	"faction_spain"
"vivaldi_four_seasons"	"faction_austria"
"vivaldi_four_seasons"	"faction_france"
"vivaldi_four_seasons"	"faction_spain"
"volta_electric_pistol"	"all_european_factions_us"
"voltaic_pile"	"all_european_factions_us"
"voltaires_candide"	"faction_france"
"wall_street_opens"	"faction_us"
"wall_street_opens"	"factions_in_america"
"waterford_crystal"	"faction_britain"
"waterford_crystal"	"faction_us"
"waterford_crystal"	"region_ireland"
"wesley_converted"	"faction_britain"
"wesley_converted"	"faction_netherlands"
"wesley_converted"	"faction_prussia"
"wesley_converted"	"faction_sweden"
"wesley_converted"	"faction_us"
"wesley_methodism_chartered"	"faction_britain"
"wesley_methodism_chartered"	"faction_netherlands"
"wesley_methodism_chartered"	"faction_prussia"
"wesley_methodism_chartered"	"faction_sweden"
"wesley_methodism_chartered"	"faction_us"
"whitneys_cotton_gin"	"all_european_factions_us"
"wild_peter_hanover"	"faction_austria"
"wild_peter_hanover"	"faction_britain"
"wild_peter_hanover"	"faction_prussia"
"witchcraft_austria"	"faction_austria"
"witchcraft_britain"	"faction_britain"
"yale_founded"	"factions_in_america"
"yale_founded"	"region_massachusetts"
