version 5, schema units_tables
Unit_ID(string)	Screen_Name(string)	Category(string)	Class(string)	MP_Cost_Early(int)	MP_Cost_Late(int)	Turns_to_Build(int)	Cost(int)	Upkeep(int)	Campaign_Map_Action_Points(int)	Enabled__x0023__True_x0020_Disabled__x0023__False(boolean)	unknown4(string)	Unit_Icon_Path(string)	Unit_Info_Pic_Path(string)	Localisation_Key(string)	Region_IDRef(optstring)	Unit_Limit(int)	MP_Category(string)	Early_Availability(boolean)	Related_with_x0020_Early_x0020_availability(boolean)	Late_Availability(boolean)	unknown9(int)	Garrison_Availability(boolean)	MP_Unit_Limit(int)	unknown25(optstring)	unknown26(boolean)
"2_Decker_Dutch_74"	"74-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_third_rate"	1940	1940	8	1590	390	55	true	"naval_captain"	"2deck_74"	"2deck_74"	"2_Decker_74"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"2_Decker_French_74"	"74-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_third_rate"	1990	1990	8	1630	400	55	true	"naval_captain"	"2deck_74"	"2deck_74"	"2_Decker_74"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"2_Decker_French_80"	"80-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_second_rate"	2320	2320	8	1890	470	55	true	"naval_captain"	"2deck_80"	"2deck_80"	"2_Decker_80"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"2_Decker_HMS_Elephant"	"HMS Elephant"	"naval_line_of_battle"	"naval_third_rate"	2170	2170	8	1770	440	55	true	"naval_captain"	"elephant"	"elephant"	"2_Decker_HMS_Elephant"	"global"	1	"mp_naval_line_of_battle"	true	true	true	0	false	1	nil	true
"2_Decker_Ottoman_50"	"50-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_fourth_rate"	1230	1230	8	1020	250	55	true	"naval_captain"	"2deck50"	"2deck50"	"2_Decker_50"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"2_Decker_Ottoman_64"	"64-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_third_rate"	1530	1530	8	1260	310	55	true	"naval_captain"	"2deck64"	"2deck64"	"2_Decker_64"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"2_Decker_Ottoman_80"	"80-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_second_rate"	2270	2270	8	1850	460	55	true	"naval_captain"	"2deck_80"	"2deck_80"	"2_Decker_80"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"2_Decker_Russian_50"	"50-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_fourth_rate"	1230	1230	8	1020	250	55	true	"naval_captain"	"2deck50"	"2deck50"	"2_Decker_50"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"2_Decker_Russian_64"	"64-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_third_rate"	1530	1530	8	1260	310	55	true	"naval_captain"	"2deck64"	"2deck64"	"2_Decker_64"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"2_Decker_Russian_74"	"74-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_third_rate"	1940	1940	8	1590	390	55	true	"naval_captain"	"2deck_74"	"2deck_74"	"2_Decker_74"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"2_Decker_Russian_80"	"80-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_second_rate"	2270	2270	8	1850	460	55	true	"naval_captain"	"2deck_80"	"2deck_80"	"2_Decker_80"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"2_Decker_Scandinavian_50"	"50-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_fourth_rate"	1230	1230	8	1020	250	55	true	"naval_captain"	"2deck50"	"2deck50"	"2_Decker_50"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"2_Decker_Scandinavian_64"	"64-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_third_rate"	1530	1530	8	1260	310	55	true	"naval_captain"	"2deck64"	"2deck64"	"2_Decker_64"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"2_Decker_Scandinavian_74"	"74-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_third_rate"	1850	1850	8	1520	380	55	true	"naval_captain"	"2deck_74"	"2deck_74"	"2_Decker_74"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"2_Decker_Scandinavian_80"	"80-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_second_rate"	2170	2170	8	1770	440	55	true	"naval_captain"	"2deck_80"	"2deck_80"	"2_Decker_80"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"2_Decker_Spanish_64"	"64-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_third_rate"	1530	1530	8	1260	310	55	true	"naval_captain"	"2deck64"	"2deck64"	"2_Decker_64"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"2_Decker_Spanish_74"	"74-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_third_rate"	1940	1940	8	1590	390	55	true	"naval_captain"	"2deck_74"	"2deck_74"	"2_Decker_74"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"2_Decker_Spanish_80"	"80-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_second_rate"	2270	2270	8	1850	460	55	true	"naval_captain"	"2deck_80"	"2deck_80"	"2_Decker_80"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"2_Decker_Tutorial_74"	"74-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_third_rate"	2480	2480	3	2020	500	55	true	"naval_captain"	"2deck_74"	"2deck_74"	"2_Decker_74"	"global"	2	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"3_Decker_106"	"106-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_first_rate"	3020	3020	10	2430	600	55	true	"naval_captain"	"3deck_100"	"3deck_100"	"3_Decker_106"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"3_Decker_86"	"86-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_second_rate"	2550	2550	10	2070	510	55	true	"naval_captain"	"3deck80"	"3deck80"	"3_Decker_86"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"3_Decker_British_1st_Rate"	"106-gun First Rate"	"naval_line_of_battle"	"naval_first_rate"	2970	2970	10	2400	600	55	true	"naval_captain"	"3deck_100"	"3deck_100"	"3_Decker_106"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"3_Decker_British_2nd_Rate"	"98-gun Second Rate"	"naval_line_of_battle"	"naval_second_rate"	2620	2620	10	2130	530	55	true	"naval_captain"	"3deck98"	"3deck98"	"3_Decker_British_2nd_Rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"3_Decker_British_Heavy_1st_Rate"	"122-gun Heavy First Rate"	"naval_line_of_battle"	"naval_over_first_rate"	3490	3490	10	2790	690	55	true	"naval_captain"	"4deck_120"	"4deck_120"	"3_Decker_British_Heavy_1st_Rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"3_Decker_French_122"	"122-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_over_first_rate"	3630	3630	10	2890	720	55	true	"naval_captain"	"4deck_120"	"4deck_120"	"3_Decker_British_Heavy_1st_Rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"3_Decker_Spanish_106"	"106-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_first_rate"	3020	3020	10	2430	600	55	true	"naval_captain"	"3deck_100"	"3deck_100"	"3_Decker_106"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"3_Decker_Spanish_122"	"122-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_over_first_rate"	3560	3560	10	2840	710	55	true	"naval_captain"	"4deck_120"	"4deck_120"	"3_Decker_British_Heavy_1st_Rate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"4_Decker_Spanish_Santissima_Trinidad"	"Santissima Trinidad"	"naval_line_of_battle"	"naval_over_first_rate"	4110	4110	10	3250	810	55	true	"naval_captain"	"4deck_140"	"4deck_140"	"4_Decker_Spanish_Santissima_Trinidad"	"global"	1	"mp_naval_line_of_battle"	true	true	true	0	false	1	nil	true
"Art_Fix_Austrian_Rocket_Troop"	"Rocket Troop"	"artillery"	"artillery_fixed"	700	700	3	580	140	23	true	"artillery_rockets"	"placeholder_artillery"	"placeholder"	"Art_Fix_Rocket_Troop"	"global"	0	"mp_artillery"	true	true	true	0	false	4	"mortars"	false
"Art_Fix_British_Rocket_Troop"	"Rocket Troop"	"artillery"	"artillery_fixed"	730	730	3	590	190	23	true	"artillery_rockets"	"placeholder_artillery"	"placeholder"	"Art_Fix_Rocket_Troop"	"global"	0	"mp_artillery"	true	true	true	0	false	4	"mortars"	false
"Art_Fix_French_Rocket_Troop"	"Rocket Troop"	"artillery"	"artillery_fixed"	750	750	3	610	150	23	true	"artillery_rockets"	"placeholder_artillery"	"placeholder"	"Art_Fix_Rocket_Troop"	"global"	0	"mp_artillery"	true	true	true	0	false	4	"mortars"	false
"Art_Fix_Ottoman_Bombardment_Mortars"	"Bombardment Mortars"	"artillery"	"artillery_fixed"	1290	1290	3	1020	250	23	true	"artillery_heavy_mortar"	"placeholder_artillery"	"placeholder"	"Art_Fix_Ottoman_Bombardment_Mortars"	"global"	0	"mp_artillery"	true	true	true	0	false	4	"mortars"	false
"Art_Fix_Prussian_Rocket_Troop"	"Rocket Troop"	"artillery"	"artillery_fixed"	680	680	3	560	140	23	true	"artillery_rockets"	"placeholder_artillery"	"placeholder"	"Art_Fix_Rocket_Troop"	"global"	0	"mp_artillery"	true	true	true	0	false	4	"mortars"	false
"Art_Fix_Russian_Rocket_Troop"	"Rocket Troop"	"artillery"	"artillery_fixed"	700	700	3	580	140	23	true	"artillery_rockets"	"placeholder_artillery"	"placeholder"	"Art_Fix_Rocket_Troop"	"global"	0	"mp_artillery"	true	true	true	0	false	4	"mortars"	false
"Art_Foot_12_lber"	"12-lber Foot Artillery"	"artillery"	"artillery_foot"	810	810	3	660	160	23	true	"artillery_medium_cannon"	"placeholder_artillery"	"placeholder"	"Art_Foot_12_lber"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"artillery"	false
"Art_Foot_6_lber"	"6-lber Foot Artillery"	"artillery"	"artillery_foot"	630	630	3	530	130	23	true	"artillery_medium_cannon"	"placeholder_artillery"	"placeholder"	"Art_Foot_12_lber"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"artillery"	false
"Art_Foot_7_lber_Howitzer"	"7-lber Howitzer"	"artillery"	"artillery_foot"	780	780	3	640	160	23	true	"artillery_medium_howitzer"	"placeholder_artillery"	"placeholder"	"Art_Foot_7_lber_Howitzer"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"mortars"	false
"Art_Foot_Austrian_12_lber"	"12-lber Foot Artillery"	"artillery"	"artillery_foot"	860	860	3	700	170	23	true	"artillery_medium_cannon"	"placeholder_artillery"	"placeholder"	"Art_Foot_12_lber"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"artillery"	false
"Art_Foot_Austrian_6_lber"	"6-lber Foot Artillery"	"artillery"	"artillery_foot"	670	670	3	560	140	23	true	"artillery_medium_cannon"	"placeholder_artillery"	"placeholder"	"Art_Foot_12_lber"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"artillery"	false
"Art_Foot_Austrian_7_lber_Howitzer"	"7-lber Howitzer"	"artillery"	"artillery_foot"	820	820	3	670	160	23	true	"artillery_medium_howitzer"	"placeholder_artillery"	"placeholder"	"Art_Foot_7_lber_Howitzer"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"mortars"	false
"Art_Foot_Austrian_Experimental_Howitzer"	"Experimental Howitzer"	"artillery"	"artillery_foot"	1000	1000	3	800	200	23	true	"artillery_medium_howitzer"	"placeholder_artillery"	"placeholder"	"Art_Foot_Experimental_Howitzer"	"global"	4	"mp_artillery"	true	true	true	0	false	2	"mortars"	false
"Art_Foot_British_5_In_Howitzer"	"5-In Howitzer"	"artillery"	"artillery_foot"	840	840	3	680	220	23	true	"artillery_medium_howitzer"	"placeholder_artillery"	"placeholder"	"Art_Foot_7_lber_Howitzer"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"mortars"	false
"Art_Foot_British_6_lber"	"6-lber Foot Artillery"	"artillery"	"artillery_foot"	700	700	3	570	190	23	true	"artillery_medium_cannon"	"placeholder_artillery"	"placeholder"	"Art_Foot_12_lber"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"artillery"	false
"Art_Foot_British_9_lber"	"9-lber Foot Artillery"	"artillery"	"artillery_foot"	790	790	3	640	210	23	true	"artillery_medium_cannon"	"placeholder_artillery"	"placeholder"	"Art_Foot_12_lber"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"artillery"	false
"Art_Foot_British_Experimental_Howitzer"	"Experimental Howitzer"	"artillery"	"artillery_foot"	1010	1010	3	810	200	23	true	"artillery_medium_howitzer"	"placeholder_artillery"	"placeholder"	"Art_Foot_Experimental_Howitzer"	"global"	4	"mp_artillery"	true	true	true	0	false	2	"mortars"	false
"Art_Foot_French_12_lber"	"12-lber Foot Artillery"	"artillery"	"artillery_foot"	950	950	3	760	190	23	true	"artillery_medium_cannon"	"placeholder_artillery"	"placeholder"	"Art_Foot_12_lber"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"artillery"	false
"Art_Foot_French_6_In_Howitzer"	"6-In Howitzer"	"artillery"	"artillery_foot"	890	890	3	710	170	23	true	"artillery_medium_howitzer"	"placeholder_artillery"	"placeholder"	"Art_Foot_7_lber_Howitzer"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"mortars"	false
"Art_Foot_French_6_lber"	"6-lber Foot Artillery"	"artillery"	"artillery_foot"	740	740	3	610	150	23	true	"artillery_medium_cannon"	"placeholder_artillery"	"placeholder"	"Art_Foot_12_lber"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"artillery"	false
"Art_Foot_French_8_lber"	"8-lber Foot Artillery"	"artillery"	"artillery_foot"	840	840	3	680	170	23	true	"artillery_medium_cannon"	"placeholder_artillery"	"placeholder"	"Art_Foot_12_lber"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"artillery"	false
"Art_Foot_French_Artillerie_a_Pied"	"Artillerie à Pied"	"artillery"	"artillery_foot"	1110	1110	3	890	220	23	true	"artillery_medium_cannon"	"placeholder_artillery"	"placeholder"	"Art_Foot_French_Artillerie_a_Pied"	"global"	4	"mp_artillery"	true	true	true	5	false	4	"artillery"	false
"Art_Foot_French_Experimental_Howitzer"	"Experimental Howitzer"	"artillery"	"artillery_foot"	1040	1040	3	830	200	23	true	"artillery_medium_howitzer"	"placeholder_artillery"	"placeholder"	"Art_Foot_Experimental_Howitzer"	"global"	4	"mp_artillery"	true	true	true	0	false	2	"mortars"	false
"Art_Foot_French_Tutorial_6_lber"	"6-lber Foot Artillery"	"artillery"	"artillery_foot"	740	740	1	610	150	23	true	"artillery_medium_cannon"	"placeholder_artillery"	"placeholder"	"Art_Foot_12_lber"	"global"	1	"mp_artillery"	true	true	true	0	false	0	"artillery"	false
"Art_Foot_Grand_Battery_Convention"	"Grand Battery of the Convention"	"artillery"	"artillery_foot"	2490	2490	3	1860	460	23	true	"artillery_medium_cannon"	"placeholder_artillery"	"placeholder"	"Art_Foot_Grand_Battery_Convention"	"global"	1	"mp_artillery"	true	true	true	5	false	1	"artillery"	false
"Art_Foot_Italian_Guard_Foot_Artillery"	"Guard Foot Artillery"	"artillery"	"artillery_foot"	1080	1080	3	870	210	23	true	"artillery_medium_cannon"	"placeholder_artillery"	"placeholder"	"Art_Foot_Italian_Guard_Foot_Artillery"	"global"	4	"mp_artillery"	true	true	true	0	false	4	"artillery"	false
"Art_Foot_Ottoman_18_lber"	"18-lber Foot Artillery"	"artillery"	"artillery_foot"	810	810	3	660	160	23	true	"artillery_heavy_cannon"	"placeholder_artillery"	"placeholder"	"Art_Foot_12_lber"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"artillery"	false
"Art_Foot_Ottoman_9_lber"	"9-lber Foot Artillery"	"artillery"	"artillery_foot"	710	710	3	580	140	23	true	"artillery_medium_cannon"	"placeholder_artillery"	"placeholder"	"Art_Foot_12_lber"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"artillery"	false
"Art_Foot_Ottoman_Howitzers"	"Howitzers"	"artillery"	"artillery_foot"	1080	1080	3	860	210	23	true	"artillery_medium_howitzer"	"placeholder_artillery"	"placeholder"	"Art_Foot_7_lber_Howitzer"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"mortars"	false
"Art_Foot_Portuguese_12_lber"	"12-lber Foot Artillery"	"artillery"	"artillery_foot"	810	810	3	660	160	23	true	"artillery_medium_cannon"	"placeholder_artillery"	"placeholder"	"Art_Foot_12_lber"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"artillery"	false
"Art_Foot_Portuguese_6_lber"	"6-lber Foot Artillery"	"artillery"	"artillery_foot"	630	630	3	530	130	23	true	"artillery_medium_cannon"	"placeholder_artillery"	"placeholder"	"Art_Foot_12_lber"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"artillery"	false
"Art_Foot_Portuguese_9_lber"	"9-lber Foot Artillery"	"artillery"	"artillery_foot"	710	710	3	590	140	23	true	"artillery_medium_cannon"	"placeholder_artillery"	"placeholder"	"Art_Foot_12_lber"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"artillery"	false
"Art_Foot_Prussian_12_lber"	"12-lber Foot Artillery"	"artillery"	"artillery_foot"	810	810	3	660	160	23	true	"artillery_medium_cannon"	"placeholder_artillery"	"placeholder"	"Art_Foot_12_lber"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"artillery"	false
"Art_Foot_Prussian_6_lber"	"6-lber Foot Artillery"	"artillery"	"artillery_foot"	630	630	3	530	130	23	true	"artillery_medium_cannon"	"placeholder_artillery"	"placeholder"	"Art_Foot_12_lber"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"artillery"	false
"Art_Foot_Prussian_7_lber_Howitzer"	"7-lber Howitzer"	"artillery"	"artillery_foot"	780	780	3	640	160	23	true	"artillery_medium_howitzer"	"placeholder_artillery"	"placeholder"	"Art_Foot_7_lber_Howitzer"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"mortars"	false
"Art_Foot_Prussian_Experimental_Howitzer"	"Experimental Howitzer"	"artillery"	"artillery_foot"	980	980	3	780	190	23	true	"artillery_medium_howitzer"	"placeholder_artillery"	"placeholder"	"Art_Foot_Experimental_Howitzer"	"global"	4	"mp_artillery"	true	true	true	0	false	2	"mortars"	false
"Art_Foot_Russian_10_lber_Unicorn"	"10-lber Unicorn"	"artillery"	"artillery_foot"	1090	1090	3	870	210	23	true	"artillery_medium_howitzer"	"placeholder_artillery"	"placeholder"	"Art_Foot_Russian_10_lber_Unicorn"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"mortars"	false
"Art_Foot_Russian_12_lber"	"12-lber Foot Artillery"	"artillery"	"artillery_foot"	860	860	3	700	170	23	true	"artillery_medium_cannon"	"placeholder_artillery"	"placeholder"	"Art_Foot_12_lber"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"artillery"	false
"Art_Foot_Russian_20_lber_Unicorn"	"20-lber Unicorn"	"artillery"	"artillery_foot"	1550	1550	3	1210	300	23	true	"artillery_medium_howitzer"	"placeholder_artillery"	"placeholder"	"Art_Foot_Russian_10_lber_Unicorn"	"global"	0	"mp_artillery"	true	true	true	0	false	4	"mortars"	false
"Art_Foot_Russian_6_lber"	"6-lber Foot Artillery"	"artillery"	"artillery_foot"	670	670	3	560	140	23	true	"artillery_medium_cannon"	"placeholder_artillery"	"placeholder"	"Art_Foot_12_lber"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"artillery"	false
"Art_Foot_Russian_Experimental_Howitzer"	"Experimental Howitzer"	"artillery"	"artillery_foot"	1000	1000	3	800	200	23	true	"artillery_medium_howitzer"	"placeholder_artillery"	"placeholder"	"Art_Foot_Experimental_Howitzer"	"global"	4	"mp_artillery"	true	true	true	0	false	2	"mortars"	false
"Art_Foot_Spanish_12_lber"	"12-lber Foot Artillery"	"artillery"	"artillery_foot"	860	860	3	690	170	23	true	"artillery_medium_cannon"	"placeholder_artillery"	"placeholder"	"Art_Foot_12_lber"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"artillery"	false
"Art_Foot_Spanish_9_lber"	"9-lber Foot Artillery"	"artillery"	"artillery_foot"	760	760	3	620	150	23	true	"artillery_medium_cannon"	"placeholder_artillery"	"placeholder"	"Art_Foot_12_lber"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"artillery"	false
"Art_Horse_6_lber"	"6-lber Horse Artillery"	"artillery"	"artillery_horse"	660	660	3	540	170	29	true	"artillery_light_horse"	"placeholder_artillery"	"placeholder"	"Art_Horse_6_lber"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"horse_artillery"	false
"Art_Horse_British_6_lber"	"6-lber Horse Artillery"	"artillery"	"artillery_horse"	720	720	3	590	250	29	true	"artillery_light_horse"	"placeholder_artillery"	"placeholder"	"Art_Horse_6_lber"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"horse_artillery"	false
"Art_Horse_French_6_lber"	"6-lber Horse Artillery"	"artillery"	"artillery_horse"	740	740	3	610	190	29	true	"artillery_light_horse"	"placeholder_artillery"	"placeholder"	"Art_Horse_6_lber"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"horse_artillery"	false
"Art_Horse_French_Artillerie_a_Cheval"	"Artillerie à Cheval"	"artillery"	"artillery_horse"	870	870	3	700	220	29	true	"artillery_light_horse"	"placeholder_artillery"	"placeholder"	"Art_Horse_French_Artillerie_a_Cheval"	"global"	4	"mp_artillery"	true	true	true	5	false	4	"horse_artillery"	false
"Art_Horse_Italian_Guard_Horse_Artillery"	"Guard Horse Artillery"	"artillery"	"artillery_foot"	840	840	3	680	220	29	true	"artillery_medium_cannon"	"placeholder_artillery"	"placeholder"	"Art_Horse_Italian_Guard_Horse_Artillery"	"global"	4	"mp_artillery"	true	true	true	5	false	4	"horse_artillery"	false
"Art_Horse_Prussian_6_lber"	"6-lber Horse Artillery"	"artillery"	"artillery_horse"	660	660	3	540	170	29	true	"artillery_light_horse"	"placeholder_artillery"	"placeholder"	"Art_Horse_6_lber"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"horse_artillery"	false
"Art_Horse_Russian_6_lber"	"6-lber Horse Artillery"	"artillery"	"artillery_horse"	700	700	3	570	180	29	true	"artillery_light_horse"	"placeholder_artillery"	"placeholder"	"Art_Horse_6_lber"	"global"	0	"mp_artillery"	true	true	true	0	false	0	"horse_artillery"	false
"Cav_Heavy_Austrian_Cuirassiers"	"Cuirassiers"	"cavalry"	"cavalry_heavy"	910	910	3	730	230	29	true	"cavalry_cuirassiers"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_Cuirassiers"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"heavy_cavalry"	false
"Cav_Heavy_Austrian_Dragoons"	"Dragoons"	"cavalry"	"cavalry_heavy"	710	710	2	580	180	29	true	"dragoons"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_Dragoons"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"heavy_cavalry"	false
"Cav_Heavy_British_Dragoon_Guards"	"Dragoon Guards"	"cavalry"	"cavalry_heavy"	810	810	4	660	280	29	true	"dragoons"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_British_Dragoon_Guards"	"global"	4	"mp_cavalry"	true	true	true	5	false	4	"heavy_cavalry"	false
