version 1, schema trait_to_included_agents_tables
Trait_IDRef(string)	Agent_IDRef(string)
"C_Gent_Research_Agriculture"	"gentleman"
"C_Gent_Research_Economics"	"Eastern_Scholar"
"C_Gent_Research_Economics"	"gentleman"
"C_Gent_Research_Industry"	"Eastern_Scholar"
"C_Gent_Research_Industry"	"gentleman"
"C_Gent_Research_Military"	"Eastern_Scholar"
"C_Gent_Research_Military"	"gentleman"
"C_Gent_Research_Navy"	"Eastern_Scholar"
"C_Gent_Research_Navy"	"gentleman"
"C_Gent_Research_Philosophy"	"Eastern_Scholar"
"C_Gent_Research_Philosophy"	"gentleman"
"C_Gent_Science_Club"	"gentleman"
"C_Honourable_Service"	"admiral"
"C_Honourable_Service"	"General"
"C_Leader_Agent_99"	"minister"
"C_Leader_Army_Buff"	"minister"
"C_Leader_Clever_Stick"	"minister"
"C_Leader_Debauched"	"minister"
"C_Leader_Dullard"	"minister"
"C_Leader_Enlightened_Despot"	"minister"
"C_Leader_Favourites"	"minister"
"C_Leader_Fertile"	"minister"
"C_Leader_Foreign_Tastes"	"minister"
"C_Leader_Harsh_Ruler"	"minister"
"C_Leader_Humanist"	"minister"
"C_Leader_Huntin_Shootin_Fishin"	"minister"
"C_Leader_Inbred"	"minister"
"C_Leader_Infertile"	"minister"
"C_Leader_Intellectual_Pretensions"	"minister"
"C_Leader_M"	"minister"
"C_Leader_Mad"	"minister"
"C_Leader_Merit"	"minister"
"C_Leader_Mr_Waverley"	"minister"
"C_Leader_Natural_King"	"minister"
"C_Leader_Natural_President"	"minister"
"C_Leader_Navy_Buff"	"minister"
"C_Leader_Philistine"	"minister"
"C_Leader_Uncouth"	"minister"
"C_Leader_Witty"	"minister"
"C_Minister_Army_Good"	"minister"
"C_Minister_Corrupt"	"minister"
"C_Minister_Entertainer"	"minister"
"C_Minister_Fiscal_Genius"	"minister"
"C_Minister_Industrialist"	"minister"
"C_Minister_Miser"	"minister"
"C_Minister_Navy_Good"	"minister"
"C_Minister_Physiocrat"	"minister"
"C_Minister_Radical"	"minister"
"C_Minister_Reactionary"	"minister"
"C_Minister_Trader"	"minister"
"C_Minister_Unjust"	"minister"
"C_Minister_Upright"	"minister"
"C_Missionary_Gone_Native"	"catholic_missionary"
"C_Missionary_Gone_Native"	"indian_missionary"
"C_Missionary_Gone_Native"	"middle_east_missionary"
"C_Missionary_Gone_Native"	"orthodox_missionary"
"C_Missionary_Gone_Native"	"Protestant_Missionary"
"C_Missionary_Hate_America"	"catholic_missionary"
"C_Missionary_Hate_America"	"indian_missionary"
"C_Missionary_Hate_America"	"middle_east_missionary"
"C_Missionary_Hate_America"	"orthodox_missionary"
"C_Missionary_Hate_America"	"Protestant_Missionary"
"C_Missionary_Hate_Europe"	"catholic_missionary"
"C_Missionary_Hate_Europe"	"indian_missionary"
"C_Missionary_Hate_Europe"	"middle_east_missionary"
"C_Missionary_Hate_Europe"	"orthodox_missionary"
"C_Missionary_Hate_Europe"	"Protestant_Missionary"
"C_Missionary_Hate_India"	"catholic_missionary"
"C_Missionary_Hate_India"	"indian_missionary"
"C_Missionary_Hate_India"	"middle_east_missionary"
"C_Missionary_Hate_India"	"orthodox_missionary"
"C_Missionary_Hate_India"	"Protestant_Missionary"
"C_Missionary_Like_America"	"catholic_missionary"
"C_Missionary_Like_America"	"indian_missionary"
"C_Missionary_Like_America"	"middle_east_missionary"
"C_Missionary_Like_America"	"orthodox_missionary"
"C_Missionary_Like_America"	"Protestant_Missionary"
"C_Missionary_Like_Europe"	"catholic_missionary"
"C_Missionary_Like_Europe"	"indian_missionary"
"C_Missionary_Like_Europe"	"middle_east_missionary"
"C_Missionary_Like_Europe"	"orthodox_missionary"
"C_Missionary_Like_Europe"	"Protestant_Missionary"
"C_Missionary_Like_India"	"catholic_missionary"
"C_Missionary_Like_India"	"indian_missionary"
"C_Missionary_Like_India"	"middle_east_missionary"
"C_Missionary_Like_India"	"orthodox_missionary"
"C_Missionary_Like_India"	"Protestant_Missionary"
"C_Missionary_Touched_By_God"	"catholic_missionary"
"C_Missionary_Touched_By_God"	"indian_missionary"
"C_Missionary_Touched_By_God"	"middle_east_missionary"
"C_Missionary_Touched_By_God"	"orthodox_missionary"
"C_Missionary_Touched_By_God"	"Protestant_Missionary"
"C_Personal_Hale"	"admiral"
"C_Personal_Hale"	"assassin"
"C_Personal_Hale"	"catholic_missionary"
"C_Personal_Hale"	"Eastern_Scholar"
"C_Personal_Hale"	"General"
"C_Personal_Hale"	"gentleman"
"C_Personal_Hale"	"indian_missionary"
"C_Personal_Hale"	"middle_east_missionary"
"C_Personal_Hale"	"orthodox_missionary"
"C_Personal_Hale"	"Protestant_Missionary"
"C_Personal_Hale"	"rake"
"C_Personal_High_Personal_Security"	"admiral"
"C_Personal_High_Personal_Security"	"Eastern_Scholar"
"C_Personal_High_Personal_Security"	"General"
"C_Personal_High_Personal_Security"	"gentleman"
"C_Personal_High_Personal_Security"	"rake"
"C_Personal_Piety"	"admiral"
"C_Personal_Piety"	"Eastern_Scholar"
"C_Personal_Piety"	"General"
"C_Personal_Piety"	"gentleman"
"C_Personal_Sickly"	"admiral"
"C_Personal_Sickly"	"assassin"
"C_Personal_Sickly"	"catholic_missionary"
"C_Personal_Sickly"	"Eastern_Scholar"
"C_Personal_Sickly"	"General"
"C_Personal_Sickly"	"gentleman"
"C_Personal_Sickly"	"indian_missionary"
"C_Personal_Sickly"	"middle_east_missionary"
"C_Personal_Sickly"	"orthodox_missionary"
"C_Personal_Sickly"	"Protestant_Missionary"
"C_Personal_Sickly"	"rake"
"C_Rake_Assassin_Good"	"assassin"
"C_Rake_Assassin_Good"	"rake"
"C_Rake_Born_Bounder"	"assassin"
"C_Rake_Born_Bounder"	"rake"
"C_Rake_Counter_Spy"	"assassin"
"C_Rake_Counter_Spy"	"rake"
"C_Rake_Gate_Opener"	"assassin"
"C_Rake_Gate_Opener"	"rake"
"C_Rake_Im_A_Laydee"	"rake"
"C_Rake_Naughty_Club"	"rake"
"C_Rake_Sabot_Good"	"assassin"
"C_Rake_Sabot_Good"	"rake"
"C_Rake_Spy_Good"	"assassin"
"C_Rake_Spy_Good"	"rake"
"C_Sausage_Vice"	"admiral"
"C_Sausage_Vice"	"General"
"C_Siege_Engineering"	"General"
"C_Tribal_General_Attacker_Bad"	"General"
"C_Tribal_General_Attacker_Good"	"General"
"C_Tribal_General_Bad_Field_Commander"	"General"
"C_Tribal_General_Bloody"	"General"
"C_Tribal_General_Born_Soldier"	"General"
"C_Tribal_General_Brave"	"General"
"C_Tribal_General_Cherokee"	"General"
"C_Tribal_General_Coward"	"General"
"C_Tribal_General_Defender_Bad"	"General"
"C_Tribal_General_Defender_Good"	"General"
"C_Tribal_General_Good_Field_Commander"	"General"
"C_Tribal_General_Hates_Europeans"	"General"
"C_Tribal_General_Hates_Europeans_Reset"	"General"
"C_Tribal_General_Huron"	"General"
"C_Tribal_General_Iroquois"	"General"
"C_Tribal_General_Lampooned"	"General"
"C_Tribal_General_Mad"	"General"
"C_Tribal_General_of_Cavalry"	"General"
"C_Tribal_General_Plains"	"General"
"C_Tribal_General_Plains_Coup"	"General"
"C_Tribal_General_Press_Hero"	"General"
"C_Tribal_General_Pueblo"	"General"
"C_Tribal_General_Siege_Attack_Bad"	"scout"
"C_Tribal_General_Siege_Attack_Good"	"General"
"C_Tribal_General_Siege_Defend_Bad"	"General"
"C_Tribal_General_Siege_Defend_Good"	"General"
"C_Tribal_Leader_Catholic"	"minister"
"C_Tribal_Leader_Clever_Stick"	"minister"
"C_Tribal_Leader_Cursed_Iroquois_Flying_Head"	"minister"
"C_Tribal_Leader_Debauched"	"General"
"C_Tribal_Leader_Dullard"	"minister"
"C_Tribal_Leader_Foreign_Tastes"	"minister"
"C_Tribal_Leader_Harsh_Ruler"	"minister"
"C_Tribal_Leader_Hindu"	"minister"
"C_Tribal_Leader_Huntin_Shootin_Fishin"	"minister"
"C_Tribal_Leader_Islamic"	"minister"
"C_Tribal_Leader_Mad"	"minister"
"C_Tribal_Leader_Orthodox"	"minister"
"C_Tribal_Leader_Peacemaker"	"minister"
"C_Tribal_Leader_Plains_Cursed"	"minister"
"C_Tribal_Leader_Protestant"	"minister"
"C_Tribal_Minister_Agriculturalist"	"minister"
"C_Tribal_Minister_Army_Good"	"minister"
"C_Tribal_Minister_Industrialist"	"minister"
"C_Tribal_Minister_Trader"	"minister"
"C_Tribal_Scout_Good_Army_Sabotage"	"scout"
"C_Tribal_Scout_Good_Assassin"	"scout"
"C_Tribal_Scout_Good_Spy"	"scout"
"C_Tribal_Scout_Sabot_Good"	"scout"
"C_Tribal_Shaman_Likes_Mushrooms"	"shaman"
"C_Tribal_Shaman_Plains_Buffalo_Dancer"	"shaman"
"C_Tribal_Shaman_Powwow"	"shaman"
"C_Tribal_Shaman_Pueblo_Sun_Dancer"	"shaman"
"C_Tribal_Shaman_Research_Military"	"shaman"
