version 1, schema effect_bonus_value_unit_category_junction_tables, guid db50d061-872a-4ed1-8ea0-ec1b564fde39
Trait_effect(string)	Bonus_ID(string)	unit_category(string)
"gem_general_army_melee_attack_bonus"	"melee_attack_mod"	"cavalry"
"gem_general_army_melee_attack_bonus"	"melee_attack_mod"	"infantry_melee"
"gem_general_army_melee_attack_bonus"	"melee_attack_mod"	"infantry_ranged"
"gem_general_army_melee_defence_bonus"	"melee_defence_mod"	"cavalry"
"gem_general_army_melee_defence_bonus"	"melee_defence_mod"	"infantry_melee"
"gem_general_army_melee_defence_bonus"	"melee_defence_mod"	"infantry_ranged"
"general_cavalry_bonus"	"charge_bonus"	"cavalry"
"general_infantry_bonus_mod"	"melee_attack_mod"	"infantry_melee"
"general_infantry_bonus_mod"	"melee_attack_mod"	"infantry_ranged"
"mod_infantry_movement_campaign"	"movement_mod"	"infantry"
"mod_infantry_training_battle"	"training_mod"	"infantry"
"mod_ship_movement_battle"	"movement_mod"	"naval_line_of_battle"
"mod_ship_movement_campaign"	"movement_mod"	"naval_line_of_battle"
"mod_unit_charge_bonus_cavalry"	"charge_bonus"	"cavalry"
"mod_unit_charge_cavalry_local"	"unit_stat_charge_bonus_mod"	"cavalry"
"mod_unit_melee_attack_cavalry"	"melee_attack_mod"	"cavalry"
"mod_unit_morale_cavalry"	"morale"	"cavalry"
"mod_unit_recruitment_cost_cavalry"	"cost_mod"	"cavalry"
"mod_unit_recruitment_cost_melee_infantry"	"cost_mod"	"infantry_melee"
"mod_unit_upkeep_cavalry"	"upkeep_mod"	"cavalry"
"mod_unit_xp_cavalry"	"unit_xp_mod"	"cavalry"
"recruitment_cost_mod_category_artillery_global"	"cost_mod"	"artillery"
"recruitment_cost_mod_category_artillery"	"cost_mod"	"artillery"
"recruitment_cost_mod_category_cavalry_global"	"cost_mod"	"cavalry"
"recruitment_cost_mod_category_cavalry"	"cost_mod"	"cavalry"
"recruitment_cost_mod_category_infantry_global"	"cost_mod"	"infantry"
"recruitment_cost_mod_category_infantry"	"cost_mod"	"infantry"
"recruitment_cost_mod_category_naval_merchant"	"cost_mod"	"naval_merchant"
"recruitment_cost_mod_category_naval_specialist"	"cost_mod"	"naval_specialist"
"tech_unit_land_movement_mod"	"mod_land_movement_battle"	"infantry_melee"
"tech_unit_land_movement_mod"	"mod_land_movement_battle"	"infantry_ranged"
"upkeep_cost_mod_category_artillery"	"upkeep_mod"	"artillery"
"upkeep_cost_mod_category_cavalry"	"upkeep_mod"	"cavalry"
"upkeep_cost_mod_category_infantry"	"upkeep_mod"	"infantry"
"upkeep_cost_mod_category_infantry"	"upkeep_mod"	"infantry_melee"
"upkeep_cost_mod_category_infantry"	"upkeep_mod"	"infantry_ranged"
"upkeep_cost_mod_category_naval_merchant"	"upkeep_mod"	"naval_merchant"
"upkeep_cost_mod_category_naval_specialist"	"upkeep_mod"	"naval_specialist"
