version 3, schema campaigns_campaign_variables_junctions_tables, guid 2b096b1e-e3c2-49d1-b9bb-3b290a4f41d3
unknown1(string)	unknown2(string)	unknown3(float)	unknown4(optstring)	unknown5(boolean)
"gempei_cai_aggr_ramp_level_min"	"jap_gempei"	1	"0"	false
"gempei_cai_aggr_ramp_level_min"	"jap_gempei"	1	"1"	false
"gempei_cai_aggr_ramp_rounds_max"	"jap_gempei"	100	"-1"	false
"gempei_cai_aggr_ramp_rounds_max"	"jap_gempei"	80	"-2"	false
"gempei_cai_aggr_ramp_rounds_max"	"jap_gempei"	60	"-3"	false
"gempei_cai_aggr_ramp_rounds_max"	"jap_gempei"	100	"0"	false
"gempei_cai_aggr_ramp_rounds_max"	"jap_gempei"	100	"1"	false
"gempei_cai_aggr_ramp_rounds_min"	"jap_gempei"	20	"-1"	false
"gempei_cai_aggr_ramp_rounds_min"	"jap_gempei"	0	"-2"	false
"gempei_cai_aggr_ramp_rounds_min"	"jap_gempei"	0	"-3"	false
"gempei_cai_aggr_ramp_rounds_min"	"jap_gempei"	20	"0"	false
"gempei_cai_aggr_ramp_rounds_min"	"jap_gempei"	20	"1"	false
"prestige_protectorate_region_value"	"jap_boshin"	5	"-1"	false
"prestige_protectorate_region_value"	"jap_boshin"	6	"-2"	false
"prestige_protectorate_region_value"	"jap_boshin"	7	"-3"	false
"prestige_protectorate_region_value"	"jap_boshin"	4	"0"	false
"prestige_protectorate_region_value"	"jap_boshin"	3	"1"	false
"prestige_region_value_domination"	"jap_boshin"	5	"-1"	false
"prestige_region_value_domination"	"jap_boshin"	6	"-2"	false
"prestige_region_value_domination"	"jap_boshin"	7	"-3"	false
"prestige_region_value_domination"	"jap_boshin"	4	"0"	false
"prestige_region_value_domination"	"jap_boshin"	3	"1"	false
"prestige_region_value_short"	"jap_boshin"	10	"-1"	false
"prestige_region_value_short"	"jap_boshin"	10	"-2"	false
"prestige_region_value_short"	"jap_boshin"	11	"-3"	false
"prestige_region_value_short"	"jap_boshin"	9	"0"	false
"prestige_region_value_short"	"jap_boshin"	9	"1"	false
"prestige_region_value"	"jap_boshin"	7	"-1"	false
"prestige_region_value"	"jap_boshin"	8	"-2"	false
"prestige_region_value"	"jap_boshin"	9	"-3"	false
"prestige_region_value"	"jap_boshin"	6	"0"	false
"prestige_region_value"	"jap_boshin"	5	"1"	false
"unit_stat_accuracy_bonus_threshold_level_1"	"jap_gempei"	12	nil	false
"unit_stat_accuracy_bonus_threshold_level_2"	"jap_gempei"	25	nil	false
"unit_stat_armour_bonus_threshold_level_1"	"jap_gempei"	1	nil	false
"unit_stat_armour_bonus_threshold_level_2"	"jap_gempei"	3	nil	false
"unit_stat_melee_bonus_threshold_level_1"	"jap_gempei"	4	"100"	false
"unit_stat_melee_bonus_threshold_level_2"	"jap_gempei"	7	nil	false
"unit_stat_morale_bonus_threshold_level_1"	"jap_gempei"	1	nil	false
"unit_stat_morale_bonus_threshold_level_2"	"jap_gempei"	2	nil	false
