version 1, schema unit_to_unit_abilities_junctions_tables
Unit_IDRef(string)	Unit_Ability_IDRef(string)
"east_ethnic_musketeers_bargir"	"square_formation"
"east_ethnic_musketmen"	"square_formation"
"east_ethnic_musketmen_hindu_musketeers"	"square_formation"
"east_ethnic_musketmen_isarelys"	"square_formation"
"east_grenade_launchers"	"chevaux_de_frise"
"east_grenade_launchers"	"earthworks"
"east_guard_cavalry_ahadis"	"diamond_formation"
"east_guard_cavalry_ahadis"	"wedge_formation"
"east_lancers"	"diamond_formation"
"east_lancers"	"wedge_formation"
"east_lancers_bargir"	"diamond_formation"
"east_lancers_bargir"	"wedge_formation"
"east_lancers_silladar"	"diamond_formation"
"east_lancers_silladar"	"wedge_formation"
"east_light_cavalry_qizilbashi"	"diamond_formation"
"east_light_cavalry_qizilbashi"	"wedge_formation"
"east_pikemen_zamindari"	"pike_square_formation"
"east_pikemen_zamindari"	"pike_wall_formation"
"east_sikh_infantry_musketeers"	"square_formation"
"east_sipahi_cavalry"	"diamond_formation"
"east_sipahi_cavalry"	"wedge_formation"
"east_sipahi_cavalry_colonial"	"diamond_formation"
"east_sipahi_cavalry_colonial"	"wedge_formation"
"elite_2nd_hussars"	"diamond_formation"
"elite_2nd_hussars"	"wedge_formation"
"elite_blue_guard"	"chevaux_de_frise"
"elite_blue_guard"	"earthworks"
"elite_blue_guard"	"fire_and_advance"
"elite_blue_guard"	"square_formation"
"elite_bosniaks"	"diamond_formation"
"elite_bosniaks"	"wedge_formation"
"elite_frei-korps"	"chevaux_de_frise"
"elite_frei-korps"	"earthworks"
"elite_frei-korps"	"light_infantry_behaviour"
"elite_garde_a_cheval"	"diamond_formation"
"elite_garde_a_cheval"	"wedge_formation"
"elite_garde_du_corp"	"diamond_formation"
"elite_garde_du_corp"	"wedge_formation"
"elite_guard_grenadiers"	"chevaux_de_frise"
"elite_guard_grenadiers"	"earthworks"
"elite_guard_grenadiers"	"fire_and_advance"
"elite_horse_guards"	"diamond_formation"
"elite_horse_guards"	"wedge_formation"
"elite_hungarian_grenadiers"	"chevaux_de_frise"
"elite_hungarian_grenadiers"	"earthworks"
"elite_hungarian_grenadiers"	"fire_and_advance"
"elite_legion_united_states"	"chevaux_de_frise"
"elite_legion_united_states"	"earthworks"
"elite_legion_united_states"	"light_infantry_behaviour"
"elite_siemenovski_foot_guards"	"chevaux_de_frise"
"elite_siemenovski_foot_guards"	"earthworks"
"elite_siemenovski_foot_guards"	"fire_and_advance"
"elite_siemenovski_foot_guards"	"square_formation"
"elite_swiss_guard"	"chevaux_de_frise"
"elite_swiss_guard"	"earthworks"
"elite_swiss_guard"	"fire_and_advance"
"elite_swiss_guard"	"square_formation"
"elite_usmc"	"chevaux_de_frise"
"elite_usmc"	"earthworks"
"elite_usmc"	"fire_and_advance"
"elite_usmc"	"square_formation"
"elite_walloon_guards"	"chevaux_de_frise"
"elite_walloon_guards"	"earthworks"
"elite_walloon_guards"	"fire_and_advance"
"elite_walloon_guards"	"square_formation"
"episodic_2_colonial_militia"	"fire_volley"
"episodic_2_natam_musketeers"	"fire_volley"
"episodic_2_native_american_musketeer_auxiliary"	"fire_volley"
"episodic_2_rangers"	"fire_volley"
"episodic_demi_cannon"	"gabionade"
"episodic_sakers"	"gabionade"
"eua_1st_delaware"	"chevaux_de_frise"
"eua_1st_delaware"	"earthworks"
"eua_1st_delaware"	"fire_and_advance"
"eua_1st_delaware"	"square_formation"
"eua_1st_maryland"	"chevaux_de_frise"
"eua_1st_maryland"	"earthworks"
"eua_1st_maryland"	"fire_and_advance"
"eua_1st_maryland"	"square_formation"
"eua_2nd_dragoons"	"diamond_formation"
"eua_2nd_dragoons"	"fire_mounted"
"eua_2nd_dragoons"	"wedge_formation"
"eua_2nd_new_york"	"chevaux_de_frise"
"eua_2nd_new_york"	"earthworks"
"eua_2nd_new_york"	"fire_and_advance"
"eua_2nd_new_york"	"square_formation"
"eua_33rd_foot"	"chevaux_de_frise"
"eua_33rd_foot"	"earthworks"
"eua_33rd_foot"	"fire_and_advance"
"eua_33rd_foot"	"square_formation"
"eua_brunswick_dragoons"	"diamond_formation"
"eua_brunswick_dragoons"	"wedge_formation"
"eua_hessian_grenadiers"	"chevaux_de_frise"
"eua_hessian_grenadiers"	"earthworks"
"eua_kings_royal"	"chevaux_de_frise"
"eua_kings_royal"	"earthworks"
"eua_kings_royal"	"fire_and_advance"
"eua_kings_royal"	"square_formation"
"eua_lees_legion"	"diamond_formation"
"eua_lees_legion"	"fire_mounted"
"eua_lees_legion"	"wedge_formation"
"eua_morgans_rifles"	"chevaux_de_frise"
"eua_morgans_rifles"	"earthworks"
"eua_morgans_rifles"	"fougasse_basic"
"eua_morgans_rifles"	"fougasse_improved"
"eua_morgans_rifles"	"light_infantry_behaviour"
"eua_morgans_rifles"	"wooden_stakes"
"eua_pulaskis_legion"	"diamond_formation"
"eua_pulaskis_legion"	"wedge_formation"
"eua_royal_deux_ponts"	"chevaux_de_frise"
"eua_royal_deux_ponts"	"earthworks"
"eua_royal_deux_ponts"	"fire_and_advance"
"eua_royal_deux_ponts"	"square_formation"
"eua_royal_welch"	"chevaux_de_frise"
"eua_royal_welch"	"earthworks"
"eua_royal_welch"	"square_formation"
"eua_select_marksmen"	"chevaux_de_frise"
"eua_select_marksmen"	"earthworks"
"eua_select_marksmen"	"fougasse_basic"
"eua_select_marksmen"	"fougasse_improved"
"eua_select_marksmen"	"light_infantry_behaviour"
"eua_tarleton_dragoons"	"diamond_formation"
"eua_tarleton_dragoons"	"wedge_formation"
"euro_african_infantry"	"chevaux_de_frise"
"euro_african_infantry"	"earthworks"
"euro_company_cavalry"	"diamond_formation"
"euro_company_cavalry"	"wedge_formation"
"euro_company_cavalry_e_india_co"	"diamond_formation"
"euro_company_cavalry_e_india_co"	"wedge_formation"
"euro_company_cavalry_french_eic"	"diamond_formation"
"euro_company_cavalry_french_eic"	"wedge_formation"
"euro_company_cavalry_voc"	"diamond_formation"
"euro_company_cavalry_voc"	"wedge_formation"
"euro_company_infantry"	"chevaux_de_frise"
"euro_company_infantry"	"earthworks"
"euro_company_infantry"	"fire_and_advance"
"euro_company_infantry"	"square_formation"
"euro_company_infantry_e_india_co"	"chevaux_de_frise"
"euro_company_infantry_e_india_co"	"earthworks"
"euro_company_infantry_e_india_co"	"fire_and_advance"
"euro_company_infantry_e_india_co"	"square_formation"
"euro_company_infantry_french_eic"	"chevaux_de_frise"
"euro_company_infantry_french_eic"	"earthworks"
"euro_company_infantry_french_eic"	"fire_and_advance"
"euro_company_infantry_french_eic"	"square_formation"
"euro_company_infantry_voc_infantry"	"chevaux_de_frise"
"euro_company_infantry_voc_infantry"	"earthworks"
"euro_company_infantry_voc_infantry"	"fire_and_advance"
"euro_company_infantry_voc_infantry"	"square_formation"
"euro_cuirassiers"	"diamond_formation"
"euro_cuirassiers"	"wedge_formation"
"euro_cuirassiers_austria"	"diamond_formation"
"euro_cuirassiers_austria"	"wedge_formation"
"euro_cuirassiers_france"	"diamond_formation"
"euro_cuirassiers_france"	"wedge_formation"
"euro_dragoons"	"diamond_formation"
"euro_dragoons"	"wedge_formation"
"euro_dragoons_austria"	"diamond_formation"
"euro_dragoons_austria"	"wedge_formation"
"euro_dragoons_colonial"	"diamond_formation"
"euro_dragoons_colonial"	"wedge_formation"
"euro_dragoons_small"	"diamond_formation"
"euro_dragoons_small"	"wedge_formation"
"euro_dragoons_sweden"	"diamond_formation"
"euro_dragoons_sweden"	"wedge_formation"
"euro_elite_light_infantry"	"chevaux_de_frise"
"euro_elite_light_infantry"	"earthworks"
"euro_elite_light_infantry"	"fire_volley"
"euro_elite_light_infantry"	"fougasse_basic"
"euro_elite_light_infantry"	"fougasse_improved"
"euro_elite_light_infantry"	"light_infantry_behaviour"
"euro_elite_light_infantry"	"wooden_stakes"
"euro_elite_light_infantry_croatian_grenzers"	"chevaux_de_frise"
"euro_elite_light_infantry_croatian_grenzers"	"earthworks"
"euro_elite_light_infantry_croatian_grenzers"	"fire_volley"
"euro_elite_light_infantry_croatian_grenzers"	"fougasse_basic"
"euro_elite_light_infantry_croatian_grenzers"	"fougasse_improved"
"euro_elite_light_infantry_croatian_grenzers"	"light_infantry_behaviour"
"euro_elite_light_infantry_croatian_grenzers"	"wooden_stakes"
"euro_elite_light_infantry_green_jackets"	"chevaux_de_frise"
"euro_elite_light_infantry_green_jackets"	"earthworks"
"euro_elite_light_infantry_green_jackets"	"fire_volley"
"euro_elite_light_infantry_green_jackets"	"fougasse_basic"
"euro_elite_light_infantry_green_jackets"	"fougasse_improved"
"euro_elite_light_infantry_green_jackets"	"light_infantry_behaviour"
"euro_elite_light_infantry_green_jackets"	"wooden_stakes"
"euro_elite_light_infantry_prussian_jaegers"	"chevaux_de_frise"
"euro_elite_light_infantry_prussian_jaegers"	"earthworks"
"euro_elite_light_infantry_prussian_jaegers"	"fire_volley"
"euro_elite_light_infantry_prussian_jaegers"	"fougasse_basic"
"euro_elite_light_infantry_prussian_jaegers"	"fougasse_improved"
"euro_elite_light_infantry_prussian_jaegers"	"light_infantry_behaviour"
"euro_elite_light_infantry_prussian_jaegers"	"wooden_stakes"
"euro_elite_light_infantry_tirailleurs"	"chevaux_de_frise"
"euro_elite_light_infantry_tirailleurs"	"earthworks"
"euro_elite_light_infantry_tirailleurs"	"fire_volley"
"euro_elite_light_infantry_tirailleurs"	"fougasse_basic"
"euro_elite_light_infantry_tirailleurs"	"fougasse_improved"
"euro_elite_light_infantry_tirailleurs"	"light_infantry_behaviour"
"euro_elite_light_infantry_tirailleurs"	"wooden_stakes"
"euro_elite_light_infantry_windbuchse_jaegers"	"chevaux_de_frise"
"euro_elite_light_infantry_windbuchse_jaegers"	"earthworks"
"euro_elite_light_infantry_windbuchse_jaegers"	"fire_volley"
"euro_elite_light_infantry_windbuchse_jaegers"	"fougasse_basic"
"euro_elite_light_infantry_windbuchse_jaegers"	"fougasse_improved"
"euro_elite_light_infantry_windbuchse_jaegers"	"light_infantry_behaviour"
"euro_expat_infantry"	"chevaux_de_frise"
"euro_expat_infantry"	"earthworks"
"euro_expat_infantry"	"fire_and_advance"
"euro_expat_infantry"	"square_formation"
"euro_expat_infantry_chasseurs_britannique"	"chevaux_de_frise"
"euro_expat_infantry_chasseurs_britannique"	"earthworks"
"euro_expat_infantry_chasseurs_britannique"	"fire_volley"
"euro_expat_infantry_chasseurs_britannique"	"fougasse_basic"
"euro_expat_infantry_chasseurs_britannique"	"light_infantry_behaviour"
"euro_expat_infantry_irish_brigade"	"chevaux_de_frise"
"euro_expat_infantry_irish_brigade"	"earthworks"
"euro_expat_infantry_irish_brigade"	"fire_and_advance"
"euro_expat_infantry_irish_brigade"	"square_formation"
"euro_expat_infantry_regiments_etrangeres"	"chevaux_de_frise"
"euro_expat_infantry_regiments_etrangeres"	"earthworks"
"euro_expat_infantry_regiments_etrangeres"	"fire_and_advance"
"euro_expat_infantry_regiments_etrangeres"	"square_formation"
"euro_grenade_launchers"	"chevaux_de_frise"
"euro_grenade_launchers"	"earthworks"
"euro_grenadiers"	"chevaux_de_frise"
"euro_grenadiers"	"earthworks"
"euro_grenadiers_bearskin"	"chevaux_de_frise"
"euro_grenadiers_bearskin"	"earthworks"
"euro_heavy_cavalry"	"diamond_formation"
"euro_heavy_cavalry"	"wedge_formation"
"euro_heavy_cavalry_austria"	"diamond_formation"
"euro_heavy_cavalry_austria"	"wedge_formation"
"euro_heavy_cavalry_france"	"diamond_formation"
"euro_heavy_cavalry_france"	"wedge_formation"
"euro_heavy_cavalry_sweden"	"diamond_formation"
"euro_heavy_cavalry_sweden"	"wedge_formation"
"euro_highlanders"	"chevaux_de_frise"
"euro_highlanders"	"earthworks"
"euro_highlanders"	"fire_and_advance"
"euro_highlanders"	"square_formation"
"euro_highlanders_royal_ecossois"	"chevaux_de_frise"
"euro_highlanders_royal_ecossois"	"earthworks"
"euro_highlanders_royal_ecossois"	"fire_and_advance"
"euro_highlanders_royal_ecossois"	"square_formation"
"euro_highlanders_scots"	"chevaux_de_frise"
"euro_highlanders_scots"	"earthworks"
"euro_highlanders_scots"	"fire_and_advance"
"euro_highlanders_scots"	"square_formation"
"euro_hussars"	"diamond_formation"
"euro_hussars"	"wedge_formation"
"euro_hussars_france"	"diamond_formation"
"euro_hussars_france"	"wedge_formation"
"euro_hussars_hungarian_hussars"	"diamond_formation"
"euro_hussars_hungarian_hussars"	"wedge_formation"
"euro_lancers"	"diamond_formation"
"euro_lancers"	"wedge_formation"
"euro_lancers_chevau_legers"	"diamond_formation"
"euro_lancers_chevau_legers"	"wedge_formation"
"euro_lancers_east_india_company_lancers"	"diamond_formation"
"euro_lancers_east_india_company_lancers"	"wedge_formation"
"euro_lancers_uhlans"	"diamond_formation"
"euro_lancers_uhlans"	"wedge_formation"
"euro_lancers_uhlans_austria"	"diamond_formation"
"euro_lancers_uhlans_austria"	"wedge_formation"
"euro_late_riflemen"	"chevaux_de_frise"
"euro_late_riflemen"	"earthworks"
"euro_late_riflemen"	"fire_volley"
"euro_late_riflemen"	"fougasse_basic"
"euro_late_riflemen"	"fougasse_improved"
"euro_late_riflemen"	"light_infantry_behaviour"
"euro_late_riflemen"	"wooden_stakes"
"euro_light_cavalry"	"diamond_formation"
"euro_light_cavalry"	"wedge_formation"
"euro_light_cavalry_chasseurs_a_cheval"	"diamond_formation"
"euro_light_cavalry_chasseurs_a_cheval"	"wedge_formation"
"euro_light_cavalry_colonial"	"diamond_formation"
"euro_light_cavalry_colonial"	"wedge_formation"
"euro_light_dragoons"	"diamond_formation"
"euro_light_dragoons"	"wedge_formation"
"euro_light_dragoons_austria"	"diamond_formation"
"euro_light_dragoons_austria"	"wedge_formation"
"euro_light_dragoons_sweden"	"diamond_formation"
"euro_light_dragoons_sweden"	"wedge_formation"
"euro_light_infantry"	"chevaux_de_frise"
"euro_light_infantry"	"earthworks"
"euro_light_infantry"	"fire_volley"
"euro_light_infantry"	"fougasse_basic"
"euro_light_infantry"	"light_infantry_behaviour"
"euro_light_infantry_barbets"	"chevaux_de_frise"
"euro_light_infantry_barbets"	"earthworks"
"euro_light_infantry_barbets"	"fire_volley"
"euro_light_infantry_chasseur_a_pied"	"chevaux_de_frise"
"euro_light_infantry_chasseur_a_pied"	"earthworks"
"euro_light_infantry_chasseur_a_pied"	"fire_volley"
"euro_light_infantry_chasseur_a_pied"	"fougasse_basic"
"euro_light_infantry_chasseur_a_pied"	"light_infantry_behaviour"
"euro_light_infantry_colonial"	"chevaux_de_frise"
"euro_light_infantry_colonial"	"earthworks"
"euro_light_infantry_colonial"	"fire_volley"
"euro_light_infantry_colonial"	"fougasse_basic"
"euro_light_infantry_colonial"	"light_infantry_behaviour"
"euro_light_infantry_jaegers"	"chevaux_de_frise"
"euro_light_infantry_jaegers"	"earthworks"
"euro_light_infantry_jaegers"	"fire_volley"
"euro_light_infantry_jaegers"	"fougasse_basic"
"euro_light_infantry_jaegers"	"light_infantry_behaviour"
"euro_light_infantry_miquelets"	"chevaux_de_frise"
"euro_light_infantry_miquelets"	"earthworks"
"euro_light_infantry_miquelets"	"fire_volley"
"euro_line_infantry"	"chevaux_de_frise"
"euro_line_infantry"	"earthworks"
"euro_line_infantry"	"fire_and_advance"
"euro_line_infantry"	"square_formation"
"euro_line_infantry_austria"	"chevaux_de_frise"
"euro_line_infantry_austria"	"earthworks"
"euro_line_infantry_austria"	"fire_and_advance"
"euro_line_infantry_austria"	"square_formation"
"euro_line_infantry_britain"	"chevaux_de_frise"
"euro_line_infantry_britain"	"earthworks"
"euro_line_infantry_britain"	"fire_and_advance"
"euro_line_infantry_britain"	"square_formation"
"euro_line_infantry_colonial"	"chevaux_de_frise"
"euro_line_infantry_colonial"	"earthworks"
"euro_line_infantry_colonial"	"fire_and_advance"
"euro_line_infantry_colonial"	"square_formation"
"euro_line_infantry_denmark"	"chevaux_de_frise"
"euro_line_infantry_denmark"	"earthworks"
"euro_line_infantry_denmark"	"fire_and_advance"
"euro_line_infantry_denmark"	"square_formation"
"euro_line_infantry_france"	"chevaux_de_frise"
"euro_line_infantry_france"	"earthworks"
"euro_line_infantry_france"	"fire_and_advance"
"euro_line_infantry_france"	"square_formation"
"euro_line_infantry_holland"	"chevaux_de_frise"
"euro_line_infantry_holland"	"earthworks"
"euro_line_infantry_holland"	"fire_and_advance"
"euro_line_infantry_holland"	"square_formation"
"euro_line_infantry_invalids"	"chevaux_de_frise"
"euro_line_infantry_invalids"	"earthworks"
"euro_line_infantry_invalids"	"square_formation"
"euro_line_infantry_poland"	"chevaux_de_frise"
"euro_line_infantry_poland"	"earthworks"
"euro_line_infantry_poland"	"fire_and_advance"
"euro_line_infantry_poland"	"square_formation"
"euro_line_infantry_prussia"	"chevaux_de_frise"
"euro_line_infantry_prussia"	"earthworks"
"euro_line_infantry_prussia"	"fire_and_advance"
"euro_line_infantry_prussia"	"square_formation"
"euro_line_infantry_russia"	"chevaux_de_frise"
"euro_line_infantry_russia"	"earthworks"
"euro_line_infantry_russia"	"fire_and_advance"
"euro_line_infantry_russia"	"square_formation"
"euro_line_infantry_spain"	"chevaux_de_frise"
"euro_line_infantry_spain"	"earthworks"
"euro_line_infantry_spain"	"fire_and_advance"
"euro_line_infantry_spain"	"square_formation"
"euro_line_infantry_sweden"	"chevaux_de_frise"
"euro_line_infantry_sweden"	"earthworks"
"euro_line_infantry_sweden"	"fire_and_advance"
"euro_line_infantry_sweden"	"square_formation"
"euro_line_infantry_venice"	"chevaux_de_frise"
"euro_line_infantry_venice"	"earthworks"
"euro_line_infantry_venice"	"fire_and_advance"
"euro_line_infantry_venice"	"square_formation"
"euro_militia_infantry"	"chevaux_de_frise"
"euro_militia_infantry"	"earthworks"
"euro_militia_infantry_colonial_militia"	"chevaux_de_frise"
"euro_militia_infantry_colonial_militia"	"earthworks"
"euro_militia_infantry_minutemen"	"chevaux_de_frise"
"euro_militia_infantry_minutemen"	"earthworks"
"euro_militia_infantry_provincial_infantry"	"chevaux_de_frise"
"euro_militia_infantry_provincial_infantry"	"earthworks"
"euro_pikemen"	"chevaux_de_frise"
"euro_pikemen"	"earthworks"
"euro_pikemen"	"pike_square_formation"
"euro_pikemen"	"pike_wall_formation"
"euro_pikemen_austria"	"chevaux_de_frise"
"euro_pikemen_austria"	"earthworks"
"euro_pikemen_colonial"	"chevaux_de_frise"
"euro_pikemen_colonial"	"earthworks"
"euro_pikemen_prussian"	"chevaux_de_frise"
"euro_pikemen_prussian"	"earthworks"
"euro_polish_winged_hussars"	"diamond_formation"
"euro_polish_winged_hussars"	"wedge_formation"
"euro_provincial_cavalry"	"diamond_formation"
"euro_provincial_cavalry"	"wedge_formation"
"euro_provincial_cavalry_gendarmerie"	"diamond_formation"
"euro_provincial_cavalry_gendarmerie"	"wedge_formation"
"euro_provincial_cavalry_yeomanry"	"diamond_formation"
"euro_provincial_cavalry_yeomanry"	"wedge_formation"
"euro_provincial_line_infantry"	"chevaux_de_frise"
"euro_provincial_line_infantry"	"earthworks"
"euro_rangers"	"chevaux_de_frise"
"euro_rangers"	"earthworks"
"euro_rangers"	"fire_volley"
"euro_rangers"	"light_infantry_behaviour"
"euro_rangers_courers_de_bois"	"chevaux_de_frise"
"euro_rangers_courers_de_bois"	"earthworks"
"euro_rangers_courers_de_bois"	"fire_volley"
"euro_rangers_courers_de_bois"	"light_infantry_behaviour"
"euro_rangers_frontiersmen"	"chevaux_de_frise"
"euro_rangers_frontiersmen"	"earthworks"
"euro_rangers_frontiersmen"	"fire_volley"
"euro_rangers_frontiersmen"	"light_infantry_behaviour"
"euro_rangers_siberian_hunters"	"chevaux_de_frise"
"euro_rangers_siberian_hunters"	"earthworks"
"euro_rangers_siberian_hunters"	"fire_volley"
"euro_rangers_siberian_hunters"	"light_infantry_behaviour"
"euro_regiment_of_horse"	"diamond_formation"
"euro_regiment_of_horse"	"wedge_formation"
"euro_regiment_of_horse_sweden"	"diamond_formation"
"euro_regiment_of_horse_sweden"	"wedge_formation"
"euro_republican_conscript_infantry"	"chevaux_de_frise"
"euro_republican_conscript_infantry"	"earthworks"
"euro_republican_guard"	"chevaux_de_frise"
"euro_republican_guard"	"earthworks"
"euro_republican_guard"	"square_formation"
"euro_sepoys"	"chevaux_de_frise"
"euro_sepoys"	"earthworks"
"euro_sepoys"	"square_formation"
"euro_superior_line_infantry"	"chevaux_de_frise"
"euro_superior_line_infantry"	"earthworks"
"euro_superior_line_infantry"	"fire_and_advance"
"euro_superior_line_infantry"	"square_formation"
"euro_superior_line_infantry_blackwatch"	"chevaux_de_frise"
"euro_superior_line_infantry_blackwatch"	"earthworks"
"euro_superior_line_infantry_blackwatch"	"fire_and_advance"
"euro_superior_line_infantry_blackwatch"	"square_formation"
"euro_superior_line_infantry_coldstream"	"chevaux_de_frise"
"euro_superior_line_infantry_coldstream"	"earthworks"
"euro_superior_line_infantry_coldstream"	"fire_and_advance"
"euro_superior_line_infantry_coldstream"	"square_formation"
"euro_superior_line_infantry_petits_vieux"	"chevaux_de_frise"
"euro_superior_line_infantry_petits_vieux"	"earthworks"
"euro_superior_line_infantry_petits_vieux"	"fire_and_advance"
"euro_superior_line_infantry_petits_vieux"	"square_formation"
"euro_superior_line_infantry_vieux"	"chevaux_de_frise"
"euro_superior_line_infantry_vieux"	"earthworks"
"euro_superior_line_infantry_vieux"	"fire_and_advance"
"euro_superior_line_infantry_vieux"	"square_formation"
"ferguson_riflemen"	"chevaux_de_frise"
"ferguson_riflemen"	"earthworks"
"ferguson_riflemen"	"fire_volley"
"ferguson_riflemen"	"fougasse_basic"
"ferguson_riflemen"	"fougasse_improved"
"ferguson_riflemen"	"light_infantry_behaviour"
"ferguson_riflemen"	"wooden_stakes"
"garde_du_corps"	"diamond_formation"
"garde_du_corps"	"wedge_formation"
"gorodskiye_streltsy"	"chevaux_de_frise"
"gorodskiye_streltsy"	"earthworks"
"guard_infantry"	"chevaux_de_frise"
"guard_infantry"	"earthworks"
"guard_infantry"	"fire_and_advance"
"guard_infantry"	"square_formation"
"guerillas"	"chevaux_de_frise"
"guerillas"	"earthworks"
"guerillas"	"fire_volley"
"hakkapeliitat"	"diamond_formation"
"hakkapeliitat"	"wedge_formation"
"highland_clansmen"	"chevaux_de_frise"
"highland_clansmen"	"earthworks"
"household_cavalry"	"diamond_formation"
"household_cavalry"	"wedge_formation"
"janissaries_beylik"	"chevaux_de_frise"
"janissaries_beylik"	"earthworks"
"janissaries_beylik_grenadiers"	"chevaux_de_frise"
"janissaries_beylik_grenadiers"	"earthworks"
"janissaries_beylik_musketeers"	"chevaux_de_frise"
"janissaries_beylik_musketeers"	"earthworks"
"janissaries_cemaat"	"chevaux_de_frise"
"janissaries_cemaat"	"earthworks"
"janissaries_cemaat_grenadiers"	"chevaux_de_frise"
"janissaries_cemaat_grenadiers"	"earthworks"
"janissaries_sekban"	"chevaux_de_frise"
"janissaries_sekban"	"earthworks"
"life_guards"	"diamond_formation"
"life_guards"	"wedge_formation"
"maison_du_roi"	"chevaux_de_frise"
"maison_du_roi"	"earthworks"
"maison_du_roi"	"square_formation"
"mameluks"	"diamond_formation"
"mameluks"	"wedge_formation"
"musellims"	"chevaux_de_frise"
"musellims"	"earthworks"
"native_american_artillery"	"gabionade"
"native_american_musketeers"	"fire_volley"
"native_american_musketeers_auxiliary"	"fire_volley"
"netherlands_holland_guard"	"chevaux_de_frise"
"netherlands_holland_guard"	"earthworks"
"netherlands_holland_guard"	"fire_and_advance"
"netherlands_holland_guard"	"square_formation"
"netherlands_horse_guards"	"diamond_formation"
"netherlands_horse_guards"	"wedge_formation"
"netherlands_swiss_infantry"	"chevaux_de_frise"
"netherlands_swiss_infantry"	"earthworks"
"netherlands_swiss_infantry"	"fire_and_advance"
"netherlands_swiss_infantry"	"square_formation"
"nizam_I_cedit_infantry"	"chevaux_de_frise"
"nizam_I_cedit_infantry"	"earthworks"
"nizam_I_cedit_infantry"	"fire_and_advance"
"nizam_I_cedit_infantry"	"square_formation"
