version 1, schema campaign_map_settlements_tables
Settlement_ID(string)	Region(string)	Capital(string)	Unknown2(int)	Slot(string)
"settlement:spa_basses_pyrenees:pau"	"spa_basses_pyrenees"	"Pau"	1	"settlement"
"settlement:spa_burgos:burgos"	"spa_burgos"	"Burgos"	1	"settlement"
"settlement:spa_caceres:caceres"	"spa_caceres"	"Cáceres"	1	"settlement"
"settlement:spa_cantabria:santander"	"spa_cantabria"	"Santander"	1	"settlement"
"settlement:spa_castilla_la_nueva:madrid"	"spa_castilla_la_nueva"	"Madrid"	3	"settlement"
"settlement:spa_castilla_la_vieja:valladolid"	"spa_castilla_la_vieja"	"Valladolid"	2	"settlement"
"settlement:spa_cataluna:barcelona"	"spa_cataluna"	"Barcelona"	2	"settlement"
"settlement:spa_centro:coimbra"	"spa_centro"	"Coimbra"	1	"settlement"
"settlement:spa_cordoba:cordova"	"spa_cordoba"	"Cordova"	1	"settlement"
"settlement:spa_cuenca:cuenca"	"spa_cuenca"	"Cuenca"	1	"settlement"
"settlement:spa_galicia:santiago_de_compostella"	"spa_galicia"	"Santiago de Compostella"	1	"settlement"
"settlement:spa_gibraltar:gibraltar"	"spa_gibraltar"	"Gibraltar"	2	"settlement"
"settlement:spa_granada:granada"	"spa_granada"	"Granada"	1	"settlement"
"settlement:spa_la_mancha:ciudad_real"	"spa_la_mancha"	"Ciudad Real"	1	"settlement"
"settlement:spa_leon:leon"	"spa_leon"	"Leon"	2	"settlement"
"settlement:spa_lisboa:lisbon"	"spa_lisboa"	"Lisbon"	3	"settlement"
"settlement:spa_midi_pyrenees:toulouse"	"spa_midi_pyrenees"	"Toulouse"	3	"settlement"
"settlement:spa_murcia:murcia"	"spa_murcia"	"Murcia"	2	"settlement"
"settlement:spa_navarre:pamplona"	"spa_navarre"	"Pamplona"	1	"settlement"
"settlement:spa_norte:porto"	"spa_norte"	"Porto"	1	"settlement"
"settlement:spa_pyrenees_orientales:perpignan"	"spa_pyrenees_orientales"	"Perpignan"	2	"settlement"
"settlement:spa_salamanca:salamanca"	"spa_salamanca"	"Salamanca"	1	"settlement"
"settlement:spa_sevilla:seville"	"spa_sevilla"	"Seville"	3	"settlement"
"settlement:spa_teruel:teruel"	"spa_teruel"	"Teruel"	1	"settlement"
"settlement:spa_valencia:valencia"	"spa_valencia"	"Valencia"	2	"settlement"
"settlement:spa_vascongadas:vitoria_gasteiz"	"spa_vascongadas"	"Vitoria-Gasteiz"	1	"settlement"
"settlement:spa_zaragoza:saragossa"	"spa_zaragoza"	"Saragossa"	1	"settlement"
