version 1, schema campaign_variables_tables, guid 24962825-9cb8-46a4-ac61-250acc600b1e
Variable(string)	Value(float)
"family_base_child_chance"	10
"family_base_wife_chance"	5
"family_chance_of_adulthood"	8
"family_emergent_daimyo_maximum_age"	40
"family_emergent_daimyo_minimum_age"	30
"family_emergent_wife_maximum_age"	40
"family_husband_decreasing_child_chance_age"	30
"family_male_child_chance"	65
"family_maximum_child_chance_decrease_due_to_age"	8
"family_maximum_number_of_children"	5
"family_minimum_hostage_age"	5
"family_retainer_daimyo_maximum_age"	35
"family_retainer_daimyo_minimum_age"	25
"family_retainer_wife_maximum_age"	25
"family_rounds_between_bereavement_and_remarriage"	16
"family_rounds_between_children"	4
"family_rounds_between_marriage_and_first_child"	4
"family_rounds_between_wife_offers"	8
"family_turns_before_any_chance_of_adulthood"	4
"family_wife_barren_age"	50
"family_wife_chance_increase_period"	8
"family_wife_chance_increase_value"	3
"food_surplus_town_wealth_multiplier"	1
"gempei_cai_aggr_ramp_chance_base"	10
"gempei_cai_aggr_ramp_chance_per_round"	0
"gempei_cai_aggr_ramp_enabled"	0
"gempei_cai_aggr_ramp_fame_max"	100
"gempei_cai_aggr_ramp_fame_min"	20
"gempei_cai_aggr_ramp_level_max"	5
"gempei_cai_aggr_ramp_level_min"	1
"gempei_cai_aggr_ramp_rounds_max"	100
"gempei_cai_aggr_ramp_rounds_min"	20
"gempei_cai_consider_major_over_regions"	15
"gempei_cai_fnca_aid_minor_ally_padj"	0.75
"gempei_cai_fnca_ally_minor_padj"	0.75
"gempei_cai_fnca_join_minor_ally_wadj"	0.4
"gempei_prestige_region_value_domination_easy"	3
"gempei_prestige_region_value_domination_hard"	5
"gempei_prestige_region_value_domination_normal"	4
"gempei_prestige_region_value_easy"	4
"gempei_prestige_region_value_hard"	6
"gempei_prestige_region_value_normal"	5
"gempei_prestige_region_value_short_easy"	5
"gempei_prestige_region_value_short_hard"	7
"gempei_prestige_region_value_short_normal"	6
"general_admiral_action_point_bonus"	0.1
"general_promotion_cost"	1000
"gentleman_happiness_divisor"	3
"gentleman_happiness_negative_limit"	-8
"gentleman_happiness_positive_limit"	6
"happiness_revolution_culture"	-1
"happiness_revolution_neighbour"	-2
"happiness_war_drift"	1
"happiness_war_lower_cap"	-15
"happiness_war_major_defeat"	-1
"happiness_war_major_victory"	1
"happiness_war_region_conquered"	4
"happiness_war_region_lost"	-4
"happiness_war_upper_cap"	6
"hostage_turns"	8
"ikko_ikki_incite_revolt_cost"	700
"immigration_capacity"	5
"losing_unit_minimum_strength"	0.2
"loyalty_1_chance_of_defection"	25
"loyalty_2_chance_of_defection"	5
"loyalty_adjustment_general_married_daughter"	1
"loyalty_adjustment_lost_office_after_gaining_it"	-2
"loyalty_adjustment_lower_level_granted_office"	-1
"loyalty_adjustment_son_became_heir"	2
"loyalty_adjustment_son_replaced_as_heir"	-3
"maximum_attrition_pct"	0.15
"maximum_bombardment_radius"	11
"maximum_daimyo_honour"	6
"maximum_loyalty"	6
"maximum_port_bombardment_radius"	12
"maximum_town_wealth_level"	5
"migration_religion"	0.0009999999310821295
"migration_unhappiness"	0.01
"minimum_daimyo_honour"	1
"minimum_loyalty"	1
"minimum_population"	1000
"minimum_population_after_recruitment"	0
"mission_result_critical_failure_modifier"	30
"mission_result_critical_success_modifier"	200
"mp_armour_cost_multiplier"	1.1
"mp_armour_fixed_cost"	100
"mp_weapon_cost_multiplier"	1.1
"mp_weapon_fixed_cost"	100
"naval_attrition_crew_max_damage"	0.25
"naval_attrition_crew_min_damage"	0.1
"naval_attrition_crew_min_pct"	0.1
"naval_attrition_hull_max_damage"	0.35
"naval_attrition_hull_min_damage"	0.1
"naval_attrition_hull_min_pct"	0.9
"ninja_action_point_bonus"	0.04
"non_general_daimyo_starting_honour"	3
"passive_spying_region_bonus"	2
"policing_automated_cap"	4
"policing_automated_cost_per_pop"	0.03
"policing_garrison_cap"	15
"pop_growth_for_spawn"	25
"prestige_famous_battle_defeat_value"	-3
"prestige_famous_battle_victory_value"	3
"prestige_level_emperor_acknowledgement"	25
"prestige_level_public_knowledge"	50
"prestige_level_realm_divide"	100
"prestige_level_shogun_threat"	75
"prestige_limit_daimyo_honour"	10
"prestige_limit_famous_battles"	10
"prestige_limit_infrastructure"	10
"prestige_protectorate_region_value"	4
"prestige_region_value"	5
"prestige_region_value_domination"	4
"prestige_region_value_short"	6
"railway_num_carriages"	3
"railway_telegraph_pole_height"	1
"railway_telegraph_pole_offset"	3.5
"railway_train_acceleration"	0.1
"railway_train_deceleration"	-0.4
"railway_train_height"	0.95
"railway_train_max_speed"	2
"railway_train_time_stopped_in_station"	1.5
"recruitment_population_cost"	0
"reinforcement_radius"	1
"road_level_0_action_point_cost"	0.85
"road_level_1_action_point_cost"	0.7
"road_level_2_action_point_cost"	0.5
"road_level_3_action_point_cost"	0.4
"rounds_between_taking_kyoto_and_becoming_shogun"	4
"rounds_to_hold_office_before_loss_hits_loyalty"	4
"settlement_looting_base_loot"	0
"settlement_looting_pct_region_gdp"	0.15
"settlement_looting_pct_region_gdp_reduction"	0.8
"settlement_looting_publicorder_reduction"	7
"settlement_looting_region_gdp_reduction_turns"	15
"settlement_looting_surrender_publicorder_reduction"	14
"state_gift_multiplier_linear"	0.03
"state_gift_multiplier_quadratic"	2.0e-05
"state_religion_conversion_bonus"	0.5
"tax_efficiency_log_base"	888
"tax_efficiency_modifier"	-12
"tax_efficiency_region_modifier"	-1.8
"tax_efficiency_regions_minimum"	0.8
"tax_efficiency_total_regions"	10
"tech_first_in_culture_prestige_multiplier"	1
"threat_effect_maximum"	0.15
"threat_effect_minimum"	0.05
"threat_effect_no_threat_multiplier"	1.05
"threat_reputation_maximum"	1
"threat_reputation_minimum"	0.25
"threat_reputation_reduction"	0.25
"threat_reputation_rounds_before_required_war"	4
"threaten_modifier_ally_fame_multiplier"	0.5
"threaten_modifier_base"	40
"threaten_modifier_fame_contribution_base"	70
"threaten_modifier_maximum"	200
"threaten_modifier_minimum"	20
"town_wealth_growth_discontent_reduction"	25
"trade_commerce_raiding_maximum_raiding_permille"	700
"trade_commerce_raiding_reduction_per_ship"	0.9
"trade_demand_multiplier"	0.0004999999655410647
"trade_luxury_resource_strategic_value"	400
"trade_price_large_change_threshold"	10
"trade_price_small_change_threshold"	5
"trade_resource_region_gdp_contribution"	33
"trade_route_internat_sea_length_limit"	100000000
"trade_route_land_sea_bias"	0.75
"trade_route_value_accumulator_proportion"	0.005
"trade_route_value_combined_gdp_proportion"	1.1
"trade_ship_resource_volume"	10
"unilateral_diplomatic_gift_state_gift_proportion"	0.5
"unit_first_in_culture_prestige_multiplier"	1
"unit_minimum_strength"	0.05
"unit_stat_accuracy_bonus_threshold_level_1"	14
"unit_stat_accuracy_bonus_threshold_level_2"	24
"unit_stat_armour_bonus_threshold_level_1"	1
"unit_stat_armour_bonus_threshold_level_2"	3
"unit_stat_charge_bonus_threshold_level_1"	3
"unit_stat_charge_bonus_threshold_level_2"	6
"unit_stat_melee_bonus_threshold_level_1"	3
"unit_stat_melee_bonus_threshold_level_2"	5
"unit_stat_morale_bonus_threshold_level_1"	3
"unit_stat_morale_bonus_threshold_level_2"	4
"zone_of_control_garrison_bonus"	0.5
"zone_of_control_land_radius"	3
"zone_of_control_naval_radius"	6
