version 1, schema battle_entities_tables, guid 2e35f755-81c0-48d0-90a0-d07c395af0e3
Battle_x0020_Entity_x0020_ID(string)	class_validation(string)	type(string)	walk_speed(float)	run_speed(float)	acceleration(float)	deceleration(float)	charge_speed(float)	crawl_speed(float)	charge_distance_commence_run(float)	charge_distance_adopt_charge_pose(float)	charge_distance_pick_target(float)	radius(float)	shape(string)	radii_ratio(float)	mass(float)	height(float)	fire_arc_close(float)	fire_arc_loose(float)	turn_speed(float)	hit_points(int)
"boshin_infantry_medium"	"infantry"	"man"	1.5	3.5	2.5	6	4.5	1	30	25	25	0.35	"circle"	1	80	1.6	90	90	90	1
"boshin_naval_battery_extra_large"	"naval_artillery"	"artillery"	0	0	0	0	0	0	0	0	0	1	"ellipse"	0.5	1000	1.5	40	60	90	12
"boshin_naval_battery_large"	"naval_artillery"	"artillery"	0	0	0	0	0	0	0	0	0	1	"ellipse"	0.5	1000	1.5	40	60	90	10
"boshin_naval_battery_medium"	"naval_artillery"	"artillery"	0	0	0	0	0	0	0	0	0	1	"ellipse"	0.5	1000	1.5	40	50	90	8
"boshin_naval_battery_medium_mp"	"naval_artillery"	"artillery"	0	0	0	0	0	0	0	0	0	1	"ellipse"	0.5	1000	1.5	60	50	90	8
"boshin_naval_battery_small"	"naval_artillery"	"artillery"	0	0	0	0	0	0	0	0	0	1	"ellipse"	0.5	1000	1.5	40	50	90	6
"boshin_naval_cannon_extra_large"	"naval_artillery"	"artillery"	0	0	0	0	0	0	0	0	0	1	"ellipse"	0.5	1000	1.5	60	80	90	1000
"boshin_naval_cannon_large"	"naval_artillery"	"artillery"	0	0	0	0	0	0	0	0	0	1	"ellipse"	0.5	1000	1.5	60	80	90	1000
"boshin_naval_cannon_medium"	"naval_artillery"	"artillery"	0	0	0	0	0	0	0	0	0	1	"ellipse"	0.5	1000	1.5	60	60	90	1000
"boshin_naval_cannon_small"	"naval_artillery"	"artillery"	0	0	0	0	0	0	0	0	0	1	"ellipse"	0.5	1000	1.5	60	60	90	1000
"boshin_naval_gatling_gun"	"artillery"	"artillery"	1	0	1	1	0	0	0	0	0	1.5	"ellipse"	0.5	300	1.2	70	70	240	35
"boshin_naval_torpedo"	"naval_artillery"	"artillery"	0	0	0	0	0	0	0	0	0	1	"ellipse"	0.5	1000	1.5	2	40	90	20
"camel"	"cavalry"	"camel"	2.16	6.3	2	6	8.1	2	40	30	30	2	"ellipse"	0.25	600	2.5	90	90	90	1
"elephant"	"cavalry"	"elephant"	1.8	4.5	2	4	6.3	2	40	30	30	2	"ellipse"	0.5	5000	3.5	30	45	90	3
"gun_train_2_horse"	"artillery"	"gun_train_2"	1.8	1.8	2	2	5.85	1	20	20	20	2	"ellipse"	0.25	700	2.3	30	45	45	50
"gun_train_6_horse"	"artillery"	"gun_train_6"	2.7	9	1.5	1.5	5.22	1	20	20	20	2	"ellipse"	0.25	900	2.5	30	45	45	50
"naval_cannon"	"naval_artillery"	"artillery"	0	0	0	0	0	0	0	0	0	1	"ellipse"	0.5	1000	1.5	40	40	90	1
"naval_fixed"	"naval_artillery"	"artillery"	0	0	0	0	0	0	0	0	0	1	"ellipse"	0.5	700	2.3	40	40	0	1
"shogun_horse_bow"	"cavalry"	"horse"	3.5	10	6	10	12	3.5	50	35	35	2	"ellipse"	0.25	500	2.2	170	170	240	1
"shogun_horse_katana"	"cavalry"	"horse"	3.5	10	6	10	12	3.5	50	35	35	2	"ellipse"	0.25	600	2.2	90	90	120	1
"shogun_horse_yari"	"cavalry"	"horse"	4	12	6	10	14	4	50	35	35	2	"ellipse"	0.25	500	2.2	90	90	120	1
"shogun_inf_hero"	"infantry"	"man"	2	3.75	3	6	5.5	1	30	25	25	0.35	"circle"	1	120	1.6	90	90	120	2
"shogun_inf_marathon_monk"	"infantry"	"man"	2.2	4.5	3	6	6	1	30	25	25	0.35	"circle"	1	100	1.6	90	90	100	1
"shogun_inf_missile_ashigaru"	"infantry"	"man"	2.1	4.25	3	6	6	1	30	25	25	0.35	"circle"	1	60	1.6	120	120	80	1
"shogun_inf_missile_ashigaru_naval"	"infantry"	"man"	2.1	4.25	3	6	6	1	30	25	25	0.35	"circle"	1	60	1.6	120	120	120	1
"shogun_inf_naginata"	"infantry"	"man"	1.8	3.5	3	6	5.25	1	30	25	25	0.35	"circle"	1	100	1.6	90	90	120	1
"shogun_inf_samurai"	"infantry"	"man"	2	3.75	3	6	5.5	1	30	25	25	0.35	"circle"	1	100	1.6	120	120	120	1
"shogun_inf_warrior_monk"	"infantry"	"man"	2.1	4.25	3	6	6	1	30	25	25	0.35	"circle"	1	100	1.6	90	90	100	1
"shogun_inf_yari_ash"	"infantry"	"man"	2.1	4.25	3	6	6	1	30	25	25	0.35	"circle"	1	60	1.6	90	90	60	1
"shogun_ninja"	"infantry"	"man"	2.2	4.75	4	6	6	1	30	25	25	0.35	"circle"	1	60	1.6	90	90	80	1
