version 1, schema battle_type_setup_limits_tables
Battle_Type_IDRef(string)	Unit_Type(string)	Unit_Size(string)	Unit_Availability(string)	unknown1(int)	unknown2(int)	unknown3(int)	unknown4(float)	unknown5(float)	unknown6(float)	unknown7(int)
"classic"	"balanced"	"small"	"late"	4	2	1	0	0	0	88
"classic"	"balanced"	"small"	"middle"	4	2	1	0	0	0	84
"classic"	"cavalry_heavy"	"large"	"early"	10	8	2	0	0	0	24
"classic"	"cavalry_heavy"	"large"	"late"	10	8	2	0	0	0	83
"classic"	"cavalry_heavy"	"large"	"middle"	10	8	2	0	0	0	80
"classic"	"cavalry_heavy"	"medium"	"early"	7	5	2	0	0	0	23
"classic"	"cavalry_heavy"	"medium"	"late"	6	6	2	0	0	0	82
"classic"	"cavalry_heavy"	"medium"	"middle"	6	6	2	0	0	0	79
"classic"	"cavalry_heavy"	"small"	"early"	3	3	1	0	0	0	22
"classic"	"cavalry_heavy"	"small"	"late"	3	3	1	0	0	0	81
"classic"	"cavalry_heavy"	"small"	"middle"	3	3	1	0	0	0	78
"classic"	"infantry_heavy"	"large"	"early"	15	3	2	0	0	0	5
"classic"	"infantry_heavy"	"large"	"late"	15	3	2	0	0	0	70
"classic"	"infantry_heavy"	"large"	"middle"	12	5	3	0	0	0	67
"classic"	"infantry_heavy"	"medium"	"early"	10	2	2	0	0	0	1
"classic"	"infantry_heavy"	"medium"	"late"	10	2	2	0	0	0	69
"classic"	"infantry_heavy"	"medium"	"middle"	8	4	2	0	0	0	66
"classic"	"infantry_heavy"	"small"	"early"	4	2	1	0	0	0	3
"classic"	"infantry_heavy"	"small"	"late"	4	2	1	0	0	0	68
"classic"	"infantry_heavy"	"small"	"middle"	4	2	1	0	0	0	65
"naval"	"artillery_heavy"	"large"	"early"	10	6	4	0	0	0	126
"naval"	"artillery_heavy"	"large"	"late"	10	6	4	0	0	0	132
"naval"	"artillery_heavy"	"large"	"middle"	10	6	4	0	0	0	129
"naval"	"artillery_heavy"	"medium"	"early"	8	3	3	0	0	0	125
"naval"	"artillery_heavy"	"medium"	"late"	8	3	3	0	0	0	131
"naval"	"artillery_heavy"	"medium"	"middle"	8	3	3	0	0	0	128
"naval"	"artillery_heavy"	"small"	"early"	3	2	2	0	0	0	124
"naval"	"artillery_heavy"	"small"	"late"	3	2	2	0	0	0	130
"naval"	"artillery_heavy"	"small"	"middle"	3	2	2	0	0	0	127
"naval"	"balanced"	"large"	"early"	7	7	6	0	0	0	144
"naval"	"balanced"	"large"	"late"	7	7	6	0	0	0	150
"naval"	"balanced"	"large"	"middle"	7	7	6	0	0	0	147
"naval"	"balanced"	"medium"	"early"	5	5	4	0	0	0	143
"naval"	"balanced"	"medium"	"late"	5	5	4	0	0	0	149
"naval"	"balanced"	"medium"	"middle"	5	5	4	0	0	0	146
"naval"	"balanced"	"small"	"early"	3	2	2	0	0	0	142
"naval"	"balanced"	"small"	"late"	3	2	2	0	0	0	148
"naval"	"balanced"	"small"	"middle"	3	2	2	0	0	0	145
"naval"	"cavalry_heavy"	"large"	"early"	9	9	2	0	0	0	135
"naval"	"cavalry_heavy"	"large"	"late"	9	9	2	0	0	0	141
"naval"	"cavalry_heavy"	"large"	"middle"	9	9	2	0	0	0	138
"naval"	"cavalry_heavy"	"medium"	"early"	6	6	2	0	0	0	134
"naval"	"cavalry_heavy"	"medium"	"late"	6	6	2	0	0	0	140
"naval"	"cavalry_heavy"	"medium"	"middle"	6	6	2	0	0	0	137
"naval"	"cavalry_heavy"	"small"	"early"	3	3	1	0	0	0	133
"naval"	"cavalry_heavy"	"small"	"late"	3	3	1	0	0	0	139
"naval"	"cavalry_heavy"	"small"	"middle"	3	3	1	0	0	0	136
"naval"	"infantry_heavy"	"large"	"early"	15	3	2	0	0	0	117
"naval"	"infantry_heavy"	"large"	"late"	15	3	2	0	0	0	123
"naval"	"infantry_heavy"	"large"	"middle"	12	5	3	0	0	0	120
"naval"	"infantry_heavy"	"medium"	"early"	10	2	2	0	0	0	116
"naval"	"infantry_heavy"	"medium"	"late"	10	2	2	0	0	0	122
"naval"	"infantry_heavy"	"medium"	"middle"	8	4	2	0	0	0	119
"naval"	"infantry_heavy"	"small"	"early"	4	2	1	0	0	0	115
"naval"	"infantry_heavy"	"small"	"late"	4	2	1	0	0	0	121
"naval"	"infantry_heavy"	"small"	"middle"	4	2	1	0	0	0	118
"siege"	"artillery_heavy"	"large"	"early"	9	5	6	0	0	0	34
"siege"	"artillery_heavy"	"large"	"late"	9	5	6	0	0	0	102
"siege"	"artillery_heavy"	"large"	"middle"	9	5	6	0	0	0	99
"siege"	"artillery_heavy"	"medium"	"early"	6	4	4	0	0	0	33
"siege"	"artillery_heavy"	"medium"	"late"	6	4	4	0	0	0	101
"siege"	"artillery_heavy"	"medium"	"middle"	6	4	4	0	0	0	98
"siege"	"artillery_heavy"	"small"	"early"	2	2	3	0	0	0	32
"siege"	"artillery_heavy"	"small"	"late"	2	2	3	0	0	0	100
"siege"	"artillery_heavy"	"small"	"middle"	2	2	3	0	0	0	97
"siege"	"balanced"	"large"	"early"	12	4	4	0	0	0	40
"siege"	"balanced"	"large"	"late"	12	4	4	0	0	0	114
"siege"	"balanced"	"large"	"middle"	12	4	4	0	0	0	111
"siege"	"balanced"	"medium"	"early"	7	5	2	0	0	0	39
"siege"	"balanced"	"medium"	"late"	7	5	2	0	0	0	113
"siege"	"balanced"	"medium"	"middle"	7	5	2	0	0	0	110
"siege"	"balanced"	"small"	"early"	3	2	2	0	0	0	38
"siege"	"balanced"	"small"	"late"	3	2	2	0	0	0	112
"siege"	"balanced"	"small"	"middle"	3	2	2	0	0	0	109
"siege"	"cavalry_heavy"	"large"	"early"	10	7	3	0	0	0	37
"siege"	"cavalry_heavy"	"large"	"late"	10	7	3	0	0	0	108
"siege"	"cavalry_heavy"	"large"	"middle"	10	7	3	0	0	0	105
"siege"	"cavalry_heavy"	"medium"	"early"	7	5	2	0	0	0	36
"siege"	"cavalry_heavy"	"medium"	"late"	7	5	2	0	0	0	107
"siege"	"cavalry_heavy"	"medium"	"middle"	7	5	2	0	0	0	104
"siege"	"cavalry_heavy"	"small"	"early"	3	3	1	0	0	0	35
"siege"	"cavalry_heavy"	"small"	"late"	3	3	1	0	0	0	106
"siege"	"cavalry_heavy"	"small"	"middle"	3	3	1	0	0	0	103
"siege"	"infantry_heavy"	"large"	"early"	12	5	3	0	0	0	31
"siege"	"infantry_heavy"	"large"	"late"	12	5	3	0	0	0	96
"siege"	"infantry_heavy"	"large"	"middle"	12	5	3	0	0	0	93
"siege"	"infantry_heavy"	"medium"	"early"	8	4	2	0	0	0	30
"siege"	"infantry_heavy"	"medium"	"late"	8	4	2	0	0	0	95
"siege"	"infantry_heavy"	"medium"	"middle"	8	4	2	0	0	0	92
"siege"	"infantry_heavy"	"small"	"early"	4	2	1	0	0	0	29
"siege"	"infantry_heavy"	"small"	"late"	4	2	1	0	0	0	94
"siege"	"infantry_heavy"	"small"	"middle"	4	2	1	0	0	0	91
