version 1, schema events_tables
Event_ID(string)	Image(string)	unknown1(boolean)	Date(int)	Season(string)	Condition(string)	Image2(string)
"company_of_quenching_fire"	"Politics_european.tga"	false	1703	"season_winter"	""	"Politics_european.tga"
"copyright_act"	"Politics_european.tga"	false	1709	"season_winter"	""	"Politics_european.tga"
"cornish_cumudgeonly_ways"	"culture-eu.tga"	false	1777	"season_winter"	""	"culture-eu.tga"
"critique_of_pure_reason"	"culture-eu.tga"	false	1781	"season_winter"	""	"culture-eu.tga"
"cuckoo_clock"	"Industry_european.tga"	false	1738	"season_summer"	""	"Industry_european.tga"
"daily_courant_published"	"culture-eu.tga"	false	1702	"season_summer"	""	"culture-eu.tga"
"daily_universal_published"	"culture-eu.tga"	false	1788	"season_summer"	""	"culture-eu.tga"
"dark_day_new_england"	"medicine_european.tga"	false	1780	"season_winter"	""	"medicine_european.tga"
"death_penalty_rescinded"	"Crime_European.tga"	false	1786	"season_summer"	""	"Crime_European.tga"
"decline_and_fall_roman_empire"	"culture-eu.tga"	false	1776	"season_winter"	""	"culture-eu.tga"
"defoe_pillaried"	"Crime_European.tga"	false	1703	"season_summer"	""	"Crime_European.tga"
"denmark_norway_germany_adopt_gregorian_calendar"	"culture-eu.tga"	false	1700	"season_summer"	""	"culture-eu.tga"
"downing_street"	"Politics_european.tga"	false	1731	"season_summer"	""	"Politics_european.tga"
"dublin_gazette_published"	"culture-eu.tga"	false	1706	"season_summer"	""	"culture-eu.tga"
"earl_tyburn_jig"	"Crime_European.tga"	false	1760	"season_summer"	""	"Crime_European.tga"
"electrical_condenser"	"medicine_european.tga"	false	1745	"season_summer"	""	"medicine_european.tga"
"encyclopaedia_britannica"	"culture-eu.tga"	false	1771	"season_summer"	""	"culture-eu.tga"
"encyclopedie_published"	"culture-eu.tga"	false	1751	"season_summer"	""	"culture-eu.tga"
"enormous_bell"	"Industry_european.tga"	false	1737	"season_summer"	""	"Industry_european.tga"
"euro_porcelain"	"Industry_european.tga"	true	1708	"season_summer"	"[FactionBuildingExists(\"prussia\", \"pottery_workshops\") or FactionBuildingExists(\"austria\", \"pottery_workshops\")]"	"Industry_european.tga"
"filth_and_naughtiness"	"culture-eu.tga"	false	1747	"season_summer"	""	"culture-eu.tga"
"first_lord_of_lunch"	"culture-eu.tga"	false	1762	"season_summer"	""	"culture-eu.tga"
"first_piano"	"culture-eu.tga"	false	1709	"season_winter"	""	"culture-eu.tga"
"first_pow_camp"	"Politics_european.tga"	false	1796	"season_summer"	""	"Politics_european.tga"
"first_public_zoological_gardens"	"culture-eu.tga"	false	1794	"season_summer"	""	"culture-eu.tga"
"first_restaurant_paris"	"culture-eu.tga"	false	1765	"season_summer"	""	"culture-eu.tga"
"flushing_toiletoscope"	"Industry_european.tga"	false	1775	"season_summer"	""	"Industry_european.tga"
"flute_player_mechanical_duck"	"Industry_european.tga"	false	1738	"season_winter"	""	"Industry_european.tga"
"freemasons_america"	"culture-eu.tga"	false	1733	"season_summer"	""	"culture-eu.tga"
"freemasons_founded"	"culture-eu.tga"	false	1717	"season_winter"	""	"culture-eu.tga"
"fruit_kills_scurvy"	"medicine_european.tga"	true	1747	"season_winter"	"[FactionTechExists(\"britain\", \"military_navy_lime_juice_and_sauerkraut\") or FactionTechExists(\"france\", \"military_navy_lime_juice_and_sauerkraut\") or FactionTechExists(\"austria\", \"military_navy_lime_juice_and_sauerkraut\") or FactionTechExists(\"spain\", \"military_navy_lime_juice_and_sauerkraut\") or FactionTechExists(\"prussia\", \"military_navy_lime_juice_and_sauerkraut\") or FactionTechExists(\"russia\", \"military_navy_lime_juice_and_sauerkraut\") or FactionTechExists(\"ottomans\", \"military_navy_lime_juice_and_sauerkraut\") or FactionTechExists(\"netherlands\", \"military_navy_lime_juice_and_sauerkraut\") or FactionTechExists(\"maratha\", \"military_navy_lime_juice_and_sauerkraut\") or FactionTechExists(\"mughal\", \"military_navy_lime_juice_and_sauerkraut\") or FactionTechExists(\"sweden\", \"military_navy_lime_juice_and_sauerkraut\")]"	"medicine_european.tga"
"gas_lighting"	"Industry_european.tga"	false	1798	"season_summer"	""	"Industry_european.tga"
"gentleman_highwayman"	"Crime_European.tga"	false	1750	"season_winter"	""	"Crime_European.tga"
"global_circulation"	"medicine_european.tga"	true	1735	"season_winter"	"FactionTechExists(\"britain\", \"military_navy_meteorological_studies\")"	"medicine_european.tga"
"guillotine_invented"	"Crime_European.tga"	false	1789	"season_summer"	""	"Crime_European.tga"
"guiness_brewery_founded"	"Industry_european.tga"	false	1759	"season_winter"	""	"Industry_european.tga"
"gullivers_travels"	"culture-eu.tga"	false	1726	"season_winter"	""	"culture-eu.tga"
"halleys_comet_again"	"medicine_european.tga"	true	1758	"season_winter"	"FactionBuildingExists(\"britain\", \"royal_observatory\")"	"medicine_european.tga"
"handel_dies"	"small funeral-eu.tga"	false	1759	"season_summer"	""	"small funeral-eu.tga"
"harris_list_ladies"	"culture-eu.tga"	true	1757	"season_summer"	"FactionBuildingExists(\"britain\", \"bawdy_house\")"	"culture-eu.tga"
"haydn_the_creation"	"culture-eu.tga"	false	1798	"season_summer"	""	"culture-eu.tga"
"hellfire_club_english"	"culture-eu.tga"	false	1755	"season_summer"	""	"culture-eu.tga"
"hellfire_club_irish"	"culture-eu.tga"	false	1796	"season_winter"	""	"culture-eu.tga"
"herculaneum_excavation"	"culture-eu.tga"	false	1738	"season_summer"	""	"culture-eu.tga"
"herschel_discovers_infrared_radiation"	"medicine_european.tga"	false	1800	"season_summer"	""	"medicine_european.tga"
"herschel_discovers_uranus"	"medicine_european.tga"	false	1781	"season_summer"	""	"medicine_european.tga"
"hydraulic_press"	"Industry_european.tga"	false	1795	"season_summer"	""	"Industry_european.tga"
"hydrogen_discovered"	"medicine_european.tga"	false	1766	"season_summer"	""	"medicine_european.tga"
"irish_code_duello"	"culture-eu.tga"	false	1777	"season_summer"	""	"culture-eu.tga"
"isle_of_man"	"Politics_european.tga"	false	1765	"season_summer"	""	"Politics_european.tga"
"jack_sheppard_hanged"	"Crime_European.tga"	false	1724	"season_winter"	""	"Crime_European.tga"
"jamesons_distillery"	"Industry_european.tga"	false	1780	"season_summer"	""	"Industry_european.tga"
"jonathan_wild_swings"	"Crime_European.tga"	false	1725	"season_summer"	""	"Crime_European.tga"
"kidd_hanged"	"pirates afterloose.tga"	false	1701	"season_summer"	""	"pirates afterloose.tga"
"kinetic_gas_theory"	"medicine_european.tga"	false	1738	"season_winter"	""	"medicine_european.tga"
"last_jig_at_the_tyburn_tree"	"Crime_European.tga"	false	1783	"season_winter"	""	"Crime_European.tga"
"lavoisier_discovers_oxygen"	"medicine_european.tga"	false	1774	"season_summer"	""	"medicine_european.tga"
"lightning_rod_lesson"	"disaster_eu.tga"	false	1769	"season_winter"	""	"disaster_eu.tga"
"lions_extinct_libya"	"culture-otoman.tga"	false	1700	"season_summer"	""	"culture-otoman.tga"
"london_monster"	"Crime_European.tga"	false	1790	"season_summer"	""	"Crime_European.tga"
"longman_founded"	"culture-eu.tga"	false	1724	"season_winter"	""	"culture-eu.tga"
"loves_of_mars_and_venus"	"culture-eu.tga"	true	1717	"season_winter"	"FactionBuildingExists(\"britain\", \"conservatorium\")"	"culture-eu.tga"
"lucky_lucky_fellow"	"culture-eu.tga"	false	1798	"season_summer"	""	"culture-eu.tga"
"lunar_society"	"medicine_european.tga"	true	1775	"season_winter"	"FactionBuildingExists(\"britain\", \"royal_academy\")"	"medicine_european.tga"
"marriage_act"	"Politics_european.tga"	false	1754	"season_summer"	""	"Politics_european.tga"
"masked_man_dies"	"small funeral-eu.tga"	false	1703	"season_summer"	""	"small funeral-eu.tga"
"maudsleys_precision_lathe"	"Industry_european.tga"	false	1797	"season_summer"	""	"Industry_european.tga"
"mercury_thermometer"	"medicine_european.tga"	true	1724	"season_summer"	"FactionBuildingExists(\"britain\", \"royal_academy\")"	"medicine_european.tga"
"messiers_objects"	"medicine_european.tga"	false	1781	"season_winter"	""	"medicine_european.tga"
"meteorite_wold_newton"	"medicine_european.tga"	false	1795	"season_summer"	""	"medicine_european.tga"
"michell_blackholes"	"medicine_european.tga"	true	1784	"season_summer"	"FactionBuildingExists(\"britain\", \"royal_academy\")"	"medicine_european.tga"
"mohocks_abound"	"Crime_European.tga"	false	1712	"season_summer"	""	"Crime_European.tga"
"montgolfier_balloon"	"medicine_european.tga"	false	1783	"season_summer"	""	"medicine_european.tga"
"moscow_news"	"culture-eu.tga"	true	1756	"season_summer"	"FactionGovernmentType(\"gov_absolute_monarchy\")"	"culture-eu.tga"
"mozart_dies"	"small funeral-eu.tga"	false	1791	"season_summer"	""	"small funeral-eu.tga"
"mozart_eine_kleine_nachtmusik"	"culture-eu.tga"	false	1787	"season_summer"	""	"culture-eu.tga"
"mungo_park_segu"	"culture-eu.tga"	false	1796	"season_summer"	""	"culture-eu.tga"
"murder_most_horrid"	"Crime_European.tga"	false	1725	"season_winter"	""	"Crime_European.tga"
"new_atomic_theory"	"medicine_european.tga"	false	1758	"season_summer"	""	"medicine_european.tga"
"new_britain_discovered"	"culture-eu.tga"	false	1700	"season_winter"	""	"culture-eu.tga"
"orrery_invented"	"medicine_european.tga"	false	1704	"season_summer"	""	"medicine_european.tga"
"ottoman_press"	"culture-otoman.tga"	false	1729	"season_summer"	""	"culture-otoman.tga"
"pants_on_fire"	"culture-eu.tga"	false	1726	"season_summer"	""	"culture-eu.tga"
"petticoat_duel"	"culture-eu.tga"	false	1792	"season_summer"	""	"culture-eu.tga"
"piratey_bishop"	"culture-eu.tga"	false	1743	"season_winter"	""	"culture-eu.tga"
"potato_mandate"	"culture-eu.tga"	false	1757	"season_summer"	""	"culture-eu.tga"
"preserved_in_vitriol"	"medicine_european.tga"	false	1719	"season_summer"	""	"medicine_european.tga"
"princeton_founded"	"culture-eu.tga"	false	1746	"season_summer"	""	"culture-eu.tga"
"prussian_census"	"Politics_european.tga"	false	1719	"season_winter"	""	"Politics_european.tga"
"radical_suggestion"	"medicine_european.tga"	false	1770	"season_summer"	""	"medicine_european.tga"
"rakes_progress"	"culture-eu.tga"	false	1735	"season_summer"	""	"culture-eu.tga"
"reflexions_critiques"	"culture-eu.tga"	false	1735	"season_winter"	""	"culture-eu.tga"
"robbie_burns"	"culture-eu.tga"	false	1786	"season_summer"	""	"culture-eu.tga"
"robinson_crusoe_published"	"culture-eu.tga"	false	1717	"season_winter"	""	"culture-eu.tga"
"rosetta_stone"	"culture-eu.tga"	false	1799	"season_summer"	""	"culture-eu.tga"
"rule_britannia"	"culture-eu.tga"	true	1740	"season_summer"	"FactionBuildingExists(\"britain\", \"opera_house\")"	"culture-eu.tga"
"russia_julian"	"culture-eu.tga"	false	1700	"season_winter"	""	"culture-eu.tga"
"saint_patrick_of_noo_yawk"	"Religion_European.tga"	false	1756	"season_summer"	""	"Religion_European.tga"
"sausage_dictionary"	"culture-eu.tga"	false	1755	"season_winter"	""	"culture-eu.tga"
"selkirk_rescued"	"culture-eu.tga"	false	1709	"season_summer"	""	"culture-eu.tga"
"senefelder_lithography"	"Industry_european.tga"	false	1798	"season_summer"	""	"Industry_european.tga"
"shakespeare_festival"	"culture-eu.tga"	true	1769	"season_summer"	"FactionBuildingExists(\"britain\", \"theatre\")"	"culture-eu.tga"
"smallpox_euro_inoculation"	"medicine_european.tga"	false	1701	"season_winter"	""	"medicine_european.tga"
"smallpox_jenner_vaccination"	"medicine_european.tga"	false	1796	"season_summer"	""	"medicine_european.tga"
"smarty_pants_bifocal_glasses"	"medicine_european.tga"	false	1784	"season_summer"	""	"medicine_european.tga"
"smarty_pants_cheats_electric_death"	"medicine_european.tga"	false	1752	"season_summer"	""	"medicine_european.tga"
"society_of_jesus"	"Religion_European.tga"	false	1773	"season_winter"	""	"Religion_European.tga"
"south_sea_bubble"	"Politics_european.tga"	true	1720	"season_summer"	"FactionTechExists(\"britain\", \"enlightenment_joint_stock_companies\")"	"Politics_european.tga"
"species_planetarum"	"medicine_european.tga"	false	1753	"season_summer"	""	"medicine_european.tga"
"systema_naturae"	"medicine_european.tga"	false	1735	"season_winter"	""	"medicine_european.tga"
"terribly_good_egg"	"culture-eu.tga"	false	1740	"season_summer"	""	"culture-eu.tga"
"the_female_warrior"	"culture-eu.tga"	false	1750	"season_summer"	""	"culture-eu.tga"
"the_necklace_affair"	"Crime_European.tga"	false	1785	"season_summer"	""	"Crime_European.tga"
"the_observer_published"	"culture-eu.tga"	false	1791	"season_summer"	""	"culture-eu.tga"
"theatre_royal"	"culture-eu.tga"	true	1732	"season_summer"	"FactionBuildingExists(\"britain\", \"grand_opera_house\")"	"culture-eu.tga"
"theatrical_censorship"	"Politics_european.tga"	true	1737	"season_winter"	"FactionBuildingExists(\"britain\", \"theatre\")"	"Politics_european.tga"
"titania_and_oberon"	"medicine_european.tga"	false	1787	"season_summer"	""	"medicine_european.tga"
"to_the_people_of_the_netherlands"	"Politics_european.tga"	false	1781	"season_summer"	""	"Politics_european.tga"
"top_hat_nuisance"	"culture-eu.tga"	false	1797	"season_summer"	""	"culture-eu.tga"
"transit_of_venus"	"medicine_european.tga"	false	1761	"season_summer"	""	"medicine_european.tga"
"trippy_dreams"	"medicine_european.tga"	true	1732	"season_winter"	"FactionBuildingExists(\"britain\", \"naval_hospital\")"	"medicine_european.tga"
"vampire_attack_serbia"	"culture-eu.tga"	false	1725	"season_winter"	"FactionGovernmentType(\"gov_absolute_monarchy\")"	"culture-eu.tga"
"venus_mercury_occultation"	"medicine_european.tga"	true	1737	"season_winter"	"FactionBuildingExists(\"britain\", \"royal_observatory\")"	"medicine_european.tga"
"very_unpopular_book"	"culture-eu.tga"	false	1758	"season_winter"	""	"culture-eu.tga"
"vivaldi_dies"	"small funeral-eu.tga"	false	1741	"season_summer"	""	"small funeral-eu.tga"
"vivaldi_four_seasons"	"culture-eu.tga"	false	1725	"season_summer"	""	"culture-eu.tga"
"volta_electric_pistol"	"medicine_european.tga"	false	1786	"season_summer"	""	"medicine_european.tga"
"voltaic_pile"	"medicine_european.tga"	false	1800	"season_summer"	""	"medicine_european.tga"
"voltaires_candide"	"culture-eu.tga"	false	1759	"season_winter"	""	"culture-eu.tga"
"wall_street_opens"	"Politics_european.tga"	false	1792	"season_summer"	""	"Politics_european.tga"
"waterford_crystal"	"Industry_european.tga"	true	1783	"season_summer"	"FactionTechExists(\"britain\", \"industry_textile_mass_production\")"	"Industry_european.tga"
"wesley_converted"	"Religion_European.tga"	false	1737	"season_summer"	""	"Religion_European.tga"
"wesley_methodism_chartered"	"Religion_European.tga"	false	1784	"season_summer"	""	"Religion_European.tga"
"whitneys_cotton_gin"	"Industry_european.tga"	false	1793	"season_summer"	""	"Industry_european.tga"
"wild_peter_hanover"	"culture-eu.tga"	false	1724	"season_summer"	""	"culture-eu.tga"
"witchcraft_austria"	"agriculture_eu.tga"	false	1776	"season_summer"	""	"agriculture_eu.tga"
"witchcraft_britain"	"Crime_European.tga"	false	1736	"season_winter"	""	"Crime_European.tga"
"yale_founded"	"culture-eu.tga"	false	1701	"season_summer"	""	"culture-eu.tga"
