version 1, schema units_to_groupings_military_permissions_tables
Unit_IDRef(string)	Military_x0020_Group(string)
"Art_Horse_6_lber"	"spanish_rebels"
"Cav_Heavy_Cuirassiers"	"french_rebels"
"Cav_Heavy_Dragoons"	"austrian_rebels"
"Cav_Heavy_Dragoons"	"british_rebels"
"Cav_Heavy_Dragoons"	"cossack_rebels"
"Cav_Heavy_Dragoons"	"french_rebels"
"Cav_Heavy_Dragoons"	"italian_campaign_group"
"Cav_Heavy_Dragoons"	"prussian_rebels"
"Cav_Heavy_Dragoons"	"spanish_rebels"
"Cav_Lancer_Lancers"	"austrian_rebels"
"Cav_Lancer_Lancers"	"prussian_rebels"
"Cav_Lancer_Russian_Cossack_Cavalry"	"cossack_rebels"
"Cav_Light_Hussars"	"austrian_rebels"
"Cav_Light_Hussars"	"cossack_rebels"
"Cav_Light_Hussars"	"french_rebels"
"Cav_Light_Hussars"	"prussian_rebels"
"Cav_Light_Hussars"	"spanish_rebels"
"Cav_Light_Light_Dragoons"	"british_rebels"
"Cav_Light_Ottoman_Deli_Horsemen"	"ottoman_rebels"
"Cav_Stand_Chevauxlegers"	"austrian_rebels"
"Frigate_24"	"austrian_rebels"
"Frigate_24"	"cossack_rebels"
"Frigate_24"	"euro_group"
"Frigate_24"	"portuguese_group"
"Frigate_24"	"sweden_denmark_group"
"Frigate_32"	"austrian_rebels"
"Frigate_32"	"cossack_rebels"
"Frigate_32"	"euro_group"
"Frigate_32"	"portuguese_group"
"Frigate_32"	"sweden_denmark_group"
"Frigate_38"	"austrian_rebels"
"Frigate_38"	"euro_group"
"Frigate_38"	"sweden_denmark_group"
"Frigate_British_32_5th_Rate"	"british_rebels"
"Frigate_British_38_5th_Rate"	"british_rebels"
"Frigate_British_6th_Rate"	"british_rebels"
"Frigate_Carronade_Frigate"	"euro_group"
"Frigate_Carronade_Frigate"	"portuguese_group"
"Frigate_Carronade_Frigate"	"sweden_denmark_group"
"Frigate_Carronade_Frigate"	"united_provinces_group"
"Frigate_Dutch_24"	"united_provinces_group"
"Frigate_Dutch_32"	"united_provinces_group"
"Frigate_Dutch_38"	"united_provinces_group"
"Gen_Generals_Bodyguard"	"ottoman_rebels"
"Gen_Generals_Staff"	"austrian_rebels"
"Gen_Generals_Staff"	"british_rebels"
"Gen_Generals_Staff"	"cossack_rebels"
"Gen_Generals_Staff"	"french_rebels"
"Gen_Generals_Staff"	"italian_campaign_group"
"Gen_Generals_Staff"	"prussian_rebels"
"Gen_Generals_Staff"	"spanish_rebels"
"Inf_Elite_Life_Regiment"	"prussian_rebels"
"Inf_Gren_Grenadiers"	"austrian_rebels"
"Inf_Gren_Grenadiers"	"cossack_rebels"
"Inf_Gren_Grenadiers"	"french_rebels"
"Inf_Gren_Grenadiers"	"italian_campaign_group"
"Inf_Gren_Grenadiers"	"prussian_rebels"
"Inf_Irreg_Ottoman_Azzars"	"ottoman_rebels"
"Inf_Irreg_Ottoman_Bashi_Bazouks"	"ottoman_rebels"
"Inf_Light_Fusiliers"	"prussian_rebels"
"Inf_Light_Light_Infantry"	"austrian_rebels"
"Inf_Light_Light_Infantry"	"british_rebels"
"Inf_Light_Light_Infantry"	"french_rebels"
"Inf_Light_Light_Infantry"	"spanish_rebels"
"Inf_Line_Line_Infantry"	"austrian_rebels"
"Inf_Line_Line_Infantry"	"british_rebels"
"Inf_Line_Line_Infantry"	"french_rebels"
"Inf_Line_Line_Infantry"	"italian_campaign_group"
"Inf_Line_Line_Infantry"	"spanish_rebels"
"Inf_Line_Musketeers"	"cossack_rebels"
"Inf_Line_Musketeers"	"prussian_rebels"
"Inf_Militia_Landwehr"	"austrian_rebels"
"Inf_Militia_Landwehr"	"prussian_rebels"
"Inf_Militia_Militia"	"british_rebels"
"Inf_Militia_Militia"	"cossack_rebels"
"Inf_Militia_Militia"	"french_rebels"
"Inf_Militia_Militia"	"italian_campaign_group"
"Inf_Militia_Militia"	"spanish_rebels"
"Inf_Militia_Ottoman_Peasant_Levy"	"ottoman_rebels"
"Inf_Mob_Armed_Citizenry"	"amerinds_group"
"Inf_Mob_Armed_Citizenry"	"austria_group"
"Inf_Mob_Armed_Citizenry"	"austrian_rebels"
"Inf_Mob_Armed_Citizenry"	"british_rebels"
"Inf_Mob_Armed_Citizenry"	"colonies_ep3_group"
"Inf_Mob_Armed_Citizenry"	"cossack_rebels"
"Inf_Mob_Armed_Citizenry"	"euro_group"
"Inf_Mob_Armed_Citizenry"	"france_group"
"Inf_Mob_Armed_Citizenry"	"french_rebels"
"Inf_Mob_Armed_Citizenry"	"german_group"
"Inf_Mob_Armed_Citizenry"	"great_britain_group"
"Inf_Mob_Armed_Citizenry"	"italian_campaign_group"
"Inf_Mob_Armed_Citizenry"	"italian_group"
"Inf_Mob_Armed_Citizenry"	"maratha_group"
"Inf_Mob_Armed_Citizenry"	"mughal_group"
"Inf_Mob_Armed_Citizenry"	"pirates"
"Inf_Mob_Armed_Citizenry"	"prussia_group"
"Inf_Mob_Armed_Citizenry"	"prussian_rebels"
"Inf_Mob_Armed_Citizenry"	"punjab_group"
"Inf_Mob_Armed_Citizenry"	"rebel_group"
"Inf_Mob_Armed_Citizenry"	"russia_poland_group"
"Inf_Mob_Armed_Citizenry"	"spain_group"
"Inf_Mob_Armed_Citizenry"	"spanish_rebels"
"Inf_Mob_Armed_Citizenry"	"sweden_denmark_group"
"Inf_Mob_Armed_Citizenry"	"united_provinces_group"
"Inf_Mob_Armed_Citizenry"	"usa_group"
"Inf_Mob_Armed_Citizenry"	"venice_group"
"Inf_Mob_Armed_Populace"	"barbary_group"
"Inf_Mob_Armed_Populace"	"ottoman_group"
"Inf_Mob_Armed_Populace"	"ottoman_rebels"
"Inf_Mob_Armed_Populace_Firelock"	"ottoman_group"
"Inf_Mob_Armed_Populace_Firelock"	"ottoman_rebels"
"Inf_Skirm_Jager"	"austrian_rebels"
"Inf_Skirm_Jager"	"cossack_rebels"
"Inf_Skirm_Jager"	"prussian_rebels"
"Small_Brig"	"austrian_rebels"
"Small_Brig"	"cossack_rebels"
"Small_Brig"	"euro_group"
"Small_Brig"	"portuguese_group"
"Small_Brig"	"sweden_denmark_group"
"Small_British_Brig"	"british_rebels"
"Small_British_Sloop"	"british_rebels"
"Small_Dutch_Brig"	"united_provinces_group"
"Small_Dutch_Sloop"	"united_provinces_group"
"Small_Sloop"	"austrian_rebels"
"Small_Sloop"	"cossack_rebels"
"Small_Sloop"	"euro_group"
"Small_Sloop"	"portuguese_group"
"Small_Sloop"	"sweden_denmark_group"
"Special_Bomb_Ketch"	"euro_group"
"Special_Bomb_Ketch"	"portuguese_group"
"Special_Bomb_Ketch"	"sweden_denmark_group"
"Special_Dutch_Bomb_Ketch"	"united_provinces_group"
"Steam_Ship_38"	"euro_group"
"Steam_Ship_38"	"united_provinces_group"
"Steam_Ship_80"	"euro_group"
"Steam_Ship_80"	"united_provinces_group"
"Steam_Ship_Frigate"	"euro_group"
"Steam_Ship_Ironclad"	"euro_group"
"Trade_Ship_Indiaman"	"united_provinces_group"
"Trade_Ship_Merchantmen"	"austrian_rebels"
"Trade_Ship_Merchantmen"	"british_rebels"
"Trade_Ship_Merchantmen"	"euro_group"
"Trade_Ship_Merchantmen"	"portuguese_group"
"Trade_Ship_Merchantmen"	"sweden_denmark_group"
"Trade_Ship_Merchantmen"	"united_provinces_group"
"2_Decker_64"	"portugese_rebels"
"2_Decker_74"	"portugese_rebels"
"Art_Foot_12_lber"	"portugese_rebels"
"Art_Foot_6_lber"	"portugese_rebels"
"Cav_Light_Light_Dragoons"	"portugese_rebels"
"Frigate_24"	"portugese_rebels"
"Frigate_32"	"portugese_rebels"
"Frigate_38"	"portugese_rebels"
"Gen_Generals_Staff"	"portugese_rebels"
"Inf_Light_Light_Infantry"	"portugese_rebels"
"Inf_Line_Line_Infantry"	"portugese_rebels"
"Inf_Mob_Portuguese_Ordenza"	"portugese_rebels"
"Small_Brig"	"portugese_rebels"
"Small_Sloop"	"portugese_rebels"
"Trade_Ship_Merchantmen"	"portugese_rebels"
"Inf_Militia_Militia"	"portugese_rebels"
