version 3, schema cdir_events_dilemma_payloads_tables, guid 314a2e07-3444-45d6-98fb-5eb008e2c090
unknown1(string)	unknown2(string)	unknown3(int)	unknown4(float)	unknown5(string)	unknown6(boolean)	unknown7(string)
"FIRST"	"d_master_archer"	1484	0	"TREASURY"	true	"AMOUNT[-2500]"
"FIRST"	"d_master_cavalry"	1491	0	"p_master_cavalry"	true	"DURATION[10]"
"FIRST"	"d_master_cavalry"	1493	0	"TREASURY"	true	"AMOUNT[-2500]"
"FIRST"	"d_master_gunner"	1502	0	"p_master_gunners"	true	"DURATION[10]"
"FIRST"	"d_master_gunner"	1504	0	"TREASURY"	true	"AMOUNT[-2500]"
"FIRST"	"d_master_swordsman"	1511	0	"p_master_swordsmen"	true	"DURATION[10]"
"FIRST"	"d_master_swordsman"	1521	0	"TREASURY"	true	"AMOUNT[-2500]"
"FIRST"	"d_merchant_accession"	1533	0	"p_thriving_markets"	true	"DURATION[4]"
"SECOND"	"d_merchant_accession"	1541	0	"p_old_ways"	true	"DURATION[4]"
"FIRST"	"d_monopoly"	1546	0	"TREASURY"	true	"AMOUNT[2000]"
"SECOND"	"d_monopoly"	1556	0	"p_prosperity_local"	true	"DURATION[8]"
"FIRST"	"d_nine_tailed_fox"	1565	0	"p_staunch_defence"	true	"DURATION[4]"
"SECOND"	"d_nine_tailed_fox"	1574	0	"p_agrarian_toil_global"	true	"DURATION[4]"
"FIRST"	"d_ronin_spears"	1575	0	"TREASURY"	true	"AMOUNT[-750]"
"FIRST"	"d_ronin_spears"	1582	0	"SPAWN_UNIT"	true	"UNIT[Inf_Spear_Yari_Ronin]"
"FIRST"	"d_ronin_swords"	1585	0	"TREASURY"	true	"AMOUNT[-750]"
"FIRST"	"d_ronin_swords"	1586	0	"SPAWN_UNIT"	true	"UNIT[Inf_Sword_Katana_Ronin]"
"FIRST"	"d_three_legged_crow"	1595	0	"p_aggressive_ardour"	true	"DURATION[4]"
"SECOND"	"d_three_legged_crow"	1603	0	"p_vigilance_global"	true	"DURATION[4]"
"FIRST"	"d_urban_migration"	1612	0	"p_prosperity_global"	true	"DURATION[4]"
"SECOND"	"d_urban_migration"	1614	0	"p_agrarian_toil_global"	true	"DURATION[4]"
"FIRST"	"d_wako_threat_china"	1623	0	"p_foreign_prosperity"	true	"DURATION[8]"
"FIRST"	"d_wako_threat_china"	1625	0	"TREASURY"	true	"AMOUNT[-2000]"
"FIRST"	"s_relief_effort"	1723	0	"p_grateful_populace_local"	true	"DURATION[8]"
"FIRST"	"d_tribute_emperor"	1743	0	"p_old_ways"	true	"DURATION[4]"
"FIRST"	"d_tribute_emperor"	1750	0	"TREASURY"	true	"AMOUNT[-2000]"
"FIRST"	"d_tribute_shogun"	1767	0	"TREASURY"	true	"AMOUNT[-2000]"
"FIRST"	"s_disloyalty_major"	1783	0	"DEFECTION"	true	"remove_me"
"FIRST"	"s_disloyalty_major"	1790	0	"HONOUR"	true	"AMOUNT[1]"
"FIRST"	"s_disloyalty_minor"	1798	0	"DEFECTION"	true	"remove_me"
"FIRST"	"s_matter_of_honour_major"	1807	0	"DEFECTION"	true	"remove_me"
"SECOND"	"s_matter_of_honour_major"	1815	0	"HONOUR"	true	"AMOUNT[-1]"
"FIRST"	"s_matter_of_honour_minor"	1822	0	"DEFECTION"	true	"remove_me"
"FIRST"	"s_meritorious_action"	1831	0	"LOYALTY"	true	"AMOUNT[1]"
"FIRST"	"s_meritorious_action"	1836	0	"TREASURY"	true	"AMOUNT[-2000]"
"FIRST"	"s_nanban_trade_centre"	1844	0	"TARGET"	true	"CAPITAL"
"FIRST"	"s_nanban_trade_centre"	1847	0	"BUILDING_LEVEL_RESTRICTION"	true	"BUILDING_LEVEL[SHO_Port_3_Nanban_Trade_Port];ENABLE"
"FIRST"	"s_nanban_trade_east"	1854	0	"TARGET"	true	"CAPITAL"
"FIRST"	"s_nanban_trade_east"	1863	0	"BUILDING_LEVEL_RESTRICTION"	true	"BUILDING_LEVEL[SHO_Port_3_Nanban_Trade_Port];ENABLE"
"FIRST"	"s_nanban_trade_west"	1873	0	"TARGET"	true	"CAPITAL"
"FIRST"	"s_nanban_trade_west"	1877	0	"BUILDING_LEVEL_RESTRICTION"	true	"BUILDING_LEVEL[SHO_Port_3_Nanban_Trade_Port];ENABLE"
"FIRST"	"d_wako_threat_korea"	1878	0	"p_foreign_prosperity"	true	"DURATION[8]"
"FIRST"	"d_wako_threat_korea"	1880	0	"TREASURY"	true	"AMOUNT[-2000]"
"FIRST"	"d_imperial_new_year"	1882	0	"p_old_ways"	true	"DURATION[4]"
"FIRST"	"d_imperial_new_year"	1884	0	"TREASURY"	true	"AMOUNT[-2000]"
"FIRST"	"d_omen_wind"	1903	0	"p_compassion_buddha_global"	true	"DURATION[6]"
"FIRST"	"d_omen_wind"	1912	0	"TREASURY"	true	"AMOUNT[-1500]"
"FIRST"	"d_omen_fire"	1920	0	"p_compassion_buddha_global"	true	"DURATION[6]"
"FIRST"	"d_omen_fire"	1928	0	"TREASURY"	true	"AMOUNT[-1500]"
"FIRST"	"d_omen_ocean"	1935	0	"p_compassion_buddha_global"	true	"DURATION[6]"
"FIRST"	"d_omen_ocean"	1936	0	"TREASURY"	true	"AMOUNT[-1500]"
"FIRST"	"d_omen_mountains"	1946	0	"p_compassion_buddha_global"	true	"DURATION[6]"
"FIRST"	"d_omen_mountains"	1948	0	"TREASURY"	true	"AMOUNT[-1500]"
"FIRST"	"d_misfortune_others"	1958	0	"TREASURY"	true	"AMOUNT[-2500]"
"FIRST"	"d_misfortune_others"	1964	0	"HONOUR"	true	"AMOUNT[1]"
"FIRST"	"s_nanban_trade_centre"	1967	0	"SPAWN_UNIT"	true	"UNIT[Inf_Missile_Matchlock_Ashigaru]"
"FIRST"	"s_nanban_trade_east"	1968	0	"SPAWN_UNIT"	true	"UNIT[Inf_Missile_Matchlock_Ashigaru]"
"FIRST"	"s_nanban_trade_west"	1976	0	"SPAWN_UNIT"	true	"UNIT[Inf_Missile_Matchlock_Ashigaru]"
"FIRST"	"d_ronin_spears"	1978	0	"TARGET"	true	"EVENT"
"FIRST"	"d_ronin_swords"	1982	0	"TARGET"	true	"EVENT"
"FIRST"	"s_nanban_trade_west"	1984	0	"MOVIE_EVENT"	true	"MOVIE_EVENT[176]"
"FIRST"	"s_nanban_trade_east"	1991	0	"MOVIE_EVENT"	true	"MOVIE_EVENT[176]"
"FIRST"	"s_nanban_trade_centre"	1996	0	"MOVIE_EVENT"	true	"MOVIE_EVENT[176]"
"SECOND"	"d_conflict_beliefs_christian"	2002	0	"TARGET"	true	"EVENT"
"SECOND"	"d_conflict_beliefs_buddhist"	2012	0	"TARGET"	true	"EVENT"
"FIRST"	"d_desecration"	2018	0	"TARGET"	true	"EVENT"
"FIRST"	"d_gaijin_trouble"	2020	0	"TARGET"	true	"EVENT"
"SECOND"	"d_monopoly"	2030	0	"TARGET"	true	"EVENT"
"FIRST"	"d_heralding_spring"	2038	0	"MOVIE_EVENT"	true	"MOVIE_EVENT[671]"
"FIRST"	"d_bountiful_harvest"	2048	0	"MOVIE_EVENT"	true	"MOVIE_EVENT[680]"
"SECOND"	"d_bountiful_harvest"	2051	0	"MOVIE_EVENT"	true	"MOVIE_EVENT[689]"
"FIRST"	"s_matter_of_honour_minor"	2057	0	"HONOUR"	true	"AMOUNT[1]"
"SECOND"	"d_gem_enryakuji"	2067	0	"TREASURY"	true	"AMOUNT[2000]"
"SECOND"	"d_gem_miidera"	2073	0	"TREASURY"	true	"AMOUNT[2000]"
"SECOND"	"d_gem_todaiji"	2077	0	"TREASURY"	true	"AMOUNT[2000]"
"SECOND"	"d_gem_kofukuji"	2086	0	"TREASURY"	true	"AMOUNT[2000]"
"FIRST"	"d_gem_miidera_plight"	2090	0	"TREASURY"	true	"AMOUNT[-1500]"
"FIRST"	"d_gem_enryakuji_plight"	2100	0	"TREASURY"	true	"AMOUNT[-1500]"
"FIRST"	"d_gem_developmental_focus"	2104	0	"p_gem_martial_wisdom"	true	"DURATION[4]"
"SECOND"	"d_gem_developmental_focus"	2112	0	"p_gem_administrative_insight"	true	"DURATION[4]"
"FIRST"	"d_gem_hachiman_flock"	2118	0	"p_war_fervour"	true	"DURATION[4]"
"SECOND"	"d_gem_hachiman_flock"	2128	0	"p_abundant_catch_global"	true	"DURATION[4]"
"FIRST"	"d_gem_nine_tailed_gem_fox"	2137	0	"p_staunch_defence"	true	"DURATION[4]"
"SECOND"	"d_gem_nine_tailed_gem_fox"	2140	0	"p_agrarian_toil_global"	true	"DURATION[4]"
"FIRST"	"d_gem_omen_fire"	2141	0	"TREASURY"	true	"AMOUNT[-1500]"
"FIRST"	"d_gem_omen_fire"	2146	0	"p_gem_master_monk"	true	"DURATION[6]"
"FIRST"	"d_gem_omen_mountains"	2151	0	"TREASURY"	true	"AMOUNT[-1500]"
"FIRST"	"d_gem_omen_mountains"	2155	0	"p_gem_master_monk"	true	"DURATION[6]"
"FIRST"	"d_gem_omen_ocean"	2164	0	"TREASURY"	true	"AMOUNT[-1500]"
"FIRST"	"d_gem_omen_ocean"	2165	0	"p_gem_master_monk"	true	"DURATION[6]"
"FIRST"	"d_gem_omen_wind"	2172	0	"TREASURY"	true	"AMOUNT[-1500]"
"FIRST"	"d_gem_omen_wind"	2182	0	"p_gem_master_monk"	true	"DURATION[6]"
"FIRST"	"d_gem_three_legged_gem_crow"	2192	0	"p_aggressive_ardour"	true	"DURATION[4]"
"SECOND"	"d_gem_three_legged_gem_crow"	2194	0	"p_vigilance_global"	true	"DURATION[4]"
"FIRST"	"d_gem_enchantress"	2198	0	"SPAWN_AGENT"	true	"AGENT[gempei_dancer]"
"FIRST"	"d_gem_enchantress"	2208	0	"TREASURY"	true	"AMOUNT[-500]"
"FIRST"	"d_gem_enchantress"	2218	0	"TARGET"	true	"CAPITAL"
"FIRST"	"d_gem_family_dues"	2226	0	"TREASURY"	true	"AMOUNT[-1000]"
"FIRST"	"d_gem_family_dues"	2233	0	"p_inspired_endeavours_global"	true	"DURATION[6];GLOBAL"
"FIRST"	"d_gem_justice"	2240	0	"SPAWN_AGENT"	true	"AGENT[gempei_spy]"
"FIRST"	"d_gem_justice"	2243	0	"p_disaffected_populace_global"	true	"DURATION[4];GLOBAL"
"FIRST"	"d_gem_justice"	2246	0	"TARGET"	true	"CAPITAL"
"SECOND"	"d_gem_justice"	2253	0	"p_grateful_populace_global"	true	"DURATION[4];GLOBAL"
"FIRST"	"d_gem_warrior_tax"	2261	0	"SPAWN_UNIT"	true	"UNIT[Genpei_Inf_Sword_Sword_Attendants]"
"FIRST"	"d_gem_warrior_tax"	2270	0	"TARGET"	true	"EVENT"
"SECOND"	"d_gem_warrior_tax"	2280	0	"p_gem_tax_supplement"	true	"DURATION[8]"
"SECOND"	"d_gem_warrior_tax"	2286	0	"TARGET"	true	"EVENT"
"FIRST"	"d_gem_eiga_monogatari"	2289	0	"TREASURY"	true	"AMOUNT[-1000]"
"FIRST"	"d_gem_eiga_monogatari"	2298	0	"p_gem_master_dancer"	true	"DURATION[6];GLOBAL"
"FIRST"	"d_gem_eiga_monogatari_fujiwara"	2307	0	"TREASURY"	true	"AMOUNT[-1000]"
"FIRST"	"d_gem_eiga_monogatari_fujiwara"	2314	0	"p_gem_master_dancer"	true	"DURATION[6];GLOBAL"
"FIRST"	"d_gem_heiji_monogatari_minamoto"	2316	0	"TREASURY"	true	"AMOUNT[-1000]"
"FIRST"	"d_gem_heiji_monogatari_minamoto"	2326	0	"p_inspired_endeavours_global"	true	"DURATION[6];GLOBAL"
"FIRST"	"d_gem_heiji_monogatari_taira"	2327	0	"TREASURY"	true	"AMOUNT[-1000]"
"FIRST"	"d_gem_heiji_monogatari_taira"	2334	0	"p_inspired_endeavours_global"	true	"DURATION[6];GLOBAL"
"FIRST"	"bos_intro_3_dilemma_research_field"	2336	0	"p_bos_civil_insight"	true	"DURATION[12];GLOBAL"
"SECOND"	"bos_intro_3_dilemma_research_field"	2337	0	"p_bos_martial_wisdom"	true	"DURATION[12];GLOBAL"
"FIRST"	"d_bos_emperor_foreign_medic"	2346	0	"TREASURY"	true	"AMOUNT[-1000]"
"FIRST"	"d_bos_emperor_foreign_medic"	2354	0	"p_bos_breakthrough_medical_sci"	true	"DURATION[12];GLOBAL"
"FIRST"	"d_bos_emperor_ronin"	2358	0	"TREASURY"	true	"AMOUNT[-1000]"
"FIRST"	"d_bos_emperor_ronin"	2367	0	"SPAWN_UNIT"	true	"UNIT[Boshin_Inf_Missile_Bow_Kachi]"
"FIRST"	"d_bos_emperor_ronin"	2369	0	"TARGET"	true	"EVENT"
"FIRST"	"d_bos_gaijin_trouble"	2375	0	"TREASURY"	true	"AMOUNT[-500]"
"FIRST"	"d_bos_gaijin_trouble"	2377	0	"p_bos_grateful_populace_local"	true	"DURATION[6]"
"FIRST"	"d_bos_gaijin_trouble"	2384	0	"TARGET"	true	"EVENT"
"FIRST"	"d_bos_guns_of_war"	2386	0	"p_bos_master_artillery"	true	"DURATION[12];GLOBAL"
"SECOND"	"d_bos_guns_of_war"	2389	0	"p_bos_master_rifles"	true	"DURATION[12];GLOBAL"
"FIRST"	"d_bos_icarus_affair"	2397	0	"TREASURY"	true	"AMOUNT[-2000]"
"FIRST"	"d_bos_koyosha_modern"	2406	0	"TREASURY"	true	"AMOUNT[-2000]"
"SECOND"	"d_bos_koyosha_modern"	2407	0	"p_bos_slow_research"	true	"DURATION[24];GLOBAL"
"FIRST"	"d_bos_koyosha_western"	2410	0	"TREASURY"	true	"AMOUNT[-2000]"
"SECOND"	"d_bos_koyosha_western"	2413	0	"p_bos_foreign_setback"	true	"DURATION[24];GLOBAL"
"FIRST"	"d_bos_military_focus"	2422	0	"p_bos_lord_of_war"	true	"DURATION[12];GLOBAL"
"SECOND"	"d_bos_military_focus"	2432	0	"p_bos_rule_the_waves"	true	"DURATION[12];GLOBAL"
"FIRST"	"d_bos_sakai_incident"	2435	0	"TREASURY"	true	"AMOUNT[-2000]"
"FIRST"	"d_bos_sensosai"	2441	0	"TREASURY"	true	"AMOUNT[-2000]"
"FIRST"	"d_bos_sensosai"	2448	0	"p_bos_grateful_populace_global"	true	"DURATION[12];GLOBAL"
"FIRST"	"d_bos_shogun_foreign_artillery_expert"	2449	0	"TREASURY"	true	"AMOUNT[-1000]"
"FIRST"	"d_bos_shogun_foreign_artillery_expert"	2450	0	"p_bos_master_artillery"	true	"DURATION[12];GLOBAL"
"FIRST"	"d_bos_shogun_province_security"	2456	0	"TREASURY"	true	"AMOUNT[-1000]"
"FIRST"	"d_bos_shogun_province_security"	2463	0	"p_bos_security"	true	"DURATION[12]"
"FIRST"	"d_bos_shogun_province_security"	2465	0	"TARGET"	true	"EVENT"
"FIRST"	"d_bos_shogun_ronin"	2475	0	"TREASURY"	true	"AMOUNT[-1000]"
"FIRST"	"d_bos_shogun_ronin"	2484	0	"SPAWN_UNIT"	true	"UNIT[Boshin_Inf_Missile_Bow_Kachi]"
"FIRST"	"d_bos_shogun_ronin"	2492	0	"TARGET"	true	"EVENT"
"FIRST"	"d_bos_shogun_shinsengumi"	2500	0	"TREASURY"	true	"AMOUNT[-1000]"
"FIRST"	"d_bos_student_exchange"	2508	0	"TREASURY"	true	"AMOUNT[-2000]"
"FIRST"	"d_bos_treaty_america_initial"	2513	0	"p_bos_military_mission_american"	true	"DURATION[0]"
"FIRST"	"d_bos_treaty_american_repeat"	2520	0	"p_bos_military_mission_american"	true	"DURATION[0]"
"FIRST"	"d_bos_treaty_britain_initial"	2521	0	"p_bos_military_mission_british"	true	"DURATION[0]"
"FIRST"	"d_bos_treaty_britain_repeat"	2522	0	"p_bos_military_mission_british"	true	"DURATION[0]"
"FIRST"	"d_bos_treaty_france_initial"	2523	0	"p_bos_military_mission_french"	true	"DURATION[0]"
"FIRST"	"d_bos_treaty_france_repeat"	2531	0	"p_bos_military_mission_french"	true	"DURATION[0]"
"FIRST"	"d_bos_western_economics"	2537	0	"p_bos_high_yield"	true	"DURATION[6];GLOBAL"
"SECOND"	"d_bos_western_economics"	2538	0	"p_bos_thriving_markets"	true	"DURATION[6];GLOBAL"
"FIRST"	"d_bos_western_engineering"	2546	0	"p_bos_breakthrough_civil_eng"	true	"DURATION[6];GLOBAL"
"SECOND"	"d_bos_western_engineering"	2549	0	"p_bos_breakthrough_military_eng"	true	"DURATION[6];GLOBAL"
"FIRST"	"d_bos_western_science"	2564	0	"p_bos_breakthrough_medical_sci"	true	"DURATION[6];GLOBAL"
"SECOND"	"d_bos_western_science"	2566	0	"p_bos_breakthrough_industrial_sci"	true	"DURATION[6];GLOBAL"
"FIRST"	"d_bos_westerners_attacked"	2576	0	"p_bos_wait"	true	"REMOVE_ME"
"FIRST"	"d_bos_treaty_america_initial"	2585	0	"BUILDING_LEVEL_EVENT_RESTRICTION"	true	"BUILDING_LEVEL[bos_port_4_american_trading_district];ENABLE"
"FIRST"	"d_bos_treaty_american_repeat"	2587	0	"BUILDING_LEVEL_EVENT_RESTRICTION"	true	"BUILDING_LEVEL[bos_port_4_american_trading_district];ENABLE"
"FIRST"	"d_bos_treaty_britain_initial"	2596	0	"BUILDING_LEVEL_EVENT_RESTRICTION"	true	"BUILDING_LEVEL[bos_port_4_british_trading_district];ENABLE"
"FIRST"	"d_bos_treaty_britain_repeat"	2604	0	"BUILDING_LEVEL_EVENT_RESTRICTION"	true	"BUILDING_LEVEL[bos_port_4_british_trading_district];ENABLE"
"FIRST"	"d_bos_treaty_france_initial"	2605	0	"BUILDING_LEVEL_EVENT_RESTRICTION"	true	"BUILDING_LEVEL[bos_port_4_french_trading_district];ENABLE"
"FIRST"	"d_bos_treaty_france_repeat"	2614	0	"BUILDING_LEVEL_EVENT_RESTRICTION"	true	"BUILDING_LEVEL[bos_port_4_french_trading_district];ENABLE"
"FIRST"	"d_bos_treaty_america_initial"	2615	0	"UNIT_EVENT_RESTRICTION"	true	"UNIT[Boshin_Ironclad_USS_Roanoke];ENABLE"
"FIRST"	"d_bos_treaty_american_repeat"	2625	0	"UNIT_EVENT_RESTRICTION"	true	"UNIT[Boshin_Ironclad_USS_Roanoke];ENABLE"
"FIRST"	"d_bos_treaty_britain_initial"	2630	0	"UNIT_EVENT_RESTRICTION"	true	"UNIT[Boshin_Ironclad_HMS_Warrior];ENABLE"
"FIRST"	"d_bos_treaty_britain_repeat"	2638	0	"UNIT_EVENT_RESTRICTION"	true	"UNIT[Boshin_Ironclad_HMS_Warrior];ENABLE"
"FIRST"	"d_bos_treaty_france_initial"	2644	0	"UNIT_EVENT_RESTRICTION"	true	"UNIT[Boshin_Ironclad_L'Ocean];ENABLE"
"FIRST"	"d_bos_treaty_france_repeat"	2654	0	"UNIT_EVENT_RESTRICTION"	true	"UNIT[Boshin_Ironclad_L'Ocean];ENABLE"
"FIRST"	"d_bos_treaty_america_initial"	2659	0	"UNIT_EVENT_RESTRICTION"	true	"UNIT[Boshin_Inf_Elite_United_States_Marines];ENABLE"
"FIRST"	"d_bos_treaty_american_repeat"	2666	0	"UNIT_EVENT_RESTRICTION"	true	"UNIT[Boshin_Inf_Elite_United_States_Marines];ENABLE"
"FIRST"	"d_bos_treaty_britain_initial"	2676	0	"UNIT_EVENT_RESTRICTION"	true	"UNIT[Boshin_Inf_Elite_Royal_Marines];ENABLE"
"FIRST"	"d_bos_treaty_britain_repeat"	2678	0	"UNIT_EVENT_RESTRICTION"	true	"UNIT[Boshin_Inf_Elite_Royal_Marines];ENABLE"
"FIRST"	"d_bos_treaty_france_initial"	2685	0	"UNIT_EVENT_RESTRICTION"	true	"UNIT[Boshin_Inf_Elite_Infanterie_de_marine];ENABLE"
"FIRST"	"d_bos_treaty_france_repeat"	2686	0	"UNIT_EVENT_RESTRICTION"	true	"UNIT[Boshin_Inf_Elite_Infanterie_de_marine];ENABLE"
"FIRST"	"d_bos_treaty_france_initial"	2693	0	"BUILDING_LEVEL_RESTRICTION"	true	"BUILDING_LEVEL[bos_port_4_british_trading_district];DISABLE"
"FIRST"	"d_bos_treaty_france_initial"	2696	0	"BUILDING_LEVEL_RESTRICTION"	true	"BUILDING_LEVEL[bos_port_4_american_trading_district];DISABLE"
"FIRST"	"d_bos_treaty_france_repeat"	2699	0	"BUILDING_LEVEL_RESTRICTION"	true	"BUILDING_LEVEL[bos_port_4_british_trading_district];DISABLE"
"FIRST"	"d_bos_treaty_france_repeat"	2702	0	"BUILDING_LEVEL_RESTRICTION"	true	"BUILDING_LEVEL[bos_port_4_american_trading_district];DISABLE"
"FIRST"	"d_bos_treaty_britain_repeat"	2709	0	"BUILDING_LEVEL_RESTRICTION"	true	"BUILDING_LEVEL[bos_port_4_french_trading_district];DISABLE"
"FIRST"	"d_bos_treaty_britain_repeat"	2711	0	"BUILDING_LEVEL_RESTRICTION"	true	"BUILDING_LEVEL[bos_port_4_american_trading_district];DISABLE"
"FIRST"	"d_bos_treaty_britain_initial"	2717	0	"BUILDING_LEVEL_RESTRICTION"	true	"BUILDING_LEVEL[bos_port_4_french_trading_district];DISABLE"
"FIRST"	"d_bos_treaty_britain_initial"	2725	0	"BUILDING_LEVEL_RESTRICTION"	true	"BUILDING_LEVEL[bos_port_4_american_trading_district];DISABLE"
"FIRST"	"d_bos_treaty_american_repeat"	2728	0	"BUILDING_LEVEL_RESTRICTION"	true	"BUILDING_LEVEL[bos_port_4_french_trading_district];DISABLE"
"FIRST"	"d_bos_treaty_american_repeat"	2738	0	"BUILDING_LEVEL_RESTRICTION"	true	"BUILDING_LEVEL[bos_port_4_british_trading_district];DISABLE"
"FIRST"	"d_bos_treaty_america_initial"	2742	0	"BUILDING_LEVEL_RESTRICTION"	true	"BUILDING_LEVEL[bos_port_4_french_trading_district];DISABLE"
"FIRST"	"d_bos_treaty_america_initial"	2746	0	"BUILDING_LEVEL_RESTRICTION"	true	"BUILDING_LEVEL[bos_port_4_british_trading_district];DISABLE"
"FIRST"	"d_otomo_baptism"	2748	0	"p_word_of_god_global"	true	"DURATION[6]"
"FIRST"	"d_otomo_embassy"	2756	0	"TREASURY"	true	"AMOUNT[-1000]"
"FIRST"	"d_otomo_trade_venture_gift"	2764	0	"SPAWN_UNIT"	true	"UNIT[Inf_Missile_Matchlock_Samurai_Otomo]"
"FIRST"	"d_otomo_trade_venture_gift"	2773	0	"TARGET"	true	"CAPITAL"
"SECOND"	"d_otomo_trade_venture_gift"	2777	0	"SPAWN_UNIT"	true	"UNIT[Art_European_Cannons]"
"SECOND"	"d_otomo_trade_venture_gift"	2784	0	"TARGET"	true	"CAPITAL"
"FIRST"	"d_otomo_nanban_shipwreck"	2790	0	"SPAWN_UNIT"	true	"UNIT[Inf_Missile_Matchlock_Samurai_Otomo]"
"FIRST"	"d_otomo_nanban_shipwreck"	2796	0	"TARGET"	true	"CAPITAL"
"FIRST"	"d_otomo_nanban_shipwreck"	2805	0	"TREASURY"	true	"AMOUNT[-500]"
"FIRST"	"d_otomo_western_knowledge"	2808	0	"p_research"	true	"DURATION[8]"
"FIRST"	"d_otomo_western_knowledge"	2818	0	"TREASURY"	true	"AMOUNT[-2000]"
