version 1, schema building_level_armed_citizenry_junctions_tables, guid 1b875bd0-4af5-4a98-bea2-9618d375f0df
unknown1(string)	unknown2(int)	unknown3(float)	unknown4(int)	unknown5(string)
"GEM_Castle_3_Fort"	301	0	1	"Genpei_Inf_Missile_Bow_Levy_Garrison"
"GEM_Castle_4_Castle"	310	0	1	"Genpei_Inf_Missile_Bow_Levy_Garrison"
"GEM_Castle_4_Castle"	314	0	2	"Genpei_Inf_Heavy_Naginata_Levy_Garrison"
"GEM_Gov_1_Tadokoro"	320	0	3	"Genpei_Inf_Heavy_Naginata_Levy_Garrison"
"GEM_Gov_1_Tadokoro"	329	0	4	"Genpei_Inf_Heavy_Naginata_Levy_Garrison"
"GEM_Gov_2_Training_Grounds"	337	0	3	"Genpei_Inf_Heavy_Naginata_Levy_Garrison"
"GEM_Gov_2_Training_Grounds"	341	0	4	"Genpei_Inf_Heavy_Naginata_Levy_Garrison"
"GEM_Gov_3_Barracks"	347	0	3	"Genpei_Inf_Heavy_Naginata_Levy_Garrison"
"GEM_Gov_3_Barracks"	356	0	4	"Genpei_Inf_Heavy_Naginata_Levy_Garrison"
"SHO_Castle_1_Fort"	36	0	1	"Inf_Sword_Samurai_Retainers"
"GEM_Gov_4_Arsenal"	371	0	3	"Genpei_Inf_Heavy_Naginata_Levy_Garrison"
"GEM_Gov_4_Arsenal"	376	0	4	"Genpei_Inf_Heavy_Naginata_Levy_Garrison"
"GEM_Gov_2_Muster_Field"	382	0	3	"Genpei_Inf_Heavy_Naginata_Levy_Garrison"
"GEM_Gov_2_Muster_Field"	384	0	4	"Genpei_Inf_Heavy_Naginata_Levy_Garrison"
"GEM_Gov_2_Muster_Field"	385	0	5	"Genpei_Inf_Heavy_Naginata_Levy_Garrison"
"GEM_Gov_2_Muster_Field"	390	0	6	"Genpei_Inf_Missile_Bow_Levy_Garrison"
"GEM_Gov_3_Militia_Hall"	393	0	8	"Genpei_Inf_Missile_Bow_Levy_Garrison"
"SHO_Castle_2_Stronghold"	40	0	1	"Inf_Sword_Samurai_Retainers"
"GEM_Gov_3_Militia_Hall"	403	0	3	"Genpei_Inf_Heavy_Naginata_Levy_Garrison"
"GEM_Gov_3_Militia_Hall"	404	0	4	"Genpei_Inf_Heavy_Naginata_Levy_Garrison"
"GEM_Gov_3_Militia_Hall"	407	0	5	"Genpei_Inf_Heavy_Naginata_Levy_Garrison"
"GEM_Gov_3_Militia_Hall"	409	0	6	"Genpei_Inf_Missile_Bow_Levy_Garrison"
"GEM_Gov_3_Militia_Hall"	415	0	7	"Genpei_Inf_Heavy_Naginata_Levy_Garrison"
"GEM_Gov_4_Kondeidokoro"	465	0	3	"Genpei_Inf_Heavy_Naginata_Levy_Garrison"
"GEM_Gov_4_Kondeidokoro"	468	0	4	"Genpei_Inf_Heavy_Naginata_Levy_Garrison"
"GEM_Gov_4_Kondeidokoro"	477	0	5	"Genpei_Inf_Heavy_Naginata_Levy_Garrison"
"GEM_Gov_4_Kondeidokoro"	478	0	6	"Genpei_Inf_Missile_Bow_Levy_Garrison"
"GEM_Gov_4_Kondeidokoro"	484	0	7	"Genpei_Inf_Heavy_Naginata_Levy_Garrison"
"GEM_Gov_4_Kondeidokoro"	487	0	8	"Genpei_Inf_Missile_Bow_Levy_Garrison"
"GEM_Gov_4_Kondeidokoro"	490	0	9	"Genpei_Inf_Heavy_Naginata_Levy_Garrison"
"GEM_Gov_4_Kondeidokoro"	500	0	10	"Genpei_Inf_Missile_Bow_Levy_Garrison"
"GEM_Koryu_3_Koryu_Dojo"	507	0	1	"Genpei_Inf_Heavy_Onna_Bushi"
"GEM_Koryu_4_Legendary_Koryu_Dojo"	512	0	2	"Genpei_Inf_Heavy_Onna_Bushi"
"GEM_Bushi_3_Bushi_Dojo"	514	0	1	"Genpei_Inf_Missile_Samurai_Infantry_Garrison"
"GEM_Bushi_4_Legendary_Bushi_Dojo"	520	0	1	"Genpei_Inf_Missile_Samurai_Infantry_Garrison"
"SHO_Castle_3_Fortress"	62	0	3	"Inf_Missile_Bow_Ashigaru_Citizenry"
"SHO_Castle_3_Fortress"	73	0	4	"Inf_Sword_Samurai_Retainers"
"SHO_Castle_3_Fortress"	74	0	3	"Inf_Spear_Yari_Ashigaru_Citizenry"
"SHO_Castle_4_Castle"	78	0	2	"Inf_Spear_Yari_Ashigaru_Citizenry"
"SHO_Castle_4_Castle"	81	0	3	"Inf_Spear_Yari_Ashigaru_Citizenry"
"SHO_Castle_4_Castle"	83	0	2	"Inf_Missile_Bow_Ashigaru_Citizenry"
"SHO_Castle_4_Castle"	90	0	4	"Inf_Sword_Samurai_Retainers"
"SHO_Castle_4_Castle"	95	0	3	"Inf_Missile_Bow_Ashigaru_Citizenry"
"SHO_Castle_4_Castle"	96	0	4	"Inf_Sword_Samurai_Retainers"
