version 2, schema encyclopedia_page_linkages_tables, guid 86483a2d-6904-40fc-8049-1e1099753a7d
unknown1(optstring)	unknown2(string)	unknown3(optstring)
"016_enc_manual_hud_management"	"015_enc_manual_hud_diplomacy"	"007_enc_manual_hud"
"015c_enc_manual_hud_diplomacy_options_alliance"	"015b_enc_manual_hud_diplomacy_options_trade"	"018j_enc_manual_actions_diplomacy"
"015d_enc_manual_hud_diplomacy_options_money"	"015c1_enc_manual_hud_diplomacy_access"	"018j_enc_manual_actions_diplomacy"
"015c1_enc_manual_hud_diplomacy_access"	"015c_enc_manual_hud_diplomacy_options_alliance"	"018j_enc_manual_actions_diplomacy"
"015e_enc_manual_hud_diplomacy_options_vassals"	"015d_enc_manual_hud_diplomacy_options_money"	"018j_enc_manual_actions_diplomacy"
"015f_enc_manual_hud_diplomacy_options_war"	"015e_enc_manual_hud_diplomacy_options_vassals"	"018j_enc_manual_actions_diplomacy"
"015g_enc_manual_hud_diplomacy_options_hostages"	"015f1_enc_manual_hud_diplomacy_options_peace"	"018j_enc_manual_actions_diplomacy"
"015f1_enc_manual_hud_diplomacy_options_peace"	"015f_enc_manual_hud_diplomacy_options_war"	"018j_enc_manual_actions_diplomacy"
"015h_enc_manual_hud_diplomacy_options_marriage"	"015g_enc_manual_hud_diplomacy_options_hostages"	"018j_enc_manual_actions_diplomacy"
"015i_enc_manual_hud_diplomacy_options_threaten"	"015h_enc_manual_hud_diplomacy_options_marriage"	"018j_enc_manual_actions_diplomacy"
nil	"015i_enc_manual_hud_diplomacy_options_threaten"	"018j_enc_manual_actions_diplomacy"
"017_enc_manual_hud_end_turn"	"016_enc_manual_hud_management"	"007_enc_manual_hud"
"045b_enc_manual_ui_character"	"017_enc_manual_hud_end_turn"	"007_enc_manual_hud"
"007_enc_manual_hud"	"018_enc_manual_actions_campaign"	"enc_manual_index"
"018e_enc_manual_actions_campaign_construction"	"018a_enc_manual_actions_campaign_recruitment"	"018_enc_manual_actions_campaign"
"bosh_enc_railways"	"018e_enc_manual_actions_campaign_construction"	"018_enc_manual_actions_campaign"
"021_enc_manual_ui_province"	"018i_enc_manual_ui_building"	"007_enc_manual_hud"
"019_enc_manual_trade"	"018j_enc_manual_actions_diplomacy"	"018_enc_manual_actions_campaign"
"018j_enc_manual_actions_diplomacy"	"018k_enc_manual_religion"	"018_enc_manual_actions_campaign"
"019a_enc_manual_province_wealth"	"019_enc_manual_trade"	"018_enc_manual_actions_campaign"
"019b_enc_manual_food_shortages"	"019a_enc_manual_province_wealth"	"018_enc_manual_actions_campaign"
"020_enc_manual_public_order"	"019b_enc_manual_food_shortages"	"018_enc_manual_actions_campaign"
"022_enc_manual_clan_traits"	"020_enc_manual_public_order"	"018_enc_manual_actions_campaign"
nil	"021_enc_manual_ui_province"	"007_enc_manual_hud"
"023_enc_manual_clan_effects"	"022_enc_manual_clan_traits"	"018_enc_manual_actions_campaign"
"024_enc_manual_clan_fame"	"023_enc_manual_clan_effects"	"018_enc_manual_actions_campaign"
"025_enc_manual_clan_loyalty"	"024_enc_manual_clan_fame"	"018_enc_manual_actions_campaign"
"026_enc_manual_clan_honour"	"025_enc_manual_clan_loyalty"	"018_enc_manual_actions_campaign"
"bosh_enc_allegiance"	"026_enc_manual_clan_honour"	"018_enc_manual_actions_campaign"
"028_enc_manual_army_attack"	"027_enc_manual_army_moves"	"018_enc_manual_actions_campaign"
"035_enc_manual_fleet_moves"	"028_enc_manual_army_attack"	"018_enc_manual_actions_campaign"
"030_enc_manual_army_attrition"	"029_enc_manual_army_fragments"	"018_enc_manual_actions_campaign"
"031_enc_manual_army_experience"	"030_enc_manual_army_attrition"	"018_enc_manual_actions_campaign"
"038_enc_manual_fleet_fragments"	"031_enc_manual_army_experience"	"018_enc_manual_actions_campaign"
nil	"032_enc_manual_ui_battle"	"028_enc_manual_army_attack"
"018i_enc_manual_ui_building"	"034_enc_manual_ui_units"	"007_enc_manual_hud"
"037_enc_manual_fleet_attack"	"035_enc_manual_fleet_moves"	"018_enc_manual_actions_campaign"
"bosh_enc_naval_bombardment"	"037_enc_manual_fleet_attack"	"018_enc_manual_actions_campaign"
"039_enc_manual_fleet_blockades"	"038_enc_manual_fleet_fragments"	"018_enc_manual_actions_campaign"
"040_enc_manual_fleet_access"	"039_enc_manual_fleet_blockades"	"018_enc_manual_actions_campaign"
"bosh_enc_coastal_defences"	"040_enc_manual_fleet_access"	"018_enc_manual_actions_campaign"
"042_enc_manual_skills"	"041_enc_manual_fleet_assaults"	"018_enc_manual_actions_campaign"
"043_enc_manual_traits"	"042_enc_manual_skills"	"018_enc_manual_actions_campaign"
"044_enc_manual_agents_subterfuge"	"043_enc_manual_traits"	"018_enc_manual_actions_campaign"
"045_enc_manual_agents_religious"	"044_enc_manual_agents_subterfuge"	"018_enc_manual_actions_campaign"
"bosh_enc_agents_friendly_actions"	"044a_enc_manual_agent_actions_subterfuge"	"044_enc_manual_agents_subterfuge"
nil	"045_enc_manual_agents_religious"	"018_enc_manual_actions_campaign"
nil	"045a_enc_manual_agent_actions_religious"	"045_enc_manual_agents_religious"
"034_enc_manual_ui_units"	"045b_enc_manual_ui_character"	"007_enc_manual_hud"
"061_enc_manual_multiplayer"	"046_enc_manual_battle_deployment"	"enc_manual_index"
nil	"047_enc_manual_battle_conflict"	"046_enc_manual_battle_deployment"
"049_enc_manual_battle_conflict_controls"	"048_enc_manual_battle_conflict_fukkan"	"047_enc_manual_battle_conflict"
"bosh_enc_naval_battles"	"049_enc_manual_battle_conflict_controls"	"047_enc_manual_battle_conflict"
"052_enc_manual_battle_conflict_morale"	"050_enc_manual_battle_conflict_groups"	"047_enc_manual_battle_conflict"
"050b_enc_manual_battle_conflict_formations_naval"	"050a_enc_manual_battle_conflict_formations_land"	"050_enc_manual_battle_conflict_groups"
nil	"050b_enc_manual_battle_conflict_formations_naval"	"050_enc_manual_battle_conflict_groups"
"053_enc_manual_battle_conflict_fatigue"	"052_enc_manual_battle_conflict_morale"	"047_enc_manual_battle_conflict"
"055_enc_manual_battle_conflict_crossings"	"053_enc_manual_battle_conflict_fatigue"	"047_enc_manual_battle_conflict"
"bosh_enc_mp_multiple_avatars"	"054_enc_manual_battle_conflict_buildings"	"061_enc_manual_multiplayer"
"056_enc_manual_battle_conflict_forests"	"055_enc_manual_battle_conflict_crossings"	"047_enc_manual_battle_conflict"
"057_enc_manual_battle_conflict_sieges"	"056_enc_manual_battle_conflict_forests"	"047_enc_manual_battle_conflict"
"bosh_enc_gatling_guns"	"057_enc_manual_battle_conflict_sieges"	"047_enc_manual_battle_conflict"
"059_enc_manual_battle_naval_boarding"	"058_enc_manual_battle_naval_topography"	"047_enc_manual_battle_conflict"
"060_enc_manual_battle_conflict_abilities"	"059_enc_manual_battle_naval_boarding"	"047_enc_manual_battle_conflict"
"060z8_enc_manual_battle_conflict_attributes"	"060_enc_manual_battle_conflict_abilities"	"047_enc_manual_battle_conflict"
"060z2_enc_manual_battle_conflict_abilities_crane"	"060a_enc_manual_battle_conflict_abilities_assassination"	"060_enc_manual_battle_conflict_abilities"
"060c_enc_manual_battle_conflict_abilities_banzai"	"060b_enc_manual_battle_conflict_abilities_bamboo"	"060_enc_manual_battle_conflict_abilities"
"060d_enc_manual_battle_conflict_abilities_speed"	"060c_enc_manual_battle_conflict_abilities_banzai"	"060_enc_manual_battle_conflict_abilities"
"060e_enc_manual_battle_conflict_abilities_grenades"	"060d_enc_manual_battle_conflict_abilities_speed"	"060_enc_manual_battle_conflict_abilities"
"060f_enc_manual_battle_conflict_abilities_burn"	"060e_enc_manual_battle_conflict_abilities_grenades"	"060_enc_manual_battle_conflict_abilities"
"060n_enc_manual_battle_conflict_abilities_inspire_sea"	"060f_enc_manual_battle_conflict_abilities_burn"	"060_enc_manual_battle_conflict_abilities"
"060i_enc_manual_battle_conflict_abilities_arrow_land"	"060h_enc_manual_battle_conflict_abilities_rowing"	"060_enc_manual_battle_conflict_abilities"
"bosh_enc_abilities_ganbatte"	"060i_enc_manual_battle_conflict_abilities_arrow_land"	"060_enc_manual_battle_conflict_abilities"
"060m_enc_manual_battle_conflict_abilities_inspire_land"	"060l_enc_manual_battle_conflict_abilities_range"	"060_enc_manual_battle_conflict_abilities"
"bosh_enc_abilities_kill_zone"	"060m_enc_manual_battle_conflict_abilities_inspire_land"	"060_enc_manual_battle_conflict_abilities"
"bosh_enc_abilities_fast_reload"	"060n_enc_manual_battle_conflict_abilities_inspire_sea"	"060_enc_manual_battle_conflict_abilities"
"bosh_enc_abilities_overheat_engine"	"060q_enc_manual_battle_conflict_abilities_mines"	"060_enc_manual_battle_conflict_abilities"
"060u_enc_manual_battle_conflict_abilities_volley"	"060s_enc_manual_battle_conflict_abilities_rally"	"060_enc_manual_battle_conflict_abilities"
"060s_enc_manual_battle_conflict_abilities_rally"	"060t_enc_manual_battle_conflict_abilities_ranked"	"060_enc_manual_battle_conflict_abilities"
"bosh_enc_abilities_shrapnel_shot"	"060u_enc_manual_battle_conflict_abilities_volley"	"060_enc_manual_battle_conflict_abilities"
"060w_enc_manual_battle_conflict_abilities_wind"	"060v_enc_manual_battle_conflict_abilities_screens"	"060_enc_manual_battle_conflict_abilities"
"060x_enc_manual_battle_conflict_abilities_sprint"	"060w_enc_manual_battle_conflict_abilities_wind"	"060_enc_manual_battle_conflict_abilities"
"060z_enc_manual_battle_conflict_abilities_stand"	"060x_enc_manual_battle_conflict_abilities_sprint"	"060_enc_manual_battle_conflict_abilities"
"bosh_enc_abilities_firing_speed"	"060z1_enc_manual_battle_conflict_abilities_firm"	"060_enc_manual_battle_conflict_abilities"
"060z3_enc_manual_battle_conflict_abilities_warcry_land"	"060z2_enc_manual_battle_conflict_abilities_crane"	"060_enc_manual_battle_conflict_abilities"
"060z5_enc_manual_battle_conflict_abilities_arrows_whistling"	"060z3_enc_manual_battle_conflict_abilities_warcry_land"	"060_enc_manual_battle_conflict_abilities"
"060z6_enc_manual_battle_conflict_abilities_square"	"060z5_enc_manual_battle_conflict_abilities_arrows_whistling"	"060_enc_manual_battle_conflict_abilities"
"060z7_enc_manual_battle_conflict_abilities_wall"	"060z6_enc_manual_battle_conflict_abilities_square"	"060_enc_manual_battle_conflict_abilities"
nil	"060z7_enc_manual_battle_conflict_abilities_wall"	"060_enc_manual_battle_conflict_abilities"
nil	"060z8_enc_manual_battle_conflict_attributes"	"047_enc_manual_battle_conflict"
"060a_enc_manual_battle_conflict_abilities_assassination"	"060z_enc_manual_battle_conflict_abilities_stand"	"060_enc_manual_battle_conflict_abilities"
"062_enc_hist_battles"	"061_enc_manual_multiplayer"	"enc_manual_index"
nil	"062_enc_hist_battles"	"enc_manual_index"
"popup_armor_sets"	"ancillaries_background"	"061_enc_manual_multiplayer"
"ancillaries_background"	"background"	"061_enc_manual_multiplayer"
"060h_enc_manual_battle_conflict_abilities_rowing"	"bosh_enc_abilities_fast_reload"	"060_enc_manual_battle_conflict_abilities"
"060l_enc_manual_battle_conflict_abilities_range"	"bosh_enc_abilities_firing_speed"	"060_enc_manual_battle_conflict_abilities"
"060z1_enc_manual_battle_conflict_abilities_firm"	"bosh_enc_abilities_ganbatte"	"060_enc_manual_battle_conflict_abilities"
"bosh_enc_abilities_kneel_fire"	"bosh_enc_abilities_kill_zone"	"060_enc_manual_battle_conflict_abilities"
"060q_enc_manual_battle_conflict_abilities_mines"	"bosh_enc_abilities_kneel_fire"	"060_enc_manual_battle_conflict_abilities"
"bosh_enc_abilities_ramming"	"bosh_enc_abilities_overheat_engine"	"060_enc_manual_battle_conflict_abilities"
"060t_enc_manual_battle_conflict_abilities_ranked"	"bosh_enc_abilities_ramming"	"060_enc_manual_battle_conflict_abilities"
"bosh_enc_abilities_suppression_fire"	"bosh_enc_abilities_shrapnel_shot"	"060_enc_manual_battle_conflict_abilities"
"060v_enc_manual_battle_conflict_abilities_screens"	"bosh_enc_abilities_suppression_fire"	"060_enc_manual_battle_conflict_abilities"
nil	"bosh_enc_agents_friendly_actions"	"044_enc_manual_agents_subterfuge"
"029_enc_manual_army_fragments"	"bosh_enc_allegiance"	"018_enc_manual_actions_campaign"
"bosh_enc_broadsides"	"bosh_enc_ammo_types"	"047_enc_manual_battle_conflict"
"058_enc_manual_battle_naval_topography"	"bosh_enc_broadsides"	"047_enc_manual_battle_conflict"
"041_enc_manual_fleet_assaults"	"bosh_enc_coastal_defences"	"018_enc_manual_actions_campaign"
"bosh_enc_ammo_types"	"bosh_enc_gatling_guns"	"047_enc_manual_battle_conflict"
"bosh_enc_mp_promote_avatars"	"bosh_enc_mp_multiple_avatars"	"061_enc_manual_multiplayer"
"bosh_enc_mp_rosters"	"bosh_enc_mp_promote_avatars"	"061_enc_manual_multiplayer"
nil	"bosh_enc_mp_rosters"	"061_enc_manual_multiplayer"
nil	"bosh_enc_mp_rosters_boshin"	"bosh_enc_mp_rosters"
"bosh_enc_mp_rosters_boshin"	"bosh_enc_mp_rosters_shogun"	"bosh_enc_mp_rosters"
"bosh_enc_naval_fire_support"	"bosh_enc_naval_battles"	"047_enc_manual_battle_conflict"
"018a_enc_manual_actions_campaign_recruitment"	"bosh_enc_naval_bombardment"	"018_enc_manual_actions_campaign"
"050_enc_manual_battle_conflict_groups"	"bosh_enc_naval_fire_support"	"047_enc_manual_battle_conflict"
"018k_enc_manual_religion"	"bosh_enc_railways"	"018_enc_manual_actions_campaign"
"mp_leaderboards"	"clan_list"	"061_enc_manual_multiplayer"
"mp_profile"	"custom_battle_script"	"061_enc_manual_multiplayer"
"popup_unit_skills"	"mp_army_management"	"061_enc_manual_multiplayer"
"mp_army_management"	"mp_avatar_customise"	"061_enc_manual_multiplayer"
"background"	"mp_avatar_general"	"061_enc_manual_multiplayer"
"team_setup"	"mp_campaign_map"	"061_enc_manual_multiplayer"
"054_enc_manual_battle_conflict_buildings"	"mp_co_op_campaign"	"061_enc_manual_multiplayer"
"mp_co_op_campaign"	"mp_leaderboards"	"061_enc_manual_multiplayer"
"clan_list"	"mp_profile"	"061_enc_manual_multiplayer"
"mp_avatar_customise"	"popup_armor_sets"	"061_enc_manual_multiplayer"
"mp_campaign_map"	"popup_unit_skills"	"061_enc_manual_multiplayer"
"custom_battle_script"	"solo_setup"	"061_enc_manual_multiplayer"
"solo_setup"	"team_setup"	"061_enc_manual_multiplayer"
