version 1, schema uniforms_tables
unknown1(string)	unknown2(string)	unknown3(string)	unknown4(string)
"Austrian_Rebels_Art_Foot_7_lber_Howitzer"	"austrian_rebels"	"Austrian_Rebels_Art_Foot_7_lber_Howitzer"	"Art_Foot_7_lber_Howitzer"
"Austrian_Rebels_Art_Horse_6_lber"	"austrian_rebels"	"Austrian_Rebels_Art_Horse_6_lber"	"Art_Horse_6_lber"
"Austrian_Rebels_Cav_Heavy_Dragoons"	"austrian_rebels"	"Austrian_Rebels_Cav_Heavy_Dragoons"	"Cav_Heavy_Dragoons"
"Austrian_Rebels_Cav_Lancer_Lancers"	"austrian_rebels"	"Austrian_Rebels_Cav_Lancer_Lancers"	"Cav_Lancer_Lancers"
"Austrian_Rebels_Cav_Light_Hussars"	"austrian_rebels"	"Austrian_Rebels_Cav_Light_Hussars"	"Cav_Light_Hussars"
"Austrian_Rebels_Cav_Stand_Chevauxlegers"	"austrian_rebels"	"Austrian_Rebels_Cav_Stand_Chevauxlegers"	"Cav_Stand_Chevauxlegers"
"Austrian_Rebels_Gen_Generals_Staff"	"austrian_rebels"	"Austrian_Rebels_Gen_Generals_Staff"	"Gen_Generals_Staff"
"Austrian_Rebels_Inf_Gren_Grenadiers"	"austrian_rebels"	"Austrian_Rebels_Inf_Gren_Grenadiers"	"Inf_Gren_Grenadiers"
"Austrian_Rebels_Inf_Light_Light_Infantry"	"austrian_rebels"	"Austrian_Rebels_Inf_Light_Light_Infantry"	"Inf_Light_Light_Infantry"
"Austrian_Rebels_Inf_Line_Line_Infantry"	"austrian_rebels"	"Austrian_Rebels_Inf_Line_Line_Infantry"	"Inf_Line_Line_Infantry"
"Austrian_Rebels_Inf_Militia_Landwehr"	"austrian_rebels"	"Austrian_Rebels_Inf_Militia_Landwehr"	"Inf_Militia_Landwehr"
"Austrian_Rebels_Inf_Mob_Armed_Citizenry"	"austrian_rebels"	"Austrian_Rebels_Inf_Mob_Armed_Citizenry"	"Inf_Mob_Armed_Citizenry"
"Austrian_Rebels_Inf_Skirm_Jager"	"austrian_rebels"	"Austrian_Rebels_Inf_Skirm_Jager"	"Inf_Skirm_Jager"
"Bavaria_Art_Foot_12_lber"	"bavaria"	"Bavaria_Art_Foot_12_lber"	"Art_Foot_12_lber"
"Bavaria_Art_Foot_6_lber"	"bavaria"	"Bavaria_Art_Foot_6_lber"	"Art_Foot_6_lber"
"Bavaria_Art_Foot_7_lber_Howitzer"	"bavaria"	"Bavaria_Art_Foot_7_lber_Howitzer"	"Art_Foot_7_lber_Howitzer"
"Bavaria_Art_Horse_6_lber"	"bavaria"	"Bavaria_Art_Horse_6_lber"	"Art_Horse_6_lber"
"Bavaria_Cav_Heavy_Cuirassiers"	"bavaria"	"Bavaria_Cav_Heavy_Cuirassiers"	"Cav_Heavy_Cuirassiers"
"Bavaria_Cav_Heavy_Dragoons"	"bavaria"	"Bavaria_Cav_Heavy_Dragoons"	"Cav_Heavy_Dragoons"
"Bavaria_Cav_Stand_Chevauxlegers"	"bavaria"	"Bavaria_Cav_Stand_Chevauxlegers"	"Cav_Stand_Chevauxlegers"
"Bavaria_Gen_Generals_Staff"	"bavaria"	"Bavaria_Gen_Generals_Staff"	"Gen_Generals_Staff"
"Bavaria_Inf_Elite_Life_Regiment"	"bavaria"	"Bavaria_Inf_Elite_Life_Regiment"	"Inf_Elite_Life_Regiment"
"Bavaria_Inf_Elite_Republican_Guards"	"bavaria"	"Bavaria_Inf_Elite_Republican_Guards"	"Inf_Elite_Republican_Guards"
"Bavaria_Inf_Gren_Grenadiers"	"bavaria"	"Bavaria_Inf_Gren_Grenadiers"	"Inf_Gren_Grenadiers"
"Bavaria_Inf_Light_Light_Infantry"	"bavaria"	"Bavaria_Inf_Light_Light_Infantry"	"Inf_Light_Light_Infantry"
"Bavaria_Inf_Line_Line_Infantry"	"bavaria"	"Bavaria_Inf_Line_Line_Infantry"	"Inf_Line_Line_Infantry"
"Bavaria_Inf_Militia_Landwehr"	"bavaria"	"Bavaria_Inf_Militia_Landwehr"	"Inf_Militia_Landwehr"
"Bavaria_Inf_Mob_Armed_Citizenry"	"bavaria"	"Bavaria_Inf_Mob_Armed_Citizenry"	"Inf_Mob_Armed_Citizenry"
"Bavaria_Inf_Skirm_Jager"	"bavaria"	"Bavaria_Inf_Skirm_Jager"	"Inf_Skirm_Jager"
"Belgium_Art_Foot_12_lber"	"belgium"	"Belgium_Art_Foot_12_lber"	"Art_Foot_12_lber"
"Belgium_Art_Foot_6_lber"	"belgium"	"Belgium_Art_Foot_6_lber"	"Art_Foot_6_lber"
"Belgium_Art_Foot_7_lber_Howitzer"	"belgium"	"Belgium_Art_Foot_7_lber_Howitzer"	"Art_Foot_7_lber_Howitzer"
"Belgium_Art_Horse_6_lber"	"belgium"	"Belgium_Art_Horse_6_lber"	"Art_Horse_6_lber"
"Belgium_Cav_Heavy_Carabiniers"	"belgium"	"Belgium_Cav_Heavy_Carabiniers"	"Cav_Heavy_Carabiniers"
"Belgium_Cav_Light_Hussars"	"belgium"	"Belgium_Cav_Light_Hussars"	"Cav_Light_Hussars"
"Belgium_Cav_Stand_Chevauxlegers"	"belgium"	"Belgium_Cav_Stand_Chevauxlegers"	"Cav_Stand_Chevauxlegers"
"Belgium_Gen_Generals_Staff"	"belgium"	"Belgium_Gen_Generals_Staff"	"Gen_Generals_Staff"
"Belgium_Inf_Gren_Grenadiers"	"belgium"	"Belgium_Inf_Gren_Grenadiers"	"Inf_Gren_Grenadiers"
"Belgium_Inf_Light_Dutch_Flanquers"	"belgium"	"Belgium_Inf_Light_Dutch_Flanquers"	"Inf_Light_Dutch_Flanquers"
"Belgium_Inf_Line_Line_Infantry"	"belgium"	"Belgium_Inf_Line_Line_Infantry"	"Inf_Line_Line_Infantry"
"Belgium_Inf_Militia_Militia"	"belgium"	"Belgium_Inf_Militia_Militia"	"Inf_Militia_Militia"
"Belgium_Inf_Mob_Armed_Citizenry"	"belgium"	"Belgium_Inf_Mob_Armed_Citizenry"	"Inf_Mob_Armed_Citizenry"
"Britain_Art_Fix_British_Rocket_Troop"	"britain"	"Britain_Art_Fix_British_Rocket_Troop"	"Art_Fix_British_Rocket_Troop"
"Britain_Art_Foot_British_5_In_Howitzer"	"britain"	"Britain_Art_Foot_British_5_In_Howitzer"	"Art_Foot_British_5_In_Howitzer"
"Britain_Art_Foot_British_6_lber"	"britain"	"Britain_Art_Foot_British_6_lber"	"Art_Foot_British_6_lber"
"Britain_Art_Foot_British_9_lber"	"britain"	"Britain_Art_Foot_British_9_lber"	"Art_Foot_British_9_lber"
"Britain_Art_Foot_British_Experimental_Howitzer"	"britain"	"Britain_Art_Foot_British_Experimental_Howitzer"	"Art_Foot_British_Experimental_Howitzer"
"Britain_Art_Horse_British_6_lber"	"britain"	"Britain_Art_Horse_British_6_lber"	"Art_Horse_British_6_lber"
"Britain_Cav_Heavy_British_Dragoon_Guards"	"britain"	"Britain_Cav_Heavy_British_Dragoon_Guards"	"Cav_Heavy_British_Dragoon_Guards"
"Britain_Cav_Heavy_British_Dragoons"	"britain"	"Britain_Cav_Heavy_British_Dragoons"	"Cav_Heavy_British_Dragoons"
"Britain_Cav_Heavy_British_Horse_Guards"	"britain"	"Britain_Cav_Heavy_British_Horse_Guards"	"Cav_Heavy_British_Horse_Guards"
"Britain_Cav_Heavy_British_Horse_Guards_Uxbridge"	"britain"	"Britain_Cav_Heavy_British_Horse_Guards_Uxbridge"	"Cav_Heavy_British_Horse_Guards_Uxbridge"
"Britain_Cav_Heavy_British_KGL_Dragoons"	"britain"	"Britain_Cav_Heavy_British_KGL_Dragoons"	"Cav_Heavy_British_KGL_Dragoons"
"Britain_Cav_Heavy_British_Life_Guards"	"britain"	"Britain_Cav_Heavy_British_Life_Guards"	"Cav_Heavy_British_Life_Guards"
"Britain_Cav_Heavy_British_Royal_Scots_Greys"	"britain"	"Britain_Cav_Heavy_British_Royal_Scots_Greys"	"Cav_Heavy_British_Royal_Scots_Greys"
"Britain_Cav_Heavy_Republican_Horse_Guards"	"britain"	"Britain_Cav_Heavy_Republican_Horse_Guards"	"Cav_Heavy_Republican_Horse_Guards"
"Britain_Cav_Light_British_15th_Hussars"	"britain"	"Britain_Cav_Light_British_15th_Hussars"	"Cav_Light_British_15th_Hussars"
"Britain_Cav_Light_British_KGL_Light_Dragoons"	"britain"	"Britain_Cav_Light_British_KGL_Light_Dragoons"	"Cav_Light_British_KGL_Light_Dragoons"
"Britain_Cav_Light_British_Light_Dragoons"	"britain"	"Britain_Cav_Light_British_Light_Dragoons"	"Cav_Light_British_Light_Dragoons"
"Britain_Cav_Light_Dutch_Light_Dragoons"	"britain"	"United_Netherlands_Cav_Light_Light_Dragoons"	"Cav_Light_Dutch_Light_Dragoons"
"Britain_Gen_Duke_of_Wellington"	"britain"	"Britain_Gen_Duke_of_Wellington"	"Gen_Duke_of_Wellington"
"Britain_Gen_Generals_Staff"	"britain"	"Britain_Gen_Generals_Staff"	"Gen_Generals_Staff"
"Britain_Gen_Picton"	"britain"	"Britain_Gen_Picton"	"Gen_Picton"
"Britain_Gen_Prince_of_Orange"	"britain"	"United_Netherlands_Gen_Prince_of_Orange"	"Gen_Prince_of_Orange"
"Britain_Gen_Sir_John_Moore"	"britain"	"Britain_Gen_Sir_John_Moore"	"Gen_Sir_John_Moore"
"Britain_Inf_Elite_British_Black_Watch"	"britain"	"Britain_Inf_Elite_British_Black_Watch"	"Inf_Elite_British_Black_Watch"
"Britain_Inf_Elite_British_Foot_Guards"	"britain"	"Britain_Inf_Elite_British_Foot_Guards"	"Inf_Elite_British_Foot_Guards"
"Britain_Inf_Elite_Republican_Guards"	"britain"	"Britain_Inf_Elite_Republican_Guards"	"Inf_Elite_Republican_Guards"
"Britain_Inf_Light_British_Dutch_Flanquers"	"britain"	"United_Netherlands_Inf_Light_Dutch_Flanquers"	"Inf_Light_British_Dutch_Flanquers"
"Britain_Inf_Light_British_KGL_Light_Foot"	"britain"	"Britain_Inf_Light_British_KGL_Light_Foot"	"Inf_Light_British_KGL_Light_Foot"
"Britain_Inf_Light_British_Light_Foot"	"britain"	"Britain_Inf_Light_British_Light_Foot"	"Inf_Light_British_Light_Foot"
"Britain_Inf_Line_British_88th_Foot"	"britain"	"Britain_Inf_Line_British_88th_Foot"	"Inf_Line_British_88th_Foot"
"Britain_Inf_Line_British_Foot"	"britain"	"Britain_Inf_Line_British_Foot"	"Inf_Line_British_Foot"
"Britain_Inf_Line_British_Highland_Foot"	"britain"	"Britain_Inf_Line_British_Highland_Foot"	"Inf_Line_British_Highland_Foot"
"Britain_Inf_Line_British_KGL_Foot"	"britain"	"Britain_Inf_Line_British_KGL_Foot"	"Inf_Line_British_KGL_Foot"
"Britain_Inf_Line_Brunswick_Line_Infantry"	"britain"	"Britain_Inf_Line_Brunswick_Line_Infantry"	"Inf_Line_Brunswick_Line_Infantry"
"Britain_Inf_Line_Dutch_Line_Infantry"	"britain"	"United_Netherlands_Inf_Line_Line_Infantry"	"Inf_Line_Dutch_Line_Infantry"
"Britain_Inf_Militia_British_Fencibles"	"britain"	"Britain_Inf_Militia_British_Fencibles"	"Inf_Militia_British_Fencibles"
"Britain_Inf_Militia_Militiamen"	"britain"	"United_Netherlands_Inf_Militia_Militiamen"	"Inf_Militia_Militiamen"
"Britain_Inf_Mob_Armed_Citizenry"	"britain"	"Britain_Inf_Mob_Armed_Citizenry"	"Inf_Mob_Armed_Citizenry"
"Britain_Inf_Skirm_British_Rifles"	"britain"	"Britain_Inf_Skirm_British_Rifles"	"Inf_Skirm_British_Rifles"
"Britain_Inf_Skirm_Nassau_Jager"	"britain"	"United_Netherlands_Inf_Skirm_Jager"	"Inf_Skirm_Nassau_Jager"
"British_Rebels_Art_Foot_6_lber"	"british_rebels"	"British_Rebels_Art_Foot_6_lber"	"Art_Foot_6_lber"
"British_Rebels_Art_Foot_7_lber_Howitzer"	"british_rebels"	"British_Rebels_Art_Foot_7_lber_Howitzer"	"Art_Foot_7_lber_Howitzer"
"British_Rebels_Art_Horse_6_lber"	"british_rebels"	"British_Rebels_Art_Horse_6_lber"	"Art_Horse_6_lber"
"British_Rebels_Cav_Heavy_Dragoons"	"british_rebels"	"British_Rebels_Cav_Heavy_Dragoons"	"Cav_Heavy_Dragoons"
"British_Rebels_Cav_Light_Light_Dragoons"	"british_rebels"	"British_Rebels_Cav_Light_Light_Dragoons"	"Cav_Light_Light_Dragoons"
"British_Rebels_Gen_Generals_Staff"	"british_rebels"	"British_Rebels_Gen_Generals_Staff"	"Gen_Generals_Staff"
"British_Rebels_Inf_Light_Light_Infantry"	"british_rebels"	"British_Rebels_Inf_Light_Light_Infantry"	"Inf_Light_Light_Infantry"
"British_Rebels_Inf_Line_Line_Infantry"	"british_rebels"	"British_Rebels_Inf_Line_Line_Infantry"	"Inf_Line_Line_Infantry"
"British_Rebels_Inf_Militia_Militia"	"british_rebels"	"British_Rebels_Inf_Militia_Militia"	"Inf_Militia_Militia"
"British_Rebels_Inf_Mob_Armed_Citizenry"	"british_rebels"	"British_Rebels_Inf_Mob_Armed_Citizenry"	"Inf_Mob_Armed_Citizenry"
"Brittany_Art_Foot_12_lber"	"brittany"	"Brittany_Art_Foot_12_lber"	"Art_Foot_12_lber"
"Brittany_Art_Foot_6_lber"	"brittany"	"Brittany_Art_Foot_6_lber"	"Art_Foot_6_lber"
"Brittany_Art_Foot_7_lber_Howitzer"	"brittany"	"Brittany_Art_Foot_7_lber_Howitzer"	"Art_Foot_7_lber_Howitzer"
"Brittany_Art_Horse_6_lber"	"brittany"	"Brittany_Art_Horse_6_lber"	"Art_Horse_6_lber"
"Brittany_Cav_Heavy_Dragoons"	"brittany"	"Brittany_Cav_Heavy_Dragoons"	"Cav_Heavy_Dragoons"
"Brittany_Cav_Light_Hussars"	"brittany"	"Brittany_Cav_Light_Hussars"	"Cav_Light_Hussars"
"Brittany_Gen_Generals_Staff"	"brittany"	"Brittany_Gen_Generals_Staff"	"Gen_Generals_Staff"
"Brittany_Inf_Gren_Grenadiers"	"brittany"	"Brittany_Inf_Gren_Grenadiers"	"Inf_Gren_Grenadiers"
"Brittany_Inf_Light_Light_Infantry"	"brittany"	"Brittany_Inf_Light_Light_Infantry"	"Inf_Light_Light_Infantry"
"Brittany_Inf_Line_Line_Infantry"	"brittany"	"Brittany_Inf_Line_Line_Infantry"	"Inf_Line_Line_Infantry"
"Brittany_Inf_Militia_Militia"	"brittany"	"Brittany_Inf_Militia_Militia"	"Inf_Militia_Militia"
"Brittany_Inf_Mob_Armed_Citizenry"	"brittany"	"Brittany_Inf_Mob_Armed_Citizenry"	"Inf_Mob_Armed_Citizenry"
"Catalonia_Art_Foot_12_lber"	"catalonia"	"Catalonia_Art_Foot_12_lber"	"Art_Foot_12_lber"
"Catalonia_Art_Foot_6_lber"	"catalonia"	"Catalonia_Art_Foot_6_lber"	"Art_Foot_6_lber"
"Catalonia_Art_Foot_7_lber_Howitzer"	"catalonia"	"Catalonia_Art_Foot_7_lber_Howitzer"	"Art_Foot_7_lber_Howitzer"
"Catalonia_Art_Horse_6_lber"	"catalonia"	"Catalonia_Art_Horse_6_lber"	"Art_Horse_6_lber"
"Catalonia_Cav_Heavy_Dragoons"	"catalonia"	"Catalonia_Cav_Heavy_Dragoons"	"Cav_Heavy_Dragoons"
"Catalonia_Cav_Light_Hussars"	"catalonia"	"Catalonia_Cav_Light_Hussars"	"Cav_Light_Hussars"
"Catalonia_Gen_Generals_Staff"	"catalonia"	"Catalonia_Gen_Generals_Staff"	"Gen_Generals_Staff"
"Catalonia_Inf_Gren_Grenadiers"	"catalonia"	"Catalonia_Inf_Gren_Grenadiers"	"Inf_Gren_Grenadiers"
"Catalonia_Inf_Light_Light_Infantry"	"catalonia"	"Catalonia_Inf_Light_Light_Infantry"	"Inf_Light_Light_Infantry"
"Catalonia_Inf_Line_Line_Infantry"	"catalonia"	"Catalonia_Inf_Line_Line_Infantry"	"Inf_Line_Line_Infantry"
"Catalonia_Inf_Militia_Militia"	"catalonia"	"Catalonia_Inf_Militia_Militia"	"Inf_Militia_Militia"
"Catalonia_Inf_Mob_Armed_Citizenry"	"catalonia"	"Catalonia_Inf_Mob_Armed_Citizenry"	"Inf_Mob_Armed_Citizenry"
"Cossack_Rebels_Art_Foot_12_lber"	"cossack_rebels"	"Cossack_Rebels_Art_Foot_12_lber"	"Art_Foot_12_lber"
"Cossack_Rebels_Art_Foot_7_lber_Howitzer"	"cossack_rebels"	"Cossack_Rebels_Art_Foot_7_lber_Howitzer"	"Art_Foot_7_lber_Howitzer"
"Cossack_Rebels_Art_Horse_6_lber"	"cossack_rebels"	"Cossack_Rebels_Art_Horse_6_lber"	"Art_Horse_6_lber"
"Cossack_Rebels_Cav_Heavy_Dragoons"	"cossack_rebels"	"Cossack_Rebels_Cav_Heavy_Dragoons"	"Cav_Heavy_Dragoons"
"Cossack_Rebels_Cav_Lancer_Russian_Cossack_Cavalry"	"cossack_rebels"	"Cossack_Rebels_Cav_Lancer_Russian_Cossack_Cavalry"	"Cav_Lancer_Russian_Cossack_Cavalry"
"Cossack_Rebels_Cav_Light_Hussars"	"cossack_rebels"	"Cossack_Rebels_Cav_Light_Hussars"	"Cav_Light_Hussars"
"Cossack_Rebels_Gen_Generals_Staff"	"cossack_rebels"	"Cossack_Rebels_Gen_Generals_Staff"	"Gen_Generals_Staff"
"Cossack_Rebels_Inf_Gren_Grenadiers"	"cossack_rebels"	"Cossack_Rebels_Inf_Gren_Grenadiers"	"Inf_Gren_Grenadiers"
"Cossack_Rebels_Inf_Line_Musketeers"	"cossack_rebels"	"Cossack_Rebels_Inf_Line_Musketeers"	"Inf_Line_Musketeers"
"Cossack_Rebels_Inf_Militia_Militia"	"cossack_rebels"	"Cossack_Rebels_Inf_Militia_Militia"	"Inf_Militia_Militia"
"Cossack_Rebels_Inf_Mob_Armed_Citizenry"	"cossack_rebels"	"Cossack_Rebels_Inf_Mob_Armed_Citizenry"	"Inf_Mob_Armed_Citizenry"
"Cossack_Rebels_Inf_Skirm_Jager"	"cossack_rebels"	"Cossack_Rebels_Inf_Skirm_Jager"	"Inf_Skirm_Jager"
"Courland_Art_Foot_12_lber"	"courland"	"Courland_Art_Foot_12_lber"	"Art_Foot_12_lber"
"Courland_Art_Foot_6_lber"	"courland"	"Courland_Art_Foot_6_lber"	"Art_Foot_6_lber"
"Courland_Art_Foot_7_lber_Howitzer"	"courland"	"Courland_Art_Foot_7_lber_Howitzer"	"Art_Foot_7_lber_Howitzer"
"Courland_Art_Horse_6_lber"	"courland"	"Courland_Art_Horse_6_lber"	"Art_Horse_6_lber"
"Courland_Cav_Heavy_Dragoons"	"courland"	"Courland_Cav_Heavy_Dragoons"	"Cav_Heavy_Dragoons"
"Courland_Cav_Lancer_Lancers"	"courland"	"Courland_Cav_Lancer_Lancers"	"Cav_Lancer_Lancers"
"Courland_Cav_Light_Hussars"	"courland"	"Courland_Cav_Light_Hussars"	"Cav_Light_Hussars"
"Courland_Gen_Generals_Staff"	"courland"	"Courland_Gen_Generals_Staff"	"Gen_Generals_Staff"
"Courland_Inf_Gren_Grenadiers"	"courland"	"Courland_Inf_Gren_Grenadiers"	"Inf_Gren_Grenadiers"
"Courland_Inf_Line_Line_Infantry"	"courland"	"Courland_Inf_Line_Line_Infantry"	"Inf_Line_Line_Infantry"
"Courland_Inf_Militia_Militia"	"courland"	"Courland_Inf_Militia_Militia"	"Inf_Militia_Militia"
"Courland_Inf_Mob_Armed_Citizenry"	"courland"	"Courland_Inf_Mob_Armed_Citizenry"	"Inf_Mob_Armed_Citizenry"
"Crimean_Khanate_Art_Foot_12_lber"	"crimean_khanate"	"Crimean_Khanate_Art_Foot_12_lber"	"Art_Foot_12_lber"
"Crimean_Khanate_Art_Foot_6_lber"	"crimean_khanate"	"Crimean_Khanate_Art_Foot_6_lber"	"Art_Foot_6_lber"
"Crimean_Khanate_Cav_Heavy_Dragoons"	"crimean_khanate"	"Crimean_Khanate_Cav_Heavy_Dragoons"	"Cav_Heavy_Dragoons"
"Crimean_Khanate_Cav_Lancer_Russian_Cossack_Cavalry"	"crimean_khanate"	"Crimean_Khanate_Cav_Lancer_Russian_Cossack_Cavalry"	"Cav_Lancer_Russian_Cossack_Cavalry"
"Crimean_Khanate_Cav_Light_Hussars"	"crimean_khanate"	"Crimean_Khanate_Cav_Light_Hussars"	"Cav_Light_Hussars"
"Crimean_Khanate_Gen_Generals_Staff"	"crimean_khanate"	"Crimean_Khanate_Gen_Generals_Staff"	"Gen_Generals_Staff"
"Crimean_Khanate_Inf_Gren_Grenadiers"	"crimean_khanate"	"Crimean_Khanate_Inf_Gren_Grenadiers"	"Inf_Gren_Grenadiers"
"Crimean_Khanate_Inf_Line_Line_Infantry"	"crimean_khanate"	"Crimean_Khanate_Inf_Line_Line_Infantry"	"Inf_Line_Line_Infantry"
"Crimean_Khanate_Inf_Militia_Militia"	"crimean_khanate"	"Crimean_Khanate_Inf_Militia_Militia"	"Inf_Militia_Militia"
"Crimean_Khanate_Inf_Mob_Armed_Citizenry"	"crimean_khanate"	"Crimean_Khanate_Inf_Mob_Armed_Citizenry"	"Inf_Mob_Armed_Citizenry"
"Crimean_Khanate_Inf_Skirm_Jager"	"crimean_khanate"	"Crimean_Khanate_Inf_Skirm_Jager"	"Inf_Skirm_Jager"
"Denmark_Art_Foot_12_lber"	"denmark"	"Denmark_Art_Foot_12_lber"	"Art_Foot_12_lber"
"Denmark_Art_Foot_6_lber"	"denmark"	"Denmark_Art_Foot_6_lber"	"Art_Foot_6_lber"
"Denmark_Art_Foot_7_lber_Howitzer"	"denmark"	"Denmark_Art_Foot_7_lber_Howitzer"	"Art_Foot_7_lber_Howitzer"
"Denmark_Art_Horse_6_lber"	"denmark"	"Denmark_Art_Horse_6_lber"	"Art_Horse_6_lber"
"Denmark_Cav_Heavy_Dragoons"	"denmark"	"Denmark_Cav_Heavy_Dragoons"	"Cav_Heavy_Dragoons"
"Denmark_Cav_Heavy_Life_Guards_of_Horse"	"denmark"	"Denmark_Cav_Heavy_Life_Guards_of_Horse"	"Cav_Heavy_Life_Guards_of_Horse"
"Denmark_Cav_Heavy_Republican_Horse_Guards"	"denmark"	"Denmark_Cav_Heavy_Republican_Horse_Guards"	"Cav_Heavy_Republican_Horse_Guards"
"Denmark_Cav_Light_Light_Dragoons"	"denmark"	"Denmark_Cav_Light_Light_Dragoons"	"Cav_Light_Light_Dragoons"
"Denmark_Gen_Ernst_Paymann"	"denmark"	"Denmark_Gen_Ernst_Paymann"	"Gen_Ernst_Paymann"
"Denmark_Gen_Generals_Staff"	"denmark"	"Denmark_Gen_Generals_Staff"	"Gen_Generals_Staff"
"Denmark_Gen_Joachim_Melchior_Holten_Castenschiold"	"denmark"	"Denmark_Gen_Joachim_Melchior_Holten_Castenschiold"	"Gen_Joachim_Melchior_Holten_Castenschiold"
"Denmark_Gen_Prince_Frederick_of_Hessen"	"denmark"	"Denmark_Gen_Prince_Frederick_of_Hessen"	"Gen_Prince_Frederick_of_Hessen"
"Denmark_Inf_Elite_Life_Guards_of_Foot"	"denmark"	"Denmark_Inf_Elite_Life_Guards_of_Foot"	"Inf_Elite_Life_Guards_of_Foot"
