version 1, schema ancillary_to_included_agents_tables, guid 372ddc29-dcb6-4de7-9abc-f7d0032df025
Ancillary_IDRef(string)	Agent_IDRef(string)
"s2_anc_pdlc_monk_relic_buddha_gold"	"gempei_monk"
"s2_anc_pdlc_monk_relic_buddha_gold"	"ikko_monk"
"s2_anc_pdlc_monk_relic_buddha_gold"	"monk"
"s2_anc_pdlc_monk_relic_dragon"	"gempei_monk"
"s2_anc_pdlc_monk_relic_dragon"	"ikko_monk"
"s2_anc_pdlc_monk_relic_dragon"	"monk"
"s2_anc_pdlc_monk_relic_fuji_rock"	"gempei_monk"
"s2_anc_pdlc_monk_relic_fuji_rock"	"ikko_monk"
"s2_anc_pdlc_monk_relic_fuji_rock"	"monk"
"s2_anc_pdlc_monk_relic_heart_sutra"	"ikko_monk"
"s2_anc_pdlc_monk_relic_heart_sutra"	"monk"
"s2_anc_pdlc_monk_relic_nembutsu"	"ikko_monk"
"s2_anc_pdlc_monk_relic_painting"	"ikko_monk"
"s2_anc_pdlc_monk_relic_painting"	"monk"
"s2_anc_pdlc_monk_relic_shugendo"	"gempei_monk"
"s2_anc_pdlc_monk_relic_shugendo"	"ikko_monk"
"s2_anc_pdlc_monk_relic_shugendo"	"monk"
"s2_anc_pdlc_monk_weapon_bisento"	"gempei_monk"
"s2_anc_pdlc_monk_weapon_bisento"	"ikko_monk"
"s2_anc_pdlc_monk_weapon_bisento"	"monk"
"s2_anc_pdlc_monk_weapon_bo"	"gempei_monk"
"s2_anc_pdlc_monk_weapon_bo"	"ikko_monk"
"s2_anc_pdlc_monk_weapon_bo"	"monk"
"s2_anc_pdlc_monk_weapon_dagger"	"ikko_monk"
"s2_anc_pdlc_monk_weapon_dagger"	"monk"
"s2_anc_pdlc_monk_zasu"	"monk"
"s2_anc_pdlc_ninja_disguise_monk"	"ninja"
"s2_anc_pdlc_shirabyoshi_ceremonial_drum"	"gempei_dancer"
"s2_anc_pdlc_shirabyoshi_ceremonial_flute"	"gempei_dancer"
"s2_anc_pdlc_shirabyoshi_hand_fan"	"gempei_dancer"
"s2_anc_pdlc_shirabyoshi_kimono"	"geisha"
"s2_anc_pdlc_shirabyoshi_kimono"	"gempei_dancer"
"s2_anc_pdlc_shirabyoshi_tachi"	"gempei_dancer"
"s2anc_ainu_servant"	"geisha"
"s2anc_ainu_servant"	"gempei_dancer"
"s2anc_armoured_war_dog"	"General"
"s2anc_army_drummer"	"General"
"s2anc_army_hero_ashigaru"	"General"
"s2anc_army_hero_horse"	"General"
"s2anc_army_hero_samurai"	"General"
"s2anc_artefact_armour_helmet"	"General"
"s2anc_artefact_armour_spanish"	"General"
"s2anc_artefact_banner_christian"	"General"
"s2anc_artefact_banner_warlord"	"General"
"s2anc_artefact_buddhist_beads"	"ikko_monk"
"s2anc_artefact_buddhist_beads"	"monk"
"s2anc_artefact_cards"	"gempei_inspector"
"s2anc_artefact_cards"	"metsuke"
"s2anc_artefact_chess"	"gempei_inspector"
"s2anc_artefact_chess"	"metsuke"
"s2anc_artefact_christian_gun_1"	"missionary"
"s2anc_artefact_christian_holy_water"	"missionary"
"s2anc_artefact_christian_psalter"	"missionary"
"s2anc_artefact_christian_reliquary"	"missionary"
"s2anc_artefact_christian_sword_1"	"missionary"
"s2anc_artefact_geisha_fan"	"geisha"
"s2anc_artefact_geisha_poison"	"geisha"
"s2anc_artefact_go"	"General"
"s2anc_artefact_gun_dutch"	"General"
"s2anc_artefact_legend_armour"	"General"
"s2anc_artefact_legend_bokken"	"General"
"s2anc_artefact_legend_bokken_2"	"General"
"s2anc_artefact_legend_bokken_3"	"General"
"s2anc_artefact_legend_cuirass"	"General"
"s2anc_artefact_legend_greaves"	"General"
"s2anc_artefact_legend_helmet"	"General"
"s2anc_artefact_legend_katana"	"General"
"s2anc_artefact_legend_kote"	"General"
"s2anc_artefact_legend_mask"	"General"
"s2anc_artefact_legend_naginata"	"General"
"s2anc_artefact_legend_ninjato_1"	"gempei_spy"
"s2anc_artefact_legend_ninjato_1"	"ninja"
"s2anc_artefact_legend_ninjato_2"	"gempei_spy"
"s2anc_artefact_legend_ninjato_2"	"ninja"
"s2anc_artefact_legend_short_sword"	"metsuke"
"s2anc_artefact_mirror_moon"	"gempei_monk"
"s2anc_artefact_mirror_moon"	"ikko_monk"
"s2anc_artefact_mirror_moon"	"monk"
"s2anc_artefact_myth_sword_amateratsu"	"General"
"s2anc_artefact_myth_sword_moon"	"General"
"s2anc_artefact_myth_sword_spanish"	"General"
"s2anc_artefact_ninja_blowpipe"	"gempei_spy"
"s2anc_artefact_ninja_blowpipe"	"ninja"
"s2anc_artefact_ninja_bombs"	"gempei_spy"
"s2anc_artefact_ninja_bombs"	"ninja"
"s2anc_artefact_ninja_disguise_1"	"gempei_monk"
"s2anc_artefact_ninja_disguise_1"	"ninja"
"s2anc_artefact_ninja_disguise_2"	"gempei_spy"
"s2anc_artefact_ninja_disguise_2"	"ninja"
"s2anc_artefact_ninja_disguise_3"	"gempei_spy"
"s2anc_artefact_ninja_disguise_3"	"ninja"
"s2anc_artefact_ninja_disguise_4"	"ninja"
"s2anc_artefact_ninja_disguise_5"	"gempei_spy"
"s2anc_artefact_ninja_disguise_5"	"ninja"
"s2anc_artefact_ninja_disguise_6"	"gempei_spy"
"s2anc_artefact_ninja_disguise_6"	"ninja"
"s2anc_artefact_ninja_shuriken"	"gempei_spy"
"s2anc_artefact_ninja_shuriken"	"ninja"
"s2anc_artefact_ninja_tanto"	"gempei_spy"
"s2anc_artefact_ninja_tanto"	"ninja"
"s2anc_artefact_ninja_tiger_claws"	"gempei_spy"
"s2anc_artefact_ninja_tiger_claws"	"ninja"
"s2anc_chamberlain"	"General"
"s2anc_chess_champion"	"General"
"s2anc_crime_gambler"	"General"
"s2anc_crime_ronin_kabukimono"	"gempei_inspector"
"s2anc_crime_ronin_kabukimono"	"metsuke"
"s2anc_crime_yakuza_boss"	"metsuke"
"s2anc_crime_yakuza_disgraced"	"metsuke"
"s2anc_crime_yakuza_thug"	"metsuke"
"s2anc_espionage_assassin_chef_1"	"geisha"
"s2anc_espionage_assassin_chef_1"	"gempei_spy"
"s2anc_espionage_assassin_chef_1"	"ninja"
"s2anc_espionage_assassin_chef_2"	"geisha"
"s2anc_espionage_assassin_chef_2"	"gempei_spy"
"s2anc_espionage_assassin_chef_2"	"ninja"
"s2anc_espionage_chonin"	"gempei_spy"
"s2anc_espionage_samurai_rude_2"	"gempei_inspector"
"s2anc_espionage_samurai_rude_2"	"ikko_monk"
"s2anc_espionage_samurai_rude_2"	"monk"
"s2anc_espionage_samurai_rude"	"gempei_inspector"
"s2anc_espionage_samurai_rude"	"ninja"
"s2anc_espionage_samurai_show_off"	"ninja"
"s2anc_friend_boyhood"	"General"
"s2anc_friend_boyhood"	"gempei_inspector"
"s2anc_friend_drinker"	"General"
"s2anc_friend_drinker"	"gempei_inspector"
"s2anc_friend_mentor_figure"	"General"
"s2anc_geisha_dancer"	"geisha"
"s2anc_geisha_half_pay"	"geisha"
"s2anc_geisha_hot_springs"	"geisha"
"s2anc_geisha_waitress"	"geisha"
"s2anc_general_galloper"	"General"
"s2anc_general_surgeon"	"General"
"s2anc_general_taiko_drummer"	"General"
"s2anc_government_merchant"	"General"
"s2anc_government_merchant_2"	"General"
"s2anc_government_rabblerouser"	"ikko_monk"
"s2anc_government_rabblerouser"	"monk"
"s2anc_hero_boy"	"General"
"s2anc_household_astrologer"	"General"
"s2anc_household_biwa_hoshi_1"	"General"
"s2anc_household_biwa_hoshi_2"	"General"
"s2anc_household_chef_noodle"	"General"
"s2anc_household_chinese_courtier"	"General"
"s2anc_household_chinese_false"	"General"
"s2anc_household_doctor"	"General"
"s2anc_household_groom"	"General"
"s2anc_household_guard"	"General"
"s2anc_household_jesuit"	"missionary"
"s2anc_household_koto_hoshi_1"	"General"
"s2anc_household_koto_hoshi_2"	"General"
"s2anc_household_mystic"	"ikko_monk"
"s2anc_household_mystic"	"monk"
"s2anc_household_treasurer"	"General"
"s2anc_legend_army_architect"	"General"
"s2anc_legend_army_armourer"	"General"
"s2anc_legend_army_bowyer"	"General"
"s2anc_legend_army_castle_mason"	"General"
"s2anc_legend_army_gunmaker"	"General"
"s2anc_legend_army_iaijutsu"	"General"
"s2anc_legend_army_jujutsu"	"General"
"s2anc_legend_army_kenjutsu"	"General"
"s2anc_legend_army_kobudo"	"General"
"s2anc_legend_army_kyudo"	"General"
"s2anc_legend_army_naginata"	"General"
"s2anc_legend_army_netsuke"	"General"
"s2anc_legend_army_smith"	"General"
"s2anc_legend_army_sojutsu"	"General"
"s2anc_legend_army_yabusame"	"General"
"s2anc_legend_arts_bunraku"	"General"
"s2anc_legend_arts_calligrapher"	"General"
"s2anc_legend_arts_go"	"General"
"s2anc_legend_arts_haiku"	"General"
"s2anc_legend_arts_kabuki"	"geisha"
"s2anc_legend_arts_tea_ceremony"	"General"
"s2anc_legend_espionage_ninja"	"General"
"s2anc_legend_espionage_spy"	"General"
"s2anc_madman_christian"	"General"
"s2anc_madman_kappa"	"General"
"s2anc_madman_kodama"	"General"
"s2anc_madman_moon_rabbit"	"General"
"s2anc_madman_tengu"	"General"
"s2anc_master_army_architect"	"General"
"s2anc_master_army_armourer"	"General"
"s2anc_master_army_bowyer"	"General"
"s2anc_master_army_castle_mason"	"General"
"s2anc_master_army_gunmaker"	"General"
"s2anc_master_army_iaijutsu"	"General"
"s2anc_master_army_jujutsu"	"General"
"s2anc_master_army_kenjutsu"	"General"
"s2anc_master_army_kobudo"	"General"
"s2anc_master_army_kyudo"	"General"
"s2anc_master_army_naginata"	"General"
"s2anc_master_army_netsuke"	"General"
"s2anc_master_army_smith"	"General"
"s2anc_master_army_sojutsu"	"General"
"s2anc_master_army_yabusame"	"General"
"s2anc_master_arts_bunraku"	"General"
"s2anc_master_arts_calligrapher"	"General"
"s2anc_master_arts_ceramics"	"General"
"s2anc_master_arts_go_1"	"General"
"s2anc_master_arts_go_2"	"General"
"s2anc_master_arts_haiku"	"General"
"s2anc_master_arts_kabuki"	"geisha"
"s2anc_master_arts_tea_ceremony"	"General"
"s2anc_master_espionage_ninja"	"gempei_spy"
"s2anc_master_espionage_ninja"	"ninja"
"s2anc_mistress_bodyguard"	"General"
"s2anc_mistress_christian"	"General"
"s2anc_mistress_dangerous"	"General"
"s2anc_mistress_fox"	"General"
"s2anc_mistress_gorgeous"	"General"
"s2anc_mistress_peasant"	"General"
"s2anc_mistress_political"	"General"
"s2anc_mistress_political"	"gempei_inspector"
"s2anc_mistress_shrew"	"General"
"s2anc_mistress_tart"	"General"
"s2anc_musician_flute_lady"	"General"
"s2anc_navy_gaijin_1"	"General"
"s2anc_navy_gaijin_2"	"General"
"s2anc_navy_pearl_fisherman"	"General"
"s2anc_navy_pilot"	"General"
"s2anc_navy_pirate_chinese"	"General"
"s2anc_navy_pirate_nihon"	"General"
"s2anc_navy_pirate_okinawa"	"General"
"s2anc_navy_shipwreck_dutch"	"General"
"s2anc_pet_carp_1"	"General"
"s2anc_pet_carp_2"	"General"
"s2anc_pet_hunting_dog_gempei"	"gempei_inspector"
"s2anc_pet_hunting_dog"	"metsuke"
"s2anc_pet_monkey_2"	"ikko_monk"
"s2anc_pet_monkey_2"	"monk"
"s2anc_pet_monkey"	"gempei_monk"
"s2anc_pet_monkey"	"ikko_monk"
"s2anc_pet_monkey"	"monk"
"s2anc_religion_buddhist_monk"	"ikko_monk"
"s2anc_religion_buddhist_monk"	"monk"
"s2anc_religion_buddhist_nun"	"ikko_monk"
"s2anc_religion_buddhist_nun"	"monk"
"s2anc_religion_christian_agent_2"	"missionary"
"s2anc_religion_christian_agent"	"missionary"
"s2anc_religion_christian_confessor"	"missionary"
"s2anc_religion_christian_convert_1"	"missionary"
"s2anc_religion_christian_convert_2"	"missionary"
"s2anc_religion_christian_convert_3"	"missionary"
"s2anc_religion_christian_convert_4"	"missionary"
"s2anc_religion_christian_firebrand"	"missionary"
"s2anc_religion_christian_notary"	"missionary"
"s2anc_samurai_2_swords"	"General"
"s2anc_samurai_7_1"	"General"
"s2anc_samurai_7_2"	"General"
"s2anc_samurai_7_3"	"General"
"s2anc_samurai_7_4"	"General"
"s2anc_samurai_7_5"	"General"
"s2anc_samurai_7_6"	"General"
"s2anc_samurai_7_7"	"General"
"s2anc_samurai_killer"	"General"
"s2anc_samurai_killer"	"gempei_inspector"
"s2anc_samurai_killer"	"metsuke"
"s2anc_silly_time_tunnel_1"	"General"
"s2anc_silly_time_tunnel_2"	"General"
"s2anc_sp_bosh_animal_dog"	"boshin_ishinshishi"
"s2anc_sp_bosh_animal_dog"	"boshin_shinsengumi"
"s2anc_sp_bosh_animal_horse"	"General"
"s2anc_sp_bosh_binoculars_military"	"General"
"s2anc_sp_bosh_binoculars_opera"	"General"
"s2anc_sp_bosh_binoculars_opera"	"boshin_geisha"
"s2anc_sp_bosh_binoculars_opera"	"boshin_ishinshishi"
"s2anc_sp_bosh_binoculars_opera"	"boshin_shinobi"
"s2anc_sp_bosh_binoculars_opera"	"boshin_shinsengumi"
"s2anc_sp_bosh_binoculars_opera"	"boshin_veteran"
"s2anc_sp_bosh_book_20k"	"General"
"s2anc_sp_bosh_book_almanac"	"General"
"s2anc_sp_bosh_book_artillery_handbook"	"General"
"s2anc_sp_bosh_book_dickens"	"General"
"s2anc_sp_bosh_book_king_james"	"General"
"s2anc_sp_bosh_book_on_war"	"General"
"s2anc_sp_bosh_book_pulp"	"General"
"s2anc_sp_bosh_book_rights_of_man"	"General"
"s2anc_sp_bosh_book_uncle_tom"	"General"
"s2anc_sp_bosh_burakumin"	"boshin_ishinshishi"
"s2anc_sp_bosh_burakumin"	"boshin_shinsengumi"
"s2anc_sp_bosh_clock_marine"	"General"
"s2anc_sp_bosh_clock_myriad"	"General"
"s2anc_sp_bosh_clock_watch"	"General"
"s2anc_sp_bosh_doctor_euro"	"General"
"s2anc_sp_bosh_doctor_jp"	"General"
"s2anc_sp_bosh_doctor_surgeon_euro"	"General"
"s2anc_sp_bosh_doctor_surgeon_jp"	"General"
"s2anc_sp_bosh_ed_the_cat"	"boshin_ishinshishi"
"s2anc_sp_bosh_ed_the_cat"	"boshin_shinsengumi"
"s2anc_sp_bosh_foreign_botanist"	"General"
"s2anc_sp_bosh_foreign_journo"	"General"
"s2anc_sp_bosh_foreign_journo_2"	"General"
"s2anc_sp_bosh_foreign_journo_3"	"General"
"s2anc_sp_bosh_foreign_journo_4"	"General"
"s2anc_sp_bosh_foreign_servant_uk"	"General"
"s2anc_sp_bosh_foreign_tourist_2"	"boshin_veteran"
"s2anc_sp_bosh_foreign_tourist"	"boshin_veteran"
"s2anc_sp_bosh_game_cards"	"boshin_ishinshishi"
"s2anc_sp_bosh_game_cards"	"boshin_shinobi"
"s2anc_sp_bosh_game_cards"	"boshin_shinsengumi"
"s2anc_sp_bosh_game_shogi"	"General"
"s2anc_sp_bosh_geisha_danna"	"boshin_geisha"
"s2anc_sp_bosh_geisha_hangyoku"	"boshin_geisha"
"s2anc_sp_bosh_geisha_maiko"	"boshin_ishinshishi"
"s2anc_sp_bosh_geisha_maiko"	"boshin_shinobi"
"s2anc_sp_bosh_geisha_maiko"	"boshin_shinsengumi"
"s2anc_sp_bosh_geisha_o_shoku"	"boshin_geisha"
"s2anc_sp_bosh_geisha_onsen"	"boshin_veteran"
"s2anc_sp_bosh_geisha_shamisen"	"boshin_geisha"
"s2anc_sp_bosh_gun_adams"	"boshin_veteran"
"s2anc_sp_bosh_gun_colt_navy"	"boshin_veteran"
"s2anc_sp_bosh_gun_deringer"	"General"
"s2anc_sp_bosh_gun_deringer"	"boshin_geisha"
"s2anc_sp_bosh_gun_deringer"	"boshin_ishinshishi"
"s2anc_sp_bosh_gun_deringer"	"boshin_shinobi"
"s2anc_sp_bosh_gun_deringer"	"boshin_shinsengumi"
"s2anc_sp_bosh_gun_deringer"	"boshin_veteran"
"s2anc_sp_bosh_gun_dreyse"	"boshin_veteran"
"s2anc_sp_bosh_gun_elephant"	"boshin_veteran"
"s2anc_sp_bosh_gun_gewehr_muzzleloader"	"boshin_veteran"
"s2anc_sp_bosh_gun_lancaster"	"boshin_veteran"
"s2anc_sp_bosh_gun_martini_henry"	"boshin_veteran"
"s2anc_sp_bosh_gun_matchlock"	"boshin_veteran"
"s2anc_sp_bosh_gun_mauser_71"	"boshin_veteran"
"s2anc_sp_bosh_gun_minie"	"boshin_veteran"
"s2anc_sp_bosh_gun_model_1866"	"boshin_veteran"
"s2anc_sp_bosh_gun_musketoon"	"boshin_veteran"
"s2anc_sp_bosh_gun_sandw_2"	"boshin_veteran"
"s2anc_sp_bosh_gun_snider"	"boshin_veteran"
"s2anc_sp_bosh_gun_spencer"	"boshin_veteran"
"s2anc_sp_bosh_gun_springfield"	"boshin_veteran"
"s2anc_sp_bosh_gun_volcanic"	"General"
"s2anc_sp_bosh_gun_volcanic"	"boshin_geisha"
"s2anc_sp_bosh_gun_volcanic"	"boshin_ishinshishi"
"s2anc_sp_bosh_gun_volcanic"	"boshin_shinobi"
"s2anc_sp_bosh_gun_volcanic"	"boshin_shinsengumi"
"s2anc_sp_bosh_gun_volcanic"	"boshin_veteran"
"s2anc_sp_bosh_iem_cigarillo"	"boshin_veteran"
"s2anc_sp_bosh_item_absinthe"	"boshin_geisha"
"s2anc_sp_bosh_item_balloon"	"General"
"s2anc_sp_bosh_item_bike_early"	"General"
"s2anc_sp_bosh_item_binocs_artillery"	"General"
"s2anc_sp_bosh_item_camera"	"boshin_veteran"
"s2anc_sp_bosh_item_champagne"	"boshin_geisha"
"s2anc_sp_bosh_item_chloroform_killer"	"boshin_ishinshishi"
"s2anc_sp_bosh_item_chloroform_killer"	"boshin_shinobi"
"s2anc_sp_bosh_item_chloroform_killer"	"boshin_shinsengumi"
"s2anc_sp_bosh_item_condom"	"boshin_geisha"
"s2anc_sp_bosh_item_fan_killer"	"boshin_ishinshishi"
"s2anc_sp_bosh_item_fan_killer"	"boshin_shinobi"
"s2anc_sp_bosh_item_fan_killer"	"boshin_shinsengumi"
"s2anc_sp_bosh_item_fintry"	"boshin_veteran"
"s2anc_sp_bosh_item_flag_semaphore"	"General"
"s2anc_sp_bosh_item_flag_wig_wag"	"General"
"s2anc_sp_bosh_item_food_bovril"	"General"
"s2anc_sp_bosh_item_game_bat"	"boshin_ishinshishi"
"s2anc_sp_bosh_item_game_bat"	"boshin_shinsengumi"
"s2anc_sp_bosh_item_game_chess"	"General"
"s2anc_sp_bosh_item_game_cricket"	"General"
"s2anc_sp_bosh_item_game_go"	"General"
"s2anc_sp_bosh_item_game_golf"	"boshin_veteran"
"s2anc_sp_bosh_item_game_tennis"	"General"
"s2anc_sp_bosh_item_glasses_smoked"	"General"
"s2anc_sp_bosh_item_globe"	"General"
"s2anc_sp_bosh_item_hand_warmer"	"boshin_geisha"
"s2anc_sp_bosh_item_mech_puppet"	"General"
"s2anc_sp_bosh_item_medical_chloroform"	"General"
"s2anc_sp_bosh_item_medical_stethoscope"	"General"
"s2anc_sp_bosh_item_microscope"	"General"
"s2anc_sp_bosh_item_music_accordian"	"General"
"s2anc_sp_bosh_item_music_euphonium"	"General"
"s2anc_sp_bosh_item_music_piano"	"General"
"s2anc_sp_bosh_item_navy_diving"	"General"
"s2anc_sp_bosh_item_navy_sextant"	"General"
"s2anc_sp_bosh_item_optic_telescope"	"boshin_geisha"
"s2anc_sp_bosh_item_optic_telescope"	"boshin_ishinshishi"
"s2anc_sp_bosh_item_optic_telescope"	"boshin_shinobi"
"s2anc_sp_bosh_item_optic_telescope"	"boshin_shinsengumi"
"s2anc_sp_bosh_item_pen"	"General"
"s2anc_sp_bosh_item_phonograph"	"General"
"s2anc_sp_bosh_item_pipe_opium"	"boshin_ishinshishi"
"s2anc_sp_bosh_item_pipe_opium"	"boshin_shinobi"
"s2anc_sp_bosh_item_pipe_opium"	"boshin_shinsengumi"
"s2anc_sp_bosh_item_poisons"	"boshin_ishinshishi"
"s2anc_sp_bosh_item_poisons"	"boshin_shinobi"
"s2anc_sp_bosh_item_poisons"	"boshin_shinsengumi"
"s2anc_sp_bosh_item_pong"	"boshin_veteran"
"s2anc_sp_bosh_item_prussian_spikey_hat"	"General"
"s2anc_sp_bosh_item_razor"	"General"
"s2anc_sp_bosh_item_sabre_cav"	"General"
"s2anc_sp_bosh_item_scotch"	"General"
"s2anc_sp_bosh_item_skate"	"boshin_ishinshishi"
"s2anc_sp_bosh_item_skate"	"boshin_shinobi"
"s2anc_sp_bosh_item_skate"	"boshin_shinsengumi"
"s2anc_sp_bosh_item_slide_rule"	"General"
"s2anc_sp_bosh_item_snuff"	"boshin_ishinshishi"
"s2anc_sp_bosh_item_snuff"	"boshin_shinobi"
"s2anc_sp_bosh_item_snuff"	"boshin_shinsengumi"
"s2anc_sp_bosh_item_soap"	"boshin_geisha"
"s2anc_sp_bosh_item_sword_bokken"	"General"
"s2anc_sp_bosh_item_theodolite"	"General"
"s2anc_sp_bosh_item_umbrella_sword"	"boshin_veteran"
"s2anc_sp_bosh_item_vicky"	"General"
"s2anc_sp_bosh_item_weapon_bayonet"	"General"
"s2anc_sp_bosh_item_wig_black"	"General"
"s2anc_sp_bosh_item_wig_red"	"General"
"s2anc_sp_bosh_item_wig_white"	"General"
"s2anc_sp_bosh_legend_armour"	"General"
"s2anc_sp_bosh_legend_biwa"	"General"
"s2anc_sp_bosh_legend_do"	"General"
"s2anc_sp_bosh_legend_flag"	"General"
"s2anc_sp_bosh_legend_go"	"General"
"s2anc_sp_bosh_legend_haiku"	"General"
"s2anc_sp_bosh_legend_kabuto"	"General"
"s2anc_sp_bosh_legend_katana"	"General"
"s2anc_sp_bosh_legend_kote"	"General"
"s2anc_sp_bosh_legend_koto"	"General"
"s2anc_sp_bosh_legend_menpo"	"General"
"s2anc_sp_bosh_legend_ninja"	"General"
"s2anc_sp_bosh_legend_ninjato"	"boshin_shinobi"
"s2anc_sp_bosh_legend_spy"	"General"
"s2anc_sp_bosh_legend_suneate"	"General"
"s2anc_sp_bosh_legend_sword"	"General"
"s2anc_sp_bosh_legend_tea"	"General"
"s2anc_sp_bosh_lone_arranger"	"boshin_veteran"
"s2anc_sp_bosh_master_blade"	"General"
"s2anc_sp_bosh_master_go"	"General"
"s2anc_sp_bosh_master_go_2"	"General"
"s2anc_sp_bosh_master_iaijutsu"	"General"
"s2anc_sp_bosh_master_jujutsu"	"General"
"s2anc_sp_bosh_master_kenjutsu"	"General"
"s2anc_sp_bosh_master_kyudo"	"General"
"s2anc_sp_bosh_master_ninjutsu"	"boshin_shinobi"
"s2anc_sp_bosh_master_sojutsu"	"General"
"s2anc_sp_bosh_master_tea"	"General"
"s2anc_sp_bosh_mercenary_csa"	"General"
"s2anc_sp_bosh_mistress_ambitious_2"	"General"
"s2anc_sp_bosh_mistress_common"	"General"
"s2anc_sp_bosh_mistress_discreet"	"General"
"s2anc_sp_bosh_mistress_europe"	"General"
"s2anc_sp_bosh_mistress_europe_strict"	"boshin_shinsengumi"
"s2anc_sp_bosh_mistress_foxy"	"General"
"s2anc_sp_bosh_mistress_gorgeous"	"General"
"s2anc_sp_bosh_mistress_joro"	"General"
"s2anc_sp_bosh_mistress_soldier"	"General"
"s2anc_sp_bosh_modernist"	"General"
"s2anc_sp_bosh_mummified_mermaid"	"boshin_veteran"
"s2anc_sp_bosh_music_drums"	"General"
"s2anc_sp_bosh_music_flute_player"	"General"
"s2anc_sp_bosh_naval_builder_fr"	"General"
"s2anc_sp_bosh_naval_builder_uk"	"General"
"s2anc_sp_bosh_ninja_blowpipe"	"boshin_shinobi"
"s2anc_sp_bosh_ninja_chef_fugu"	"boshin_ishinshishi"
"s2anc_sp_bosh_ninja_chef_fugu"	"boshin_shinobi"
"s2anc_sp_bosh_ninja_chef_fugu"	"boshin_shinsengumi"
"s2anc_sp_bosh_ninja_chef_sushi"	"boshin_ishinshishi"
"s2anc_sp_bosh_ninja_chef_sushi"	"boshin_shinobi"
