version 1, schema ancillary_included_subcultures_tables
Ancillary_IDRef(string)	Subculture(string)
"Ancillary_Army_Hagiographer"	"sc_european_america"
"Ancillary_Army_Hagiographer"	"sc_european_east"
"Ancillary_Army_Hagiographer"	"sc_european_north"
"Ancillary_Army_Hagiographer"	"sc_european_south"
"Ancillary_Army_Hagiographer"	"sc_european_west"
"Ancillary_Army_Loyal_Sowar"	"sc_european_america"
"Ancillary_Army_Loyal_Sowar"	"sc_european_east"
"Ancillary_Army_Loyal_Sowar"	"sc_european_north"
"Ancillary_Army_Loyal_Sowar"	"sc_european_south"
"Ancillary_Army_Loyal_Sowar"	"sc_european_west"
"Ancillary_Army_Loyal_Sowar"	"sc_mideast_islamic"
"Ancillary_Army_Merc_Artilleryman"	"sc_indian_hindu"
"Ancillary_Army_Merc_Artilleryman"	"sc_indian_islamic"
"Ancillary_Army_Merc_Artilleryman"	"sc_indian_sikh"
"Ancillary_Army_Merc_Artilleryman"	"sc_mideast_islamic"
"Ancillary_Army_Merc_Cavalryman"	"sc_indian_hindu"
"Ancillary_Army_Merc_Cavalryman"	"sc_indian_islamic"
"Ancillary_Army_Merc_Cavalryman"	"sc_indian_sikh"
"Ancillary_Army_Merc_Cavalryman"	"sc_mideast_islamic"
"Ancillary_Army_Merc_Infantryman"	"sc_indian_hindu"
"Ancillary_Army_Merc_Infantryman"	"sc_indian_islamic"
"Ancillary_Army_Merc_Infantryman"	"sc_indian_sikh"
"Ancillary_Army_Merc_Infantryman"	"sc_mideast_islamic"
"Ancillary_Army_Military_Artist"	"sc_european_america"
"Ancillary_Army_Military_Artist"	"sc_european_east"
"Ancillary_Army_Military_Artist"	"sc_european_north"
"Ancillary_Army_Military_Artist"	"sc_european_south"
"Ancillary_Army_Military_Artist"	"sc_european_west"
"Ancillary_Army_Military_Surveyor"	"sc_european_america"
"Ancillary_Army_Military_Surveyor"	"sc_european_east"
"Ancillary_Army_Military_Surveyor"	"sc_european_north"
"Ancillary_Army_Military_Surveyor"	"sc_european_south"
"Ancillary_Army_Military_Surveyor"	"sc_european_west"
"Ancillary_Army_Military_Surveyor"	"sc_indian_hindu"
"Ancillary_Army_Military_Surveyor"	"sc_indian_islamic"
"Ancillary_Army_Military_Surveyor"	"sc_indian_sikh"
"Ancillary_Army_Military_Surveyor"	"sc_mideast_islamic"
"Ancillary_Army_Ottoman_Turncoat"	"sc_european_america"
"Ancillary_Army_Ottoman_Turncoat"	"sc_european_east"
"Ancillary_Army_Ottoman_Turncoat"	"sc_european_north"
"Ancillary_Army_Ottoman_Turncoat"	"sc_european_south"
"Ancillary_Army_Ottoman_Turncoat"	"sc_european_west"
"Ancillary_Army_Ottoman_Turncoat"	"sc_indian_hindu"
"Ancillary_Army_Ottoman_Turncoat"	"sc_indian_islamic"
"Ancillary_Army_Ottoman_Turncoat"	"sc_indian_sikh"
"Ancillary_Army_Pox_Doctor"	"sc_european_america"
"Ancillary_Army_Pox_Doctor"	"sc_european_east"
"Ancillary_Army_Pox_Doctor"	"sc_european_north"
"Ancillary_Army_Pox_Doctor"	"sc_european_south"
"Ancillary_Army_Pox_Doctor"	"sc_european_west"
"Ancillary_Army_Quartermaster"	"sc_european_america"
"Ancillary_Army_Quartermaster"	"sc_european_east"
"Ancillary_Army_Quartermaster"	"sc_european_north"
"Ancillary_Army_Quartermaster"	"sc_european_south"
"Ancillary_Army_Quartermaster"	"sc_european_west"
"Ancillary_Army_Quartermaster"	"sc_indian_hindu"
"Ancillary_Army_Quartermaster"	"sc_indian_islamic"
"Ancillary_Army_Quartermaster"	"sc_indian_sikh"
"Ancillary_Army_Quartermaster"	"sc_mideast_islamic"
"Ancillary_Army_Surgeon"	"sc_european_america"
"Ancillary_Army_Surgeon"	"sc_european_east"
"Ancillary_Army_Surgeon"	"sc_european_north"
"Ancillary_Army_Surgeon"	"sc_european_south"
"Ancillary_Army_Surgeon"	"sc_european_west"
"Ancillary_Army_Surgeon"	"sc_indian_hindu"
"Ancillary_Army_Surgeon"	"sc_indian_islamic"
"Ancillary_Army_Surgeon"	"sc_indian_sikh"
"Ancillary_Army_Surgeon"	"sc_mideast_islamic"
"Ancillary_Army_Tribal_Shaman"	"sc_tribal_american"
"Ancillary_Army_Tribal_Shaman"	"sc_tribal_steppe"
"Ancillary_Army_Waggonmaster"	"sc_european_america"
"Ancillary_Army_Waggonmaster"	"sc_european_east"
"Ancillary_Army_Waggonmaster"	"sc_european_north"
"Ancillary_Army_Waggonmaster"	"sc_european_south"
"Ancillary_Army_Waggonmaster"	"sc_european_west"
"Ancillary_Army_Waggonmaster"	"sc_indian_hindu"
"Ancillary_Army_Waggonmaster"	"sc_indian_islamic"
"Ancillary_Army_Waggonmaster"	"sc_indian_sikh"
"Ancillary_Army_Waggonmaster"	"sc_mideast_islamic"
"Ancillary_Artillery_Expert"	"sc_european_america"
"Ancillary_Artillery_Expert"	"sc_european_east"
"Ancillary_Artillery_Expert"	"sc_european_north"
"Ancillary_Artillery_Expert"	"sc_european_south"
"Ancillary_Artillery_Expert"	"sc_european_west"
"Ancillary_Assassin_Thug"	"sc_european_america"
"Ancillary_Assassin_Thug"	"sc_european_east"
"Ancillary_Assassin_Thug"	"sc_european_north"
"Ancillary_Assassin_Thug"	"sc_european_west"
"Ancillary_Assassin_Thug"	"sc_indian_hindu"
"Ancillary_Assassin_Thug"	"sc_indian_islamic"
"Ancillary_Assassin_Thug"	"sc_indian_sikh"
"Ancillary_Barber"	"sc_european_america"
"Ancillary_Barber"	"sc_european_east"
"Ancillary_Barber"	"sc_european_north"
"Ancillary_Barber"	"sc_european_south"
"Ancillary_Barber"	"sc_european_west"
"Ancillary_Barber"	"sc_mideast_islamic"
"Ancillary_Blood_Brother"	"sc_european_america"
"Ancillary_Blood_Brother"	"sc_european_east"
"Ancillary_Blood_Brother"	"sc_european_north"
"Ancillary_Blood_Brother"	"sc_european_south"
"Ancillary_Blood_Brother"	"sc_european_west"
"Ancillary_Bodysnatcher"	"sc_european_america"
"Ancillary_Bodysnatcher"	"sc_european_east"
"Ancillary_Bodysnatcher"	"sc_european_north"
"Ancillary_Bodysnatcher"	"sc_european_south"
"Ancillary_Bodysnatcher"	"sc_european_west"
"Ancillary_Boxer"	"sc_european_america"
"Ancillary_Boxer"	"sc_european_east"
"Ancillary_Boxer"	"sc_european_north"
"Ancillary_Boxer"	"sc_european_south"
"Ancillary_Boxer"	"sc_european_west"
"Ancillary_Duelling_Hidalgo_Fop"	"sc_european_america"
"Ancillary_Duelling_Hidalgo_Fop"	"sc_european_south"
"Ancillary_Duelling_Minx"	"sc_european_america"
"Ancillary_Duelling_Minx"	"sc_european_east"
"Ancillary_Duelling_Minx"	"sc_european_north"
"Ancillary_Duelling_Minx"	"sc_european_south"
"Ancillary_Duelling_Minx"	"sc_european_west"
"Ancillary_Duelling_Pistols"	"sc_european_america"
"Ancillary_Duelling_Pistols"	"sc_european_east"
"Ancillary_Duelling_Pistols"	"sc_european_north"
"Ancillary_Duelling_Pistols"	"sc_european_south"
"Ancillary_Duelling_Pistols"	"sc_european_west"
"Ancillary_Duelling_Pistols_Manton"	"sc_european_america"
"Ancillary_Duelling_Pistols_Manton"	"sc_european_east"
"Ancillary_Duelling_Pistols_Manton"	"sc_european_north"
"Ancillary_Duelling_Pistols_Manton"	"sc_european_south"
"Ancillary_Duelling_Pistols_Manton"	"sc_european_west"
"Ancillary_European_Captive_Ferang"	"sc_indian_hindu"
"Ancillary_European_Captive_Ferang"	"sc_indian_islamic"
"Ancillary_European_Captive_Ferang"	"sc_indian_sikh"
"Ancillary_Foodtaster"	"sc_indian_hindu"
"Ancillary_Foodtaster"	"sc_indian_islamic"
"Ancillary_Foodtaster"	"sc_indian_sikh"
"Ancillary_Foodtaster"	"sc_mideast_islamic"
"Ancillary_Garden_Hermit"	"sc_european_america"
"Ancillary_Garden_Hermit"	"sc_european_east"
"Ancillary_Garden_Hermit"	"sc_european_north"
"Ancillary_Garden_Hermit"	"sc_european_south"
"Ancillary_Garden_Hermit"	"sc_european_west"
"Ancillary_Government_Architect"	"sc_european_america"
"Ancillary_Government_Architect"	"sc_european_east"
"Ancillary_Government_Architect"	"sc_european_north"
"Ancillary_Government_Architect"	"sc_european_south"
"Ancillary_Government_Architect"	"sc_european_west"
"Ancillary_Government_Architect"	"sc_indian_hindu"
"Ancillary_Government_Architect"	"sc_indian_islamic"
"Ancillary_Government_Architect"	"sc_indian_sikh"
"Ancillary_Government_Architect"	"sc_mideast_islamic"
"Ancillary_Government_Comptroller"	"sc_european_america"
"Ancillary_Government_Comptroller"	"sc_european_east"
"Ancillary_Government_Comptroller"	"sc_european_north"
"Ancillary_Government_Comptroller"	"sc_european_south"
"Ancillary_Government_Comptroller"	"sc_european_west"
"Ancillary_Government_Controller"	"sc_european_america"
"Ancillary_Government_Controller"	"sc_european_east"
"Ancillary_Government_Controller"	"sc_european_north"
"Ancillary_Government_Controller"	"sc_european_south"
"Ancillary_Government_Controller"	"sc_european_west"
"Ancillary_Government_Controller"	"sc_indian_hindu"
"Ancillary_Government_Controller"	"sc_indian_islamic"
"Ancillary_Government_Controller"	"sc_indian_sikh"
"Ancillary_Government_Controller"	"sc_mideast_islamic"
"Ancillary_Government_Crimper"	"sc_european_america"
"Ancillary_Government_Crimper"	"sc_european_east"
"Ancillary_Government_Crimper"	"sc_european_north"
"Ancillary_Government_Crimper"	"sc_european_south"
"Ancillary_Government_Crimper"	"sc_european_west"
"Ancillary_Government_Cypher"	"sc_european_america"
"Ancillary_Government_Cypher"	"sc_european_east"
"Ancillary_Government_Cypher"	"sc_european_north"
"Ancillary_Government_Cypher"	"sc_european_south"
"Ancillary_Government_Cypher"	"sc_european_west"
"Ancillary_Government_Cypher"	"sc_indian_hindu"
"Ancillary_Government_Cypher"	"sc_indian_islamic"
"Ancillary_Government_Cypher"	"sc_indian_sikh"
"Ancillary_Government_Cypher"	"sc_mideast_islamic"
"Ancillary_Government_Executioner_Nasty"	"sc_indian_hindu"
"Ancillary_Government_Executioner_Nasty"	"sc_indian_islamic"
"Ancillary_Government_Executioner_Nasty"	"sc_indian_sikh"
"Ancillary_Government_Executioner_Nasty"	"sc_mideast_islamic"
"Ancillary_Government_Guardian"	"sc_indian_hindu"
"Ancillary_Government_Guardian"	"sc_indian_islamic"
"Ancillary_Government_Guardian"	"sc_indian_sikh"
"Ancillary_Government_Guardian"	"sc_mideast_islamic"
"Ancillary_Government_Secret_Policeman"	"sc_european_america"
"Ancillary_Government_Secret_Policeman"	"sc_european_east"
"Ancillary_Government_Secret_Policeman"	"sc_european_north"
"Ancillary_Government_Secret_Policeman"	"sc_european_south"
"Ancillary_Government_Secret_Policeman"	"sc_european_west"
"Ancillary_Government_Secret_Policeman"	"sc_indian_hindu"
"Ancillary_Government_Secret_Policeman"	"sc_indian_islamic"
"Ancillary_Government_Secret_Policeman"	"sc_indian_sikh"
"Ancillary_Government_Secret_Policeman"	"sc_mideast_islamic"
"Ancillary_Government_Secretary_Efficient"	"sc_european_america"
"Ancillary_Government_Secretary_Efficient"	"sc_european_east"
"Ancillary_Government_Secretary_Efficient"	"sc_european_north"
"Ancillary_Government_Secretary_Efficient"	"sc_european_south"
"Ancillary_Government_Secretary_Efficient"	"sc_european_west"
"Ancillary_Government_Secretary_Efficient"	"sc_indian_hindu"
"Ancillary_Government_Secretary_Efficient"	"sc_indian_islamic"
"Ancillary_Government_Secretary_Efficient"	"sc_indian_sikh"
"Ancillary_Government_Secretary_Efficient"	"sc_mideast_islamic"
"Ancillary_Government_Secretary_Gobby"	"sc_european_america"
"Ancillary_Government_Secretary_Gobby"	"sc_european_east"
"Ancillary_Government_Secretary_Gobby"	"sc_european_north"
"Ancillary_Government_Secretary_Gobby"	"sc_european_south"
"Ancillary_Government_Secretary_Gobby"	"sc_european_west"
"Ancillary_Government_Secretary_Gobby"	"sc_indian_hindu"
"Ancillary_Government_Secretary_Gobby"	"sc_indian_islamic"
"Ancillary_Government_Secretary_Gobby"	"sc_indian_sikh"
"Ancillary_Government_Secretary_Gobby"	"sc_mideast_islamic"
"Ancillary_Government_Spymaster"	"sc_european_america"
"Ancillary_Government_Spymaster"	"sc_european_east"
"Ancillary_Government_Spymaster"	"sc_european_north"
"Ancillary_Government_Spymaster"	"sc_european_south"
"Ancillary_Government_Spymaster"	"sc_european_west"
"Ancillary_Government_Spymaster"	"sc_indian_hindu"
"Ancillary_Government_Spymaster"	"sc_indian_islamic"
"Ancillary_Government_Spymaster"	"sc_indian_sikh"
"Ancillary_Government_Spymaster"	"sc_mideast_islamic"
"Ancillary_Government_Thieftaker"	"sc_european_america"
"Ancillary_Government_Thieftaker"	"sc_european_east"
"Ancillary_Government_Thieftaker"	"sc_european_north"
"Ancillary_Government_Thieftaker"	"sc_european_south"
"Ancillary_Government_Thieftaker"	"sc_european_west"
"Ancillary_Government_Vampire_Hunter"	"sc_european_east"
"Ancillary_Government_Vampire_Hunter"	"sc_european_north"
"Ancillary_Government_Vampire_Hunter"	"sc_european_south"
"Ancillary_Government_Wrestler"	"sc_indian_hindu"
"Ancillary_Government_Wrestler"	"sc_indian_islamic"
"Ancillary_Government_Wrestler"	"sc_indian_sikh"
"Ancillary_Government_Wrestler"	"sc_mideast_islamic"
"Ancillary_Great_Composer"	"sc_european_america"
"Ancillary_Great_Composer"	"sc_european_east"
"Ancillary_Great_Composer"	"sc_european_north"
"Ancillary_Great_Composer"	"sc_european_south"
"Ancillary_Great_Composer"	"sc_european_west"
"Ancillary_Grizzly_Adams"	"sc_european_america"
"Ancillary_Grizzly_Adams"	"sc_european_east"
"Ancillary_Grizzly_Adams"	"sc_european_north"
"Ancillary_Grizzly_Adams"	"sc_european_south"
"Ancillary_Grizzly_Adams"	"sc_european_west"
"Ancillary_Grizzly_Adams"	"sc_indian_hindu"
"Ancillary_Grizzly_Adams"	"sc_indian_islamic"
"Ancillary_Grizzly_Adams"	"sc_indian_sikh"
"Ancillary_Grizzly_Adams"	"sc_mideast_islamic"
"Ancillary_Historian"	"sc_european_america"
"Ancillary_Historian"	"sc_european_east"
"Ancillary_Historian"	"sc_european_north"
"Ancillary_Historian"	"sc_european_south"
"Ancillary_Historian"	"sc_european_west"
"Ancillary_Historian"	"sc_indian_hindu"
"Ancillary_Historian"	"sc_indian_islamic"
"Ancillary_Historian"	"sc_indian_sikh"
"Ancillary_Historian"	"sc_mideast_islamic"
"Ancillary_Inventive_Genius_Astronomer"	"sc_european_america"
"Ancillary_Inventive_Genius_Astronomer"	"sc_european_east"
"Ancillary_Inventive_Genius_Astronomer"	"sc_european_north"
"Ancillary_Inventive_Genius_Astronomer"	"sc_european_south"
"Ancillary_Inventive_Genius_Astronomer"	"sc_european_west"
"Ancillary_Inventive_Genius_Astronomer"	"sc_indian_hindu"
"Ancillary_Inventive_Genius_Astronomer"	"sc_indian_islamic"
"Ancillary_Inventive_Genius_Astronomer"	"sc_indian_sikh"
"Ancillary_Inventive_Genius_Astronomer"	"sc_mideast_islamic"
"Ancillary_Inventive_Genius_Loony"	"sc_european_america"
"Ancillary_Inventive_Genius_Loony"	"sc_european_east"
"Ancillary_Inventive_Genius_Loony"	"sc_european_north"
"Ancillary_Inventive_Genius_Loony"	"sc_european_south"
"Ancillary_Inventive_Genius_Loony"	"sc_european_west"
"Ancillary_Inventive_Genius_Mill_Worker"	"sc_european_america"
"Ancillary_Inventive_Genius_Mill_Worker"	"sc_european_east"
"Ancillary_Inventive_Genius_Mill_Worker"	"sc_european_north"
"Ancillary_Inventive_Genius_Mill_Worker"	"sc_european_south"
"Ancillary_Inventive_Genius_Mill_Worker"	"sc_european_west"
"Ancillary_Justice_Witness"	"sc_european_america"
"Ancillary_Justice_Witness"	"sc_european_east"
"Ancillary_Justice_Witness"	"sc_european_north"
"Ancillary_Justice_Witness"	"sc_european_south"
"Ancillary_Justice_Witness"	"sc_european_west"
"Ancillary_Landscape_Gardener"	"sc_european_east"
"Ancillary_Landscape_Gardener"	"sc_european_north"
"Ancillary_Landscape_Gardener"	"sc_european_south"
"Ancillary_Landscape_Gardener"	"sc_european_west"
"Ancillary_Madman"	"sc_european_america"
"Ancillary_Madman"	"sc_european_east"
"Ancillary_Madman"	"sc_european_north"
"Ancillary_Madman"	"sc_european_south"
"Ancillary_Madman"	"sc_european_west"
"Ancillary_Master_of_Lunacy"	"sc_european_america"
"Ancillary_Master_of_Lunacy"	"sc_european_east"
"Ancillary_Master_of_Lunacy"	"sc_european_north"
"Ancillary_Master_of_Lunacy"	"sc_european_south"
"Ancillary_Master_of_Lunacy"	"sc_european_west"
"Ancillary_Merchant_Corn_Factor"	"sc_european_america"
"Ancillary_Merchant_Corn_Factor"	"sc_european_east"
"Ancillary_Merchant_Corn_Factor"	"sc_european_north"
"Ancillary_Merchant_Corn_Factor"	"sc_european_south"
"Ancillary_Merchant_Corn_Factor"	"sc_european_west"
"Ancillary_Military_Riding_Master"	"sc_european_america"
"Ancillary_Military_Riding_Master"	"sc_european_east"
"Ancillary_Military_Riding_Master"	"sc_european_north"
"Ancillary_Military_Riding_Master"	"sc_european_south"
"Ancillary_Military_Riding_Master"	"sc_european_west"
"Ancillary_Mistress_Actress"	"sc_european_east"
"Ancillary_Mistress_Actress"	"sc_european_north"
"Ancillary_Mistress_Actress"	"sc_european_south"
"Ancillary_Mistress_Actress"	"sc_european_west"
"Ancillary_Mistress_Circassian"	"sc_mideast_islamic"
"Ancillary_Mistress_Common_Floozy"	"sc_european_america"
"Ancillary_Mistress_Common_Floozy"	"sc_european_east"
"Ancillary_Mistress_Common_Floozy"	"sc_european_north"
"Ancillary_Mistress_Common_Floozy"	"sc_european_south"
"Ancillary_Mistress_Common_Floozy"	"sc_european_west"
"Ancillary_Mistress_Gorgeous"	"sc_european_america"
"Ancillary_Mistress_Gorgeous"	"sc_european_east"
"Ancillary_Mistress_Gorgeous"	"sc_european_north"
"Ancillary_Mistress_Gorgeous"	"sc_european_south"
"Ancillary_Mistress_Gorgeous"	"sc_european_west"
"Ancillary_Mistress_Gorgeous"	"sc_indian_hindu"
"Ancillary_Mistress_Gorgeous"	"sc_indian_islamic"
"Ancillary_Mistress_Gorgeous"	"sc_indian_sikh"
"Ancillary_Mistress_Gorgeous"	"sc_mideast_islamic"
"Ancillary_Mistress_Molly"	"sc_european_america"
"Ancillary_Mistress_Molly"	"sc_european_east"
"Ancillary_Mistress_Molly"	"sc_european_north"
"Ancillary_Mistress_Molly"	"sc_european_south"
"Ancillary_Mistress_Molly"	"sc_european_west"
"Ancillary_Mistress_Noble"	"sc_european_america"
"Ancillary_Mistress_Noble"	"sc_european_east"
"Ancillary_Mistress_Noble"	"sc_european_north"
"Ancillary_Mistress_Noble"	"sc_european_south"
"Ancillary_Mistress_Noble"	"sc_european_west"
"Ancillary_Mistress_Spycatcher_Lady"	"sc_european_america"
"Ancillary_Mistress_Spycatcher_Lady"	"sc_european_east"
"Ancillary_Mistress_Spycatcher_Lady"	"sc_european_north"
"Ancillary_Mistress_Spycatcher_Lady"	"sc_european_south"
"Ancillary_Mistress_Spycatcher_Lady"	"sc_european_west"
"Ancillary_Mistress_Spymistress"	"sc_european_america"
"Ancillary_Mistress_Spymistress"	"sc_european_east"
"Ancillary_Mistress_Spymistress"	"sc_european_north"
"Ancillary_Mistress_Spymistress"	"sc_european_south"
"Ancillary_Mistress_Spymistress"	"sc_european_west"
"Ancillary_Mistress_Spymistress"	"sc_indian_hindu"
"Ancillary_Mistress_Spymistress"	"sc_indian_islamic"
"Ancillary_Mistress_Spymistress"	"sc_indian_sikh"
"Ancillary_Mistress_Spymistress"	"sc_mideast_islamic"
"Ancillary_Mystic_Mysterious"	"sc_european_america"
"Ancillary_Mystic_Mysterious"	"sc_european_east"
"Ancillary_Mystic_Mysterious"	"sc_european_north"
"Ancillary_Mystic_Mysterious"	"sc_european_south"
"Ancillary_Mystic_Mysterious"	"sc_european_west"
"Ancillary_Mystic_Useful"	"sc_indian_hindu"
"Ancillary_Mystic_Useful"	"sc_indian_islamic"
"Ancillary_Mystic_Useful"	"sc_indian_sikh"
"Ancillary_Mystic_Useful"	"sc_mideast_islamic"
"Ancillary_Navy_Cleric"	"sc_european_america"
"Ancillary_Navy_Cleric"	"sc_european_east"
"Ancillary_Navy_Cleric"	"sc_european_north"
"Ancillary_Navy_Cleric"	"sc_european_south"
"Ancillary_Navy_Cleric"	"sc_european_west"
"Ancillary_Navy_Flag_Lieutenant"	"sc_european_america"
"Ancillary_Navy_Flag_Lieutenant"	"sc_european_east"
"Ancillary_Navy_Flag_Lieutenant"	"sc_european_north"
"Ancillary_Navy_Flag_Lieutenant"	"sc_european_south"
"Ancillary_Navy_Flag_Lieutenant"	"sc_european_west"
"Ancillary_Navy_Merc_Sea_Captain"	"sc_indian_hindu"
"Ancillary_Navy_Merc_Sea_Captain"	"sc_indian_islamic"
"Ancillary_Navy_Merc_Sea_Captain"	"sc_indian_sikh"
"Ancillary_Navy_Merc_Sea_Captain"	"sc_mideast_islamic"
"Ancillary_Navy_Naval_Architect"	"sc_european_america"
"Ancillary_Navy_Naval_Architect"	"sc_european_east"
"Ancillary_Navy_Naval_Architect"	"sc_european_north"
"Ancillary_Navy_Naval_Architect"	"sc_european_south"
"Ancillary_Navy_Naval_Architect"	"sc_european_west"
"Ancillary_Navy_Naval_Surveryor"	"sc_european_america"
"Ancillary_Navy_Naval_Surveryor"	"sc_european_east"
"Ancillary_Navy_Naval_Surveryor"	"sc_european_north"
"Ancillary_Navy_Naval_Surveryor"	"sc_european_south"
"Ancillary_Navy_Naval_Surveryor"	"sc_european_west"
"Ancillary_Navy_Prize_Agent_Good"	"sc_european_america"
"Ancillary_Navy_Prize_Agent_Good"	"sc_european_east"
"Ancillary_Navy_Prize_Agent_Good"	"sc_european_north"
"Ancillary_Navy_Prize_Agent_Good"	"sc_european_south"
"Ancillary_Navy_Prize_Agent_Good"	"sc_european_west"
"Ancillary_Navy_Purser"	"sc_european_america"
"Ancillary_Navy_Purser"	"sc_european_east"
"Ancillary_Navy_Purser"	"sc_european_north"
"Ancillary_Navy_Purser"	"sc_european_south"
"Ancillary_Navy_Purser"	"sc_european_west"
"Ancillary_Navy_Purser"	"sc_indian_hindu"
"Ancillary_Navy_Purser"	"sc_indian_islamic"
"Ancillary_Navy_Purser"	"sc_indian_sikh"
"Ancillary_Navy_Purser"	"sc_mideast_islamic"
"Ancillary_Navy_Sailing_Master"	"sc_european_america"
"Ancillary_Navy_Sailing_Master"	"sc_european_east"
"Ancillary_Navy_Sailing_Master"	"sc_european_north"
"Ancillary_Navy_Sailing_Master"	"sc_european_south"
"Ancillary_Navy_Sailing_Master"	"sc_european_west"
"Ancillary_Navy_Sailing_Master"	"sc_indian_hindu"
"Ancillary_Navy_Sailing_Master"	"sc_indian_islamic"
"Ancillary_Navy_Sailing_Master"	"sc_indian_sikh"
"Ancillary_Navy_Sailing_Master"	"sc_mideast_islamic"
"Ancillary_Navy_Surgeon"	"sc_european_america"
"Ancillary_Navy_Surgeon"	"sc_european_east"
"Ancillary_Navy_Surgeon"	"sc_european_north"
"Ancillary_Navy_Surgeon"	"sc_european_south"
"Ancillary_Navy_Surgeon"	"sc_european_west"
"Ancillary_Navy_Surgeon"	"sc_indian_hindu"
"Ancillary_Navy_Surgeon"	"sc_indian_islamic"
"Ancillary_Navy_Surgeon"	"sc_indian_sikh"
"Ancillary_Navy_Surgeon"	"sc_mideast_islamic"
"Ancillary_Navy_Watch"	"sc_european_america"
"Ancillary_Navy_Watch"	"sc_european_east"
"Ancillary_Navy_Watch"	"sc_european_north"
"Ancillary_Navy_Watch"	"sc_european_south"
"Ancillary_Navy_Watch"	"sc_european_west"
"Ancillary_Numismatist"	"sc_european_america"
"Ancillary_Numismatist"	"sc_european_east"
"Ancillary_Numismatist"	"sc_european_north"
"Ancillary_Numismatist"	"sc_european_south"
"Ancillary_Numismatist"	"sc_european_west"
"Ancillary_Numismatist"	"sc_indian_hindu"
"Ancillary_Numismatist"	"sc_indian_islamic"
"Ancillary_Numismatist"	"sc_indian_sikh"
"Ancillary_Numismatist"	"sc_mideast_islamic"
"Ancillary_Outstanding_Choirmaster"	"sc_european_america"
"Ancillary_Outstanding_Choirmaster"	"sc_european_east"
"Ancillary_Outstanding_Choirmaster"	"sc_european_north"
