version 2, schema regions_tables, guid acd5ae7e-1ff1-4f17-ac83-1d872256d4f5
Region_ID(string)	Continent_IDRef(string)	R(int)	G(int)	B(int)	unknown6(string)
"bos_iyo"	"cont_japan"	153	102	51	"Iyo"
"bos_izu"	"cont_japan"	204	102	204	"Izu"
"bos_izumo"	"cont_japan"	0	102	0	"Izumo"
"bos_kaga"	"cont_japan"	255	204	255	"Kaga"
"bos_kai"	"cont_japan"	153	0	153	"Kai"
"bos_kawachi"	"cont_japan"	51	102	153	"Kawachi"
"bos_kazusa"	"cont_japan"	204	51	153	"Kazusa"
"bos_kii"	"cont_japan"	0	0	51	"Kii"
"bos_kozuke"	"cont_japan"	255	51	255	"Kozuke"
"bos_mikawa"	"cont_japan"	102	102	153	"Mikawa"
"bos_mimasaka"	"cont_japan"	153	204	204	"Mimasaka"
"bos_mino"	"cont_japan"	102	102	255	"Mino"
"bos_miyagi"	"cont_japan"	255	102	153	"Miyagi"
"bos_musashi"	"cont_japan"	255	102	255	"Musashi"
"bos_nagasaki"	"cont_japan"	5	154	145	"Nagasaki"
"bos_nagato"	"cont_japan"	204	255	204	"Nagato"
"bos_north_shinano"	"cont_japan"	102	0	102	"North Shinano"
"bos_noto"	"cont_japan"	153	102	153	"Noto"
"bos_omi"	"cont_japan"	0	0	204	"Omi"
"bos_oshima"	"cont_japan"	122	114	40	"Oshima"
"bos_osumi"	"cont_japan"	153	153	0	"Osumi"
"bos_owari"	"cont_japan"	102	102	204	"Owari"
"bos_sado"	"cont_japan"	204	0	51	"Sado"
"bos_sagami"	"cont_japan"	255	153	255	"Sagami"
"bos_sanuki"	"cont_japan"	255	204	153	"Sanuki"
"bos_sapporo"	"cont_japan"	255	234	0	"Sapporo"
"bos_satsuma"	"cont_japan"	255	255	153	"Satsuma"
"bos_settsu"	"cont_japan"	0	102	102	"Settsu"
"bos_shimosa"	"cont_japan"	153	0	102	"Shimosa"
"bos_shimotsuke"	"cont_japan"	153	51	102	"Shimotsuke"
"bos_shiribeshi"	"cont_japan"	196	185	55	"Shiribeshi"
"bos_south_shinano"	"cont_japan"	51	0	51	"South Shinano"
"bos_suo"	"cont_japan"	153	204	153	"Suo"
"bos_suruga"	"cont_japan"	153	51	153	"Suruga"
"bos_tajima"	"cont_japan"	51	102	102	"Tajima"
"bos_tamba"	"cont_japan"	0	153	153	"Tamba"
"bos_tanegashima"	"cont_japan"	0	158	115	"Tanegashima"
"bos_tango"	"cont_japan"	0	204	204	"Tango"
"bos_tosa"	"cont_japan"	102	51	0	"Tosa"
"bos_totomi"	"cont_japan"	51	51	102	"Totomi"
"bos_tsukushi"	"cont_japan"	204	204	153	"Tsukushi"
"bos_tsushima"	"cont_japan"	120	0	255	"Tsushima"
"bos_ugo"	"cont_japan"	204	51	102	"Ugo"
"bos_united_states_base"	"cont_japan"	102	102	102	"United States Base"
"bos_uzen"	"cont_japan"	255	102	204	"Uzen"
"bos_wakasa"	"cont_japan"	153	204	255	"Wakasa"
"bos_yamashiro"	"cont_japan"	102	153	204	"Yamashiro"
"bos_yamato"	"cont_japan"	0	51	102	"Yamato"
"gem_aki"	"cont_japan"	51	102	51	"Aki"
"gem_awa"	"cont_japan"	204	153	102	"Awa"
"gem_awaji"	"cont_japan"	51	255	255	"Awaji"
"gem_bingo"	"cont_japan"	0	51	0	"Bingo"
"gem_bitchu"	"cont_japan"	0	204	0	"Bitchu"
"gem_bizen"	"cont_japan"	51	255	51	"Bizen"
"gem_bungo"	"cont_japan"	102	102	51	"Bungo"
"gem_buzen"	"cont_japan"	153	153	102	"Buzen"
"gem_chikugo"	"cont_japan"	255	153	204	"Chikugo"
"gem_chikuzen"	"cont_japan"	51	51	255	"Chikuzen"
"gem_echigo"	"cont_japan"	255	153	204	"Echigo"
"gem_echizen"	"cont_japan"	51	51	255	"Echizen"
"gem_etchu"	"cont_japan"	102	51	102	"Etchu"
"gem_fukushima"	"cont_japan"	204	102	153	"Fukushima"
"gem_harima"	"cont_japan"	0	51	51	"Harima"
"gem_hida"	"cont_japan"	204	153	204	"Hida"
"gem_higo"	"cont_japan"	153	153	51	"Higo"
"gem_hitachi"	"cont_japan"	102	0	51	"Hitachi"
"gem_hizen"	"cont_japan"	255	255	204	"Hizen"
"gem_hoki"	"cont_japan"	0	153	0	"Hoki"
"gem_hyuga"	"cont_japan"	204	204	51	"Hyuga"
"gem_iga"	"cont_japan"	0	0	153	"Iga"
"gem_inaba"	"cont_japan"	102	153	153	"Inaba"
"gem_ise"	"cont_japan"	0	0	102	"Ise"
"gem_iwami"	"cont_japan"	102	153	102	"Iwami"
"gem_iwate"	"cont_japan"	153	0	51	"Iwate"
"gem_iyo"	"cont_japan"	153	102	51	"Iyo"
"gem_izu"	"cont_japan"	204	102	204	"Izu"
"gem_izumo"	"cont_japan"	0	102	0	"Izumo"
"gem_kaga"	"cont_japan"	255	204	255	"Kaga"
"gem_kai"	"cont_japan"	153	0	153	"Kai"
"gem_kawachi"	"cont_japan"	51	102	153	"Kawachi"
"gem_kazusa"	"cont_japan"	204	51	153	"Kazusa"
"gem_kii"	"cont_japan"	0	0	51	"Kii"
"gem_kozuke"	"cont_japan"	255	51	255	"Kozuke"
"gem_mikawa"	"cont_japan"	102	102	153	"Mikawa"
"gem_mimasaka"	"cont_japan"	153	204	204	"Mimasaka"
"gem_mino"	"cont_japan"	102	102	255	"Mino"
"gem_miyagi"	"cont_japan"	255	102	153	"Miyagi"
"gem_musashi"	"cont_japan"	255	102	255	"Musashi"
"gem_nagato"	"cont_japan"	204	255	204	"Nagato"
"gem_nanban_base"	"cont_japan"	100	100	100	"Nanban Base"
"gem_north_shinano"	"cont_japan"	102	0	102	"North Shinano"
"gem_noto"	"cont_japan"	153	102	153	"Noto"
"gem_omi"	"cont_japan"	0	0	204	"Omi"
"gem_osumi"	"cont_japan"	153	153	0	"Osumi"
"gem_owari"	"cont_japan"	102	102	204	"Owari"
"gem_sado"	"cont_japan"	204	0	51	"Sado"
"gem_sagami"	"cont_japan"	255	153	255	"Sagami"
"gem_sanuki"	"cont_japan"	255	204	153	"Sanuki"
"gem_satsuma"	"cont_japan"	255	255	153	"Satsuma"
"gem_settsu"	"cont_japan"	0	102	102	"Settsu"
"gem_shima"	"cont_japan"	153	204	153	"Shima"
"gem_shimosa"	"cont_japan"	153	0	102	"Shimosa"
"gem_shimotsuke"	"cont_japan"	153	51	102	"Shimotsuke"
"gem_south_shinano"	"cont_japan"	51	0	51	"South Shinano"
"gem_suo"	"cont_japan"	153	204	153	"Suo"
"gem_suruga"	"cont_japan"	153	51	153	"Suruga"
"gem_tajima"	"cont_japan"	51	102	102	"Tajima"
"gem_tamba"	"cont_japan"	0	153	153	"Tamba"
"gem_tango"	"cont_japan"	0	204	204	"Tango"
"gem_tosa"	"cont_japan"	102	51	0	"Tosa"
"gem_totomi"	"cont_japan"	51	51	102	"Totomi"
"gem_tsukushi"	"cont_japan"	204	204	153	"Tsukushi"
"gem_ugo"	"cont_japan"	204	51	102	"Ugo"
"gem_uzen"	"cont_japan"	255	102	204	"Uzen"
"gem_waco_base"	"cont_japan"	100	100	100	"Wako Base"
"gem_wakasa"	"cont_japan"	153	204	255	"Wakasa"
"gem_yamashiro"	"cont_japan"	102	153	204	"Yamashiro"
"gem_yamato"	"cont_japan"	0	51	102	"Yamato"
"jap_aki"	"cont_japan"	51	102	51	"Aki"
"jap_awa"	"cont_japan"	204	153	102	"Awa"
"jap_awaji"	"cont_japan"	51	255	255	"Awaji"
"jap_bingo"	"cont_japan"	0	51	0	"Bingo"
"jap_bitchu"	"cont_japan"	0	204	0	"Bitchu"
"jap_bizen"	"cont_japan"	51	255	51	"Bizen"
"jap_bungo"	"cont_japan"	102	102	51	"Bungo"
"jap_buzen"	"cont_japan"	153	153	102	"Buzen"
"jap_chikugo"	"cont_japan"	255	153	204	"Chikugo"
"jap_chikuzen"	"cont_japan"	51	51	255	"Chikuzen"
"jap_echigo"	"cont_japan"	255	153	204	"Echigo"
"jap_echizen"	"cont_japan"	51	51	255	"Echizen"
"jap_etchu"	"cont_japan"	102	51	102	"Etchu"
"jap_fukushima"	"cont_japan"	204	102	153	"Fukushima"
"jap_harima"	"cont_japan"	0	51	51	"Harima"
"jap_hida"	"cont_japan"	204	153	204	"Hida"
"jap_higo"	"cont_japan"	153	153	51	"Higo"
"jap_hitachi"	"cont_japan"	102	0	51	"Hitachi"
"jap_hizen"	"cont_japan"	255	255	204	"Hizen"
"jap_hoki"	"cont_japan"	0	153	0	"Hoki"
"jap_hyuga"	"cont_japan"	204	204	51	"Hyuga"
"jap_iga"	"cont_japan"	0	0	153	"Iga"
"jap_inaba"	"cont_japan"	102	153	153	"Inaba"
"jap_ise"	"cont_japan"	0	0	102	"Ise"
"jap_iwami"	"cont_japan"	102	153	102	"Iwami"
"jap_iwate"	"cont_japan"	153	0	51	"Iwate"
"jap_iyo"	"cont_japan"	153	102	51	"Iyo"
"jap_izu"	"cont_japan"	204	102	204	"Izu"
"jap_izumo"	"cont_japan"	0	102	0	"Izumo"
"jap_kaga"	"cont_japan"	255	204	255	"Kaga"
"jap_kai"	"cont_japan"	153	0	153	"Kai"
"jap_kawachi"	"cont_japan"	51	102	153	"Kawachi"
"jap_kazusa"	"cont_japan"	204	51	153	"Kazusa"
"jap_kii"	"cont_japan"	0	0	51	"Kii"
"jap_kozuke"	"cont_japan"	255	51	255	"Kozuke"
"jap_mikawa"	"cont_japan"	102	102	153	"Mikawa"
"jap_mimasaka"	"cont_japan"	153	204	204	"Mimasaka"
"jap_mino"	"cont_japan"	102	102	255	"Mino"
"jap_miyagi"	"cont_japan"	255	102	153	"Miyagi"
"jap_musashi"	"cont_japan"	255	102	255	"Musashi"
"jap_nagato"	"cont_japan"	204	255	204	"Nagato"
"jap_nanban_base"	"cont_japan"	100	100	100	"Nanban Base"
"jap_north_shinano"	"cont_japan"	102	0	102	"North Shinano"
"jap_noto"	"cont_japan"	153	102	153	"Noto"
"jap_omi"	"cont_japan"	0	0	204	"Omi"
"jap_osumi"	"cont_japan"	153	153	0	"Osumi"
"jap_owari"	"cont_japan"	102	102	204	"Owari"
"jap_sado"	"cont_japan"	204	0	51	"Sado"
"jap_sagami"	"cont_japan"	255	153	255	"Sagami"
"jap_sanuki"	"cont_japan"	255	204	153	"Sanuki"
"jap_satsuma"	"cont_japan"	255	255	153	"Satsuma"
"jap_settsu"	"cont_japan"	0	102	102	"Settsu"
"jap_shima"	"cont_japan"	153	204	153	"Shima"
"jap_shimosa"	"cont_japan"	153	0	102	"Shimosa"
"jap_shimotsuke"	"cont_japan"	153	51	102	"Shimotsuke"
"jap_south_shinano"	"cont_japan"	51	0	51	"South Shinano"
"jap_suo"	"cont_japan"	153	204	153	"Suo"
"jap_suruga"	"cont_japan"	153	51	153	"Suruga"
"jap_tajima"	"cont_japan"	51	102	102	"Tajima"
"jap_tamba"	"cont_japan"	0	153	153	"Tamba"
"jap_tango"	"cont_japan"	0	204	204	"Tango"
"jap_tosa"	"cont_japan"	102	51	0	"Tosa"
"jap_totomi"	"cont_japan"	51	51	102	"Totomi"
"jap_tsukushi"	"cont_japan"	204	204	153	"Tsukushi"
"jap_tut_awa"	"cont_japan"	204	153	102	"Awa"
"jap_tut_awaji"	"cont_japan"	51	255	255	"Awaji"
"jap_tut_bingo"	"cont_japan"	0	51	0	"Bingo"
"jap_tut_bitchu"	"cont_japan"	0	204	0	"Bitchu"
"jap_tut_bizen"	"cont_japan"	51	255	51	"Bizen"
"jap_tut_harima"	"cont_japan"	0	51	51	"Harima"
"jap_tut_iyo"	"cont_japan"	153	102	51	"Iyo"
"jap_tut_kawachi"	"cont_japan"	51	102	153	"Kawachi"
"jap_tut_kii"	"cont_japan"	0	0	51	"Kii"
"jap_tut_sanuki"	"cont_japan"	255	204	153	"Sanuki"
"jap_tut_settsu"	"cont_japan"	0	102	102	"Settsu"
"jap_tut_tamba"	"cont_japan"	0	153	153	"Tamba"
"jap_tut_tosa"	"cont_japan"	102	51	0	"Tosa"
"jap_tut_yamato"	"cont_japan"	0	51	102	"Yamato"
"jap_ugo"	"cont_japan"	204	51	102	"Ugo"
"jap_uzen"	"cont_japan"	255	102	204	"Uzen"
"jap_waco_base"	"cont_japan"	100	100	100	"Wako Base"
"jap_wakasa"	"cont_japan"	153	204	255	"Wakasa"
"jap_yamashiro"	"cont_japan"	102	153	204	"Yamashiro"
"jap_yamato"	"cont_japan"	0	51	102	"Yamato"
