version 2, schema warscape_equipment_themes_tables, guid 823cba0c-6bc9-44fa-b8b0-a2b937099b21
Warscape_Equipment_Theme_ID(string)	Primary_Weapon(optstring)	Secondary_Weapon(optstring)	Shield(optstring)	Equipment(optstring)	Instrument(optstring)	unknown7(optstring)
"boshin_spencer_bp_1"	"boshin_spencer"	"shogun_katana"	nil	"boshin_japan_bp_1"	nil	nil
"boshin_spencer_bp_2"	"boshin_spencer"	"shogun_katana"	nil	"boshin_japan_bp_2"	nil	nil
"cinematic_farmer"	nil	nil	nil	nil	nil	nil
"cinematic_farmer_basket"	nil	nil	nil	"cinematic_basket"	nil	nil
"cinematic_farmer_officer"	nil	nil	nil	nil	nil	nil
"cinematic_farmer_officer_basket"	nil	nil	nil	"cinematic_basket"	nil	nil
"cinematic_general_lantern"	"cinematic_lantern"	"shogun_katana"	nil	nil	nil	nil
"cinematic_seppuku"	"seppuku_dagger"	nil	nil	nil	nil	nil
"sh_bow_cavalry"	"sh_bow"	"shogun_katana"	nil	nil	"sh_bow_extended"	"sh_sashimono1"
"sh_bow_cavalry_officer"	"sh_bow"	"shogun_katana"	nil	nil	"sh_bow_extended"	nil
"sh_katana_cavalry"	"shogun_katana"	nil	nil	"shogun_cavalry_equipment"	nil	"sh_sashimono1"
"sh_matchlock_hero"	"shogun_oversized_teppo"	"shogun_katana"	nil	nil	nil	"sh_sashimono2"
"sh_matchlock_hero_officer"	"shogun_oversized_teppo"	"shogun_katana"	nil	nil	nil	nil
"sh_naginata_hero"	"sh_nagamaki"	"shogun_katana"	nil	nil	nil	"sh_sashimono3"
"sh_naginata_hero_officer"	"sh_nagamaki"	"shogun_katana"	nil	nil	nil	nil
"sh_naginata_heroine"	"sh_nagamaki"	"shogun_katana"	nil	nil	nil	"sh_sashimono3"
"sh_ninja_hero"	"shogun_katana"	nil	nil	nil	nil	"sh_sashimono4"
"sh_nodachi_hero"	"shogun_nodachi"	nil	nil	nil	nil	"sh_sashimono3"
"sh_tetsubo_hero"	"sh_tetsubo"	nil	nil	nil	nil	"sh_sashimono3"
"sh_tetsubo_officer"	"sh_tetsubo"	nil	nil	nil	nil	nil
"sh_yari_cavalry"	"sh_spear"	"shogun_katana"	nil	nil	nil	"sh_sashimono1"
"sh_yari_cavalry_officer"	"sh_spear"	"shogun_katana"	nil	nil	nil	nil
"shogun_carbine"	"shogun_carbine"	"shogun_katana"	nil	nil	nil	nil
"shogun_cavalry_carbine"	"shogun_carbine"	"shogun_katana"	nil	nil	nil	"sashimono_cavalry"
"shogun_cavalry_katana"	"shogun_katana"	nil	nil	"shogun_cavalry_equipment"	nil	"sashimono_cavalry"
"shogun_cavalry_naginata"	"shogun_naginata"	nil	nil	"shogun_cavalry_equipment"	nil	"sashimono_cavalry"
"shogun_cavalry_yari"	"shogun_yari"	"shogun_katana"	nil	"shogun_infantry_equipment"	nil	"sashimono_cavalry"
"shogun_cavalry_yumi"	"shogun_yumi"	"shogun_katana"	nil	"shogun_cavalry_equipment"	"shogun_yumi_extended"	"sashimono_cavalry"
"shogun_cutting_sword"	"shogun_cutting_sword"	nil	nil	nil	nil	nil
"shogun_donderbuss"	"donderbuss"	"shogun_katana"	nil	nil	nil	"sashimono_cavalry"
"shogun_extralong_yari"	"shogun_extralong_yari"	"shogun_katana"	nil	nil	nil	nil
"shogun_geisha"	"shogun_geisha_dagger"	"shogun_geisha_fan"	nil	nil	nil	nil
"shogun_handmortar"	"shogun_handmortar"	"shogun_katana"	nil	nil	nil	nil
"shogun_infantry_extralong_yari"	"shogun_extralong_yari"	"shogun_katana"	nil	nil	nil	"sashimono_infantry"
"shogun_infantry_handmortar"	"shogun_handmortar"	"shogun_katana"	nil	nil	nil	"sashimono_infantry"
"shogun_infantry_katana"	"shogun_katana"	nil	nil	"shogun_infantry_equipment"	nil	"sashimono_infantry"
"shogun_infantry_long_yumi"	"shogun_yumi_2"	"shogun_katana"	nil	"shogun_infantry_equipment"	"shogun_yumi_extended_2"	"sashimono_infantry"
"shogun_infantry_naginata"	"shogun_naginata"	"shogun_katana"	nil	"shogun_infantry_equipment"	nil	"sashimono_infantry"
"shogun_infantry_nodachi"	"shogun_nodachi"	nil	nil	nil	nil	"sashimono_infantry"
"shogun_infantry_teppo"	"shogun_teppo"	"shogun_katana"	nil	"shogun_infantry_equipment"	nil	"sashimono_infantry"
"shogun_infantry_yari"	"shogun_yari"	"shogun_katana"	nil	"shogun_infantry_equipment"	nil	"sashimono_infantry"
"shogun_infantry_yumi"	"shogun_yumi"	"shogun_katana"	nil	"shogun_infantry_equipment"	"shogun_yumi_extended"	"sashimono_infantry"
"shogun_katana"	"shogun_katana"	nil	nil	"shogun_katana_scabbard"	nil	nil
"shogun_long_yari"	"shogun_long_yari"	"shogun_katana"	nil	"shogun_infantry_equipment"	nil	"sashimono_infantry"
"shogun_long_yumi"	"shogun_yumi_2"	"shogun_katana"	nil	"shogun_katana_scabbard"	"shogun_yumi_extended_2"	nil
"shogun_monk"	"shogun_monk_staff"	nil	nil	nil	nil	nil
"shogun_naginata"	"shogun_naginata"	"shogun_katana"	nil	nil	nil	nil
"shogun_ninja"	"shogun_ninja_wakizashi"	"shogun_ninja_flashbang"	nil	"shogun_ninja_scabbard"	nil	nil
"shogun_nodachi"	"shogun_nodachi"	nil	nil	nil	nil	nil
"shogun_priest"	"shogun_priest_staff"	nil	nil	nil	nil	nil
"shogun_rocket_teppo"	"shogun_oversized_teppo"	"shogun_katana"	nil	"shogun_infantry_equipment"	nil	"sashimono_infantry"
"shogun_standard"	"shogun_katana"	nil	nil	nil	nil	"nobori"
"shogun_taisho"	"shogun_katana"	"general_wakizashi"	nil	nil	nil	nil
"shogun_teppo"	"shogun_teppo"	"shogun_katana"	nil	"shogun_katana_scabbard"	nil	nil
"shogun_tercos"	"shogun_teppo"	"boshin_sabre"	nil	nil	nil	nil
"shogun_tetsubo"	"shogun_kanabo"	nil	nil	nil	nil	nil
"shogun_unarmed"	nil	nil	nil	nil	nil	nil
"shogun_warfan"	"warfan"	nil	nil	nil	nil	nil
"shogun_warfan_stool"	"warfan"	nil	nil	"stool"	nil	nil
"shogun_yari"	"shogun_yari"	"shogun_katana"	nil	"shogun_katana_scabbard"	nil	nil
"shogun_yumi"	"shogun_yumi"	"shogun_katana"	nil	"shogun_katana_scabbard"	"shogun_yumi_extended"	nil
"shogun_yumi_naginata"	"shogun_yumi"	"shogun_naginata"	nil	nil	"shogun_yumi_extended"	nil
"test_bow"	"bow_east"	"euro_cavalry_sabre"	nil	nil	nil	nil
"test_gun"	"euro_carbine"	nil	nil	nil	nil	nil
"test_spear"	"nap_lance"	nil	nil	nil	nil	nil
"test_sword"	"euro_cavalry_sabre"	nil	nil	nil	nil	nil
