version 1, schema trait_info_tables
Trait_IDRef(string)	Game_Entity(string)
"C_Minister_Trader"	"agent"
"C_Minister_Unjust"	"agent"
"C_Minister_Upright"	"agent"
"C_Missionary_Gone_Native"	"agent"
"C_Missionary_Hate_America"	"agent"
"C_Missionary_Hate_Europe"	"agent"
"C_Missionary_Hate_India"	"agent"
"C_Missionary_Like_America"	"agent"
"C_Missionary_Like_Europe"	"agent"
"C_Missionary_Like_India"	"agent"
"C_Missionary_Touched_By_God"	"agent"
"C_Personal_Hale"	"agent"
"C_Personal_High_Personal_Security"	"agent"
"C_Personal_Piety"	"agent"
"C_Personal_Sickly"	"agent"
"C_Rake_Assassin_Good"	"agent"
"C_Rake_Born_Bounder"	"agent"
"C_Rake_Counter_Spy"	"agent"
"C_Rake_Gate_Opener"	"agent"
"C_Rake_Im_A_Laydee"	"agent"
"C_Rake_Naughty_Club"	"agent"
"C_Rake_Sabot_Good"	"agent"
"C_Rake_Spy_Good"	"agent"
"C_Sausage_Vice"	"agent"
"C_Siege_Engineering"	"agent"
"R_Infected_Cholera"	"region"
"R_Infected_Dengue_Fever"	"region"
"R_Infected_Influenza"	"region"
"R_Infected_Leprosy"	"agent"
"R_Infected_Malaria"	"region"
"R_Infected_Measles"	"region"
"R_Infected_Plague"	"region"
"R_Infected_Smallpox"	"region"
"R_Infected_TB"	"region"
"R_Infected_Typhus"	"region"
"R_Infected_Yellow_Fever"	"region"
"U_Acclimatised_Americas"	"unit"
"U_Acclimatised_Europe"	"unit"
"U_Acclimatised_India"	"unit"
"U_Acclimatised_Middle_East"	"unit"
"U_American_Expert_Troops"	"unit"
"U_Bright_Sabres"	"unit"
"U_Cold_Steel"	"unit"
"U_European_Expert_Troops"	"unit"
"U_Indian_Expert_Troops"	"unit"
"U_Infected_Cholera"	"unit"
"U_Infected_Dengue_Fever"	"unit"
"U_Infected_Dysentry"	"unit"
"U_Infected_Influenza"	"unit"
"U_Infected_Malaria"	"unit"
"U_Infected_Measles"	"unit"
"U_Infected_Plague"	"unit"
"U_Infected_Scurvy"	"unit"
"U_Infected_Smallpox"	"unit"
"U_Infected_TB"	"unit"
"U_Infected_Typhus"	"unit"
"U_Infected_Yellow_Fever"	"unit"
"U_Magic_Talismans"	"unit"
"U_Prime_Mover"	"unit"
"U_Repressive_Policing"	"unit"
"U_Sharpshooters"	"unit"
"U_Ship_Boarding_Attack"	"unit"
"U_Ship_Boarding_Defence"	"unit"
"C_Tribal_General_Attacker_Bad"	"agent"
"C_Tribal_General_Attacker_Good"	"agent"
"C_Tribal_General_Bad_Field_Commander"	"agent"
"C_Tribal_General_Bloody"	"agent"
"C_Tribal_General_Born_Soldier"	"agent"
"C_Tribal_General_Brave"	"agent"
"C_Tribal_General_Cherokee"	"agent"
"C_Tribal_General_Coward"	"agent"
"C_Tribal_General_Defender_Bad"	"agent"
"C_Tribal_General_Defender_Good"	"agent"
"C_Tribal_General_Good_Field_Commander"	"agent"
"C_Tribal_General_Hates_Europeans"	"agent"
"C_Tribal_General_Hates_Europeans_Reset"	"agent"
"C_Tribal_General_Huron"	"agent"
"C_Tribal_General_Iroquois"	"agent"
"C_Tribal_General_Lampooned"	"agent"
"C_Tribal_General_Mad"	"agent"
"C_Tribal_General_of_Cavalry"	"agent"
"C_Tribal_General_Plains"	"agent"
"C_Tribal_General_Plains_Coup"	"agent"
"C_Tribal_General_Press_Hero"	"agent"
"C_Tribal_General_Pueblo"	"agent"
"C_Tribal_General_Siege_Attack_Bad"	"agent"
"C_Tribal_General_Siege_Attack_Good"	"agent"
"C_Tribal_General_Siege_Defend_Bad"	"agent"
"C_Tribal_General_Siege_Defend_Good"	"agent"
"C_Tribal_Leader_Catholic"	"agent"
"C_Tribal_Leader_Clever_Stick"	"agent"
