version 2, schema unit_stats_land_tables
Unit(string)	Size(int)	_x0023__x0020_Horses(int)	_x0023__x0020_Artillery(int)	Officer(string)	Drummer(optstring)	Standard_x0020_Bearer(optstring)	Soldier_x0020_Model(string)	Man_entity_x0020_-_x0020_links_x0020_to_x0020_battle_entities_x0020_table(string)	Man_x0020_Animations_x0020_Table(string)	Warscape_Equipment_Theme_IDRef(string)	Armor_Value(int)	Armor_Audio(string)	Unused1(int)	Mount_x0020_Model(optstring)	Cavalry_x0020_Battle_x0020_Entity(optstring)	Mount_x0020_Animations_x0020_Table(optstring)	Unused2(string)	Unused3(string)	Carriage_x0020_Battle_x0020_Entity(optstring)	Ammo_x0020_Train_x0020_Battle_x0020_Entity(optstring)	Ammo_x0020_Caisson_x0020_Model(optstring)	Artillery_1(optstring)	Has_Artillery_2(boolean)	Gun(optstring)	Primary_x0020_Missile_x0020_Weapon(optstring)	Accuracy(int)	Reloading_x0020_Skill(int)	Unused4(string)	Firing_x0020_Mechanism(string)	Projectile(optstring)	Ammo(int)	Unused5(optstring)	Melee_x0020_Weapon_x0020_Type(string)	Melee_x0020_Attack_x0020_Skill(int)	Charge_x0020_Bonus(int)	Defense_x0020_Skill(int)	Shield_x0020_Bonus(int)	Unused6(string)	Unknown_x0020__x0023_Most_x0020_Likely_x0020_Unused_x0023_(string)	Unused7(string)	Training(string)	Morale(int)	Deployed_x0020_Ranks(int)	File_x0020_Spacing(float)	Rank_x0020_Spacing(float)	Unused8(float)	Unused9(float)	File_x0020_Spacing_x0020_Dismounted(float)	Rank_x0020_Spacing_x0020_Dismounted(float)	Unused10(float)	Anti_Cavalry_Bonus(int)	Can_x0020_Throw_x0020_Grenades(boolean)	Can_x0020_Skirmish(boolean)	Can_x0020_Guard(boolean)	Can_x0020_Dismount(boolean)	Can_x0020_Place_x0020_Stakes(boolean)	Is_x0020_Slow_x0020_Moving(boolean)	Can_x0020_Rally_x0020_Comrades_x0020__x0023_Has_x0020_No_x0020_In-Game_x0020_Effect_x0023_(boolean)	Can_x0020_Hide_x0020_In_x0020_Woodland(boolean)	Can_Hide_in_Light_Scrub(boolean)	Can_Hide_in_Long_Grass(boolean)	Can_Hide_in_Buildings(boolean)	Can_Hide_When_Walking(boolean)	Can_Hide_While_Firing(boolean)	Can_Fire_from_Horseback(boolean)	Tree_x0020_Spotting_x0020_Distance(float)	Scrub_x0020_Spotting_x0020_Distance(float)	Long_x0020_Grass_x0020_Spotting_x0020_Distance(float)	Paths_x0020_Seldom_x0020_Trod(boolean)	Garrison_x0020_Police_x0020_Bonus(boolean)	Discipined(boolean)	Impetuous(boolean)	Scares_x0020_Horses(boolean)	Scares_x0020_Enemies(boolean)	Inspires_x0020_Allies(boolean)	Good_x0020_Stamina(boolean)	Can_x0020_Use_x0020_Rope_x0020_Ladders(boolean)	Heat_x0020_Resistant(boolean)	Cold_x0020_Resistant(boolean)	Can_x0020_Do_x0020_Formed_x0020_Attack(boolean)	Can_x0020_Use_x0020_Pike_x0020_Wall(boolean)	Can_x0020_Use_x0020_Pike_x0020_Square(boolean)	Can_x0020_Shoot_x0020_While_x0020_Moving(boolean)
"east_ethnic_musketmen_tufekci_garrison"	160	0	0	"eastern_officer_common"	nil	"ottoman_standard_bearer"	"east_ethnic_musketmen"	"infantry_euro_medium"	"man_musket"	"x_east_musket"	4	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"musket"	30	20	"0"	"matchlock"	"musket_matchlock"	15	"foot_musket"	"plug_bayonet"	4	6	7	0	"foot_bayonet"	"0"	"drill_set_infantry_line"	"poorly_trained"	5	3	0.8	1	2.2	4	0	0	20	0	false	false	true	false	false	false	false	true	false	false	false	false	false	false	50	75	100	false	false	false	false	false	false	false	false	true	true	false	true	false	false	false
"east_lancers_berber"	60	60	0	"eastern_officer"	"eastern_bugler"	nil	"east_lancers"	"infantry_euro_medium"	"rider_lance"	"x_east_cavalry_lance"	2	"leather"	1	"horse_mixed_browns"	"horse_light"	"mount_horse"	"4"	"1"	nil	nil	nil	nil	false	nil	nil	0	0	"0"	"none"	nil	0	nil	"lance"	8	25	2	0	"mounted_lance"	"0"	"drill_set_cavalry"	"trained"	6	4	1.3	2.9	4	9	0	0	10	0	false	false	false	false	false	false	false	true	false	false	false	false	false	false	50	75	100	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false
"east_lancers_deli"	60	60	0	"eastern_officer"	"eastern_bugler"	nil	"Ottoman_Deli_Scout"	"infantry_euro_medium"	"rider_lance"	"x_east_cavalry_lance"	3	"leather"	1	"horse_mixed_browns"	"horse_light"	"mount_horse"	"4"	"1"	nil	nil	nil	nil	false	nil	nil	0	0	"0"	"none"	nil	0	nil	"lance"	9	29	6	0	"mounted_lance"	"0"	"drill_set_cavalry"	"well_trained"	8	4	1.3	2.9	4	9	0	0	10	0	false	false	false	false	false	false	false	true	false	false	false	false	false	false	50	75	100	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false
"east_lancers_oglans"	60	60	0	"eastern_cavalry_officer_lance"	"eastern_bugler"	nil	"East_Ethnic_Musketmen_Bargir"	"infantry_euro_medium"	"rider_lance"	"x_india_cavalry_lance"	5	"leather"	1	"horse_mixed_browns"	"horse_light"	"mount_horse"	"4"	"1"	nil	nil	nil	nil	false	nil	nil	0	0	"0"	"none"	nil	0	nil	"lance"	7	25	3	0	"mounted_lance"	"0"	"drill_set_cavalry"	"well_trained"	6	4	1.3	2.9	4	9	0	0	10	0	false	false	false	false	false	false	false	true	false	false	false	false	false	false	50	75	100	false	false	false	false	false	false	false	true	false	true	false	false	false	false	false
"east_light_cavalry_berber"	60	60	0	"eastern_officer"	"eastern_bugler"	nil	"east_ethnic_swordsmen"	"infantry_euro_medium"	"rider_sabre"	"x_east_cavalry_sabre"	2	"leather"	1	"horse_eastern"	"horse_light"	"mount_horse"	"4"	"1"	nil	nil	nil	nil	false	nil	nil	0	0	"0"	"none"	nil	0	nil	"scimitar"	12	16	7	0	"mounted_slash"	"1"	"drill_set_cavalry"	"trained"	7	4	1.6	3.4	4	9	0	0	10	0	false	false	false	false	false	false	false	true	false	false	false	false	false	false	50	100	150	false	false	false	false	false	false	false	true	false	true	false	false	false	false	false
"east_light_cavalry_jigits"	60	60	0	"eastern_officer"	"eastern_bugler"	nil	"East_Qizilbashi_Light_Cavalry"	"infantry_euro_medium"	"rider_sabre"	"x_east_cavalry_sabre"	2	"leather"	1	"horse_mixed_browns"	"horse_light"	"mount_horse"	"4"	"1"	nil	nil	nil	nil	false	nil	nil	0	0	"0"	"none"	nil	0	nil	"scimitar"	12	16	8	0	"mounted_slash"	"0"	"drill_set_cavalry"	"trained"	9	4	1.6	3.4	4	9	0	0	10	0	false	false	false	false	false	false	false	true	true	false	false	false	false	false	50	75	100	true	false	false	false	false	false	false	true	false	true	false	false	false	false	false
"east_light_cavalry_nogai"	60	60	0	"eastern_officer"	"eastern_bugler"	nil	"East_Ethnic_Musketmen_Bargir"	"infantry_euro_medium"	"rider_sabre"	"x_east_cavalry_sabre"	5	"chain"	1	"horse_irregular"	"horse_light"	"mount_horse"	"4"	"1"	nil	nil	nil	nil	false	nil	nil	0	0	"0"	"none"	nil	0	nil	"scimitar"	11	13	9	0	"mounted_slash"	"0"	"drill_set_cavalry"	"trained"	8	4	1.6	3.4	4	9	0	0	10	0	false	false	false	false	false	false	false	true	true	false	false	false	false	false	50	75	100	true	false	false	false	false	false	false	true	false	true	false	false	false	false	false
"east_pikemen_gholam"	160	0	0	"eastern_officer"	"eastern_drummer1"	"eastern_standard_bearer_common"	"east_zamindari"	"infantry_euro_heavy"	"man_pike"	"x_east_pike"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	nil	0	0	"0"	"none"	nil	0	nil	"pike"	8	2	8	0	"foot_pike"	"0"	"drill_set_infantry_melee"	"trained"	4	4	0.8	1	2.2	4	0	0	20	8	false	false	true	false	false	false	false	true	false	false	false	false	false	false	50	75	100	false	false	false	false	false	false	false	false	false	true	false	true	true	false	false
"east_pikemen_sadrosho"	160	0	0	"eastern_officer"	"eastern_drummer1"	"eastern_standard_bearer_common"	"east_ethnic_musketmen"	"infantry_euro_heavy"	"man_pike"	"x_east_pike"	4	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	nil	0	0	"0"	"none"	nil	0	nil	"pike"	7	2	9	0	"foot_pike"	"0"	"drill_set_infantry_melee"	"trained"	5	4	0.8	1	2.2	4	0	0	20	8	false	false	true	false	false	false	false	true	false	false	false	false	false	false	50	75	100	false	false	false	false	false	false	false	false	false	true	false	true	true	false	false
"east_sikh_infantry_musketeers_nerfed"	160	0	0	"eastern_sikh_officer"	"eastern_sikh_drummer"	"eastern_sikh_standard_bearer"	"east_sikh_infantry_musketeers"	"infantry_euro_medium"	"man_musket"	"x_east_musket"	4	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"musket"	45	30	"0"	"matchlock"	"musket_matchlock"	15	"foot_musket"	"plug_bayonet"	7	10	12	0	"foot_bayonet"	"0"	"drill_set_infantry_line"	"poorly_trained"	8	3	0.8	1	2.2	4	0	0	20	0	false	false	true	false	false	false	false	true	false	false	false	false	false	false	50	75	100	false	false	false	false	false	false	false	false	true	true	false	true	false	false	false
"euro_line_infantry_russia_suvorov"	160	0	0	"euro_officer2"	"euro_drummer1"	"euro_standard_bearer"	"euroline"	"infantry_euro_medium"	"man_musket"	"x_euro_musket"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"musket"	40	20	"0"	"flintlock"	"musket_flintlock"	15	"foot_musket"	"plug_bayonet"	8	13	8	0	"foot_bayonet"	"0"	"drill_set_infantry_line"	"trained"	7	3	0.8	1	2.2	4	0	0	20	0	false	false	true	false	false	false	false	true	false	false	false	false	false	false	50	75	100	false	false	true	false	false	false	false	false	true	false	false	true	false	false	false
"euro_line_infantry_russia_trained"	160	0	0	"euro_officer2"	"euro_drummer1"	"euro_standard_bearer"	"euroline"	"infantry_euro_medium"	"man_musket"	"x_euro_musket"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"musket"	35	15	"0"	"flintlock"	"musket_flintlock"	15	"foot_musket"	"plug_bayonet"	8	13	8	0	"foot_bayonet"	"0"	"drill_set_infantry_line"	"trained"	7	3	0.8	1	2.2	4	0	0	20	0	false	false	true	false	false	false	false	true	false	false	false	false	false	false	50	75	100	false	false	true	false	false	false	false	false	true	false	false	true	false	false	false
"janissaries_anatolian"	160	0	0	"ottoman_officer1"	"ottoman_drummer1"	"ottoman_standard_bearer"	"ottoman_cemaat_janissaries"	"infantry_euro_medium"	"man_musket_sabre"	"x_east_musket_sword"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"musket"	50	55	"0"	"matchlock"	"musket_matchlock"	15	"foot_musket"	"sword"	12	13	12	0	"foot_sword"	"0"	"drill_set_infantry_line"	"elite"	11	3	0.8	1	2.2	4	0	0	20	0	false	false	true	false	false	false	false	true	true	false	false	false	false	false	50	75	100	false	false	true	false	false	false	true	false	true	true	false	true	false	false	false
"janissaries_anatolian_kupa"	160	0	0	"ottoman_officer1"	"ottoman_drummer1"	"ottoman_standard_bearer"	"ottoman_cemaat_janissaries"	"infantry_euro_medium"	"man_musket_sabre"	"x_east_musket_sword"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"musket"	55	65	"0"	"matchlock"	"musket_matchlock"	15	"foot_musket"	"sword"	19	18	18	0	"foot_sword"	"0"	"drill_set_infantry_line"	"elite"	12	3	0.8	1	2.2	4	0	0	20	0	false	false	true	false	false	false	false	true	true	false	false	false	false	false	50	75	100	false	false	true	false	false	false	true	false	true	true	false	true	false	false	false
"mameluks_buffed"	80	80	0	"eastern_officer"	"eastern_bugler"	nil	"mameluks"	"infantry_euro_medium"	"rider_sabre"	"x_east_cavalry_sabre"	3	"leather"	1	"horse_eastern"	"horse_light"	"mount_horse"	"4"	"1"	nil	nil	nil	nil	false	nil	nil	0	0	"0"	"none"	nil	0	nil	"scimitar"	11	15	7	0	"mounted_slash"	"1"	"drill_set_cavalry"	"trained"	7	4	1.6	3.4	4	9	0	0	10	0	false	false	false	false	false	false	false	true	false	false	false	false	false	false	50	100	150	false	false	false	false	false	false	false	true	false	true	false	false	false	false	false
