version 1, schema units_to_groupings_military_permissions_tables
Unit_IDRef(string)	Military_x0020_Group(string)
"east_camel_gunners"	"maratha_group"
"east_camel_gunners"	"mughal_group"
"east_camel_gunners"	"ottoman_group"
"east_desert_nomad_camelry"	"barbary_group"
"east_desert_nomad_camelry"	"maratha_group"
"east_desert_nomad_camelry"	"mughal_group"
"east_desert_nomad_camelry"	"ottoman_group"
"east_desert_nomads"	"barbary_group"
"east_desert_nomads"	"maratha_group"
"east_desert_nomads"	"mughal_group"
"east_desert_nomads"	"ottoman_group"
"east_ethnic_hillmen_musketeers_afghan"	"barbary_group"
"east_ethnic_hillmen_musketeers_afghan"	"maratha_group"
"east_ethnic_hillmen_musketeers_afghan"	"mughal_group"
"east_ethnic_hillmen_musketeers_afghan"	"ottoman_group"
"east_ethnic_hillmen_musketeers_kurdish"	"maratha_group"
"east_ethnic_hillmen_musketeers_kurdish"	"mughal_group"
"east_ethnic_hillmen_musketeers_kurdish"	"ottoman_group"
"east_ethnic_musketeers_bargir"	"maratha_group"
"east_ethnic_musketmen_fellahin_musketeers"	"barbary_group"
"east_ethnic_musketmen_hindu_musketeers"	"maratha_group"
"east_ethnic_musketmen_hindu_musketeers"	"mughal_group"
"east_ethnic_musketmen_isarelys"	"ottoman_group"
"east_ethnic_musketmen_mughal_musketeers"	"mughal_group"
"east_ethnic_swordsmen_fellahin"	"barbary_group"
"east_ethnic_swordsmen_hindu_warriors"	"maratha_group"
"east_ethnic_swordsmen_islamic_swordsmen"	"mughal_group"
"east_ethnic_warriors_barbary_pirates"	"barbary_group"
"east_ethnic_warriors_dervishes"	"mughal_group"
"east_generals_bodyguard"	"barbary_group"
"east_guard_cavalry_ahadis"	"mughal_group"
"east_irregular_cavalry_pindari"	"maratha_group"
"east_lancers"	"mughal_group"
"east_lancers_bargir"	"maratha_group"
"east_lancers_silladar"	"maratha_group"
"east_light_cavalry_qizilbashi"	"mughal_group"
"east_missile_cavalry_zamindari"	"mughal_group"
"east_pikemen_zamindari"	"mughal_group"
"east_sikh_infantry_musketeers"	"maratha_group"
"east_sikh_warriors"	"maratha_group"
"east_sipahi_cavalry"	"maratha_group"
"east_sipahi_cavalry"	"mughal_group"
"east_sipahi_cavalry"	"ottoman_group"
"east_sipahi_cavalry_colonial"	"france_group"
"east_sipahi_cavalry_colonial"	"great_britain_group"
"east_sipahi_cavalry_colonial"	"united_provinces_group"
"east_sipahi_cavalry_colonial"	"usa_group"
"east_war_elephant_lancers_howdah"	"maratha_group"
"east_war_elephant_lancers_howdah"	"mughal_group"
"east_war_elephant_musketry_howdah"	"maratha_group"
"east_war_elephant_musketry_howdah"	"mughal_group"
"episodic_2_armed_citizenry_matchlocks_natam"	"amerinds_group"
"episodic_2_armed_citizenry_matchlocks_natam"	"rebel_group"
"episodic_demi_cannon"	"great_britain_group"
"episodic_musketeers"	"great_britain_group"
"episodic_musketeers_vulnerable"	"great_britain_group"
"episodic_native_american_archers"	"amerinds_group"
"episodic_native_american_archers_rubbish"	"amerinds_group"
"episodic_pikemen"	"great_britain_group"
"episodic_sakers"	"great_britain_group"
"episodics_armed_citizenry_europe"	"austria_group"
"episodics_armed_citizenry_europe"	"colonies_ep3_group"
"episodics_armed_citizenry_europe"	"france_group"
"episodics_armed_citizenry_europe"	"great_britain_group"
"episodics_armed_citizenry_europe"	"prussia_group"
"episodics_armed_citizenry_europe"	"rebel_group"
"episodics_armed_citizenry_europe"	"russia_poland_group"
"episodics_armed_citizenry_europe"	"spain_group"
"episodics_armed_citizenry_europe"	"sweden_denmark_group"
"episodics_armed_citizenry_europe"	"united_provinces_group"
"episodics_armed_citizenry_europe"	"usa_group"
"episodics_armed_citizenry_europe"	"venice_group"
"episodics_armed_citizenry_matchlocks_europe"	"austria_group"
"episodics_armed_citizenry_matchlocks_europe"	"france_group"
"episodics_armed_citizenry_matchlocks_europe"	"great_britain_group"
"episodics_armed_citizenry_matchlocks_europe"	"prussia_group"
"episodics_armed_citizenry_matchlocks_europe"	"russia_poland_group"
"episodics_armed_citizenry_matchlocks_europe"	"spain_group"
"episodics_armed_citizenry_matchlocks_europe"	"sweden_denmark_group"
"episodics_armed_citizenry_matchlocks_europe"	"united_provinces_group"
"episodics_armed_citizenry_matchlocks_europe"	"usa_group"
"episodics_armed_citizenry_matchlocks_europe"	"venice_group"
"episodics_armed_citizenry_native_american"	"amerinds_group"
"episodics_armed_citizenry_native_american"	"rebel_group"
"euro_african_infantry"	"austria_group"
"euro_african_infantry"	"france_group"
"euro_african_infantry"	"great_britain_group"
"euro_african_infantry"	"prussia_group"
"euro_african_infantry"	"russia_poland_group"
"euro_african_infantry"	"spain_group"
"euro_african_infantry"	"sweden_denmark_group"
"euro_african_infantry"	"united_provinces_group"
"euro_african_infantry"	"usa_group"
"euro_african_infantry"	"venice_group"
"euro_carabiniers"	"austria_group"
"euro_carabiniers"	"france_group"
"euro_carabiniers"	"spain_group"
"euro_carabiniers"	"venice_group"
"euro_company_cavalry"	"austria_group"
"euro_company_cavalry"	"prussia_group"
"euro_company_cavalry"	"russia_poland_group"
"euro_company_cavalry"	"spain_group"
"euro_company_cavalry"	"sweden_denmark_group"
"euro_company_cavalry"	"usa_group"
"euro_company_cavalry"	"venice_group"
"euro_company_cavalry_e_india_co"	"great_britain_group"
"euro_company_cavalry_french_eic"	"france_group"
"euro_company_cavalry_voc"	"united_provinces_group"
"euro_company_infantry"	"austria_group"
"euro_company_infantry"	"prussia_group"
"euro_company_infantry"	"russia_poland_group"
"euro_company_infantry"	"spain_group"
"euro_company_infantry"	"sweden_denmark_group"
"euro_company_infantry"	"usa_group"
"euro_company_infantry"	"venice_group"
"euro_company_infantry_e_india_co"	"great_britain_group"
"euro_company_infantry_french_eic"	"france_group"
"euro_company_infantry_voc_infantry"	"united_provinces_group"
"euro_cuirassiers"	"austria_group"
"euro_cuirassiers"	"france_group"
"euro_cuirassiers"	"prussia_group"
"euro_cuirassiers"	"spain_group"
"euro_cuirassiers"	"venice_group"
"euro_dragoons"	"colonies_ep3_group"
"euro_dragoons"	"great_britain_group"
"euro_dragoons"	"prussia_group"
"euro_dragoons"	"russia_poland_group"
"euro_dragoons"	"united_provinces_group"
"euro_dragoons"	"venice_group"
"euro_dragoons_colonial"	"austria_group"
"euro_dragoons_colonial"	"france_group"
"euro_dragoons_colonial"	"great_britain_group"
"euro_dragoons_colonial"	"prussia_group"
"euro_dragoons_colonial"	"russia_poland_group"
"euro_dragoons_colonial"	"spain_group"
"euro_dragoons_colonial"	"sweden_denmark_group"
"euro_dragoons_colonial"	"united_provinces_group"
"euro_dragoons_colonial"	"venice_group"
"euro_dragoons_sweden"	"sweden_denmark_group"
"euro_elite_light_infantry"	"great_britain_group"
"euro_elite_light_infantry"	"russia_poland_group"
"euro_elite_light_infantry"	"sweden_denmark_group"
"euro_elite_light_infantry"	"united_provinces_group"
"euro_elite_light_infantry"	"venice_group"
"euro_elite_light_infantry_croatian_grenzers"	"austria_group"
"euro_elite_light_infantry_prussian_jaegers"	"prussia_group"
"euro_elite_light_infantry_tirailleurs"	"france_group"
"euro_elite_light_infantry_windbuchse_jaegers"	"austria_group"
"euro_expat_infantry"	"austria_group"
"euro_expat_infantry"	"prussia_group"
"euro_expat_infantry"	"russia_poland_group"
"euro_expat_infantry"	"spain_group"
"euro_expat_infantry"	"sweden_denmark_group"
"euro_expat_infantry"	"united_provinces_group"
"euro_expat_infantry"	"usa_group"
"euro_expat_infantry"	"venice_group"
"euro_expat_infantry_chasseurs_britannique"	"great_britain_group"
"euro_expat_infantry_irish_brigade"	"spain_group"
"euro_expat_infantry_regiments_etrangeres"	"france_group"
"euro_generals_bodyguard"	"austria_group"
"euro_generals_bodyguard"	"france_group"
"euro_generals_bodyguard"	"great_britain_group"
"euro_generals_bodyguard"	"prussia_group"
"euro_generals_bodyguard"	"russia_poland_group"
"euro_generals_bodyguard"	"spain_group"
"euro_generals_bodyguard"	"sweden_denmark_group"
"euro_generals_bodyguard"	"united_provinces_group"
"euro_generals_bodyguard"	"usa_group"
"euro_generals_bodyguard"	"venice_group"
"euro_grenadiers"	"colonies_ep3_group"
"euro_grenadiers"	"prussia_group"
"euro_grenadiers"	"russia_poland_group"
"euro_grenadiers"	"spain_group"
"euro_grenadiers"	"sweden_denmark_group"
"euro_grenadiers"	"united_provinces_group"
"euro_grenadiers"	"usa_group"
"euro_grenadiers"	"venice_group"
"euro_grenadiers_bearskin"	"austria_group"
"euro_grenadiers_bearskin"	"france_group"
"euro_grenadiers_bearskin"	"great_britain_group"
"euro_heavy_cavalry"	"great_britain_group"
"euro_heavy_cavalry"	"venice_group"
"euro_heavy_cavalry_sweden"	"sweden_denmark_group"
"euro_highlanders_royal_ecossois"	"france_group"
"euro_hussars"	"prussia_group"
"euro_hussars"	"russia_poland_group"
"euro_hussars"	"venice_group"
"euro_hussars_hungarian_hussars"	"austria_group"
"euro_lancers_chevau_legers"	"france_group"
"euro_lancers_east_india_company_lancers"	"great_britain_group"
"euro_lancers_uhlans"	"austria_group"
"euro_light_cavalry_chasseurs_a_cheval"	"france_group"
"euro_light_cavalry_colonial"	"austria_group"
"euro_light_cavalry_colonial"	"france_group"
"euro_light_cavalry_colonial"	"spain_group"
"euro_light_cavalry_colonial"	"sweden_denmark_group"
"euro_light_dragoons"	"austria_group"
"euro_light_dragoons"	"colonies_ep3_group"
"euro_light_dragoons"	"great_britain_group"
"euro_light_dragoons"	"prussia_group"
"euro_light_dragoons"	"russia_poland_group"
"euro_light_dragoons"	"spain_group"
"euro_light_dragoons"	"sweden_denmark_group"
"euro_light_dragoons"	"united_provinces_group"
"euro_light_dragoons"	"usa_group"
"euro_light_dragoons"	"venice_group"
"euro_light_dragoons_sweden"	"sweden_denmark_group"
"euro_light_infantry"	"colonies_ep3_group"
"euro_light_infantry"	"great_britain_group"
"euro_light_infantry"	"prussia_group"
"euro_light_infantry"	"russia_poland_group"
"euro_light_infantry"	"sweden_denmark_group"
"euro_light_infantry"	"united_provinces_group"
"euro_light_infantry"	"usa_group"
"euro_light_infantry_chasseur_a_pied"	"france_group"
"euro_light_infantry_colonial"	"austria_group"
"euro_light_infantry_colonial"	"great_britain_group"
"euro_light_infantry_colonial"	"prussia_group"
"euro_light_infantry_colonial"	"russia_poland_group"
"euro_light_infantry_colonial"	"sweden_denmark_group"
