version 1, schema names_royalty_tables
Faction_IDRef(string)	Name(string)	unknown1(int)	gender(string)	unknown2(int)	unknown3(int)
"barbary_states"	"Hadji Ahmed"	1	"m"	1	-808698838
"barbary_states"	"Hadji Mustapha"	1	"m"	1	-159062424
"barbary_states"	"Ibrahim"	1	"m"	1	-1406402843
"barbary_states"	"Kutchuk"	1	"m"	1	-889353150
"barbary_states"	"Mehmed"	1	"m"	1	1215082128
"barbary_states"	"Muhammad"	1	"m"	1	-1226484833
"barbary_states"	"Uthman"	1	"m"	1	2051173207
"bavaria"	"Albrecht"	1	"m"	1	1617376809
"bavaria"	"Amalia Wilhelmine"	1	"f"	1	1321276332
"bavaria"	"Anna"	1	"f"	1	705518390
"bavaria"	"Christina"	1	"f"	1	1393232288
"bavaria"	"Claudia"	1	"f"	1	-1883124652
"bavaria"	"Ferdinand Maria"	1	"m"	3	-1637070852
"bavaria"	"Henriette"	1	"f"	1	2095209122
"bavaria"	"Karl Albrecht"	1	"m"	3	884281165
"bavaria"	"Karl Theodor"	1	"m"	3	30596746
"bavaria"	"Ludwig"	1	"m"	1	914430531
"bavaria"	"Margarita Teresa"	1	"f"	1	1448446158
"bavaria"	"Maria Amalie"	1	"f"	1	-1284366281
"bavaria"	"Maria Anna"	1	"f"	1	-744201531
"bavaria"	"Maria Antonia"	1	"f"	1	-879333087
"bavaria"	"Maria Josepha"	1	"f"	1	190665146
"bavaria"	"Maurita"	1	"f"	1	1337424507
"bavaria"	"Maximilian"	1	"m"	3	559589319
"bavaria"	"Maximiliane"	1	"f"	1	-560136899
"bavaria"	"Renata"	1	"f"	1	-1546941313
"bavaria"	"Wilhelm"	1	"m"	1	336187336
"britain"	"Adelaide"	1	"f"	1	1616559797
"britain"	"Amelia"	1	"f"	1	1535779794
"britain"	"Anne"	1	"f"	3	592738739
"britain"	"Caroline"	1	"f"	3	1998537455
"britain"	"Charlotte"	1	"f"	1	1466007044
"britain"	"Frederick"	1	"m"	1	-430314479
"britain"	"George"	1	"m"	5	1223702136
"britain"	"Louise"	1	"f"	1	2061940304
"britain"	"Mary"	1	"f"	1	-1913194517
"britain"	"Sophia"	1	"f"	1	881779046
"britain"	"William"	1	"m"	1	-383163623
"cherokee"	"Attakullaculla"	1	"m"	1	1151854888
"cherokee"	"Cheucunsene"	1	"m"	1	-203473996
"cherokee"	"Diwali"	1	"m"	1	-367012697
"cherokee"	"Galagina"	1	"m"	1	-1222261506
"cherokee"	"Gatiunwali"	1	"m"	1	-412718244
"cherokee"	"Inadunai"	1	"m"	1	1650143466
"cherokee"	"Inali"	1	"m"	1	-1133148371
"cherokee"	"Moytoy"	1	"m"	1	972198806
"cherokee"	"Sequoya"	1	"m"	1	1862134793
"cherokee"	"Uskwaliguta"	1	"m"	1	1618597155
"cherokee"	"Yonaguska"	1	"m"	1	-1749240481
"courland"	"Ernst Johann"	1	"m"	1	-1797594161
"courland"	"Ferdinand"	1	"m"	1	-1481936442
"courland"	"Friedrich"	1	"m"	3	1076619224
"courland"	"Gotthard"	1	"m"	1	-357028717
"courland"	"Jacob"	1	"m"	1	2013516025
"courland"	"Karl"	1	"m"	1	1430702741
"courland"	"Louis Ernest"	1	"m"	1	-68811420
"courland"	"Peter"	1	"m"	1	330529330
"crimean_khanate"	"Devlet"	1	"m"	1	-925538613
"crimean_khanate"	"Fetih"	1	"m"	1	837581814
"crimean_khanate"	"Gazi"	1	"m"	1	-1801619983
"crimean_khanate"	"Halim"	1	"m"	1	221721224
"crimean_khanate"	"Menli"	1	"m"	1	-1215381828
"crimean_khanate"	"Qaplan"	1	"m"	1	518275422
"crimean_khanate"	"Qirim"	1	"m"	1	-468053527
"crimean_khanate"	"Saadet"	1	"m"	1	-2108034681
"crimean_khanate"	"Sahib"	1	"m"	1	-225017853
"crimean_khanate"	"Selamet"	1	"m"	1	-2039189747
"crimean_khanate"	"Selim"	1	"m"	1	60650416
"denmark"	"Caroline"	1	"f"	1	-1545894687
"denmark"	"Charlotte"	1	"f"	1	-1707572850
"denmark"	"Christian"	1	"m"	5	-1428104428
"denmark"	"Frederik"	1	"m"	5	-311374273
"denmark"	"Juliane"	1	"f"	1	871269472
"denmark"	"Karl"	1	"m"	1	1868200581
"denmark"	"Louise"	1	"f"	3	-1522858142
"denmark"	"Sophie"	1	"f"	1	-2105386949
"france"	"Anne-Élisabeth"	1	"f"	1	372821245
"france"	"Élisabeth"	1	"f"	1	61387302
"france"	"Louis"	1	"m"	10	-36414985
"france"	"Marie-Anne"	1	"f"	1	-26782086
"france"	"Marie-Thérèse"	1	"f"	1	1281085299
"france"	"Philippe"	1	"m"	1	1374141036
"france"	"Sophie"	1	"f"	1	-589320487
"france"	"Victoire"	1	"f"	1	-968570568
"georgia"	"Constantine"	1	"m"	1	1638901331
"georgia"	"Erekle"	1	"m"	1	-1690902343
"georgia"	"Giorgi"	1	"m"	1	-645471529
"georgia"	"Iese"	1	"m"	1	-2056997670
"georgia"	"Kaikhusro"	1	"m"	1	9830621
"georgia"	"Teimuraz"	1	"m"	1	823053976
"georgia"	"Vakhtang"	1	"m"	1	792922572
"hannover"	"Anna Amalie"	1	"f"	1	19515117
"hannover"	"Charlotte"	1	"f"	1	-535880989
"hannover"	"Christian Heinrich"	1	"f"	1	834731623
"hannover"	"Ernst August"	1	"m"	1	-2143980369
"hannover"	"Friedrich August"	1	"m"	1	-257833557
"hannover"	"Georg"	1	"m"	4	514541173
"hannover"	"Georg Ludwig"	1	"m"	1	-1862615868
"hannover"	"Georg Wilhelm"	1	"m"	1	1504215186
"hannover"	"Karl Phillip"	1	"f"	1	906587582
"hannover"	"Luise Ulrike"	1	"f"	1	-1756306006
"hannover"	"Maximilian Wilhelm"	1	"m"	1	-137928432
"hannover"	"Sophie Charlotte"	1	"f"	1	-1556058159
"hannover"	"Sophie Dorothea"	1	"f"	1	-96648676
"hessen"	"Amalia"	1	"f"	1	1327148827
"hessen"	"Friedrich"	1	"m"	5	-978081847
"hessen"	"Friedrich Wilhelm"	1	"m"	1	-73410785
"hessen"	"Hedwig Amalie"	1	"f"	1	1126083188
"hessen"	"Karl"	1	"m"	1	2123344872
"hessen"	"Karl Eduard"	1	"m"	1	-1299698075
"hessen"	"Maria Amalie"	1	"f"	1	467592642
"hessen"	"Marie"	1	"f"	1	1768556014
"hessen"	"Marie Luise"	1	"f"	1	511106775
"hessen"	"Moritz"	1	"m"	1	1623394752
"hessen"	"Sophie Charlotte"	1	"f"	1	-318032191
"hessen"	"Wilhelm"	1	"m"	5	-292350890
"holstein_gottorp"	"Christian Albrecht"	1	"m"	1	-243474214
"holstein_gottorp"	"Christian August"	1	"m"	1	-1692491130
"holstein_gottorp"	"Friedrich"	1	"m"	1	-1149870883
"holstein_gottorp"	"Johann Adolf"	1	"m"	1	-371567156
"holstein_gottorp"	"Karl Friedrich"	1	"m"	1	427254355
"holstein_gottorp"	"Karl Peter Ulrich"	1	"m"	1	-233645416
"holstein_gottorp"	"Paul"	1	"m"	1	733281465
"huron"	"Aharathaha"	1	"m"	1	-1785457525
"huron"	"Daunghquat"	1	"m"	1	1997377229
"huron"	"Desharemoi"	1	"m"	1	439175710
"huron"	"Dewatonte"	1	"m"	1	-46474831
"huron"	"Donacona"	1	"m"	1	1306981775
"huron"	"Haroenyou"	1	"m"	1	-1913763830
"huron"	"Petawontakas"	1	"m"	1	184001572
"huron"	"Pomoacan"	1	"m"	1	-1139999929
"huron"	"Teacheandale"	1	"m"	1	-1719585038
"huron"	"Tsioui"	1	"m"	1	-1073728939
"huron"	"Tsouhahissen"	1	"m"	1	20741744
"huron"	"Tyantet"	1	"m"	1	1724511612
"inuit"	"Amaqjuaq"	1	"m"	1	898192712
"inuit"	"Atanarjuat"	3	"m"	1	1478206915
"inuit"	"Kumaglak"	1	"m"	1	1928492066
"inuit"	"Kumaglaq"	1	"m"	1	352440319
"inuit"	"Oki"	1	"m"	1	-1762612780
"inuit"	"Pakak"	1	"m"	1	-127395014
"inuit"	"Pittiulak"	1	"m"	1	329145533
"inuit"	"Qulitalik"	1	"m"	1	-1672560864
"inuit"	"Sauri"	1	"m"	1	-857327026
"inuit"	"Tulimaq"	1	"m"	1	-1199678282
"inuit"	"Tungajuaq"	1	"m"	1	1943478572
"ireland"	"Brian"	1	"m"	1	1598219571
"ireland"	"Dermot"	1	"m"	1	749028070
"ireland"	"Donchad"	1	"m"	1	245851759
"ireland"	"Malachy"	1	"m"	1	-1439384700
"ireland"	"Rory"	1	"m"	1	1718492152
"ireland"	"Turlough"	1	"m"	1	343653017
"iroquoi"	"Deganewidah"	1	"m"	1	-1450921071
"iroquoi"	"Hiawatha"	1	"m"	1	65295211
"iroquoi"	"Sagayeathquapiethtow"	1	"m"	1	-1732407755
"iroquoi"	"Sagoyewatha"	1	"m"	1	-723003778
"iroquoi"	"Tehowaghwengaraghkwin"	1	"m"	1	1626728487
"iroquoi"	"Thadodaho"	1	"m"	1	-707474480
"iroquoi"	"Thayendanagea"	1	"m"	1	1800772946
"iroquoi"	"Tiyanoga"	1	"m"	1	-2138253092
"knights_stjohn"	"André"	1	"m"	1	-1735544190
"knights_stjohn"	"Antoine"	1	"m"	1	-1245106981
"knights_stjohn"	"António Manoel"	1	"m"	1	-143828374
"knights_stjohn"	"Emmanuel"	1	"m"	1	1145459990
"knights_stjohn"	"Ferdinand"	1	"m"	1	-2008106785
"knights_stjohn"	"Francisco Ximenes"	1	"m"	1	-230743159
"knights_stjohn"	"Giovanni Battista"	1	"m"	1	1524688421
"knights_stjohn"	"Manuel Pinto"	1	"m"	1	1526476456
"knights_stjohn"	"Marc Antonio"	1	"m"	1	244827821
"knights_stjohn"	"Paul"	1	"m"	1	-860956364
"knights_stjohn"	"Ramon"	1	"m"	1	-973856605
"maratha"	"Baji"	1	"m"	2	1378782552
"maratha"	"Balaji"	1	"m"	1	1727420435
"maratha"	"Chimnaji"	1	"m"	1	1683708437
"maratha"	"Madhava"	1	"m"	1	-483661703
"maratha"	"Narayan"	1	"m"	1	-489385146
"maratha"	"Pratap"	1	"m"	1	1932053661
"maratha"	"Raghunath"	1	"m"	1	-819017905
"maratha"	"Rajaram"	1	"m"	1	-2075844946
"maratha"	"Ramaraja"	1	"m"	1	422976652
"maratha"	"Shahji"	1	"m"	1	-1136589414
"maratha"	"Shahu"	1	"m"	2	523679895
"maratha"	"Shambhuji"	1	"m"	1	1448929921
"maratha"	"Sivaji"	1	"m"	1	-496393088
"maratha"	"Tarabai"	1	"f"	1	871370577
"mecklenburg"	"Adolf Friedrich"	1	"m"	5	-1824672846
"mecklenburg"	"Christian Ludwig"	1	"m"	1	-600587001
"mecklenburg"	"Friedrich Wilhelm"	1	"m"	1	1540428510
"mecklenburg"	"Georg"	1	"m"	1	929581360
"mecklenburg"	"Karl"	1	"m"	1	1137345099
"mecklenburg"	"Karl Leopold"	1	"m"	1	-887751311
"morocco"	"Adballah"	1	"m"	3	317070538
"morocco"	"Ahmad"	1	"m"	1	-901747059
"morocco"	"Ali"	1	"m"	1	-791639165
"morocco"	"Hisham"	1	"m"	1	1428228457
"morocco"	"Moulay Ismail"	1	"m"	1	-1763840964
"morocco"	"Muhammad"	1	"m"	1	-1547683832
"morocco"	"Suleiman"	1	"m"	1	-1606512193
"morocco"	"Yazid"	1	"m"	1	-1300038282
"mughal"	"Ahmad"	1	"m"	1	-816887828
"mughal"	"Akbar"	1	"m"	1	-1245070605
"mughal"	"Alaam"	1	"m"	1	1229148183
"mughal"	"Alamgir"	1	"m"	1	177056893
"mughal"	"Aurangzeb"	1	"m"	1	1454454932
"mughal"	"Bahadur"	1	"m"	1	-1496801054
"mughal"	"Furrukhsiyar"	1	"m"	1	988527072
"mughal"	"Jahandar"	1	"m"	1	-531672133
"mughal"	"Jahangir"	1	"m"	1	-1225004539
"mughal"	"Jalaluddin"	1	"m"	1	-1843421190
"mughal"	"Mohammed"	1	"m"	1	-154923657
"mughal"	"Nikusiyar"	1	"m"	1	991867662
"mughal"	"Shah Jahan"	1	"m"	1	1013902433
"mysore"	"Chamaraja"	1	"m"	3	-1741350865
"mysore"	"Chikka"	1	"m"	1	1881943736
"mysore"	"Haider Ali"	1	"m"	1	978425333
"mysore"	"Krishnaraja"	1	"m"	3	1413780390
"mysore"	"Nanjaraja"	1	"m"	1	-707823036
"mysore"	"Narasaraja"	1	"m"	1	2143127129
"mysore"	"Tipu Sultan"	1	"m"	1	22116882
"naples_sicily"	"Carlo"	1	"m"	3	-204540272
"naples_sicily"	"Ferdinand"	1	"m"	3	427729195
"naples_sicily"	"Filippo"	1	"m"	1	-1595492527
"naples_sicily"	"Vittorio"	1	"m"	1	-1870594242
"netherlands"	"Willem"	1	"m"	1	-835356866
"norway"	"Eirik"	1	"m"	1	-881815766
"norway"	"Håkon"	1	"m"	1	1702793703
"norway"	"Magnus"	1	"m"	1	-988467300
"norway"	"Olav"	1	"m"	1	-2004908435
"ottomans"	"Abdülhamid"	1	"m"	1	-1551279457
"ottomans"	"Ahmed"	1	"m"	1	1353544040
"ottomans"	"Mahmud"	1	"m"	1	1415601993
"ottomans"	"Mustafa"	1	"m"	3	1541989987
"ottomans"	"Osman"	1	"m"	1	-1882434090
"ottomans"	"Selim"	1	"m"	1	-212875276
"papal_states"	"Benedict"	1	"m"	1	311657242
"papal_states"	"Clement"	1	"m"	1	764001804
"papal_states"	"Innocent"	1	"m"	1	150286365
"papal_states"	"Pius"	1	"m"	1	-1875417197
"piedmont_savoy"	"Charles Emmanuel"	1	"m"	1	-474267838
"piedmont_savoy"	"Victor Amedeus"	1	"m"	1	-1414832667
"plains"	"Mahpiyawakankidan"	1	"m"	1	1290721538
"plains"	"Mankato"	1	"m"	1	-1418875619
"plains"	"Napeshneeduta"	1	"m"	1	571440154
"plains"	"Ohiyesa"	1	"m"	1	-689883483
"plains"	"Pizi"	1	"m"	1	-747376293
"plains"	"Shakopee"	1	"m"	1	1319587596
"plains"	"Si-Tanka"	1	"m"	1	1292321537
"plains"	"Wamditanka"	1	"m"	1	1186645271
"plains"	"Waneta"	1	"m"	1	637087488
"plains"	"Wizikute"	1	"m"	1	-1950765778
"poland_lithuania"	"Anna"	1	"f"	1	-431686563
"poland_lithuania"	"Anna Zofia"	1	"f"	1	2065427034
"poland_lithuania"	"August"	1	"m"	1	-1598267839
"poland_lithuania"	"Jan"	1	"m"	1	-1179844800
"poland_lithuania"	"Konstancja"	1	"f"	1	649744983
"poland_lithuania"	"Krystyna"	1	"f"	1	1467654988
"poland_lithuania"	"Ludwika"	1	"f"	1	121569304
"poland_lithuania"	"Michał"	1	"m"	1	1228892827
"poland_lithuania"	"Stanisław"	1	"m"	1	-1995770002
"poland_lithuania"	"Zofia"	1	"f"	1	217386451
"portugal"	"Alfonso"	1	"m"	1	-1911012907
"portugal"	"Francisca"	1	"f"	1	-1205554806
"portugal"	"Francisca Josefa"	1	"f"	1	-2039140029
"portugal"	"Isabel Luísa"	1	"f"	1	63770189
"portugal"	"João"	1	"m"	5	1848153145
"portugal"	"José"	1	"m"	2	1852987663
"portugal"	"Maria"	1	"f"	1	1591550372
"portugal"	"Maria Francisca"	1	"f"	1	-1332851001
"portugal"	"Maria Isabel"	1	"f"	1	-455027728
"portugal"	"Maria Josefa"	1	"f"	1	-2047942351
"portugal"	"Maria Luísa"	1	"f"	1	-777457550
"portugal"	"Maria Sofia"	1	"f"	1	-225795332
"portugal"	"Maria Teresa"	1	"f"	1	1083153310
"portugal"	"Mariana"	1	"f"	1	87601163
"portugal"	"Pedro"	1	"m"	5	-2087894010
"portugal"	"Teodósio"	1	"m"	1	781966024
"prussia"	"Amalia"	1	"f"	1	-1898876549
"prussia"	"Augusta"	1	"f"	1	1624344375
"prussia"	"Elisabeth Charlotte"	1	"f"	1	-1048736350
"prussia"	"Elisabeth Christine"	1	"f"	1	742211617
"prussia"	"Frederika Louisa"	1	"f"	1	-241046578
"prussia"	"Friedrich"	1	"m"	3	32843049
"prussia"	"Friedrich Wilhelm"	1	"m"	3	-725983690
"prussia"	"Louise"	1	"f"	2	-1394440364
"prussia"	"Louise Henriette"	1	"f"	1	442974661
"prussia"	"Sophia Dorothea"	1	"f"	2	2122675360
"prussia"	"Wilhelm"	1	"m"	1	-723053697
"punjab"	"Ahmed"	1	"m"	1	-288965571
"punjab"	"Chand"	1	"m"	1	-364969608
"punjab"	"Charat"	1	"m"	1	1058025132
"punjab"	"Maha"	1	"m"	1	609084602
"punjab"	"Ranjit"	1	"m"	4	1773162675
"russia"	"Aleksandr"	1	"m"	1	1127263979
"russia"	"Anna"	1	"f"	1	1386121711
"russia"	"Elena"	1	"f"	1	-249136367
"russia"	"Ivan"	1	"m"	1	109771012
"russia"	"Konstantin"	1	"m"	1	-260710064
"russia"	"Maria"	1	"f"	1	630515710
"russia"	"Olga"	1	"f"	1	-316998745
"russia"	"Pavel"	1	"m"	1	1281103570
"russia"	"Pyotr"	1	"m"	3	-832237031
"russia"	"Yekaterina"	1	"f"	3	-549018522
"russia"	"Yelizaveta"	1	"f"	1	791109045
"safavids"	"Abbas"	1	"m"	1	-1771867096
"safavids"	"Abul"	1	"m"	1	-1544973823
"safavids"	"Adil"	1	"m"	1	1084724645
"safavids"	"Ahmad"	1	"m"	1	-1414697949
"safavids"	"Ali Murad"	1	"m"	1	-461664210
"safavids"	"Hoseyn"	1	"m"	1	-761199059
"safavids"	"Ibrahim"	1	"m"	1	188573787
"safavids"	"Ismail"	1	"m"	1	198662921
"safavids"	"Jafar"	1	"m"	1	-546838004
"safavids"	"Karilm"	1	"m"	1	-1253238272
"safavids"	"Mohammad"	1	"m"	1	-437971306
"safavids"	"Nadir"	1	"m"	1	-641632588
"safavids"	"Rukh"	1	"m"	1	-567833598
"safavids"	"Sadiq"	1	"m"	1	-759059433
"safavids"	"Safi"	1	"m"	1	1930411103
"safavids"	"Suleiman"	1	"m"	1	-761903524
"safavids"	"Tahmasp"	1	"m"	1	471499754
"saxony"	"Anton"	1	"m"	1	87262099
"saxony"	"Friedrich August"	1	"m"	5	-393548771
"saxony"	"Friedrich Christian"	1	"m"	3	-422736102
"saxony"	"Johann Georg"	1	"m"	1	2013541080
"scotland"	"Anne"	1	"f"	1	1224141205
"scotland"	"Charles"	1	"m"	1	1550516217
"scotland"	"James"	1	"m"	1	1107866822
"scotland"	"Mary"	1	"f"	1	1097968335
"scotland"	"William"	1	"m"	1	-1993277340
"spain"	"Carlos"	1	"m"	1	1971684593
"spain"	"Felipe"	1	"m"	1	-444404430
"spain"	"Fernando"	1	"m"	1	140910256
"spain"	"Isabel"	1	"f"	1	-958621561
"spain"	"Luis"	1	"m"	1	-878797365
"spain"	"Luisa Isabel"	1	"f"	1	-460318276
"spain"	"María Antonieta"	1	"f"	1	-429259190
"spain"	"María Luisa"	1	"f"	1	-450304930
"spain"	"Mariana Victoria"	1	"f"	1	1735618061
"sweden"	"Adolf Fredrik"	1	"m"	1	-1813741834
"sweden"	"Augusta Maria"	1	"f"	1	-390507551
"sweden"	"Fredrik"	1	"m"	1	-1140915991
"sweden"	"Gustav"	1	"m"	1	-1195682497
"sweden"	"Hedvig Eleonora"	1	"f"	1	474256916
"sweden"	"Karl"	1	"m"	4	1657378563
"sweden"	"Louise Dorothea"	1	"f"	1	64043618
"sweden"	"Sophia Albertina"	1	"f"	1	-725921989
"sweden"	"Sophia Magdalena"	1	"f"	1	-1780748448
"sweden"	"Sophie Amalie"	1	"f"	1	-1209771643
"sweden"	"Ulrika Eleonora"	1	"f"	3	1826373000
"wurttemberg"	"Eberhard Ludwig"	1	"m"	1	-1507752967
"wurttemberg"	"Friedrich Eugen"	1	"m"	1	188591509
"wurttemberg"	"Karl Alexander"	1	"m"	1	834005190
"wurttemberg"	"Karl Eugen"	1	"m"	1	-6566193
"wurttemberg"	"Ludwig Eugen"	1	"m"	1	-755936156
"britain"	"Victoria"	1	"f"	1	1232638589
"spain"	"Isabella"	1	"f"	1	739118586
