version 1, schema battles_tables
Map_Name(string)	Map_Type(string)	Is_Naval(boolean)	specification(string)	Thumbnail(optstring)	Unknown1(boolean)	team_size_1(int)	team_size_2(int)	release(boolean)	multiplayer(boolean)	Unknown6(boolean)
"battle_of_rossbach"	"historic"	false	"data/scenarios/Battle_of_Rossbach.xml"	"data/scenarios/Battle_of_Rossbach.tga"	false	1	2	true	false	true
"battle_of_the_chesapeake"	"historic"	true	"data/testdata/world/Balanced_Naval_Battle.xml"	nil	false	1	1	false	false	false
"battle_of_the_saintes"	"historic"	true	"data/testdata/world/Balanced_Naval_Battle.xml"	nil	false	1	1	false	false	false
"bavaria"	"classic"	false	"BattleTerrain/Presets/bavaria/"	nil	false	2	2	true	true	true
"bay_of_biscay"	"naval"	true	"BattleTerrain/Presets/bay_of_biscay/"	nil	false	2	2	true	true	true
"bengal"	"classic"	false	"BattleTerrain/Presets/bengal/"	nil	false	1	1	true	true	true
"caribbean"	"naval"	true	"BattleTerrain/Presets/caribbean/"	nil	false	1	1	true	true	true
"caucasus"	"classic"	false	"BattleTerrain/Presets/caucasus/"	nil	false	1	1	true	true	true
"ceylon"	"classic"	false	"BattleTerrain/Presets/ceylon/"	nil	false	1	1	true	true	true
"chesapeake_vs_shannon"	"historic"	true	"data/scenarios/Shannon_vs_Chesapeake.xml"	"data/scenarios/Shannon_vs_Chesapeake.tga"	false	1	1	false	false	true
"cuba"	"classic"	false	"BattleTerrain/Presets/cuba/"	nil	false	1	1	true	true	true
"finland"	"classic"	false	"BattleTerrain/Presets/finland/"	nil	false	4	4	true	true	true
"flanders"	"classic"	false	"BattleTerrain/Presets/flanders/"	nil	false	1	1	true	true	true
"hudson_river"	"classic"	false	"BattleTerrain/Presets/hudson_river/"	nil	false	1	1	false	false	false
"indian_artillery_fort"	"siege"	false	"BattleTerrain/Presets/indian_artillery_fort/"	nil	false	1	1	true	true	true
"indian_great_fortress"	"siege"	false	"BattleTerrain/Presets/indian_great_fortress/"	nil	false	1	1	true	true	true
"mediterranean"	"naval"	true	"BattleTerrain/Presets/mediterranean/"	nil	false	2	2	true	true	true
"mexican_jungle"	"classic"	false	"BattleTerrain/Presets/mexican_jungle/"	nil	false	1	1	true	true	true
"mp_battle_of_brandywine_creek"	"historic"	false	"data/scenarios/MP_Battle_of_Brandywine.xml"	"data/scenarios/Battle_of_Brandywine.tga"	false	1	1	true	true	false
"mp_battle_of_culloden"	"historic"	false	"data/scenarios/MP_Battle_of_Culloden.xml"	nil	false	1	1	false	false	false
"mp_battle_of_fontenoy"	"historic"	false	"data/scenarios/MP_Battle_of_Fontenoy.xml"	"data/scenarios/Battle_of_Fontenoy.tga"	false	1	3	true	true	false
"mp_battle_of_lagos"	"historic"	true	"data/scenarios/MP_Battle_of_Lagos.xml"	"data/scenarios/Battle_of_Lagos.tga"	false	1	2	true	true	false
"mp_battle_of_leuthen"	"historic"	false	"data/scenarios/MP_Battle_of_Leuthen.xml"	"data/scenarios/Battle_of_Leuthen.tga"	false	1	1	false	false	false
"mp_battle_of_porto_novo"	"historic"	true	"data/scenarios/MP_Battle_of_Porto_Novo.xml"	"data/scenarios/Battle_of_Porto_Novo.tga"	false	1	1	true	true	false
"mp_battle_of_rossbach"	"historic"	false	"data/scenarios/MP_Battle_of_Rossbach.xml"	"data/scenarios/Battle_of_Rossbach.tga"	false	1	2	true	true	false
"mp_chesapeake_vs_shannon"	"historic"	true	"data/scenarios/MP_Shannon_vs_Chesapeake.xml"	"data/scenarios/Shannon_vs_Chesapeake.tga"	false	1	1	false	true	false
"MP_Grassy_Flatlands_1v1"	"classic"	false	"BattleTerrain/Presets/P6_MP_Grassy_Flatlands/"	nil	false	1	1	true	true	true
"MP_Grassy_Flatlands_2v2"	"classic"	false	"BattleTerrain/Presets/P6_MP_Grassy_Flatlands/"	nil	false	2	2	true	true	true
"MP_Grassy_Flatlands_3v3"	"classic"	false	"BattleTerrain/Presets/P6_MP_Grassy_Flatlands/"	nil	false	3	3	true	true	true
"MP_Grassy_Flatlands_4v4"	"classic"	false	"BattleTerrain/Presets/P6_MP_Grassy_Flatlands/"	nil	false	4	4	true	true	true
"MP_Homestead_1v1"	"classic"	false	"BattleTerrain/Presets/P6_MP_Homestead/"	nil	false	1	1	true	true	true
"MP_Homestead_2v2"	"classic"	false	"BattleTerrain/Presets/P6_MP_Homestead/"	nil	false	2	2	true	true	true
"MP_Homestead_3v3"	"classic"	false	"BattleTerrain/Presets/P6_MP_Homestead/"	nil	false	3	3	true	true	true
"MP_Homestead_4v4"	"classic"	false	"BattleTerrain/Presets/P6_MP_Homestead/"	nil	false	4	4	true	true	true
"MP_Icelandic_Pinnacles_1v1"	"classic"	false	"BattleTerrain/Presets/P6_MP_Icelandic_Pinnacles/"	nil	false	1	1	true	true	true
"MP_Icelandic_Pinnacles_2v2"	"classic"	false	"BattleTerrain/Presets/P6_MP_Icelandic_Pinnacles/"	nil	false	2	2	true	true	true
"MP_Icelandic_Pinnacles_3v3"	"classic"	false	"BattleTerrain/Presets/P6_MP_Icelandic_Pinnacles/"	nil	false	3	3	true	true	true
"MP_Icelandic_Pinnacles_4v4"	"classic"	false	"BattleTerrain/Presets/P6_MP_Icelandic_Pinnacles/"	nil	false	4	4	true	true	true
"MP_Siberian_Plateau_1v1"	"classic"	false	"BattleTerrain/Presets/P6_MP_Siberian_Plateau/"	nil	false	1	1	true	true	true
"MP_Siberian_Plateau_2v2"	"classic"	false	"BattleTerrain/Presets/P6_MP_Siberian_Plateau/"	nil	false	2	2	true	true	true
"MP_Siberian_Plateau_3v3"	"classic"	false	"BattleTerrain/Presets/P6_MP_Siberian_Plateau/"	nil	false	3	3	true	true	true
"MP_Siberian_Plateau_4v4"	"classic"	false	"BattleTerrain/Presets/P6_MP_Siberian_Plateau/"	nil	false	4	4	true	true	true
"MP_Syrian_Ridge_1v1"	"classic"	false	"BattleTerrain/Presets/P6_MP_Syrian_Ridge/"	nil	false	1	1	true	true	true
"MP_Syrian_Ridge_2v2"	"classic"	false	"BattleTerrain/Presets/P6_MP_Syrian_Ridge/"	nil	false	2	2	true	true	true
"MP_Syrian_Ridge_3v3"	"classic"	false	"BattleTerrain/Presets/P6_MP_Syrian_Ridge/"	nil	false	3	3	true	true	true
"MP_Syrian_Ridge_4v4"	"classic"	false	"BattleTerrain/Presets/P6_MP_Syrian_Ridge/"	nil	false	4	4	true	true	true
"muscovy"	"classic"	false	"BattleTerrain/Presets/muscovy/"	nil	false	4	4	false	true	true
"mysore"	"classic"	false	"BattleTerrain/Presets/mysore/"	nil	false	2	2	false	false	false
"new_france"	"classic"	false	"BattleTerrain/Presets/new_france/"	nil	false	4	4	false	false	false
"newfoundland"	"classic"	false	"BattleTerrain/Presets/newfoundland/"	nil	false	3	3	false	true	true
"ottoman_artillery_fort"	"siege"	false	"BattleTerrain/Presets/ottoman_artillery_fort/"	nil	false	1	1	true	true	true
"ottoman_great_fortress"	"siege"	false	"BattleTerrain/Presets/ottoman_great_fortress/"	nil	false	1	1	true	true	true
"poland"	"classic"	false	"BattleTerrain/Presets/poland/"	nil	false	1	1	false	true	true
"provence"	"classic"	false	"BattleTerrain/Presets/provence/"	nil	false	2	2	true	true	true
"punjab"	"classic"	false	"BattleTerrain/Presets/ukraine/"	nil	false	1	1	false	false	false
"river_indus"	"classic"	false	"BattleTerrain/Presets/river_indus/"	nil	false	2	2	false	false	false
"river_tigris"	"classic"	false	"BattleTerrain/Presets/river_tigris/"	nil	false	4	4	false	false	false
"scottish_highlands"	"classic"	false	"BattleTerrain/Presets/scottish_highlands/"	nil	false	2	1	false	false	false
"sinai"	"classic"	false	"BattleTerrain/Presets/ukraine/"	nil	false	1	1	false	false	false
"spanish_foothills"	"classic"	false	"BattleTerrain/Presets/spanish_foothills/"	nil	false	4	4	false	false	false
"star_fort"	"siege"	false	"BattleTerrain/Presets/star_fort/"	nil	false	1	1	true	true	true
"swedish_forest"	"classic"	false	"BattleTerrain/Presets/swedish_forest/"	nil	false	1	1	true	true	true
"texan_plains"	"classic"	false	"BattleTerrain/Presets/texan_plains/"	nil	false	2	2	false	false	false
"the_rhine"	"classic"	false	"BattleTerrain/Presets/ukraine/"	nil	false	1	1	false	false	false
"trafalgar"	"naval"	true	"BattleTerrain/Presets/trafalgar/"	nil	false	1	1	true	true	true
"virginia"	"classic"	false	"BattleTerrain/Presets/virginia/"	nil	false	1	1	false	true	true
"western_artillery_fort"	"siege"	false	"BattleTerrain/Presets/western_artillery_fort/"	nil	false	1	1	true	true	true
"wooden_fort"	"siege"	false	"BattleTerrain/Presets/wooden_fort/"	nil	false	1	1	true	true	true
