version 1, schema campaign_map_slots_tables
Campaign_Map_Slot_ID(string)	Region(string)	Slot(string)	Unknown1(blob:5)
"wheat:eur_galicia:ternopil"	"eur_galicia"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:eur_holland:groningen"	"eur_holland"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:eur_hungary:szegedin"	"eur_hungary"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:eur_ireland:connemara"	"eur_ireland"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:eur_kiev_guberniya:shchors"	"eur_kiev_guberniya"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:eur_moldova_bessarabia:komrat"	"eur_moldova_bessarabia"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:eur_moscow_guberniya:voronezh"	"eur_moscow_guberniya"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:eur_picardie_champagne:troyes"	"eur_picardie_champagne"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:eur_pommerania:koslin"	"eur_pommerania"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:eur_volhynia_podolia:bila"	"eur_volhynia_podolia"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:eur_wallachia:ploiesti"	"eur_wallachia"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:eur_west_prussia:bromberg"	"eur_west_prussia"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:ita_lodi:crema"	"ita_lodi"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:ita_nuara:vercelli"	"ita_nuara"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:spa_algarves:odemira"	"spa_algarves"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:spa_badajoz:don_benito"	"spa_badajoz"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:spa_cantabria:medina_de_pomar"	"spa_cantabria"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:spa_castilla_la_nueva:torrelaguna"	"spa_castilla_la_nueva"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:spa_centro:gurada"	"spa_centro"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:spa_granada:almeria"	"spa_granada"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:spa_la_mancha:manzanares"	"spa_la_mancha"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:spa_midi_pyrenees:cazeres"	"spa_midi_pyrenees"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:spa_navarre:tudela"	"spa_navarre"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:spa_norte:braganca"	"spa_norte"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:spa_salamanca:morales_del_vino"	"spa_salamanca"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:spa_teruel:daroca"	"spa_teruel"	"wheat"	"\x00\x00\x00\x00\x00"
"wine:eur_aquitaine:bergerac"	"eur_aquitaine"	"wine"	"\x00\x00\x00\x00\x00"
"wine:eur_baden_wurttemberg:breisgau"	"eur_baden_wurttemberg"	"wine"	"\x00\x00\x00\x00\x00"
"wine:eur_greece:sparta"	"eur_greece"	"wine"	"\x00\x00\x00\x00\x00"
"wine:eur_naples:foggia"	"eur_naples"	"wine"	"\x00\x00\x00\x00\x00"
"wine:eur_navarra:aragon"	"eur_navarra"	"wine"	"\x00\x00\x00\x00\x00"
"wine:eur_northern_italy:montepulciano"	"eur_northern_italy"	"wine"	"\x00\x00\x00\x00\x00"
"wine:eur_provence:avignon"	"eur_provence"	"wine"	"\x00\x00\x00\x00\x00"
"wine:eur_sicily:caltanissetta"	"eur_sicily"	"wine"	"\x00\x00\x00\x00\x00"
"wine:eur_spain:valdepenas"	"eur_spain"	"wine"	"\x00\x00\x00\x00\x00"
"wine:ita_lucca:barga"	"ita_lucca"	"timber"	"\x00\x00\x00\x00\x00"
"wine:ita_valle_d_aosta:chatillon"	"ita_valle_d_aosta"	"wine"	"\x00\x00\x00\x00\x00"
"wine:ita_veneto:conegliano"	"ita_veneto"	"wine"	"\x00\x00\x00\x00\x00"
"wine:spa_alentejo:elvas"	"spa_alentejo"	"wine"	"\x00\x00\x00\x00\x00"
"wine:spa_burgos:rioja"	"spa_burgos"	"wine"	"\x00\x00\x00\x00\x00"
"wine:spa_murcia:villarobledo"	"spa_murcia"	"wine"	"\x00\x00\x00\x00\x00"
"wine:spa_pyrenees_orientales:limoux"	"spa_pyrenees_orientales"	"wine"	"\x00\x00\x00\x00\x00"
"wine:spa_zaragoza:borja"	"spa_zaragoza"	"wine"	"\x00\x00\x00\x00\x00"
