version 1, schema battle_terrain_sets_tables
Terrain_Set_ID(string)	unknown1(int)	Season(string)	Colour_Map(string)	Blend_Map(string)	unknown2(optstring)	Cliff_Map(string)	Rock_Map(string)	Tiled_Map(string)	Detail_Map_0(string)	Detail_Map_11(string)	Detail_Map_12(string)	Detail_Map_13(string)	Forest_Underlay(string)	Climate(string)
"Central_Green"	0	"season_summer"	"BattleTerrain/colour_maps/wild3d"	"BattleTerrain/blend_maps/blend_map_lc_am_us_east_lc_eu_central_humid"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Temperaterock"	"BattleTerrain/rock_maps/Temperaterock"	"BattleTerrain/tiled_maps/grass3z"	"BattleTerrain/detail_maps/temp_l0"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/forest_underlays/underlay_lc_am_us_east"	"Temperate"
"Central_Green"	0	"season_winter"	"BattleTerrain/colour_maps/white2"	"BattleTerrain/blend_maps/blend_map_lc_am_us_east_lc_eu_central_humid"	"BattleTerrain/grass_maps/winter_grassmap"	"BattleTerrain/cliff_maps/Temperaterock"	"BattleTerrain/rock_maps/Temperaterock"	"BattleTerrain/tiled_maps/snow6b"	"BattleTerrain/detail_maps/cold_l0"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/forest_underlays/underlay_lc_snow"	"Temperate_winter"
"Central_Green"	1	"season_summer"	"BattleTerrain/colour_maps/wild5zz"	"BattleTerrain/blend_maps/blend_map_lc_am_us_east_lc_eu_central_humid"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Temperaterock"	"BattleTerrain/rock_maps/Temperaterock"	"BattleTerrain/tiled_maps/gras3zz"	"BattleTerrain/detail_maps/temp_l0"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/forest_underlays/underlay_lc_am_us_east"	"Temperate"
"Desert_Dune"	0	"season_summer"	"BattleTerrain/colour_maps/dunas1b"	"BattleTerrain/blend_maps/blend_map_lc_am_us_east_lc_eu_central_humid"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Desertrock2"	"BattleTerrain/rock_maps/Desertrock2"	"BattleTerrain/tiled_maps/sand1"	"BattleTerrain/detail_maps/dry_l0"	"BattleTerrain/detail_maps/dry_l1"	"BattleTerrain/detail_maps/dry_l1"	"BattleTerrain/detail_maps/dry_l1"	"BattleTerrain/forest_underlays/underlay_lc_sand_desert"	"Dry"
"Desert_Dune"	1	"season_summer"	"BattleTerrain/colour_maps/dunas1b"	"BattleTerrain/blend_maps/blend_map_lc_am_us_east_lc_eu_central_humid"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Desertrock2"	"BattleTerrain/rock_maps/Desertrock2"	"BattleTerrain/tiled_maps/dunas1b"	"BattleTerrain/detail_maps/dry_l0"	"BattleTerrain/detail_maps/dry_l1"	"BattleTerrain/detail_maps/dry_l1"	"BattleTerrain/detail_maps/dry_l1"	"BattleTerrain/forest_underlays/underlay_lc_sand_desert"	"Dry"
"Grass"	0	"season_summer"	"BattleTerrain/colour_maps/wild0"	"BattleTerrain/blend_maps/blend_map_lc_eu_south_humid"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Temperaterock"	"BattleTerrain/rock_maps/Temperaterock"	"BattleTerrain/tiled_maps/grass1"	"BattleTerrain/detail_maps/temp_l0"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/forest_underlays/underlay_lc_eu_south_humid"	"Temperate"
"Grass"	0	"season_winter"	"BattleTerrain/colour_maps/white1"	"BattleTerrain/blend_maps/blend_map_lc_eu_south_humid"	"BattleTerrain/grass_maps/winter_grassmap"	"BattleTerrain/cliff_maps/Temperaterock"	"BattleTerrain/rock_maps/Temperaterock"	"BattleTerrain/tiled_maps/snow6z"	"BattleTerrain/detail_maps/cold_l0"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/forest_underlays/underlay_lc_snow"	"Temperate_winter"
"Humid_Forest"	0	"season_summer"	"BattleTerrain/colour_maps/Dark_green"	"BattleTerrain/blend_maps/blend_map_lc_am_jungle_lc_as_temp_humid"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Swamprock3"	"BattleTerrain/rock_maps/Swamprock3"	"BattleTerrain/tiled_maps/greeny"	"BattleTerrain/detail_maps/temp_l0"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/forest_underlays/underlay_lc_am_jungle_lc_as_temp_humid"	"Temperate"
"Humid_Forest"	0	"season_winter"	"BattleTerrain/colour_maps/Wild1ww"	"BattleTerrain/blend_maps/blend_map_lc_am_jungle_lc_as_temp_humid"	"BattleTerrain/grass_maps/winter_grassmap"	"BattleTerrain/cliff_maps/Swamprock3"	"BattleTerrain/rock_maps/Swamprock3"	"BattleTerrain/tiled_maps/Snow2"	"BattleTerrain/detail_maps/cold_l0"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/detail_maps/default_l1"	"BattleTerrain/detail_maps/default_l1"	"BattleTerrain/forest_underlays/underlay_lc_am_jungle_lc_as_temp_humid"	"Temperate_winter"
"India_Arid"	0	"season_summer"	"BattleTerrain/colour_maps/wild3i"	"BattleTerrain/blend_maps/blend_map_lc_as_trop_s_arid"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Aridrock"	"BattleTerrain/rock_maps/Aridrock"	"BattleTerrain/tiled_maps/soil2a"	"BattleTerrain/detail_maps/arid_l0"	"BattleTerrain/detail_maps/arid_l1"	"BattleTerrain/detail_maps/arid_l1"	"BattleTerrain/detail_maps/arid_l1"	"BattleTerrain/forest_underlays/underlay_lc_as_temp_s_arid"	"Arid"
"India_Central"	0	"season_summer"	"BattleTerrain/colour_maps/wild4i"	"BattleTerrain/blend_maps/blend_map_lc_as_temp_s_arid"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Aridrock"	"BattleTerrain/rock_maps/Aridrock"	"BattleTerrain/tiled_maps/soil1a"	"BattleTerrain/detail_maps/arid_l0"	"BattleTerrain/detail_maps/arid_l1"	"BattleTerrain/detail_maps/arid_l1"	"BattleTerrain/detail_maps/arid_l1"	"BattleTerrain/forest_underlays/underlay_lc_as_trop_s_arid"	"Dry"
"Jungle"	0	"season_summer"	"BattleTerrain/colour_maps/Wild1dd"	"BattleTerrain/blend_maps/blend_map_lc_as_trop_humid_lc_am_tropical_humid"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Swamprock2"	"BattleTerrain/rock_maps/Swamprock2"	"BattleTerrain/tiled_maps/Jungle1d"	"BattleTerrain/detail_maps/temp_l0"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/forest_underlays/underlay_lc_as_trop_humid"	"Temperate"
"Lowlands"	0	"season_summer"	"BattleTerrain/colour_maps/wild5"	"BattleTerrain/blend_maps/blend_map_lc_eu_north_s_arid"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Temperaterock"	"BattleTerrain/rock_maps/Temperaterock"	"BattleTerrain/tiled_maps/bark1"	"BattleTerrain/detail_maps/temp_l0"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/forest_underlays/underlay_lc_eu_north_s_arid"	"Temperate"
"Lowlands"	0	"season_winter"	"BattleTerrain/colour_maps/white1"	"BattleTerrain/blend_maps/blend_map_lc_eu_north_s_arid"	"BattleTerrain/grass_maps/winter_grassmap"	"BattleTerrain/cliff_maps/Temperaterock"	"BattleTerrain/rock_maps/Temperaterock"	"BattleTerrain/tiled_maps/snow4"	"BattleTerrain/detail_maps/cold_l0"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/forest_underlays/underlay_lc_snow"	"Temperate_winter"
"Mediteraen_Rural"	0	"season_summer"	"BattleTerrain/colour_maps/basefields3s"	"BattleTerrain/blend_maps/blend_map_lc_mediterranean"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Aridrock"	"BattleTerrain/rock_maps/Aridrock"	"BattleTerrain/tiled_maps/DRY1"	"BattleTerrain/detail_maps/arid_l0"	"BattleTerrain/detail_maps/arid_l1"	"BattleTerrain/detail_maps/arid_l1"	"BattleTerrain/detail_maps/arid_l1"	"BattleTerrain/forest_underlays/underlay_lc_mediterranean"	"mediterranean"
"Mediteraen_Rural"	1	"season_summer"	"BattleTerrain/colour_maps/BASE_BROWN1"	"BattleTerrain/blend_maps/blend_map_lc_eu_south_s_arid"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Aridrock2"	"BattleTerrain/rock_maps/Aridrock2"	"BattleTerrain/tiled_maps/grass1bb"	"BattleTerrain/detail_maps/arid_l0"	"BattleTerrain/detail_maps/arid_l1"	"BattleTerrain/detail_maps/arid_l1"	"BattleTerrain/detail_maps/arid_l1"	"BattleTerrain/forest_underlays/underlay_lc_mediterranean"	"Arid"
"Moorland_Rocky"	0	"season_summer"	"BattleTerrain/colour_maps/wild3dd"	"BattleTerrain/blend_maps/blend_map_lc_boreal"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Temperaterock"	"BattleTerrain/rock_maps/Temperaterock"	"BattleTerrain/tiled_maps/rocky2b"	"BattleTerrain/detail_maps/temp_l0"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/forest_underlays/underlay_lc_boreal"	"Alpine"
"Moorland_Rocky"	0	"season_winter"	"BattleTerrain/colour_maps/white2"	"BattleTerrain/blend_maps/blend_map_lc_boreal"	"BattleTerrain/grass_maps/winter_grassmap"	"BattleTerrain/cliff_maps/Temperaterock"	"BattleTerrain/rock_maps/Temperaterock"	"BattleTerrain/tiled_maps/snow1"	"BattleTerrain/detail_maps/cold_l0"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/forest_underlays/underlay_lc_snow"	"Alpine_winter"
"Prairie"	0	"season_summer"	"BattleTerrain/colour_maps/wild4"	"BattleTerrain/blend_maps/blend_map_lc_steppe_lc_am_great_plains"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Temperaterock"	"BattleTerrain/rock_maps/Temperaterock"	"BattleTerrain/tiled_maps/grass2c"	"BattleTerrain/detail_maps/temp_l0"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/forest_underlays/underlay_lc_steppe_lc_am_great_plains"	"Temperate"
"Prairie"	0	"season_winter"	"BattleTerrain/colour_maps/white1"	"BattleTerrain/blend_maps/blend_map_lc_steppe_lc_am_great_plains"	"BattleTerrain/grass_maps/winter_grassmap"	"BattleTerrain/cliff_maps/Temperaterock"	"BattleTerrain/rock_maps/Temperaterock"	"BattleTerrain/tiled_maps/snow4"	"BattleTerrain/detail_maps/cold_l0"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/forest_underlays/underlay_lc_snow"	"Temperate_winter"
"Prairie"	1	"season_summer"	"BattleTerrain/colour_maps/wild4z"	"BattleTerrain/blend_maps/blend_map_lc_steppe_lc_am_great_plains"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Temperaterock"	"BattleTerrain/rock_maps/Temperaterock"	"BattleTerrain/tiled_maps/grass2PP"	"BattleTerrain/detail_maps/temp_l0"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/forest_underlays/underlay_lc_steppe_lc_am_great_plains"	"Temperate"
"Red_Desert"	0	"season_summer"	"BattleTerrain/colour_maps/Desert2b"	"BattleTerrain/blend_maps/blend_map_lc_am_desert"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Desertrock"	"BattleTerrain/rock_maps/Desertrock"	"BattleTerrain/tiled_maps/dry1bb"	"BattleTerrain/detail_maps/dry_l0"	"BattleTerrain/detail_maps/dry_l1"	"BattleTerrain/detail_maps/dry_l1"	"BattleTerrain/detail_maps/dry_l1"	"BattleTerrain/forest_underlays/underlay_lc_am_desert"	"Dry"
"Red_Desert"	1	"season_summer"	"BattleTerrain/colour_maps/blue1e"	"BattleTerrain/blend_maps/blend_map_lc_am_desert"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Desertrock"	"BattleTerrain/rock_maps/Desertrock"	"BattleTerrain/tiled_maps/soil1"	"BattleTerrain/detail_maps/dry_l0"	"BattleTerrain/detail_maps/dry_l1"	"BattleTerrain/detail_maps/dry_l1"	"BattleTerrain/detail_maps/dry_l1"	"BattleTerrain/forest_underlays/underlay_lc_am_desert"	"Dry"
"Rocky_Desert"	0	"season_summer"	"BattleTerrain/colour_maps/Desert1"	"BattleTerrain/blend_maps/blend_map_lc_desert"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Desertrock2"	"BattleTerrain/rock_maps/Desertrock2"	"BattleTerrain/tiled_maps/earth2b"	"BattleTerrain/detail_maps/dry_l0"	"BattleTerrain/detail_maps/dry_l1"	"BattleTerrain/detail_maps/dry_l1"	"BattleTerrain/detail_maps/dry_l1"	"BattleTerrain/forest_underlays/underlay_lc_desert"	"Dry"
"Rocky_Desert"	1	"season_summer"	"BattleTerrain/colour_maps/mex1"	"BattleTerrain/blend_maps/blend_map_lc_desert"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Desertrock2"	"BattleTerrain/rock_maps/Desertrock2"	"BattleTerrain/tiled_maps/soil3"	"BattleTerrain/detail_maps/dry_l0"	"BattleTerrain/detail_maps/dry_l1"	"BattleTerrain/detail_maps/dry_l1"	"BattleTerrain/detail_maps/dry_l1"	"BattleTerrain/forest_underlays/underlay_lc_desert"	"Dry"
"Savannah"	0	"season_summer"	"BattleTerrain/colour_maps/wet2"	"BattleTerrain/blend_maps/blend_map_lc_am_s_arid"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Aridrock2"	"BattleTerrain/rock_maps/Aridrock2"	"BattleTerrain/tiled_maps/savannah1"	"BattleTerrain/detail_maps/arid_l0"	"BattleTerrain/detail_maps/arid_l1"	"BattleTerrain/detail_maps/arid_l1"	"BattleTerrain/detail_maps/arid_l1"	"BattleTerrain/forest_underlays/underlay_lc_am_s_arid"	"Arid"
"Snow_Patches"	0	"season_summer"	"BattleTerrain/colour_maps/wild1z"	"BattleTerrain/blend_maps/blank"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Temperaterock"	"BattleTerrain/rock_maps/Temperaterock"	"BattleTerrain/tiled_maps/snow3b"	"BattleTerrain/detail_maps/cold_l0"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/forest_underlays/underlay_lc_snow"	"Cold"
"Snow_Patches"	1	"season_summer"	"BattleTerrain/colour_maps/Wild1ww"	"BattleTerrain/blend_maps/blank"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Temperaterock"	"BattleTerrain/rock_maps/Temperaterock"	"BattleTerrain/tiled_maps/snow2c"	"BattleTerrain/detail_maps/cold_l0"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/forest_underlays/underlay_lc_snow"	"Cold"
"Snow_Plains"	0	"season_summer"	"BattleTerrain/colour_maps/white1"	"BattleTerrain/blend_maps/blank"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Temperaterock"	"BattleTerrain/rock_maps/Temperaterock"	"BattleTerrain/tiled_maps/snow1"	"BattleTerrain/detail_maps/cold_l0"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/forest_underlays/underlay_lc_snow"	"Cold"
"Snow_Plains"	1	"season_summer"	"BattleTerrain/colour_maps/Wild1w"	"BattleTerrain/blend_maps/blank"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Temperaterock"	"BattleTerrain/rock_maps/Temperaterock"	"BattleTerrain/tiled_maps/Snow2"	"BattleTerrain/detail_maps/cold_l0"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/forest_underlays/underlay_lc_snow"	"Cold"
"Snow_Plains"	2	"season_summer"	"BattleTerrain/colour_maps/white1"	"BattleTerrain/blend_maps/blank"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Temperaterock"	"BattleTerrain/rock_maps/Temperaterock"	"BattleTerrain/tiled_maps/snow4"	"BattleTerrain/detail_maps/cold_l0"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/forest_underlays/underlay_lc_snow"	"Cold"
"Tundra_Frozen"	0	"season_winter"	"BattleTerrain/colour_maps/wild1z"	"BattleTerrain/blend_maps/blend_map_lc_tundra"	"BattleTerrain/grass_maps/winter_grassmap"	"BattleTerrain/cliff_maps/Temporaterock2"	"BattleTerrain/rock_maps/Temporaterock2"	"BattleTerrain/tiled_maps/snow3x"	"BattleTerrain/detail_maps/cold_l0"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/forest_underlays/underlay_lc_snow"	"Alpine_winter"
"Tundra_Frozen"	1	"season_summer"	"BattleTerrain/colour_maps/wild4z"	"BattleTerrain/blend_maps/blend_map_lc_tundra"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Temporaterock2"	"BattleTerrain/rock_maps/Temporaterock2"	"BattleTerrain/tiled_maps/speckle2"	"BattleTerrain/detail_maps/cold_l0"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/forest_underlays/underlay_lc_tundra"	"Alpine"
"Tundra_Frozen"	2	"season_summer"	"BattleTerrain/colour_maps/wild3b"	"BattleTerrain/blend_maps/blend_map_lc_tundra"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Temporaterock2"	"BattleTerrain/rock_maps/Temporaterock2"	"BattleTerrain/tiled_maps/grass1bx"	"BattleTerrain/detail_maps/cold_l0"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/forest_underlays/underlay_lc_tundra"	"Alpine"
"Wet_Swamps"	0	"season_summer"	"BattleTerrain/colour_maps/Swamp2"	"BattleTerrain/blend_maps/blank"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Swamprsock3"	"BattleTerrain/rock_maps/Swamprsock3"	"BattleTerrain/tiled_maps/speckle1"	"BattleTerrain/detail_maps/temp_l0"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/forest_underlays/wild3d"	"Temperate"
"Wet_Swamps"	0	"season_winter"	"BattleTerrain/colour_maps/Wild1ww"	"BattleTerrain/blend_maps/blank"	"BattleTerrain/grass_maps/winter_grassmap"	"BattleTerrain/cliff_maps/Swamprsock3"	"BattleTerrain/rock_maps/Swamprsock3"	"BattleTerrain/tiled_maps/Snow2c"	"BattleTerrain/detail_maps/cold_l0"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/detail_maps/default_l1"	"BattleTerrain/detail_maps/default_l1"	"BattleTerrain/forest_underlays/wild3d"	"Temperate_winter"
"Central_Green"	0	"season_autumn"	"BattleTerrain/colour_maps/wild3d"	"BattleTerrain/blend_maps/blend_map_lc_am_us_east_lc_eu_central_humid"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Temperaterock"	"BattleTerrain/rock_maps/Temperaterock"	"BattleTerrain/tiled_maps/grass3z"	"BattleTerrain/detail_maps/temp_l0"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/forest_underlays/autumn/underlay_lc_am_se_usa_autumn"	"Temperate"
