version 1, schema _kv_rules_tables, guid 3ba5be94-3130-448a-a198-d455aee51581
Key(string)	Value(float)
"projectile_incendiary_chance_medium"	0.001999999862164259
"relative_melee_experience_multiplier"	2
"relative_melee_height_delta_divisor"	0.04
"reload_rate_bow_modifier_rain"	0
"reload_rate_bow_modifier_snow"	0
"reload_rate_gun_modifier_rain"	-6
"reload_rate_gun_modifier_snow"	0
"ship_bonus_close_mod"	5
"ship_bonus_range"	0.2
"ship_chance_of_fire_rain_multiplier"	0.5
"ship_combustion_rain_multiplier"	2
"ship_on_fire_combustion_modifier"	0.5
"ship_on_fire_hit_points_per_second_multiplier"	0.01
"ship_penalty_far_mod"	1
"ship_penalty_range"	1
"ship_ramming_damage_randomiser"	0
"ship_repair_max_percentage"	0.75
"ship_repair_percentage_per_update"	0.125
"ship_repair_rate"	4
"ship_static_target_accuracy_modifier"	2
