version 3, schema ui_unit_stat_to_classes_tables, guid 3429be4c-2989-4c35-8315-678e78ffea41
unknown1(string)	unknown2(string)	unknown3(int)
"morale"	"infantry_spearman"	6
"morale"	"infantry_special"	5
"morale"	"infantry_sword"	5
"morale"	"naval_admiral"	8
"morale"	"naval_cannon_ship"	8
"morale"	"naval_corvette"	8
"morale"	"naval_frigate"	8
"morale"	"naval_galleon"	8
"morale"	"naval_gunboat"	8
"morale"	"naval_heavy_ship"	8
"morale"	"naval_ironclad"	8
"morale"	"naval_light_ship"	8
"morale"	"naval_medium_ship"	8
"morale"	"naval_torpedoboat"	8
"morale"	"naval_trade_ship"	6
"morale"	"siege"	9
"range"	"artillery_fixed"	6
"range"	"artillery_foot"	6
"range"	"cavalry_missile"	6
"range"	"general"	6
"range"	"infantry_bow"	6
"range"	"infantry_elite"	6
"range"	"infantry_light"	6
"range"	"infantry_line"	6
"range"	"infantry_matchlock"	6
"range"	"infantry_militia"	6
"range"	"infantry_special"	6
"range"	"siege"	6
"reload_skill"	"artillery_fixed"	9
"reload_skill"	"artillery_foot"	9
"reload_skill"	"cavalry_missile"	9
"reload_skill"	"general"	9
"reload_skill"	"infantry_bow"	9
"reload_skill"	"infantry_elite"	9
"reload_skill"	"infantry_light"	9
"reload_skill"	"infantry_line"	9
"reload_skill"	"infantry_matchlock"	9
"reload_skill"	"infantry_militia"	9
"reload_skill"	"infantry_special"	9
"reload_skill"	"siege"	9
"ship_cannon_range"	"naval_cannon_ship"	2
"ship_cannon_range"	"naval_corvette"	2
"ship_cannon_range"	"naval_frigate"	2
"ship_cannon_range"	"naval_galleon"	2
"ship_cannon_range"	"naval_gunboat"	2
"ship_cannon_range"	"naval_ironclad"	2
"ship_cannon_range"	"naval_torpedoboat"	2
"ship_cannons"	"naval_cannon_ship"	1
"ship_cannons"	"naval_corvette"	1
"ship_cannons"	"naval_frigate"	1
"ship_cannons"	"naval_galleon"	1
"ship_cannons"	"naval_gunboat"	1
"ship_cannons"	"naval_ironclad"	1
"ship_cannons"	"naval_torpedoboat"	1
"ship_hull_strength"	"naval_admiral"	5
"ship_hull_strength"	"naval_cannon_ship"	5
"ship_hull_strength"	"naval_corvette"	5
"ship_hull_strength"	"naval_frigate"	5
"ship_hull_strength"	"naval_galleon"	5
"ship_hull_strength"	"naval_gunboat"	5
"ship_hull_strength"	"naval_heavy_ship"	5
"ship_hull_strength"	"naval_ironclad"	5
"ship_hull_strength"	"naval_light_ship"	5
"ship_hull_strength"	"naval_medium_ship"	5
"ship_hull_strength"	"naval_torpedoboat"	5
"ship_hull_strength"	"naval_trade_ship"	3
"ship_manouverability"	"naval_admiral"	6
"ship_manouverability"	"naval_cannon_ship"	6
"ship_manouverability"	"naval_corvette"	6
"ship_manouverability"	"naval_frigate"	6
"ship_manouverability"	"naval_galleon"	6
"ship_manouverability"	"naval_gunboat"	6
"ship_manouverability"	"naval_heavy_ship"	6
"ship_manouverability"	"naval_ironclad"	6
"ship_manouverability"	"naval_light_ship"	6
"ship_manouverability"	"naval_medium_ship"	6
"ship_manouverability"	"naval_torpedoboat"	6
"ship_manouverability"	"naval_trade_ship"	4
"ship_missile_troop_marksmanship"	"naval_admiral"	2
"ship_missile_troop_marksmanship"	"naval_heavy_ship"	2
"ship_missile_troop_marksmanship"	"naval_light_ship"	2
"ship_missile_troop_marksmanship"	"naval_medium_ship"	2
"ship_missile_troop_range"	"naval_admiral"	1
"ship_missile_troop_range"	"naval_heavy_ship"	1
"ship_missile_troop_range"	"naval_light_ship"	1
"ship_missile_troop_range"	"naval_medium_ship"	1
"ship_soldier_melee_attack"	"naval_admiral"	3
"ship_soldier_melee_attack"	"naval_cannon_ship"	3
"ship_soldier_melee_attack"	"naval_corvette"	0
"ship_soldier_melee_attack"	"naval_frigate"	0
"ship_soldier_melee_attack"	"naval_galleon"	3
"ship_soldier_melee_attack"	"naval_gunboat"	3
"ship_soldier_melee_attack"	"naval_heavy_ship"	3
"ship_soldier_melee_attack"	"naval_ironclad"	3
"ship_soldier_melee_attack"	"naval_light_ship"	3
"ship_soldier_melee_attack"	"naval_medium_ship"	3
"ship_soldier_melee_attack"	"naval_torpedoboat"	3
"ship_soldier_melee_attack"	"naval_trade_ship"	1
"ship_soldier_melee_defence"	"naval_admiral"	4
"ship_soldier_melee_defence"	"naval_cannon_ship"	4
"ship_soldier_melee_defence"	"naval_corvette"	4
"ship_soldier_melee_defence"	"naval_frigate"	4
"ship_soldier_melee_defence"	"naval_galleon"	4
"ship_soldier_melee_defence"	"naval_gunboat"	4
"ship_soldier_melee_defence"	"naval_heavy_ship"	4
"ship_soldier_melee_defence"	"naval_ironclad"	4
"ship_soldier_melee_defence"	"naval_light_ship"	4
"ship_soldier_melee_defence"	"naval_medium_ship"	4
"ship_soldier_melee_defence"	"naval_torpedoboat"	4
"ship_soldier_melee_defence"	"naval_trade_ship"	2
