version 1, schema building_culture_gov_type_variants_tables
Building_IDRef(string)	Culture(string)	Gov_Type(string)	artpiece(optstring)	Unknown1(boolean)	Description(string)	icon(optstring)
"royal_academy"	"european"	"gov_constitutional_monarchy"	"EU_city_culture_lvl4_academy"	false	"royal_academy_european_gov_absolute_monarchy"	"EU_city_culture_lvl4_academy"
"royal_academy"	"european"	"gov_republic"	"EU_city_culture_lvl4_academy"	false	"royal_academy_european_gov_absolute_monarchy"	"EU_city_culture_lvl4_academy"
"royal_academy"	"indian"	"gov_absolute_monarchy"	"IND_city_culture_lvl4_academy"	false	"royal_academy_european_gov_absolute_monarchy"	"IND_city_culture_lvl4_academy"
"royal_academy"	"indian"	"gov_constitutional_monarchy"	"IND_city_culture_lvl4_academy"	false	"royal_academy_european_gov_absolute_monarchy"	"IND_city_culture_lvl4_academy"
"royal_academy"	"indian"	"gov_republic"	"IND_city_culture_lvl4_academy"	false	"royal_academy_european_gov_absolute_monarchy"	"IND_city_culture_lvl4_academy"
"royal_academy"	"middle_east"	"gov_absolute_monarchy"	"OTT_city_culture_lvl4_academy"	false	"royal_academy_european_gov_absolute_monarchy"	"OTT_city_culture_lvl4_academy"
"royal_academy"	"middle_east"	"gov_constitutional_monarchy"	"OTT_city_culture_lvl4_academy"	false	"royal_academy_european_gov_absolute_monarchy"	"OTT_city_culture_lvl4_academy"
"royal_academy"	"middle_east"	"gov_republic"	"OTT_city_culture_lvl4_academy"	false	"royal_academy_european_gov_absolute_monarchy"	"OTT_city_culture_lvl4_academy"
"royal_observatory"	"european"	"gov_absolute_monarchy"	"EU_city_culture_lvl3_observatory"	false	"royal_observatory_european_gov_absolute_monarchy"	"EU_city_culture_lvl3_observatory"
"royal_observatory"	"european"	"gov_constitutional_monarchy"	"EU_city_culture_lvl3_observatory"	false	"royal_observatory_european_gov_absolute_monarchy"	"EU_city_culture_lvl3_observatory"
"royal_observatory"	"european"	"gov_republic"	"EU_city_culture_lvl3_observatory"	false	"royal_observatory_european_gov_absolute_monarchy"	"EU_city_culture_lvl3_observatory"
"royal_observatory"	"indian"	"gov_absolute_monarchy"	"IND_city_culture_lvl3_observatory"	false	"royal_observatory_european_gov_absolute_monarchy"	"IND_city_culture_lvl3_observatory"
"royal_observatory"	"indian"	"gov_constitutional_monarchy"	"IND_city_culture_lvl3_observatory"	false	"royal_observatory_european_gov_absolute_monarchy"	"IND_city_culture_lvl3_observatory"
"royal_observatory"	"indian"	"gov_republic"	"IND_city_culture_lvl3_observatory"	false	"royal_observatory_european_gov_absolute_monarchy"	"IND_city_culture_lvl3_observatory"
"royal_observatory"	"middle_east"	"gov_absolute_monarchy"	"OTT_city_culture_lvl3_observatory"	false	"royal_observatory_european_gov_absolute_monarchy"	"OTT_city_culture_lvl3_observatory"
"royal_observatory"	"middle_east"	"gov_constitutional_monarchy"	"OTT_city_culture_lvl3_observatory"	false	"royal_observatory_european_gov_absolute_monarchy"	"OTT_city_culture_lvl3_observatory"
"royal_observatory"	"middle_east"	"gov_republic"	"OTT_city_culture_lvl3_observatory"	false	"royal_observatory_european_gov_absolute_monarchy"	"OTT_city_culture_lvl3_observatory"
"royal_palace"	"european"	"gov_absolute_monarchy"	"EU_city_government_lvl5"	false	"royal_palace_european_gov_absolute_monarchy"	"EU_city_government_lvl5"
"royal_palace"	"european"	"gov_constitutional_monarchy"	"EU_city_government_lvl5"	false	"royal_palace_european_gov_constitutional_monarchy"	"EU_city_government_lvl5"
"royal_palace"	"european"	"gov_republic"	"EU_city_government_lvl5"	false	"royal_palace_european_gov_republic"	"EU_city_government_lvl5"
"royal_palace"	"indian"	"gov_absolute_monarchy"	"IND_city_government_lvl5"	false	"royal_palace_european_gov_absolute_monarchy"	"IND_city_government_lvl5"
"royal_palace"	"indian"	"gov_constitutional_monarchy"	"IND_city_government_lvl5"	false	"royal_palace_european_gov_constitutional_monarchy"	"IND_city_government_lvl5"
"royal_palace"	"indian"	"gov_republic"	"IND_city_government_lvl5"	false	"royal_palace_european_gov_republic"	"IND_city_government_lvl5"
"royal_palace"	"middle_east"	"gov_absolute_monarchy"	"OTT_city_government_lvl5"	false	"royal_palace_european_gov_absolute_monarchy"	"OTT_city_government_lvl5"
"royal_palace"	"middle_east"	"gov_constitutional_monarchy"	"OTT_city_government_lvl5"	false	"royal_palace_european_gov_constitutional_monarchy"	"OTT_city_government_lvl5"
"royal_palace"	"middle_east"	"gov_republic"	"OTT_city_government_lvl5"	false	"royal_palace_european_gov_republic"	"OTT_city_government_lvl5"
