version 1, schema gun_types_tables
Gun_ID(string)	Battle_x0020_Entity(string)	GunID(string)	Animation_table(string)	unknown3(string)	Model_Gun_x0020_Destroyed(string)	Animation_Gun_x0020_Destruction(string)	Animation_Gun(string)
"naval_carronade_32_pounder"	"naval_cannon"	"euro_carronade"	"engine_naval_cannon"	"euro_gun"	"Naval_Cannon_destructed"	"Naval_Cannon_Destruction"	"Naval_Deck_Cannon"
"naval_carronade_64_pounder"	"naval_cannon"	"euro_carronade"	"engine_naval_cannon"	"euro_gun"	"Naval_Cannon_destructed"	"Naval_Cannon_Destruction"	"Naval_Deck_Cannon"
"naval_mortar"	"naval_fixed"	"Mortar_mortar_8inch"	"engine_mortar"	"euro_gun"	"mortar_destroyed_model_4inch"	"mortar_4inch_destruction"	"Mortar"
"naval_rocket_launcher"	"naval_fixed"	"rocket"	"engine_rocket"	"euro_gun"	"rocket_destructed_model"	"rocket_destruction"	"Rocket"
"ott_cannon_12_pounder"	"artillery_light"	"Ott_Field_Cannon_12lb"	"engine_cannon"	"euro_gun"	"ottoman_field_cannon_destroyed_model_12lb"	"ott_field_cannon_12lb_destruction"	"Land_Cannon"
"ott_cannon_18_pounder"	"artillery_light"	"Ott_Field_Cannon_18lb"	"engine_cannon"	"euro_gun"	"ottoman_field_cannon_destroyed_model_18lb"	"ott_field_cannon_18lb_destruction"	"Land_Cannon"
"ott_cannon_24_pounder"	"artillery_light"	"Ott_Field_Cannon_24lb"	"engine_cannon"	"euro_gun"	"ottoman_field_cannon_destroyed_model_24lb"	"ott_field_cannon_24lb_destruction"	"Land_Cannon"
"ott_cannon_3_pounder"	"artillery_light"	"Ott_Field_Cannon_3lb"	"engine_cannon"	"euro_gun"	"ottoman_field_cannon_destroyed_model_3lb"	"ott_field_cannon_3lb_destruction"	"Land_Cannon"
"ott_cannon_32_pounder"	"artillery_light"	"Ott_Field_Cannon_32lb"	"engine_cannon"	"euro_gun"	"ottoman_field_cannon_destroyed_model_32lb"	"ott_field_cannon_32lb_destruction"	"Land_Cannon"
"ott_cannon_9_pounder"	"artillery_light"	"Ott_Field_Cannon_9lb"	"engine_cannon"	"euro_gun"	"ottoman_field_cannon_destroyed_model_9lb"	"ott_field_cannon_9lb_destruction"	"Land_Cannon"
"ott_howitzer_12_pounder"	"artillery_medium"	"Ott_howitzer_12lb"	"engine_cannon"	"euro_gun"	"ottoman_howitzer_destroyed_model_12lb"	"ott_howitzer_12lb_destruction"	"Howitzer"
"ott_howitzer_24_pounder"	"artillery_medium"	"Ott_howitzer_24lb"	"engine_cannon"	"euro_gun"	"ottoman_howitzer_destroyed_model_24lb"	"ott_howitzer_24lb_destruction"	"Howitzer"
"ott_mortar_4"	"artillery_fixed"	"Ott_mortar_4inch"	"engine_mortar"	"euro_gun"	"ottoman_mortar_destroyed_model_4inch"	"ott_mortar_4inch_destruction"	"Mortar"
"ott_mortar_8"	"artillery_fixed"	"Ott_mortar_8inch"	"engine_mortar"	"euro_gun"	"ottoman_mortar_destroyed_model_8inch"	"ott_mortar_8inch_destruction"	"Mortar"
"ottoman_great_cannon"	"artillery_fixed"	"ottoman_organ_gun"	"engine_cannon"	"euro_gun"	"ottoman_organ_gun_destroyed_model"	"ottoman_organ_gun_destruction"	"Land_Cannon"
"puckle"	"artillery_light"	"puckle_barrel"	"engine_puckle"	"euro_gun"	"Field_Cannon_Model_24lb_destructed"	"Field_Cannon_24lb_destruction"	"Puckle"
"rockets_camel"	"artillery_medium"	"cannon"	"engine_rocket"	"euro_gun"	"Field_Cannon_Model_24lb_destructed"	"Field_Cannon_24lb_destruction"	"Rocket"
"rockets_carriage"	"artillery_fixed"	"cannon"	"engine_rocket"	"euro_gun"	"Field_Cannon_Model_24lb_destructed"	"Field_Cannon_24lb_destruction"	"Rocket"
"rockets_fixed"	"artillery_fixed"	"rocket"	"engine_rocket"	"euro_gun"	"rocket_destructed_model"	"rocket_destruction"	"Rocket"
"siege_cannon_64_pounder"	"artillery_fixed"	"field_cannon_64lb"	"engine_cannon"	"euro_gun"	"64lb_gun_model_destructed_model"	"field_cannon_64lb_destruction"	"Land_Cannon"
