version 2, schema dilemmas_tables, guid 1400f62e-ccab-4c6a-acc2-526615181d1a
unknown1(boolean)	unknown2(string)	unknown3(string)	unknown4(string)	unknown5(string)	unknown6(string)	unknown7(string)	unknown8(string)	unknown9(string)	unknown10(string)	unknown11(boolean)
true	"d_bos_rangaku"	"My lord, a man with a passion for rangaku - learning born of our dealings with the Dutch - has been promoting western ideals and technology, believing them to be key to our national development."	"Western learning might benefit us greatly, even if we disapprove of the gaijin's crude and self-serving ways."	"The foreigners have caused us much turmoil of late and we will not have their misconceptions cloud the people's minds. He must be silenced!"	"Rangaku"	"bos_message_modernisation_positive_active.tga"	"bos_generic.TGA"	"Encourage"	"Assassinate Him"	false
true	"d_bos_sakai_incident"	"Disturbing news, my lord. Twelve French seamen have been murdered in Sakai, near Osaka. It falls under our jurisdiction, and the French are demanding we pay damages."	"We cannot afford to damage trade relations with the West for the sake of a few murderers. We will pay damages, see that the culprits are punished."	"We cannot be held responsible for the consequences of foreign indiscretion, regardless of the severity."	"The Sakai Incident"	"bos_message_diplomacy_negative_active.tga"	"bos_westerner.TGA"	"Compensate"	"Do Nothing"	false
true	"d_bos_sensosai"	"Hoping to ease tensions within our domain, elders have requested that we invest in this years Sensosai in honour of our noble ancestors."	"A wonderful idea; grand festivities will help ease the minds of the people, if only for a while."	"We haven't the resources to spare at this time. Public order will have to be dealt with by other means."	"Sensosai"	"bos_message_generic_positive_active.tga"	"bos_generic.TGA"	"Invest"	"Ignore"	false
true	"d_bos_shogun_foreign_artillery_expert"	"A French ordnance expert going by the name of Clateau is offering - for a price - to help improve our use of artillery."	"We need all the help we can get in this conflict. Pay the man, may he show us his artillery skills."	"We have no need for his services."	"Clateau"	"bos_message_diplomacy_positive_active.tga"	"bos_westerner.TGA"	"Engage"	"Decline"	false
true	"d_bos_shogun_province_security"	"Public order in this province is low, and Imperialist insurgents have been attempting to capitalise on the situation in order to promote anti-Shogunate dissent. It could be wise to invest in additional policing."	"A wise plan. We will invest in security at once."	"Nonsense! The Imperialists hold no sway over our people, we will deal their discontent in due course."	"Security Matters"	"bos_message_army_negative_active.tga"	"bos_generic.TGA"	"Invest"	"Ignore"	false
false	"d_bos_shogun_realm_divide"	"Conflict has escalated, and our domain has grown strong serving the Shogun. A decision must now be made: how best to unify the people of Japan once and for all?"	"The Shogun must lead his people to greatness. In his name, we will crush all those who oppose us!"	"Enough of this! Never again will we submit to these so-called rulers. Let us take our people's future into our own hands."	"Realm Divide"	"bos_message_allegiance_shogun_positive_active.tga"	"bos_shogun.TGA"	"Fight for the Shogun"	"Assume Personal Control"	false
true	"d_bos_shogun_ronin"	"A band of samurai, loyal to the Shogun and eager to serve, are seeking employment."	"They will have their chance to serve the Shogun; employ them at once."	"We currently have no need for their services; they will have to seek their fortunes elsewhere."	"Ronin"	"bos_message_army_positive_active.tga"	"bos_army_victory.tga"	"Employ Them"	"Turn Them Away"	false
true	"d_bos_shogun_shinsengumi"	"Kondo Isami, head of the shinsengumi - staunch enforcers of the Shogun's will - is seeking to strengthen his ranks. He is appealing to Shogunate loyalists to assist in his recruitment drive."	"We will do whatever it takes to protect the Shogunate's interests. Let us assist him in his mission."	"Unfortunately, we haven't the means to assist the shinsengumi at the moment."	"The Newly-selected Corps"	"bos_message_shinsengumi_positive_active.tga"	"bos_army.tga"	"Accept"	"Decline"	false
true	"d_bos_student_exchange"	"There is an opportunity to send some of our subjects abroad to study under western scholars."	"Here is a way to improve international relations and cultural exchange at the same time. We await word of their travels with baited breath!"	"There are currently more pressing domestic issues needing our attention. Perhaps later?"	"Student Exchange"	"bos_message_diplomacy_positive_active.tga"	"bos_navy.tga"	"Send Students Abroad"	"Do Nothing"	false
true	"d_bos_sword_abolishment"	"These are dark times, my lord. Murder abounds: murder of foreigners; murder over petty matters of class; murder for political ideals. It may be necessary to forbid the carrying of weapons amongst the people."	"Agreed. See to it that none but those serving in the military may bear arms."	"In troubled times such as these it is the right of all to bear arms in defence, to say nothing of tradition. We will take no such action."	"Haitorei"	"bos_message_conflict_negative_active.tga"	"bos_generic.TGA"	"Abolishment of Swords"	"Do Nothing"	false
true	"d_bos_treaty_america_initial"	"We have been approached by the United States. They have offered to establish a military mission here to improve our military potential and improve trade relations. \\n\\nBy accepting we forego the opportunity to establish a military mission with other western powers."	"Such a military understanding will be a great asset to our cause. We accept."	"We need time to consider the options. Inform them that - for the time being at least - we decline."	"United States Military Mission"	"bos_message_american_active.tga"	"bos_westerner.TGA"	"Accept"	"Defer"	true
true	"d_bos_treaty_american_repeat"	"Once more, the United States have offered to establish a military mission here to improve our military potential and improve trade relations. Should we decline again, I fear that they will not offer again.\\n\\nBy accepting we forego the opportunity to establish a military mission with other western powers."	"Such a military understanding will be a great asset to our cause. We accept."	"We cannot accept. Convey our regrets to the United States ambassador."	"United States Military Mission"	"bos_message_american_active.tga"	"bos_westerner.TGA"	"Accept"	"Refuse"	true
true	"d_bos_treaty_britain_initial"	"We have been approached by the British. Staunch supporters of the Emperor, they have offered to establish a military mission here to improve our military potential and improve trade relations.\\n\\nBy accepting we forego the opportunity to establish a military mission with other western powers."	"Such a military understanding will be a great asset to our cause. We accept."	"We need time to consider the options. Inform them that - for the time being at least - we decline."	"British Military Mission"	"bos_message_british_active.tga"	"bos_westerner.TGA"	"Accept"	"Defer"	true
true	"d_bos_treaty_britain_repeat"	"Once more, the British have offered to establish a military mission here to improve our military potential and improve trade relations. Should we decline again, I fear that they will not offer again.\\n\\nBy accepting we forego the opportunity to establish a military mission with other western powers."	"Such a military understanding will be a great asset to our cause. We accept."	"We cannot accept. Convey our regrets to the British ambassador."	"British Military Mission"	"bos_message_british_active.tga"	"bos_westerner.TGA"	"Accept"	"Refuse"	true
true	"d_bos_treaty_france_initial"	"We have been approached by the French. Staunch supporters of the Shogun, they have offered to establish a military mission here to improve our military potential and improve trade relations.\\n\\nBy accepting we forego the opportunity to establish a military mission with other western powers."	"Such a military understanding will be a great asset to our cause. We accept."	"We need time to consider the options. Inform them that - for the time being at least - we decline."	"French Military Mission"	"bos_message_french_active.tga"	"bos_westerner.TGA"	"Accept"	"Defer"	true
true	"d_bos_treaty_france_repeat"	"Once more, the French have offered to establish a military mission here to improve our military potential and improve trade relations. Should we decline again, I fear that they will not offer again.\\n\\nBy accepting we forego the opportunity to establish a military mission with other western powers."	"Such a military understanding will be a great asset to our cause. We accept."	"We cannot accept. Convey our regrets to the French ambassador."	"French Military Mission"	"bos_message_french_active.tga"	"bos_westerner.TGA"	"Accept"	"Refuse"	true
true	"d_bos_western_economics"	"Despite the furore surrounding the opening of our ports to the West, we cannot deny the benefits of having access to their knowledge of economics.\\n\\nIn which area should we focus our research?"	"We should work towards boosting production."	"We should investigate improved methods of distribution."	"Western Economics"	"bos_message_trade_positive_active.tga"	"bos_modernisation.TGA"	"Production"	"Distribution"	false
true	"d_bos_western_engineering"	"Despite the furore surrounding the opening of our ports to the West, we cannot deny the benefits of having access to their knowledge of engineering.\\n\\nIn which field should we focus our research?"	"Construction and development will benefit from a better understanding of civil engineering."	"Our war effort will benefit from a better understanding of military engineering."	"Western Engineering"	"bos_message_modernisation_positive_active.tga"	"bos_modernisation.TGA"	"Civil"	"Military"	false
true	"d_bos_western_exploitation"	"I must speak with you, my lord. The unequal trade agreements established with the western powers have greatly harmed our economy; the people toil diligently, yet they receive little compensation. Is there nothing we can do?"	"This is a sad state of affairs. We will appeal to the westerners to improve the situation."	"By approaching them at this time we risk deterioration of important long-term relations with the West."	"Unequal Treaties"	"bos_message_diplomacy_negative_active.tga"	"bos_westerner.TGA"	"Appeal to the Westerners"	"Do Nothing"	false
true	"d_bos_western_science"	"Despite the furore surrounding the opening of our ports to the West, we cannot deny the benefits of having access to their scientific knowledge.\\n\\nIn which field should we focus our research efforts?"	"Medical science benefits the lives of both civilians and the military alike. We should focus on western medicine."	"Improving the efficiency of industrial processes will benefit our economy. We should focus on western industrial science."	"Western Science"	"bos_message_resources_positive_active.tga"	"bos_modernisation.TGA"	"Medicine"	"Industry"	false
true	"d_bos_westerners_attacked"	"My lord, a group of westerners - guests within our realm - were attacked in the night by known Imperialist elements. Nobody was harmed, but great offence has been taken."	"We will capture those responsible and hand them over to the westerners for punishment."	"We will obtain written apologies from those involved; no harm was done, and we will not have our people submit to western justice."	"Anti-western Aggression"	"bos_message_diplomacy_negative_active.tga"	"bos_westerner.TGA"	"Turn Them Over"	"Deal With Them Personally"	false
true	"d_bountiful_harvest"	"Favourable weather conditions this year have led to an abundant harvest, so the clan has a surplus of agricultural produce."	"We have indeed been blessed! No mouth will go unfed this year;  the surplus will be distributed amongst the peasants."	"Stockpiling will allow us to safeguard against crop failure in the near future whilst contributing to our clan's growth."	"Bountiful Harvest"	"message_dilemmas_active.tga"	"Dilemma_Agriculture.tga"	"Distribute Surplus"	"Stockpile"	false
true	"d_conflict_beliefs_buddhist"	"A man has been found openly proselytising his Christian beliefs to the enlightened of this province. We can ill-afford the risk of religious schism should his teachings begin to influence the people of the clan."	"We cannot allow the hearts and minds of our peasants corrupted by these antithetical beliefs. He must be executed at once."	"There is no need for religious persecution; spiritual harmony can be achieved through discourse and understanding."	"Conflict of Beliefs"	"message_dilemmas_active.tga"	"Dilemma_Religion.tga"	"Execute Him!"	"Allow Him to Preach"	false
true	"d_conflict_beliefs_christian"	"A man has been found openly speaking of his Buddhist beliefs amongst the good Christian people of this province. We can ill-afford the risk of religious schism should his teachings begin to influence the people of the clan."	"We cannot have the hearts and minds of our peasants corrupted by these antithetical beliefs. He must be executed at once."	"We will not stoop to persecuting people for holding beliefs different from our own. Were we not once Buddhist ourselves?"	"Conflict of Beliefs"	"message_dilemmas_active.tga"	"Dilemma_Religion.tga"	"Execute Him!"	"Allow Him to Preach"	false
true	"d_desecration"	"The people of this province are distraught at the behaviour of nanban missionaries in the area, who have desecrated sacred sites devoted to Buddha and the kami."	"We may have embraced Christianity, but we cannot allow such an affront towards those who practice the old beliefs. The nanban will answer for their behaviour."	"The clan has benefited greatly from our relations with the nanban and our embrace of Christianity; the concerns of the people pale by comparison."	"Desecration"	"message_dilemmas_active.tga"	"Dilemma_Religion.tga"	"Intervene"	"Ignore"	false
true	"d_developmental_focus"	"Seeking to further the clan's mastery of the arts our retainers request guidance as to where they should focus their efforts."	"The clan must have military superiority if we are to secure the shogunate. We will focus on military development."	"What good is military might without the infrastructure to support and exploit it? We will focus on administrative development."	"Developmental Focus"	"message_dilemmas_active.tga"	"Dilemma_Clan.tga"	"Military Focus"	"Civil Focus"	false
true	"d_disgruntled_vassal"	"A prominent retainer in this province has expressed his discontent that the centralisation of power has diminished his authority in the region."	"This man has worked hard and achieved much for his province and his clan. We acknowledge his efforts; he shall be rewarded."	"Insolence will not be tolerated. I will have his head on a spike!"	"The Disgruntled Vassal"	"message_dilemmas_active.tga"	"Dilemma_Clan.tga"	"Acknowledge Him"	"Have Him Executed!"	false
true	"d_francis_xavier"	"The nanban missionary Francis Xavier, having treated with other daimyo to propagate his Christian teachings in their domains, seeks permission for his missionaries to preach in ours."	"This man must not be allowed to poison the people's spirits and sully ancient traditions with his false nanban teachings."	"The benefits of improved relations with the nanban, and, by extension, an increase of trade in goods and knowledge, cannot be ignored."	"Francis Xavier"	"message_dilemmas_active.tga"	"Dilemma_Military_Crackdown.tga"	"Refuse Him"	"Grant Permission"	false
true	"d_gaijin_trouble"	"The awkward customs of the nanban have led to an increased number of undesirable and regrettable incidents in this province."	"Unrest is a small price to pay for the benefits of trade with the nanban. The people must deal with the matter themselves."	"Such behaviour cannot go unpunished. We will expel the offending gaijin and take steps to ensure that this does not happen again."	"Gaijin Trouble"	"message_dilemmas_active.tga"	"Dilemma_Culture.tga"	"Ignore the Issue"	"Punish the Gaijin"	false
true	"d_gem_developmental_focus"	"Seeking to further the clan's mastery of the arts our retainers request guidance as to where they should focus their efforts."	"We must have military superiority if we are to prevail over our enemies. We will focus on military development."	"What good is military might without the infrastructure to support and exploit it? We will focus on administrative development."	"Developmental Focus"	"message_dilemmas_active.tga"	"Dilemma_Clan.tga"	"Military Focus"	"Civil Focus"	false
true	"d_gem_eiga_monogatari"	"A controversial request, my lord; our shirabyoshi seek to develop their repertoires through the Eiga Monogatari. The tale speaks highly of the Fujiwara, however, and its circulation will likely aid their cause."	"Procure as you deem necessary; a shirabyoshi relies greatly on her repertoire, and there are important lessons to be learned from history."	"Foolishness! To abide such a request would be to empower our rivals! We will hear no more about it."	"The Eiga Monogatari"	"message_dilemmas_active.tga"	"Dilemma_Culture.tga"	"Procure Copies"	"Refuse"	false
true	"d_gem_eiga_monogatari_fujiwara"	"My lord, the Eiga Monogatari chronicles the exploits of Fujiwara Michinaga some hundred years past. By educating our shirabyoshi we improve their repertoire and foster greater interest in our own exploits."	"A marvellous idea! See to it that each shirabyoshi is furnished with a copy."	"An interesting, if frivolous notion. There is no need; our present actions alone serve to promote our greatness."	"The Eiga Monogatari"	"message_dilemmas_active.tga"	"Dilemma_Culture.tga"	"Procure Copies"	"Refuse"	false
true	"d_gem_enchantress"	"My lord, one of our nobles speaks most favourably about a shirabyoshi who has recently entered into his service; by all accounts she is the most enchanting lady ever to have graced our lands."	"Her charms could serve to inspire our generals or manipulate our enemies. Employ her at once."	"It is a good thing that, despite the hardships of our time, our clansmen can find solace in beauty."	"The Enchantress"	"message_dilemmas_active.tga"	"Dilemma_Culture.tga"	"Employ Her"	"Acknowledge"	false
true	"d_gem_enryakuji"	"Yamashiro province is home to numerous prominent temples. One such temple is the Enryakuji; commanding considerable wealth and home to proficient warrior monks, their support could greatly aid our cause. Alternatively, sacking the temple may provide a quick source of funds."	"In these trying times, all assistance is welcome. Dispatch an envoy to Enryakuji at once."	"We need no assistance from outsiders; we need only help ourselves! Dispatch a raiding party at once."	"Enryakuji"	"message_dilemmas_active.tga"	"GEM_Great_Temple.tga"	"Request Aid"	"Sack Temple"	false
true	"d_gem_enryakuji_plight"	"My lord, we have received an envoy from the Enryakuji temple. Currently embroiled in a feud with their sister temple - Miidera - they have requested financial support and urge you to remember the assistance that they gave so willingly in the past."	"The Enryakuji monks are valued friends. We will help fund their struggle."	"We can ill-afford to waste precious funds when so much is at stake."	"Plight of the Enryakuji Temple"	"message_dilemmas_active.tga"	"GEM_Great_Temple.tga"	"Offer Aid"	"Refuse Aid"	false
true	"d_gem_family_dues"	"A noble in your service will be throwing a lavish feast in the family's honour within the month. He knows you are burdened by duty, but hopes that you will in some way be able to participate in the event."	"Duty calls and time is precious, but we will honour his gesture towards the family with a modest contribution."	"Our time will not be wasted on such frivolities."	"Family Dues"	"message_dilemmas_active.tga"	"Dilemma_Clan.tga"	"Contribute"	"Ignore"	false
true	"d_gem_hachiman_flock"	"A flight of doves has been seen circling the capital, my lord. Hachiman's flock brings divine blessings upon our clan!"	"Hachiman favours our war efforts and grants our warriors the blessings of Heaven!"	"Hachiman sends blessings that our fishermen might better reap the teeming seas!"	"Hachiman's Flock"	"message_dilemmas_active.tga"	"Dilemma_Omens.tga"	"Warrior's Blessing"	"Fisherman's Blessing"	false
true	"d_gem_heiji_monogatari_minamoto"	"A scholar seeks your endorsement, hoping to chronicle the events of the Heiji Rebellion, when Lord Yoshitomo sought to oust the corrupt cloistered Emperor but fell foul of Taira schemes."	"The truth regarding Taira treachery must be known to all. We will sponsor this man."	"The tale is not yet ended. Once our family stands victorious over the Taira…that will be an epic tale!"	"The Heiji Monogatari"	"message_dilemmas_active.tga"	"Dilemma_Culture.tga"	"Endorse Him"	"Dismiss Him"	false
true	"d_gem_heiji_monogatari_taira"	"A scholar seeks your endorsement, hoping to chronicle the events of the Heiji Rebellion, when Lord Kiyomori valiantly defended the cloistered Emperor against the ambitions of Minamoto warmongers."	"Our just acts have brought the wrath of the Minamoto down upon us. Once the truth is known the loyalty of our people will be assured. We will sponsor his work."	"Once we have rid ourselves of the Minamoto scourge once and for all the tale can then be chronicled, but not before."	"The Heiji Monogatari"	"message_dilemmas_active.tga"	"Dilemma_Culture.tga"	"Endorse Him"	"Dismiss Him"	false
true	"d_gem_justice"	"My lord, our men have apprehended a notorious brigand who is guilty of violence against our subjects. He is awaiting sentence."	"Although deserving of death, his unscrupulous talents could be put to use against our enemies. Inform him that he will serve us or die… slowly."	"We must do justice to those whom this man has wronged. Bring me his head!"	"Justice"	"message_dilemmas_active.tga"	"Dilemma_Military_Crackdown.tga"	"Exploit Situation"	"Execute Him"	false
true	"d_gem_kofukuji"	"Yamato province is home to numerous prominent temples. One such temple is the Kofukuji; commanding considerable wealth and home to proficient warrior monks, their support could greatly aid our cause. Alternatively, sacking the temple may provide a quick source of funds."	"In these trying times, all assistance is welcome. Dispatch an envoy to Kofukuji at once."	"We need no assistance from outsiders; we need only help ourselves! Dispatch a raiding party at once."	"Kofukuji"	"message_dilemmas_active.tga"	"GEM_Great_Temple.tga"	"Request Aid"	"Sack Temple"	false
true	"d_gem_migrant_labourers"	"My lord, an increasing number of labourers from neighbouring provinces are seeking to settle in your domain, hoping to escape the hardships imposed by their lords."	"We will benefit from the additional workers. Allow them to settle."	"We have little use for another lord's disgruntled peasantry: satisfying our own people's needs is trying enough. Send them on their way."	"Migrant Workforce"	"message_dilemmas_active.tga"	"Dilemma_Disaffected.tga"	"Welcome Them"	"Refuse Them"	false
true	"d_gem_miidera"	"Yamashiro province is home to numerous prominent temples. One such temple is the Miidera - commanding considerable wealth and home to proficient warrior monks, their support could greatly aid our cause. Alternatively, sacking the temple may provide a quick source of funds."	"In these trying times, all assistance is welcome. Dispatch an envoy to Miidera at once."	"We need no assistance from outsiders; we need only help ourselves! Dispatch a raiding party at once."	"Miidera"	"message_dilemmas_active.tga"	"GEM_Great_Temple.tga"	"Request Aid"	"Sack Temple"	false
true	"d_gem_miidera_plight"	"My lord, we have received an envoy from the Miidera temple. Currently embroiled in a feud with their sister temple - Enryakuji - they have requested financial support and urge you to remember the assistance that they gave so willingly in the past."	"The Miidera monks are valued friends. We will help fund their struggle."	"We can ill-afford to waste precious funds when so much is at stake."	"Plight of the Miidera Temple"	"message_dilemmas_active.tga"	"GEM_Great_Temple.tga"	"Offer Aid"	"Refuse Aid"	false
true	"d_gem_nine_tailed_gem_fox"	"Whilst surveying our domain, an astonishing sight was observed outside a shrine to Inari; a nine-tailed fox, sitting sentinel-like beneath a torii."	"Inari favours our martial efforts and grants our warriors the blessings of heaven!"	"Inari's kitsune has come to bless our crops; a time of prosperity is at hand!"	"Nine-tailed Fox"	"message_dilemmas_active.tga"	"Dilemma_Omens.tga"	"Warrior's Blessing"	"Farmer's Blessing"	false
true	"d_gem_omen_fire"	"My lord! The monks speak of raging fires that cannot be quelled and believe this to be a sign sent by Kagutsuchi. They fear that the fire-god is displeased with our people and beseech you to appease him with a chinka-sai."	"We will arrange a clan-wide chinka-sai at once; see to it that no expense is spared in the preparation of the rites and the festivities."	"We have neither the time nor the money to squander on such superstitious frivolities."	"Kagutsuchi's Warning"	"message_dilemmas_active.tga"	"Dilemma_Omens.tga"	"Honour the Fire-God"	"Ignore the Omens"	false
true	"d_gem_omen_mountains"	"My lord! The monks speak of a rumbling deep beneath the mountains and believe this to be a sign sent by Oyamatsumi. They fear the wrath of the earth and beseech you to appease the mountain-god."	"Deference will be shown to the great kami of the mountains; see to it that no expense is spared in the preparation of the appropriate rites and festivities."	"We have neither the time nor the money to squander on such superstitious frivolities."	"Oyamatsumi's Warning"	"message_dilemmas_active.tga"	"Dilemma_Omens.tga"	"Honour the Mountain-God"	"Ignore the Omens"	false
true	"d_gem_omen_ocean"	"My lord! The monks speak of a gathering of great turtles upon our shores and believe this to be a sign sent by Owatatsumi. They fear ominous tides and beseech you to honour the sea-god."	"We will arrange shiomatsuri in all provinces that sit upon the Owatatsumi's waters. See to it that no expense is spared in the preparations of the rites and the festivities."	"We have neither the time nor the money to squander on such superstitious frivolities."	"Owatatsumi's Warning"	"message_dilemmas_active.tga"	"Dilemma_Omens.tga"	"Honour the Sea-God"	"Ignore the Omens"	false
true	"d_gem_omen_wind"	"My lord! The monks speak of dark skies closing in above our lands and believe this to be an omen sent by Fujin. They fear a coming storm and beseech you to honour the wind-god."	"We will arrange a clan-wide Fujin-sai at once; see to it that no expense is spared in the preparation of the appropriate rites and festivities."	"We have neither the time nor the money to squander on such superstitious frivolities."	"Fujin's Warning"	"message_dilemmas_active.tga"	"Dilemma_Omens.tga"	"Honour the Wind-God"	"Ignore the Omens"	false
