version 1, schema unit_voice_events_junctions_tables, guid 4b476d45-e99b-41a7-a699-4bdbb44ffef1
unknown1(string)	unknown2(string)	unknown3(string)	unknown4(string)
"infantry_bow_ashigaru"	"generic"	"being_flanked"	"Infantry_flanked"
"infantry_bow_ashigaru"	"generic"	"climb_walls"	"Infantry_climb_walls"
"infantry_bow_ashigaru"	"generic"	"enemy_approaching"	"Infantry_enemy_approaching"
"infantry_bow_ashigaru"	"generic"	"group_created"	"Group_Orders_Infantry_Created"
"infantry_bow_ashigaru"	"generic"	"group_selected"	"Group_Orders_Infantry_Created"
"infantry_bow_ashigaru"	"generic"	"group_selected_artillary"	"Group_Orders_Infantry_Select_Artillery"
"infantry_bow_ashigaru"	"generic"	"group_selected_infantry"	"Group_Orders_Infantry_Select_Infantry"
"infantry_bow_ashigaru"	"generic"	"hold_position_false"	"Infantry_Unit_Hold_Position_off"
"infantry_bow_ashigaru"	"generic"	"hold_position_true"	"Infantry_Unit_Hold_Position_on"
"infantry_bow_ashigaru"	"generic"	"idle"	"Infantry_idle"
"infantry_bow_ashigaru"	"generic"	"loose_formation"	"Infantry_Unit_Loose_Formation"
"infantry_bow_ashigaru"	"generic"	"tight_formation"	"Infantry_Unit_Tight_Formation"
"infantry_bow_ashigaru"	"generic"	"under_fire"	"Infantry_Under_Archer_Fire"
"infantry_bow_ashigaru"	"generic"	"unit_voices_selected"	"Infantry_Unit_Selection"
"infantry_bow_ashigaru"	"generic"	"wavering"	"Infantry_wavering"
"infantry_bow_samurai"	"generic"	"Unit_Completed_Orders"	"Infantry_Unit_Completed_Orders"
"infantry_bow_samurai"	"generic"	"Unit_Voices_Battle_Cry"	"Infantry_Battle_Cry"
"infantry_bow_samurai"	"generic"	"Unit_Voices_Charge"	"Infantry_Battle_Cry"
"infantry_bow_samurai"	"generic"	"Unit_Voices_Disband_Group"	"Group_Orders_Infantry_Disbanded"
"infantry_bow_samurai"	"generic"	"Unit_Voices_Double_Click_Attack"	"Infantry_Melee_Single_Click_Melee_Attack"
"infantry_bow_samurai"	"generic"	"Unit_Voices_Double_Click_Melee_Attack"	"Infantry_Melee_Double_Click_Attack"
"infantry_bow_samurai"	"generic"	"Unit_Voices_Double_Click_Missile_Attack"	"Infantry_Melee_Single_Click_Melee_Attack"
"infantry_bow_samurai"	"generic"	"Unit_Voices_Fire_At_Will_Off"	"Group_Orders_Infantry_Fire_At_Will_OFF"
"infantry_bow_samurai"	"generic"	"Unit_Voices_Fire_At_Will_On"	"Group_Orders_Infantry_Fire_At_Will_ON"
"infantry_bow_samurai"	"generic"	"Unit_Voices_Generic"	"Infantry_Unit_Generic_response"
"infantry_bow_samurai"	"generic"	"Unit_Voices_Group_Attack_Stronger"	"Group_Orders_Infantry_Attacking_Stronger_Target"
"infantry_bow_samurai"	"generic"	"Unit_Voices_Group_Attack_Weaker"	"Group_Orders_Infantry_Attacking_Weaker_Target"
"infantry_bow_samurai"	"generic"	"Unit_Voices_Group_Double_Click_Attack"	"Group_Orders_Infantry_DoubleClick_Attack"
"infantry_bow_samurai"	"generic"	"Unit_Voices_Group_Double_Click_Melee_Attack"	"Group_Orders_Infantry_DoubleClick_Attack"
"infantry_bow_samurai"	"generic"	"Unit_Voices_Group_Double_Click_Missile_Attack"	"Group_Orders_Infantry_Missile_Attack"
"infantry_bow_samurai"	"generic"	"Unit_Voices_Group_Engage_At_Will"	"Group_Orders_Infantry_Engage_at_will"
"infantry_bow_samurai"	"generic"	"Unit_Voices_Group_Fire_At_Will_Off"	"Group_Orders_Infantry_Fire_At_Will_OFF"
"infantry_bow_samurai"	"generic"	"Unit_Voices_Group_Fire_At_Will_On"	"Group_Orders_Infantry_Fire_At_Will_ON"
"infantry_bow_samurai"	"generic"	"Unit_Voices_Group_Generic"	"Group_Orders_Infantry_Generic"
"infantry_bow_samurai"	"generic"	"Unit_Voices_Group_Guard_Off"	"Group_Orders_Infantry_Guard_Off"
"infantry_bow_samurai"	"generic"	"Unit_Voices_Group_Guard_On"	"Group_Orders_Infantry_Guard_On"
"infantry_bow_samurai"	"generic"	"Unit_Voices_Group_Move_Fast"	"Group_Orders_Infantry_Fast_Move"
"infantry_bow_samurai"	"generic"	"Unit_Voices_Group_Move_Fast"	"Group_Orders_Infantry_Move_To"
