version 1, schema ancillary_to_effects_tables
Ancillary_IDRef(string)	Effect_IDRef(string)	Value(float)
"Anc_Islam_Sufi"	"research_points_global"	1
"Anc_Islam_Sufi_Teacher"	"agent_spawn_rate_eastern_scholar"	5
"Anc_Islamic_Turncoat"	"hates_ottomans"	1
"Anc_Journalist_Honest"	"education_happy_mod"	5
"Anc_Journalist_Honest"	"happy_character_upper"	-1
"Anc_Judge_Bent"	"happy_character_upper"	1
"Anc_Judge_Bent"	"management_justice"	1
"Anc_Judge_Honest"	"happy_character_upper"	-1
"Anc_Judge_Honest"	"management_justice"	2
"Anc_Justice_of_the_Peace"	"happy_character_lower"	-1
"Anc_Justice_of_the_Peace"	"happy_character_upper"	-1
"Anc_Justice_of_the_Peace"	"management_justice"	1
"Anc_Lapdog"	"happy_character_lower"	1
"Anc_Lapdog"	"happy_character_upper"	-1
"Anc_Lawyer"	"research_points_enlightenment"	1
"Anc_Lawyer_Bent"	"happy_character_lower"	-1
"Anc_Lawyer_Bent"	"happy_character_upper"	1
"Anc_Lawyer_Bent"	"management_justice"	1
"Anc_Lawyer_Honest"	"happy_character_lower"	1
"Anc_Lawyer_Honest"	"management_justice"	-1
"Anc_Macaroni"	"prestige_wealth_generic"	1
"Anc_Manufacturing_Genius"	"research_points_industry"	1
"Anc_Master_Gunner"	"mod_ship_cannon_fire_rate"	10
"Anc_Master_Gunner"	"mod_ship_cannon_reliability"	10
"Anc_Master_of_the_Dockyards"	"management_navy"	1
"Anc_Master_of_the_Hunt"	"happy_character_upper"	1
"Anc_Master_of_the_Stables"	"happy_character_upper"	1
"Anc_Military_Engineer"	"Movement_Points_All_Land"	2
"Anc_Military_Expert_NOT"	"management_army"	-1
"Anc_Military_Secretary"	"management_army"	1
"Anc_Mistress_Court_1"	"happy_character_upper"	2
"Anc_Mistress_Minion"	"morale_bonus"	1
"Anc_Mistress_Officers_Wife"	"morale_bonus"	1
"Anc_Mistress_Strumpet"	"attrition_mod"	-2
"Anc_Mistress_Strumpet"	"morale_bonus"	1
"Anc_Mistress_Waif"	"morale_bonus"	1
"Anc_Moonstone"	"personal_security"	10
"Anc_Natural_Philosopher"	"research_points_enlightenment"	2
"Anc_Naval_Secretary"	"management_navy"	1
"Anc_Naval_Surveyor"	"mod_ship_movement_campaign"	2
"Anc_Naval_Surveyor"	"upkeep_cost_mod_naval_all"	5
"Anc_Navigator"	"line_of_sight_mod"	10
"Anc_Navigator"	"mod_ship_movement_campaign"	2
"Anc_Navy_Seaman_Able"	"mod_ship_movement_battle"	10
"Anc_Nobleman_Debauched"	"gentlemen_happiness_bonus"	2
"Anc_Nobleman_Debauched"	"research_points"	-1
"Anc_Nobleman_Exile"	"personal_security"	5
"Anc_Order_Austria"	"morale_bonus"	1
"Anc_Order_Austria"	"prestige_military"	1
"Anc_Order_Denmark"	"morale_bonus"	1
"Anc_Order_Denmark"	"prestige_military"	1
"Anc_Order_England"	"morale_bonus"	1
"Anc_Order_England"	"prestige_military"	1
"Anc_Order_France_1"	"morale_bonus"	1
"Anc_Order_France_1"	"prestige_military"	1
"Anc_Order_France_2"	"morale_bonus"	1
"Anc_Order_France_2"	"prestige_military"	1
"Anc_Order_Holland"	"morale_bonus"	1
"Anc_Order_Holland"	"prestige_military"	1
"Anc_Order_Ottoman"	"morale_bonus"	1
"Anc_Order_Ottoman"	"prestige_military"	1
"Anc_Order_Poland"	"morale_bonus"	1
"Anc_Order_Poland"	"prestige_military"	1
"Anc_Order_Prussia_1"	"morale_bonus"	1
"Anc_Order_Prussia_1"	"prestige_military"	1
"Anc_Order_Prussia_2"	"morale_bonus"	1
"Anc_Order_Prussia_2"	"prestige_military"	1
"Anc_Order_Russia"	"morale_bonus"	1
"Anc_Order_Russia"	"prestige_military"	1
"Anc_Order_Scotland"	"morale_bonus"	1
"Anc_Order_Scotland"	"prestige_military"	1
"Anc_Order_Spain"	"morale_bonus"	1
"Anc_Order_Spain"	"prestige_military"	1
"Anc_Order_Sweden_1"	"morale_bonus"	1
"Anc_Order_Sweden_1"	"prestige_military"	1
"Anc_Order_Sweden_2"	"prestige_wealth_generic"	1
"Anc_Order_Sweden_3"	"prestige_enlightenment_generic"	1
"Anc_Order_US"	"morale_bonus"	1
"Anc_Order_US"	"prestige_military"	1
"Anc_Ottoman_Interpreter"	"diplomacy_bonus_faction_leader"	-5
"Anc_Overseer_of_Works"	"mod_factory_build_time"	-5
"Anc_Pet_Dog"	"morale_bonus"	1
"Anc_Physician_Euro"	"character_death_chance_turn_end"	5
"Anc_Pilot"	"line_of_sight_mod"	10
"Anc_Pilot"	"mod_ship_movement_campaign"	2
"Anc_Piper"	"morale_bonus"	1
"Anc_Press_Gang_Captain"	"happy_character_lower"	-1
"Anc_Press_Gang_Captain"	"management_navy"	1
"Anc_Research_Cabinet"	"research_points_enlightenment"	1
"Anc_Research_Library"	"research_points_enlightenment"	1
"Anc_Royal_Favourite_Popular"	"happy_character_upper"	1
"Anc_Royal_Favourite_Unpopular"	"happy_character_upper"	-1
"Anc_Seaman_Powder_Monkey"	"mod_ship_cannon_fire_rate"	-5
"Anc_Servant_Mameluke"	"personal_security"	-5
"Anc_Sharpshooter"	"mod_unit_marksmanship"	1
"Anc_Shipwright"	"ship_repair_increase"	-10
"Anc_Siege_Engineer"	"Command_Land_Siege_Attack"	1
"Anc_Signals_Lieutenant"	"line_of_sight_mod"	10
"Anc_Tailor_Euro"	"prestige_wealth_generic"	1
"Anc_Turkish_Jani_Admin"	"management_army"	1
"Anc_Turkish_Jani_Sec"	"management_army"	1
"Anc_Turkish_Masseur"	"personal_security"	-5
"Anc_Voivode_1"	"happy_character_lower"	-1
"Anc_Voivode_2"	"happy_character_lower"	-2
"Anc_Voter"	"management_finance"	-1
"Anc_Wife_Faithful"	"happy_character_upper"	1
"Anc_Wife_Intelligent"	"happy_character_upper"	1
"Anc_Wife_Malaprop"	"morale_bonus"	1
"Anc_Wife_Matchmaker_Euro"	"happy_character_upper"	-1
"Anc_Wife_Unfaithful"	"happy_character_upper"	2
"Ancillary_African_Servant"	"personal_security"	-5
"Ancillary_Amazing_Wine_Cellar"	"happy_character_upper"	1
"Ancillary_Amusing_Cad"	"happy_character_lower"	-1
"Ancillary_Amusing_Cad"	"happy_character_upper"	-1
"Ancillary_Army_Aide_Nephew"	"morale_bonus"	1
"Ancillary_Army_Cleric"	"morale_bonus"	2
"Ancillary_Army_Drillmaster"	"morale_bonus"	-1
"Ancillary_Army_Drillmaster"	"Movement_Points_Land_Infantry"	2
"Ancillary_Army_European_Turncoat"	"hates_europeans"	1
"Ancillary_Army_Exploring_Officer"	"line_of_sight_mod"	10
"Ancillary_Army_Exploring_Officer"	"Movement_Points_All"	2
"Ancillary_Army_Hagiographer"	"morale_bonus"	-1
"Ancillary_Army_Hagiographer"	"prestige_military"	1
"Ancillary_Army_Merc_Artilleryman"	"Command_Land_Artillery_Troops"	2
"Ancillary_Army_Merc_Cavalryman"	"Command_Land_Cavalry_Troops"	2
"Ancillary_Army_Merc_Infantryman"	"Command_Land_Infantry_Troops"	2
"Ancillary_Army_Ottoman_Turncoat"	"hates_ottomans"	1
"Ancillary_Army_Pox_Doctor"	"Movement_Points_All"	-5
"Ancillary_Army_Quartermaster"	"attrition_mod"	-10
"Ancillary_Army_Surgeon"	"mod_battle_death_rate"	10
"Ancillary_Army_Waggonmaster"	"Movement_Points_All_Land"	2
"Ancillary_Artillery_Expert"	"Command_Land_Artillery_Troops"	2
"Ancillary_Artillery_Expert"	"Movement_Points_Land_Artillery"	2
"Ancillary_Barber"	"character_death_chance_turn_end"	-5
"Ancillary_Barber"	"morale_bonus"	-1
"Ancillary_Bodysnatcher"	"happy_character_lower"	-1
"Ancillary_Bodysnatcher"	"research_points_enlightenment"	1
"Ancillary_Boxer"	"morale_bonus"	1
"Ancillary_Boxer"	"personal_security"	-10
"Ancillary_Duelling_Minx"	"personal_security"	5
"Ancillary_Foodtaster"	"personal_security"	-10
"Ancillary_Garden_Hermit"	"happy_character_upper"	1
"Ancillary_Government_Architect"	"building_cost_mod_all"	-5
"Ancillary_Government_Comptroller"	"management_finance"	2
"Ancillary_Government_Comptroller"	"tax_bonus_minister"	3
"Ancillary_Government_Controller"	"building_cost_mod_all_global"	-5
"Ancillary_Government_Crimper"	"recruitment_cost_mod_category_infantry"	-5
"Ancillary_Government_Cypher"	"subterfuge_counterspying"	2
"Ancillary_Government_Executioner_Nasty"	"management_justice"	2
"Ancillary_Government_Guardian"	"personal_security"	-10
"Ancillary_Government_Secret_Policeman"	"agent_spawn_rate_rake"	1
"Ancillary_Government_Spymaster"	"agent_spawn_rate_mod_rake"	5
"Ancillary_Government_Thieftaker"	"happy_character_upper"	1
"Ancillary_Government_Thieftaker"	"repression_character"	2
"Ancillary_Government_Vampire_Hunter"	"happy_character_lower"	2
"Ancillary_Government_Wrestler"	"management_justice"	1
"Ancillary_Government_Wrestler"	"repression_character"	1
"Ancillary_Great_Composer"	"happy_character_upper"	2
"Ancillary_Grizzly_Adams"	"Command_Land_Ambushes"	2
"Ancillary_Historian"	"prestige_faction_leader"	1
"Ancillary_Inventive_Genius_Astronomer"	"research_points_global"	2
"Ancillary_Inventive_Genius_Loony"	"research_points_global"	-2
"Ancillary_Inventive_Genius_Mill_Worker"	"research_points_industry"	1
"Ancillary_Justice_Witness"	"management_justice"	1
"Ancillary_Justice_Witness"	"repression_character"	1
"Ancillary_Landscape_Gardener"	"happy_character_lower"	-1
"Ancillary_Landscape_Gardener"	"happy_character_upper"	1
"Ancillary_Madman"	"personal_security"	5
"Ancillary_Madman"	"research_points_enlightenment"	2
"Ancillary_Master_of_Lunacy"	"management_justice"	2
"Ancillary_Merchant_Corn_Factor"	"happy_character_lower"	-1
"Ancillary_Merchant_Corn_Factor"	"tax_bonus_minister"	2
"Ancillary_Military_Riding_Master"	"Command_Land_Cavalry_Troops"	2
"Ancillary_Mistress_Actress"	"morale_bonus"	1
"Ancillary_Mistress_Actress"	"Movement_Points_All"	-2
"Ancillary_Mistress_Circassian"	"personal_security"	-10
"Ancillary_Mistress_Circassian"	"prestige_military"	1
"Ancillary_Mistress_Common_Floozy"	"happy_character_lower"	1
"Ancillary_Mistress_Common_Floozy"	"happy_character_upper"	-1
"Ancillary_Mistress_Gorgeous"	"happy_character_upper"	1
"Ancillary_Mistress_Molly"	"happy_character_lower"	1
"Ancillary_Mistress_Molly"	"happy_character_upper"	-1
"Ancillary_Mistress_Spycatcher_Lady"	"management_justice"	1
"Ancillary_Mistress_Spymistress"	"management_justice"	-1
"Ancillary_Mistress_Spymistress"	"repression_character"	2
"Ancillary_Mystic_Mysterious"	"prestige_faction_leader"	-1
"Ancillary_Mystic_Useful"	"line_of_sight_mod"	10
"Ancillary_Navy_Cleric"	"morale_bonus"	2
"Ancillary_Navy_Flag_Lieutenant"	"Command_Sea_Attack"	1
"Ancillary_Navy_Flag_Lieutenant"	"line_of_sight_mod"	10
"Ancillary_Navy_Naval_Architect"	"management_navy"	1
"Ancillary_Navy_Naval_Architect"	"recruitment_cost_mod_naval_all_global"	-5
"Ancillary_Navy_Naval_Surveryor"	"mod_ship_movement_campaign"	2
"Ancillary_Navy_Naval_Surveryor"	"upkeep_cost_mod_naval_all"	5
"Ancillary_Navy_Prize_Agent_Good"	"morale_bonus"	2
"Ancillary_Navy_Purser"	"morale_bonus"	-1
"Ancillary_Navy_Purser"	"upkeep_cost_mod_naval_all"	-5
"Ancillary_Navy_Sailing_Master"	"line_of_sight_mod"	10
"Ancillary_Navy_Sailing_Master"	"mod_ship_movement_campaign"	2
"Ancillary_Navy_Surgeon"	"mod_battle_death_rate"	10
"Ancillary_Navy_Watch"	"mod_ship_movement_campaign"	2
"Ancillary_Numismatist"	"management_finance"	2
"Ancillary_Outstanding_Choirmaster"	"happy_character_upper"	1
"Ancillary_Pamphleteer_Government"	"happy_character_lower"	1
"Ancillary_Pamphleteer_Government"	"happy_character_upper"	1
"Ancillary_Pamphleteer_Radical"	"happy_character_lower"	-1
"Ancillary_Pamphleteer_Radical"	"happy_character_upper"	-1
"Ancillary_Personal_Physician"	"character_death_chance_turn_end"	5
"Ancillary_Pet_Monkey"	"subterfuge_assassination"	1
"Ancillary_Pet_Monkey"	"subterfuge_sabotage"	1
"Ancillary_Poet"	"happy_character_upper"	1
"Ancillary_Poet"	"prestige_faction_leader"	1
"Ancillary_Police_Torturer"	"management_justice"	2
"Ancillary_Presentation_Sword_1"	"morale_bonus"	2
"Ancillary_Presentation_Sword_2"	"morale_bonus"	2
"Ancillary_Rake_Bawd"	"subterfuge_spying"	2
"Ancillary_Religion_Bishop"	"happy_character_upper"	1
"Ancillary_Religion_Imam_Learned"	"happy_character_lower"	1
"Ancillary_Religion_Imam_Learned"	"happy_mod_religious_unrest"	-5
"Ancillary_Religion_Imam_Rabblerouser"	"happy_character_lower"	-1
"Ancillary_Religion_Imam_Rabblerouser"	"happy_mod_religious_unrest"	5
"Ancillary_Religion_Methodist"	"happy_mod_religious_unrest"	5
"Ancillary_Research_Lunatic_Jack"	"subterfuge_counterspying"	1
"Ancillary_Research_Lunatic_Jack"	"subterfuge_spying"	1
"Ancillary_Tax_Farmer"	"happy_character_lower"	-2
"Ancillary_Tax_Farmer"	"tax_bonus_minister"	4
"Ancillary_Wife_Ambitious"	"happy_character_upper"	1
"Ancillary_Wife_Unpleasant"	"happy_character_upper"	-1
"Ancilllary_Dead_Parrot_Pirate"	"morale_bonus"	-1
"Ancilllary_Pet_Parrot_Nasty"	"morale_bonus"	1
"Ancilllary_Pet_Parrot_Ordinary"	"morale_bonus"	1
"Spain_Anc_Guitarist"	"morale_bonus"	1
"Spain_Anc_Guitarist_Son"	"morale_bonus"	-1
"Spain_Catalonian_Servant"	"Movement_Points_All_Land"	-5
