version 1, schema ministerial_positions_to_effects_tables
Ministerial_position(string)	Efectiveness_ID(int)	ministerial_Effect_ID(string)	Value1(int)	unknown5(int)
"governor_america"	2	"upkeep_cost_mod_land_all"	0	3
"governor_america"	3	"repression_character"	1	2
"governor_america"	3	"tax_bonus_governor"	1	1
"governor_america"	3	"upkeep_cost_mod_land_all"	-1	3
"governor_america"	4	"repression_character"	1	2
"governor_america"	4	"tax_bonus_governor"	2	1
"governor_america"	4	"upkeep_cost_mod_land_all"	-2	3
"governor_america"	5	"repression_character"	1	2
"governor_america"	5	"tax_bonus_governor"	3	1
"governor_america"	5	"upkeep_cost_mod_land_all"	-3	3
"governor_america"	6	"repression_character"	2	2
"governor_america"	6	"tax_bonus_governor"	4	1
"governor_america"	6	"upkeep_cost_mod_land_all"	-4	3
"governor_america"	7	"repression_character"	2	2
"governor_america"	7	"tax_bonus_governor"	5	1
"governor_america"	7	"upkeep_cost_mod_land_all"	-5	3
"governor_america"	8	"repression_character"	2	2
"governor_america"	8	"tax_bonus_governor"	6	1
"governor_america"	8	"upkeep_cost_mod_land_all"	-6	3
"governor_america"	9	"repression_character"	3	2
"governor_america"	9	"tax_bonus_governor"	7	1
"governor_america"	9	"upkeep_cost_mod_land_all"	-7	3
"governor_europe"	0	"repression_character"	0	2
"governor_europe"	0	"tax_bonus_governor"	-5	1
"governor_europe"	0	"upkeep_cost_mod_land_all"	8	3
"governor_europe"	1	"repression_character"	0	2
"governor_europe"	1	"tax_bonus_governor"	-2	1
"governor_europe"	1	"upkeep_cost_mod_land_all"	3	3
"governor_europe"	2	"repression_character"	0	2
"governor_europe"	2	"tax_bonus_governor"	0	1
"governor_europe"	2	"upkeep_cost_mod_land_all"	0	3
"governor_europe"	3	"repression_character"	1	2
"governor_europe"	3	"tax_bonus_governor"	1	1
"governor_europe"	3	"upkeep_cost_mod_land_all"	-1	3
"governor_europe"	4	"repression_character"	1	2
"governor_europe"	4	"tax_bonus_governor"	2	1
"governor_europe"	4	"upkeep_cost_mod_land_all"	-2	3
"governor_europe"	5	"repression_character"	1	2
"governor_europe"	5	"tax_bonus_governor"	3	1
"governor_europe"	5	"upkeep_cost_mod_land_all"	-3	3
"governor_europe"	6	"repression_character"	2	2
"governor_europe"	6	"tax_bonus_governor"	4	1
"governor_europe"	6	"upkeep_cost_mod_land_all"	-4	3
"governor_europe"	7	"repression_character"	2	2
"governor_europe"	7	"tax_bonus_governor"	5	1
"governor_europe"	7	"upkeep_cost_mod_land_all"	-5	3
"governor_europe"	8	"repression_character"	2	2
"governor_europe"	8	"tax_bonus_governor"	6	1
"governor_europe"	8	"upkeep_cost_mod_land_all"	-6	3
"governor_europe"	9	"repression_character"	3	2
"governor_europe"	9	"tax_bonus_governor"	7	1
"governor_europe"	9	"upkeep_cost_mod_land_all"	-7	3
"governor_india"	0	"repression_character"	0	2
"governor_india"	0	"tax_bonus_governor"	-5	1
"governor_india"	0	"upkeep_cost_mod_land_all"	8	3
"governor_india"	1	"repression_character"	0	2
"governor_india"	1	"tax_bonus_governor"	-2	1
"governor_india"	1	"upkeep_cost_mod_land_all"	3	3
"governor_india"	2	"repression_character"	0	2
"governor_india"	2	"tax_bonus_governor"	0	1
"governor_india"	2	"upkeep_cost_mod_land_all"	0	3
"governor_india"	3	"repression_character"	1	2
"governor_india"	3	"tax_bonus_governor"	1	1
"governor_india"	3	"upkeep_cost_mod_land_all"	-1	3
"governor_india"	4	"repression_character"	1	2
"governor_india"	4	"tax_bonus_governor"	2	1
"governor_india"	4	"upkeep_cost_mod_land_all"	-2	3
"governor_india"	5	"repression_character"	1	2
"governor_india"	5	"tax_bonus_governor"	3	1
"governor_india"	5	"upkeep_cost_mod_land_all"	-3	3
"governor_india"	6	"repression_character"	2	2
"governor_india"	6	"tax_bonus_governor"	4	1
"governor_india"	6	"upkeep_cost_mod_land_all"	-4	3
"governor_india"	7	"repression_character"	2	2
"governor_india"	7	"tax_bonus_governor"	5	1
"governor_india"	7	"upkeep_cost_mod_land_all"	-5	3
"governor_india"	8	"repression_character"	2	2
"governor_india"	8	"tax_bonus_governor"	6	1
"governor_india"	8	"upkeep_cost_mod_land_all"	-6	3
"governor_india"	9	"repression_character"	3	2
"governor_india"	9	"tax_bonus_governor"	7	1
"governor_india"	9	"upkeep_cost_mod_land_all"	-7	3
"head_of_government"	0	"diplomacy_bonus_faction_leader"	-4	2
"head_of_government"	0	"prestige_faction_leader"	-2	1
"head_of_government"	0	"tw_growth_ministers_home_theatre"	-4	3
"head_of_government"	1	"diplomacy_bonus_faction_leader"	-2	2
"head_of_government"	1	"prestige_faction_leader"	-1	1
"head_of_government"	1	"tw_growth_ministers_home_theatre"	-2	3
"head_of_government"	2	"diplomacy_bonus_faction_leader"	0	2
"head_of_government"	2	"prestige_faction_leader"	0	1
"head_of_government"	2	"tw_growth_ministers_home_theatre"	0	3
"head_of_government"	3	"diplomacy_bonus_faction_leader"	1	2
"head_of_government"	3	"prestige_faction_leader"	0	1
"head_of_government"	3	"tw_growth_ministers_home_theatre"	1	3
"head_of_government"	4	"diplomacy_bonus_faction_leader"	2	2
"head_of_government"	4	"prestige_faction_leader"	1	1
"head_of_government"	4	"tw_growth_ministers_home_theatre"	2	3
"head_of_government"	5	"diplomacy_bonus_faction_leader"	3	2
"head_of_government"	5	"prestige_faction_leader"	1	1
"head_of_government"	5	"tw_growth_ministers_home_theatre"	3	3
"head_of_government"	6	"diplomacy_bonus_faction_leader"	4	2
"head_of_government"	6	"prestige_faction_leader"	1	1
"head_of_government"	6	"tw_growth_ministers_home_theatre"	4	3
"head_of_government"	7	"diplomacy_bonus_faction_leader"	5	2
"head_of_government"	7	"prestige_faction_leader"	2	1
"head_of_government"	7	"tw_growth_ministers_home_theatre"	5	3
"head_of_government"	8	"diplomacy_bonus_faction_leader"	6	2
"head_of_government"	8	"prestige_faction_leader"	2	1
"head_of_government"	8	"tw_growth_ministers_home_theatre"	6	3
"head_of_government"	9	"diplomacy_bonus_faction_leader"	7	2
"head_of_government"	9	"prestige_faction_leader"	2	1
"head_of_government"	9	"tw_growth_ministers_home_theatre"	7	3
"justice"	0	"policing_cost_mod"	20	1
"justice"	0	"repression_character"	0	2
"justice"	0	"repression_policing_cap"	0	3
"justice"	1	"policing_cost_mod"	10	1
"justice"	1	"repression_character"	0	2
"justice"	1	"repression_policing_cap"	0	3
"justice"	2	"policing_cost_mod"	0	1
"justice"	2	"repression_character"	0	2
"justice"	2	"repression_policing_cap"	0	3
"justice"	3	"policing_cost_mod"	-3	1
"justice"	3	"repression_character"	1	2
"justice"	3	"repression_policing_cap"	1	3
"justice"	4	"policing_cost_mod"	-6	1
"justice"	4	"repression_character"	1	2
"justice"	4	"repression_policing_cap"	1	3
"justice"	5	"policing_cost_mod"	-9	1
"justice"	5	"repression_character"	1	2
"justice"	5	"repression_policing_cap"	1	3
"justice"	6	"policing_cost_mod"	-12	1
"justice"	6	"repression_character"	2	2
"justice"	6	"repression_policing_cap"	1	3
"justice"	7	"policing_cost_mod"	-15	1
"justice"	7	"repression_character"	2	2
"justice"	7	"repression_policing_cap"	2	3
"justice"	8	"policing_cost_mod"	-18	1
"justice"	8	"repression_character"	3	2
"justice"	8	"repression_policing_cap"	2	3
"justice"	9	"policing_cost_mod"	-21	1
"justice"	9	"repression_character"	4	2
"justice"	9	"repression_policing_cap"	3	3
"navy"	0	"recruitment_cost_mod_naval_all"	12	1
"navy"	0	"research_rate_mod_navy_tech"	-10	2
"navy"	0	"upkeep_cost_mod_naval_all"	10	3
"navy"	1	"recruitment_cost_mod_naval_all"	6	1
"navy"	1	"research_rate_mod_navy_tech"	-5	2
"navy"	1	"upkeep_cost_mod_naval_all"	5	3
"navy"	2	"recruitment_cost_mod_naval_all"	0	1
"navy"	2	"research_rate_mod_navy_tech"	0	2
"navy"	2	"upkeep_cost_mod_naval_all"	0	3
"navy"	3	"recruitment_cost_mod_naval_all"	-1	1
"navy"	3	"research_rate_mod_navy_tech"	2	2
"navy"	3	"upkeep_cost_mod_naval_all"	-1	3
"navy"	4	"recruitment_cost_mod_naval_all"	-2	1
"navy"	4	"research_rate_mod_navy_tech"	4	2
"navy"	4	"upkeep_cost_mod_naval_all"	-2	3
"navy"	5	"recruitment_cost_mod_naval_all"	-3	1
"navy"	5	"research_rate_mod_navy_tech"	6	2
"navy"	5	"upkeep_cost_mod_naval_all"	-3	3
"navy"	6	"recruitment_cost_mod_naval_all"	-4	1
"navy"	6	"research_rate_mod_navy_tech"	8	2
"navy"	6	"upkeep_cost_mod_naval_all"	-4	3
"navy"	7	"recruitment_cost_mod_naval_all"	-5	1
"navy"	7	"research_rate_mod_navy_tech"	10	2
"navy"	7	"upkeep_cost_mod_naval_all"	-5	3
"navy"	8	"recruitment_cost_mod_naval_all"	-6	1
"navy"	8	"research_rate_mod_navy_tech"	12	2
"navy"	8	"upkeep_cost_mod_naval_all"	-6	3
"navy"	9	"recruitment_cost_mod_naval_all"	-7	1
"navy"	9	"research_rate_mod_navy_tech"	14	2
"navy"	9	"upkeep_cost_mod_naval_all"	-7	3
