version 1, schema effects_tables, guid 505c8db2-2bd2-4b7b-85ad-b10e308db947
Effect_ID(string)	Pip_Path(optstring)	Unknown1(int)
"bos_agent_attribute_shinobi_spy_network"	"data/ui/campaign ui/effect_bundles/bos_effect_subterfuge_positive.tga"	100
"bos_agent_attribute_shinobi_spying"	"data/ui/campaign ui/effect_bundles/bos_effect_subterfuge_positive.tga"	100
"bos_agent_attribute_shinsengumi_coerce_troops"	"data/ui/campaign ui/effect_bundles/bos_effect_army.tga"	100
"bos_agent_attribute_shinsengumi_instil_discipline"	"data/ui/campaign ui/effect_bundles/bos_effect_army_positive.tga"	100
"bos_agent_attribute_shinsengumi_subdue_dissidents"	"data/ui/campaign ui/effect_bundles/bos_effect_shinsengumi_positive.tga"	100
"bos_agent_attribute_veteran_administration"	"data/ui/campaign ui/effect_bundles/bos_effect_general_positive.tga"	100
"bos_agent_attribute_veteran_building_sabotage"	"data/ui/campaign ui/effect_bundles/bos_effect_disaster_negative.tga"	100
"bos_agent_attribute_veteran_harass"	"data/ui/campaign ui/effect_bundles/bos_effect_army.tga"	100
"bos_agent_attribute_veteran_single_combat"	"data/ui/campaign ui/effect_bundles/bos_effect_traditional_infantry_melee.tga"	100
"bos_agent_attribute_veteran_supervise_recruitment"	"data/ui/campaign ui/effect_bundles/bos_effect_general_positive.tga"	100
"bos_agent_attribute_veteran_train_troops"	"data/ui/campaign ui/effect_bundles/bos_effect_military_positive.tga"	100
"bos_agent_availability_quality_geisha"	"data/ui/campaign ui/effect_bundles/bos_effect_geisha.tga"	333
"bos_agent_availability_quality_ishinshishi"	"data/ui/campaign ui/effect_bundles/bos_effect_ishin_shishi.tga"	341
"bos_agent_availability_quality_shinobi"	"data/ui/campaign ui/effect_bundles/bos_effect_ninja.tga"	371
"bos_agent_availability_quality_shinsengumi"	"data/ui/campaign ui/effect_bundles/bos_effect_shinsengumi.tga"	340
"bos_agent_availability_quality_veteran"	"data/ui/campaign ui/effect_bundles/bos_effect_foreign_veteran.tga"	354
"bos_agent_cap_geisha"	"data/ui/campaign ui/effect_bundles/bos_effect_geisha.tga"	0
"bos_agent_cap_ishinshishi"	"data/ui/campaign ui/effect_bundles/bos_effect_ishin_shishi.tga"	10
"bos_agent_cap_shinobi"	"data/ui/campaign ui/effect_bundles/bos_effect_ninja.tga"	0
"bos_agent_cap_shinsengumi"	"data/ui/campaign ui/effect_bundles/bos_effect_shinsengumi.tga"	0
"bos_agent_cap_veteran"	"data/ui/campaign ui/effect_bundles/bos_effect_foreign_veteran.tga"	0
"bos_agent_critical_success_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_character_positive.tga"	50
"bos_agent_geisha_happiness_bonus"	"data/ui/campaign ui/effect_bundles/bos_effect_public_order_positive.tga"	50
"bos_agent_maximum_cap_all"	"data/ui/campaign ui/effect_bundles/bos_effect_character.tga"	50
"bos_agent_maximum_cap_geisha"	"data/ui/campaign ui/effect_bundles/bos_effect_geisha.tga"	50
"bos_agent_maximum_cap_ishinshishi"	"data/ui/campaign ui/effect_bundles/bos_effect_ishin_shishi.tga"	50
"bos_agent_maximum_cap_shinobi"	"data/ui/campaign ui/effect_bundles/bos_effect_ninja.tga"	50
"bos_agent_maximum_cap_shinsengumi"	"data/ui/campaign ui/effect_bundles/bos_effect_shinsengumi.tga"	50
"bos_agent_maximum_cap_veteran"	"data/ui/campaign ui/effect_bundles/bos_effect_foreign_veteran.tga"	0
"bos_agent_mod_action_fail_cost"	"data/ui/campaign ui/effect_bundles/bos_effect_subterfuge_negative.tga"	100
"bos_agent_mod_all_upkeep"	"data/ui/campaign ui/effect_bundles/bos_effect_wealth_positive.tga"	100
"bos_agent_mod_army_charge_bonus"	"data/ui/campaign ui/effect_bundles/bos_effect_charge_positive.tga"	100
"bos_agent_mod_army_melee"	"data/ui/campaign ui/effect_bundles/bos_effect_melee_positive.tga"	100
"bos_agent_mod_detection_range"	"data/ui/campaign ui/effect_bundles/bos_effect_subterfuge.tga"	100
"bos_agent_mod_enchantability"	"data/ui/campaign ui/effect_bundles/bos_effect_geisha.tga"	100
"bos_agent_mod_happiness_global"	"data/ui/campaign ui/effect_bundles/bos_effect_public_order_positive.tga"	100
"bos_agent_mod_kill_aggressor_chance"	"data/ui/campaign ui/effect_bundles/bos_effect_melee.tga"	100
"bos_agent_mod_naval_support_cooldown"	"data/ui/campaign ui/effect_bundles/bos_effect_coastal_defences_positive.tga"	100
"bos_agent_mod_repression_global"	"data/ui/campaign ui/effect_bundles/bos_effect_public_order.tga"	100
"bos_agent_mod_sabotage_building_damage"	"data/ui/campaign ui/effect_bundles/bos_effect_disaster_negative.tga"	100
"bos_agent_repression_local"	"data/ui/campaign ui/effect_bundles/bos_effect_public_order.tga"	100
"bos_agent_shinobi_stealth_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_subterfuge_positive.tga"	100
"bos_agent_single_combat_survival_chance"	"data/ui/campaign ui/effect_bundles/bos_effect_traditional_infantry_melee_positive.tga"	100
"bos_agent_veteran_mod_ammunition"	"data/ui/campaign ui/effect_bundles/bos_effect_modern_infantry_ranged_positive.tga"	100
"bos_ancillary_accuracy_mod_all"	"data/ui/campaign ui/effect_bundles/bos_effect_accuracy_positive.tga"	2
"bos_ancillary_accuracy_mod_artillery"	"data/ui/campaign ui/effect_bundles/bos_effect_accuracy_positive.tga"	79
"bos_ancillary_accuracy_mod_bows"	"data/ui/campaign ui/effect_bundles/bos_effect_accuracy_positive.tga"	2
"bos_ancillary_attrition_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_army_positive.tga"	2
"bos_ancillary_charge_bonus_mod_cavalry"	"data/ui/campaign ui/effect_bundles/bos_effect_charge_positive.tga"	2
"bos_ancillary_construction_cost_mod_all"	"data/ui/campaign ui/effect_bundles/bos_effect_construction_positive.tga"	2
"bos_ancillary_construction_cost_mod_indsustry"	"data/ui/campaign ui/effect_bundles/bos_effect_construction_positive.tga"	2
"bos_ancillary_construction_cost_mod_rails"	"data/ui/campaign ui/effect_bundles/bos_effect_construction_positive.tga"	2
"bos_ancillary_construction_time_mod_rails"	"data/ui/campaign ui/effect_bundles/bos_effect_construction_positive.tga"	2
"bos_ancillary_melee_attack_mod_bodyguard"	"data/ui/campaign ui/effect_bundles/bos_effect_melee_positive.tga"	2
"bos_ancillary_melee_attack_mod_sword"	"data/ui/campaign ui/effect_bundles/bos_effect_melee_positive.tga"	2
"bos_ancillary_melee_attack_mod_traditional"	"data/ui/campaign ui/effect_bundles/bos_effect_melee_positive.tga"	2
"bos_ancillary_melee_defence_mod_all"	"data/ui/campaign ui/effect_bundles/bos_effect_army_positive.tga"	2
"bos_ancillary_movement_point_mod_ships"	"data/ui/campaign ui/effect_bundles/bos_effect_admiral_positive.tga"	2
"bos_ancillary_reinforcement_range_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_army_positive.tga"	2
"bos_ancillary_reload_mod_rifles"	"data/ui/campaign ui/effect_bundles/bos_effect_modern_infantry_ranged_positive.tga"	2
"bos_ancillary_replenishment_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_army_positive.tga"	2
"bos_ancillary_research_mod_both"	"data/ui/campaign ui/effect_bundles/bos_effect_technology_positive.tga"	2
"bos_building_construction_time_mod_all"	"data/ui/campaign ui/effect_bundles/bos_effect_construction.tga"	328
"bos_building_cost_mod_local"	"data/ui/campaign ui/effect_bundles/bos_effect_wealth.tga"	374
"bos_building_legendary"	"data/ui/campaign ui/effect_bundles/bos_effect_daimyo_positive.tga"	1
"bos_castle_slot_addition"	"data/ui/campaign ui/effect_bundles/bos_effect_construction_positive.tga"	391
"bos_clan_trait_aizu_castle_cost_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_construction.tga"	50
"bos_clan_trait_aizu_shinsengumi_action_cost_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_shinsengumi.tga"	50
"bos_clan_trait_aizu_trad_unit_cost_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_army.tga"	50
"bos_clan_trait_aizu_trad_unit_xp_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_army.tga"	50
"bos_clan_trait_choshu_ishin_shishi_action_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_ishin_shishi.tga"	50
"bos_clan_trait_choshu_loot_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_army.tga"	50
"bos_clan_trait_choshu_military_cost_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_army.tga"	50
"bos_clan_trait_chosu_charge"	"data/ui/campaign ui/effect_bundles/bos_effect_charge_positive.tga"	50
"bos_clan_trait_jozai_battle_movement_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_army.tga"	50
"bos_clan_trait_jozai_guerrilla_unit_cap_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_army.tga"	50
"bos_clan_trait_jozai_harassment"	"data/ui/campaign ui/effect_bundles/bos_effect_disaster_negative.tga"	50
"bos_clan_trait_jozai_replenishment"	"data/ui/campaign ui/effect_bundles/bos_effect_army.tga"	50
"bos_clan_trait_nagaoka_criminal_income_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_wealth.tga"	50
"bos_clan_trait_nagaoka_geisha_success"	"data/ui/campaign ui/effect_bundles/bos_effect_geisha.tga"	50
"bos_clan_trait_nagaoka_modern_unit_cost_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_army.tga"	50
"bos_clan_trait_nagaoka_rifle_reload_speed"	"data/ui/campaign ui/effect_bundles/bos_effect_public_order.tga"	50
"bos_clan_trait_obama_garrison_xp_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_army.tga"	50
"bos_clan_trait_obama_land_upkeep"	"data/ui/campaign ui/effect_bundles/bos_effect_army.tga"	50
"bos_clan_trait_obama_repression"	"data/ui/campaign ui/effect_bundles/bos_effect_public_order.tga"	50
"bos_clan_trait_obama_tax_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_wealth.tga"	50
"bos_clan_trait_saga_artillery"	"data/ui/campaign ui/effect_bundles/bos_effect_army.tga"	50
"bos_clan_trait_saga_growth_industry_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_wealth.tga"	50
"bos_clan_trait_saga_ship_cost_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_navy.tga"	50
"bos_clan_trait_saga_western_trade"	"data/ui/campaign ui/effect_bundles/bos_effect_trade.tga"	50
"bos_clan_trait_satsuma_admin"	"data/ui/campaign ui/effect_bundles/bos_effect_wealth.tga"	50
"bos_clan_trait_satsuma_agent_action_cost"	"data/ui/campaign ui/effect_bundles/bos_effect_foreign_veteran.tga"	50
"bos_clan_trait_satsuma_general_aoe"	"data/ui/campaign ui/effect_bundles/bos_effect_general_positive.tga"	50
"bos_clan_trait_satsuma_regions"	"data/ui/campaign ui/effect_bundles/bos_effect_faction_satsuma_positive.tga"	50
"bos_clan_trait_sendai_allegiance_tolerance_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_allegiance_positive.tga"	50
"bos_clan_trait_sendai_battle_time_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_army.tga"	50
"bos_clan_trait_sendai_diplomacy_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_diplomacy.tga"	50
"bos_clan_trait_sendai_resistance_to_occupation_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_public_order.tga"	50
"bos_clan_trait_tosa_diplomacy"	"data/ui/campaign ui/effect_bundles/bos_effect_diplomacy.tga"	50
"bos_clan_trait_tosa_naval_bombardments"	"data/ui/campaign ui/effect_bundles/bos_effect_navy.tga"	50
"bos_clan_trait_tosa_resistance_to_occupation_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_public_order.tga"	50
"bos_clan_trait_tosa_ship_xp_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_navy.tga"	50
"bos_clan_trait_tsu_conversion_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_allegiance_positive.tga"	50
"bos_clan_trait_tsu_defence_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_army.tga"	50
"bos_clan_trait_tsu_kiso_cap_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_ninja.tga"	50
"bos_clan_trait_tsu_shinobi_action_cost_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_ninja.tga"	50
"bos_coastal_defence_damage_to_disable"	"data/ui/campaign ui/effect_bundles/bos_effect_coastal_defences.tga"	500
"bos_coastal_defence_quality_and_availability"	"data/ui/campaign ui/effect_bundles/bos_effect_coastal_defences.tga"	360
"bos_coastal_defence_zone_range"	"data/ui/campaign ui/effect_bundles/bos_effect_coastal_defences.tga"	400
"bos_conversion_imperial"	"data/ui/campaign ui/effect_bundles/bos_effect_imperial_allegiance.tga"	342
"bos_conversion_imperial_osmosis"	"data/ui/campaign ui/effect_bundles/bos_effect_imperial_allegiance.tga"	343
"bos_conversion_independent"	"data/ui/campaign ui/effect_bundles/bos_effect_independant_allegiance.tga"	346
"bos_conversion_independent_osmosis"	"data/ui/campaign ui/effect_bundles/bos_effect_independant_allegiance.tga"	347
"bos_conversion_shogunate"	"data/ui/campaign ui/effect_bundles/bos_effect_shogunate_allegiance.tga"	344
"bos_conversion_shogunate_osmosis"	"data/ui/campaign ui/effect_bundles/bos_effect_shogunate_allegiance.tga"	345
"bos_defenses_gatling_gun_towers"	"data/ui/campaign ui/effect_bundles/bos_effect_seige_defence.tga"	357
"bos_defenses_matchlock_tower"	"data/ui/campaign ui/effect_bundles/bos_effect_seige_defence.tga"	356
"bos_defenses_wall_and_gatling_gun_towers"	"data/ui/campaign ui/effect_bundles/bos_effect_seige_defence.tga"	359
"bos_enable_military_mission"	"data/ui/campaign ui/effect_bundles/bos_effect_diplomacy.tga"	1
"bos_enable_night_battles"	"data/ui/campaign ui/effect_bundles/bos_effect_night_battle.tga"	50
"bos_enable_night_battles_naval"	"data/ui/campaign ui/effect_bundles/bos_effect_night_battle.tga"	50
"bos_enable_stand_and_fight"	"data/ui/campaign ui/effect_bundles/bos_effect_army_positive.tga"	50
"bos_enemy_morale_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_morale_negative.tga"	50
"bos_escape_chance_action_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_character_positive.tga"	50
"bos_escape_chance_mod"	"data/ui/campaign ui/effect_bundles/bos_effect_character_positive.tga"	50
"bos_event_building_cost_mod_civil"	"data/ui/campaign ui/effect_bundles/bos_effect_construction_positive.tga"	50
"bos_event_building_cost_mod_military"	"data/ui/campaign ui/effect_bundles/bos_effect_construction_positive.tga"	50
"bos_event_building_cost_mod_propaganda_local"	"data/ui/campaign ui/effect_bundles/bos_effect_construction_positive.tga"	50
"bos_event_building_time_mod_civil"	"data/ui/campaign ui/effect_bundles/bos_effect_construction_positive.tga"	50
"bos_event_building_time_mod_military"	"data/ui/campaign ui/effect_bundles/bos_effect_construction_positive.tga"	50
"bos_event_building_time_mod_propaganda_local"	"data/ui/campaign ui/effect_bundles/bos_effect_construction_positive.tga"	50
"bos_event_diplomacy"	"data/ui/campaign ui/effect_bundles/bos_effect_diplomacy.tga"	50
"bos_event_gdp_mod_all_global"	"data/ui/campaign ui/effect_bundles/bos_effect_wealth.tga"	50
"bos_event_gdp_mod_all_local"	"data/ui/campaign ui/effect_bundles/bos_effect_wealth.tga"	50
"bos_event_gdp_mod_commerce_local"	"data/ui/campaign ui/effect_bundles/bos_effect_wealth.tga"	50
"bos_event_gdp_mod_farms_mines"	"data/ui/campaign ui/effect_bundles/bos_effect_wealth.tga"	50
"bos_event_gdp_mod_industry"	"data/ui/campaign ui/effect_bundles/bos_effect_wealth.tga"	50
"bos_event_gdp_mod_population_global"	"data/ui/campaign ui/effect_bundles/bos_effect_wealth.tga"	50
"bos_event_gdp_mod_population_local"	"data/ui/campaign ui/effect_bundles/bos_effect_wealth.tga"	50
"bos_event_gdp_mod_province_capital"	"data/ui/campaign ui/effect_bundles/bos_effect_wealth.tga"	50
"bos_event_growth_all_global"	"data/ui/campaign ui/effect_bundles/bos_effect_growth.tga"	50
"bos_event_growth_all_local"	"data/ui/campaign ui/effect_bundles/bos_effect_growth.tga"	50
"bos_event_growth_mod_trade_ports"	"data/ui/campaign ui/effect_bundles/bos_effect_growth.tga"	50
"bos_event_happiness_global"	"data/ui/campaign ui/effect_bundles/bos_effect_public_order_positive.tga"	50
"bos_event_happiness_local"	"data/ui/campaign ui/effect_bundles/bos_effect_public_order_positive.tga"	50
"bos_event_happiness_samurai_global"	"data/ui/campaign ui/effect_bundles/bos_effect_public_order_positive.tga"	50
"bos_event_mod_xp_artillery"	"data/ui/campaign ui/effect_bundles/bos_effect_military_positive.tga"	50
"bos_event_mod_xp_rifles"	"data/ui/campaign ui/effect_bundles/bos_effect_military_positive.tga"	50
"bos_event_morale_mod_army"	"data/ui/campaign ui/effect_bundles/bos_effect_army_positive.tga"	50
"bos_event_morale_mod_navy"	"data/ui/campaign ui/effect_bundles/bos_effect_navy_positive"	50
"bos_event_recruitment_cost_mod_ships"	"data/ui/campaign ui/effect_bundles/bos_effect_navy_positive.tga"	50
"bos_event_recruitment_cost_shinsengumi_local"	"data/ui/campaign ui/effect_bundles/bos_effect_shinsengumi_positive.tga"	50
"bos_event_research_mod_both"	"data/ui/campaign ui/effect_bundles/bos_effect_technology_positive.tga"	50
"bos_event_research_mod_civil"	"data/ui/campaign ui/effect_bundles/bos_effect_technology_positive.tga"	50
"bos_event_research_mod_military"	"data/ui/campaign ui/effect_bundles/bos_effect_technology_positive.tga"	50
"bos_event_samurai_cost"	"data/ui/campaign ui/effect_bundles/bos_effect_traditional_infantry_melee_positive.tga"	50
"bos_event_unhappiness_local"	"data/ui/campaign ui/effect_bundles/bos_effect_public_order_negative.tga"	51
"bos_gdp_commerce"	"data/ui/campaign ui/effect_bundles/bos_effect_wealth.tga"	349
"bos_gdp_farm"	"data/ui/campaign ui/effect_bundles/bos_effect_wealth.tga"	353
"bos_gdp_industry"	"data/ui/campaign ui/effect_bundles/bos_effect_wealth.tga"	335
"bos_gdp_mine"	"data/ui/campaign ui/effect_bundles/bos_effect_wealth.tga"	320
"bos_gdp_port"	"data/ui/campaign ui/effect_bundles/bos_effect_wealth_positive.tga"	920
"bos_geisha_mod_action_cost_global"	"data/ui/campaign ui/effect_bundles/bos_effect_wealth_positive.tga"	100
"bos_geisha_mod_culture_chain"	"data/ui/campaign ui/effect_bundles/bos_effect_geisha_positive.tga"	100
"bos_geisha_mod_success"	"data/ui/campaign ui/effect_bundles/bos_effect_geisha_positive.tga"	332
"bos_general_army_charge_bonus"	"data/ui/campaign ui/effect_bundles/bos_effect_general_positive.tga"	50
"bos_general_attribute_command_all"	"data/ui/campaign ui/effect_bundles/bos_effect_general_positive.tga"	100
